en,pt,tr,es,de,title,speaker,duration,tags
"
","
","
","
","
",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
											Not too long after,
											I was in Hong Kong
for an entrepreneurship competition.
											The organizers decided
to take participants
											on a tour of local start-ups.
											One of the start-ups had a social robot,
											and they decided to do a demo.
											The demo worked on everybody
until it got to me,
											and you can probably guess it.
											It couldn't detect my face.
											I asked the developers what was going on,
											and it turned out we had used the same
generic facial recognition software.
											Halfway around the world,
											I learned that algorithmic bias
can travel as quickly
											as it takes to download
some files off of the internet.
									","
											Pouco tempo depois,
											eu estava em Hong Kong para uma
competição de empreendedorismo.
											Os organizadores decidiram
levar os participantes
											numa visita às ""start-ups"" locais.
											Uma das ""start-ups"" tinha um robô social,
											e decidiram fazer uma demonstração.
											A demonstração funcionou com toda a gente
até chegar a minha vez.
											Provavelmente já adivinham.
											Não conseguiu detetar o meu rosto.
											Perguntei aos responsáveis
o que é que se passava,
											e acontece que tínhamos usado o mesmo
software genérico de reconhecimento facial.
											Do outro lado do mundo,
											aprendi que o preconceito do algoritmo
pode viajar tão depressa
											quanto uma descarga
de ficheiros da Internet.
									","
											Daha sonra Hong Kong'da
											bir girişimcilik yarışmasına katıldım.
											Organizatörler yarışmacıların başlangıç
											turuna katılmasına karar verdi.
											Yarışmacılardan birinin 
sosyal robotu vardı
											ve demo yapmaya karar verdi.
											Demo bana gelene kadar işe yaradı
											ve ne olduğunu tahmin edebilirsiniz.
											Robot yüzümü algılayamadı.
											Geliştiricisine ne olduğunu sordum
											ve fark ettik ki aynı genel
yüz tanıma yazılımını kullanıyormuşuz.
											Dünyanın öbür ucunda
											algoritmik yanlılığın
internetten dosya indirmek kadar
											hızlı yolculuk yaptığını öğrendim.
									","
											Al poco tiempo,
											me encontraba en Hong Kong
en una competencia de emprendedores.
											Los organizadores decidieron
llevar a los participantes
											a un recorrido
por empresas locales emergentes.
											Una de ellas tenía un robot social,
											y decidieron hacer una demostración.
											La demostración funcionó bien
hasta que llegó mi turno,
											y probablemente pueden adivinar.
											No pudo detectar mi rostro.
											Pregunté a los desarrolladores qué pasaba,
											y resultó que habíamos usado el mismo
software genérico de reconocimiento.
											Al otro lado del mundo,
											aprendí que el sesgo algorítmico
puede viajar tan rápido
											como el tiempo que lleva
descargar archivos de Internet.
									","
											Relativ kurz danach
											war ich in Hongkong für einen
Unternehmer-Wettbewerb.
											Die Organisatoren beschlossen,
											den Teilnehmenden
örtliche Start-ups zu zeigen.
											Eines dieser Start-ups
hatte einen sozialen Roboter,
											den sie demonstrieren wollten.
											Die Demonstration funktionierte
bei jedem bis auf mich.
											Sie können wahrscheinlich erraten wieso.
											Er konnte mein Gesicht nicht erkennen.
											Ich fragte die Entwickler, was los sei.
											Es zeigte sich, dass wir dieselbe Software
zur Gesichtserkennung benutzt hatten.
											Auf der anderen Seite
der Welt erkannte ich,
											dass sich algorithmische 
Voreingenommenheit
											bereits während eines simplen
Downloads verbreiten kann.
									",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
","
","
","
","
",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
											So what's going on?
Why isn't my face being detected?
											Well, we have to look
at how we give machines sight.
											Computer vision uses
machine learning techniques
											to do facial recognition.
											So how this works is, you create
a training set with examples of faces.
											This is a face. This is a face.
This is not a face.
											And over time, you can teach a computer
how to recognize other faces.
											However, if the training sets
aren't really that diverse,
											any face that deviates too much
from the established norm
											will be harder to detect,
											which is what was happening to me.
									","
											Então, o que é que se passa?
Porque é que a minha cara não é detetada?
											Temos de olhar para o modo
como damos visão às máquinas.
											A visão informática usa
técnicas de aprendizagem de máquina
											para fazer o reconhecimento facial.
											Funciona assim: criamos um grupo
de formação com exemplos de rostos.
											Isto é um rosto. Isto é um rosto.
Isto não é um rosto.
											Com o tempo, podemos ensinar
o computador a reconhecer rostos.
											Contudo, se os grupos de formação
não forem diversificados,
											qualquer rosto que se desvie
demasiado da norma estabelecida
											será difícil de detetar.
											Era o que estava a acontecer comigo.
									","
											Yani ne oluyor? Neden beni algılamıyor?
											Makinelere nasıl görme yetisi
verdiğimize göz atmalıyız.
											Bilgisayar görüşü yüzü tanımlamak için
											makine öğrenme tekniklerini kullanır.
											Bunun çalışma şekli sizin yüz örnekleriyle
eğitim seti oluşturmanızdır.
											Bu bir yüz. Bu bir yüz.
Bu bir yüz değil.
											Zamanla bilgisayara diğer yüzleri
nasıl tanımlayacağını öğretirsiniz.
											Fakat eğitim seti kapsamlı değilse
											sabit normdan çok fazla sapan bir yüzü
											tanımlamak zor olacaktır.
											Bana olduğu gibi.
									","
											Entonces, ¿qué sucede?
¿Por qué no se detecta mi rostro?
											Bueno, debemos pensar
cómo hacemos que las máquinas vean.
											La visión por computadora
usa técnicas de aprendizaje de máquina
											para el reconocimiento facial.
											Se trabaja así, creando una serie
de prueba con ejemplos de rostros.
											Esto es un rostro. Esto es un rostro.
Esto no lo es.
											Con el tiempo, puedes enseñar
a una computadora a reconocer rostros.
											Sin embargo, si las series de prueba
no son realmente diversas,
											todo rostro que se desvíe mucho
de la norma establecida
											será más difícil de detectar,
											que es lo que me sucedía a mí.
									","
											Also was ist da los?
Warum wird mein Gesicht nicht erkannt?
											Wir müssen uns anschauen,
wie wir Maschinen das Sehen beibringen.
											Computergestütztes Sehen
verwendet maschinelles Lernen,
											um Gesichter zu erkennen.
											Dabei erstellt man ein Trainingsset
mit Gesichterbeispielen.
											Das ist ein Gesicht. Das auch.
Das ist kein Gesicht.
											Im Laufe der Zeit kann man einem Computer
beibringen, andere Gesichter zu erkennen.
											Wenn die Trainingssets allerdings
nicht sehr diversifiziert sind,
											dann sind Gesichter, die zu stark
von der erstellten Norm abweichen,
											schwieriger zu erkennen.
											Das ist genau das, was mir passiert ist.
									",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
","
","
","
","
",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
											But don't worry — there's some good news.
											Training sets don't just
materialize out of nowhere.
											We actually can create them.
											So there's an opportunity to create
full-spectrum training sets
											that reflect a richer
portrait of humanity.
									","
											Mas não se preocupem,
há boas notícias.
											Os grupos de formação
não se materializam do nada.
											Na verdade, podemos criá-los.
											Portanto, há a oportunidade de criar
grupos de formação com um espetro completo
											que reflitam um retrato
mais rico da humanidade.
									","
											Ama merak etmeyin - iyi haberlerim var.
											Eğitim setleri bir anda ortaya çıkmaz.
											Aslında biz onları yaratabiliriz.
											Yani insanlığın daha zengin portresini
											çıkaran tam spektrumlu
eğitim seti oluşturabiliriz.
									","
											Pero no se preocupen,
tengo buenas noticias.
											Las series de prueba
no se materializan de la nada.
											En verdad las podemos crear.
											Por ende, se pueden crear
series de prueba con espectros completos
											que reflejen de manera más exhaustiva
un retrato de la humanidad.
									","
											Aber machen Sie sich keine Sorgen —
es gibt gute Nachrichten.
											Trainingssets tauchen nicht
aus dem Nichts auf.
											Wir erstellen sie.
											Also gibt es die Möglichkeit, 
inklusive Trainingssets zu erstellen,
											die ein breitgefächerteres Bild
der Menschheit widerspiegeln.
									",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
","
","
","
","
",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
											Now you've seen in my examples
											how social robots
											was how I found out about exclusion
with algorithmic bias.
											But algorithmic bias can also lead
to discriminatory practices.
											Across the US,
											police departments are starting to use
facial recognition software
											in their crime-fighting arsenal.
											Georgetown Law published a report
											showing that one in two adults
in the US — that's 117 million people —
											have their faces
in facial recognition networks.
											Police departments can currently look
at these networks unregulated,
											using algorithms that have not
been audited for accuracy.
											Yet we know facial recognition
is not fail proof,
											and labeling faces consistently
remains a challenge.
											You might have seen this on Facebook.
											My friends and I laugh all the time
when we see other people
											mislabeled in our photos.
											But misidentifying a suspected criminal
is no laughing matter,
											nor is breaching civil liberties.
									","
											Vocês viram nos meus exemplos
											com os robôs sociais
											que foi como eu descobri a exclusão
com o preconceito algorítmico.
											Mas o preconceito algorítmico também
pode levar a práticas discriminatórias.
											Nos Estados Unidos da América,
											os departamentos da polícia começam
a usar o software de reconhecimento facial
											no seu arsenal de luta contra o crime.
											A Faculdade de Direito de Georgetown
publicou um relatório
											mostrando que um
em dois adultos, nos EUA
											— ou seja, 117 milhões de pessoas —
											têm os rostos em redes
de reconhecimento facial.
											Os departamentos da polícia podem procurar
nessas redes não regulamentadas,
											usando algoritmos que não foram
auditados quanto ao seu rigor.
											No entanto, sabemos que o reconhecimento
facial não é à prova de falhas,
											e rotular rostos consistentemente
continua a ser um problema.
											Podem ter visto isto no Facebook.
											Os meus amigos e eu estamos sempre a rir
quando vemos outras pessoas
											mal rotuladas nas nossas fotos.
											Mas a má identificação de um possível
criminoso não é motivo para rir,
											e o mesmo acontece com
a violação das liberdades civis.
									","
											Şimdi örneklerimde sosyal robotlar
											sayesinde algoritmik dışlanmayı
											nasıl ortaya çıkardığımı gördünüz.
											Ama algoritmik yanlılık ayrımcı
uygulamalara da yol açabilir.
											ABD çapında, polis merkezleri
											suçla mücadele cephaneliklerinde
											yüz tanıma yazılımını kullanmaya başladı.
											Georgetown Yasası ABD'de iki yetişkinden
											birinin - 117 milyon insanın- yüz tanıma
											ağında yüzlerinin bulunduğunu açıkladı.
											Polis merkezleri doğrulukları
denetlenmemiş
											algoritmalar kullanarak
bu ağları izinsiz görebilir.
											Biliyoruz ki yüz tanıma yanılmaz değil
											ve yüzlerin tutarlı etiketlenmesi
hâlâ bir sorun.
											Bunu Facebook da görmüş olabilirsiniz.
											Arkadaşlarımla diğer insanların yanlış
											etiketlendiğini gördüğümüzde gülüyoruz.
											Şüpheli bir suçluyu yanlış tanımlamak
gülünç bir mesele
											veya sivil özgürlükleri ihlal değil.
									","
											Ya han visto en mis ejemplos
											cómo con los robots sociales
											me enteré de la exclusión
por el sesgo algorítmico.
											Además, el sesgo algorítmico
puede generar prácticas discriminatorias.
											En EE.UU.
											los departamentos de policía incorporan
software de reconocimiento facial
											en su arsenal
para la lucha contra el crimen.
											Georgetown publicó un informe
											que muestra que uno de cada dos adultos
en EE.UU., 117 millones de personas,
											tiene sus rostros en redes
de reconocimiento facial.
											Los departamentos de policía hoy
tienen acceso a esas redes no reguladas,
											mediante algoritmos cuya exactitud
no ha sido testeada.
											Sabemos que el reconocimiento facial
no es a prueba de fallas
											y etiquetar rostros de forma consistente
aún es un desafío.
											Tal vez lo han visto en Facebook.
											Mis amigos y yo nos reímos,
cuando vemos a otros
											mal etiquetados en nuestras fotos.
											Pero identificar mal a un sospechoso
no es un tema para reírse,
											tampoco lo es violar la libertad civil.
									","
											Jetzt haben Sie anhand 
meiner Beispiele gesehen,
											wie soziale Roboter dazu geführt haben,
											dass ich von der Exklusion 
durch algorithmische Vorurteile erfuhr.
											Algorithmische Vorurteile können
zu diskriminierendem Verhalten führen.
											Überall in den USA beginnt die Polizei,
als Teil ihrer Kriminalitätsbekäpfung
											Software zur Gesichtserkennung
zu verwenden.
											Georgetown Law zeigte in einem Bericht,
											dass einer von zwei erwachsenen US-Bürgern
— das sind 117 Mio. Menschen —
											bereits in Datenbanken 
zur Gesichtserkennung erfasst ist.
											Polizeikommissariate können zurzeit
uneingeschränkt auf diese zugreifen
											und benutzen dabei Algorithmen, die
nicht auf Genauigkeit überprüft wurden.
											Dennoch wissen wir, dass 
Gesichtserkennung nicht fehlerfrei ist
											und dass Gesichter zuzuordnen 
immer noch eine Herausforderung ist.
											Vielleicht haben Sie das 
auf Facebook gesehen.
											Meine Freund und ich lachen immer,
wenn andere Leute
											fälschlicherweise auf unseren
Fotos markiert werden.
											Aber jemanden fälschlicherweise
zu verdächtigen, ist nicht zum Lachen,
											sondern verstößt gegen Bürgerrechte.
									",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
","
","
","
","
",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
											Machine learning is being used
for facial recognition,
											but it's also extending beyond the realm
of computer vision.
											In her book, ""Weapons
of Math Destruction,""
											data scientist Cathy O'Neil
talks about the rising new WMDs —
											widespread, mysterious
and destructive algorithms
											that are increasingly being used
to make decisions
											that impact more aspects of our lives.
											So who gets hired or fired?
											Do you get that loan?
Do you get insurance?
											Are you admitted into the college
you wanted to get into?
											Do you and I pay the same price
for the same product
											purchased on the same platform?
									","
											A aprendizagem de máquinas está a ser
usada para reconhecimento facial,
											mas está a estender-se para além
do domínio da visão por computador.
											No seu livro, ""Armas de
Destruição Matemática"" (ADM),
											a cientista de dados Cathy O'Neil
fala sobre o aumento de novas ADM
											algoritmos difundidos,
misteriosos e destrutivos
											que estão a ser cada vez mais usados
para tomar decisões
											que afetam mais aspetos da nossa vida.
											Por exemplo, quem é contratado
ou despedido?
											Recebemos esse empréstimo?
Recebemos o seguro?
											Somos admitidos na faculdade
em que queremos entrar?
											Pagamos todos o mesmo preço
para o mesmo produto
											comprado na mesma plataforma?
									","
											Makine öğrenme yüz tanımada kullanılır
											ama bilgisayar görüş alanının
ötesine de uzanıyor.
											Veri bilimcisi Cathy O'Neil
											""Matemetiksel İmha Silahları""
kitabında, hayatımızın
											daha çok boyutunu etkileyen kararlar
											almak için kullanılan yaygın,
gizemli ve yıkıcı
											algoritmalarla KİS'lerden bahsediyor.
											Peki işe alınan ya da kovulan kim?
											O krediyi alıyor musun? Sigortan var mı?
											Girmek istediğin üniversiteye
kabul edildin mi?
											Aynı platformda satın alınan
aynı ürün için
											sen ve ben aynı fiyatı mı ödüyoruz?
									","
											El aprendizaje automático se usa
para el reconocimiento facial,
											pero también se está extendiendo
al campo de la visión por computadora.
											En su libro, ""Armas de
destrucción matemática"",
											la científica de datos Cathy O'Neil
habla sobre los nuevos WMDs,
											algoritmos amplios,
misteriosos y destructivos
											que se usan cada vez más
para tomar decisiones
											que influyen sobre muchos aspectos
de nuestras vidas.
											¿A quién se contrata o se despide?
											¿Recibes el préstamo?
¿Y la cobertura de seguros?
											¿Eres aceptado en la universidad
a la que deseas entrar?
											¿Tú y yo pagamos el mismo precio
por el mismo producto
											comprado en la misma plataforma?
									","
											Maschinelles Lernen 
wird für Gesichtserkennung,
											aber auch über den Bereich von
computergestütztem Sehen hinaus verwendet.
											In ihrem Buch ""Waffen der Mathezerstörung""
											schreibt Datenforscherin Cathy O'Neil
über neue Massenvernichtungswaffen —
											verbreitete, mysteriöse
und zerstörerische Algorithmen,
											die zunehmend dazu verwendet werden,
Entscheidungen zu treffen,
											die viele Teile unseres Lebens betreffen.
											Etwa wer eingestellt oder gefeuert wird.
											Bekommen Sie einen Kredit?
Oder eine Versicherung?
											Werden Sie an der Uni, an der Sie
studieren wollen, angenommen?
											Bezahlen Sie und ich denselben Preis
für dasselbe Produkt,
											das wir auf derselben Website 
gekauft haben?
									",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
","
","
","
","
",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
