en,fr,es,de,pt,title,speaker,duration,tags
"
","
","
","
","
",How policewomen make communities safer,Ivonne Roman,5:51,"social change,criminal justice,women,justice system,gender equality,work,feminism,United States,diversity,TED Fellows"
"
											From that research,
											we know that policewomen
are less likely to use force
											or to be accused of excessive force.
											We know that policewomen
are less likely to be named in a lawsuit
											or a citizen complaint.
											We know that the mere presence
of a policewoman
											reduces the use of force
among other officers.
											And we know that policewomen
are met with the same rates of force
											as their male counterparts,
and sometimes more,
											and yet they're more successful
											in defusing violent
or aggressive behavior overall.
											So there are vast advantages
to women in policing,
											and we're losing them
to arbitrary fitness standards.
									","
											D'après cette recherche,
											nous savons que les policières
ont moins de risques d'utiliser la force
											ou d'être accusées
d'un usage excessif de la force.
											Nous savons que les policières
ont moins de risques
											d'être citées dans un procès
ou dans la plainte d'un citoyen.
											Nous savons que la simple
présence d'une policière
											réduit l'usage de la force
chez les autres agents.
											Nous savons que les policières sont autant
confrontées à l'usage de la force
											que leurs homologues masculins,
parfois même plus,
											et pourtant elles réussissent mieux
											à désamorcer la violence
ou les comportements agressifs en général.
											Il y a de gros bénéfices
aux femmes dans la police
											et nous les perdons pour des standards
arbitraires d'aptitude physique.
									","
											De esa investigación,
											sabemos que las policías tienen 
menos probabilidad de usar la fuerza
											o de ser acusadas de abuso de fuerza.
											Sabemos que las policías tienen menos 
probabilidad de que las denuncien
											o de obtener una queja ciudadana.
											Sabemos que la mera presencia 
de una mujer policía
											reduce el uso de la fuerza 
entre otros oficiales.
											Y sabemos que las mujeres policía 
tienen el mismo índice de fuerza
											que sus homólogos masculinos, 
y a veces más,
											y aun así tienen más éxito
											al distender el comportamiento 
violento o agresivo en general.
											Así que hay grandes ventajas
de contar con mujeres en la policía
											y las estamos perdiendo 
por los estándares de aptitud arbitrarios.
									","
											Aufgrund dieser Forschung
											wissen wir, dass Polizistinnen 
weniger Gewalt anwenden
											und weniger der unnötigen
Gewaltanwendung beschuldigt werden.
											Weibliche Beamte werden seltener angeklagt
											und Bürger beschweren sich
seltener über sie.
											Allein die Anwesenheit einer Beamtin
											reduziert die Anwendung von Gewalt
bei anderen Beamten.
											Wir wissen, dass Polizistinnen
die gleiche Gewalt entgegengebracht wird,
											wie ihren männlichen Kollegen,
manchmal sogar mehr,
											und dennoch können sie aggressives
											oder gewalttätiges Verhalten
besser eindämmen.
											Weibliche Polizeibeamte haben 
unabstreitbare Vorteile,
											aber wir verlieren sie aufgrund
willkürlicher FItnesstests.
									","
											A partir dessa investigação,
											sabemos que é menos provável
que as mulheres polícias utilizem a força
											ou que sejam acusadas de força excessiva.
											Sabemos que é menos provável
as mulheres polícias serem referidas
											em processos ou queixas.
											Sabemos que a mera presença
de mulheres polícias
											reduz o uso da força
entre outros polícias.
											E sabemos que as mulheres polícias
enfrentam o mesmo nível de força
											que os seus colegas homens,
e às vezes ainda mais,
											mas, mesmo assim têm mais sucesso
											em neutralizar comportamentos violentos
ou agressivos em geral.
											Logo, há várias vantagens
no policiamento feminino,
											e não as aproveitamos devido
a padrões arbitrários de aptidão física.
									",How policewomen make communities safer,Ivonne Roman,5:51,"social change,criminal justice,women,justice system,gender equality,work,feminism,United States,diversity,TED Fellows"
"
","
","
","
","
",How policewomen make communities safer,Ivonne Roman,5:51,"social change,criminal justice,women,justice system,gender equality,work,feminism,United States,diversity,TED Fellows"
"
											The problem is,
											the United States has nearly
18,000 police agencies —
											18,000 agencies with wildly varying
fitness standards.
											We know that a majority of academies
rely on a masculine ideal of policing
											that works to decrease
the number of women in policing.
											These types of academies
overemphasize physical strength,
											with much less attention spent
to subjects like community policing,
											problem-solving
											and interpersonal communication skills.
											This results in training that does not
mirror the realities of policing.
											Physical agility is but a small
component of police work.
											Much of an officer's day is spent
mediating interpersonal conflicts.
											That's the reality of policing.
									","
											Le problème est
											que les États-Unis ont près
de 18 000 services de police —
											18 000 services de police
											avec des standards d'aptitude physique
variant énormément.
											Nous savons que la majorité des académies
s'appuient sur un idéal policier masculin
											qui œuvre pour réduire
le nombre de femmes dans la police.
											Ce genre d'académies accordent
trop d'importance à la force physique
											et pas assez d'attention aux sujets
comme la police communautaire,
											la résolution de problèmes
											et les compétences
de communication interpersonnelle.
											Le résultat est une formation
											qui ne reflète pas
les réalités de la police.
											L'agilité physique n'est qu'un petit
aspect du travail de la police.
											La majorité de la journée d'un officier
											est passée à régler
des conflits interpersonnels.
											C'est la réalité policière.
									","
											El problema es que
											EE. UU. tiene casi 
18 000 organismos policiales,
											18 000 organismos policiales
con diferentes niveles de aptitud física.
											La mayoría de las academias confían 
en un ideal masculino en la policía.
											Eso se hace para disminuir 
el número de mujeres en la policía.
											Este tipo de academias enfatizan 
demasiado la fuerza física,
											dando mucha menos atención a temas 
como la policía de proximidad,
											la resolución de problemas
											y las habilidades de 
comunicación interpersonal.
											Esto da como resultado una formación
											que no refleja la realidad 
de la vigilancia policial.
											La agilidad física no es más que 
una pequeña parte del trabajo policial.
											Gran parte del día de un oficial se dedica
a mediar en conflictos interpersonales.
									","
											Das Problem ist,
											die USA hat fast 18.000 Polizeibehörden
											und diese 18.000 Behörden haben stark
variierende Fitness-Standards.
											Die meisten Behörden setzen auf
das maskuline Idealbild eines Polizisten
											und senken damit die Zahl der Frauen
in der Polizeiwelt.
											Diese Behörden schenken
physischer Kraft zu große Bedeutung
											und Themen wie bürgernaher Polizeiarbeit,
											Problemlösung
											und Kommunikationsfähigkeiten zu wenig.
											Dadurch entspricht das Training
keinen realistischen Ansprüchen.
											Körperliche Fitness ist nur bei einem
kleinen Teil der Arbeit wichtig.
											Polizeibeamte verbringen ihren Arbeitstag
hauptsächlich mit Konfliktlösung.
											Das ist nun einmal die Realität.
									","
											O problema é que os EUA têm
quase 18 000 esquadras da polícia,
											com padrões de aptidão física
extremamente variados.
											Sabemos que a maioria das academias
tem um ideal de policiamento masculino
											que serve para diminuir
o número de mulheres polícias.
											Esses tipos de academia
privilegiam a força física,
											com muito menor foco em temas
como o policiamento comunitário,
											resolução de problemas
											e capacidades de comunicação interpessoal.
											Isto resulta em treino que não reflete
a realidade do policiamento.
											A agilidade física é só uma pequena parte
do trabalho policial.
											Um polícia passa muito tempo
a mediar conflitos interpessoais.
											Essa é a realidade do policiamento.
									",How policewomen make communities safer,Ivonne Roman,5:51,"social change,criminal justice,women,justice system,gender equality,work,feminism,United States,diversity,TED Fellows"
"
","
","
","
","
",How policewomen make communities safer,Ivonne Roman,5:51,"social change,criminal justice,women,justice system,gender equality,work,feminism,United States,diversity,TED Fellows"
"
											These are my babies.
											And we can reduce
the disparity in policing
											by changing exams
that produce disparate outcomes.
											The federal courts have stated
that men and women
											simply are not physiologically the same
											for the purposes
of physical fitness programs.
											And that's based on science.
									","
											Voici mes bébés.
											Nous pouvons réduire
la disparité dans la police
											en changeant les examens
produisant des résultats disparates.
											Les tribunaux fédéraux ont dit
qu'hommes et femmes
											n'étaient physiologiquement pas les mêmes
											dans le cadre des programmes
d'aptitude physique.
											Cela est basé sur la science.
									","
											Esa es la realidad de la policía.
											Estos son mis bebés.
											Y podemos reducir 
la disparidad en la policía
											cambiando los exámenes 
que producen resultados dispares.
											Los tribunales federales
han declarado que hombres y mujeres
											simplemente 
no son fisiológicamente iguales
											para los fines de programas
de entrenamiento físico.
											Y eso se basa en la ciencia.
									","
											Das sind meine Kinder.
											Und wir können die Ungleichheit
in der Polizeiwelt minimieren,
											indem wir Prüfungsbedingungen ändern,
die diese Ungleichheit auslösen.
											Die Federal Courts erklärten,
Männer und Frauen
											hätten unterschiedliche
körperliche Voraussetzungen
											für die Zwecke der Fitnesstests.
											Und das ist wissenschaftlich belegt.
									","
											Estas são as minhas filhas.
											Nós podemos reduzir
a disparidade no policiamento
											se mudarmos os exames
que produzem resultados desiguais.
											Os tribunais federais dizem
que homens e mulheres
											não são fisiologicamente iguais
											para os propósitos dos programas
de aptidão física.
											E isso baseia-se na ciência.
									",How policewomen make communities safer,Ivonne Roman,5:51,"social change,criminal justice,women,justice system,gender equality,work,feminism,United States,diversity,TED Fellows"
"
","
","
","
","
",How policewomen make communities safer,Ivonne Roman,5:51,"social change,criminal justice,women,justice system,gender equality,work,feminism,United States,diversity,TED Fellows"
"
											Respected institutions
that law enforcement deeply respects,
											like the FBI, the US Marshals Service,
											the DEA and even the US military —
											they rigorously test fitness programs
to ensure they measure fitness
											without gender-disparate outcomes.
											Why is that?
											Because recruiting is expensive.
											They want to recruit and retain
qualified candidates.
											You know what else the research finds?
											Well-trained women are as capable
as their male counterparts
											in overall fitness,
											but more importantly, in how they police.
									","
											Des institutions respectées
											que les forces de l'ordre
respectent profondément
											comme le FBI, le United States
Marshal Service,
											la DEA et même l'armée américaine —
											ils testent rigoureusement
leurs programmes
											pour s'assurer de mesurer
l'aptitude physique
											sans obtenir de résultats
avec des disparités de genre.
											Pourquoi ?
											Car le recrutement coûte cher.
											Ils veulent recruter et garder
des candidats qualifiés.
											Vous savez ce que la recherche
a découvert d'autre ?
											Des femmes bien entraînées
sont aussi capables
											que leurs homologues masculins
											en termes d'aptitude physique,
											mais plus important encore,
dans leur pratique policière.
									","
											Respetadas instituciones que 
la policía respeta profundamente,
											como el FBI, 
el Servicio de Alguaciles de EE. UU.,
											la DEA e incluso el Ejército de EE. UU.
											prueban rigurosamente 
los programas de entrenamiento físico
											para asegurarse de que miden la aptitud 
sin resultados dispares de género.
											¿Por qué es eso?
											Porque reclutar es caro.
											Quieren reclutar y retener 
a candidatos calificados.
											¿Saben qué más 
ha detectado la investigación?
											Las mujeres bien entrenadas son tan 
capaces como sus contrapartes masculinas
											en su forma física general,
											pero lo más importante,
en cómo realizan su labor policial.
									","
											Institutionen, die von der Polizei
geschätzt werden,
											wie zum Beispiel das FBI,
der US Marshals Service,
											die Drug Enforcement Administration
oder das US Militär
											testen ihre Fitnessprogramme gründlich,
um zu gewährleisten, dass die Fitness
											geschlechterneutral bewertet werden kann.
											Und wieso?
											Weil das Einstellungsverfahren
kostspielig ist.
											Es sollen qualifizierte Kandidaten
ausgewählt und gefördert werden.
											Was hat die Forschung noch herausgefunden?
											Gut ausgebildete Frauen sind genauso
geeignet wie ihre männlichen Kollegen.
											Nicht nur was Fitness angeht,
											sondern vielmehr wie sie ihre
polizeiliche Arbeit ausführen.
									","
											Instituições muito respeitadas
pela polícia,
											como o FBI, o US Marshals Service,
											a DEA e até as Forças Armadas,
											testam rigorosamente
os programas de aptidão física
											para garantir que não haja
resultados desiguais de género.
											Porquê?
											Porque o recrutamento é caro.
											Preferem recrutar e reter
os candidatos qualificados.
											Sabem o que é que a investigação
também descobriu?
											As mulheres bem treinadas
são tão capazes quanto os homens
											na aptidão física geral,
											mas, mais importante ainda,
na forma de policiamento.
									",How policewomen make communities safer,Ivonne Roman,5:51,"social change,criminal justice,women,justice system,gender equality,work,feminism,United States,diversity,TED Fellows"
"
","
","
","
","
",How policewomen make communities safer,Ivonne Roman,5:51,"social change,criminal justice,women,justice system,gender equality,work,feminism,United States,diversity,TED Fellows"
"
											The law-enforcement community
											is admittedly experiencing
a recruitment crisis.
											Yet, if they truly want to increase
the number of applicants, they can.
											We can easily recruit more women
											and reap all those research benefits
											by training well-qualified candidates
to pass validated, work-related,
											physiologically-based fitness exams,
											as required by Title VII
of the Civil Rights Act.
									","
											La communauté des forces de l'ordre
											est confrontée à une crise
dans le recrutement.
											Toutefois, si elle veut augmenter
le nombre de candidats, elle le peut.
											Nous pouvons facilement
recruter plus de femmes
											et récolter tous ces bénéfices
											en entraînant des candidates qualifiées
à passer des examens d'aptitude physique
											validés, liés à leur travail
et reposant sur leur physiologie,
											comme l'exige l'acte VII
du Civil Rights Act.
									","
											Los responsables del orden público
											están experimentando 
una crisis de reclutamiento.
											Sin embargo, si realmente desean aumentar 
el número de solicitantes, pueden hacerlo.
											Podemos reclutar más mujeres fácilmente
											y aplicar todos esos beneficios empíricos
											entrenando a candidatos bien calificados 
para que aprueben
											los exámenes de aptitud física 
con base en su fisiología,
											como lo requiere el Título VII 
de la Ley de Derechos Civiles.
									","
											Die exekutiven Behörden
											erleben momentan eine Einstellungskrise.
											Die Zahl der Neueinstellungen
könnte leicht erhöht werden.
											Es könnten mehr Frauen eingestellt werden,
											um von den Vorteilen
ihrer Arbeit zu profitieren,
											indem qualifizierte Kandidaten ausgebildet
werden, um einen arbeitsbezogenen,
											physiologie-basierten
Fitnesstest zu bestehen,
											so wie es Title VII
des Civil Rights Act verlangt.
									","
											É sabido que a comunidade policial
											está a atravessar
uma crise de recrutamento.
											Contudo, se quiserem aumentar
o número de candidatos, conseguem-no.
											Podemos facilmente recrutar mais mulheres
											e colher todos os benefícios
da investigação
											treinando candidatas bem qualificadas
para passar exames de aptidão validados,
											relacionados com o trabalho
e com os processos fisiológicos,
											tal como exigido pelo Título VII
da Lei dos Direitos Civis.
									",How policewomen make communities safer,Ivonne Roman,5:51,"social change,criminal justice,women,justice system,gender equality,work,feminism,United States,diversity,TED Fellows"
"
","
","
","
","
",How policewomen make communities safer,Ivonne Roman,5:51,"social change,criminal justice,women,justice system,gender equality,work,feminism,United States,diversity,TED Fellows"
"
											We can increase the number of women,
											we can reduce that gender disparity,
											by simply changing exams
that produce disparate outcomes.
											We have the tools.
											We have the research,
we have the science, we have the law.
											This, my friends,
should be a very easy fix.
									","
											Nous pouvons augmenter
le nombre de femmes,
											nous pouvons réduire
cette disparité de genre
											simplement en changeant les examens
produisant des résultats disparates.
											Nous avons les outils.
											Nous avons la recherche,
nous avons la science, nous avons la loi.
											Ceci, mes amis, devrait être
une solution facile.
									","
											Podemos aumentar el número de mujeres,
											podemos reducir esa disparidad de género,
											simplemente cambiando los exámenes
que producen resultados dispares.
											Tenemos las herramientas.
											Tenemos la evidencia, 
tenemos la ciencia, tenemos la ley.
											Esto, mis amigos, debería ser 
una solución muy fácil.
									","
											Die Zahl der weiblichen Beamten
kann erhöht werden
											und die Geschlechterungleichheit
reduziert werden,
											indem man einfach
das Einstellungsverfahren ändert.
											Wir haben die Möglichkeiten dazu.
											Wir haben die entsprechende
Forschung und das Gesetz.
											Das sollte ein einfach
zu lösendes Problem sein.
									","
											Podemos aumentar o número de mulheres,
											reduzir a desigualdade de género,
											se mudarmos os exames
que produzem resultados desiguais.
											Nós temos as ferramentas.
											Nós temos a investigação,
a ciência e a lei.
											Isto, meus amigos, devia ser
uma solução muito fácil.
									",How policewomen make communities safer,Ivonne Roman,5:51,"social change,criminal justice,women,justice system,gender equality,work,feminism,United States,diversity,TED Fellows"
"
","
","
","
","
",How policewomen make communities safer,Ivonne Roman,5:51,"social change,criminal justice,women,justice system,gender equality,work,feminism,United States,diversity,TED Fellows"
"
											Thank you.
									","
											Merci.
									","
											Gracias.
									","
											Vielen Dank.
									","
											Obrigada.
									",How policewomen make communities safer,Ivonne Roman,5:51,"social change,criminal justice,women,justice system,gender equality,work,feminism,United States,diversity,TED Fellows"
"
","
","
","
","
",How policewomen make communities safer,Ivonne Roman,5:51,"social change,criminal justice,women,justice system,gender equality,work,feminism,United States,diversity,TED Fellows"
"
											(Applause)
									","
											(Applaudissements)
									","
											(Aplausos)
									","
											(Applaus)
									","
											(Aplausos)
									",How policewomen make communities safer,Ivonne Roman,5:51,"social change,criminal justice,women,justice system,gender equality,work,feminism,United States,diversity,TED Fellows"
"
","
","
","
","
",How policewomen make communities safer,Ivonne Roman,5:51,"social change,criminal justice,women,justice system,gender equality,work,feminism,United States,diversity,TED Fellows"
