fr,en,pt,tr,es,title,speaker,duration,tags
"
","
","
","
","
",How the US should use its superpower status,Ian Bremmer,15:37,"business,china,Asia,democracy,Africa,Europe,Foreign Policy,global issues,global development,government,iraq,law,Iran,Middle East,money,military,motivation,New York,security,politics,society,South America,war,TEDx,Syria"
"
											(Rires)
									","
											(Laughter)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Risas)
									",How the US should use its superpower status,Ian Bremmer,15:37,"business,china,Asia,democracy,Africa,Europe,Foreign Policy,global issues,global development,government,iraq,law,Iran,Middle East,money,military,motivation,New York,security,politics,society,South America,war,TEDx,Syria"
"
","
","
","
","
",How the US should use its superpower status,Ian Bremmer,15:37,"business,china,Asia,democracy,Africa,Europe,Foreign Policy,global issues,global development,government,iraq,law,Iran,Middle East,money,military,motivation,New York,security,politics,society,South America,war,TEDx,Syria"
"
											Salut, George.
											Salut, Norman.
											On dirait qu'ils vont
se bouffer le nez, pas vrai ?
											Et ça a été le cas, pendant 90 minutes,
ils ont parlé de la Syrie.
											Poutine ne voulait parler que de ça.
											C'est lui qui décide, de plus en plus.
											Il est prêt à s'investir là-bas.
											Il n'y a pas grande affinité
ou confiance mutuelle
											mais les Américains
ne lui dictent pas ce qu'il a à faire.
									","
											Hi, George.
											Hi, Norman.
											They look like they're
about to get into a cage match, right?
											And they did. It was 90 minutes long,
and they talked about Syria.
											That's what Putin wanted to talk about.
											He's increasingly calling the shots.
											He's the one willing to do stuff there.
											There's not a lot of mutual like or trust,
											but it's not as if the Americans
are telling him what to do.
									","
											Olá, George.
											Olá, Norman.
											Parece que estão 
prestes a lutar, não é?
											E foi o que aconteceu. Durante 
90 minutos e falaram sobre a Síria.
											Era sobre isso que Putin queria falar.
											É ele que cada vez mais dita as regras.
											É ele que está disposto a fazer algo lá.
											Não há muito apreço ou confiança mútuos
											mas não é como se os norte-americanos
estivessem a dizer-lhe o que fazer.
									","
											Merhaba, George.
											Merhaba, Norman.
											Sanki kafes dövüşü yapacak
gibi duruyorlar değil mi?
											Ve yaptılar da. 90 dakika sürdü
ve Suriye hakkında konuştular.
											Bu Putin'in konuşmak istediğiydi.
											Giderek kararları o vermeye başlıyor.
											Orada bir şey yapmak isteyen de o.
											Fazla karşılıklı sevgi ve güven yok
											ama Amerikanların ona ne
yapacağını söylediği de yok.
									","
											Hola, George.
											Hola, Norman.
											Parece que van a entrar en lucha, ¿no?
											Y fue así. Durante 90 minutos
hablaron de Siria.
											Putin quería hablar de eso.
											Él es quien decide, cada vez más.
											Él es quien quiere hacer algo aquí.
											No hay mucha afinidad ni confianza mutua,
											pero los estadounidenses 
no le dicen que hacer.
									",How the US should use its superpower status,Ian Bremmer,15:37,"business,china,Asia,democracy,Africa,Europe,Foreign Policy,global issues,global development,government,iraq,law,Iran,Middle East,money,military,motivation,New York,security,politics,society,South America,war,TEDx,Syria"
"
","
","
","
","
",How the US should use its superpower status,Ian Bremmer,15:37,"business,china,Asia,democracy,Africa,Europe,Foreign Policy,global issues,global development,government,iraq,law,Iran,Middle East,money,military,motivation,New York,security,politics,society,South America,war,TEDx,Syria"
"
											Et quand les 20 dirigeants
se sont réunis ?
											On se dit qu'à ce moment-là,
											les Américains
font leur part du boulot.
											Aïe.
									","
											How about when the whole 20
are getting together?
											Surely, when the leaders are all onstage,
											then the Americans
are pulling their weight.
											Uh-oh.
									","
											E quando todos os 20 se juntam?
											Certamente que quando 
os líderes estão todos no palco
											os norte-americanos
fazem a sua parte.
											Uh-oh.
									","
											Peki bütün 20 ülke bir araya geldiğinde?
											Elbette ki, bütün liderler sahnedeyken
											işte o zaman Amerikalılar
ağırlıklarını koyuyor.
											Ah!
									","
											¿Y qué al cuando se reunieron los 20?
											Seguramente, cuando los líderes 
están en el escenario,
											los estadounidenses harán su parte.
											¡Oh!
									",How the US should use its superpower status,Ian Bremmer,15:37,"business,china,Asia,democracy,Africa,Europe,Foreign Policy,global issues,global development,government,iraq,law,Iran,Middle East,money,military,motivation,New York,security,politics,society,South America,war,TEDx,Syria"
"
","
","
","
","
",How the US should use its superpower status,Ian Bremmer,15:37,"business,china,Asia,democracy,Africa,Europe,Foreign Policy,global issues,global development,government,iraq,law,Iran,Middle East,money,military,motivation,New York,security,politics,society,South America,war,TEDx,Syria"
"
											(Rires)
									","
											(Laughter)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Risas)
									",How the US should use its superpower status,Ian Bremmer,15:37,"business,china,Asia,democracy,Africa,Europe,Foreign Policy,global issues,global development,government,iraq,law,Iran,Middle East,money,military,motivation,New York,security,politics,society,South America,war,TEDx,Syria"
"
","
","
","
","
",How the US should use its superpower status,Ian Bremmer,15:37,"business,china,Asia,democracy,Africa,Europe,Foreign Policy,global issues,global development,government,iraq,law,Iran,Middle East,money,military,motivation,New York,security,politics,society,South America,war,TEDx,Syria"
"
											Tout a l'air d'aller pour Xi Jinping.
											Angela Merkel a, comme toujours,
											cette expression sur le visage.
											Mais Poutine est en train
de donner des ordres à Erdogan
											et Obama a l'air de se dire :
« Que se passe-t-il là-bas ? »
									","
											Xi Jinping seems fine.
											Angela Merkel has — she always does —
											that look, she always does that.
											But Putin is telling
Turkish president Erdogan what to do,
											and Obama is like,
what's going on over there?
									","
											Xi Jinping parece bem.
											Angela Merkel tem — tem sempre —
											aquela expressão, ela faz sempre isso.
											Mas Putin está a dizer
ao presidente turco Erdogan o que fazer,
											e Obama só pensa:
""O que está a acontecer ali?""
									","
											Xi Jinpiig iyi görünüyor.
											Angela Merkel'de de
— her zamanki gibi —
											şu bakış var, her zaman böyle yapıyor.
											Ama Putin Türkiye Cumhurbaşkanı
Erdoğan'a ne yapacağını anlatıyor
											ve Obama da
""orada ne oluyor"" der gibi.
									","
											Xi Jinping parece estar bien.
											Angela Merkel siempre tiene...
											esa expresión, siempre lo hace.
											Putin le dice qué hacer 
al presidente turco Erdogan,
											Y Obama se pregunta,
¿qué está pasando allá?
									",How the US should use its superpower status,Ian Bremmer,15:37,"business,china,Asia,democracy,Africa,Europe,Foreign Policy,global issues,global development,government,iraq,law,Iran,Middle East,money,military,motivation,New York,security,politics,society,South America,war,TEDx,Syria"
"
","
","
","
","
",How the US should use its superpower status,Ian Bremmer,15:37,"business,china,Asia,democracy,Africa,Europe,Foreign Policy,global issues,global development,government,iraq,law,Iran,Middle East,money,military,motivation,New York,security,politics,society,South America,war,TEDx,Syria"
"
											Et le problème, c'est que ce n'est pas
un monde de G20,
											le problème c'est que
											c'est un monde G-zéro
dans lequel nous vivons.
											C'est un monde où
aucun pays individuel ni alliance
											ne peut faire face aux exigences
d'un leadership mondial.
											Le G20 ne fonctionne pas,
											le G7, et tous nos amis, tout ça,
c'est de l'histoire ancienne.
											Donc, la mondialisation se poursuit.
											Biens, services, personnes et capitaux
se déplacent au-delà des frontières
											à une rapidité jamais vue,
											mais ce n'est pas le cas
de l'américanisation du monde.
									","
											You see. And the problem is
it's not a G20,
											the problem is
											it's a G-Zero world that we live in,
											a world order where there is
no single country or alliance
											that can meet the challenges
of global leadership.
											The G20 doesn't work,
											the G7, all of our friends,
that's history.
											So globalization is continuing.
											Goods and services and people
and capital are moving across borders
											faster and faster than ever before,
											but Americanization is not.
									","
											Vejam . E o problema
é que não é um G20,
											o problema é que é um mundo G-Zero
em que nós vivemos,
											uma ordem mundial onde não
há um único país ou aliança
											que possa fazer frente
aos desafios de liderança global.
											O G20 não funciona,
											o G7, todos os nossos amigos,
já passou à história.
											E assim a globalização continua.
											Bens, serviços, pessoas
e capital atravessam as nossas fronteiras
											mais rápido do que nunca
											mas a americanização não.
									","
											Görüyorsunuz. Sorun şu ki
bu bir G20 değil,
											sorun yaşadığımız
											dünyanın G-Sıfır olması,
											tek bir ülke ya da ittifakın küresel
											liderlik zorluklarını
aşamayacağı bir dünya.
											G20 zirvesi işe yaramıyor,
											G7, bütün ortaklarımız, tarih oldu.
											Böylece küreselleşme devam ediyor.
											Mal ve hizmetler ve insanlar
ve sermaye sınır dışına gidiyor
											hiç olmadığı kadar hızlı bir şekilde
											ama Amerikanlaşma yerinde duruyor.
									","
											Ya ven. El problema es que no es un G20,
											el problema es que
											vivimos en un mundo G cero,
											un orden muncial en el que no existe 
un país o una alianza
											capaz de satisfacer los desafíos
del liderazgo mundial.
											El G20 no funciona,
											el G7, todos nuestros amigos,
es historia.
											Y la globalización continúa.
											Bienes, servicios, personas 
y capital atraviesan fronteras
											cada vez más rápido que antes,
											pero la imposición de EE.UU. no.
									",How the US should use its superpower status,Ian Bremmer,15:37,"business,china,Asia,democracy,Africa,Europe,Foreign Policy,global issues,global development,government,iraq,law,Iran,Middle East,money,military,motivation,New York,security,politics,society,South America,war,TEDx,Syria"
"
","
","
","
","
",How the US should use its superpower status,Ian Bremmer,15:37,"business,china,Asia,democracy,Africa,Europe,Foreign Policy,global issues,global development,government,iraq,law,Iran,Middle East,money,military,motivation,New York,security,politics,society,South America,war,TEDx,Syria"
"
											Maintenant que j'ai démontré ça,
											je veux parler de deux autres questions.
											Je vais parler des implications
de cet état de fait
											pour le monde entier.
											J'en ferai le tour.
											Ensuite, je parlerai
											de ce qu'on pense ici,
											aux États-Unis et à New York.
									","
											So if I've convinced you of that,
											I want to do two things
with the rest of this talk.
											I want to talk
about the implications of that
											for the whole world.
											I'll go around it.
											And then I want to talk about
											what we think right here
											in the United States and in New York.
									","
											Portanto se vos convenci disso,
											quero fazer duas coisas
durante o resto desta palestra.
											Quero falar
sobre as implicações disso
											para todo o mundo.
											Falarei do mundo todo.
											E depois quero falar sobre
											o que pensamos aqui
											nos EUA e em Nova Iorque.
									","
											Eğer bu konuda ikna olduysanız,
											konuşmanın kalanında iki
şey yapmak istiyorum.
											Bunun bütün dünya için sunduğu
											sonuçları konuşmak istiyorum.
											Üzerinde iyice duracağım.
											Daha sonra da burada
											Birleşik Devletler ve New York'ta
											ne düşündüğümüz hakkında
konuşmak istiyorum.
									","
											Si he logrado convencerlos de eso,
											en el resto de la charla 
quiero hacer dos cosas.
											Quiero hablar de las consecuencias de eso
											para el mundo.
											Hablaré de eso.
											Y luego quiero hablar
											de lo que pensamos aquí
											en EE.UU. y en Nueva York.
									",How the US should use its superpower status,Ian Bremmer,15:37,"business,china,Asia,democracy,Africa,Europe,Foreign Policy,global issues,global development,government,iraq,law,Iran,Middle East,money,military,motivation,New York,security,politics,society,South America,war,TEDx,Syria"
"
","
","
","
","
",How the US should use its superpower status,Ian Bremmer,15:37,"business,china,Asia,democracy,Africa,Europe,Foreign Policy,global issues,global development,government,iraq,law,Iran,Middle East,money,military,motivation,New York,security,politics,society,South America,war,TEDx,Syria"
"
											Quelles implications,
et pourquoi en sommes-nous là ?
											Nous en sommes là
											parce que nous, les États-Unis,
											nous avons dépensé 2000 milliards de $
pour les guerres d'Irak et d'Afghanistan,
											qui ont été des échecs.
											Nous ne voulons plus faire ça.
											Une grande part de nos classes
moyennes et ouvrières
											ont le sentiment que la mondialisation
ne leur a pas profité,
											alors elles n'y tiennent pas plus que ça.
											Et nous avons eu
une révolution énergétique
											qui fait que nous n'avons plus besoin
de l'OPEC ou du Moyen-Orient.
											Nous produisons tout ça
sur le sol américain.
											Donc les Américains ne veulent plus être
le shériff qui assure la sécurité du monde
											ni être les architectes
du commerce mondial.
											Les Américains ne veulent même pas
défendre leurs valeurs dans le monde.
									","
											So why? What are the implications.
Why are we here?
											Well, we're here
											because the United States,
											we spent two trillion dollars
on wars in Iraq and Afghanistan
											that were failed.
											We don't want to do that anymore.
											We have large numbers
of middle and working classes
											that feel like they've not benefited
from promises of globalization,
											so they don't want to see it particularly.
											And we have an energy revolution
											where we don't need OPEC
or the Middle East the way we used to.
											We produce all that right here
in the United States.
											So the Americans don't want
to be the global sheriff for security
											or the architect of global trade.
											The Americans don't want to even be
the cheerleader of global values.
									","
											Então porquê? Quais são as implicações?
Porque estamos aqui?
											Bem, estamos aqui
											porque os EUA,
											nós gastamos dois biliões de dólares
em guerras no Iraque e no Afeganistão
											que foram um fracasso.
											Não queremos mais fazer isso.
											Temos grandes quantidades
de classes médias e trabalhadoras
											que sentem que não beneficiaram
das promessas de globalização,
											portanto não a querem ver acontecer.
											E temos uma revolução da energia
											em que não precisamos da OPEP
ou do Médio Oriente como costumávamos.
											Produzimos tudo isso 
aqui mesmo nos Estados Unidos.
											Portanto, os norte-americanos não querem
ser os ""xerifes"" globais para a segurança
											ou os arquitetos do comércio mundial.
											Os norte-americanos nem sequer querem
ser a claque de apoio aos valores globais.
									","
											Peki neden? Nedir bu sonuçlar?
Biz neden buradayız?
											Buradayız
											çünkü Birleşik Devletler, biz,
											Irak ve Afganistan'da
kaybedilen savaşlarda
											iki trilyon dolar harcadık.
											Bunun bir daha olmasını istemeyiz.
											Küreselleşmenin imkânlarından
yararlanmadığını
											düşünen çok sayıda orta
ve çalışan sınıfımız var
											ve küreselleşmeyi bilhassa
görmek istemiyorlar.
											Ve OPEC ve Orta Doğu'ya eskisi kadar
											ihtiyaç duymadığımız bir
enerji devrimi var.
											Bütün bunları tam burada
Birleşik Devletler'de üretiyoruz.
											Yani Amerikalılar güvenlik için
küresel şerif olmak istemiyor
											ya da küresel ticaretin kurucusu.
											Amerikalılar küresel değerlerin
amigosu bile olmak istemiyor.
									","
											¿Por qué? ¿Cuáles son las consecuencias?
¿Por qué estamos aquí?
											Bueno, estamos aquí
											porque en EE.UU.
											gastamos dos billones de dólares 
en guerras en Irak y Afganistán
											que fracasaron.
											Ya no queremos hacer eso.
											Gran parte de la clase media y obrera
											no se siente beneficiada por 
las promesas de la globalización
											y por eso no quieren más de eso.
											Tenemos una revolución energética
											y no necesitamos a la OPEP
ni a Medio Oriente como antes.
											Producimos todo aquí en EE.UU.
											Por eso los estadounidenses no quieren
ser los guardias de la seguridad mundial
											ni los arquitectos del comercio mundial.
											Tampoco quieren ser los animadores 
de los valores mundiales.
									",How the US should use its superpower status,Ian Bremmer,15:37,"business,china,Asia,democracy,Africa,Europe,Foreign Policy,global issues,global development,government,iraq,law,Iran,Middle East,money,military,motivation,New York,security,politics,society,South America,war,TEDx,Syria"
"
","
","
","
","
",How the US should use its superpower status,Ian Bremmer,15:37,"business,china,Asia,democracy,Africa,Europe,Foreign Policy,global issues,global development,government,iraq,law,Iran,Middle East,money,military,motivation,New York,security,politics,society,South America,war,TEDx,Syria"
"
											Ensuite, on se tourne vers l'Europe.
											Une alliance mondiale des plus importantes
											a été la relation transatlantique.
											Elle est à son plus faible niveau
depuis la Seconde Guerre mondiale.
											Et on a toutes les crises,
les discussions sur Brexit,
											l'évitement de politiques risquées
entre Français et Russes,
											Allemands et Turcs,
Britanniques et Chinois.
									","
											Well, then you look to Europe,
											and the most important
alliance in the world
											has been the transatlantic relationship.
											But it is now weaker than it has been
at any point since World War II,
											all of the crises,
the Brexit conversations,
											the hedging going on
between the French and the Russians,
											or the Germans and the Turks,
or the Brits and the Chinese.
									","
											Bem, e depois olham para a Europa,
											e a aliança mais 
importante do mundo
											tem sido a relação transatlântica.
											Mas está mais fraca agora do que alguma
vez esteve desde a II Guerra Mundial,
											todas as crises,
as discussões sobre o Brexit,
											a falta de clareza
entre franceses e russos,
											ou alemães e turcos
ou britânicos e chineses.
									","
											Avrupa'ya baktığınızda ise
											dünyanın en önemli ittifakı
											transatlantik ilişkiler olmuştur.
											Ancak şu anda 2. Dünya Savaşı'nda
olduğundan daha zayıf durumda,
											bütün krizler:
Brexit konuşmaları,
											Fransız va Ruslar arasındaki
finansal koruma
											ya da Alman ve Türkler arasındaki
ya da İngiliz ve Çinliler arasındaki.
									","
											Bueno, luego miren Europa,
											y la alianza más importante del mundo
											ha sido la relación transatlántica.
											Pero ahora es más débil que siempre
desde la Segunda Guerra Mundial,
											Todas las crisis,
las conversaciones del Brexit,
											los rodeos entre franceses y rusos,
											o alemanes y turcos,
o británicos y chinos.
									",How the US should use its superpower status,Ian Bremmer,15:37,"business,china,Asia,democracy,Africa,Europe,Foreign Policy,global issues,global development,government,iraq,law,Iran,Middle East,money,military,motivation,New York,security,politics,society,South America,war,TEDx,Syria"
"
","
","
","
","
",How the US should use its superpower status,Ian Bremmer,15:37,"business,china,Asia,democracy,Africa,Europe,Foreign Policy,global issues,global development,government,iraq,law,Iran,Middle East,money,military,motivation,New York,security,politics,society,South America,war,TEDx,Syria"
