en,tr,fr,es,de,title,speaker,duration,tags
"
											I decided, let me keep taking
these art history classes.
											One of the last art history classes,
I will not forget, I will never forget.
											It was one of those survey
art history classes.
											Anybody ever have one of those
survey art history classes,
											where they try to teach you
the entire history of art
											in a single semester?
											I'm talking about cave paintings
and Jackson Pollock
											just crunched together all in the same —
											It doesn't really work,
but they try anyway.
											Well, at the beginning of the semester,
											I looked at the book,
											and in this 400-page book
was about a 14-page section
											that was on black people in painting.
											Now, this was a crammed in section
											that had representations
of black people in painting
											and black people who painted.
											It was poorly curated,
let's just put it that way.
									","
											Sonra sanat tarihi derslerine
devam etmeye karar verdim.
											Son sanat tarihi derslerinden birini,
asla ama asla unutmayacağım.
											Sanat tarihi hakkında genel
inceleme derslerinden biriydi.
											Bu genel sanat tarihi
dersini alan var mı,
											hani şu bütün sanat tarihini
tek bir döneme sığdırarak
											öğretmeye çalıştıkları dersler?
											Mağara resimleri ile Jackson Pollock'un
											iç içe geçirildiği dersler.
											İşe yaramıyor ama en azından çabalıyorlar.
											Dönemin başında,
											kitaba baktım
											ve 400 sayfalık kitabın,
14 sayfalık kısmı
											siyahların resimdeki yerine ayrılmıştı.
											Şimdi, kitabın bu bölümüne
											tablolardaki siyahi tasvirleri
ve ressam siyahlar
											örneklerle tıkıştırılmıştı.
											Yetersiz bir şekilde derlenmişti diyelim.
									","
											J'ai continué à suivre
ces cours d'histoire de l'art.
											L'un de mes derniers cours d'histoire
de l'art, je ne l'oublierai jamais.
											C'était une sorte
de vue d'ensemble.
											Vous avez déjà assisté
à un de ces cours
											qui essaient de vous enseigner
la totalité de l'histoire de l'art
											en un seul semestre ?
											Je parle des peintures rupestres
et de Jackson Pollock
											coincés ensemble dans le même —
											ça ne marche pas vraiment,
mais ils essaient quand même.
											Eh bien, au début du semestre,
											j'ai feuilleté le livre
											et dans ce livre de 400 pages,
il y avait une section de 14 pages
											sur les Noirs dans la peinture.
											C'était une section où l'on avait fourré
											les représentations de personnes
noires dans la peinture
											et les personnes noires
qui étaient peintres.
											Disons simplement que la sélection
était vraiment pauvre.
									","
											Decidí continuar tomando esas clases.
											Nunca me voy a olvidar
de una de las últimas clases.
											Era una de esas clases introductorias.
											¿Alguna vez fueron a una
de esas clases introductorias
											donde intentan enseñarles
toda la historia del arte
											en un solo semestre?
											Hablo de pinturas rupestres
y Jackson Pollock
											todo comprimido...
											No funciona realmente,
pero igual lo intentan.
											Al principio del semestre
											miré el libro,
											y en este libro de 400 páginas
había una sección de 14 páginas
											sobre gente de color en la pintura.
											Era una sección metida a la fuerza
											con representaciones
de gente de color en la pintura
											y personas de color que pintaban.
											No estaba bien integrada, por decirlo así.
									","
											Ich belegte weiter
diese Kurse in Kunstgeschichte.
											Einen der letzten Kurse
werde ich nie vergessen.
											Es war ein Übersichtskurs.
											Haben Sie mal einen Kurs belegt,
											in dem versucht wird,
die ganze Kunstgeschichte
											in einem Semester zu lehren?
											Von Höhlenmalerei bis zu Jackson Pollock
											alles zusammengequetscht —
											Es funktioniert nicht,
aber sie versuchen es.
											Am Anfang des Semesters
											sah ich mir das Buch an,
											und in diesem 400-seitigen Buch
gab es ungefähr 14 Seiten
											mit Bildern von schwarzen Menschen.
											Das war ein vollgestopftes Kapitel
											mit Malerei von schwarzen Menschen
											und schwarzen Malern.
											Sagen wir: es war einfach
schlecht zusammengestellt.
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											(Laughter)
									","
											(Kahkaha)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											Nonetheless I was really excited about it,
											because in all
the other classes that I had,
											we didn't even have that conversation.
											We didn't talk about it at all.
											So imagine my surprise
											when I get to class
											and on the day that we're supposed
to go over that particular chapter,
											my professor announces,
											""We're going to skip this chapter today
											because we do not have time
to go through it.""
									","
											Ama yine de çok heyecanlanmıştım,
											çünkü aldığım diğer derslerin hiç birinde
											bu konunun lafı bile geçmemişti.
											Bunu hiç konuşmamıştık.
											O kısmı işleyeceğimiz gün
											çalışacağımız gün,
											sınıfa girdiğimde profesörün
şu açıklamasını duyunca
											şaşkınlığımı hayal edin,
											''Bugün bu bölümü atlayacağız,
											işlemek için yeterli zamanımız yok.''
									","
											J'étais malgré tout très impatient,
											parce que dans tous les autres cours,
											nous n'avions même
pas eu cette discussion.
											Nous n'en avions pas du tout parlé.
											Imaginez donc ma surprise
											lorsque j'arrive en classe
											et que le jour où nous sommes
censés étudier ce chapitre,
											mon professeur annonce :
											« Nous allons sauter ce chapitre
											parce que n'avons pas le temps
de l'étudier. »
									","
											Sin embargo, me entusiasmaba,
											porque en el resto de las clases
											ni habíamos tenido esa conversación.
											No hablamos de eso en absoluto.
											Así que imaginen mi sorpresa
											cuando llegué a clase
											el día que se suponía
que íbamos a ver ese capítulo
											y mi profesora anuncia:
											""Vamos a saltarnos este capítulo
											porque no tenemos tiempo para verlo"".
									","
											Dennoch hat es mich sehr begeistert,
											denn in all meinen anderen Kursen,
											sprachen wir gar nicht darüber.
											Wir sprachen nie darüber.
											Stellen Sie sich mein Erstaunen vor,
als ich in die Klasse kam,
											und mein Lehrer an dem Tag, an dem
wir das Kapitel bearbeiten sollten, sagte,
											""Wir überspringen dieses Kapitel heute,
											weil wir keine Zeit dafür haben.""
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											""Whoa, I'm sorry,
hold on, professor, professor.
											I'm sorry. This is a really
important chapter to me.
											Are we going to go over it at any point?""
									","
											''Aaa, pardon, bir saniye,
profesör, profesör,
											pardon ama bu kısım
benim için gerçekten önemli.
											Başka bir zamanda işleyecek miyiz?''
									","
											« Wow, je suis désolé,
attendez, professeur, professeur.
											Je suis désolé. C'est un chapitre
vraiment important pour moi.
											Est-ce qu'on va l'étudier
à un moment donné ? »
									","
											""Perdón, espere, profesora.
											Perdón, este capítulo
es muy importante para mí.
											¿Lo vamos a ver algún día?""
									","
											""Was, entschuldigen Sie,
einen Moment bitte, Professor.
											Das Kapitel ist wirklich wichtig für mich.
											Werden wir es irgendwann bearbeiten?""
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											""Titus, we don't have time for this.""
									","
											''Titus, bunun için vaktimiz yok.''
									","
											« Titus, nous n'avons pas le temps. »
									","
											""Titus, no tenemos tiempo"".
									","
											""Titus, wir haben keine Zeit dafür.""
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
