pt,fr,de,title,speaker,duration,tags
"
											Mas, por fim, aqueles dados
são digitados num computador
											e alguém pode começar a analisá-los.
											Assim que têm uma análise e um relatório,
											esperemos que possamos tirar 
resultados dessa colecção de dados
											e usá-los para vacinar melhor as crianças.
									","
											Mais avec un peu de chance, ces données 
finissent par être entrées dans l'ordinateur,
											et quelqu'un peut commencer à les analyser.
											Dès qu'ils ont une analyse et un rapport,
											si on a de la chance, on peut prendre
les résultats de cette collecte
											et les utiliser 
pour vacciner les enfants plus efficacement.
									","
											Aber schlussendlich werden diese Daten 
in einen Computer getippt,
											und jemand kann mit dem Analysieren anfangen,
											und wenn sie eine Analyse und ein Gutachten haben,
											dann kann man die Ergebnisse der Daten hoffentlich
											zur Verbesserung der Kinderimpfung nutzen.
									",The big-data revolution in health care,Joel Selanikio,16:18,"TEDx,data,global issues,health,technology"
"
","
","
",The big-data revolution in health care,Joel Selanikio,16:18,"TEDx,data,global issues,health,technology"
"
											Porque, se existe alguma coisa pior
											no ramo da saúde pública global,
											eu não sei o que é pior do que
permitir que crianças neste planeta
											morram de doenças
para as quais existem vacinas,
											doenças para as quais
as vacinas custam um dolár.
											Milhões de crianças morrem
devido a estas doenças, todos os anos.
											E milhões são uma estimativa por alto
											porque não sabemos exactamente
											quantas crianças morrem por ano, 
com estas doenças.
									","
											Parce qu'il n'y a rien de pire
											dans le domaine de la santé publique,
											je ne sais pas ce qui est pire que de laisser 
des enfants sur cette planète
											mourir de maladies que l'on peut éviter 
en les vaccinant,
											des maladies pour lesquelles 
les vaccins coûtent un dollar.
											Des millions d'enfants meurent
de ces maladies chaque année.
											En réalité, des millions est
une évaluation approximative, parce que
											nous ne savons pas vraiment combien d'enfants
meurent chaque année de ces maladies.
									","
											Wenn es irgendwas Schlimmeres gibt
											im Bereich des globalen Gesundheitswesen,
											ich weiß nicht was schlimmer sein sollte, 
als dass Kinder auf diesem Planeten
											an durch Impfung vermeidbaren Krankheiten sterben,
											Krankheiten, deren Impfung einen Dollar kostet.
											Und Millionen von Kindern sterben 
jedes Jahr an solchen Krankheiten.
											Fakt ist auch, dass Millionen ein grobe Schätzung ist,
											weil wir in Wirklichkeit gar nicht wissen, 
wie viele tatsächlich daran sterben.
									",The big-data revolution in health care,Joel Selanikio,16:18,"TEDx,data,global issues,health,technology"
"
","
","
",The big-data revolution in health care,Joel Selanikio,16:18,"TEDx,data,global issues,health,technology"
"
											O que torna a situação
ainda mais frustrante
											é que a parte da inserção de dados,
a parte que eu fazia,
											às vezes pode demorar seis meses.
											Às vezes pode demorar dois anos
											a digitar aquela informação num computador,
											e muitas vezes nunca chega a acabar.
											Agora tentem compreender isto.
											Têm equipas de centenas de pessoas.
											Elas vão para o terreno para
responder uma certa pergunta.
											Provavelmente gastaram-se
centenas de milhares de dólares
											em combustível e fotocópias por dia.
											Depois, por alguma razão,
a dinâmica perde-se
											ou deixa de haver dinheiro,
											e tudo isso acaba
											porque ninguém introduz
os dados no computador.
											O processo simplesmente para.
Acontece muitas vezes.
											É nisto que baseamos as nossas 
decisões acerca de saúde global:
											poucos dados, dados antigos, nenhuns dados.
									","
											Ce qui fait que c'est
encore plus frustrant, c'est que
											l'entrée des données, 
ce que je faisais quand j'étais étudiant,
											peut prendre quelquefois six mois.
											Quelquefois cela peut prendre deux ans 
pour saisir l'information
											dans l'ordinateur, et quelquefois,
en fait souvent,
											ce n'est même jamais fait.
											Essayez de vous imaginer
cela un instant.
											Vous avez des équipes
de centaines des personnes
											qui sont venues sur le terrain 
pour répondre à une question en particulier.
											Vous avez probablement dépensé 
des centaines de milliers de dollars
											en carburant, en photocopies, 
en indemnités journalières,
											et puis, pour une raison ou une autre, 
l'élan est perdu
											ou il ne reste plus d'argent,
											et tout cela se solde par un échec
											parce que personne 
n'a entré les données dans un ordinateur.
											Le processus s'arrête. Ça arrive tout le temps.
											C'est là-dessus que nous fondons
nos décisions en santé publique :
											peu de données, des données anciennes, 
pas de données.
									","
											Was es noch frustrierender macht, ist,
											dass das Eingeben der Daten, 
dass, was ich als Doktorand machte,
											manchmal 6 Monate dauert.
											Manchmal dauert es 2 Jahre, 
um die Informationen
											in einen Computer einzugeben, 
und gar nicht selten,
											passiert es auch gar nicht.
											Nun versuchen Sie mal, 
das zu begreifen.
											Man hatte Teams aus hunderten von Leuten.
											Sie sind alle raus gegangen, 
um eine Frage zu beantworten.
											Man hat wahrscheinlich 
hunderttausende von Dollar ausgegeben,
											für Benzin, fürs Kopieren und die Tagesspesen,
											dann, aus irgendeinem Grund, ist der Schwung weg,
											oder es gibt kein Geld mehr,
											und alles verläuft sich im Sand,
											weil es am Ende niemand in den Computer eintippt.
											Der Prozess kommt einfach zum Halt. 
Das passiert andauernd.
											Das ist unsere Entscheidungsbasis 
im globalen Gesundheitswesen:
											wenige Daten, alte Daten, gar keine Daten.
									",The big-data revolution in health care,Joel Selanikio,16:18,"TEDx,data,global issues,health,technology"
"
","
","
",The big-data revolution in health care,Joel Selanikio,16:18,"TEDx,data,global issues,health,technology"
"
											Em 1995, comecei a pensar numa forma
											de melhorar este processo.
											Obviamente que 1995 já foi há muito tempo.
											Até me assusto de pensar
há quanto tempo foi.
											O melhor filme do ano foi
											""Die Hard — a Vingança.""
											Como vêem, o Bruce Willis
tinha mais cabelo nessa altura.
											Eu estava a trabalhar nos
Centros para Controlo de Doenças,
											e também tinha mais cabelo nessa altura.
									","
											Alors en 1995, j'ai commencé
à imaginer des façons
											d'améliorer ce processus.
											1995, c'était, évidemment, il y a longtemps.
											Ça me fait un peu peur de penser 
à combien d'années se sont écoulées depuis.
											Le film de l'année était
											« Die Hard 3 : une journée en enfer. »
											Comme vous voyez, Bruce Willis avait
beaucoup plus de cheveux en ce temps-là.
											Je travaillais pour les Centres
pour le Contrôle des Maladies,
											et j'avais aussi 
beaucoup plus de cheveux à cette époque.
									","
											Damals, 1995, begann ich, über Wege nachzudenken,
											mit denen wir diesen Prozess verbessern könnten.
											1995 liegt offensichtlich eine lange Zeit zurück.
											Es ängstigt mich etwas, daran 
zu denken, wie lange das her ist.
											Der Topfilm des Jahres war
											""Stirb langsam: Jetzt erst recht.""
											Wie Sie sehen, hatte Bruce Willis 
damals viel mehr Haare.
											Ich arbeitete bei ""Centers for Disease Control"" (CDC).
											und ich hatte damals auch viel mehr Haare.
									",The big-data revolution in health care,Joel Selanikio,16:18,"TEDx,data,global issues,health,technology"
"
","
","
",The big-data revolution in health care,Joel Selanikio,16:18,"TEDx,data,global issues,health,technology"
"
											Mas para mim, a coisa 
mais importante que vi em 1995
											foi isto.
											É difícil imaginar, mas em 1995,
											isto era o melhor e mais moderno
dispositivo móvel.
											Certo? Não era um IPhone.
Não era um Galaxy.
											Era um Palm Pilot.
											Quando vi o Palm Pilot
pela primeira vez, pensei:
											Pporque é que não colocamos 
os formulários nestes Palm Pilots
											e vamos para o terreno,
levando apenas um Palm Pilot
											que pode guardar dezenas de milhares 
de formulários em papel?
											
Porque é que não experimentamos isto?
											Porque, se pudermos fazer isso,
											se pudermos recolher os dados
de modo electrónico, digital,
											desde o início,
											fazemos um atalho nesse processo
											da digitação,
											ter alguém a escrever as coisas
no computador.
											Podemos saltar logo para a análise
											e depois para a utilização dos dados
para realmente salvar vidas.
									","
											Mais pour moi, la chose la plus importante 
que j'ai vue en 1995
											c'était ceci.
											C'est difficile à imaginer, mais en 1995,
											c'était le dispositif portable dernier cri.
											N'est-ce pas ? Ce n'était pas un iPhone. 
Ce n'était pas un Galaxy.
											C'était un Palm Pilot.
											Quand j'ai vu le Palm Pilot pour la première fois, 
j'ai pensé :
											pourquoi ne pas mettre les formulaires 
sur ces Palm Pilots
											et aller sur le terrain
avec seulement un Palm Pilot,
											qui peut contenir les dizaines de milliers
											de formulaires papier ?
Pourquoi ne pas essayer cela ?
											Parce que si nous pouvons faire cela, 
si nous pouvons
											collecter les données électroniquement, numériquement,
											dès le début,
											nous pouvons raccourcir le processus
											d'entrée des données,
											ne plus avoir quelqu'un entrant
l'information dans l'ordinateur.
											Nous pouvons aller directement à l'analyse,
											puis directement à l'utilisation des données
pour sauver des vies.
									","
											Aber für mich war das Bedeutsamste,
was ich 1995 sah,
											das hier.
											Schwer vorstellbar, aber 1995
											war dies das ultimative Eliten-Handy.
											Nicht wahr? Es war kein iPhone, kein Galaxy Phone.
											Es war ein ""Palm Pilot"".
											Und als ich den Palm Pilot 
zum ersten Mal sah, dachte ich,
											warum können wir die Formulare 
nicht auf diese Palm Pilots packen,
											und mit nur einem Palm Pilot rausgehen,
											das zehntausende dieser Papierformulare
											speichern kann? Warum versuchen wir das nicht?
											Wenn wir das schaffen, wenn wir einfach
											die Daten elektronisch, digital sammeln,
											von Anfang an,
											dann nehmen wir eine Abkürzung 
durch den ganzen Prozess
											des Tippens,
											durch das ganze Abtippen in den Computer.
											Wir können sofort zur Analyse hüpfen,
											und die Daten dann direkt zum Lebenretten nutzen.
									",The big-data revolution in health care,Joel Selanikio,16:18,"TEDx,data,global issues,health,technology"
"
","
","
",The big-data revolution in health care,Joel Selanikio,16:18,"TEDx,data,global issues,health,technology"
"
											Isso foi o que eu comecei a fazer.
											Ao trabalhar no CCD, 
comecei a viajar pelo mundo fora
											para programas diferentes
											e a treinar as pessoas
para usarem Palm Pilots
											para recolher os dados,
em vez de usarem papel.
											Na verdade, correu bem.
											Correu exactamente como previsto.
											Surpresa!
											A recolha de dados digital
											é mais eficiente do que a recolha em papel.
											Enquanto estava a fazê-lo,
a minha parceira, a Rose,
											— que está aqui na audiência 
com o seu marido, Matthew —
											a Rose estava a fazer uma coisa parecida
para a Cruz Vermelha americana.
									","
											C'est donc ce que j'ai commencé à faire.
											Travaillant au CCM, j'ai commencé à voyager 
dans différents programmes
											à travers le monde et je les ai formés
à l'utilisation des Palm Pilots
											pour collecter des données, 
plutôt que d'utiliser du papier.
											Et ça a très bien marché.
											Ça a marché exactement 
comme n'importe qui l'aurait prédit.
											Qui l'eût cru ?
La collecte numérique de données
											est plus efficace que la collecte sur papier.
											Pendant que je faisais cela, 
mon associée, Rose,
											qui est ici avec son mari, Matthew, 
ici dans le public,
											Rose faisait la même chose 
pour la Croix-Rouge américaine.
									","
											Damit habe ich angefangen.
											Für die CDC reiste ich zu den 
verschiedenen Programmen,
											auf der ganzen Welt und brachte ihnen 
die Benutzung des Palm Pilot bei,
											damit sie die Daten nicht mehr auf Papier sammeln.
											Und es funktionierte auch super.
											Es funktionierte so gut, wie 
jeder vorhersehen konnte.
											Ach, wirklich? Das digitale Sammeln von Daten
											ist wirklich effizienter als das Sammeln auf Papier.
											Während ich das machte, war 
meine Geschäftspartnerin, Rose,
											die heute mit ihrem Ehemann 
Matthew hier im Publikum sitzt,
											Rose war dabei ähnliche Sachen für 
das amerikanische Rote Kreuz zu machen.
									",The big-data revolution in health care,Joel Selanikio,16:18,"TEDx,data,global issues,health,technology"
"
","
","
",The big-data revolution in health care,Joel Selanikio,16:18,"TEDx,data,global issues,health,technology"
