pt,de,fr,title,speaker,duration,tags
"
","
","
","To understand autism, don't look away",Carina Morillo,7:09,"TED en Español,children,Autism spectrum disorder,communication,personal growth,social change,family,TEDx,parenting,art"
"
											Como era possível
											que, com dois anos e meio,
não respondesse ao seu nome
											mas, no meio daquela chuva e neblina,
em que quase não se via nada,
											fosse capaz de reconhecer
perfeitamente o caminho?
											Dei-me conta de que Ivan
tinha uma memória visual excecional,
											e que ia ser essa
a minha porta de entrada.
									","
											Ich fing an, alles zu fotografieren,
											und ihn so das Leben zu lehren.
											Ich zeigte es ihm, Bild für Bild.
											Auch heute teilt Ivan so mit,
											was er möchte,
											was er braucht
											und auch was er fühlt.
									","
											Comment était-il possible
											qu'à deux ans et demi,
il ne réponde pas à son prénom,
											mais au milieu d'un brouillard
											et d'une pluie intenses,
											où je n'arrivais guère à voir,
											lui était capable de reconnaître
la route parfaitement ?
											C'est là que je me suis rendu compte
											de l'excellente mémoire visuelle
dont Ivan jouissait
											et que c'était grâce à ça
que j'allais me rapprocher de lui.
									","To understand autism, don't look away",Carina Morillo,7:09,"TED en Español,children,Autism spectrum disorder,communication,personal growth,social change,family,TEDx,parenting,art"
"
","
","
","To understand autism, don't look away",Carina Morillo,7:09,"TED en Español,children,Autism spectrum disorder,communication,personal growth,social change,family,TEDx,parenting,art"
"
											Comecei a tirar fotografias a tudo
											e a ensinar-lhe a vida assim,
											mostrando-as... foto a foto.
											Hoje continua a ser a forma
como Ivan nos transmite
											o que quer, de que necessita
											e também, o que sente.
									","
											Aber nicht nur
Ivans Blickkontakt war wichtig —
											der aller anderen auch.
											Wie konnte ich die Menschen dazu bringen,
nicht nur seinen Autismus zu sehen,
											sondern auch ihn als Mensch
											und alles, was er geben kann?
											Alles, was er tun kann.
											Die Dinge, die er mag und nicht mag.
											Genauso wie jeder von uns.
											Aber dafür musste ich auch etwas geben.
											Ich musste die Kraft aufbringen,
ihn loszulassen.
											Das war sehr schwierig.
									","
											C'est ainsi que j'ai commencé
à tout prendre en photo
											et à lui montrer la vie de cette façon, 
en lui montrant
											photo après photo.
											Et, c'est encore de cette manière
qu'Ivan exprime ce qu'il veut,
											ce dont il a besoin,
											et aussi ce qu'il ressent.
									","To understand autism, don't look away",Carina Morillo,7:09,"TED en Español,children,Autism spectrum disorder,communication,personal growth,social change,family,TEDx,parenting,art"
"
","
","
","To understand autism, don't look away",Carina Morillo,7:09,"TED en Español,children,Autism spectrum disorder,communication,personal growth,social change,family,TEDx,parenting,art"
"
											Mas o problema não era apenas
com o olhar de Ivan.
											Era também com os olhares
dos outros.
											Como conseguir
											que não olhassem só para o seu autismo,
											mas que olhassem para ele,
											para tudo o que ele pode dar?
											Com tudo o que ele é capaz de fazer?
											Com as coisas de que gosta,
aquelas de que não gosta,
											como qualquer um de nós?
											Para isso, eu também
tinha que contribuir.
											Tinha que decidir-me a libertá-lo.
											Isso custava-me imenso.
									","
											Als Ivan 11 Jahre alt war,
											ging er zur Behandlung
zu einem Haus ganz in der Nähe.
											Eines Nachmittags,
während ich auf ihn wartete,
											ging ich zum Gemüsehändler,
											ein typischer Tante-Emma-Laden,
mit ein bisschen von allem.
											Beim Einkaufen sprach ich
mit Jose, dem Besitzer.
											Ich erzählte ihm von Ivan,
											dass er Autismus hat,
											und dass ich ihm beibringen wollte,
allein durch die Straßen zu gehen,
											ohne dass ihn jemand an die Hand nimmt.
									","
											Mais l'enjeu ne se trouvait
uniquement dans le regard d'Ivan.
											Il se trouvait aussi
dans les regards des autres.
											Comment faire pour
											que les gens ne regardent pas
son trouble autistique
											mais le regardent lui,
											avec tout ce qu'Ivan peut nous montrer ?
											Avec tout ce qu'il peut faire ?
											Avec les choses qu'il aime,
qu'il n'aime pas,
											comme chacun d'entre nous ?
											Mais pour arriver à ça, je devais
moi-même faire des efforts.
											Je devais lâcher prise.
											Et j'avais beaucoup de mal.
									","To understand autism, don't look away",Carina Morillo,7:09,"TED en Español,children,Autism spectrum disorder,communication,personal growth,social change,family,TEDx,parenting,art"
"
","
","
","To understand autism, don't look away",Carina Morillo,7:09,"TED en Español,children,Autism spectrum disorder,communication,personal growth,social change,family,TEDx,parenting,art"
"
											Ivan tinha 11 anos
											e fazia o tratamento muito perto
de casa, noutro bairro.
											Uma tarde, enquanto
estava à espera dele,
											entrei numa loja de legumes,
											uma típica loja de legumes de bairro
que tem um pouco de tudo.
											Enquanto compra, não compra,
											pus-me a conversar com José, o dono.
											Falei-lhe de Ivan, que tinha autismo
											e que eu queria que ele aprendesse
a andar sozinho na rua,
											sem andar de mão dada com ninguém.
									","
											Also fragte ich Jose, ob
Ivan donnerstags um 14 Uhr
											kommen konnte, um ihn zu helfen, die
Wasserflaschen in den Regalen zu ordnen.
											Denn er liebt es, Dinge anzuordnen.
											Als Belohnung würde er
Schokokekse kaufen.
											Die mochte er am liebsten.
											Er sagte sofort ""Ja"".
											Und so ging es dann ein Jahr lang:
											Ivan ging zum Gemüsehändler,
											half ihm die Regale mit
den Wasserflaschen zu ordnen,
											sodass die Etiketten alle
perfekt gleich ausgerichtet waren,
											und ging dann glücklich
mit seinen Schokokeksen.
									","
											Ivan avait 11 ans,
											il était suivi près de chez nous,
											dans un autre quartier.
											Un après-midi, alors que je prenais
mon temps en l'attendant,
											je suis entrée 
dans l'épicerie typique du quartier
											avec une grande variété de produits.
											Et pendant que je faisais les courses,
											j'ai commencé à parler avec José,
le patron.
											Je lui ai raconté qu'Ivan était autiste,
											et que je voulais qu'il apprenne 
à marcher seul dans la rue,
											sans que personne ne lui tienne la main.
									","To understand autism, don't look away",Carina Morillo,7:09,"TED en Español,children,Autism spectrum disorder,communication,personal growth,social change,family,TEDx,parenting,art"
"
","
","
","To understand autism, don't look away",Carina Morillo,7:09,"TED en Español,children,Autism spectrum disorder,communication,personal growth,social change,family,TEDx,parenting,art"
"
											Atrevi-me a perguntar-lhe
											se às quintas-feiras, às duas da tarde,
											Ivan podia ir ajudá-lo a arrumar
as prateleiras das garrafas de água
											porque ele adorava arrumar,
											e, como prémio, dar-lhe
dar-lhe umas bolachinhas de chocolate,
											as bolachas preferidas dele.
											Disse-me logo que sim.
											Isso durou um ano.
											Ivan chegava à loja de José,
											ajudava-o a arrumar as prateleiras
das garrafas de água
											que ficavam com as etiquetas
perfeitamente alinhadas,
											milimetricamente para o mesmo lado
											e ia-se embora, feliz,
											com as suas bolachas de chocolate.
									","
											Jose ist kein Autismus-Experte.
											Man muss kein Experte sein
											oder etwas Heldenhaftes tun,
um jemanden nicht auszuschließen.
											Wir müssen nur da sein —
									","
											Et j'ai osé lui demander
											si les jeudis
à deux heures de l'après-midi,
											Ivan pouvait venir l'aider
											à arranger les étagères
de bouteilles d'eau
											parce qu'il adorait ranger
											et en échange, il achèterait
des biscuits au chocolat,
											ses biscuits favoris.
											Tout de suite, il m'a dit : « Oui. »
											C'est ainsi que durant un an,
											Ivan est allé chez le marchand de légumes
											et l'a aidé à ranger les bouteilles d'eau
											impeccablement,
avec l'étiquette bien visible

											au millimètre de chaque côté.
											Et il rentrait chez lui heureux
											avec ses petits biscuits au chocolat.
									","To understand autism, don't look away",Carina Morillo,7:09,"TED en Español,children,Autism spectrum disorder,communication,personal growth,social change,family,TEDx,parenting,art"
"
","
","
","To understand autism, don't look away",Carina Morillo,7:09,"TED en Español,children,Autism spectrum disorder,communication,personal growth,social change,family,TEDx,parenting,art"
"
											José não é especialista em autismo.
											Não é preciso ser especialista de nada,
											nem fazer nenhuma façanha
para incluir outra pessoa.
											Simplesmente temos que estar...
									","
											(Beifall)
									","
											José n'est pas un expert en autisme.
											Mais, il ne faut pas être un expert
											ni réussir un exploit, pour
comprendre son prochain.
											Simplement, nous devons être…
									","To understand autism, don't look away",Carina Morillo,7:09,"TED en Español,children,Autism spectrum disorder,communication,personal growth,social change,family,TEDx,parenting,art"
"
","
","
","To understand autism, don't look away",Carina Morillo,7:09,"TED en Español,children,Autism spectrum disorder,communication,personal growth,social change,family,TEDx,parenting,art"
"
											(Aplausos)
									","
											wirklich, keine heldenhafte Tat —
											Wir müssen einfach nur nah sein.
											Und wenn wir Angst vor etwas haben
											oder etwas nicht verstehen,
											müssen wir fragen.
											Seien wir neugierig,
											aber niemals gleichgültig.
									","
											(Applaudissements)
									","To understand autism, don't look away",Carina Morillo,7:09,"TED en Español,children,Autism spectrum disorder,communication,personal growth,social change,family,TEDx,parenting,art"
"
","
","
","To understand autism, don't look away",Carina Morillo,7:09,"TED en Español,children,Autism spectrum disorder,communication,personal growth,social change,family,TEDx,parenting,art"
"
											É verdade, não é nenhuma façanha.
											Simplesmente, temos que estar perto.
											Se alguma coisa nos mete medo,
											ou não percebemos, perguntemos,
											sejamos curiosos,
											mas nunca indiferentes.
									","
											Haben wir den Mut,
einander in die Augen zu sehen.
											Denn durch Ansehen
											können wir anderen eine ganze Welt öffnen.
									","
											C'est vrai, ce n'est pas compliqué.
											nous devons tout simplement
rester proches.
											Et si quelque chose nous effraye
											ou si quelque chose nous échappe,
											demandons, soyons curieux,
											mais jamais indifférents.
									","To understand autism, don't look away",Carina Morillo,7:09,"TED en Español,children,Autism spectrum disorder,communication,personal growth,social change,family,TEDx,parenting,art"
"
","
","
","To understand autism, don't look away",Carina Morillo,7:09,"TED en Español,children,Autism spectrum disorder,communication,personal growth,social change,family,TEDx,parenting,art"
"
											Tenhamos coragem de nos olharmos nos olhos
											porque, com o nosso olhar,
											podemos abrir um mundo a outra pessoa.
									","
											(Beifall)
									","
											Ayons le courage
de nous regarder dans les yeux,
											puisque avec un regard,
											nous pouvons ouvrir le monde
à quelqu'un d'autre.
									","To understand autism, don't look away",Carina Morillo,7:09,"TED en Español,children,Autism spectrum disorder,communication,personal growth,social change,family,TEDx,parenting,art"
"
","
","
","To understand autism, don't look away",Carina Morillo,7:09,"TED en Español,children,Autism spectrum disorder,communication,personal growth,social change,family,TEDx,parenting,art"
"
											(Aplausos)
									","
											(Jubel)
									","
											(Applaudissements)
									","To understand autism, don't look away",Carina Morillo,7:09,"TED en Español,children,Autism spectrum disorder,communication,personal growth,social change,family,TEDx,parenting,art"
"
","
","
","To understand autism, don't look away",Carina Morillo,7:09,"TED en Español,children,Autism spectrum disorder,communication,personal growth,social change,family,TEDx,parenting,art"
