fr,en,tr,de,title,speaker,duration,tags
"
","
","
","
",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
											L'année d'après, j'ai décidé d'aller
dans une école d'architecture.
									","
											So the following year, I decided
to go to architecture school.
									","
											Sonraki sene mimarlık
okumaya karar verdim.
									","
											Also beschloss ich im Jahr darauf,
Architektur zu studieren.
									",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
","
","
","
",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
											(Rires)
									","
											(Laughter)
									","
											(Kahkahalar)
									","
											(Gelächter)
									",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
","
","
","
",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
											Mais j'y appris quelque chose
de différent sur les bâtiments.
											La reconnaissance revenait
											à ceux qui priorisaient
les formes nouvelles et sculpturales
											comme les rubans ou...
											les cornichons ?
									","
											But there, I learned
something different about buildings.
											Recognition seemed to come
											to those who prioritized
novel and sculptural forms,
											like ribbons, or ...
											pickles?
									","
											Orada binalarla ilgili farklı 
bir şey öğrendim.
											Özgün ve heykelsi formları
											önemseyenler bilinir oluyordu,
											kurdeleler gibi veya...
											turşu?
									","
											Aber damals lernte ich
etwas anderes über Gebäude.
											Anerkennung erhielten
scheinbar diejenigen,
											die neuartige und skulpturale
Formen bevorzugten,
											wie Schleifen oder ...
											Essiggurken?
									",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
","
","
","
",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
											(Rires)
									","
											(Laughter)
									","
											(Kahkahalar)
									","
											(Gelächter)
									",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
","
","
","
",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
											Je crois que c'est sensé être un escargot.
									","
											And I think this
is supposed to be a snail.
									","
											Bence bu salyangoz gibi.
									","
											Und das soll wohl eine Schnecke sein.
									",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
","
","
","
",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
											Quelque chose me dérangeait.
											Pourquoi les meilleurs architectes,
les meilleures architectures —
											toutes belles, visionnaires
et innovantes —
											sont si rares
											et ne semblent servir
qu'à peu de personnes ?
											Et, pour aller plus loin :
											que pouvions-nous faire de plus
avec tout ce talent créatif ?
									","
											Something about this bothered me.
											Why was it that the best architects,
the greatest architecture —
											all beautiful and visionary
and innovative —
											is also so rare,
											and seems to serve so very few?
											And more to the point:
											With all of this creative talent,
what more could we do?
									","
											Bu canımı sıktı.
											Neden en iyi mimarlar, en iyi mimari —
											güzel ve vizyoner ve yenilikçi olan —
											bu kadar az,
											ve bu kadar az işe yarıyor?
											Daha açık olmak gerekirse:
											Bu kadar yaratıcı yetenekle, 
daha fazla neler yapabiliriz?
									","
											Etwas daran störte mich.
											Warum ist die geniale Architektur
der besten Architekten —
											so schön, visionär und innovativ —
											so selten und dient scheinbar so wenigen?
											Um es auf den Punkt zu bringen:
											Was könnten wir noch
mit all dem kreativen Talent machen?
									",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
","
","
","
",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
											Alors que j'allais entamer
mes examens finaux,
											j'ai décidé de prendre une pause
pendant mes révisions
											et d'aller à une conférence
du docteur Paul Farmer,
											un militant actif pour la santé
des pauvres du monde.
											J'ai été surpris d'entendre un docteur
parler d'architecture.
											Il disait que les bâtiments
rendaient les gens plus malades
											et, pour les plus pauvres,
											cela causait des problèmes d'épidémie.
											Dans cet hôpital d'Afrique du Sud,
											les patients arrivaient
avec une jambe cassée,
											attendaient dans un couloir non ventilé
											et partaient avec une tuberculose
résistante aux médicaments.
											Les designs de contrôle des infections
n'avaient pas été assez réfléchis
											et des gens en étaient morts.
									","
											Just as I was about to start
my final exams,
											I decided to take a break
from an all-nighter
											and go to a lecture by Dr. Paul Farmer,
											a leading health activist
for the global poor.
											I was surprised to hear a doctor
talking about architecture.
											Buildings are making
people sicker, he said,
											and for the poorest in the world,
											this is causing epidemic-level problems.
											In this hospital in South Africa,
											patients that came in
with, say, a broken leg,
											to wait in this unventilated hallway,
											walked out with a multidrug-resistant
strand of tuberculosis.
											Simple designs for infection control
had not been thought about,
											and people had died because of it.
									","
											Final sınavlarım başlamak üzereydi,
											Bir ara verdim
											ve Dr. Paul Farmer'ın
bir dersine katıldım.
											Kendisi küresel yoksullar için
önde gelen bir sağlık aktivisti.
											Bir doktorun mimari hakkında 
konuşması ilginç gelmişti.
											Binalar insanları hasta ediyor, dedi.
											Dünyadaki yoksullar için bu
											bulaşıcı hastalıklara yol açıyor.
											Güney Afrika'daki bu hastaneye,
											mesela kırık bir bacakla gelen,
											bu havasız koridorda bekliyor,
											birçok ilaca dirençli bir 
tüberküloz ile çıkıyor.
											Enfeksiyonu önleyecek basit tasarımlar
											düşünülmediğinden insanlar öldü.
									","
											Zu Beginn meiner Abschlussprüfungen
											beschloss ich, eine Pause
bei einer Nachtschicht einzulegen
											und zu einer Vorlesung
von Dr. Paul Farmer zu gehen,
											ein führender Gesundheitsaktivist
für die Armen der Welt.
											Ich war überrascht,
dass ein Arzt über Architektur sprach.
											Er sagte, dass Gebäude
Menschen kränker machen,
											was für die Ärmsten der Welt
											zu epidemischen Problemen führe.
											In diese Klinik in Südafrika
											kamen Patienten etwa
mit einem gebrochen Bein,
											warteten in diesem unbelüfteten Flur
											und gingen wieder mit einem
multiresistenten Tuberkulose-Keim.
											Man hatte einfache Gestaltungen
zum Infektionsschutz vergessen,
											daher waren Menschen gestorben.
									",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
","
","
","
",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
											« Où sont les architectes ? » disait Paul.
											Si les hôpitaux
rendent les gens plus malades,
											où sont les architectes, designers
											pour nous aider à construire et penser
des hôpitaux pour guérir ?
									","
											""Where are the architects?"" Paul said.
											If hospitals are making people sicker,
											where are the architects and designers
											to help us build and design
hospitals that allow us to heal?
									","
											""Mimarlar nerede?"" dedi Paul.
											Eğer hastaneler insanları hasta ediyorsa,
											hastaları iyileştirmemiz için uygun
											hastaneler tasarlayacak 
mimarlar nerede?
									","
											""Wo sind die Architekten?"", fragte Paul.
											Wenn Kliniken Menschen kränker machen,
											wo sind die Architekten und Designer,
											um uns bei Bau und Gestaltung von Kliniken
zu helfen, die uns ermöglichen, zu heilen?
									",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
","
","
","
",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
											L'été suivant,
											j'étais dans un Land Rover
avec des camarades de classe,
											nous étions secoués
sur les versants montagneux du Rwanda.
											L'année suivante, j'ai vécu à Butaro
dans cette vieille pension
											qui était une prison après le génocide.
											J'étais là pour concevoir et construire
un nouveau type d'hôpital
											avec le docteur Farmer et son équipe.
											Si les couloirs rendent
les patients plus malades,
											pourquoi ne pas concevoir un hôpital
où les couloirs sont à l'extérieur
											et où les gens marchent dehors ?
											Si les systèmes mécaniques
fonctionnent rarement,
											pourquoi ne pas concevoir un hôpital
pouvant respirer
											grâce à une ventilation naturelle,
											tout en réduisant son empreinte carbone ?
									","
											That following summer,
											I was in the back of a Land Rover
with a few classmates,
											bumping over the mountainous
hillside of Rwanda.
											For the next year, I'd be living in Butaro
in this old guesthouse,
											which was a jail after the genocide.
											I was there to design and build
a new type of hospital
											with Dr. Farmer and his team.
											If hallways are making patients sicker,
											what if we could design a hospital
that flips the hallways on the outside,
											and makes people walk in the exterior?
											If mechanical systems rarely work,
											what if we could design a hospital
that could breathe
											through natural ventilation,
											and meanwhile reduce
its environmental footprint?
									","
											Sonraki yaz,
											birkaç sınıf arkadaşımla
bir Land Rover'ın arkasında,
											Ruanda'nın engebeli dağlarını aşıyorduk.
											Bir sonraki sene, Butaro'da, soykırımdan 
sonra hapishane olarak
											kullanılmış bu pansiyonda
yaşıyor olacaktım.
											Dr. Farmer ve ekibi ile yeni bir 
hastane modeli tasarlamak
											ve inşa etmek üzere oradaydım.
											Koridorlar insanları daha
fazla hasta ediyorsa,
											insanların açık havadaki koridorlarda 

											yürüdükleri bir hastane 
tasarlayabilir miydik?
											Madem mekanik sistemler çalışmıyor,
											o hâlde, doğal havalandırma ile
											nefes alan hastaneler tasarlayabilir,
											ekolojik ayak izini azaltabilir miydik?
									","
											Im folgenden Sommer
											saß ich mit ein paar Kommilitonen
hinten in einem Land Rover,
											wir holperten über die hügeligen
Berghänge von Ruanda.
											Das gesamte folgende Jahr lebte ich
in einem alten Gästehaus in Butaro,
											das nach dem Genozid ein Gefängnis war.
											Ich war dort, um gemeinsam mit Dr. Farmer
und seinem Team eine neue Klinikform
											zu entwerfen und bauen.
											Wenn Flure Patienten kränker machen,
											könnten wir nicht eine Klinik gestalten,
die Flure nach außen verlegt
											und Menschen dazu bringt,
dort herumzulaufen?
											Wenn mechanische Systeme
selten funktionieren,
											könnten wir dann nicht eine atmende Klinik
											mit natürlicher Belüftung entwerfen
											und unterdessen die
Umweltbelastung reduzieren?
									",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
","
","
","
",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
											Et l'expérience des patients ?
											Les faits montrent que la vue de la nature
											peut radicalement améliorer la santé.
											Alors pourquoi ne pas concevoir un hôpital
											où tous les patients ont une fenêtre
et une belle vue ?
											Des designs simples et spécifiques
peuvent créer un hôpital qui guérit.
									","
											And what about the patients' experience?
											Evidence shows
that a simple view of nature
											can radically improve health outcomes,
											So why couldn't we design a hospital
											where every patient
had a window with a view?
											Simple, site-specific designs
can make a hospital that heals.
									","
											Peki ya hastaların yaşadıkları?
											Bulgular gösteriyor ki, doğadan
küçük bir manzara bile
											sağlığı kökünden iyileştirebiliyor.
											O hâlde neden her hastanın bir penceresi
											ve manzarası olduğu
hastane tasarlamayalım?
											Basit, alana özel tasarımlar 
iyileştiren bir hastane yaratabilir.
									","
											Und was ist mit der Patientenerfahrung?
											Erwiesenermaßen kann
allein ein Blick in die Natur
											den Genesungserfolg
radikal verbessern.
											Warum also keine Klinik gestalten,
											in der jeder Patient
ein Fenster mit Ausblick hat?
											Einfache, standortspezifische Entwürfe
können eine heilende Klinik erschaffen.
									",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
","
","
","
",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
											La conception est une chose,
											la construction en est une autre.
									","
											Designing it is one thing;
											getting it built, we learned,
is quite another.
									","
											Tasarım bir şey
											ve öğrendik ki, hayata geçirmek 
başka bir şey.
									","
											Etwas zu entwerfen ist eine Sache;
											es zu bauen, wie wir lernten,
eine ganz andere.
									",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
","
","
","
",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
											Nous avons travaillé avec Bruce Nizeye,
											un ingénieur brillant,
											et il voyait la construction différemment
											que ce que j'avais appris à l'école.
											Quand nous avons dû excaver
cette énorme montagne
											et qu'un bulldozer était cher,
difficile à amener sur le site,
											Bruce a suggéré de le faire à la main
											en utilisant une méthode
appelée « Ubudehe » au Rwanda,
											soit « la communauté
travaille pour la communauté ».
											Des centaines de personnes
sont venues avec pelles et binettes
											et nous avons excavé cette montagne
											en moitié moins de temps
et pour moitié moins cher qu'un bulldozer.
											Au lieu d'importer du matériel,
Bruce a lancé une guilde,
											des menuisiers expérimentés
ont entraîné les autres
											à créer le matériel à la main.
											Sur ce chantier,
											15 ans après le génocide rwandais,
											Bruce a insisté pour amener
de la main d’œuvre de toutes origines
											et que la moitié soient des femmes.
									","
											We worked with Bruce Nizeye,
											a brilliant engineer,
											and he thought about
construction differently
											than I had been taught in school.
											When we had to excavate
this enormous hilltop
											and a bulldozer was expensive
and hard to get to site,
											Bruce suggested doing it by hand,
											using a method in Rwanda called ""Ubudehe,""
											which means ""community works
for the community.""
											Hundreds of people came
with shovels and hoes,
											and we excavated that hill
											in half the time and half
the cost of that bulldozer.
											Instead of importing furniture,
Bruce started a guild,
											and he brought in
master carpenters to train others
											in how to make furniture by hand.
											And on this job site,
											15 years after the Rwandan genocide,
											Bruce insisted that we bring on
labor from all backgrounds,
											and that half of them be women.
									","
											Bruce Nizeye ile çalıştık,
											mükemmel bir mühendis.
											İnşaat ile ilgili, bana okulda
											öğretilenden farklı düşünüyor.
											Bu muazzam tepede çukur
açmamız gerekiyordu,
											buldozer pahalıydı ve getirmesi zordu,
											Bruce Ruanda'nın ""Ubudehe"" 
metodunu kullanarak
											ellerimizle yapmamızı önerdi,
											""topluluk, topluluk için çalışıyor"" 
anlamına geliyor.
											Yüzlerce insan küreklerle
ve çapalarla geldiler
											ve o tepeyi kazdık,
											yarı zamanda ve buldozer
masrafının yarı fiyatına.
											Mobilyayı dışarıdan getirtmektense,
											Bruce bir birlik kurdu
ve usta marangozlarlarla
											diğerlerine mobilya 
işi öğretmeleri için anlaştı.
											Bu kariyer sitesinde,
											Ruanda soykırımından 15 sene sonra,
											her tür deneyime sahip
kişileri bulmak için ilan verdi
											ve yarısı kadın olmalıydı.
									","
											Wir arbeiteten mit Bruce Nizeye,
											einem genialen Ingenieur,
											und er dachte anders über Konstruktion,
											als wir es gelernt hatten.
											Als wir eine enorme Bergkuppe
ausheben mussten
											und die Beschaffung eines Bulldozers
zu teuer und schwierig war,
											schlug Bruce vor, mit der Hand auszuheben,
											mittels der ruandischen Methode ""Ubudehe"",
											was ""Gemeindearbeit
für die Gemeinde"" bedeutet.
											Hunderte Menschen kamen
mit Schaufeln und Hacken
											und wir hoben diesen Hügel
											in der Hälfte der Zeit
und zum halben Preis aus.
											Statt Möbel zu importieren,
gründete Bruce eine Innung
											und schaffte Tischler heran,
die andere darin ausbildeten,
											wie man Möbel von Hand baut.
											Auf der Baustelle bestand Bruce
											15 Jahre nach dem Genozid
in Ruanda darauf,
											Arbeiter unterschiedlichster
Herkunft an Bord zu holen,
											und dass die Hälfte Frauen sein sollten.
									",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
","
","
","
",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
											Bruce utilisait le processus
de construction pour guérir,
											pas seulement les malades,
											mais toute la communauté.
											Nous appelons cela la façon de construire
fabriquée localement ou « fab-lo »
											et elle a quatre piliers :
											engager des locaux,
											se fournir régionalement,
											se former où l'on peut
											et, surtout,
											voir chaque décision de conception
comme une opportunité
											d'investir dans la dignité
de l'endroit où vous travaillez.
											Voyez cela comme le mouvement
pour les produits locaux
											mais en architecture.
											Nous pensons que cette façon de construire
											peut être reproduite à travers le monde
											et changer la façon dont nous évoquons
et évaluons l'architecture.
									","
											Bruce was using
the process of building to heal,
											not just for those who were sick,
											but for the entire community as a whole.
											We call this the locally fabricated
way of building, or ""lo-fab,""
											and it has four pillars:
											hire locally,
											source regionally,
											train where you can
											and most importantly,
											think about every design decision
as an opportunity
											to invest in the dignity
of the places where you serve.
											Think of it like the local food movement,
											but for architecture.
											And we're convinced
that this way of building
											can be replicated across the world,
											and change the way we talk about
and evaluate architecture.
									","
											Bruce, iyileştirmek için inşa
etme yöntemini kullanıyordu.
											Sadece hasta olanlar için değil,
											bir bütün olarak, tüm topluluk için.
											Buna yerel yöntemlerin uygulandığı 

											yapım tarzı, ""lo-fab""diyoruz 
ve dört ana kısmı var:
											Yerelleri işe al,
											bölgesel kaynakları tedarik et,
											mümkün olan yerde eğit
											ve en önemlisi, her tasarım 

											kararını saygınlığa hizmet 

											eden bir fırsat gibi düşün.
											Bunu yerel gıda hareketi gibi 
düşünebilirsiniz,
											ancak mimari için.
											Bu tarz yapım sürecinin dünyanın
											birçok yerinde tekrarlanabileceğine
											ve mimariye dair bakışı
değiştirebileceğine inanıyoruz.
									","
											Bruce nutzte den Bauprozess zum Heilen,
											nicht nur für die Kranken,
											sondern für die Gemeinschaft als Ganzes.
											Wir nennen das die lokal gefertigte
Bauweise oder ""Lo-Fab"",
											und sie hat vier Säulen:
											örtlich anstellen,
											regional einkaufen,
											möglichst viel ausbilden
											und, vor allem,
											jede Entwurfsentscheidung
als Gelegenheit sehen,
											in die Würde der Orte zu investieren,
an denen man dient.
											Betrachten Sie es
als Regionale Ernährungs-Bewegung,
											aber für Architektur.
											Und wir sind überzeugt,
dass diese Bauweise
											weltweit angewendet werden kann
											und ändern kann,
											wie wir über Architektur reden
und diese bewerten.
									",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
","
","
","
",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
