fr,de,title,speaker,duration,tags
"
","
","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
											Une chose qu'on néglige souvent
											lorsqu'on discute de la dépression,
											c'est qu'on est conscient
que c'est ridicule.
											On est conscient que c'est ridicule,
alors qu'on l'éprouve.
											On est conscient que
											la plupart des gens arrivent 
à écouter leurs messages
											et à déjeuner et à s'arranger 
pour prendre une douche
											et à quitter la maison
											et ce n'est pas si terrible,
											mais pourtant, 
on est sous son emprise
											et on est incapable de trouver
une façon de la contourner.
											Et alors je me suis rendu compte 
que je faisais moins de choses,
											que je pensais moins,
											que je ressentais moins de choses.
											C'était une sorte de vide.
									","
											Wenn über Depressionen diskutiert wird,
											wird oft übersehen,
											dass man weiß, dass es lächerlich ist.
											Man weiß, dass es lächerlich ist, 
während man es erlebt.
											Man weiß, dass die meisten Menschen 
es schaffen,
											ihre Nachrichten abzuhören, 
Mittag zu essen,
											sich selbst dazu zu bringen, zu duschen
											und aus dem Haus zu gehen,
											und das es keine große Sache ist,
											aber dennoch ist man in ihren Fängen
											und unfähig, einen Weg 
drum herum zu finden.
											Ich begann immer weniger zu tun,
											immer weniger zu denken
											und weniger zu fühlen.
											Es war eine Art Nichtigkeit.
									","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
","
","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
											Et puis l'angoisse s'est installée.
											Si on me disait que 
je devais être en dépression
											durant tout le mois suivant,
je répondrais :
											« Tant que je sais que ça sera fini 
en novembre, je peux y arriver. »
											Mais si on me disait :
											« Durant le mois suivant, tu dois 
traverser une période d'angoisse aiguë, »
											je me taillerais les veines 
plutôt que de la subir.
											C'était toujours le même sentiment
											comme ce qu'on ressent 
quand on marche
											et qu'on trébuche 
ou qu'on glisse,
											et la terre fonce vers soi,
											mais plutôt que de durer 
normalement à peine une seconde,
											ça a duré six mois.
											C'est la sensation 
d'avoir peur tout le temps
											sans même savoir 
de quoi on a peur.
											Et c'était à ce moment-là 
que j'ai commencé à croire
											que vivre faisait trop mal,
											et que la seule raison 
de ne pas se suicider,
											c'était afin d'éviter 
aux autres de souffrir.
									","
											Und dann setzte die Angst ein.
											Wenn man mir gesagt hätte,
											dass ich in den nächsten Monaten 
depressiv sein würde,
											hätte ich gesagt: ""Solange es 
im November vorbei ist, schaffe ich das.""
											Aber wenn man mir gesagt hätte:
											""Sie haben den nächsten Monat 
akute Angstzustände"",
											würde ich eher mein Handgelenk
aufschlitzen, als das durchzustehen.
											Ich hatte ständig dieses Gefühl,
											das man hat, wenn man läuft
											und rutscht oder stolpert
											und der Boden auf einen zukommt,
											aber anstatt dass es eine 
halbe Sekunde anhält, wie normalerweise,
											hielt es sechs Monate an.
											Es ist ein Gefühl der ständigen Angst,
											ohne dass man überhaupt weiß, 
wovor man Angst hat.
											Und an diesem Punkt begann ich zu denken,
											dass es einfach zu schmerzhaft ist, 
am Leben zu sein,
											und dass der einzige Grund, 
sich nicht umzubringen,
											darin bestand, anderen Menschen 
nicht weh zu tun.
									","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
","
","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
											Finalement un jour, 
je me suis réveillé
											et j'ai cru avoir eu 
une attaque cérébrale,
											car j'étais étendu 
sur le lit, immobile,
											je regardais le téléphone, 
et j'ai pensé :
											« Il y a quelque chose qui cloche,
je devrais appeler quelqu'un. »
											mais je n'arrivais pas 
à tendre le bras
											pour attraper le téléphone 
et composer un numéro.
											Puis finalement, 
au bout de quatre heures
											passées allongé à le fixer,
le téléphone a sonné,
											j'ai réussi à le décrocher 
d'une manière ou d'une autre,
											et c'était mon père,
											et j'ai dit : 
« J'ai de graves problèmes.
											Il faut qu'on fasse 
quelque chose. »
									","
											Eines Tages wachte ich schließlich auf
											und dachte, ich hätte 
vielleicht einen Schlaganfall,
											weil ich komplett gelähmt im Bett lag,
											das Telefon ansah und dachte:
											""Etwas stimmt nicht 
und ich sollte Hilfe holen.""
											Ich konnte meinen Arm nicht ausstrecken
											und das Telefon abheben und wählen.
											Nachdem ich volle 4 Stunden 
dagelegen und es angestarrt hatte,
											klingelte endlich das Telefon,
											und irgendwie schaffte ich es 
dranzugehen.
											Es war mein Vater
											und ich sagte: ""Ich habe
ernsthafte Probleme.
											Wir müssen etwas tun.""
									","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
","
","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
											Le lendemain, j'ai commencé 
à prendre des médicaments
											et une thérapie.
											Et j'ai également commencé 
à considérer
											cette terrible question :
											Si je ne suis pas la solide personne
											qui aurait été capable de survivre
dans un camp de concentration,
											alors qui suis-je ?
											Et si je dois 
prendre des médicaments,
											est-ce qu'ils vont me permettre 
de redevenir moi-même,
											ou feront-ils de moi 
quelqu'un d'autre ?
											Et que vais-je ressentir
											s'ils font de moi 
quelqu'un d'autre ?
									","
											Am nächsten Tag fing ich 
mit den Medikamenten
											und der Therapie an.
											Und ich begann auch
											mir diese furchtbare Frage zu stellen:
											Wenn ich nicht die starke Person bin,
											die ein Konzentrationslager 
überstanden hätte,
											wer bin ich dann?
											Und wenn ich Medikamente nehmen muss,
											machen die Medikamente 
mich mehr zu mir selbst
											oder machen sie mich zu jemand anderem?
											Und was halte ich davon,
											wenn sie mich zu einem anderen machen?
									","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
","
","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
											Quand me suis engagé dans la lutte,
j'avais deux avantanges.
											Le premier, c'était que je savais,
objectivement parlant,
											que je menais 
une vie agréable,
											et que si je pouvais 
m'en tirer,
											il me resterait toujours 
quelque chose
											qui valait la peine de vivre.
											Et l'autre, c'est que j'avais accès 
au bon traitement.
									","
											Es gab zwei Vorteile für mich, 
als ich den Kampf aufnahm.
											Erstens wusste ich, objektiv gesprochen,
											dass ich ein schönes Leben hatte
											und wenn ich nur gesund würde,
											wäre dort etwas am anderen Ende,
											das lebenswert war.
											Darüber hinaus hatte ich 
Zugang zu guter Behandlung.
									","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
","
","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
											Cependant, j'allais mieux 
et je rechutais,
											j'allais mieux et je rechutais,
											j'allais mieux et je rechutais,
											jusqu'à ce que je comprenne
											que je passerais le reste de ma vie
à prendre des médicaments
											et à suivre une thérapie.
											Et je me suis dit :
« Mais, est-ce un problème
											chimique ou psychologique ?
											Et faut-il un traitement chimique, 
ou psychologique ? »
											Et je n'arrivais pas
à comprendre.
											Et puis j'ai compris qu'en fait,
											on n'avait pas assez avancé
dans ces deux domaines
											pour expliquer
totalement les choses.
											Le remède chimique 
et psychologique
											avaient tous les deux un rôle à jouer,
											et j'ai aussi compris 
que la dépression est une chose
											qui est si ancrée 
au fond de soi
											qu'elle ne peut être séparée
											de notre caractère 
ou personnalité.
									","
											Aber trotzdem kämpfte ich mich raus 
und wurde rückfällig,
											kämpfte mich raus
und wurde rückfällig,
											kämpfte mich raus
und wurde rückfällig,
											und schließlich verstand ich,
											dass ich auf ewig in medizinischer
											und therapeutischer Behandlung 
bleiben müsste.
											Ich überlegte: ""Ist es ein chemisches
											oder ein psychologisches Problem?
											Und muss es auf chemische oder
auf philosophische Weise geheilt werden?""
											Ich konnte die Frage, 
welches davon es war, nicht beantworten.
											Und dann verstand ich schließlich,
											dass wir in keinem Bereich 
fortgeschritten genug sind,
											um die Dinge ganz zu erklären.
											Die chemische und psychologische Behandlung
											haben beide eine Funktion,
											und ich verstand auch, 
dass Depressionen etwas sind,
											das so tief in uns verwurzelt ist,
											dass man sie nicht
											von unserem Charakter und 
unserer Persönlichkeit trennen kann.
									","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
","
","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
											Je dois avouer que 
les traitements actuels
											de la dépression sont consternants.
											Ils ne sont pas très efficaces.
											Ils sont très coûteux.
											Ils s'accompagnent 
d'innombrables effets secondaires.
											C'est vraiment une catastrophe.
											Mais je suis tellement reconnaissant 
de vivre de nos jours
											plutôt qu'il y a 50 ans,
											quand on ne pouvait presque
											rien y faire.
											J'espère que dans 50 ans,
											les gens entendront parler 
des traitements que j'ai reçus
											et qu'ils seront choqués 
d'apprendre que l'on subissait
											une science si primitive.
									","
											Unsere derzeitigen Behandlungsmethoden
											für Depressionen sind fürchterlich.
											Sie sind nicht besonders effektiv.
											Sie sind extrem teuer.
											Sie haben unzählige Nebenwirkungen.
											Sie sind ein Desaster.
											Aber ich bin so dankbar, 
dass ich zur heutigen Zeit lebe
											und nicht vor 50 Jahren,
											als beinahe gar nichts
											getan werden konnte.
											Ich hoffe, dass in 50 Jahren
											die Menschen von meinen Therapien hören
											und entsetzt sein werden, 
dass irgendjemand
											so eine primitive Wissenschaft erduldete.
									","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
","
","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
											La dépression 
est un défaut de l'amour.
											Si on est marié et si on pense :
											« Eh bien, si ma femme meurt, 
j'en trouverai une autre. »
											ce ne serait pas de l'amour 
tel qu'on le connaît.
											Il n'y a pas d'amour
											sans l'anticipation de la perte,
											et ce spectre du désespoir
											peut être le moteur de l'intimité.
									","
											Depressionen sind das Manko der Liebe.
											Wäre man mit jemandem verheiratet 
und würde denken:
											""Wenn meine Frau stirbt, 
finde ich eine andere"",
											wäre es nicht die Liebe, 
wie wir sie kennen.
											Es gibt keine Liebe,
											ohne das Vorgefühl von Verlust,
											und dieses Schreckgespenst 
der Verzweiflung
											kann der Antrieb für Vertrautheit sein.
									","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
","
","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
											Il y a trois choses 
qu'on a tendance à confondre :
											la dépression, le chagrin,
et la tristesse.
											Le chagrin 
est explicitement réactionnel.
											Si on a subi une perte, 
et on se sent très malheureux,
											et six mois après,
											on se sent toujours profondément triste,
mais on arrive mieux à fonctionner
											alors il s'agit probablement 
de chagrin,
											et il finira probablement 
par se résorber
											dans une certaine mesure.
											Si on subit une énorme perte,
											et on se sent très mal,
											et au bout de six mois,
on n'arrive toujours pas à fonctionner,
											alors il s'agit probablement 
d'une dépression
											déclenchée par
des circonstances catastrophiques.
											La trajectoire nous en parle longuement.
											On a tendance à croire que
la dépression n'est que de la tristesse.
											Il s'agit de bien, bien
trop de tristesse,
											bien trop de chagrin,
											et tout ça pour des raisons 
trop légères.
									","
											Es gibt drei Dinge, 
die Menschen gerne verwechseln:
											Depressionen, Trauer und Traurigkeit.
											Trauer ist ausdrücklich reaktiv.
											Wenn Sie einen Verlust erleiden und 
sich unglaublich unglücklich fühlen,
											und dann, 6 Monate später,
											sind Sie immer noch zutiefst traurig,
											aber Sie funktionieren 
ein bisschen besser,
											ist es wahrscheinlich Trauer,
											und es wird sich wahrscheinlich 
letztendlich
											in gewissem Maße von alleine lösen.
											Wenn Sie einen 
katastrophalen Verlust erleiden
											und sich schrecklich fühlen,
											und nach 6 Monaten kaum 
funktionieren können,
											dann sind es vielleicht Depressionen,
											die von den katastrophalen Umständen 
ausgelöst wurden.
											Der Verlauf erzählt uns eine Menge.
											Die Menschen denken, 
Depressionen wären einfach Traurigkeit.
											Es ist viel zu viel Traurigkeit,
											viel zu viel Trauer
											aus einem viel zu nichtigen Grund.
									","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
","
","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
											Quand j'ai pris sur moi 
pour comprendre la dépression,
											et pour interroger des gens
qui l'avaient vécue,
											j'ai constaté que 
certains semblaient présenter,
											au moins superficiellement, 
ce qui paraissait être
											une dépression relativement légère,
											mais ils en étaient malgré tout
complètement paralysés.
											Et d'autres présentaient 
ce qui semblait être,
											selon leurs descriptions,
											une dépression très grave
											mais ils menaient néanmoins 
de bonnes vies dans les intervalles
											entre les périodes de dépression.
											Alors j'ai entrepris de chercher
											ce qui rend certaines personnes
											plus résistantes que d'autres.
											Quels sont les mécanismes
											qui nous permettent de survivre ?
											Alors j'ai interrogé des personnes,
les unes après les autres,
											toutes souffrant d'une dépression.
									","
											Ich machte mich daran, 
Depressionen zu verstehen
											und Menschen zu interviewen, 
die das erlebt hatten.
											Ich entdeckte, dass es Menschen gibt,
											die, oberflächlich betrachtet,
											relativ leichte Depressionen haben,
											die aber davon dennoch 
völlig ausgeschaltet sind.
											Und es gibt andere Menschen, die,
											so wie es klingt,
											furchtbar schwere Depressionen haben,
											und dennoch
zwischen ihren depressiven Episoden
											ein schönes Leben hatten.
											Ich versuchte also herauszufinden,
											warum manche Menschen
											widerstandsfähiger sind als andere.
											Was sind die Mechanismen,
											die es Menschen ermöglichen, 
zu überleben?
											Ich ging also los und interviewte einen
an Depressionen erkrankten Menschen
											nach dem anderen.
									","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
","
","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
											L'une des premières personnes
que j'ai interrogées
											a comparé la dépression
											à une manière plus lente d'être mort,
											et ça m'était rassurant d'entendre ça 
dès le début
											car ça m'a rappelé que
											cette façon plus lente d'être mort
											peut mener à la mort pour de vrai,
											et que c'est très grave.
											Elle représente le handicap
le plus répandu au monde,
											et des gens en meurent tous les jours.
									","
											Einer der ersten Menschen, 
die ich interviewte,
											beschrieb Depressionen
											als eine andere Art Tod,
											und es war gut, 
dass ich das so früh hörte,
											denn es erinnerte mich daran,
											dass diese Art Tod
											zum wirklichen Tod führen kann,
											und daran, dass es eine 
ernst zunehmende Sache ist.
											Es ist die am weitesten 
verbreitete Behinderung
											und täglich sterben Menschen daran.
									","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
","
","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
											Une personne à qui j'ai parlé
											lorsque j'essayais 
de comprendre tout ceci
											est une amie chère
											que je connaissais 
depuis très longtemps,
											et qui avait connu 
un épisode psychotique
											en première année d'université,
											avant de s'effondrer 
dans une sévère dépression.
											Elle souffrait de trouble bipolaire,
											ou de psychose maniaco-dépressive
comme on l'appelait à l'époque.
											Elle allait très bien
											pendant plusieurs années, 
grâce au lithium,
											et puis finalement
											on a arrêté 
de lui prescrire du lithium
											pour voir 
comment elle réagirait sans,
											et elle a connu un
autre épisode psychotique,
											puis elle a plongé 
dans la pire dépression
											que j'aie jamais vue
											pendant laquelle elle est restée
chez ses parents,
											dans un état plus ou moins catatonique, 
pratiquement sans bouger,
											jour après jour après jour.
											Et quand je l'ai interrogée 
des années après sur cette expérience —
											elle est poète et psychothérapeute
et s'appelle Maggie Robbins —
											dans cet entretien, elle a dit :
											« Je chantais 
'Where Have All the Flowers Gone'
											en boucle, pour m'occuper l'esprit.
											Je chantais pour balayer 
ce que mon esprit disait :
											' Tu n'es rien. Tu n'es personne.
											Tu ne mérites 
même pas de vivre.'
											Et c'était à ce moment là 
que j'ai vraiment commencé
											à songer à me tuer. »
									","
											Einer der Menschen, 
mit dem ich sprach
											als ich das zu verstehen versuchte,
											war eine geliebte Freundin,
											die ich schon seit vielen Jahren kannte,
											und die eine psychotische Episode
											in ihrem ersten Jahr 
am College gehabt hatte,
											und dann in eine entsetzliche 
Depression verfallen war.
											Sie hatte eine bipolare Störung
											oder manische Depression, 
wie es damals hieß.
											Über viele Jahre hinweg
											ging es ihr mit Lithium sehr gut
											und schließlich
											wurde das Lithium abgesetzt,
											um zu sehen, wie sie ohne klar käme.
											Sie hatte eine weitere Psychose,
											und verfiel dann 
in die schwerste Depression,
											die ich jemals sah.
											Sie saß Tag für Tag
											mehr oder weniger katatonisch und
im Grunde bewegungslos
											in der Wohnung ihrer Eltern.
											Als ich sie Jahre später 
über diese Erfahrung befragte —
											sie ist die Dichterin und 
Psychotherapeutin Maggie Robbins —
											sagte sie:
											""Ich sang immer wieder 
'Where Have All The Flowers Gone',
											um meinen Geist zu beschäftigen.
											Ich sang, um die Dinge auszulöschen,
die mein Verstand mir sagte,
											Dinge wie 'Du bist nichts. 
Du bist ein Niemand.
											Du verdienst es nicht mal zu leben.'
											Und da fing ich wirklich an, 
daran zu denken,
											mich umzubringen.""
									","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
","
","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
											Quand on est déprimé,
											on ne sait pas 
qu'on porte un voile gris
											et qu'on voit le monde 
à travers le brouillard
											provoqué par 
la mauvaise humeur.
											On croit que 
le voile a été enlevé,
											le voile du bonheur,
											et que maintenant 
on voit clairement.
											Il est plus facile
d'aider des schizophrènes
											qui s'imaginent une chose
inconnue au fond d'eux-même
											qui doit se faire exorciser,
											mais la difficulté 
chez les dépressifs,
											c'est qu'on croit 
percevoir la vérité.
									","
											Während der Depressionen 
merkt man nicht,
											dass man einen grauen Schleier 
angelegt hat
											und die Welt durch diesen Schleier
											von schlechter Laune sieht.
											Man denkt, dass der 
Schleier entfernt wurde,
											der Schleier des Glücks,
											und dass man jetzt erst richtig sieht.
											Es ist einfacher Schizophrenen 
zu helfen, die etwas Fremdes
											in sich selbst wahrnehmen,
											das ausgetrieben werden muss.
											Aber mit Depressiven ist es schwierig,
											denn wir denken, 
dass wir die Wahrheit sehen.
									","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
","
","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
											Mais la vérité ment.
											Je suis devenu obsédé 
par cette phrase :
											« Mais la vérité ment. »
											Et j'ai découvert, 
en parlant à des dépressifs,
											qu'ils entretiennent de nombreux délires.
											Les gens disent :
« Personne ne m'aime. »
											Et on leur dit : « Moi, je t'aime,
											ta femme t'aime, 
ta mère t'aime. »
											Cette réponse 
n'est pas dure à trouver,
											pour la plupart des gens, 
au moins.
											Mais les dépressifs 
disent aussi :
											« Quoi qu'on fasse,
											on va tout finir par mourir. »
											Ou ils disent : « Il ne peut pas 
y avoir de vraie communion
											entre deux êtres humains.
											Chacun est enfermé 
dans son propre corps. »
											Ce à quoi il faut répondre :
											« Oui, en effet,
											mais là maintenant
il vaut mieux se concentrer
											sur ce qu'on va prendre 
au petit déjeuner. »
											(Rires)
											Souvent, ce qu'ils expriment,
											ce n'est pas la maladie, 
mais la perspicacité,
											et on arrive à penser
que l'extraordinaire, c'est que
											la plupart d'entre nous sont au courant
de ces questions existentielles
											mais elles ne nous troublent pas trop.
											Il y a une étude 
que j'ai beaucoup appréciée
											dans laquelle on a demandé
											à un groupe de dépressifs 
et un groupe de non-dépressifs
											de passer une heure
à jouer un jeu vidéo,
											et à la fin de l'heure,
											on leur a demandé 
combien de petits monstres
											ils croyaient avoir tués.
											Le groupe dépressif
était typiquement très précis
											avec une marge de 10 %,
											alors que les non-dépressifs
											devinaient entre 15 et 20 fois plus
											de petits monstres — (Rires) —
											qu'ils avaient vraiment tués.
									","
											Aber die Wahrheit lügt.
											Ich war von diesem Satz besessen:
											""Aber die Wahrheit lügt.""
											Aber ich stellte fest, als ich mit 
depressiven Menschen sprach,
											dass sie viele wahnhafte 
Wahrnehmungen haben.
											Menschen sagen etwa: ""Niemand liebt mich.""
											Und man sagt: ""Ich liebe dich,
											deine Frau liebt dich, 
deine Mutter liebt dich.""
											Man kann das ziemlich schnell beantworten,
											zumindest bei den meisten Menschen.
											Aber depressive Menschen 
werden auch sagen:
											""Egal, was wir machen,
											am Ende werden wir alle sterben.""
											Oder sie werden sagen: ""Es kann 
keine wahre Gemeinschaft
											zwischen zwei Menschen geben.
											Jeder von uns ist in seinem 
eigenen Körper gefangen.""
											Worauf man sagen muss:
											""Das ist wahr,
											aber ich denke wir sollten 
uns jetzt darauf konzentrieren,
											was es zum Frühstück geben soll.""
											(Gelächter)
											Die meiste Zeit
											bringen sie nicht die Krankheit, 
sondern Einsicht zum Ausdruck.
											Und man beginnt zu denken: 
Das wirklich Außergewöhnliche ist,
											dass die meisten von uns 
diese existenziellen Fragen kennen
											und sie uns nicht besonders beschäftigen.
											Es gab eine Studie, 
die ich besonders mochte,
											in der eine Gruppe depressiver
											und eine Gruppe nicht-depressiver Menschen
											gebeten wurden, eine Stunde lang 
ein Videospiel zu spielen,
											und am Ende dieser Stunde
											wurden sie gefragt, 
wie viele kleine Monster
											sie meinten getötet zu haben.
											Die depressive Gruppe war meist,
											mit Abweichungen 
von ungefähr 10 Prozent, korrekt
											und die nicht-depressiven Menschen
											schätzten zwischen 15 und 20 Mal mehr
											kleine Monster — (Gelächter) —
											als sie tatsächlich getötet hatten.
									","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
","
","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
