fr,pt,tr,de,es,title,speaker,duration,tags
"
","
","
","
","
","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
											Ce jeu s'appelle ""Spore"". Je travaille dessus depuis plusieurs années.
											Il est presque terminé maintenant.
											Premièrement il englobe toutes ces échelles,
											de l'infiniment petit à l'infiniment grand.
											Je vais juste avancer jusqu'au début du jeu
											le jeu commence dans une mare,
											en tant qu'une minuscule créature unicellulaire
											et, vous avez juste a vivre, survivre et vous reproduire.
											Nous y sommes, à une échelle microscopique,
											on peux nager, je réalise que les cellules n'ont pas d'yeux,
											mais cela aide à les rendre mignonnes.
											Les joueurs vont donc jouer à travers toutes les générations de ces espèces,
											et au fur et à mesure que vous jouez, la créature évolue peu à peu.
											Alors que nous commençons à évoluer, la caméra va commencer à s'éloigner,
											et les choses que vous voyez en arrière plan
											vont commencer à lentement venir au premier plan,
											vous dévoilant peu à peu les éléments avec lesquels vous allez pouvoir intéragir en grandissant.
											Pendant qu'on mange, la camera commence à reculer et l'on commence à interagir avec
											des organismes de plus en plus gros.
									","
											O jogo chama-se ""Spore"". 
Há anos que trabalho nele.
											está agora quase terminado.
											Passa-se em muitas escalas diferentes,
											desde o muito pequeno,
até ao muito grande.
											Vou aparecer aqui no início do jogo.
											Começamos o jogo numa gota de água,
											como uma pequena criatura unicelular.
											Imediatamente, temos que viver,
sobreviver, reproduzirmo-nos.
											Cá estamos então, a nadir,
numa escala microscópica,
											Claro que sei 
que as células não têm olhos,
											mas ajuda a torná-la fofinha.
											Os jogadores vão atravessar
todas as gerações desta espécie,
											e, ao longo do jogo, a criatura
vai crescendo a pouco e pouco.
											À medida que crescemos, 
a câmara começa a afastar-se
											e as coisas que se veem em segundo plano
											vão lentamente passando 
para primeiro plano,
											mostrando algumas coisas com que
iremos interagir enquanto crescemos.
											À medida que vamos comendo,
a câmara vai-se afastando
											e começamos a interagir
com organismos cada vez maiores.
									","
											Oyunun adı ""Spore."" Üzerinde yıllardır çalışıyorum.
											Bitmek üzere.
											Öncelikle, bir sürü farklı ölçekte var oluyor;
											çok çok küçükten çok çok büyüğe kadar.
											Direkt oyunun başına geçeceğim.
											Oyuna su damlası olarak başlıyorsunuz;
											çok çok küçük, tek hücreli bir yaratık olarak.
											Ve bir an önce yaşamak, hayatta kalmak, üremek zorundasınız.
											İşte, şu anda mikroskobik ölçekteyiz,
											etrafta yüzüyoruz. Hücrelerin gözlerinin olmadığını elbette biliyorum,
											ama böyle daha sevimli oluyor.
											Oyuncular bu türün her neslini oynayacaklar
											ve oynadığınız sırada, yaratık azar azar büyüyecek.
											Büyümeye başladığımızda, kamera uzaklaşmaya başlayacak,
											ve fonda gördüğünüz şeyler
											size büyüdükçe nelerle haşır neşir olacağınızı göstermek için
											yavaş yavaş öne doğru gelmeye başlayacaklar.
											Yemeğimizi yedikçe kamera uzaklaşıyor ve
											giderek daha büyük organizmalarla etkileşime girmeye başlıyoruz.
									","
											Dieses Spiel heißt ""Spore"" und ich arbeite seit Jahren daran.
											Es ist fast fertig.
											Es passiert in all diesen verschiedenen Stadien,
											von sehr, sehr klein bis sehr, sehr groß.
											Ich werde einfach am Start anfangen,
											man kann das Spiel in einem Wassertropfen beginnen,
											als ein sehr, sehr kleiner Einzeller.
											Man muss von Beginn an leben, überleben, sich fortpflanzen.
											Wir befinden uns hier also auf mikroskopischem Maßstab,
											schwimmen herum, und ich weiß, dass Zellen keine Augen haben,
											aber sie sehen dann niedlicher aus.
											Die Spieler durchlaufen jede Generation dieser Spezies,
											und die Kreatur wächst während des Spielens weiter.
											Während des Wachstums beginnt die Kamera wegzuzoomen
											und Dinge, die man im Hintergrund sieht,
											kommen langsam in den Vordergrund.
											So sieht man schon das, womit man später in Berührung kommt.
											Während wir fressen, zoomt die Kamera heraus, und wir beginnen,
											mit größeren und größeren Organismen zu interagieren.
									","
											Este juego llamado ""Spore."" en el que he trabajado por años.
											Se acerca a estar terminado.
											Transcurre en diferentes escalas, primero,
											desde lo muy pequeño a lo muy grande.
											Voy a saltar el inicio del juego,
											y pueden comenzar este juego como en una gota de agua,
											como una criatura unicelular muy pequeña,
											y, básicamente sólo debes vivir, sobrevivir, reproducirte.
											Aquí estamos, a escala microscópica,
											nadando, y ya sé que las células no tienen ojos,
											pero las hace más lindas.
											Los jugadores jugarán a través de cada generación de estas especies,
											y mientras juegas, la criatura crecerá poco a poco.
											Mientras comenzamos a crecer, la cámara comienza a alejarse,
											y cosas que se ven en el fondo allí
											comenzarán a entrar en escena lentamente,
											mostrando un poco aquello con lo que interactuarás cuando crezcas.
											Mientras comemos, la cámara se aleja y comenzamos a interactuar con
											organismos más y más grandes.
									","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
","
","
","
","
","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
											Ici, nous jouons avec plusieurs générations, au stade cellulaire.
											Je vais avancer un peu. A un certain point, on grossit et nous devenons
											à une échelle macro-évolutive.
											A partir de là, nous quittons l'eau,
											et une chose importante à propos de ce jeu est qu'à chaque niveau,
											le joueur dessine sa propre creature,
											c'est l'un des aspects fondamental du jeu.
											Dans le jeu de l'évolution, l'échelle de la créature, vous avez besoin de manger,
											survivre puis de se reproduire. Vous voyez, un processus Darwinien.
											Une chose que nous avions remarqué avec ""Les Sims"", l'un de mes précédents jeux,
											est que les joueurs adorent créer des choses.
											Quand ils sont devenus capable de créer des choses dans le jeu,
											ils ont développé une immense sympathie, même si ce n'était pas aussi
											beau que ce que d'autres gens auraient pu faire — comme un artiste professionnel aurait fait
											pour un jeux — Ils s'attachaient
											et se sentaient vraiment concernés par ce qu'il adviendrait de leur création.
									","
											Jogamos ao longo de muitas gerações
apenas ao nível celular.
											Vou passar um pouco à frente.
											A dado ponto ficamos maiores
e chegamos a uma escala de macroevolução.
											Nesta altura deixamos a água.
											Uma coisa muito importante neste jogo
é que, em cada nível,
											o jogador vai construindo a sua criatura,
											o que é um aspeto fundamental.
											No jogo da evolução, à escala da criatura,
só temos que comer,
											sobreviver e depois reproduzirmo-nos.
											Muito Darwiniano.
											Reparámos com o jogo ""The Sims"",
que criei antes deste,
											que os jogadores adoram construir coisas.
											Quando podiam construir coisas,
desenvolviam uma enorme empatia,
											mesmo que acabassem
por não sair tão bonitas
											como se tivessem sido feitas
por um profissional.
											As pessoas agarravam-se às coisas
											e preocupavam-se com o que lhes acontecia.
									","
											Aslında burada, hücre ölçeğindeki bir sürü nesli oynuyoruz.
											Burayı geçeceğim. Bir noktada büyüyoruz ve
											bir tür makro evrim ölçeğine geçiyoruz.
											Tam burada sudan ayrılıyoruz.
											Önemli bir nokta da, oyunun her seviyesinde
											oyuncunun kendi yaratığını tasarlayabiliyor olması.
											Bu aslında oyunun temel özelliklerinden biri.
											Şimdi, bu evrim oyununda, yaratık ölçeğinde, temel olarak yemek,
											hayatta kalmak ve üremek zorundasınız. Görüyorsunuz, fazlasıyla Darwinci.
											Daha önce yaptığım bir oyun olan ""The Sims""te,
											oyuncuların nesne yapmayı sevdiklerini gördük.
											Oyunda nesne yapabildiklerinde, o nesneyle
											inanılmaz oranda empatik bağ kurdular; bu nesne
											başkalarının -profesyonel bir ressamın- yapacağı kadar
											sevimli olmasa da — çok bağlanıyorlar
											ve onun başına gelebilecekleri gerçekten önemsiyorlar.
									","
											Wir durchlaufen gerade viele Generationen, auf dem zellularen Level.
											Ich überspringe das. Irgendwann werden wir größer und entwickeln uns
											auf dem Makro-Evolutionslevel.
											Hier verlassen wir das Wasser
											und eine wichtige Sache bei diesem Spiel ist, dass auf jedem Level
											der Spieler seine Kreatur gestaltet,
											und das ist auch der wesentliche Aspekt hierbei.
											Als Kreatur im Evolutionsspiel muss man fressen,
											überleben und sich fortpflanzen. Sehr darwinistisch.
											Etwas, was wir bei ""Die Sims"" gesehen haben, eines meiner früheren Spiele,
											ist, dass Spieler es lieben, Dinge zu erschaffen.
											Wenn sie die Möglichkeit hatten, Dinge im Spiel zu erschaffen, entwickelten sie
											sehr viel Empathie dafür, selbst wenn es nicht so schön war
											wie das, was andere Leute erschaffen hätten — wie das, was ein professioneller Game-Künstler
											erschaffen hätte - sie fühlten sich verbunden
											und es war ihnen wichtig, was damit geschieht.
									","
											Jugamos a través de muchas generaciones aquí, a escala celular.
											Voy a adelantarme. En cierto momento crecemos y llegamos
											a una escala macro-evolutiva.
											En este punto, dejamos el agua,
											y algo importante en este juego es que en cada nivel,
											el jugador diseña su criatura,
											y ese es un aspecto fundamental de esto.
											En el juego evolutivo aquí, en la escala de criaturas, debes comer,
											sobrevivir y reproducirte. Muy Darwiniano.
											Una cosa que notamos con ""Los Sims,"" un juego anterior,
											es que los jugadores aman crear cosas.
											Cuando pueden crear cosas en el juego hay una enorme
											empatía en la conección con ellas, incluso aunque no sean
											tan bonitas como las que harían otros — como un artista profesional
											de juegos — se apegan a ellas
											y se preocupan con lo que les suceda.
									","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
","
","
","
","
","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
											Ici, nous avons quitté l'eau et maintenant, avec cette petite créature —
											On peut monter un peu le volume — et maintenant nous allons essayer de manger,
											on va se faufiler vers celui-ci et tenter de le manger.
											On se bat.
											Nous l'avons eu. Nous avons maintenant un repas.
											A cet endroit du jeu,
											nous sommes en train de courir et de tenter de survivre pour passer à la génération suivante,
											car nous allons jouer toutes les générations de cette créature.
											On peut se reproduire, je vais donc aller voir si
											l'une de ces créatures veux sympathiser.
									","
											Agora já deixámos a água
e com esta pequena criatura
											— podemos aumentar o volume um pouco? —
podemos experimentar comer,
											podemos tentar apanhar sorrateiramente
esta pequena criatura
											e tentar comê-la.
											Tudo bem, lutamos.
											Apanhámo-lo! Agora comemos.
											Nesta etapa do jogo
estamos a tentar sobreviver
											e também chegar à próxima geração,
											porque vamos jogar ao longo
de todas as gerações da criatura.
											Podemos acasalar, portanto vou ver
											se uma destas criaturas
quer acasalar comigo.
											Quer.
									","
											Bu noktada, sudan ayrıldık ve şimdi bu küçük yaratıkla —
											sesi biraz açabiliriz — şimdi yemek yemeyi deneyebiliriz,
											belki şuradaki küçük varlığa gizlice yaklaşıp —onu yiyebiliriz.
											Tamam, kavga var.
											İşte onu yendik. Artık aç değiliz.
											Oyunun bu kısmında yaptığımız şey
											ortalıkta koşturup hayatta kalmak ve bir sonraki nesile geçmek,
											çünkü bu yaratığın tüm nesillerini oynayacağız.
											Çiftleşebiliriz, dolayısıyla bakalım
											bu yaratıklardan biri benimle çiftleşmek ister mi.. Evet.
									","
											Wir haben also nun das Wasser verlassen und bei dieser kleinen Kreatur
											könnten wir das Volumen erhöhen und zu fressen versuchen.
											Wir könnten uns an diesen kleinen Typ hier anschleichen und versuchen, ihn zu fressen.
											Ok, wir kämpfen.
											Gut, wir haben ihn. Jetzt haben wir eine Mahlzeit.
											Zu diesem Zeitpunkt im Spiel
											laufen wir herum und überleben und gelangen zur nächsten Generation,
											denn wir durchlaufen jede Generation dieser Kreatur.
											Wir können uns fortpflanzen, also schaue ich,
											ob eine dieser Kreaturen dazu bereit ist. Ja.
									","
											En este punto, dejamos el agua, y ahora esta criatura —
											podemos subir el volumen — podemos tratar de comer,
											podemos espiar a este pequeño aquí — y tratar de comerlo.
											Bueno, peleamos.
											Lo tenemos. Ahora a comer.
											Realmente, en esta parte del juego, lo que hacemos
											es movernos y sobrevivir, y llegar a la siguiente generación,
											porque jugaremos a través de cada generación de esta criatura.
											Podemos aparearnos, veamos si
											una de estas criaturas quiere aparearse. Sí.
									","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
","
","
","
","
","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
											Nous ne voulions pas rejouer l'évolution actuelle
											avec les humains et autres, car il est encore plus interessant
											de voir les différentes alternatives dans l'évolution.
											L'évolution est habituellement présentée comme l'unique chemin que nous avons emprunté,
											mais cela représente en fait un incroyable amas de possibilités.
											Maintenant que nous nous sommes reproduit, on clique sur l'oeuf.
											Et c'est là que le jeux commence à devenir interessant,
											car l'un des aspects sur lequel nous nous sommes concentré est de donner aux joueurs un
											niveau d'interaction élevé, afin qu'avec peu d'effort le joueur puisse
											faire quelque chose de vraiment cool. Cela implique un haut niveau de définition des outils.
									","
											Não quisemos simular a evolução tal 
como ela ocorreu com seres humanos
											porque é quase mais interessante
											explorar possibilidades
alternativas de evolução.
											A evolução é apresentada como
um trajeto único que nós percorremos,
											mas apresenta um conjunto
enorme de possibilidades.
											Depois de acasalarmos, clicamos no ovo,
											e é aqui que o jogo
começa a ficar interessante.
											Tratámos de dar aos jogadores
ferramentas poderosas
											para o jogador conseguir construir
algo muito arrojado,
											com o menor esforço possível
											Isso envolve muita inteligência,
mais do lado da ferramenta.
									","
											Açıkçası insanlardaki gerçek evrimi taklit etmek
											istemedik, çünkü evrim sürecindeki farklı olasılıklara
											bakmak çok daha ilginç.
											Evrim genellikle bizim kat ettiğimiz tek bir yol olarak sunuluyor,
											ama gerçekte içinde geniş bir olasılıklar dizisi barındırıyor.
											Çiftleştikten sonra yumurtaya tıklıyoruz.
											Ve buradan itibaren oyun ilginçleşmeye başlıyor,
											çünkü burada üzerine düştüğümüz şeylerden biri de oyunculara
											bir hayli geliştirilebilir aletler vermekti, ki böylece oyuncu çok az çabayla
											çok havalı bir şey yapabilecekti. Bu, işin alet kısmında fazlaca zeka gerektiriyor.
									","
											Wir wollten nicht die eigentliche Evolution nachspielen,
											mit Menschen und all dem, weil es interessanter ist,
											sich alternative Evolutionswege anzuschauen.
											Evolution wird oft als dieser eine Weg gesehen, den wir gewählt haben,
											aber sie repräsentiert eigentlich eine große Anzahl von Möglichkeiten.
											Nach der Fortpflanzung klicken wir auf das Ei.
											Und nun beginnt das Spiel interessant zu werden,
											denn wir haben uns bemüht, den Spielern hochentwickelte
											Werkzeuge zu geben, damit sie mit wenig Arbeit etwas
											sehr Cooles erschaffen können. Das erfordert sehr intelligentes Werkzeug.
									","
											En realidad, no quisimos replicar la evolución
											con humanos y todo, porque es casi más interesante
											investigar posibilidades alternativas de evolución.
											La evolución se presenta generalmente como un único trayecto,
											pero en realidad representa este enorme conjunto de posibilidades.
											Una vez apareados, podemos hacer clic en un huevo.
											Y aquí es donde el juego comienza a ser interesante,
											porque una de las cosas en que nos concentramos fue darle a los jugadores
											herramientas potentes, para que un pequeño esfuerzo del jugador pueda
											crear algo muy atractivo. Implica mucha inteligencia, por parte de las herramientas.
									","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
","
","
","
","
","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
											Nous sommes ici dans l'éditeur, où nous allons pouvoir définir
											la prochaine génération de notre créature. Elle a une petite épine,
											on peux la bouger, l'étendre.
											Je peux la gonfler ou la dégonfler avec la roulette de ma souris, on peux donc la sculter,
											comme de la glaise. Nous avons des organes ici que je peux ajouter ou enlever.
											L'idée est que le joueur puisse dessiner
											absolument tout ce qu'il pourrait imaginer dans cet éditeur et nous allons pouvoir lui donner la vie.
											Ici par exemple je vais lui ajouter des membres.
											Je vais les gonfler un petit peu.
											Dans ce cas là je pourrais décider de rajouter —
											Je vais mettre des machoires sur ces membres.
											Donc les joueurs sont encouragés à être créatifs dans le jeu.
											Ici je vais lui mettre disons un oeil au milieu, peut-être l'agrandir un peu et le diriger vers le bas.
											Je vais aussi lui ajouter des jambes.
											Dans un sens nous voulons que ceci ressemble à
											un catalyseur de l'imagination du joueur,
											afin que grâce à un petit nombre de clics, un joueur puisse créer quelque chose
											qu'il n'aurait pas cru possible avant.
											Vous savez, c'est presque comme créer quelque chose comme Maya
											qu'un enfant de huit ans pourrait utiliser.
											Le but était ici qu'en moins d'une minute, quelqu'un puisse reproduire
											ce qu'un graphiste ou dessinateur aurait mis plusieurs semaine à créer.
											Ok, maintenant je lui met des mains.
											Voilà, nous avons crée ensemble une petite creature.
											Laissez moi lui ajouter une petite arme au bout de la queue afin qu'il puisse se battre.
											Donc, voilà notre modèle définitif. On peux maintenant passer à l'étape coloration.
									","
											Isto é o editor, onde vamos criar
a geração seguinte da criatura.
											Tem uma pequena coluna vertebral,
											pode movimentar-se aqui, pode alongar-se.
											Posso inchá-la ou emagrecê-la com o rato,
modelá-la como se fosse de barro.
											Temos aqui peças 
que se podem pôr ou tirar.
											A ideia é o jogador poder criar
tudo o que consiga imaginar,
											com este editor,
e nós depois damos-lhe vida.
											Por exemplo, posso colocar membros
aqui na personagem.
											Vou aumentá-los bastante.
											E neste caso posso decidir...
											... vou pôr bocas nos membros.
											Os jogadores são encorajados
a serem muito criativos no jogo.
											Aqui vou dar-lhe um olho no meio,
aumentá-lo um pouco, virá-lo para baixo.
											E também umas quantas pernas.
											Queremos que isto seja encarado
											como um amplificador
da imaginação do jogador,
											para que, com um pequeno número
de cliques o jogador possa criar uma coisa
											que pensava não ser possível criar.
											É quase como criar algo como Maya,
											que um miúdo de oito anos possa usar.
											O objetivo é que, num minuto,
uma pessoa seja capaz de fazer
											o que um profissional levaria
várias semanas a criar.
											Vou dar-lhe umas mãos.
											Acabei de amalgamar aqui
uma pequena criatura.
											Deixem-me cá pôr-lhe uma arma
aqui na cauda, para ela poder lutar.
											OK, este é o modelo completo. 
Agora seguimos para a pintura.
									","
											Bu, yaratığımızın bir sonraki neslini
											tasarlayacağımız editör. Yaratığın küçük bir omurgası var,
											böyle hareket edebiliyor, uzayabiliyor.
											Farenin tekerleğiyle şişip inebiliyor, yani onu çamur gibi
											şekillendirebiliyorsunuz.
											Ana fikir şu: Oyuncu bu editörde aklına gelen
											her şeyi tasarlayabilir ve biz de onu hayata geçiririz.
											Örneğin, bu karaktere kol takabilirim.
											Bu kolları şişirip genişleteceğim.
											Bu kez kollara —
											ağız takmaya karar verebilirim.
											Kısaca, oyuncular oyun boyunca yaratıcılığa teşvik ediliyorlar.
											Şimdi alnının ortasına tek göz koyacağım, belki biraz şekillendirip aşağı baktırarak...
											Ve ona birkaç bacak takacağım.
											Sadede gelirsek, bunun bir nevi oyuncunun hayal gücünün
											güçlendiricisi olmasını istiyoruz.
											O kadar ki, oyuncu birkaç tıkla daha önce olanaksız
											gördüğü bir şey yaratabiliyor.
											Bu biraz, sekiz yaşındaki bir çocuğun kulanabileceği
											Maya gibi bir şey tasarlamaya benziyor.
											Buradaki gerçek amaç — kişinin bir dakika içinde, bir ressamın yapmak
											için haftalarca uğraşacağı bir şeyi kopyalamasını istedim.
											Şimdi ona el koyalım.
											Evet, işte birlikte bir yaratık yaptık.
											Kuyruğuna da küçük bir silah yerleştireyim ki kavga edebilsin.
											Tamam, kabası çıktı. Şimdi boyama aşamasına geçebiliriz.
									","
											Das hier ist der Editor, mit dem wir das Design
											für unsere nächste Generation erschaffen. Es hat ein Rückgrat,
											es kann sich bewegen, sich vergrößern.
											Ich kann es mit dem Mausrad groß oder klein machen, man formt es
											wie Ton. Es gibt Teile, die man anbringen oder abnehmen kann.
											Idealerweise erstellt der Spieler alles,
											was mit diesem Editor möglich ist, und es wird lebendig.
											Ich kann also hier ein paar Gliedmaßen anbringen.
											Ich mache sie übergroß.
											In diesem Beispiel will ich vielleicht Münder
											an den Gliedmaßen anbringen.
											Spieler werden aufgefordert, in diesem Spiel sehr kreativ zu sein.
											Es bekommt ein großes Auge in der Mitte, das nach unten schaut.
											Es bekommt noch ein paar Beine.
											Wir wollen, dass dies dazu dient,
											die Vorstellungskraft des Spielers zu vergrößern.
											Mit nur wenigen Klicks können Spieler etwas erschaffen,
											von dem sie nicht dachten, dass es möglich ist.
											Als ob man etwas aus der Maya-Zeit erschafft,
											das ein Achtjähriger nutzen kann.
											Das Ziel war, dass man innerhalb einer Minute etwas repliziert,
											wofür ein Künstler normalerweise Wochen benötigt.
											Jetzt bekommt es noch Hände.
											Hier haben wir eine zusammengewürfelte kleine Kreatur.
											Sie bekommt noch eine kleine Waffe am Schwanzende, für Kämpfe.
											Hier ist das ganze Modell, jetzt kann man es einfärben.
									","
											Pero básicamente, este es el editor, donde diseñaremos
											la siguiente generación de criaturas. Tiene una columna,
											puede moverse, puede extenderse.
											Puedo hincharlo o encogerlo con la rueda del ratón, como si lo esculpiera,
											como arcilla. Tenemos partes que puedo insertar o quitar.
											La idea es que el jugador pueda diseñar
											cualquier cosa que imagine en este editor, y darle vida.
											Por ejemplo. podría poner unos miembros en el personaje.
											Los haré más grandes.
											Y en este caso podría decidir que voy a poner —
											Pondré bocas en los miembros.
											Entonces los jugadores son alentados a ser creativos en el juego.
											Le daré, un ojo en el medio, lo agrandaré un poco, apuntando abajo.
											Le daré unas piernas.
											Básicamente, queremos que esto se sienta como
											un amplificador de la imaginación del jugador,
											para que con pocos clics un jugador pueda crear algo
											que no pensaron que fuera posible antes.
											Es casi como diseñar algo como Maya
											que un niño de ocho años pueda usar.
											Pero en realidad el objetivo fue, quería que en un minuto alguien pudiera replicar
											lo que típicamente le lleva a un artista varias semanas en crear.
											Ahora le pondré unas manos.
											Básicamente armé una pequeña criatura.
											Le daré una pequeña arma en la cola, para que pueda pelear.
											Ese es el modelo completo. Ahora podemos ir a la fase de pintura.
									","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
","
","
","
","
","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
											A cette étape, le programme peut comprendre le type de
											topologie de cette créature. Il sait où se situe le squelette,
											et où sont la colonne vertébrale et les membres.
											Il sait comment les rayures devraient se mettre, la façon de gérer les ombres,
											et donc, nous générons pas à pas la carte des textures —
											et c'est quelque chose qu'un spécialiste des textures pourrait mettre beaucoup, beaucoup de temps à faire.
											On peux tester tout ça, une fois que nous l'avons terminé, et voir comment la créature se déplacera.
											Ici l'ordinateur va l'animer.
											Il l'analyse et, quelque soit la forme que je lui ai donné, va lui donner la vie.
											Je peux essayer de voir comment elle danse...
									","
											Nesta fase, o programa já tem
uma noção da topologia desta criatura.
											Sabe onde está a coluna vertebral,
os membros, etc.
											sabe como deve orientar as riscas,
colocar as sombras.
											Podemos gerar o mapa
de texturas do objeto.
											É uma coisa que um profissional
demoraria muitos dias a fazer.
											Depois disto podemos testar a criatura,
ver como se movimenta.
											Nesta fase o computador
está a animar a criatura.
											Vai pegar naquilo que eu criei
e dar-lhe vida.
											Podemos ver uns passos de dança...
									","
											Bu aşamada, program yaratığın topolojisinden az çok haberdar.
											Bel kemiğinin,
											omurganın, kolların yerini biliyor.
											Çizgilerin nasıl hareket etmesi gerektiğini, nasıl gölgelendirileceğini biliyor.
											Yöntemsel olarak doku eşlemi yapıyoruz —
											ki bu bir doku ressamının günlerce çalışmasını gerektiren bir şey.
											Sonra onu test edebiliriz ve ardından etrafta nasıl dolaştığını görebiliriz.
											Bu noktada, bilgisayar usulen bu yaratığı canlandırıyor.
											Tasarladığım şeye bakıp onu hayata geçiriyor.
											Onun nasıl dans ettiğine bakabilirim...
									","
											In dieser Phase besitzt das Programm Wissen über
											die Struktur der Kreatur. Es weiß, wo das Rückgrat,
											die Wirbelsäule, die Gliedmaßen sind.
											Es weiß, wie Streifen, wie Schattierungen verlaufen müssen.
											Wir generieren im Verlauf eine Oberflächenstruktur,
											etwas, woran ein Struktur-Künstler viele Tage arbeiten würde.
											Jetzt kann es getestet werden, danach kann man sehen, wie es sich bewegt.
											Der Computer animiert die Kreatur.
											Er nimmt das, was ich entwickelt habe, und haucht ihm Leben ein.
											Ich kann es zum Tanzen bringen...
									","
											En esta fase, el programa tiene cierta comprensión de
											la topología de esta criatura. Sabe dónde está la columna,
											dónde están los miembros.
											Sabe cómo deberían aplicarse las bandas, cómo debería sombrearse,
											y así, generamos proceduralmente el mapa de texturas —
											y esto es algo que a un artista de texturas le llevaría varios días para hacer.
											Y podemos probarlo, una vez terminado, y ver cómo se movería.
											En este punto, la computadora anima proceduralmente esta criatura.
											Examina lo que he diseñado, y le da vida.
											Y podemos ver cómo bailaría ...
									","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
","
","
","
","
","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
											(Rires)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									","
											(Risas)
									","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
","
","
","
","
","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
											comment elle montre ses émotions, comment elle se battrait.
											Donc elle bouge avec ses deux bouches.
											Je peux même la faire poser — et voilà une photo.
									","
											... e como exprime emoções, como luta.
											Reparem que está a usar as duas bocas.
											Posso pô-lo a posar para a fotografia,
tirar-lhe um retrato.
									","
											Duygularını nasıl gösterdiğine, nasıl kavga ettiğine.
											İşte şimdi de iki ağzıyla birden hareket ediyor.
											Ona poz bile verdirebilirim — bir fotoğrafını çekelim.
									","
											Es kann Emotionen zeigen, es kann kämpfen.
											Es agiert mit beiden Mäulern.
											Es kann sogar für ein Foto posieren - man kann ein Foto schießen.
									","
											Cómo demostraría emociones, como pelearía.
											Está actuando con sus dos bocas allí.
											Puedo hacer que pose para una foto — tomar una foto.
									","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
","
","
","
","
","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
											(Rires)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									","
											(Risas)
									","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
","
","
","
","
","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
