es,en,fr,tr,title,speaker,duration,tags
"
","
","
","
",The why and how of effective altruism,Peter Singer,17:19,"global issues,philanthropy,philosophy,social change"
"
											Y la respuesta es: sí podemos.
											Cada uno de nosotros gasta dinero
											en cosas que realmente no necesita.
											Pueden pensar en su propio hábito
											ya sea un auto nuevo, vacaciones,
											o algo simple como comprar agua embotellada
											cuando el agua que sale de los grifos
											es perfectamente potable y segura.
											Podrían tomar el dinero que gastan
											es esas cosas innecesarias
											y dárselo a esta organización,
											la Fundación Contra la Malaria,
											quienes tomarían el dinero que Uds. donaran
											y lo usarían para comprar redes como esta
											para proteger a niños como este,
											y sabemos a ciencia cierta 
que si proporcionamos redes,
											estas se utilizan y reducen la cantidad de niños
											que mueren de malaria,
											que es tan solo una de las muchas
enfermedades prevenibles,
											responsables de algunas de las muertes de esos
											19.000 niños por día.
									","
											And the answer is, yes we can.
											Each of us spends money
											on things that we do not really need.
											You can think what your own habit is,
											whether it's a new car, a vacation
											or just something like buying bottled water
											when the water that comes out of the tap
											is perfectly safe to drink.
											You could take the money you're spending
											on those unnecessary things
											and give it to this organization,
											the Against Malaria Foundation,
											which would take the money you had given
											and use it to buy nets like this one
											to protect children like this one,
											and we know reliably that if we provide nets,
											they're used, and they reduce the number of children
											dying from malaria,
											just one of the many preventable diseases
											that are responsible for some of those 19,000 children
											dying every day.
									","
											La réponse est oui.
											Chacun d'entre nous dépense de l'argent
											pour des choses dont il n'a pas vraiment besoin.
											Vous pouvez penser à vos propre habitudes,
											que ce soit une nouvelle voiture, des vacances
											ou d'acheter de l'eau en bouteille
											alors que l'eau du robinet
											est parfaitement potable.
											Vous pourriez prendre l'argent que vous dépensez
											pour ces choses non nécessaires
											et le donner à cette association,
											la Fondation contre la Malaria,
											qui prendrait cet argent
											et l'utiliserait pour acheter des moustiquaires
											pour protéger des enfants comme elle.
											On sait que si l'on fournit des moustiquaires,
											les gens les utilisent et
cela réduit le nombre d'enfants
											qui meurent de la malaria,
											juste une des nombreuses maladies évitables
											qui sont responsables des 19000 morts
											d'enfants par jour.
									","
											Ve bu sorunun yanıtı, evet kurtarabiliriz.
											Her birimiz aslında gereksinimimiz olmayan
											şeylere para harcıyoruz.
											Kendi alışkanlıklarınızı düşünebilirsiniz;
											ister yeni bir araba olsun, 
ister bir tatil olsun,
											ister musluktan akan suyu
											içmek oldukça güvenliyken
											şişelenmiş su almak gibi bir şey olsun.
											O gereksiz şeylere verdiğiniz
											parayı alıp bu kuruluşa,
											Against Malaria Foundation’a 
(Sıtmayla Mücadele Vakfı) verebilirsiniz;
											Against Malaria Foundation, 
verdiğiniz parayı
											bunun gibi cibinlikler alarak
											bu çocuk gibi çocukları 
korumak için kullanacak
											ve güvenilir bir şekilde biliyoruz ki
											eğer cibinlikleri verirsek 
cibinlikler kullanılır
											ve 19.000 çocuğun ölümüne
											neden olan önlenebilir hastalıklardan
											biri olan sıtmadan ölen
											çocuk sayısı azalmış olur.
									",The why and how of effective altruism,Peter Singer,17:19,"global issues,philanthropy,philosophy,social change"
"
","
","
","
",The why and how of effective altruism,Peter Singer,17:19,"global issues,philanthropy,philosophy,social change"
"
											Por fortuna, más y más personas
											han comenzado a entender esta idea,
											y el resultado ha sido un movimiento creciente:
											altruismo eficaz.
											Es importante porque combina 
tanto la cabeza como el corazón.
											El corazón, por supuesto, lo sintieron.
											Sintieron empatía por esa niña.
											Pero también es muy importante usar la cabeza
											para asegurarnos de que lo que hagamos 
sea eficaz y esté bien orientado.
											Y no solo eso, sino que creo que la razón nos ayuda
											a entender que otras personas, 
donde sea que estén,
											son como nosotros, y pueden sufrir como nosotros,
											que los padres lloran por la muerte de sus hijos,
											como lo hacemos nosotros,
											y que así como nuestras vidas y nuestro
bienestar son importantes para nosotros,
											les importa de igual manera
a todas esas personas.
											Así que creo que la razón no es 
solamente una herramienta neutral
											para conseguir lo que quieren.
											Nos ayuda a ver nuestra propia situación
en perspectiva.
											Y creo que es por esto
											que muchas de las personas involucradas significativamente en el altruismo eficaz,
											han sido personas con antecedentes
											en filosofía, economía o matemáticas.
											Y eso puede parecer sorprendente,
											porque muchos piensan,
											""La filosofía está muy alejada de la realidad;
											se nos dice que la economía, nos hace más egoístas
											y sabemos que la matemática es para nerds"".
											Pero de hecho, sí marca una diferencia,
											y de hecho, hay un nerd en particular
											que ha sido un altruista muy eficaz
											porque comprendió esto.
									","
											Fortunately, more and more people
											are understanding this idea,
											and the result is a growing movement:
											effective altruism.
											It's important because it combines both the heart and the head.
											The heart, of course, you felt.
											You felt the empathy for that child.
											But it's really important to use the head as well
											to make sure that what you do is effective and well-directed,
											and not only that, but also I think reason helps us
											to understand that other people, wherever they are,
											are like us, that they can suffer as we can,
											that parents grieve for the deaths of their children,
											as we do,
											and that just as our lives and our well-being matter to us,
											it matters just as much to all of these people.
											So I think reason is not just some neutral tool
											to help you get whatever you want.
											It does help us to put perspective on our situation.
											And I think that's why
											many of the most significant people in effective altruism
											have been people who have had backgrounds
											in philosophy or economics or math.
											And that might seem surprising,
											because a lot of people think,
											""Philosophy is remote from the real world;
											economics, we're told, just makes us more selfish,
											and we know that math is for nerds.""
											But in fact it does make a difference,
											and in fact there's one particular nerd
											who has been a particularly effective altruist
											because he got this.
									","
											Heureusement, de plus en plus de gens
											comprennent cette idée
											et un mouvement grandit :
											l'altruisme efficace.
											C'est important car il combine le cœur et la tête.
											Le cœur, bien sûr, car vous avez des sentiments.
											Vous ressentez de l’empathie pour cet enfant.
											Mais c'est aussi très important d'utiliser votre tête
											pour être sûr que ce que vous faites
est efficace et bien orienté
											et pas seulement ça, je pense aussi
que la raison nous aide
											à comprendre que les autres personnes, 
peu importe où elles sont,
											sont comme nous,
qu'elles peuvent souffrir comme nous,
											que les parents sont en deuil
après la mort de leurs enfants,
											comme nous,
											qu'au même titre que nos vies et notre bien-être
sont importants pour nous,
											c'est aussi important pour tous ces gens.
											Je pense que la raison
n'est pas seulement un outil neutre
											qui vous aide à obtenir ce que vous voulez.
											Elle aide à mettre en perspective notre situation.
											Je pense que c'est pour ça
											que beaucoup de personnes importantes
pour le mouvement d'altruisme efficace
											sont des gens ayant des formations
											en philosophie, économie ou mathématiques.
											Cela peut paraître surprenant,
											parce que beaucoup de gens pensent que
											« la philosophie est éloignée du monde réel ;
											l'économie, on nous dit que
cela nous rend plus égoïste,
											et on sait que les maths, c'est pour les geeks. »
											Mais en réalité, ça fait une différence,
											il y a un geek en particulier
											qui est un altruiste particulièrement efficace
											car il possède ceci.
									","
											Neyse ki gittikçe daha çok sayıda insan
											bu düşünceyi anlıyor ve
											bunun sonucunda bir 
hareket ortaya çıkıyor:
											Efektif altruizm.
											Efektif altruizm önemli çünkü 
kalbi ve aklı birleştiriyor.
											Kalbi, tabii ki, hissettiniz.
											O çocuk için empati hissettiniz.
											Aklımızı da kullanmamız 
yaptığımız şeyin efektif ve
											doğru yönlendirilmiş olmasını 
sağlaması için gerçekten önemli,
											ama sadece bu kadar da değil,
											nerede olurlarsa olsunlar 
başka insanların da
											bizim gibi olduklarını, 
bizim gibi acı çekebildiklerini,
											ebeveynlerin kendi çocuklarının yasını 
bizim tuttuğumuz gibi tuttuğunu
											ve hayatımızın ve refahımızın 
bizim için ne kadar önemi
											varsa onlarınkinin de onlar için o kadar
											önemli olduğunu anlamamıza 
akıl yardımcı olur.
											O nedenle akıl ne istiyorsak 
onu elde etmemizi sağlayan
											tarafsız bir araç değildir bence.
											Durumumuzu belirli bir açıdan 
görmemize katkıda bulunur.
											Ve bu yüzden
											efektif altruizmin içindeki 
en dikkate değer kişilerden birçoğunun
											felsefe, ekonomi ya da matematik
											arka planına sahip olduğunu düşünüyorum.
											Ve bu şaşırtıcı gelebilir;
											çünkü birçok insan şöyle düşünüyor
											“Felsefe gerçek dünyadan kopuk;
											ekonominin bizi bencil yaptığı söylenir
											ve matematiğin inekler için 
olduğunu biliyoruz.”
											Ama aslında bu bir fark yaratır
											ve bunun farkına vardığı için
											özellikle efektif altruist olmuş
											bir inek var.
									",The why and how of effective altruism,Peter Singer,17:19,"global issues,philanthropy,philosophy,social change"
"
","
","
","
",The why and how of effective altruism,Peter Singer,17:19,"global issues,philanthropy,philosophy,social change"
"
											Esta es la página web de 
la Fundación Bill y Melinda Gates,
											si se fijan en las palabras
en el margen superior derecho,
											dice, ""Todas las vidas tienen el mismo valor"".
											Esa es la comprensión,
											el entendimiento racional de 
nuestra situación en el mundo
											que ha llevado a estas personas
											a ser los altruistas más eficaces de la historia,
											Bill y Melinda Gates y Warren Buffett.
									","
											This is the website of the Bill &amp; Melinda Gates Foundation,
											and if you look at the words on the top right-hand side,
											it says, ""All lives have equal value.""
											That's the understanding,
											the rational understanding of our situation in the world
											that has led to these people
											being the most effective altruists in history,
											Bill and Melinda Gates and Warren Buffett.
									","
											Voici le site internet
de la fondation Bill &amp; Melinda Gates,
											si vous regardez en haut à droite,
											il est écrit : « Toutes les vies ont la même valeur. »
											C'est la compréhension,
											la compréhension rationnelle
de notre situation dans le monde
											qui a mené ces personnes
											à être les plus grands altruistes de l'Histoire,
											Bill et Melinda Gates, et Warren Buffett.
									","
											Bu Bill ve Melinda Gates Vakfı’nın sitesi
											ve sağ üstteki ifadelere bakarsanız
											“Bütün hayatlar eşit değere sahiptir” 
yazdığını görebilirsiniz.
											Bu anlayış,
											dünyadaki durumumuza yönelik 
akılcı anlayış,
											sözünü ettiğim bu insanları,
											tarihteki en efektif altruistler 
hâline getirmiştir:
											Bill ve Melinda Gates’i 
ve Warren Buffet’ı.
									",The why and how of effective altruism,Peter Singer,17:19,"global issues,philanthropy,philosophy,social change"
"
","
","
","
",The why and how of effective altruism,Peter Singer,17:19,"global issues,philanthropy,philosophy,social change"
"
											(Aplausos)
									","
											(Applause)
									","
											(Applaudissements)
									","
											(Alkışlar)
									",The why and how of effective altruism,Peter Singer,17:19,"global issues,philanthropy,philosophy,social change"
"
","
","
","
",The why and how of effective altruism,Peter Singer,17:19,"global issues,philanthropy,philosophy,social change"
"
											Nadie, ni Andrew Carnegie, ni John D. Rockefeller,
											ha donado tanto para la beneficencia
											como cada una de estas tres personas,
											y ellos han usado su inteligencia
											para asegurarse de que sea altamente eficaz.
											Se calcula que la Fundación Gates
											ya ha salvado alrededor de 5,8 millones de vidas.
											y a muchos millones de personas más 
de contraer enfermedades
											que los habrían enfermado gravemente,
											aún si finalmente sobrevivieran.
											Durante los próximos años, indudablemente, 
la Fundación Gates
											va a dar mucho más,
											va a salvar muchas más vidas.
											Podrían pensar, ""eso está muy bien, 
si uno es multimillonario,
											se puede tener esa clase de impacto.
											Pero si no soy millonario, ¿qué puedo hacer?""
											Así que voy a considerar cuatro preguntas 
que la gente formula
											que tal vez se interponen
en su capacidad de dar a otros.
									","
											No one, not Andrew Carnegie, not John D. Rockefeller,
											has ever given as much to charity
											as each one of these three,
											and they have used their intelligence
											to make sure that it is highly effective.
											According to one estimate, the Gates Foundation
											has already saved 5.8 million lives
											and many millions more, people, getting diseases
											that would have made them very sick,
											even if eventually they survived.
											Over the coming years, undoubtably the Gates Foundation
											is going to give a lot more,
											is going to save a lot more lives.
											Well, you might say, that's fine if you're a billionaire,
											you can have that kind of impact.
											But if I'm not, what can I do?
											So I'm going to look at four questions that people ask
											that maybe stand in the way of them giving.
									","
											Personne, ni Andrew Carnegie,
ni John D. Rockefeller,
											n'ont donné autant aux associations
											que chacune de ces trois personnes,
											ils ont utilisé leur intelligence
											pour s'assurer que leur aide soit vraiment efficace.
											Selon une estimation, la fondation Gates
											a déjà sauvé 5,8 millions de vies
											et même plus, des gens qui, atteints de maladies
											qui les auraient rendu très malades,
											mais qui ont finalement survécu.
											Dans les prochaines années,
la Fondation Gates va sans aucun doute
											donner beaucoup plus,
											sauver encore plus de vies.
											Vous allez me dire,
ça marche si vous êtes milliardaire,
											vous pouvez avoir ce genre d'impact.
											Mais si je ne le suis pas,
qu'est-ce que je peux faire ?
											Je vais donc répondre 
aux quatre questions que les gens se posent
											et qui les empêchent peut-être de donner.
									","
											Hiç kimse, ne Andrew Carnegie,
ne de John D. Rockefeller
											yardım kuruluşlarına bu üçünden biri kadar
											çok bağışlamamıştır
											ve bu üç kişi bağışladıklarının
											olabildiğince efektif olmasını
sağlamak için zekâlarını kullanmışlardır.
											Yapılan bir hesaba göre Gates Vakfı
											şimdiden 5,8 milyon hayat kurtarmıştır
											ve ölümlerine neden olmasa da 
hayatlarını ağır hasta geçirmelerine
											neden olacak hastalıklara yakalanmış,
											milyonlarca kişiyi iyileştirmiştir.
											Kuşkusuz gelecek yıllarda Gates Vakfı
											daha fazla bağış yapacak
											ve daha fazla hayat kurtaracak.
											Peki, diyebilirsiniz, ancak milyarderseniz
											öylesine bir etki yaratabilirsiniz.
											Ama ben milyarder değilsem, 
ne yapabilirim ki?
											Bu yüzden insanların sorduğu,
											bağış yapmalarına engel olabilecek 
dört soruyu inceleyeceğim.
									",The why and how of effective altruism,Peter Singer,17:19,"global issues,philanthropy,philosophy,social change"
"
","
","
","
",The why and how of effective altruism,Peter Singer,17:19,"global issues,philanthropy,philosophy,social change"
"
											Se preocupan por cuán grande 
es la diferencia que pueden llegar a hacer.
											Pero no hace falta ser un multimillonario.
											Él es Toby Ord. Es un colega investigador en filosofía
											de la Universidad de Oxford.
											Se convirtió en un altruista eficaz cuando calculó
											que con el dinero que probablemente ganaría
											a lo largo de su carrera, una carrera académica,
											podría donar lo suficiente como para curar 
a 80.000 personas de ceguera
											en países en vías de desarrollo,
											y que aún le sobraría dinero suficiente
											para mantener un estándar de vida 
perfectamente apropiado.
											Así fue que Toby fundó una organización,
											llamada Giving What We Can, 
para difundir esta información,
											para unir a personas que quieran compartir 
parte de sus ingresos,
											y pedirles que se comprometan a donar 10%
											de lo que ganen durante toda su vida
											para luchar contra la pobreza mundial.
											El propio Toby hace más que eso.
											Se comprometió a vivir con 
18.000 libras esterlinas al año,
											eso es menos que 30.000 dólares,
											y donar el resto a esas organizaciones.
											Y sí. Toby está casado y tiene una hipoteca.
									","
											They worry how much of a difference they can make.
											But you don't have to be a billionaire.
											This is Toby Ord. He's a research fellow in philosophy
											at the University of Oxford.
											He became an effective altruist when he calculated
											that with the money that he was likely to earn
											throughout his career, an academic career,
											he could give enough to cure 80,000 people of blindness
											in developing countries
											and still have enough left
											for a perfectly adequate standard of living.
											So Toby founded an organization
											called Giving What We Can to spread this information,
											to unite people who want to share some of their income,
											and to ask people to pledge to give 10 percent
											of what they earn over their lifetime
											to fighting global poverty.
											Toby himself does better than that.
											He's pledged to live on 18,000 pounds a year —
											that's less than 30,000 dollars —
											and to give the rest to those organizations.
											And yes, Toby is married and he does have a mortgage.
									","
											Ils s'inquiètent de l'impact qu'ils peuvent avoir.
											Mais vous n'avez pas besoin d'être un milliardaire.
											Voilà Toby Ord. C'est un chercheur en philosophie
											à l'université d'Oxford.
											Il est devenu un altruiste efficace quand il a calculé
											qu'avec l'argent qu'il était supposé gagner
											tout au long de sa carrière,
une carrière universitaire,
											il pourrait donner assez pour guérir
80000 personnes de la cécité
											dans les pays en développement
											tout en gardant assez d'argent
											pour continuer à vivre tout à fait correctement.
											Il a donc fondé une association
											appelée Giving What We Can (Donner ce que l'on peut) pour diffuser cette information,
											pour unir ceux qui souhaitent partager
une partie de leur revenu,
											et pour inciter les gens à faire
des promesses de don de 10%
											de ce qu'ils gagnent tout au long de leur vie
											pour combattre la pauvreté.
											Toby, lui, fait mieux que ça
											Il s'est engagé à vivre avec 18000 livres par an —
											c'est moins de 30 000 dollars (21 000 euros) —
											et à donner le reste aux associations.
											Et oui, Toby est marié et a un prêt immobilier.
									","
											İnsanlar ne kadar fark yaratabilecekleri 
konusunda kaygılanıyorlar.
											Ama milyarder olmanız gerekmiyor.
											Bu Toby Ord. Oxford Üniversitesi 
Felsefe bölümünde
											araştırma görevlisi.
											Kariyeri, yani akademik kariyeri boyunca
											kazanması olası olan parayla 
gelişmekte olan
											ülkelerdeki 80.000 kişinin 
körlüğünü iyileştirecek kadar bağışlayıp
											gelişmekte olan ülkelerdeki
80.000 kör insanı iyileştirmek için
											yine de son derece yeterli bir standartta
											hayatını sürdürebileceğini hesaplayınca
											efektif altruist oldu.
											Toby bu bilgiyi yaymak,
											gelirlerinin bir bölümünü paylaşmak 
isteyen kişileri bir araya getirmek
											ve insanlardan küresel yoksullukla 
mücadele etmek için
											hayatları boyunca kazandıklarının 
%10’unu bağışlamayı 

											vaat etmelerini istemek üzere
											Giving What We Can 
(Verebildiğimiz Kadar Vermek)
											adında bir kuruluş kurdu.
											Toby kendi adına
bundan da iyisini yapıyor.
											Yılda 18.000 sterlinle yaşamayı

											–bu 30.000 dolardan aza geliyor-
											ve kalan gelirini bu kuruluşlara 
vermeyi vaat etti.
											Ve evet, Toby evli ve ev kredisi ödüyor.
									",The why and how of effective altruism,Peter Singer,17:19,"global issues,philanthropy,philosophy,social change"
"
","
","
","
",The why and how of effective altruism,Peter Singer,17:19,"global issues,philanthropy,philosophy,social change"
"
											Esta es una pareja en 
una etapa más avanzada de la vida.
											Charlie Bresler y Diana Schott,
											quienes, cuando eran jóvenes y se conocieron,
											eran activistas contra la guerra de Vietnam,
											y lucharon por la justicia social.
											Luego se avocaron a sus carreras, 
como hacen la mayoría de las personas
											y no hicieron nada activamente por esos valores,
											aunque no los abandonaron.
											Y entonces, al llegar a la edad 
en la que la mayoría de las personas
											empieza a pensar en su retiro, volvieron a ellos,
											y han decidido recortar su gasto,
											para vivir modestamente y destinar tiempo y dinero
											para ayudar a combatir la pobreza global.
									","
											This is a couple at a later stage of life,
											Charlie Bresler and Diana Schott,
											who, when they were young, when they met,
											were activists against the Vietnam War,
											fought for social justice,
											and then moved into careers, as most people do,
											didn't really do anything very active about those values,
											although they didn't abandon them.
											And then, as they got to the age at which many people
											start to think of retirement, they returned to them,
											and they've decided to cut back on their spending,
											to live modestly, and to give both money and time
											to helping to fight global poverty.
									","
											Voici un couple plus âgé,
											Charlie Bresler et Diana Schott,
											qui, lorsqu'ils étaient jeunes,
quand ils se sont rencontrés,
											étaient des activistes contre la guerre du Vietnam,
											ils se battaient pour une justice sociale,
											puis ils ont commencé leur carrière,
comme la plupart des gens,
											ils ne se sont plus vraiment battus
pour ces valeurs,
											même s'ils ne les avaient pas abandonnées.
											Et puis, quand ils sont arrivés à l'âge
auquel de nombreuses personnes
											pensent à la retraite,
ils se sont retournés vers ces valeurs,
											ils ont décidé de baisser leurs dépenses,
											pour vivre modestement et
donner de l'argent et du temps
											à la lutte contre la pauvreté.
									","
											Charlie Bresler ve Diana Schott
											hayatlarının ileri evresinde
bulunan bir çift:
											Gençken tanıştıklarında
											Vietnam Savaşı karşıtı aktivistlerdi,
											sosyal adalet için mücadele ediyorlardı
											ve bu değerleri terk etmemiş 
olsalar da çoğu kişi gibi
											kariyerlerine başladıktan sonra 
benimsedikleri değerlere yönelik
											pek de aktif bir şey yapmadılar.
											Daha sonra çoğu kişinin
emekliliği düşünmeye
											başladığı yaşlara geldiklerinde 
o değerlere geri döndüler
											ve giderlerini azaltıp 
gösterişsiz bir şekilde yaşamaya
											ve küresel yoksullukla mücadele 
etmek için hem paralarını,
											hem de zamanlarını ayırmaya
karar verdiler.
									",The why and how of effective altruism,Peter Singer,17:19,"global issues,philanthropy,philosophy,social change"
