en,de,tr,pt,title,speaker,duration,tags
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											I think the only thing
less happy is the grass,
											that we did probably damage quite badly.
									","
											Ich glaube, nur das Gras
war unglücklicher,
											das haben wir vermutlich 
stark geschädigt.
									","
											Sanırım bu işten en
rahatsız olan çimenler,
											çünkü onlara muhtemelen çok zarar verdik.
									","
											Quem não está tão contente é a relva,
											que arruinámos.
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											You get an idea of the thrust here,
											when I try to hold them horizontally
and somewhat fail.
											That's around 50 kilos of thrust there.
											We were quite impressed with that.
											We thought we were getting somewhere.
									","
											Hier ein Eindruck der Schubkraft:
											Ich schaffe es nicht,
sie waagerecht zu halten.
											Hier sind es etwa 50 Kilo Schubkraft.
											Wir waren davon sehr beeindruckt.
Wir dachten, wir würden es schaffen.
									","
											Buradaki itme gücünü tahmin edersiniz,
											yatay olarak tutmaya çalışıyorum, olmuyor.
											Gördüğünüz 50 kiloluk bir itme gücü.
											Bu bizi etkilemişti.
											Bir yerlere varıyoruz 
diye düşünmüştük.
									","
											aqui conseguem ter uma ideia da impulsão:
											ao tentar segurá-los na horizontal, falho.
											Isto são cerca de 50 kg de impulsão.
											Ficámos bastante impressionados.
											Pensámos que estávamos a 
chegar a algum lado.
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											So there's only one sensible way
to go from there:
											you get four.
									","
											Somit gibt es von hier aus
nur einen vernünftigen Weg:
											Man nimmt vier.
									","
											Bundan sonraki en mantıklı
adım şu olabilirdi:
											Bunlardan dört tane alınabilirdi.
									","
											Só uma maneira de melhorar:
											usar quatro.
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											(Laughter)
									","
											(Lachen)
									","
											(Gülüşmeler)
									","
											(Risos)
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											I have to say, I still like
watching these back.
									","
											Ich sehe die Aufnahmen
immer noch gerne.
									","
											Yeniden izlemekten hâlâ keyif alıyorum.
									","
											Tenho que admitir que ainda gosto de 
rever isto.
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											So then we thought well, let's try
and spread the load a bit.
											The legs are designed to take the load,
											so why don't we spread it out a bit?
											That bit was good.
											The harness —
											a nice idea but it didn't really work,
											as you'll see now.
											This whole journey was very much
about trying things —
									","
											Dann wollten wir 
das Gewicht etwas verteilen.
											Beine sind dazu da, Gewicht zu tragen.
Warum verteilen wir es also nicht etwas?
											Der Gedanke war gut.
											Die Gurte — eine schöne Idee,
hat aber nicht funktioniert,
											wie Sie jetzt sehen.
											Bei dieser Reise ging es darum,
Dinge auszuprobieren —
									","
											O zaman düşündük ki, peki öyleyse
bu yükü biraz dağıtalım.
											Bacaklarımız bu ağırlığı
almak üzere tasarlandı,
											peki neden biraz onlara dağıtmıyoruz?
											Bu biraz iyiydi.
											Kolanlara gelirsek —
											bunlar iyi bir fikirdi
											fakat şimdi gördüğünüz
gibi işe yaramadılar.
											Tüm bu yolculuk aslında,
farklı şeyleri denemekten ibaretti.
									","
											Depois, pensámos: ""Vamos tentar
distribuir o peso.
											""As pernas estão desenhadas
para aguentar carga,
											""Então, porque não distribuir
o peso aí?""
											Este foi bom.
											O arnês
											uma boa ideia mas não resultou,
											como podem ver.
											Todo este percurso
foi experimentar coisas...
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											(Laughter)
									","
											(Lachen)
									","
											(Gülüşmeler)
									","
											(Risos)
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											Yeah, it really didn't work, did it?
									","
											es hat wirklich nicht funktioniert —
									","
											Evet, bu işe yaramadı değil mi?
									","
											Pois, não resultou muito bem, 
pois não?
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											Trying things and learning
by failing at them most of the time.
											And that included failing by falling over.
											If you notice, we've got
five engines here —
											not to be put off by the fact
one was in maintenance,
											still had a go.
									","
											Dinge auszuprobieren
und aus den vielen Fehlern zu lernen.
											Und das beinhaltete
Scheitern durch Umkippen.
											Sie merken, es sind 5 Antriebe;
einer war in der Wartung,
											was uns nicht abschreckte,
es trotzdem zu versuchen.
									","
											Yeni şeyler deneyerek ve çoğu
zaman hata yaparak öğrenmek.
											Ki bu düşerek öğrenmeyi de kapsıyor.
											Dikkat ederseniz, burada
beş motorumuz var —
											diğeri tamirdeyken
											bir deneme daha yaptık.
									","
											Tentativa e erro na maior parte das
vezes.
											Incluindo falhar por cair.
											Se repararem, temos cinco motores aqui,
											ainda que um estivesse em manutenção.
											Ainda assim tentámos.
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											(Laughter)
									","
											(Lachen)
									","
											(Gülüşmeler)
									","
											(Risos)
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											And then I pinched a fuel line.
											So again, good learning.
We learned not to do that again.
									","
											Und dann klemmte ich 
eine Treibstoffleitung ab.
											Wieder etwas gelernt, und zwar,
das nicht wieder zu tun.
									","
											Sonra benzin çizgisini aşırdım.
											Çok öğreticiydi. Bir daha
bunu yapmamayı öğrendik.
									","
											E depois, comprimi uma
linha de combustível.
											Mais uma boa aprendizagem.
Não voltaremos a fazê-lo.
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											This was a blind alley.
									","
											Das war eine Sackgasse.
									","
											Bu da çıkmaz bir sokaktı.
									","
											Isto foi uma tentativa cega.
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											(Laughter)
									","
											(Lachen)
									","
											(Gülüşmeler)
									","
											(Risos)
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											This was three on each arm —
											that was ridiculous.
											That was 70 kilos on each arm.
											Again, struck that one off.
									","
											Hier waren drei an jedem Arm,
das war lächerlich.
											Das waren 70 Kilo pro Arm.
											Wieder: Gestrichen.
									","
											Burada her bir kolumda üç motor var—
											bu çok saçmaydı.
											Her bir kolda 70 kilo anlamına geliyor.
											Bundan da vazgeçtik.
									","
											Isto foi com três em cada braço...
											ridículo.
											Isto foi com 70 kg em cada braço.
											Outra vez, riscámos a opção.
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											(Laughter)
									","
											(Lachen)
									","
											(Gülüşmeler)
									","
											(Risos)
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											But we were starting to make
some really quite convincing progress,
											just enough to make you
believe that maybe —
											maybe we could get there.
											You can see, look — tantalizing.
											The model of one on each leg
and two on each arm,
											on paper, that was enough thrust.
											And then we did what
I'm about to show you now,
											and I still love watching this one.
											This was our first six-second,
reasonably coherent flight.
									","
											Aber langsam machten wir
sehr überzeugende Fortschritte,
											gerade genug um zu glauben,
											dass wir vielleicht
etwas erreichen könnten.
											Wie Sie sehen — verlockend.
											Der Ansatz von einem an jedem Bein
und zwei an jedem Arm,
											auf dem Papier war das genug Kraft.
											Und dann taten wir,
was ich Ihnen jetzt zeigen werde.
											Ich sehe das immer noch gerne.
											Das war der erste sechs Sekunden dauernde
und vernünftig zusammenhängende Flug.
									","
											Ama gerçekten inandırıcı 
gelişmeler yaşıyorduk,
											yani sanki bunu başarabileceğimize
											inanacak kadar.
											Görebiliyorsunuz — çok inandırıcı.
											Her bir ayakta bir tane ve
her bir kolda iki tane olan model,
											kâğıt üstünde, yeterli ağırlık
olacağını gösteriyordu.
											Size şimdi göstereceğimi de denedik
											ve bunu izlemekten hâlâ keyif alıyorum.
											Bu bizim ilk altı saniyelik
gerçekten tutarlı uçuşumuzdu.
									","
											Mas começámos a fazer progressos,
											o suficiente para vos fazer acreditar
											que talvez lá chegássemos.
											Podem ver, tentador.
											O modelo de um em cada perna e dois em
cada braço,
											no papel, tinha impulsão suficiente.
											E depois fizemos o que vos
vou mostrar agora,
											ainda adoro ver este.
											Este foi o nosso primeiro voo 
coerente de seis segundos.
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											(Applause)
									","
											(Applaus)
									","
											(Alkışlar)
									","
											(Aplausos)
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											That was the point where
this endeavor went from:
											""I'm really not sure
this is going to work,""
											to: ""Oh my god, it does work!""
											From there on we then refined it,
											but we carried on falling over a lot.
											Falling over, like I say, is definitely
the best way to learn.
											After a while, we starting
really refining the layout of all of this.
											And you'll see,
that's stability and control —
											there's no wires there or anything —
											that's a combination of us
refining the technology,
											including with a Tupperware box
on the back for the electronics
											and actually learning
the balance and control.
									","
											An dem Punkt änderte sich unser Bestreben,
											von: ""Ich bin nicht sicher, 
ob das funktioniert""
											zu: ""Oh Gott, es funktioniert!""
											Von da an verfeinerten wir es,
aber wir kippten weiterhin viel um.
											Durch Umkippen lernt man
definitiv am besten.
											Nach einer Zeit begannen wir, 
den Aufbau des Ganzen weiterzuentwickeln.
											Und Sie sehen,
diese Stabilität und Kontrolle —
											da sind keine Fäden oder Ähnliches —
											das ist eine Kombination
aus verbesserter Technik,
											inklusive der Tupperware-Box
auf dem Rücken für die Elektronik,
											und dem richtigen Lernen
von Balance und Kontrolle.
									","
											Bu nokta bizim çalışmalarımızın
											''bunun işe yarayacağından 
emin değilim'' noktasından,
											''Aman tanrım, bu işe yarıyor!''
noktasına geçişiydi.
											Bundan sonra yine revizeler yaptık,
											ama birçok kez düşmeye devam ettik.
											Düşmek, dediğim gibi
öğrenmenin kesinlikle en iyi yolu.
											Ve sonunda bunun görünüşünü
de revize etmeye başladık.
											Gördüğünüz gibi, bu denge ve kontrol —
											hiçbir kablo veya bir şey yok —
											bu, teknolojiyi revize ederek
											arkada elektronikler için bir plastik
saklama kabı dâhil etmemiz
											ve denge ile kontrolü
gerçekten öğrenmek için.
									","
											Isto foi quando esta ideia foi de:
											""Eu não tenho a certeza se isto
vai resultar!""
											para: "" Oh, meu Deus, resulta!""
											Desde aí, aperfeiçoámo-lo,
											mas continuámos a cair muito.
											Cair, como eu digo, é, sem dúvida,
a melhor maneira de aprender.
											Passado um bocado, começamos
realmente a aperfeiçoar.
											E podem ver a estabilidade e controlo
											— não há cabos nenhuns —
											isto é uma combinação de:
aperfeiçoamento,
											— incluindo um tupperware nas costas
com a electrónica —
											e aprendizagem do equilíbrio e controlo.
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											I'm now going to save your ears
for the next short piece
											and talk over it.
											After a while, the jet engine
noise is a bit annoying.
											This is only a few weeks ago.
											You can see the stability and control
is really quite nice,
											and I'd like to think this somewhat
validates that starting hypothesis,
											that the human mind and body,
if properly augmented in that way,
											can achieve some pretty cool stuff.
											I mean, like I said:
											I'm not thinking about where
I'm moving my arms at that stage.
											I'm looking at the objective
of where I want to get to,
											and a bit like riding a bike,
											my arms are just doing their thing.
											It's a very strange experience.
									","
											Ich erspare Ihren Ohren den nächsten Clip
und erzähle nur darüber.
											Nach einer Zeit nervt
das Triebwerksgeräusch.
											Es ist nur einige Wochen her.
											Sie sehen, Stabilität
und Kontrolle sind wirklich gut,
											und ich denke, das bestätigt
die Start-Hypothese ein bisschen,
											dass der menschliche Geist und Körper,
wenn auf die richtige Weise verbessert,
											ziemlich coole Dinge erreichen können.
											Wie ich bereits sagte:
											Ich denke hier nicht daran,
wohin ich meine Arme bewege.
											Ich konzentriere mich auf das Ziel,
wohin ich mich bewegen will,
											und ähnlich wie beim Radfahren
machen meine Arme einfach ihr Ding.
											Das ist eine seltsame Erfahrung.
									","
											Şimdi sıradaki kısa bölüm için
motor sesi olmadan
											konuşmaya devam edeceğim.
											Bir süre sonra, motor sesi
biraz rahatsız edici oluyor.
											Bu sadece birkaç hafta önceydi.
											Gördüğünüz gibi denge
ve kontrol gerçekten güzel
											ve sanırım bu da başlama
hipotezimizi onaylıyor,
											yani insan zekâsı ve vücudunun,
eğer doğru bir şekilde harmanlanırsa
											gerçekten çok harikâ şeyler yapabileceği.
											Dediğim gibi:
											Bu noktada kollarımı nereye
oynattığımı düşünmüyorum.
											Sadece gitmem gereken yöne bakıyorum,
											yani biraz bisiklet sürmek gibi,
											kollarım kendi hâlinde.
											Bu çok garip bir tecrübe.
									","
											Agora vou poupar os vossos ouvidos
na próxima peça,
											e falar por cima.
											Passado um bocado, o barulho
do motor torna-se perturbador.
											Isto foi há duas semanas.
											Podem ver que o equilíbrio e o controlo 
são bastante bons,
											e eu gosto de pensar que isto valida 
a hipótese inicial,
											de que a mente e corpo humano,
se aumentados desta maneira,
											podem alcançar coisas fantásticas.
											Claro, como eu disse,
											eu não estou a pensar no movimento dos
meus braços naquele momento.
											Eu estou a pensar no objectivo
para onde quero ir,
											e, um bocadinho como conduzir
uma mota,
											os meus braços estão a fazer o que devem.
											É uma experiência muito estranha.
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											So where is all this headed?
									","
											Wohin führt das alles?
									","
											Peki tüm bunlar nereye doğru ilerliyor?
									","
											Então qual é o objectivo?
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											I'll talk over this landing —
											I think I land in this one.
									","
											Ich gehe über diese Landung hinweg;
ich denke, ich landete bei diesem Versuch.
									","
											Bu iniş hakkında konuşacağım—
											Sanırım burada iniş yapabiliyorum.
									","
											Vou falar por cima desta aterragem
											— eu acho que aterro nesta.
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											Well, I don't think anybody's going
to go down to Walmart
											or take the kids to school
in any of this stuff for a while,
											but the team at Gravity are building
some awesome technology
											that's going to make
this look like child's play.
											We're working on some things
											that will seek to bring
this unusual experience of flight
											to a wider audience, beyond the events
and displays we're doing.
											We're even starting to look
for pilots two and three,
											if there's any volunteers.
									","
											Ich glaube nicht, dass man
bald damit einkaufen geht
											oder die Kinder zur Schule bringt.
											Aber das Team bei Gravity
entwickelt großartige Technologie,
											mit der das zu einem Kinderspiel wird.
											Wir arbeiten an Dingen, die versuchen,
die ungewöhnliche Erfahrung des Fliegens
											zu einem größeren Publikum zu bringen,
über unsere Events hinaus.
											Wir suchen sogar nach Pilot Nr. 2 und 3,
wenn es Freiwillige gibt?
									","
											Doğrusu kimsenin yakın zamanda Walmart'a
											veya çocuklarını okula bırakmak için
bu şekilde gideceğini düşünmüyorum
											ama Gravity'deki takımımız
müthiş teknolojiler üretmekte
											ve bunun birgün çocuk oyuncağı 
gibi görüneceği şeyler üretmekte.
											Üstüne çalıştığımız bazı şeylerle 
bu olağanüstü uçuş tecrübesini
											daha fazla seyirciye, yani etkinlikler
											ve şovlar dışına çıkartmayı hedefliyoruz.
											Ayrıca ikinci ve üçüncü
pilotlar da aramaktayız,
											gönüllü varsa.
									","
											Eu não acho que alguém vá ao Walmart
											ou levar os filhos à escola nisto
durante uns tempos,
											mas a equipa da Gravity está
a construir uma tecnologia brutal
											que vai fazer com que isto
pareça uma brincadeira.
											Estamos a trabalhar em algumas coisas
											que vão trazer esta experiência de voar
											a uma audiência maior, para além de
eventos e demonstrações.
											Até estamos à procura
dos pilotos dois e três,
											se houver voluntários.
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
