pt,tr,en,title,speaker,duration,tags
"
","
","
",A word game to communicate in any language,Ajit Narayanan,15:43,"disability,language,speech,technology"
"
											Fiquei muito entusiasmado com isso,
											e desatei a procurar por todos os lados
											tentando descobrir se seria possível
											transformar todas a frases possíveis 
naquele modelo.
											E descobri que isso não chegava.
											Porque é que não chegava?
											Não chegava porque, se quisermos transmitir
											a ideia de uma negação,
											se quisermos dizer: 
""Eu não quero sopa"",
											não podemos fazer isso com uma pergunta.
											Temos que fazer isso 
substituindo a palavra ""querer"".
											Outro exemplo, se quisermos dizer:
											""Eu ontem quis sopa"",
											estamos a substituir a palavra 
""quero"" por ""quis"".
											É o pretérito perfeito simples.
											Por isso, acrescentei um floreado
											para tornar o sistema mais completo.
											Este é um mapa de palavras colocadas
											no modelo pergunta–resposta,
											com estes filtros colocados por cima delas
											de modo a modificá-las
											para representarem certas nuances.
											Vou mostrar isso com um exemplo diferente.
									","
											Bu beni çok heyecanlandırmıştı ve
											etrafta hoplaya-zıplaya
											duyduğum her olası cümleyi buna çevirebilir miyim
											diye denemeler yapıyordum.
											Ve yeterli olmadığını anladım.
											Neden yeterli değildi?
											Çünkü eğer iletmek istediğiniz düşünce
											""Ben çorba istemiyorum"" gibi olumsuz birşey ise,
											bunu soru sorarak
											yapamıyordunuz.
											Bunu ancak ""istemek"" fiilini değiştirerek yapabiliyorsunuz.
											Eğer söylemek istediğiniz şey
											""Ben dün çorba istemiştim"" olursa,
											yine ""istemek"" fiilini değiştirmeniz gerekiyordu.
											Bu, geçmiş zaman.
											Sistemi tamamlamak için
											bir ekleme yaptım.
											Sözcüklerin, soru-cevap şeklinde bir araya getirildiği
											bir haritamız var ve
											üzerlerindeki filtreleri uygulayarak,
											çeşitli farklılıkları belirtecek biçimde
											onları değiştirebiliyoruz.
											Başka bir örnekle göstereyim bunu.
									","
											So I was very excited by this, you know,
											hopping around all over the place,
											trying to figure out if I can convert
											all possible sentences that I hear into this.
											And I found that this is not enough.
											Why is this not enough?
											This is not enough because if you wanted to convey
											something like negation,
											you want to say, ""I don't want soup,""
											then you can't do that by asking a question.
											You do that by changing the word ""want.""
											Again, if you wanted to say,
											""I wanted soup yesterday,""
											you do that by converting
the word ""want"" into ""wanted.""
											It's a past tense.
											So this is a flourish which I added
											to make the system complete.
											This is a map of words joined together
											as questions and answers,
											and with these filters applied on top of them
											in order to modify them to represent
											certain nuances.
											Let me show you this with a different example.
									",A word game to communicate in any language,Ajit Narayanan,15:43,"disability,language,speech,technology"
"
","
","
",A word game to communicate in any language,Ajit Narayanan,15:43,"disability,language,speech,technology"
"
											Peguemos nesta frase:
											""Eu disse ao carpinteiro que 
não lhe podia pagar"".
											É uma frase muito complicada.
											Pela forma como este sistema funciona
											podemos começar 
com qualquer parte desta frase.
											Vou começar com a palavra ""dizer"".
											Esta é a palavra ""dizer"".
											Ora isto aconteceu no passado,
											portanto, vou ter que a transformar em 
""disse"".
											O que eu vou fazer agora
											é fazer perguntas.
											""Quem disse?"" 
""Eu disse.""
											""Eu disse a quem?"" 
""Eu disse ao carpinteiro.""
											Agora pegamos 
numa parte diferente da frase.
											Agora começamos com a palavra ""pagar"",
											e acrescentamos o filtro de capacidade 
para a transformar em ""poder pagar"".
											Depois temos que a transformar em 
""não pagar"".
											E depois em ""não podia pagar"",
											introduzindo o passado.
											E depois: ""Quem não podia pagar?"" 
""Eu não podia pagar.""
											""Não podia pagar a quem?"" 
""Eu não podia pagar ao carpinteiro.""
											E depois juntamos as duas
											fazendo a pergunta:
											""O que é que eu disse ao carpinteiro?""
											""Eu disse ao carpinteiro que 
não lhe podia pagar.""
									","
											Şu cümleyi ele alalım:
											""Ben marangoza ona ödeme yapamayacağımı söyledim.""
											Biraz karmaşık bir cümle oldu.
											Cümlenin istediğiniz parçasından başlayarak
											sistemi uygulayabilirsiniz.
											Ben ""söylemek"" sözcüğünden başlayacağım.
											Burada ""söylemek"" sözcüğü var.
											Olay geçmişte olduğundan,
											bunu ""söyledim"" yapacağım.
											Ve ardından da
											sorular soracağım.
											Kim söyledi? Ben söyledim.
											Kime söyledim? Marangoza söyledim.
											Cümlenin başka bir parçası ile başlayalım şimdi de.
											""Ödeme yapmak"" sözcüğü ile başlayalım ve buna
											muktedirlik filtresi uygulayarak ""ödeme yapabilmek"" elde edelim.
											Sonra da bunu ""ödeme yapamamak"" biçimine dönüştürebilir,
											bunu da ""ödeme yapamayacağım"" yaparız,
											geçmiş zamanı seçerek.
											Yani kim ödeme yapamayacaktı? Ben.
											Kime? Marangoza ödeme yapamayacaktım.
											Şimdi de şu soruyu sorarak,
											bu ikisini birleştirelim:
											Ben marangoza ne söyledim?
											Ben marangoza ona ödeme yapamayacağımı söyledim.
									","
											Let's take this sentence:
											""I told the carpenter I could not pay him.""
											It's a fairly complicated sentence.
											The way that this particular system works,
											you can start with any part of this sentence.
											I'm going to start with the word ""tell.""
											So this is the word ""tell.""
											Now this happened in the past,
											so I'm going to make that ""told.""
											Now, what I'm going to do is,
											I'm going to ask questions.
											So, who told? I told.
											I told whom? I told the carpenter.
											Now we start with a different part of the sentence.
											We start with the word ""pay,""
											and we add the ability filter to it to make it ""can pay.""
											Then we make it ""can't pay,""
											and we can make it ""couldn't pay""
											by making it the past tense.
											So who couldn't pay? I couldn't pay.
											Couldn't pay whom? I couldn't pay the carpenter.
											And then you join these two together
											by asking this question:
											What did I tell the carpenter?
											I told the carpenter I could not pay him.
									",A word game to communicate in any language,Ajit Narayanan,15:43,"disability,language,speech,technology"
"
","
","
",A word game to communicate in any language,Ajit Narayanan,15:43,"disability,language,speech,technology"
"
											Agora pensem nisto. 
É...
											(Aplausos)
											É uma representação desta frase
											sem linguagem.
											E há duas ou três coisas 
interessantes nisto.
											Primeiro, eu podia ter começado 
por qualquer lado.
											Não tinha que começar pela palavra ""dizer"".
											Podia ter começado 
em qualquer sítio da frase,
											e podia ter feito a mesma coisa.
											Em segundo lugar, 
se eu não soubesse falar inglês,
											se estivesse a falar qualquer outra língua,
											este mapa continuaria válido 
em qualquer língua.
											Desde que as perguntas sejam standardizadas,
											o mapa é independente da língua.
											Por isso chamo-lhe FreeSpeech 
[ExpressãoLivre].
											Andei muitos, muitos meses à volta disto.
											Experimentei inúmeras combinações 
diferentes.
									","
											Şimdi düşünelim. Bu
											— (Alkış) —
											Bu, dil kullanmaksızın şu cümlenin
											temsil edilmesidir.
											Burada iki ya da üç ilginç durum var.
											İlk olarak, istediğim yerden başlayabiliyorum.
											""Söylemek"" sözcüğü ile başlamak zorunda değildim.
											Cümle içinde herhangi bir yerden başlayabilir ve
											bütüne yine ulaşabilirdim.
											İkincisi, eğer İngilizce bilmiyor olsaydım,
											başka bir dil konuşuyor olsaydım,
											bu harita yine doğru olurdu, dil hangisi olursa olsun.
											Sorular standart olduğu sürece,
											bu harita dilden bağımsızdır.
											Buna FreeSpeech adını verdim ve
											pek çok ay boyunca bununla uğraştım.
											Bunun çok sayıda kombinasyonunu deniyordum.
									","
											Now think about this. This is
											—(Applause)—
											this is a representation of this sentence
											without language.
											And there are two or three
interesting things about this.
											First of all, I could have started anywhere.
											I didn't have to start with the word ""tell.""
											I could have started anywhere in the sentence,
											and I could have made this entire thing.
											The second thing is, if I wasn't an English speaker,
											if I was speaking in some other language,
											this map would actually hold true in any language.
											So long as the questions are standardized,
											the map is actually independent of language.
											So I call this FreeSpeech,
											and I was playing with this for many, many months.
											I was trying out so many
different combinations of this.
									",A word game to communicate in any language,Ajit Narayanan,15:43,"disability,language,speech,technology"
"
","
","
",A word game to communicate in any language,Ajit Narayanan,15:43,"disability,language,speech,technology"
"
											E então detectei uma coisa 
muito interessante no FreeSpeech.
											Estava a tentar traduzir uma linguagem,
											a traduzir frases em inglês 
para frases em FreeSpeech.
											e vice–versa, em ambos os sentidos.
											E percebi que esta configuração particular,
											esta forma particular de representar 
a linguagem,
											me permitia criar regras muito concisas
											que serviam o FreeSpeech por um lado
											e o inglês por outro.
											Portanto, podia escrever 
esse conjunto de regras
											que traduzem essa representação 
especial para o inglês,
											E desenvolvi uma coisa.
											Desenvolvi aquilo a que chamei 
FreeSpeech Engine
											que agarra em qualquer frase 
do FreeSpeech, como dados,
											e produz um texto inglês 
perfeitamente gramatical.
											E, ao juntar estas duas peças,
											a representação e o motor,
											pude criar uma aplicação, 
uma tecnologia para crianças autistas
											que não só lhes dá palavras,
											mas também lhes dá uma gramática.
									","
											Bu arada FreeSpeech'in çok ilginç bir özelliğini fark ettim.
											Konuşma dilini, İngilizce cümleleri
											FreeSpeech cümlelerine ve tersi yönde
											birini diğerine dönüştürmekle uğraşıyordum.
											Ve fark ettim ki böyle bir yapılandırma,
											böyle bir dil temsil yolu,
											FreeSpeech ile İngilizce arasında çeviri için
											çok net kurallar yaratmamı
											mümkün kılıyordu.
											O halde, böyle bir temsilden İngilizce'ye çeviri için
											gereken bu kurallar kümesini yazabilirdim.
											Ben de şöyle bir şey geliştirdim.
											Buna FreeSpeech Motoru adını veriyoruz.
											Herhangi bir FreeSpeech cümlesini girdi olarak alıyor ve
											dilbilgisi açısından kusursuz bir İngilizce cümle çıktısı veriyor.
											İşte bu iki parçayı,
											temsili ve motoru bir araya getirerek,
											otizmli çocuklar için bir teknoloji geliştirebildim.
											Böylece onlara sözcüklerin yanı sıra
											dilbilgisi de kazandırmış oldum.
									","
											And then I noticed something very
interesting about FreeSpeech.
											I was trying to convert language,
											convert sentences in English
into sentences in FreeSpeech,
											and vice versa, and back and forth.
											And I realized that this particular configuration,
											this particular way of representing language,
											it allowed me to actually create very concise rules
											that go between FreeSpeech on one side
											and English on the other.
											So I could actually write this set of rules
											that translates from this particular
representation into English.
											And so I developed this thing.
											I developed this thing called 
the FreeSpeech Engine
											which takes any FreeSpeech sentence as the input
											and gives out perfectly grammatical English text.
											And by putting these two pieces together,
											the representation and the engine,
											I was able to create an app, a
technology for children with autism,
											that not only gives them words
											but also gives them grammar.
									",A word game to communicate in any language,Ajit Narayanan,15:43,"disability,language,speech,technology"
"
","
","
",A word game to communicate in any language,Ajit Narayanan,15:43,"disability,language,speech,technology"
"
											Então testei isto com crianças autistas,
											e descobri que havia uma 
quantidade incrível de identificação.
											Foram capazes de criar frases em FreeSpeech
											que eram muito mais complicadas 
mas muito mais eficazes
											do que as frases equivalentes em inglês.
											E comecei a pensar
											porque é que isso acontecia.
											E tive uma ideia. 
Quero falar-vos dessa ideia.
											Por volta de 1997, há cerca de 15 anos,
											havia um grupo de cientistas 
que estavam a tentar
											perceber como é que o cérebro 
processa a linguagem,
											e descobriram uma coisa muito interessante.
											Descobriram que, 
quando aprendemos uma língua
											enquanto crianças, por volta dos dois anos,
											aprendemo-la com uma certa parte 
do nosso cérebro
											e, quando aprendemos uma língua 
enquanto adultos
											— por exemplo, se eu quiser aprender 
japonês agora —
											vou usar uma parte totalmente 
diferente do meu cérebro.
											Não sei porque é que isso acontece
											mas suponho que será
											porque, quando aprendemos 
uma língua quando adultos,
											quase sempre, invariavelmente, aprendemo-la
											por intermédio da nossa língua nativa, 
ou por intermédio da nossa primeira língua.
											Portanto, o que é interessante no FreeSpeech
											é que, quando criamos uma frase,
											ou quando criamos uma linguagem,
											uma criança autista que cria uma 
linguagem com o FreeSpeech,
											não está a usar essa língua de suporte,
											não está a usar essa língua–ponte.
											Está a construir a frase directamente
									","
											Bunu otizmli çocuklarla denedim ve
											gördüm ki inanılmaz miktarda tanımlama olmakta.
											Eşdeğer İngilizce cümlelerden çok daha karmaşık
											ama çok daha etkili olan FreeSpeech cümlelerini
											kurabiliyorlardı.
											Durumun neden böyle olduğu
											üzerinde düşünmeye başladım.
											Sonra aklıma bir fikir geldi. Size bu fikirden söz etmek istiyorum.
											1997 dolaylarında, yaklaşık 15 yıl önce,
											beynin dili nasıl işlediğini araştıran
											bir grup bilimci vardı ve
											çok ilginç sonuçlara ulaştılar.
											Çocukken, iki yaşlarındayken
											dil öğrenme sırasında beynin belli bir bölgesi
											aktif halde olurken,
											bir yetişkin olarak dil öğrenme sırasında
											— örneğin, ben şimdi Japonca öğrenirken —
											beynin bütünüyle farklı bir bölgesi kullanılıyor.
											Bunun neden böyle olduğunu bilmiyorum,
											ama sanıyorum ki,
											yetişkin olarak dil öğrenirken
											hep anadil üzerinden,
											bilinen bir dil üzerinden gidiliyor olması.
											İşte FreeSpeech'in ilginç yanı
											bir cümle kurarken
											veya dil oluştururken,
											otizmli bir çocuk FreeSpeech ile dil yaratırken,
											öyle destek bir dil kullanılmıyor,
											köprü bir dil kullanılmıyor.
											Doğrudan cümle kuruluyor.
									","
											So I tried this out with kids with autism,
											and I found that there was an 
incredible amount of identification.
											They were able to create sentences in FreeSpeech
											which were much more complicated
but much more effective
											than equivalent sentences in English,
											and I started thinking about
											why that might be the case.
											And I had an idea, and I want to 
talk to you about this idea next.
											In about 1997, about 15 years back,
											there were a group of scientists that were trying
											to understand how the brain processes language,
											and they found something very interesting.
											They found that when you learn a language
											as a child, as a two-year-old,
											you learn it with a certain part of your brain,
											and when you learn a language as an adult —
											for example, if I wanted to
learn Japanese right now —
											a completely different part of my brain is used.
											Now I don't know why that's the case,
											but my guess is that that's because
											when you learn a language as an adult,
											you almost invariably learn it
											through your native language, or
through your first language.
											So what's interesting about FreeSpeech
											is that when you create a sentence
											or when you create language,
											a child with autism creates
language with FreeSpeech,
											they're not using this support language,
											they're not using this bridge language.
											They're directly constructing the sentence.
									",A word game to communicate in any language,Ajit Narayanan,15:43,"disability,language,speech,technology"
"
","
","
",A word game to communicate in any language,Ajit Narayanan,15:43,"disability,language,speech,technology"
