en,es,pt,de,fr,tr,title,speaker,duration,tags
"
","
","
","
","
","
",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
											So, it's complex.
											There's a lot of surface area —
											about 40 times the area of our skin.
											Then, in such a tight pipe,
											there are so many immune cells
that are being trained there.
											We have 100 trillion bacteria
doing all sorts of things —
											producing little molecules.
											Then there's about 20 different hormones,
											so we are on a very different level
than our genitals, for example.
											And the nervous system
of our gut is so complex
											that when we cut out a piece,
											it's independent enough
that when we poke it,
											it mumbles back at us, friendly.
									","
											Si, es complejo.
											Tiene mucha superficie,
											unas 40 veces 
el área de nuestra piel.
											En una tubería tan apretada,
											hay tantas células inmunes
que están siendo entrenadas allí.
											Tenemos 100 billones de bacterias
haciendo todo tipo de cosas,
											produciendo pequeñas moléculas.
											Y hay unas 20 hormonas diferentes,
											así que estamos a un nivel muy diferente
de nuestros genitales, por ejemplo.
											Y el sistema nervioso
de nuestro intestino es tan complejo
											que cuando cortamos una pieza,
											es lo suficientemente independiente 
que cuando la golpeamos,
											nos murmura amistosamente.
									","
											É uma ciência complexa.
											Há uma superfície enorme
											— cerca de 40 vezes a área da nossa pele.
											Depois, num tubo tão estreito,
											há imensas células imunitárias
que são ali treinadas.
											Temos 100 biliões de bactérias
que fazem todo o tipo de coisas,
											produzem pequenas moléculas.
											Depois, há cerca
de 20 hormonas diferentes,
											por isso, estamos num nível muito diferente
dos genitais, por exemplo.
											O sistema nervoso do intestino
é tão complexo
											que, quando lhe cortamos um bocado,
											tem tanta independência
que, quando o espicaçamos,

											ele balbucia, amavelmente.
									","
											Er ist kompliziert.
											Die Oberfläche ist groß —
											circa 40-mal so groß 
wie die Fläche der Haut.
											In einem so engen Schlauch
											werden richtig viele
Immunzellen ausgebildet.
											Wir haben 100 Billionen Bakterien, 
die alles Mögliche machen —
											kleine Moleküle produzieren.
											Es gibt auch ca. 20 verschiedene Hormone,
											so sind wir auf einer ganz
anderen Ebene als unsere Genitalien.
											Und das Nervensystem 
unseres Darms ist so komplex,
											dass, wenn wir ein Stück herausschneiden,
											es unabhängig genug ist, 
dass, wenn wir es stubsen,
											es freundlich zurückgrummelt.
									","
											C'est si complexe.
											Il a une grande surface,
											environ 40 fois la surface de la peau.
											Dans un tuyau aussi étroit,
											il y a tellement de cellules
immunitaires en formation.
											Nous avons environ cent mille milliards 
de bactéries à l'œuvre,
											créant de petites molécules.
											Et puis environ 20 types 
d'hormones différentes,
											c'est donc d'un tout autre niveau que
celui de nos organes génitaux par exemple.
											Le système nerveux de notre appareil
intestinal est si complexe
											que lorsqu'on en coupe un bout,
											il est si indépendant
que, quand on le stimule,
											il nous marmonne quelque chose
très gentiment.
									","
											Onlar çok karmaşık.
											Çok fazla yüzey alanları var,
											derimizin yaklaşık 40 katı kadar.
											Ve de daracık bir boru olmasına rağmen
											çok fazla sayıda bağışıklık hücresi 
burada yetişir.
											Bizde 100 trilyon bakteri
bu işlerle uğraşır,
											küçük moleküller üretirler.
											Sonra üreme organlarımızın dışında
											bizi tanımlayan 20 farklı
hormon salgılanıyor.
											Ve de bağırsaklarımızdaki sinir sistemi
											o kadar gelişmiş ki
											ondan bağımsız olabilecek kadar
bir parça kesip dürtersek
											bize dostça cevap verir.
									",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
","
","
","
","
","
",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Gelächter)
									","
											(Rires)
									","
											(Gülüşmeler)
									",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
","
","
","
","
","
",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
											But at least those reasons are also
the reasons why it's so fascinating
											and important.
									","
											Al menos esas razones son
las razones por las que es tan fascinante
											e importante.
									","
											Mas, pelo menos, é essas razões
também que ele é tão fascinante
											e importante.
									","
											Aber wenigstens ist er 
aus diesen Gründen auch so faszinierend
											und wichtig.
									","
											Ces raisons expliquent au moins aussi
pourquoi il est tellement fascinant
											et important.
									","
											Ancak bu nedenler aynı zamanda
											onu bu kadar büyüleyici ve önemli yapıyor.
									",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
","
","
","
","
","
",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
											It took me three steps to love the gut.
											So today, I invite you to follow me
on those three steps.
											The very first was just looking at it
											and asking questions
like, ""How does it work?""
											and ""Why does it have to look
so weird for that sometimes?""
											And it actually wasn't me asking
the first kind of these questions,
											but my roommate.
											After one heavy night of partying,
											he came into our shared-room kitchen,
											and he said, ""Giulia, you study medicine.
How does pooping work?""
									","
											Di tres pasos para estar encantada 
con el intestino.
											Así que hoy, los invito a que me sigan
en esos tres pasos.
											El primero fue solo mirarlo
											y hacerme preguntas
como, ""¿Cómo funciona?""
											y ""¿Por qué tiene esa apariencia 
tan rara a veces?"".
											Y, en realidad, no era yo quien hacía
ese tipo de preguntas,
											sino mi compañero de apartamento.
											Después de una noche de fiesta,
											entró en la cocina que compartíamos,
											y dijo, ""Giulia, estudias medicina.
¿Cómo funciona el trasero? "".
									","
											Passei por três fases
até adorar o intestino.
											Por isso, convido-vos a seguir-me
nessas três fases.
											A primeira fase foi olhar para ele
											e fazer perguntas, como:
""Como é que ele funciona?""
											e ""Porque é que tem que ter
este aspeto tão estranho, por vezes?""
											Na verdade, não fui eu
que fiz estas primeiras perguntas,
											foi o meu companheiro de quarto.
											Depois duma noite de grande festança,
											ele entrou na nossa cozinha partilhada,
e disse:
											""Giulia, tu que estudas medicina,
como é que funciona o cocó?""
									","
											Ich habe drei Schritte gebraucht, 
um den Darm zu lieben.
											Heute lade ich Sie dazu ein, mich auf 
diesen drei Schritten zu begleiten.
											Der allererste war, ihn nur anzusehen
											und Fragen zu stellen wie:
""Wie funktioniert er?""
											und ""Warum muss er dazu
manchmal so komisch aussehen?""
											Eigentlich war nicht ich es, 
die diese Art Fragen zuerst stellte,
											sondern mein Mitbewohner.
											Nach einer langen Partynacht
											kam er in unsere Gemeinschaftsküche
											und sagte: ""Giulia, du studierst Medizin. 
Wie funktioniert das Kacken?""
									","
											Il m'a fallu trois étapes pour
aimer l'appareil intestinal.
											Aujourd'hui, je vous invite
à me suivre au long de ces trois étapes.
											La première était de 
simplement le regarder
											et poser des questions comme :
« Comment ça marche ? »
											ou « Pourquoi doit-il
avoir l'air si étrange ? »
											Ce n'était pas moi, vous savez,
qui posait ces premières questions,
											mais mon colocataire.
											Un jour, après une grosse soirée,
											il est entré dans la cuisine
commune à nos chambres
											et il a dit : « Giulia, tu étudies la
médecine. Comment on fait caca ? »
									","
											Ben bağırsakları üç aşamada sevdim.
											Siz de benimle bu üç aşamayı takip edin.
											İlk olarak sadece ona bakıp
şu soruları sormak:
											""Bu nasıl çalışıyor?""
											""Neden bunun için bu kadar 
tuhaf görünmek zorunda?""
											Aslında ilk soruları soran ben değil
											oda arkadaşımdı.
											Sıkı bir partinin ardından
ortak mutfağımıza gelip
											""Giulia, sen tıp okuyorsun.
											Biz nasıl dışkılıyoruz?"" dedi.
									",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
","
","
","
","
","
",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Gelächter)
									","
											(Rires)
									","
											(Gülüşmeler)
									",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
","
","
","
","
","
",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
											And I did study medicine
but I had no idea,
											so I had to go up to my room
and look it up in different books.
											And I found something interesting,
I thought, at that time.
											So it turns out, we don't only have
this outer sphincter,
											we also have an inner sphincter muscle.
											The outer sphincter we all know,
we can control it,
											we know what's going on there;
											the inner one, we really don't.
											So what happens is,
											when there are leftovers from digestion,
											they're being delivered
to the inner one first.
											This inner one will open in a reflex
											and let through a little bit for testing.
									","
											Y yo si estudiaba medicina,
pero no tenía idea,
											así que tuve que ir a mi habitación
y buscarlo en diferentes libros.
											Y encontré algo interesante,
pensé en ese momento.
											Resulta que no solo tenemos
este esfínter externo,
											también tenemos un esfínter interno.
											El esfínter externo que todos conocemos,
que podemos controlar,
											sabemos lo que pasa allí;
											pero no sabemos lo que
pasa en el interno.
											Lo que pasa es
											que cuando hay sobras de la digestión,
											se llevan al músculo interno primero.
											Este músculo interno se abrirá
por reflejo
											y dejará pasar un poco para exarminarlo.
									","
											Eu estudava medicina
mas não fazia a mínima ideia,
											por isso tive que ir ao meu quarto
e procurar em vários livros.
											Encontrei umas coisas interessantes,
julgava eu, naquela altura.
											Acontece que temos um esfíncter externo
											e também temos
um músculo esfíncter interno.
											Como todos sabemos,
controlamos o esfíncter externo,
											sabemos o que se passa com ele,
mas quanto ao interno, não sabemos.
											O que acontece
											é que, quando há resíduos da digestão,
											vão parar primeiro ao esfíncter interno.
											Este abre-se num movimento reflexo
											e deixa passar um pouco
para fazer um teste.
									","
											Ich studierte zwar Medizin, 
wusste es aber nicht
											und musste oben in meinem Zimmer
in mehreren Büchern nachschlagen.
											Ich dachte damals, dass ich 
etwas Interessantes herausfand.
											Es ist also so, dass wir nicht nur 
diesen äußeren Schließmuskel haben,
											sondern wir haben auch einen inneren.
											Wir kennen den äußeren,
können ihn kontrollieren,
											wir wissen, was dort abläuft;
											Beim inneren ist das nicht so.
											Also es ist so, dass,
											wenn bei der Verdauung 
Reste zurückbleiben,
											werden diese zuerst 
an den inneren geliefert.
											Der innere wird sich 
mit einem Reflex öffnen
											und ein bisschen etwas 
als Probe durchlassen.
									","
											J'étudiais la médecine,
mais je n'en savais rien.
											Donc j'ai dû monter dans ma chambre
et chercher dans mes livres.
											J'y ai trouvé quelque chose que
je trouvais alors intéressant.
											Il s'avère que nous avons, en plus 
d'un sphincter externe,
											un muscle interne du sphincter.
											Notre fameux sphincter externe,
nous le contrôlons.
											nous savons ce qui s'y passe,
											mais l'interne, pas vraiment.
											Ce qui se passe donc,
											c'est que quand il y a des 
restes de la digestion,
											ils sont acheminés côté interne d'abord.
											Le sphincter interne va s'ouvrir
dans un réflexe
											et laisser passer un peu pour tester.
									","
											Tıp okumama rağmen hiçbir fikrim yoktu,
											ben de odama gidip
birkaç kitap karıştırdım.
											O zaman bana ilginç gelen
bir şey keşfettim.
											Meğer bizim sadece dış büzgeçimiz yokmuş,
											ayrıca iç büzgeç kasımız da varmış.
											Dış büzgeçimiz hepimizin bildiği gibi
kontrol edebildiğimiz olan,
											orada ne olduğunu biliyoruz
											ama içtekinde neler oluyor bilmiyoruz.
											Olan şu ki
											sindirimden kalan artıklar olduğunda
											ilk önce iç büzgeçe iletiliyor.
											İç büzgeç refleks olarak açılıyor
											ve artığın bir kısmını test için 
kabul ediyor.
									",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
","
","
","
","
","
",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Gelächter)
									","
											(Rires)
									","
											(Gülüşmeler)
									",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
","
","
","
","
","
",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
											So, there are sensory cells
											that will analyze what has been delivered:
Is it gaseous or is it solid?
											And they will then send
this information up to our brain,
											and this is the moment
when our brain knows,
											""Oh, I have to go to the toilet.""
									","
											Y hay células sensoriales
											que analizarán lo que se ha entregado:
¿Es gaseoso o es sólido?
											Y luego enviarán
esta información a nuestro cerebro,
											y este es el momento
en que nuestro cerebro dice,
											""Oh, tengo que ir al baño"".
									","
											Há células sensitivas
											que analisam o que está a aparecer:
é gasoso ou é sólido?
											Depois enviam essa informação
para o cérebro.
											É nesse momento que
o nosso cérebro percebe:
											""Oh, tenho que ir à casa de banho"".
									","
											Es gibt sensorische Zellen,
											die analysieren, was geliefert wurde: 
gashaltig oder fest?
											Sie senden dann diese Information 
hoch zu unserem Gehirn,
											das ist der Moment, 
in dem unser Gehirn weiß:
											""Oh, ich muss auf die Toilette.""
									","
											Il y a des cellules sensorielles
											qui analysent ce qui a été livré :
« Est-ce gazeux ou solide ? »
											Elles envoient l'information au cerveau
											et c'est donc le moment
où notre cerveau sait,
											« Oh, il faut que j'aille aux toilettes. »
									","
											Orada da sensör hücreler var
											gelen artıkları analiz ediyorlar;
gaz mı katı mı diye.
											Ve bu bilgi beyne aktarılıyor,
											o anda beyin,
											""Tuvalete gitmeliyim"" diyor.
									",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
","
","
","
","
","
",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Gelächter)
									","
											(Rires)
									","
											(Gülüşmeler)
									",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
","
","
","
","
","
",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
											The brain will then do
what it's designed to do
											with its amazing consciousness.
											It will mediate with our surroundings,
											and it will say something like,
											""So, I checked.
											We are at this TEDx conference — ""
									","
											Entonces el cerebro hará
lo que sabe hacer
											con su asombrosa conciencia.
											Mediará con nuestros alrededores,
											y dirá algo como,
											""Sí, lo revisé.
											Estamos en esta conferencia de TEDx"".
									","
											Então, o cérebro faz
o que lhe compete fazer
											com a sua espantosa consciência.
											Entra em contacto
com o ambiente que nos rodeia
											e diz qualquer coisa do género:
											""Já observei,
											""Estamos numa conferência TEDx...""
									","
											Das Gehirn tut dann das, 
wozu es geschaffen wurde
											mit seinem unglaublichen Bewusstsein.
											Es stimmt sich mit unserer Umgebung ab
											und sagt so etwas wie:
											""Also, ich habe es überprüft.
											Wir sind bei dieser TEDx-Konferenz —""
									","
											Ensuite le cerveau 
va remplir ses fonctions
											avec sa conscience extraordinaire.
											Il va trouver un compromis en
fonction de l'environnement
											et il va dire :
											« Bon, j'ai vérifié.
											Nous sommes à cette conférence TEDx... »
									","
											Beyin tasarımı gereği yapması gerekeni 

											müthiş bir bilinçle yapıyor.
											Çevresiyle iletişime geçer
											ve şöyle der:
											""Yani şöyle bir baktım da
											biz bir TEDx konferansındayız...""
									",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
","
","
","
","
","
",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Gelächter)
									","
											(Rires)
									","
											(Gülüşmeler)
									",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
","
","
","
","
","
",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
											(Applause)
									","
											(Aplausos)
									","
											(Aplausos)
									","
											(Applaus)
									","
											(Applaudissements)
									","
											(Alkışlar)
									",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
","
","
","
","
","
",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
											Gaseous?
											Maybe, if you're sitting on the sides,
											and you know you can pull it off silently.
									","
											¿Gaseoso?
											Tal vez, si estás sentado de lado,
											y sabes que puedes dejarlo ir en silencio.
									","
											Gasoso?
											Se estiverem sentados numa coxia
											e sabem que podem largá-lo
silenciosamente...
									","
											Gashaltig?
											Vielleicht, wenn Sie an den Seiten sitzen
											und ihn leise rauslassen können.
									","
											Gazeux ?
											Peut-être, si vous êtes assis sur le côté,
											et que vous savez que vous 
pouvez vous en débarrasser en silence.
									","
											Peki ya gazsa?
											Eğer kenar koltuklarda oturuyorsanız
											sessiz bir şekilde yapabilecekseniz...
									",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
","
","
","
","
","
",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Gelächter)
									","
											(Rires)
									","
											(Gülüşmeler)
									",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
","
","
","
","
","
",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
