es,en,fr,tr,de,pt,title,speaker,duration,tags
"
","
","
","
","
","
",Would you sacrifice one person to save five?,Eleanor Nelsen,4:35,"TED-Ed,morality,psychology,animation,decision-making"
"
											Pero la gente no siempre 
tiene la visión utilitarista,
											algo que podemos ver cambiando
un poco el problema del tren.
									","
											But people don't always take
the utilitarian view,
											which we can see by changing
the trolley problem a bit.
									","
											Mais les gens n'ont pas toujours
le point de vue utilitariste,
											ce que l'on voit en changeant
un peu le problème du tramway.
									","
											Fakat insanlar her zaman 
faydacı görüşü seçmez,
											bunu tramvay problemini 
biraz değiştirerek görebiliriz.
									","
											Aber Menschen wählen nicht immer
die utilitaristische Sichtweise,
											was klarer wird, wenn wir das 
Trolley-Problem leicht verändern.
									","
											Mas nem sempre as pessoas
adotam a perspetiva utilitarista,
											como podemos ver, se alterarmos
um pouco o problema do elétrico.
									",Would you sacrifice one person to save five?,Eleanor Nelsen,4:35,"TED-Ed,morality,psychology,animation,decision-making"
"
","
","
","
","
","
",Would you sacrifice one person to save five?,Eleanor Nelsen,4:35,"TED-Ed,morality,psychology,animation,decision-making"
"
											Esta vez, estás parado 
en un puente sobre la vía
											conforme se acerca 
el tren fuera de control.
											Ahora no hay una segunda vía,
											pero hay un hombre muy grande
en el puente a tu lado.
											Si lo empujas, su cuerpo 
detendrá el tren,
											salvando a los cinco trabajadores,
											pero morirá.
									","
											This time, you're standing on a bridge
over the track
											as the runaway trolley approaches.
											Now there's no second track,
											but there is a very large man 
on the bridge next to you.
											If you push him over, 
his body will stop the trolley,
											saving the five workers,
											but he'll die.
									","
											Cette fois-ci, vous êtes sur un pont
au-dessus de la voie
											lorsque le tram approche.
											Il n'y a pas de seconde voie
											mais il y a un homme très gros
sur le pont à côté de vous.
											Si vous le poussez,
son corps arrêtera le tramway,
											sauvant les cinq travailleurs,
											mais il mourra.
									","
											Bu sefer, rayların üstünde
bir köprüde duruyorsunuz,
											tramvay gittikçe yaklaşıyor.
											İkinci bir ray yok,
											ama köprünün üzerinde, yanınızda
çok şişman bir adam var.
											Eğer onu iterseniz,
vücudu beş kişinin hayatını kurtararak
											tramvayı durduracak,
											ama kendi ölecek.
									","
											Dieses Mal stehst du auf
einer Brücke über dem Gleis,
											als der abgekoppelte Waggon sich nähert.
											Jetzt gibt es kein zweites Gleis,
											aber einen sehr großen Mann 
neben dir auf der Brücke.
											Wenn du ihn umstößt,
hält sein Körper den Waggon auf
											und rettet die fünf Arbeiter.
											Er aber wird sterben.
									","
											Desta vez, está numa ponte
por cima da linha do elétrico
											quando se aproxima
o elétrico descontrolado.
											Não há mais nenhuma linha
											mas há um homem muito grande
na ponte, ao teu lado.
											Se o empurrares, o corpo dele
fará parar o elétrico,
											salvando os cinco trabalhadores,
											mas ele morrerá.
									",Would you sacrifice one person to save five?,Eleanor Nelsen,4:35,"TED-Ed,morality,psychology,animation,decision-making"
"
","
","
","
","
","
",Would you sacrifice one person to save five?,Eleanor Nelsen,4:35,"TED-Ed,morality,psychology,animation,decision-making"
"
											Para los utilitaristas, la decisión 
es exactamente la misma,
											perder una vida para salvar cinco.
											Pero en este caso, solo 
un 10 % de las personas
											dice que está bien arrojar 
al hombre a las vías.
											El instinto nos dice que deliberadamente 
causar la muerte de alguien
											es diferente que dejar que muera
como un daño colateral.
											Parece incorrecto por razones
difíciles de explicar.
									","
											To utilitarians, 
the decision is exactly the same,
											lose one life to save five.
											But in this case, only about 10% of people
											say that it's OK to throw the man
onto the tracks.
											Our instincts tell us that deliberately
causing someone's death
											is different than allowing them to die
as collateral damage.
											It just feels wrong for reasons
that are hard to explain.
									","
											Pour les utilitaristes,
la décision sera la même :
											perdre une vie pour en sauver cinq.
											Mais dans ce cas, seuls 10% des gens
											disent que l'on peut
jeter l'homme sur les rails.
											Nos instincts nous disent que causer
la mort de quelqu'un délibérément
											est différent que de les laisser mourir
en tant que dommages collatéraux.
											Cela ne nous semble pas correct
pour des raisons difficiles à expliquer.
									","
											Faydacılara göre karar tamamen aynıdır,
											beş kişiyi kurtarmak için
birini kaybetmek.
											Fakat bu vakada
insanların sadece %10 kadarı
											adamı rayların üstüne atmayı kabul ediyor.
											İç güdülerimiz birinin ölümüne
kasten sebep olmanın
											ikincil zarar olarak ölmesine
müsaade etmekten farklı olduğunu söyler.
											Açıklaması zor olan
bazı sebeplerden ötürü yanlış gelir.
									","
											Für Utilitaristen bleibt
die Entscheidung genau gleich:
											ein Leben verlieren, um fünf zu retten.
											Doch in diesem Fall sagten
nur 10 % der Menschen,
											dass es in Ordnung sei,
den Mann auf das Gleis zu stoßen.
											Unser Instinkt sagt uns, dass das 
vorsätzliche Verursachen eines Todes
											anders ist, als jemanden als 
Kollateralschaden sterben zu lassen.
											Es fühlt sich aus schwer 
erklärbaren Gründen falsch an.
									","
											Para os utilitaristas,
a decisão é exatamente a mesma,
											sacrificar uma vida para salvar cinco.
											Mas neste caso, só 10% de pessoas
											dizem que é melhor
atirar o homem para a linha.
											O nosso instinto diz-nos que
causar a morte a alguém, deliberadamente,
											é diferente de permitir que alguém morra
como um dano colateral.
											Sentimos que isso é errado
por razões difíceis de explicar.
									",Would you sacrifice one person to save five?,Eleanor Nelsen,4:35,"TED-Ed,morality,psychology,animation,decision-making"
"
","
","
","
","
","
",Would you sacrifice one person to save five?,Eleanor Nelsen,4:35,"TED-Ed,morality,psychology,animation,decision-making"
"
											Esta intersección entre 
la ética y la psicología
											es lo que hace tan interesante
el problema del tren.
											El dilema en sus muchas variaciones revela
que lo que creemos correcto o incorrecto
											depende de factores distintos 
de un peso lógico de pros y contras.
									","
											This intersection between ethics
and psychology
											is what's so interesting 
about the trolley problem.
											The dilemma in its many variations reveal
that what we think is right or wrong
											depends on factors other than 
a logical weighing of the pros and cons.
									","
											Cette intersection entre
l'éthique et la psychologie
											est ce qui est si intéressant
dans le problème du tramway.
											Les variations du problème révèlent
que ce que nous croyons juste ou non
											dépend de facteurs autres que
de considérer les pour et contre logiques.
									","
											Etik ve psikoloji arasındaki bu kesişim
											tramvay problemini 
ilginç kılan şeydir.
											Birçok varyasyonu olan ikilem, doğru ya da
yanlış olduğunu düşündüğümüz şeyin
											artı ve eksilerin mantıksal tartımından
başka etkenlere bağlı olduğunu gösteriyor.
									","
											Dieser Schnittpunkt zwischen 
Ethik und Psychologie
											macht das Trolley-Problem so interessant.
											Das Dilemma in allen Variationen zeigt,

											dass unsere Empfindung
für Richtig oder Falsch
											von mehr Faktoren abhängt als
dem logischen Abwägen des Für und Wider.
									","
											É esta interseção
entre a ética e a psicologia
											que é muito interessante
no problema do elétrico.
											O dilema nas suas muitas variações revela
											que aquilo que pensamos 
ser correto ou errado,
											depende de fatores diferentes
											de uma avaliação lógica
dos prós ou contras,
									",Would you sacrifice one person to save five?,Eleanor Nelsen,4:35,"TED-Ed,morality,psychology,animation,decision-making"
"
","
","
","
","
","
",Would you sacrifice one person to save five?,Eleanor Nelsen,4:35,"TED-Ed,morality,psychology,animation,decision-making"
"
											Por ejemplo, es más probable que 
los hombres digan que está bien
											empujar al hombre al puente,
a que lo digan las mujeres.
											Algunos ven un clip de comedia
antes de hacer el experimento mental.
											Y en un estudio de realidad virtual,
											esa gente estaba más dispuesta
a sacrificar a hombres que a mujeres.
									","
											For example, men are more likely
than women
											to say it's okay to push the man
over the bridge.
											So are people who watch a comedy clip
before doing the thought experiment.
											And in one virtual reality study,
											people were more willing 
to sacrifice men than women.
									","
											Par exemple, les hommes
plus que les femmes
											diront que l'on peut
pousser l'homme du pont.
											Ainsi que les gens regardant une comédie
avant de faire l'expérience.
											Dans une étude en réalité virtuelle,
											les gens acceptaient plus
de sacrifier des hommes que des femmes.
									","
											Örneğin, erkeklerin 
adamı köprüden atmayı
											kabul etmesi kadınlardan 
daha olasıdır.
											Düşünce deneyinden önce komik video
seyreden insanların da.
											Bir sanal gerçeklik araştırmasında,
											insanlar kadınlardan çok erkekleri
kurban etmeyi istiyordu.
									","
											Zum Beispiel sagen mehr Männer als Frauen,
											dass es in Ordnung sei, 
den Mann von der Brücke zu stoßen.
											Genauso war es auch mit Menschen,
											die vor dem Gedankenexperiment
ein Comedy-Video sahen.
											In einer virtuellen Realitätsstudie
											waren Leute eher bereit,
Männer zu opfern als Frauen.
									","
											Por exemplo, há mais homens que mulheres
											a dizer que é melhor empurrar
o homem da ponte.
											O mesmo acontece com as pessoas
que veem um vídeo cómico
											antes de responder a este dilema.
											Num estudo da realidade virtual,
											as pessoas preferiam sacrificar
homens a mulheres.
									",Would you sacrifice one person to save five?,Eleanor Nelsen,4:35,"TED-Ed,morality,psychology,animation,decision-making"
"
","
","
","
","
","
",Would you sacrifice one person to save five?,Eleanor Nelsen,4:35,"TED-Ed,morality,psychology,animation,decision-making"
"
											Los investigadores han estudiado
la actividad cerebral
											de la gente que piensa las versiones 
clásica y la del puente.
											Ambos escenarios activan áreas del cerebro
de toma de decisiones conscientes
											y respuestas emocionales.
											Pero en la versión del puente, la 
respuesta emocional es mucho más fuerte.
											Y también la actividad 
en un área del cerebro
											asociada al procesamiento
del conflicto interno.
											¿Por qué la diferencia?
											Una explicación es que empujar a alguien
a la muerte se vive como más personal,
											y activa una aversión emocional
a matar a otra persona,
											pero nos sentimos en conflicto porque 
sabemos que es la decisión lógica.
									","
											Researchers have studied 
the brain activity
											of people thinking through the classic
and bridge versions.
											Both scenarios activate areas of the brain
involved in conscious decision-making
											and emotional responses.
											But in the bridge version,
the emotional response is much stronger.
											So is activity in an area of the brain
											associated with processing 
internal conflict.
											Why the difference?
											One explanation is that pushing someone
to their death feels more personal,
											activating an emotional aversion
to killing another person,
											but we feel conflicted because we know
it's still the logical choice.
									","
											Les chercheurs ont étudié
l'activité cérébrale
											des gens confrontés aux deux versions.
											Les deux scénarios activent
des zones du cerveau
											impliquées dans la prise
de décision consciente
											et les réponses émotionnelles.
											Mais pour la version du pont,
la réponse émotionnelle est plus forte
											et l'activité dans la zone du cerveau
											associée au traitement
des conflits internes était plus forte.
											Pourquoi cette différence ?
											Une explication serait que pousser
quelqu'un vers sa mort
											semble plus personnel,
											cela active une aversion émotionnelle
au fait de tuer quelqu'un
											mais nous sommes confus car nous savons
que c'est le choix logique.
									","
											Araştırmacılar,
klasik ve köprü versiyonlarını
											düşünen insanların
beyinsel faaliyetlerini incelemiştir.
											Her iki senaryo beynin bilinçli 
karar verme ve duygusal tepkilerini
											kapsayan alanlarını harekete geçirir.
											Ancak köprü versiyonunda 
duygusal tepki daha fazladır.
											Beynin bir kısmının faaliyeti de
											iç çatışmayı işlemden geçirmek
ile ilişkilidir.
											Fark eden ne?
											Bir açıklaması şöyle ki; birilerini 
ölüme itmek, başka birini öldürmeye
											duygusal bir isteksizlik uyandırarak
daha kişisel gibi gelir,
											ancak yine de mantıklı olanın o olduğunu
bildiğimiz için çelişkiye düşeriz.
									","
											Forscher haben die Gehirnaktivität 
bei Menschen untersucht,
											die über die klassische und 
die Brückenversion nachdachten.
											Beide Szenarien aktivieren Gehirngegenden,
											die an bewusster Entscheidungsfindung
											und emotionaler Reaktion beteiligt sind.
											Doch in der Brückenvariante
ist die emotionale Reaktion viel stärker.
											Ebenso die Aktivität in der Gehirngegend,
											die mit der Verarbeitung
innerer Konflikte zu tun hat.
											Woher der Unterschied?
											Eine Erklärung ist, dass es
sich persönlicher anfühlt,
											jemanden in den Tod zu stoßen.
											Das aktiviert eine emotionale Abneigung
											gegen das Töten einer anderen Person,
											aber wir sind im Zwiespalt,
weil es doch die logische Wahl wäre.
									","
											Os investigadores estudaram
a atividade do cérebro
											de pessoas que refletiam
sobre a versão clássica e a da ponte.
											Ambos os cenários ativam áreas do cérebro
											envolvidas na tomada
de decisões conscientes
											e em respostas emocionais.
											Mas na versão da ponte,
a resposta emocional é muito mais forte.
											O mesmo acontece numa área do cérebro
											associada ao processamento
de conflitos internos.
											Porquê esta diferença?
											Uma explicação é que empurrar
alguém para a morte
											é sentido de forma mais pessoal,
											ativando uma aversão emotiva
a matar outra pessoa,
											mas sentimo-nos divididos porque sabemos
que continua a ser a opção lógica.
									",Would you sacrifice one person to save five?,Eleanor Nelsen,4:35,"TED-Ed,morality,psychology,animation,decision-making"
"
","
","
","
","
","
",Would you sacrifice one person to save five?,Eleanor Nelsen,4:35,"TED-Ed,morality,psychology,animation,decision-making"
"
											La troleología ha sido criticada 
por algunos filósofos y psicólogos.
											Argumentan que no revela nada
pues su premisa es tan poco realista
											que los participantes del estudio
no lo toman en serio.
									","
											""Trolleyology"" has been criticized by some
philosophers and psychologists.
											They argue that it doesn't reveal anything
because its premise is so unrealistic
											that study participants 
don't take it seriously.
									","
											Cette étude a été critiquée par certains
philosophes et psychologues.
											Ils soutiennent que cela ne révèle rien
car le postulat est si irréaliste
											que les participants
ne le prennent pas au sérieux.
									","
											Tramvay problemi bazı felsefeci ve
psikologlar tarafından eleştirilmiştir.
											Temel dayanağı o kadar gerçek dışıdır ki,
deneye katılanlar bunu ciddiye almaz.
											Dolayısıyla hiçbir şeyi
açığa çıkarmadığını savunurlar.
									","
											Das Trolley-Problem wurde von einigen
Philosophen und Psychologen kritisiert.
											Sie bestreiten dessen Aussagekraft,
da die Situation so unrealistisch sei,
											dass Studienteilnehmer
sie nicht ernst nähmen.
									","
											O problema do elétrico tem sido criticado
por alguns filósofos e psicólogos
											que argumentam que não revela nada
porque a premissa é tão irrealista
											que os participantes do estudo
não a levam a sério.
									",Would you sacrifice one person to save five?,Eleanor Nelsen,4:35,"TED-Ed,morality,psychology,animation,decision-making"
"
","
","
","
","
","
",Would you sacrifice one person to save five?,Eleanor Nelsen,4:35,"TED-Ed,morality,psychology,animation,decision-making"
"
											Pero la nueva tecnología está haciendo 
que este tipo de análisis ético
											sea más importante que nunca.
											Por ejemplo, los autos sin conductor
pueden tener que manejar opciones
											como causar un pequeño accidente
para evitar uno mayor.
											Mientras tanto, los gobiernos están 
investigando drones militares autónomos
											que podrían eliminar el tener que tomar 
la decisión de arriesgar víctimas civiles
											para atacar un objetivo de alto valor.
											Si queremos que estas acciones 
sean éticas,
											tenemos que decidir de antemano
cómo valorar la vida humana
											y juzgar el bien mayor.
									","
											But new technology is making this kind
of ethical analysis
											more important than ever.
											For example, driver-less cars 
may have to handle choices
											like causing a small accident
to prevent a larger one.
											Meanwhile, governments are researching
autonomous military drones
											that could wind up making decisions of
whether they'll risk civilian casualties
											to attack a high-value target.
											If we want these actions to be ethical,
											we have to decide in advance
how to value human life
											and judge the greater good.
									","
											Mais de nouvelles technologies
rendent ce genre d'analyse éthique
											plus importante que jamais.
											Par exemple, les voitures sans conducteur
devront gérer des choix
											comme causer un petit accident
pour en éviter un plus important.
											Les gouvernements font de la recherche
sur des drones militaires autonomes
											qui pourraient prendre la décision
de risquer des pertes civiles
											pour attaquer des cibles importantes.
											Pour que ces actions soient éthiques,
											nous devons décider d'avance
comment estimer la vie humaine
											et juger le bien commun.
									","
											Fakat yeni teknoloji 
bu tür etik analizleri
											hiç olmadığı kadar önemli hale getiriyor.
											Mesela, sürücüsüz arabalar
daha büyük bir kazayı engellemek için
											küçük bir kazaya neden olmak gibi
seçenekleri kullanmak zorunda kalabilir.
											Bu arada hükumetler, 
daha yüksek değerli hedefleri vurmak için
											sivil kayıpları riske atıp atmadığına
karar vererek harekete geçebilen
											insansız askeri uçakları inceliyor.
											Bu eylemlerin etik olmasını istiyorsak
											öncelikle insan hayatına değer verme ve
çoğunluğun iyiliğine hüküm verme şekline
											karar vermek zorundayız.
									","
											Doch neue Technologien
machen diese Art der ethischen Analyse
											wichtiger denn je.
											Zum Beispiel müssten
fahrerlose Autos abwägen,
											ob sie mit einem kleinen Unfall
einen größeren verhindern sollen.
											Gleichzeitig erforschen Regierungen
autonome Militärdrohnen,
											die Entscheidungen treffen könnten,
ob sie Zivilopfer riskieren sollen,
											um ein hochrangiges Ziel zu treffen.
											Wenn diese Handlungen ethisch sein sollen,
											müssen wir im Vorhinein festlegen, 
wie Menschenleben zu bewerten sind,
											und das Gemeinwohl abschätzen.
									","
											Mas a nova tecnologia está a tornar
este tipo de análise ética
											mais importante do que nunca.
											Por exemplo, os carros sem condutor
podem ter que fazer escolhas
											como causar um pequeno acidente
para evitar outro maior.
											Entretanto, os governos investigam
os drones militares autónomos
											que podem levar à tomada de decisões
											sobre se vão correr o risco
de vítimas civis
											para atacar um objetivo de grande valor.
											Se queremos que estas ações sejam éticas,
											temos que decidir de antemão
como valorizar a vida humana
											e avaliar o maior bem.
									",Would you sacrifice one person to save five?,Eleanor Nelsen,4:35,"TED-Ed,morality,psychology,animation,decision-making"
"
","
","
","
","
","
",Would you sacrifice one person to save five?,Eleanor Nelsen,4:35,"TED-Ed,morality,psychology,animation,decision-making"
"
											Por eso los investigadores que 
estudian los sistemas autónomos
											están colaborando con los filósofos
											para resolver el problema complejo
de programar la ética en las máquinas,
											algo que muestra que incluso 
los dilemas hipotéticos
											pueden terminar colisionando 
con el mundo real.
									","
											So researchers who study 
autonomous systems
											are collaborating with philosophers
											to address the complex problem
of programming ethics into machines,
											which goes to show that 
even hypothetical dilemmas
											can wind up on a collision course
with the real world.
									","
											Les chercheurs étudiant
les systèmes autonomes
											collaborent avec des philosophes
											pour gérer le problème complexe
											de la programmation de l'éthique
au sein des machines,
											ce qui montre que même
les dilemmes hypothétiques
											peuvent entrer en collision
avec le monde réel.
									","
											Otomatik sistemleri 
inceleyen araştırmacılar,
											makinelerin programlama etiğinin
											karmaşık problemlerine göndermede bulunan
felsefecilerle iş birliği yapıyor.
											Bu ise, varsayımsal ikilemlerin bile
gerçek dünya ile çarpışmasına
											son verebileceğini gösteriyor.
									","
											Forscher, die autonome Systeme erforschen,
											arbeiten deshalb mit Philosophen,
											um das komplexe Problem zu bewältigen,
											Ethik in Maschinen einzuprogrammieren.
											Das zeigt wiederum, dass selbst
hypothetische Dilemmas
											mit der realen Welt kollidieren könnten.
									","
											Por isso, os investigadores
que estudam sistemas autónomos
											estão a colaborar com filósofos
											para abordar este problema complexo
de programar a ética nas máquinas,
											o que acaba por mostrar
que, mesmo os dilemas hipotéticos
											podem entrar em conflito com o mundo real.
									",Would you sacrifice one person to save five?,Eleanor Nelsen,4:35,"TED-Ed,morality,psychology,animation,decision-making"
"
","
","
","
","
","
",Would you sacrifice one person to save five?,Eleanor Nelsen,4:35,"TED-Ed,morality,psychology,animation,decision-making"
