en,de,tr,pt,es,title,speaker,duration,tags
"
","
","
","
","
",The role of human emotions in science and research,Ilona Stengel,10:41,"creativity,emotions,innovation,science"
"
											In the graph, you can see
how the lifetime,
											which is a crucial measure
for the durability of our devices,
											developed over time.
											In 2015, just half a year
into the project,
											we were told to scale down,
											to stop working on the project
as soon as possible
											and to start over in other jobs.
											Nevertheless, from this time on,
											our results continued to improve rapidly.
									","
											In der Grafik sehen Sie
wie die Lebensdauer,
											ein wichtiger Maßstab für
die Haltbarkeit unserer Geräte,
											sich über die Zeit entwickelte.
											Im Jahr 2015, schon ein
halbes Jahr nach Projektstart,
											wurde uns gesagt,
wir sollten zurückschrauben,
											um schnellstmöglich die Arbeit
am Projekt einzustellen
											und andere Tätigkeiten zu beginnen.
											Dennoch verbesserten sich ab dem Zeitpunkt
											die Ergebnisse rasant.
									","
											Grafikte cihazlarımızın dayanıklılığı için
											çok önemli bir ölçüm olan
kullanım ömrünün
											zamanla geliştiğini görüyorsunuz.
											2015 yılında,
projenin ilk 6 ayı içinde
											küçültmeye gitmemiz,
											mümkün olduğu kadar hızlıca
projeyi sonlandırmamız
											ve diğer işlere başlamamız söylendi.
											Yine de o andan itibaren
											sonuçlarımız hızla ilerlemeye devam etti.
									","
											No gráfico, podem ver como a duração,
											que é uma medida crucial
na durabilidade dos nossos equipamentos,
											se desenvolveu ao longo do tempo.
											Em 2015, apenas seis meses
depois de o projeto começar,
											disseram-nos para reduzir,
											deixar de trabalhar no projeto
o mais cedo possível
											e começar do zero noutros trabalhos.
											No entanto, a partir desse momento,
											os nossos resultados
continuaram a melhorar rapidamente.
									","
											En el gráfico, pueden ver
cómo es el tiempo de vida,
											que es una medida crítica
											para la durabilidad 
de nuestros dispositivos,
											desarrollada en el tiempo.
											En 2015, solo medio año
en el proyecto,
											nos dijeron que redujéramos,
											para dejar de trabajar en el proyecto
tan pronto como fuera posible

											y comenzar de nuevo en otros trabajos.
											Sin embargo, a partir de este momento,
											nuestros resultados 
continuaron mejorando rápidamente.
									",The role of human emotions in science and research,Ilona Stengel,10:41,"creativity,emotions,innovation,science"
"
","
","
","
","
",The role of human emotions in science and research,Ilona Stengel,10:41,"creativity,emotions,innovation,science"
"
											How did that happen?
											After the announcement, pretty quickly,
colleagues started leaving the team,
											and soon, we were left in a small group,
											all pretty much sharing
the same attitude of,
											""I'm going to be the last person
leaving the ship.""
											What I mean is,
											while the number of scientists
working on the project was decreasing,
											the dedication of people remaining
grew dramatically.
											And also, a new and more intense
team spirit formed.
											We all shared the same
passion for our work,
											we all were sad that it was about to end,
											and we all wanted to show
that we could turn our ideas into reality.
											We felt that we belonged
to something bigger.
											And furthermore,
											our project was less and less
in the focus of the management,
											because they started
to think about new projects,
											restructuring and so on.
											This resulted in additional freedom
											and the possibility to take
a few things into our own hands.
											Of course, more freedom
also means more responsibility,
											which we were happy to take,
because we believed in our work.
											We felt empowered.
											And these three pillars —
											dedication, belonging and empowerment —
											worked together in a kind
of self-reinforcing cycle,
											and the closer we got to shutdown,
											the better our output became.
											So we were working
with such personal engagement
											on a project already sentenced to death
											because we felt connected
to something meaningful.
											Of course, it was also a hard
and sometimes frustrating time,
											but we were sitting together in the lab,
											or occasionally in the café,
											sharing our sadness
about the end of our project
											as well as the joy in our work.
											So overall, we had a very intense
and mesmerizingly exciting time.
											And the lifetime we finally obtained
for our materials
											was on one level with already
commercialized materials
											for green OLEDs at the time,
											and we achieved this within just one year.
											And those results helped our employer
											to sell the patents for real value.
									","
											Wie kam es dazu?
											Nach der Ankündigung verließen 
Kollegen relativ schnell das Team.
											Bald waren wir eine kleine Gruppe,
											wir alle teilten eine ähnliche Haltung:
											""Ich werde der letzte sein,
der das Schiff verlässt.""
											Damit meine ich,
											obwohl die Zahl der Forschenden abnahm,
											wuchs die Begeisterung
der Verbleibenden dramatisch.
											Und es bildete sich ein neuer
und intensiverer Teamgeist.
											Wir alle teilten die gleiche
Leidenschaft für unsere Arbeit,
											wir waren alle traurig,
dass sie enden würde,
											und wir wollten alle zeigen, dass wir
unsere Ideen in die Tat umsetzen konnten.
											Wir fühlten uns etwas Größerem zugehörig.
											Darüber hinaus
											war unser Projekt immer weniger
im Fokus des Managements,
											denn sie begannen über neue Projekte,
											Restrukturierung usw., nachzudenken.
											Das führte zu zusätzlichem Freiraum
											und der Möglichkeit, einiges
selbst in die Hand zu nehmen.
											Natürlich bedeutet mehr Freiheit
auch mehr Verantwortung,
											die wir gerne übernahmen,
da wir an unsere Arbeit glaubten.
											Wir fühlten uns ermächtigt.
											Und diese drei Pfeiler —
											Begeisterung, Zugehörigkeit
und Ermächtigung —
											wirkten als eine Art
selbstverstärkender Prozess.
											Je näher wir dem Projektende kamen,
											desto besser wurden die Ergebnisse.
											Wir arbeiteten mit so viel
persönlichem Einsatz
											an einem todgeweihten Projekt,
											weil wir uns etwas Bedeutendem
verbunden fühlten.
											Natürlich war es auch eine harte
und manchmal frustrierende Zeit,
											aber wir saßen zusammen im Labor,
											oder manchmal im Café,
											vereint in der Trauer über
das Ende unseres Projekts,
											genauso wie in der Freude
an unserer Arbeit.
											Insgesamt hatten wir also eine sehr
intensive und wunderbar aufregende Zeit.
											Die Lebenszeit, die wir schließlich
für unsere Materialien erreichten,
											war auf dem Niveau schon
marktfähiger Materialien
											für grüne OLEDs zur der Zeit,
											und wir hatten das
in nur einem Jahr erreicht.
											Diese Ergebnisse halfen
unserem Arbeitgeber,
											die Patente zum echten Wert zu verkaufen.
									","
											Bu nasıl mı oldu?
											Açıklama sonrasında, çok hızlı şekilde,
iş arkadaşlarım ekibi bırakmaya başladı
											ve kısa zaman içinde
küçük bir gruba dönüştük,
											hepimiz de aynı tutum içindeydik,
											''Bu gemiyi en son ben terk edeceğim.''
											Demek istediğim,
											proje üzerinde çalışan 
bilim insanlarının sayısı azalırken
											kalanların projeye bağlılığı
çok büyük oranda artış gösterdi.
											Ayrıca daha yeni ve güçlü
bir ekip ruhu ortaya çıktı.
											Hepimiz işimize dair
aynı tutkuyu paylaşıyorduk,
											sona erecek olması hepimizi üzmüştü
											ve fikirlerimizi hayata geçirebileceğimizi
göstermek istedik.
											Daha büyük bir şeye 
ait olduğumuzu hissettik.
											Dahası,
											projemiz yönetimin ilgi odağından 
neredeyse çıkmıştı
											çünkü yeni projeler ve yeniden yapılanma
											düşünmeye başlamışlardı.
											Bunun sonucunda ekstra özgürlük
											ve bazı işleri kendi elimize alma
imkanı edindik.
											Tabii ki daha çok özgürlük
daha çok sorumluluk demek,
											bu bizi mutlu ediyordu
çünkü işimize inanıyorduk.
											Güçlenmiş hissediyorduk.
											Bu üç sütun ise...
											bağlılık, aitlik ve güçlendirme,
											kendi kendine güç veren 
bir döngüde birlikte çalıştılar,
											kapanışa yaklaştıkça
											sonuçlarımız daha iyi oldu.
											İdama mahkum edilmiş bir proje üzerinde
											kişisel bir özveriyle çalışıyorduk
											çünkü anlamlı bir şeye 
bağlandığımızı hissetmiştik.
											Tabii ki zor ve moral bozucu
olduğu zamanlar oldu
											ama laboratuvarda
veya bazen bir kafede
											birlikte oturup
											projenin bitişi
ve işte aldığımız zevk hakkında
											paylaşımda bulunuyorduk.
											Yani çok yoğun ve heyecan verici
bir zaman geçirdik.
											Materyallerimiz için 
elde ettiğimiz kullanım ömrü
											o zamanki yeşil OLED'ler için
ticarileşmiş materyallerle
											eşdeğer oldu
											ve biz bunu sadece 1 yıl içinde başardık.
											Bu sonuçlar şirketimizin
											patentleri gerçek değeriyle 
satmasına da yardımcı oldu.
									","
											Como é que isso aconteceu?
											Depois do comunicado, alguns colegas
começaram a deixar a equipa rapidamente.
											e, num instante, éramos um pequeno grupo,
											todos com a mesma atitude:
											""Vou ser a última pessoa
a abandonar o barco"".
											O que quero dizer é que,
											à medida que o número de cientistas
a trabalhar no projeto ia baixando,
											a dedicação dos restantes
ia aumentado radicalmente.
											E também se formou um espírito de equipa
renovado e mais intenso.
											Todos partilhávamos a mesma paixão
pelo nosso trabalho,
											todos estávamos tristes
por ele estar a acabar
											e todos queríamos mostrar que podíamos
fazer das nossas ideias, realidade.
											Sentíamos que pertencíamos a algo maior.
											E mais,
											o nosso projeto era, cada vez menos,
o foco da administração,
											porque começaram a pensar
em novos projetos,
											em reestruturação e noutras coisas.
											Isto resultou numa liberdade adicional
											e na possibilidade de assumir
o controlo nalgumas coisas.
											Claro, mais liberdade
significa mais responsabilidade,
											que estávamos contentes por ter,
porque acreditávamos no nosso trabalho.
											Sentíamo-nos com poder.
											E estes três pilares
											— dedicação, pertença e autonomia —
											trabalhavam em conjunto num ciclo
que se reforçava a ele próprio.
											Quanto mais perto de fechar estávamos,
											melhor era a nossa produtividade.
											Estávamos a trabalhar com tanto afinco
											num projeto sentenciado à morte
											porque nos sentíamos ligados
a algo com importância.
											Claro, também foi um tempo
difícil e frustrante,
											mas sentávamo-nos juntos no laboratório,
											ou, por vezes, no café,
											a partilhar a nossa tristeza
sobre o fim do nosso projeto
											assim como a alegria no nosso trabalho,
											Assim, no geral, tivemos uma experiência
bastante intensa e fascinante.
											E a durabilidade que conseguimos obter
para os nossos materiais
											estava ao nível de produtos
já comercializados na altura
											para OLED verdes,
											e conseguimos isto em apenas um ano.
											Esses resultados ajudaram
a nossa entidade empregadora
											a vender as patentes por um valor real.
									","
											¿Cómo ocurrió esto?
											Después del anuncio, inmediatamente,
los colegas comenzaron a dejar el equipo,
											y pronto, nos quedamos un grupo pequeño,
											todos compartiendo la misma actitud:
											""Voy a ser la última persona
que abandone la nave"".
											Lo que quiero decir es que,
											mientras que la cantidad de científicos
trabajando en el proyecto disminuía,
											la dedicación de los que se quedaban
crecía dramáticamente.

											Además, se formó un espíritu de equipo
nuevo y más intenso.
											Todos compartíamos la misma pasión
por nuestro trabajo,
											todos estábamos tristes 
de que se iba a acabar,
											y todos queríamos mostrar
											que podíamos convertir nuestras ideas 
en realidad.
											Sentíamos que pertenecíamos
a algo más grande.

											Y, además,
											nuestro proyecto estaba cada vez menos 
en el foco de gestión,
											porque comenzaban a pensar 
en nuevos proyectos,

											reestructuración, etc.
											Esto dio como resultado 
una libertad adicional
											y la posibilidad de tomar
algunas cosas en nuestras manos.
											Por supuesto, más libertad
también significa más responsabilidad,
											lo cual nos complacía,
porque creíamos en nuestro trabajo.

											Nos sentimos empoderados.
											Y estos tres pilares:
											dedicación, pertenencia y empoderamiento,
											trabajaron juntos en una especie
de ciclo autorreforzado,

											y cuanto más nos acercábamos al cierre,
											mejor era nuestra producción.
											Por tanto, estábamos trabajando
con tal compromiso personal
											en un proyecto ya condenado a muerte
											porque nos sentíamos conectados
a algo significativo.
											Por supuesto, también hubo momentos duros
y a veces frustrantes,
											pero estábamos juntos en el laboratorio,
											y algunas veces en la cafetería,
											compartiendo nuestra tristeza
sobre el final de nuestro proyecto

											así como la alegría por nuestro trabajo.
											En general, tuvimos un tiempo
muy intenso, hipnótico y emocionante.
											Y la durabilidad que finalmente obtuvimos
para nuestros materiales,
											estaban al nivel de materiales
comercializados en ese momento,
											para los OLEDs verdes,
											lo logramos en solo un año.
											Y esos resultados ayudaron 
a nuestra empresa
											a vender las patentes por el valor real.
									",The role of human emotions in science and research,Ilona Stengel,10:41,"creativity,emotions,innovation,science"
"
","
","
","
","
",The role of human emotions in science and research,Ilona Stengel,10:41,"creativity,emotions,innovation,science"
"
											Now, let me tell you the same story
											with different characters
and a slightly different operation.
											The story is part of Star Trek.
											And sorry for those of you
who haven't seen the movies,
											but I need to introduce a spoiler here.
											After Mr. Spock sacrificed himself
to save the starship Enterprise
											at the end of Star Trek II,
											Captain Kirk and his core team
											were determined to hunt
through the universe to search for Spock,
											even though they could see
only very little chance
											in finding him alive.
											And Starfleet Command
did not give them permission
											nor a starship to do so,
											so they took it very passionately
into their own hands
											to travel out to find Spock.
											And after dealing with great challenges,
they eventually found Spock,
											and he happily and gratefully
joined the team again.
											He could feel the dedication
and the connection of his team
											towards their project,
which was to save him
											and to hold the crew together.
											And over the years,
over the episodes of the saga,
											Mr. Spock came to realize
											that the combination
of both logic and emotions
											is crucial for facing challenges
and exploring new worlds,
											and there was no contradiction anymore.
									","
											Lassen Sie mich die Geschichte
											mit anderen Charakteren und
einer etwas anderen Tätigkeit erzählen.
											Die Geschichte gehört zu Star Trek.
											Es tut mir leid für jene,
die die Filme nicht gesehen haben,
											aber hier kommt ein Spoiler.
											Nachdem Mr. Spock sich geopfert hat,
um das Raumschiff Enterprise zu retten,
											am Ende von Star Trek II,
											sind Captain Kirk und
sein Kernteam entschlossen,
											auf der Suche nach Spock
durch das Universum zu jagen,
											obwohl sie kaum eine Chance sahen,
											ihn lebend zu finden.
											Und das Sternenflottenkommando
gab ihnen keine Erlaubnis
											und auch kein Raumschiff, um das zu tun.
											Also nahmen sie es passioniert
in die eigenen Hände,
											zu reisen, um Spock zu finden.
											Nachdem sie große Herausforderungen
überwinden, finden sie Spock endlich
											und er schließt sich dem Team
froh und dankbar wieder an.
											Er konnte die Begeisterung und
die Verbindung seines Teams fühlen
											gegenüber ihrem Vorhaben, ihn zu retten
											und das Team zusammenzuhalten.
											Im Verlauf der Jahre und Episoden der Saga
											erkennt Mr. Spock,
											dass die Kombination 
von Logik und Emotionen
											wichtig ist zur Bewältigung 
von Herausforderungen
											und bei der Erkundung neuer Welten,
											und es gibt keinen Zwiespalt mehr.
									","
											Şimdi izin verirseniz bu hikâyeyi
											farklı karakterler ve biraz değişik 
bir faaliyet üzerinde anlatayım.
											Star Trek'ten alıntı bir hikâye.
											Fimleri izlemeyenler kusura bakmayın,
											zevkini kaçıracak bir şey söylemem lazım.
											Mr. Spock, Star Trek II'nin sonunda
Enterprise uzay gemisini kurtarmak için
											kendini feda ettiğinde
											Kaptan Kirk ve asıl ekibi
											Spock'ı bulmak için 
evrende ava çıkmaya kararlılardı,
											üstelik onu yaşıyor olarak 
bulma ihtimalleri
											çok az olmasına rağmen.
											Starfleet Kumandası
ne onlara ne de başka bir gemiye
											bunun için izin verdi,
											onlar da büyük bir şevkle
işi kendi ellerine alıp
											Spock'ı bulmak üzere yola çıktılar.
											Büyük zorluklar sonrasında
onu buldular
											ve o da memnuniyetle ekibe geri katıldı.
											Ekibinin onu kurtarmak 
ve ekibi bir arada tutmak için
											yaptıkları plana gösterdikleri bağlılığı
											hissedebiliyordu.
											Yıllar içinde
devam filmlerinde
											Mr. Spock şunu anladı ki
											mantık ve duygu kombinasyonu
											yeni dünyalar keşfetmek
ve zorluklarla yüzleşmek için çok önemli
											ve bu konuda çelişki yoktu artık.
									","
											Agora, vou contar a mesma história
											com personagens diferentes
e numa operação ligeiramente diferente.
											A história faz parte do Star Trek.
											E aqueles que ainda não viram os filmes,
											desculpem-me, mas vou ter
de inserir aqui um ""spoiler"".
											Depois de o Sr. Spock se sacrificar
para salvar a nave estelar Enterprise
											no final do Star Trek II,
											o capitão Kirk e a sua equipa principal
											estavam determinados a percorrer
o Universo à procura de Spock,
											embora vendo apenas uma pequena hipótese
											de o encontrar vivo.
											O comando da Frota Estelar
não lhes dava permissão
											
nem uma nave para o fazerem,
											por isso, resolveram
ir eles próprios viajar
											para encontrarem Spock.
											Depois de lidarem com enormes desafios,
acabaram por encontrar Spock,
											e ele, muito contente e agradecido,
juntou-se novamente à equipa.
											Ele sentiu a dedicação
e a ligação da sua equipa
											para com o projeto de o salvar
											e de manter a equipa junta.
											Com o passar dos anos,
com o passar dos episódios da saga,
											o Sr. Spock veio a aperceber-se
											que a combinação de lógica e emoções
											é crucial para enfrentar desafios
e explorar novos mundos,
											e deixou de haver contradição.
									","
											Déjenme contarles la misma historia
											con diferentes personajes
y una operación ligeramente diferente.

											La historia es parte de Star Trek.
											Y lo siento por aquellos
que no han visto las películas,
											pero necesito hacer un ""spoiler"" aquí.
											Después de que el Sr. Spock se sacrificara
para salvar la nave espacial Enterprise

											al final de Star Trek II,
											el Capitán Kirk y su equipo central
											estaban decididos a buscar
por todo el universo para hallar a Spock,
											a pesar de que había
muy pocas posibilidades

											de encontrarlo vivo.
											Y el Comando de la Flota Estelar
no le dio permiso
											a ninguna nave espacial para hacerlo,
											así que decidieron tomar las riendas 
apasionadamente
											y viajaron para encontrar a Spock.
											Y después de lidiar con grandes desafíos,
finalmente encontraron a Spock,

											y él feliz y agradecido
se unió al equipo de nuevo.

											Pudo sentir la dedicación
y la conexión de su equipo

											hacia su proyecto,
que no era otro que salvarlo
											y mantener la tripulación unida.
											Y a lo largo de los años,
en todos los episodios de la saga,

											El Sr. Spock se dio cuenta
											de que la combinación
de la lógica y las emociones
											es crucial para enfrentar los desafíos
y explorar nuevos mundos,

											y que no son contradictorios.
									",The role of human emotions in science and research,Ilona Stengel,10:41,"creativity,emotions,innovation,science"
"
","
","
","
","
",The role of human emotions in science and research,Ilona Stengel,10:41,"creativity,emotions,innovation,science"
"
											So the storyline here
for both our OLED story and Star Trek
											is actually the basic setting
for a lot of breakthrough stories,
											in and out of science.
											The main characters
are all part of a great team.
											All team members show a huge dedication
towards reaching their goal.
											They strive to seize
all the freedom they can get,
											and they take the responsibility
they need to take.
									","
											Die Handlung der OLED-Geschichte
und von Star Trek
											ist im Grunde die Basis für viele
Geschichten von Durchbrüchen,
											inner- und außerhalb der Wissenschaft.
											Die Hauptfiguren sind alle
Teil eines großartigen Teams.
											Alle Teammitglieder zeigen große Hingabe
bezüglich der Erreichung ihres Ziels.
											Sie versuchen, so viel Freiheit
zu erhalten, wie sie können,
											und sie übernehmen
die nötige Verantwortung.
									","
											Hem OLED hem de Star Trek hikâyeleri
											aslında çığır açan hikâyeler için
ortam hazırlıyor,
											bilim olsun veya olmasın.
											Ana karakterlerin hepsi
büyük bir ekibin parçası.
											Ekibin tüm üyeleri amaçları için 
büyük özveri gösteriyor.
											Elde edebilecekleri 
her özgürlük için çabalıyor
											ve almaları gereken
her tür sorumluluğu alıyorlar.
									","
											Por isso, esta história,
tanto para os OLED como para o Star Trek,
											é a configuração base
de muitas histórias de grandes avanços,
											dentro e fora da ciência.
											As personagens principais
fazem parte de uma grande equipa.
											Todos os membros demonstram dedicação
para atingirem os seus objetivos.
											Eles lutam para se apoderarem
de toda a liberdade que conseguirem,
											e assumem as responsabilidades
que têm que assumir.
									","
											Así que la historia aquí
											tanto para nuestros OLEDs 
como para Star Trek
											es en realidad, la configuración básica
para muchas historias innovadoras,
											dentro y fuera de la ciencia.
											Los personajes principales
son partes de un gran equipo.
											Todos los miembros del equipo 
muestran una gran dedicación
											para alcanzar su objetivo.
											Se esfuerzan por aprovechar
toda la libertad que puedan obtener,
											y toman la responsabilidad
que necesitan tomar.
									",The role of human emotions in science and research,Ilona Stengel,10:41,"creativity,emotions,innovation,science"
"
","
","
","
","
",The role of human emotions in science and research,Ilona Stengel,10:41,"creativity,emotions,innovation,science"
"
											During the time our OLED project
was nearing the end,
											I received one piece of advice
several times.
											""Don't take it to your heart.
											You can work on something else.""
											If I had followed it,
											it would have saved me
several depressed evenings
											and many tears,
											but at the same time,
											I would have failed to gain a great deal
in personal development and happiness.
											And as the same is true
for my colleagues and our whole project,
											we would have achieved far less.
									","
											Als sich unser OLED-Projekt
dem Ende näherte,
											erhielt ich mehrmals folgenden Ratschlag:
											""Nimm es dir nicht zu Herzen.
											Du kannst an etwas anderem arbeiten.""
											Wäre ich dem gefolgt,
											hätte es mir einige deprimierende Abende
											und viele Tränen erspart,
											aber gleichzeitig
											hätte ich weniger persönliche
Entwicklung und Glück erlangt.
											Das Gleiche gilt für meine Kollegen
und unser gesamtes Projekt,
											wir hätten weit weniger erreicht.
									","
											OLED projemiz sona yaklaşırken
											pek çok kez bir tavsiye aldım.
											''Kişisel hâle getirme.
											Başka bir şey üzerinde çalışabilirsin.''
											Buna uysaydım
											göz yaşı dökmezdim ve 
üzgün geçirdiğim bazı akşamları
											hiç geçirmezdim
											ama aynı zamanda
											bu büyük kişisel gelişim ve mutluluğu
asla edinemezdim.
											İş arkadaşlarım ve tüm projemiz için
aynısı geçerli,
											çok daha azını başarırdık.
									","
											Durante o tempo em que
o nosso projeto OLED estava a terminar,
											recebi um conselho várias vezes.
											""Não leves isso a peito.
											""Podes trabalhar noutra coisa"".
											Se eu o tivesse seguido,
											isso ter-me-ia poupado
muitas noites deprimentes
											e muitas lágrimas,
											mas, ao mesmo tempo,
											teria falhado em ganhar imenso
em desenvolvimento pessoal e felicidade.
											E o mesmo é verdade para os meus colegas
e para todo o nosso projeto,
											teríamos alcançado muito menos.
									","
											Mientras nuestro proyecto OLED
llegaba a su fin,
											recibí un consejo varias veces:
											""No lo tomes personal.
											Puedes trabajar en otra cosa"".
											Si hubiera hecho caso,
											no me hubiera deprimido
muchas noches,
											ni tampoco llorado,
											pero al mismo tiempo,
											no habría podido ganar tanto
en desarrollo personal y felicidad.

											Y como esto mismo le pasó
a mis colegas y a todo nuestro proyecto,
											hubiéramos logrado mucho menos.
									",The role of human emotions in science and research,Ilona Stengel,10:41,"creativity,emotions,innovation,science"
"
","
","
","
","
",The role of human emotions in science and research,Ilona Stengel,10:41,"creativity,emotions,innovation,science"
"
											So of course, science
should be based on facts and logic.
											When I say we should use
our emotions in science,
											I do not suggest we should use
feelings instead of facts.
											But I say we should not be afraid
of using our feelings
											to implement and to catalyze
fact-based science and innovation.
											Emotions and logic
do not oppose each other.
											They complement each other,
											and they reinforce each other.
									","
											Natürlich sollte Wissenschaft
auf Fakten und Logik beruhen.
											Wenn ich sage, wir sollten unsere
Emotionen in der Wissenschaft nutzen,
											empfehle ich nicht,
Gefühle statt Fakten zu nutzen.
											Aber ich meine, wir sollten uns
nicht fürchten, unsere Gefühle zu nutzen,
											um faktenbasierte Wissenschaft und
Innovation umzusetzen und zu katalysieren.
											Emotionen und Logik
widersprechen sich nicht.
											Sie ergänzen einander
											und verstärken sich gegenseitig.
									","
											Bu yüzden bilim gerçekler
ve duygular üzerine kurulu olmalı.
											Bilimde duygularımızı kullanmamız
gerektiğini söylediğimde
											gerçekler yerine hislerimizi
kullanmamız gerektiğini değil,
											gerçek bazlı bilim ve inovasyonda
uygulamak ve katalize etmek için
											duygularımızı da kullanmaktan
korkmamamız gerektiğini söylüyorum.
											Duygu ve gerçek birbirine karşı çıkmıyor.
											Birbirini tamamlıyor
											ve güçlendiriyor.
									","
											Claro, a ciência tem que ser
baseada em factos e lógica.
											Quando digo que devemos usar
as nossas emoções na ciência,
											não sugiro que se usem os sentimentos
em vez dos factos.
											Mas não devemos ter medo
de usar os nossos sentimentos
											para implementar e catalisar
a ciência baseada em factos e a inovação.
											Emoções e lógica não se opõem.
											Elas complementam-se,
											e reforçam-se mutuamente.
									","
											Así que, por supuesto, la ciencia
debe basarse en hechos y lógica.

											Cuando digo que debemos usar
nuestras emociones en la ciencia,

											no sugiero que deberíamos usar
sentimientos en lugar de hechos;
											sino que no deberíamos tener miedo
a usar nuestros sentimientos

											para implementar y catalizar
la ciencia basada en hechos e innovación.

											Emoción y lógica
no se oponen el uno a la otra.
											Se complementan entre sí,
											y se refuerzan entre sí.
									",The role of human emotions in science and research,Ilona Stengel,10:41,"creativity,emotions,innovation,science"
"
","
","
","
","
",The role of human emotions in science and research,Ilona Stengel,10:41,"creativity,emotions,innovation,science"
"
											The feeling of being dedicated
to something meaningful,
											of belonging to something bigger
											and of being empowered
											is crucial for creativity and innovation.
											Whatever you are working on,
											make sure that it matters,
											and take it to your heart
as much as you like.
									","
											Das Gefühl, sich für etwas
Bedeutendes einzusetzen,
											etwas Größerem anzugehören
											und sich ermächtigt zu fühlen,
											ist entscheidend für
Kreativität und Innovation.
											Woran Sie auch arbeiten,
											gehen Sie sicher, dass es etwas bedeutet,
											und nehmen Sie es sich
so sehr zu Herzen wie Sie wollen.
									","
											Anlamlı bir şeye duyulan bağlılık,
											daha büyük bir şeye hissedilen aitlik,
											yetkilendirilmek
											yaratıcılık ve inovasyon için çok önemli.
											Ne üzerinde çalışırsanız çalışın,
											değeri olduğundan emin olun
											ve istediğiniz kadar kişisel hâle getirin.
									","
											A sensação de nos dedicarmos
a algo importante,
											de fazermos parte de algo maior
											e de nos sentirmos autónomos,
											é crucial para a criatividade
e para a inovação.
											Seja o que for
em que estejam a trabalhar
											certifiquem-se de que vale a pena,
											e afeiçoem-se o quanto quiserem.
									","
											La sensación de estar dedicado
a algo significativo,

											de pertenecer a algo más grande
											y de estar empoderado
											es crucial para la creatividad 
y la innovación.
											En lo que sea que estén trabajando,
											asegúrense de que sea importante
											y tómenlo tan personal
como quieran.
									",The role of human emotions in science and research,Ilona Stengel,10:41,"creativity,emotions,innovation,science"
"
","
","
","
","
",The role of human emotions in science and research,Ilona Stengel,10:41,"creativity,emotions,innovation,science"
"
											Thank you.
									","
											Danke.
									","
											Teşekkür ederim.
									","
											Obrigada.
									","
											Gracias.
									",The role of human emotions in science and research,Ilona Stengel,10:41,"creativity,emotions,innovation,science"
"
","
","
","
","
",The role of human emotions in science and research,Ilona Stengel,10:41,"creativity,emotions,innovation,science"
"
											(Applause)
									","
											(Applaus)
									","
											(Alkışlar)
									","
											(Aplausos)
									","
											(Aplausos)
									",The role of human emotions in science and research,Ilona Stengel,10:41,"creativity,emotions,innovation,science"
"
","
","
","
","
",The role of human emotions in science and research,Ilona Stengel,10:41,"creativity,emotions,innovation,science"
