en,tr,de,fr,es,title,speaker,duration,tags
"
","
","
","
","
",How climate change could make our food less nutritious,Kristie Ebi,11:00,"climate change,food,future,sustainability,agriculture,science,Anthropocene,environment,plants,biology,nature"
"
											And that carbon dioxide,
											besides making plants grow,
											has other consequences as well,
											that plants, when they have
higher carbon dioxide,
											increase the synthesis of carbohydrates,
sugars and starches,
											and they decrease the concentrations
of protein and critical nutrients.
											And this is very important for how we
think about food security going forward.
									","
											Bitkilerin büyümesini sağlamak dışında
											bu karbondioksit 
başka sonuçlar da doğuruyor,
											yüksek oranda karbondioksit olduğunda
											bitkiler; karbonhidratların, şekerlerin
ve nişastaların sentezini arttırıyor
											ve protein ile önemli besinlerin 
yoğunluğunu azaltıyor
											ve bu, gıda güvenliğinin gelişimini
nasıl düşündüğümüz açısından çok önemli.
									","
											Und dass Kohlenstoffdioxid,
											abgesehen von der Förderung 
des Pflanzenwachstums,
											auch andere Konsequenzen hat,
											dass Pflanzen mit höherem 
Kohlenstoffdioxid-Gehalt
											die Synthese von Kohlenhydraten, 
Zuckern und Stärke vermehren
											und die Konzentration von Proteinen 
und wesentlichen Nährstoffen verringern.
											Das ist sehr wichtig, wenn wir an die 
Entwicklung von Nahrungssicherheit denken.
									","
											Le dioxyde de carbone,
											en plus de faire pousser les plantes,
											a aussi d'autres effets.
											Les plantes recevant plus
de dioxyde de carbone
											augmentent leur production de glucides,
de sucres et d'amidon :
											elles ont une teneur plus faible
en protéines et en nutriments essentiels.
											C'est très important pour notre réflexion
sur l'avenir de la sécurité alimentaire.
									","
											además de hacer crecer las plantas,
											conlleva otras consecuencias;
											que las plantas, cuando tienen altas
concentraciones de dióxido de carbono,
											incrementan la síntesis de carbohidratos,
azúcares y almidones,
											y estos disminuyen las concentraciones
de proteína y de nutrientes claves.
											Y esto es muy importante
para la manera en que
											pensamos en la seguridad 
alimentaria en el futuro.
											Hace unas noches, en las conversaciones
sobre el cambio climático,
									",How climate change could make our food less nutritious,Kristie Ebi,11:00,"climate change,food,future,sustainability,agriculture,science,Anthropocene,environment,plants,biology,nature"
"
","
","
","
","
",How climate change could make our food less nutritious,Kristie Ebi,11:00,"climate change,food,future,sustainability,agriculture,science,Anthropocene,environment,plants,biology,nature"
"
											A couple of nights ago
in the table talks on climate change,
											someone said that they're
a five-sevenths optimist:
											that they're an optimist
five days of the week,
											and this is a topic
for the other two days.
									","
											Birkaç gece önce, iklim değişikliği 
hakkındaki bir masa sohbetinde
											biri 7'de 5 oranında 
iyimser olduklarını söyledi:
											Haftanın 5 günü iyimserler
											ve bu diğer iki günde 
konuşulacak bir konu.
									","
											Und vor ein paar Tagen, bei den 
Tischgesprächen zum Klimawandel,
											sagte jemand, dass sie 
5/7-Optimistinnen seien:
											Sie sind Optimistinnen 
an fünf Tagen der Woche
											und dies sei ein Thema 
für die anderen zwei Tage.
									","
											Il y a deux ou trois soirs, au dîner-débat
sur le changement climatique,
											quelqu'un a dit qu'il était
optimiste aux cinq septièmes :
											il était optimiste cinq jours par semaine
											et voici un sujet
pour les deux autres jours.
									","
											alguien dijo que eran optimistas
cinco de siete días:
											que son optimistas
cinco días de la semana,
											y este es un tema para los otros dos días.
											Cuando pensamos en micronutrientes,
									",How climate change could make our food less nutritious,Kristie Ebi,11:00,"climate change,food,future,sustainability,agriculture,science,Anthropocene,environment,plants,biology,nature"
"
","
","
","
","
",How climate change could make our food less nutritious,Kristie Ebi,11:00,"climate change,food,future,sustainability,agriculture,science,Anthropocene,environment,plants,biology,nature"
"
											When we think about micronutrients,
											almost all of them are affected
by higher CO2 concentrations.
											Two in particular are iron and zinc.
											When you don't have enough iron,
you can develop iron deficiency anemia.
											It's associated with fatigue,
shortness of breath
											and some fairly serious
consequences as well.
											When you don't have enough zinc,
											you can have a loss of appetite.
											It is a significant
problem around the world.
											There's about one billion people
who are zinc deficient.
											It's very important
for maternal and child health.
											It affects development.
											The B vitamins are critical
for a whole range of reasons.
											They help convert our food into energy.
											They're important for the functions
											of many of the physiologic
activities in our bodies.
											And when you have
higher carbon in a plant,
											you have less nitrogen,
											and you have less B vitamins.
									","
											Mikro besinleri düşündüğümüzde
											neredeyse hepsi yüksek karbondioksit
yoğunluklarından etkileniyor.
											Özellikle de ikisi, demir ve çinko.
											Yeteri kadar demire sahip değilseniz
demir eksikliği anemisi olabilirsiniz.

											Yorgunluk, nefes darlığı ve bazı oldukça 
ciddi sonuçlarla da ilişkilendiriliyor.
											Yeteri kadar çinkoya sahip değilseniz ise
											iştahsızlık yaşayabilirsiniz.
											Dünya genelinde çok önemli bir sorun.
											Çinko eksikliği olan 
neredeyse bir milyar insan var.
											Anne ve çocuk sağlığı 
açısından çok önemli.
											Gelişimi etkiliyor.
											B vitaminleri de 
pek çok nedenden ötürü çok önemli.
											Yiyecekleri enerjiye 
çevirmemizde yardımcı oluyorlar.
											Vücudumuzun birçok fizyolojik faaliyetinin
işlevi açısından çok önemliler
											ve bir bitkide yüksek oranda 
karbon olduğunda
											daha az azot ve B vitaminleri alıyorsunuz.
									","
											Wenn wir die Spurenelemente betrachten,
											sind fast alle von ihnen von der 
höheren CO2-Konzentration betroffen.
											Zwei davon sind Eisen und Zink.
											Wenn man nicht genug Eisen hat, kann sich 
eine Eisenmangelanämie entwickeln.
											Sie wird mit Erschöpfung 
assoziiert, mit Atemnot
											und anderen mittelschweren Konsequenzen.
											Wenn man nicht genug Zink hat,
											kann man seinen Appetit verlieren.
											Es ist ein erhebliches Problem weltweit.
											Etwa eine Milliarde Menschen 
leiden an einem Zinkmangel.
											Es ist wichtig für die Gesundheit 
von Müttern und Kindern.
											Es beeinflusst die Entwicklung.
											Die B-Vitamine sind wesentlich 
für eine Palette an Dingen.
											Sie helfen dabei, unser Essen 
in Energie zu wandeln.
											Sie sind wichtig für die Funktionen
											vieler physiologischer Aktivitäten 
in unserem Körper.
											Und wenn höhere Kohlenstoff-Level 
in Pflanzen vorhanden sind,
											gibt es weniger Stickstoff
											und weniger Vitamin B.
									","
											En parlant de micro-nutriments,
											presque tous sont affectés par
la hausse du niveau de CO2.
											Deux en particulier : le fer et le zinc.
											Quand vous êtes en manque de fer, vous
pouvez développer une anémie ferriprive.
											Ses effets associés sont
la fatigue, l'essoufflement
											et d'autres conséquences
importantes pour la santé.
											Quand vous êtes en manque de zinc,
											vous pouvez perdre l'appétit.
											C'est un problème majeur
dans le monde entier.
											Près d'un milliard de personnes
présentent une carence en zinc.
											Le zinc est crucial pour la santé
de la mère et de l'enfant.
											Il affecte le développement.
											La vitamine B est essentielle
pour de multiples raisons.
											Elle contribue à convertir
notre nourriture en énergie.
											Elle permet le fonctionnement
											d'une grande part de l'activité
physiologique de notre organisme.
											Quand le niveau de carbone
d'une plante est plus élevé,
											le niveau d'azote diminue,
											tout comme le niveau de vitamines B.
									","
											la mayoría de ellos son afectados
por altas concentraciones de CO2.
											Dos en particular
que son el hierro y el zinc.
											Cuando no se tiene suficiente hierro,
											se puede desarrollar anemia 
por deficiencia de hierro.
											Lo que se asocia con fatiga,
falta de aliento
											y también con otras cosas bastante serias.
											Cuando no se tiene suficiente zinc,
											se puede perder el apetito.
											Es un problema significativo
alrededor del mundo.
											Hay cerca de mil millones de personas
con deficiencia de zinc.
											Es muy importante 
para la salud maternal e infantil.
											Afecta el desarrollo.
											Las vitaminas B son críticas
por diversas razones.
											Ellas ayudan a convertir
nuestra comida en energía.
											Ellas son importantes para las funciones
											de muchas de las actividades
fisiológicas en nuestro cuerpo.
											Y cuando hay más carbón en una planta,
											hay menos nitrógeno,
											y menos vitamina B.
									",How climate change could make our food less nutritious,Kristie Ebi,11:00,"climate change,food,future,sustainability,agriculture,science,Anthropocene,environment,plants,biology,nature"
"
","
","
","
","
",How climate change could make our food less nutritious,Kristie Ebi,11:00,"climate change,food,future,sustainability,agriculture,science,Anthropocene,environment,plants,biology,nature"
"
											And it's not just us.
											Cattle are already being affected
											because the quality
of their forage is declining.
											In fact, this affects
every consumer of plants.
											And give a thought to, for example,
our pet cats and dogs.
											If you look on the label
of most of the pet and dog food,
											there's a significant amount
of grain in those foods.
											So this affects everyone.
									","
											Sadece biz etkilenmiyoruz.
											Sığırlar çoktan etkilendi
çünkü yemlerinin kalitesi düşüyor.
											Aslında bu, bitkilerin 
her tüketicisini etkiliyor.
											Örneğin evcil kedi
ve köpeklerimizi düşünelim.
											Birçok evcil hayvan ve köpek
mamalarındaki etiketlere bakarsanız
											bu mamalarda kayda değer miktarda 
tahıl olduğunu fark edeceksiniz.
											Dolayısıyla bu herkesi etkiliyor.
									","
											Und es betrifft nicht nur uns.
											Rinder sind bereits betroffen,
											weil die Qualität ihres Futters abnimmt.
											In der Tat betrifft es alle 
Konsumentinnen von Pflanzen.
											Und denken Sie, zum Beispiel, auch an
unsere Haustiere, Katzen und Hunde.
											Wenn man die Etiketten der meisten 
Tier- und Hundenahrung betrachtet,
											entdeckt man einen erheblichen Anteil 
an Getreide in den Produkten.
											Es betrifft also alle.
									","
											Il ne s'agit pas seulement de nous.
											Le bétail est déjà touché
											car la qualité de son fourrage diminue.
											En fait, tous les consommateurs
de végétaux sont concernés.
											Et pensez, par exemple, à nos animaux
domestiques les chats et les chiens.
											Si vous regardez les étiquettes de la
plupart des aliments pour animaux,
											vous verrez qu'ils contiennent
beaucoup de céréales.
											Nous sommes donc tous concernés.
									","
											Y no somos sólo nosotros.
											El ganado ya está viéndose afectado
											debido a que la calidad
de su forraje está en descenso.
											De hecho, esto afecta
a cada consumidor de plantas.
											Piensen en, por ejemplo,
nuestras mascotas; perros y gatos.
											Si miran en la etiqueta de la mayoría
de la comida de mascotas y de perros,
											hay una cantidad significativa
de granos en esas comidas.
											Por lo tanto, esto afecta a todos.
									",How climate change could make our food less nutritious,Kristie Ebi,11:00,"climate change,food,future,sustainability,agriculture,science,Anthropocene,environment,plants,biology,nature"
"
","
","
","
","
",How climate change could make our food less nutritious,Kristie Ebi,11:00,"climate change,food,future,sustainability,agriculture,science,Anthropocene,environment,plants,biology,nature"
"
											How do we know that this is a problem?
											We know from field studies
											and we know from experimental
studies in laboratories.
											In the field studies —
											and I'll focus primarily
on wheat and on rice —
											there's fields, for example, of rice
											that are divided into different plots.
											And the plots are all the same:
											the soil's the same,
											the precipitation's the same —
											everything's the same.
											Except carbon dioxide
is blown over some of the plots.
											And so you can compare
											what it looks like
under today's conditions
											and under carbon dioxide conditions
later in the century.
									","
											Peki, bunun bir sorun 
olduğunu nasıl biliyoruz?
											Saha araştırmalarından
											ve laboratuvarlardaki
deneysel çalışmalardan biliyoruz.
											Saha araştırmalarında —
											ilk olarak buğdaya
ve pirince odaklanacağım —
											örneğin farklı arazilere 
ayrılan pirinç tarlaları var.
											Arazilerin hepsi aynı:
											Toprak aynı,
											yağış aynı —
											her şey aynı.
											Bunların haricinde bazı araziler 
üzerine karbondioksit atılıyor.
											Dolayısıyla günümüzün koşulları
											ve yüzyılın ilerleyen zamanlarındaki 
karbondioksit koşulları altında
											nasıl görüneceğini karşılaştırabilirsiniz.
									","
											Wie wissen wir, dass das ein Problem ist?
											Wir wissen es aus Feldstudien
											und aus experimentellen 
Studien in Laboren.
											In den Feldstudien —
											ich beziehe mich hauptsächlich 
auf Weizen und Reis —
											es gibt Felder, zum Beispiel Reisfelder,
											die in verschiedene 
Parzellen unterteilt sind.
											Und alle Parzellen sind gleich:
											die Erde ist die gleiche,
											der Niederschlag ist gleich —
											alles ist identisch.
											Außer, dass einige Parzellen mit 
Kohlenstoffdioxid angeblasen werden.
											Also kann man vergleichen,
											wie es unter heutigen Umständen aussieht
											und unter CO2-Einfluss
später im Jahrhundert.
									","
											Comment savons-nous
qu'il y a un problème ?
											Des études de terrain
											et des expériences en
laboratoire l'ont démontré.
											Dans les études de terrain –
											et je me concentrerai principalement
sur le blé et le riz –
											des champs de riz, par exemple,
											sont divisés en différentes parcelles.
											Ces parcelles sont toutes semblables :
											le même sol,
											le même niveau de précipitations –
											tout est pareil.
											Excepté le niveau de dioxyde de carbone
répandu sur certaines parcelles.
											On peut donc comparer
											la situation dans les conditions actuelles
											et la situation avec un niveau de dioxyde
de carbone de la fin du 21ème siècle.
									","
											¿Cómo sabemos que esto es un problema?
											Lo sabemos por los estudios de campo
											y por los estudios
experimentales en laboratorios.
											En los estudios de campo
											y me enfocaré principalmente
en el trigo y en el arroz
											hay campos, por ejemplo, de arroz
											que son divididos en diferentes parcelas.
											Y estas parcelas son todas iguales:
											el suelo es el mismo,
											la precipitación es la misma,
											todo es igual.
											Excepto a que el dióxido de carbono
se dispersa sobre algunas de las parcelas.
											Y así pueden comparar
											cómo luce bajo las condiciones de hoy
											y bajo las condiciones del dióxido
de carbono durante el siglo.
									",How climate change could make our food less nutritious,Kristie Ebi,11:00,"climate change,food,future,sustainability,agriculture,science,Anthropocene,environment,plants,biology,nature"
