en,tr,pt,es,fr,de,title,speaker,duration,tags
"
											So we found out, also, the presence
of other two very interesting molecules.
											One is an antidepressant,
											and one is a very special molecule.
											It only forms in your body
											if you drink alcohol
and consume cocaine at the same time.
											And alcohol is known to potentiate
the effects of cocaine,
											so here, we now have a hint
on the state of mind
											of the individual
whilst perpetrating the crime.
											We passed this information to the police,
											and they found out that, actually,
Thomson is a drug addict,
											and he also has a medical record
for psychotic episodes,
											for which presumably
the antidepressant was prescribed.
											So now Thomson becomes
the more likely suspect.
											But the reality is that I still don't know
where these molecules are coming from,
											from which fingerprint,
											and who those two fingerprints belong to.
									","
											Biz de iki çok ilginç maddenin
varlığını daha tespit ettik.
											Biri antidepresant,
											diğeri de çok özel bir molekül.
											Yalnızca alkol ve kokaini
aynı anda kullanırsanız
											vücudunuzun ürettiği bir madde.
											Alkolün kokainin etkilerini
arttırdığını biliyoruz,
											böylelikle suçlunun suçu işlediği esnada
											nasıl bir kafa yapısında
olduğu ipucunu edindik.
											Bu bilgiyi polise ilettik,
											onlar da Thomson'ın uyuşturucu
bağımlısı olduğunu buldu,
											ayrıca psikoz nöbetleri geçirdiğine
dair tıbbi kaydı da varmış,
											antidepresanın yazılma sebebi de buymuş.
											Böylece Thomson en muhtemel şüpheli oldu.
											Ancak gerçekte ben hâlâ bu moleküllerin
nereden geldiğini bilmiyorum,
											hangi parmak izinden geldiğini
											ve o iki parmak izinin kime ait olduğunu.
									","
											Descobrimos, também,
											a presença de duas outras moléculas
muito interessantes.
											Uma é um antidepressivo
											e outra é uma molécula muito especial.
											Só se forma no nosso corpo,
											se bebemos álcool e consumimos
cocaína, ao mesmo tempo.
											Sabe-se que o álcool potencia
os efeitos da cocaína,
											por isso, temos aqui uma pista
para o estado de espírito
											do indivíduo que praticou o crime.
											Transmitimos esta informação à polícia
											e eles descobriram
que Thomson é viciado em drogas
											e também tem registo médico
de episódios psicóticos,
											para os quais, presumivelmente,
tinha sido receitado o antidepressivo.
											Portanto, Thomson passa a ser
o suspeito mais provável.
											Mas a realidade é que ainda não sei
onde aparecem essas moléculas,
											em qual das impressões digitais,
											e a quem pertencem
as duas impressões digitais.
									","
											Descubrimos también la presencia de
otras dos moléculas muy interesantes.
											Una es un antidepresivo,
											y la otra una molécula muy especial.
											Tan solo se forma en tu cuerpo
											si bebes alcohol y
consumes cocaína al mismo tiempo.
											El alcohol es conocido por potenciar
los efectos de la cocaína,
											así que aquí tenemos una pista
del estado mental
											del individuo mientras
perpetuaba el delito.
											Le dimos esta información a la policía,
											y ellos descubrieron que, de hecho,
Thomson es drogadicto,
											y que en su registro médico
también constan episodios psicóticos,
											para los que, presuntamente,
fueron prescritos los antidepresivos.
											Por lo que ahora Thomson se convierte
en el sospechoso más factible.
											Pero la realidad es que todavía no sé
de dónde vienen esas moléculas,
											de qué huella dactilar,
											ni a quién pertenecen esas dos
huellas dactilares
									","
											Nous découvrons ainsi la présence de
deux autres molécules très intéressantes.
											La première est un antidépresseur,
											la seconde est une molécule très spéciale.
											Elle se forme dans notre corps uniquement
											lorsque nous buvons de l'alcool et
consommons de la cocaïne en parallèle.
											L'alcool est également connu pour
amplifier les effets de la cocaïne,
											cela nous donne donc ici
un aperçu de l'état d'esprit
											dans lequel l'individu
se trouvait lors du crime.
											Nous transmettons cette
information à la police
											et ils découvrent en effet que
Thomson est un toxicomane
											et qu'il a été suivi pour
des troubles psychotiques
											pour lesquels on lui a probablement
prescrit des antidépresseurs.
											Thomson devient donc
le suspect numéro un.
											Mais en réalité, je ne sais toujours
pas d'où proviennent ces molécules,
											de quelle empreinte digitale,
											et à qui ces deux empreintes
digitales appartiennent.
									","
											Also haben wir auch die Präsenz zweier
anderer interessanter Moleküle entdeckt.
											Eines davon ist ein Antidepressivum
											und eines ist ein sehr besonderes Molekül.
											Es wird nur im Körper gebildet,
											wenn man Alkohol trinkt
und gleichzeitig Kokain konsumiert.
											Alkohol ist dafür bekannt,
die Wirkung von Kokain zu verstärken,
											also haben wir hier einen Hinweis
auf den geistigen Zustand der Person
											während des Begehens der Tat.
											Wir haben diese Information
an die Polizei weitergereicht
											und sie haben herausgefunden, dass
Thomson tatsächlich drogenabhängig ist
											und dass er sogar eine Krankenakte
wegen psychotischer Episoden hat,
											für welche vermutlich Antidepressiva
verschrieben worden sind.
											Also wird Thomson nun der
wahrscheinlichere Verdächtige.
											Aber in der Realität weiß ich noch nicht,
woher diese Moleküle kommen,
											von welchem Fingerabdruck
											und wem diese beiden
Fingerabdrücke gehören.
									",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
","
","
","
","
","
",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
											Fear not.
											Mass spectrometry imaging
can help us further.
											In fact, the technology is so powerful
											that we can see where
these molecules are on a fingerprint.
											Like you see in this video,
											every single one of those peaks
corresponds to a mass,
											every mass to a molecule,
											and we can interrogate the software,
by selecting each of those molecules,
											as to where they are present
on a fingermark.
											And some images are not very revealing,
											some are better,
											some are really good.
											And we can create multiple images
of the same mark —
											in theory, hundreds of images
of the same fingerprint —
											for as many of the molecules
that we have detected.
									","
											Endişelenmeyin.
											Kütlesel spektrometri görselleme
bizi daha ileriye götürüyor.
											Bu teknoloji aslında öyle güçlü ki
											bu molekülleri parmak izi
üzerinde görebiliyoruz.
											Tıpkı bu videoda gördüğünüz gibi,
											her en üst düzey
bir küyleye tekabül ediyor,
											her kütle de bir moleküle,
											böylece bu moleküllerin her birini seçerek
yazılımda soruşturma yapabiliyor,
											parmak izinin neresinde
olduğuna bakabiliyoruz.
											Bazı görseller pek bilgi vermiyor,
											bazıları daha iyi,
											bazıları da gerçekten harika.
											Aynı parmak izinden birden fazla
görsel çıkarabiliyoruz:
											teoride aynı izden yüzlerce görsel,
											yani tespit ettiğimiz
moleküllerin sayısı kadar.
									","
											Não tenham receio.
											A espetrometria de massa
ainda nos pode ajudar mais.
											Esta tecnologia é tão poderosa
											que podemos ver onde estão
aquelas moléculas numa impressão digital.
											Como veem neste vídeo,
											cada um destes picos
corresponde a uma massa,
											cada massa a uma molécula
											e podemos interrogar o ""software"",
escolhendo cada uma dessas moléculas,
											para saber onde elas estavam
presentes numa impressão digital.
											Algumas imagens não são
muito reveladoras,
											outras são melhores
											e outras são muito boas.
											Podemos criar múltiplas imagens
da mesma marca
											— em teoria, centenas de imagens
da mesma impressão digital —
											para qualquer das moléculas
que detetámos.
									","
											No teman.
											Las imágenes de espectrometría 
de masas dicen mucho más.
											De hecho, la tecnología es tan potente
											que podemos ver dónde están 
esas moléculas en la huella dactilar.
											Como ven en este vídeo,
											cada uno de esos picos 
corresponde a una masa,
											cada masa a una molécula.
											Podemos examinar el software,
seleccionando cada una de esas moléculas,
											con el fin de averiguar dónde están
presentes en una huella.
											Algunas imágenes no son muy reveladoras,
											otras son mejores,
											y otras son muy buenas.
											Podemos crear varias imágenes
de la misma huella
											—en teoría, cientos de imágenes
de la misma huella dactilar—
											como muchas de las moléculas
que hemos encontrado.
									","
											N'ayez crainte.
											L'imagerie par spectrométrie de
masse peut encore aider.
											Cette technologie est en fait
tellement puissante
											qu'elle peut nous indiquer à quel endroit
des empreintes se trouvent ces molécules.
											Comme vous pouvez
le voir dans cette vidéo,
											chaque crête correspond à une masse,
											chaque masse à une molécule,
											et, en sélectionnant chaque molécule,
nous pouvons interroger le logiciel
											sur la position qu'elle
occupe sur l'empreinte.
											Certaines images ne sont
pas très révélatrices,
											d'autres sont meilleures,
											d'autres encore sont
de très bonne qualité.
											Nous pouvons créer une multitude
d'images à partir d'une même marque —
											en théorie, des centaines d'images
à partir d'une même empreinte —
											autant que de molécules détectées.
									","
											Keine Angst.
											Bildgebende Massenspektrometrie
kann uns weiterhelfen.
											Tatsächlich ist diese
Technologie so mächtig,
											dass wir sehen, wo sich auf dem
Fingerabdruck die Moleküle befinden.
											Wie Sie in diesem Video sehen,
											entspricht jeder dieser
Scheitelpunkte einer Masse,
											jede Masse einem Molekül,
											und wir können die Software fragen,
indem wir einzelne Moleküle auswählen,
											wo diese auf dem Fingerabdruck auftreten.
											Manche dieser Bilder sind
nicht besonders aufschlussreich,
											einige sind besser
											und einige sind sehr gut.
											Wir können mehrere Bilder
desselben Merkmals erstellen —
											in der Theorie hunderte von Bildern
desselben Fingerabdrucks —
											für so viele Moleküle,
wie wir entdeckt haben.
									",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
","
","
","
","
","
",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
											So step one ...
											for overlapping fingerprints, chances are,
											especially if they come
from different individuals,
											that the molecular composition
is not identical,
											so let's ask the software
to visualize those unique molecules
											just present in one fingermark
and not in the other one.
											By doing so,
											that's how we can separate
the two ridge patterns.
											And this is really important
											because the police now are able
to identify one of the two fingerprints,
											which actually corresponds to Katie.
											And they've been able to say so
											because they've compared
the two separate images
											with one taken posthumously from Katie.
											So now, we can concentrate
on one fingerprint only —
											that of the killer's.
									","
											O hâlde birinci aşama,
											birbirine geçen parmak izleri için,
											özellikle farklı kişilere
ait olduğu durumlarda,
											moleküler bileşenlerin
aynı olmaması çok muhtemel.
											O zaman yazılımdan
parmak izinin birinde var olan
											ama diğerinde olmayan molekülleri
aramasını isteyebiliyoruz.
											Bunu yaparak
											iki çıkıntı modelini
birbirinden ayırabiliyoruz.
											Bu oldukça önemli bir nokta
											çünkü artık polis iki parmak izinden
birini tespit edebiliyor,
											o iz de Katie'ye ait.
											Bu bilgiye ulaşabildiler
											çünkü iki ayrı görseli,
											Katie'nin cansız bedeninden alınan
parmak iziyle karşılaştırdılar.
											O hâlde şimdi sadece
bir parmak izine odaklanabiliriz:
											katilin parmak izine.
									","
											Portanto, fase um:
											para impressões digitais sobrepostas,
as possibilidades são,
											especialmente se provêm
de indivíduos diferentes,
											que a composição molecular
não seja idêntica.
											Assim, pedimos ao ""software""
para visualizar essas moléculas especiais
											que só aparecem numa impressão digital
e na outra não.
											Ao fazer isso,
											podemos separar
os dois padrões de linhas.
											Isso é muito importante
											porque a polícia agora consegue
identificar uma das impressões digitais
											que corresponde a Katie.
											E podem consegui-lo
											porque compararam
duas imagens separadas
											com uma tirada postumamente a Katie.
											Agora, podemos concentrar-nos
apenas na outra impressão digital,
											a do assassino.
									","
											Primer paso...
											para las huellas superpuestas,
lo más probable es,
											sobre todo si provienen
de personas diferentes,
											que la composición molecular
no sea idéntica
											así que pidámosle al software
que visualice esas moléculas únicas
											presentes solamente en una huella
pero no en la otra.
											Haciendo esto,
											es como separamos
los dos patrones de cresta.
											Esto es realmente importante
											porque ahora la policía es capaz
de identificar una de esas dos huellas,
											que de hecho pertenece a Katie.
											Fueron capaces de decirlo
											porque compararon las dos imágenes
											con una extraída de Katie póstumamente.
											Por lo que ahora, nos podemos concentrar
únicamente en una de las huellas,
											las del asesino.
									","
											Étape une :
											pour les empreintes
superposées, il est probable,
											surtout si elles proviennent
d'individus différents,
											que la composition moléculaire
ne soit pas identique,
											demandons donc au logiciel de
visualiser ces molécules spécifiques
											à l'une des empreintes et non à l'autre.
											De cette manière,
											nous parvenons à isoler les crêtes
papillaires de chaque empreinte.
											Ce travail est capital
											puisqu'il permet à présent à la police
d'identifier une empreinte sur les deux,
											celle qui correspond en fait à Katie.
											Ce constat est possible
											car ils ont pu comparer
les deux images distinctes
											à une empreinte posthume
relevée sur Katie.
											Nous pouvons donc nous concentrer
sur une seule empreinte à présent —
											celle du meurtrier.
									","
											Also Schritt eins ...
											bei sich überlappenden Fingerabdrücken
besteht die Chance,
											insbesondere wenn sie von
verschiedenen Personen kommen,
											dass die molekulare Zusammensetzung
nicht identisch ist,
											also lassen Sie uns die Software diese
einzigartigen Moleküle visualisieren,
											die nur auf einem Fingerabdruck sind,
aber nicht auf dem anderen.
											Indem dies getan wird,
											kann man die zwei Muster trennen.
											Und das ist sehr wichtig,
											weil die Polizei nun in der Lage ist,
einen der zwei Abdrücke zu identifizieren,
											der tatsächlich mit Katie übereinstimmt.
											Und sie waren dazu in der Lage,
											weil sie die zwei separaten
Bilder verglichen
											mit einem posthumen Bild von Katie.
											Also können wir uns nun auf einen
einzigen Fingerabdruck konzentrieren —
											den des Mörders.
									",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
","
","
","
","
","
",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
											So then, step two ...
											where are these three
molecules that I've seen?
											Well, let's interrogate the software —
show me where they are.
											And by doing this,
											only portions of the image
of the killer's fingerprint show up.
											In other words,
											those substances are only present
in the killer's print.
											So now our molecular findings
start matching very nicely
											the police intelligence about Thomson,
											should that fingerprint belong to him.
											But the reality is that that print
is still not good enough
											to make an identification.
									","
											O zaman ikinci aşama:
											Gördüğüm bu üç molekül nerede?
											Yazılımda sorgulama yapalım,
nerede olduklarını göstersin.
											Bu sorgulamayı yaparak
											katilin parmak izi görselinin
bazı kısımlarını görüyoruz.
											Başka bir deyişle,
											bu maddeler sadece
katilin parmak izinde var.
											Yani moleküler bulgularımız,
											Thomson'ın polis raporlarıyla
bire bir eşleşmeye başladı,
											tabii parmak izi ona aitse.
											Ancak söz konusu parmak izi,
											kimlik tespiti yapmak için
yeterince iyi değildi.
									","
											Então, fase dois:
											Onde estão aquelas três 
moléculas que vimos?
											Vamos interrogar o ""software""
para me dizer onde é que elas estão.
											Ao fazer isto,
											só aparecem partes da imagem
da impressão digital do assassino.
											Por outras palavras,
											essas substâncias só estão presentes
na impressão digital do assassino.
											Portanto, a nossa pesquisa molecular
começa a corresponder perfeitamente
											às informações que a polícia tem
sobre Thomson,
											se aquela impressão digital for dele.
											Mas a realidade é que essa impressão
ainda não é muito boa
											para permitir uma identificação.
									","
											A continuación, segundo paso...
											¿dónde están esas tres
moléculas que he visto?
											Bien, preguntémosle al software...
muéstrame dónde están.
											Haciendo esto,
											tan solo aparecen secciones de la imagen
de la huella dactilar del asesino.
											En otras palabras,
											esas sustancias tan solo están presentes
en la huella del asesino.
											Por lo que ahora los hallazgos moleculares
empiezan a coincidir perfectamente
											con la información policial sobre Thomson,
											esa huella debería pertenecerle.
											Pero lo cierto es que esa huella
sigue sin ser lo suficientemente buena
											para hacer una identificación.
									","
											Étape deux :
											où se trouvent ces trois molécules
que nous avons vues ?
											Interrogeons le logiciel —
montre-moi où elles se trouvent.
											De cette façon,
											seuls les extraits d'images de l'empreinte
appartenant au meurtrier ressortent.
											En d'autres termes,
											ces substances sont présentes dans
l'empreinte du meurtrier uniquement.
											A présent, les molécules repérées
correspondent parfaitement
											aux renseignements collectés
par la police sur Thomson,
											si toutefois cette
empreinte lui appartient.
											Le fait est que cette empreinte
n'est toujours pas assez précise
											pour permettre une identification.
									","
											Also dann, Schritt zwei ...
											wo sind diese drei Moleküle,
die ich gesehen habe?
											Lassen Sie uns die Software fragen —
zeig mir wo sie sind.
											Indem man das macht,
											werden nur die Bildteile mit
dem Fingerabdruck des Mörders erscheinen.
											Anders gesagt
											sind diese Substanzen nur auf
dem Abdruck des Mörders vorhanden.
											Nun beginnen unsere molekularen Befunde
gut mit dem übereinzustimmen,
											was der polizeiliche Erkennungsdienst
über Thomson weiß,
											sollte dieser Fingerabdruck ihm gehören.
											In Wirklichkeit ist dieser Abdruck
jedoch immer noch nicht gut genug,
											um eine Identifizierung durchzuführen.
									",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
","
","
","
","
","
",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
											Step three:
											since we can generate hundreds of images
of the same fingerprint,
											why don't we superimpose them,
											and by doing so,
											try to improve the rich pattern
of continuity and clarity?
									","
											Üçüncü aşama:
											madem aynı parmak izinden
yüzlerce görsel çıkarabiliyoruz,
											o zaman onları üst üste koyalım,
											bunu yaptığımız zaman,
											istikrarlı ve aşikar bir şablon
elde etmez miyiz?
									","
											Fase três:
											Como podemos gerar centenas
de imagens da mesma impressão digital,
											porque é que não as sobrepomos?
											E, ao fazer isso,
											tentamos melhorar o padrão
de continuidade e nitidez.
									","
											Tercer paso:
											puesto que podemos producir cientos
de imágenes de la misma huella,
											¿por qué no las superponemos,
											y al hacerlo,
											intentamos mejorar el patrón
de la continuidad y la claridad?
									","
											Étape trois :
											puisque nous pouvons générer des
centaines d'images d'une même empreinte,
											pourquoi ne pas les superposer,
											et ainsi,
											essayer de compléter et affiner
la chaîne de crêtes papillaires ?
									","
											Schritt drei:
											Da wir hunderte von Bildern
desselben Fingerabdrucks erstellen können,
											warum überlagern wir sie dann nicht,
											und indem wir das tun,
											versuchen wir das detaillierte Muster in
Sachen Stetigkeit und Klarheit zu bessern?
									",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
","
","
","
","
","
",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
											That's the result.
											Striking.
											We now have a very clear image
of the fingerprint
											and the police can run it
through the database.
											The match comes out to Thomson.
											Thomson is our killer.
									","
											İşte sonuç bu.
											Çarpıcı.
											Artık çok bariz
bir parmak izi görselimiz var
											ve polis de bunu
veritabanında sorgulatabilir.
											Parmak izi Thomson'a ait çıkıyor.
											Katil Thomson.
									","
											Eis o resultado.
											Espantoso!
											Agora temos uma imagem muito nítida
da impressão digital
											e a polícia pode procurar
na base de dados.
											Aparece uma correspondência
para Thomson.
											Thomson é o assassino.
									","
											Este es el resultado.
											Impresionante.
											Ahora tenemos una imagen perfecta
de la huella dactilar
											que la policía puede usar
mediante la base de datos.
											El emparejamiento desvela a Thomson.
											Thomson es el asesino.
									","
											Voici le résultat.
											Saisissant !
											Nous avons maintenant
un rendu net de l'empreinte
											et la police peut la soumettre
à sa banque de données.
											Celle de Thomson y correspond.
											Thomson est notre meurtrier.
									","
											Dies ist das Ergebnis.
											Bemerkenswert.
											Wir haben nun ein sehr klares Bild
des Fingerabdrucks
											und die Polizei kann es durch
die Datenbank laufen lassen.
											Es gibt eine Übereinstimmung mit Thomson.
											Thomson ist unser Mörder.
									",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
","
","
","
","
","
",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
											(Applause)
									","
											(Alkışlar)
									","
											(Aplausos)
									","
											(Aplausos)
									","
											(Applaudissements)
									","
											(Applaus)
									",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
","
","
","
","
","
",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
											Katie, the suspects and the circumstances
of the crime aren't real,
											but the story contains elements
											of the real police casework
we've been confronted with,
											and is a composite of the intelligence
that we can provide —
											that we have been able
to provide the police.
											And I'm really, really thrilled
that after nine years of intense research,
											as of 2017,
											we are able to contribute
to police investigations.
									","
											Ne Katie, ne şüpheliler,
ne de suçun koşulları gerçekti,
											ancak bu hikâyedeki tüm etkenler
											bizim karşılaştığımız
polis soruşturmalarından alıntı
											ve ortaya çıkarabileceğimiz
bilgi bileşenleri.
											Nitekim polise de
bu bilgileri sağlamaktayız.
											2017 itibariyle dokuz yıllık
yoğun araştırmanın ardından
											şunu söylemekten çok mutluyum:
											artık polis soruşturmalarına
katkı sağlayabiliyoruz.
									","
											Katie, os suspeitos e as circunstâncias
do crime não são reais
											mas a história contém elementos
											do trabalho real da polícia
com que somos confrontados
											e contém um conjunto de informações
que podemos fornecer,
											que conseguimos fornecer à polícia.
											Eu sinto-me muito entusiasmada,
após nove anos de intensa investigação,
									","
											Katie, los sospechosos y las
circunstancias del crimen no son reales,
											sin embargo, la historia 
contiene elementos
											del trabajo social real de la policía
que hemos confrontado
											y es una amalgama de la información
que podemos aportar,
											que hemos sido capaces
de darle a la policía.
											Y estoy muy, muy emocionada pues
tras 9 años de intensa investigación,
											a partir de 2017,
											podemos colaborar
con las investigaciones policiales.
									","
											Katie, les suspects et les circonstances
du crime ne sont pas réels
											mais cette histoire contient des éléments
											d'une enquête policière authentique
à laquelle nous avons été confrontés
											et est une combinaison des informations
que nous pouvons fournir —
											que nous avons été capables
d'apporter à la police.
											Et je suis ravie qu'après
neuf ans de recherches intenses,
											en 2017,
											nous soyons capables de contribuer
aux investigations policières.
									","
											Katie, die Verdächtigen und die Umstände
des Verbrechens sind nicht real,
											aber die Geschichte enthält Elemente
											echter Polizeiarbeit,
mit der wir konfrontiert werden,
											und das ist eine Zusammensetzung von
Intelligenz, die wir bereitstellen können-
											die wir der Polizei bereitgestellt haben.
											Ich bin sehr, sehr aufgeregt, dass wir
nach neun Jahren intensiver Forschung,
											Stand 2017,
											in der Lage waren, zu
Polizeiermittlungen beizutragen.
									",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
","
","
","
","
","
",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
											Mine is no longer a dream;
											it's a goal.
											We're going to do this wider and wider,
											bigger and bigger,
											and we're going to know
more about the suspect,
											and we're going to build an identikit.
											I believe this is also a new era
for criminal profiling.
											The work of the criminologist
											draws on the expert recognition
of behavioral patterns
											that have been observed before
to belong to a certain type,
											to a certain profile.
											As opposed to this expert
but subjective evaluation,
											we're trying to do the same thing,
											but from the molecular makeup
of the fingerprint,
											and the two can work together.
									","
											Benimki artık bir hayal değil;
											bir amaç.
											Bunu çok daha fazla genişleteceğiz,
											çok daha büyük olacak
											ve şüpheli hakkında
çok daha fazla şey öğreneceğiz,
											hatta bir kimlik kiti yapacağız.
											Öyle düşünüyorum ki
suçlu profillemede yeni bir çığır açtık.
											Krimonologların işleri
											belli bir tipe ait
ve daha önce gözlemlenmiş
											davranışsal hareketlerin
izlenmesine dayalı,
											belli bir profile ait.
											Bu uzman ama öznel değerlendirmeye karşı,
											aynı şeyi yapmaya çalışıyoruz
											ama parmak izi üzerindeki
moleküler bileşenleri kullanarak
											ve bu ikisi birlikte çalışabilir.
									","
											em 2017,
											por podermos contribuir
para investigações policiais.
									","
											Lo mío ya no es un sueño;
											es un objetivo.
											Vamos a ampliar esto más y más,
											más y más grande,
											y sabremos más acerca del sospechoso,
											vamos a realizar un retrato robot.
											Creo que esto es también una nueva era
para la elaboración del perfil criminal.
											El trabajo del criminólogo
											se basa en el reconocimiento profesional
de patrones del comportamiento
											que han sido estudiados antes
de catalogarlos en un tipo determinado,
											en un perfil concreto.
											En lugar de esta evaluación experta
aunque subjetiva,
											estamos intentando hacer lo mismo,
											desde la composición molecular
de la huella dactilar,
											para que las dos funcionen juntas.
									","
											Mon rêve n'en est plus un ;
											c'est un but.
											Nous allons pouvoir élargir
la portée de ce travail,
											le rendre plus important,
											nous en saurons davantage
sur les suspects,
											et en dresserons des portraits-robots.
											Je suis convaincue que nous entrons dans
une nouvelle ère du profilage criminel.
											Le travail de criminologue
											consiste à puiser dans la reconnaissance
experte des modèles de comportement
											qui ont été observés auparavant
chez certains groupes,
											chez certains profils.
											En opposition à cette évaluation
chevronnée mais subjective,
											nous tentons d'apporter la même chose,
											mais depuis la composition des
molécules de l'empreinte digitale,
											et ces deux disciplines vont de pair.
									","
											Nach Gold zu suchen,
ist nicht mehr ein Traum,
											es ist ein Ziel.
											Wir werden dies immer breiter
gefächert machen,
											größer und größer,
											und wir werden mehr über
den Verdächtigen wissen,
											und wir werden ein Phantombild schaffen.
											Ich glaube, das ist auch eine neue Ära
für das Erstellen von Täterprofilen.
											Die Arbeit der Kriminologen
											beruht auf der fachmännischen Erkennung
von Verhaltensmustern,
											die der Erfahrung nach
einem bestimmten Typ angehören,
											einem bestimmten Profil.
											Im Gegensatz zu dieser fachmännischen,
aber subjektiven Bewertung,
											versuchen wir dasselbe zu tun,
											jedoch mittels des molekularen Make-Ups
auf dem Fingerabdruck,
											sodass die zwei zusammen arbeiten können.
									",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
","
","
","
","
","
",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
											I did say that molecules are storytellers,
											so information on your health,
											your actions, your lifestyle,
your routines,
											they're all there,
											accessible in a fingerprint.
											And molecules are
the storytellers of our secrets
											in just a touch.
									","
											Moleküllerin çok şey
anlattığını söylemiştim,
											sağlığınız hakkında bilgi,
											hareket, yaşam biçimi, rutinleriniz,
											hepsi orada,
											bir parmak iziyle erişilebiliyor.
											Moleküller sırlarımızı anlatıyor,
											sadece bir dokunuşla.
									","
											A minha já não é um objetivo,
											é uma meta.
											Vamos fazer isto
cada vez mais amplamente,
											em maior escala,
											e vamos saber mais coisas
sobre os suspeitos.
											Vamos construir um ""kit"" de identificação.
											Creio que estamos numa nova era
para traçar o perfil de um criminoso.
											O trabalho dos criminologistas
											assenta no reconhecimento especializado
de padrões comportamentais
											que se observaram, previamente,
pertencer a um determinado tipo,
											a um determinado perfil.
											Em oposição a esta avaliação
especializada, mas subjetiva,
											estamos a tentar fazer o mesmo,
											mas a partir da composição
molecular das impressões digitais.
											Assim, as duas coisas
podem funcionar em conjunto.
									","
											Dije que las moléculas cuentan historias,
											por lo que la información sobre tu salud,
											tus acciones, 
tu estilo de vida, tus rutinas,
											están todas ahí,
											accesibles en una huella dactilar.
											Y es que las moléculas son
las que cuentan todos nuestros secretos
											con tan solo un toque.
									","
											J'ai dit que les molécules
nous racontaient une histoire,
											les informations sur votre état de santé,
											vos actions, votre style
de vie, vos habitudes,
											sont toutes là,
											accessibles via votre empreinte digitale.
											Les molécules relatent nos secrets
											juste en un toucher.
									","
											Ich habe gesagt, dass Moleküle
Geschichtenerzähler sind,
											die Informationen über Ihre Gesundheit,
											Ihre Taten, Ihren Lebensstil,
Ihre Gewohnheiten,
											sie sind alle da,
											verfügbar auf einem Fingerabdruck.
											Moleküle sind die Geschichtenerzähler
unserer Geheimnisse —
											nur durch eine Berührung.
									",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
","
","
","
","
","
",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
											Thank you.
									","
											Teşekkürler.
									","
											Eu disse que as moléculas
contam histórias,
											portanto, as informações
sobre a nossa saúde,
											sobre as nossas ações, 
o nosso estilo de vida, as nossas rotinas,
											estão todas ali,
											acessíveis numa impressão digital.
											São as moléculas que contam
as histórias dos nossos segredos
											apenas com um toque.
									","
											Gracias.
									","
											Merci.
									","
											Danke.
									",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
","
","
","
","
","
",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
											(Audience) Wow.
									","
											(İzleyici) Vay canına.
									","
											Obrigada.
									","
											(Público) Guau.
									","
											(Public : Waouh)
									","
											(Publikum) Wow.
									",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
","
","
","
","
","
",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
