en,es,tr,pt,de,title,speaker,duration,tags
"
											So we live in a secular world.
											How do you design sacred space today?
											And how do you even define
what's sacred today?
									","
											Vivimos en un mundo secular.
											¿Cómo diseñar un espacio sagrado hoy?
											¿Y cómo definir incluso
lo que es sagrado hoy?
									","
											Dünyevi bir dünyada yaşıyoruz.
											Günümüzde kutsal alan nasıl tasarlanır?
											Bugün kutsalı nasıl tanımlıyoruz?
									","
											Nós vivemos num mundo secular.
											Como é que se desenha hoje
o espaço sagrado?
											E como é que se define sequer
o que é hoje sagrado?
									","
											Wir leben in einer säkulären Welt.
											Wie wird heute heiliger Raum gestaltet?
											Wie definiert man überhaupt,
was heute heilig ist?
									",How do you build a sacred space?,Siamak Hariri,12:46,"architecture,art,design,collaboration,community,faith,engineering,innovation,materials,public spaces,religion,technology,society,TEDNYC"
"
","
","
","
","
",How do you build a sacred space?,Siamak Hariri,12:46,"architecture,art,design,collaboration,community,faith,engineering,innovation,materials,public spaces,religion,technology,society,TEDNYC"
"
											I stumbled across this beautiful quote
from the Bahá'í writings,
											and it speaks to prayer.
											It says that if you reach out in prayer,
											and if your prayer is answered —
which is already very interesting —
											that the pillars of your heart
will become ashine.
									","
											Topé con esta hermosa cita
de los escritos bahá'ís,
											y habla de la oración.
											Dice que si Uds. se alzan en oración,
											y si sus oraciones son respondidas...
Lo cual ya es muy interesante...
											Los pilares de vuestro
corazón se iluminarán.
									","
											Bahá'í yazıtlarından güzel
bir alıntıya denk geldim ve
											duaya hitap ediyor.
											Diyor ki, elinizi duaya uzatırsanız
											ve eğer duanız cevaplanırsa —
bu zaten çok ilginçtir —
											o zaman, kalbinizin
sütunları ışıldayacaktır.
									","
											Deparei-me por acaso com esta bela citação
das escrituras Bahá'i
											que fala da oração.
											O texto diz que, se orarmos
											e se a nossa oração for respondida
— isto é verdadeiramente interessante —
											os pilares do nosso coração
tornar-se-ão brilhantes.
									","
											Ich bin auf dieses schönes Zitat
aus den Bahai-Schriften gestoßen,
											das von Gebet handelt.
											Es heißt darin, wenn man betet
											und das Gebet beantwortet wird —
was an sich schon interessant ist —
											dass die Säulen des Herzens
zu leuchten beginnen.
									",How do you build a sacred space?,Siamak Hariri,12:46,"architecture,art,design,collaboration,community,faith,engineering,innovation,materials,public spaces,religion,technology,society,TEDNYC"
"
","
","
","
","
",How do you build a sacred space?,Siamak Hariri,12:46,"architecture,art,design,collaboration,community,faith,engineering,innovation,materials,public spaces,religion,technology,society,TEDNYC"
"
											And I loved this idea
of the inner and the outer,
											like when you see someone
and you say, ""That person is radiant.""
											And I was thinking, ""My gosh,
how could we make something
											architectural out of that,
											where you create a building
											and it becomes alive with light?
											Like alabaster, if you kiss it with light,
it becomes alive.
											And I drew this sketch,
											something with two layers, translucent
											with structure in between capturing light.
											Maybe a pure form,
a single form of emanation
											that you could imagine
											would be all dome
											and everything we kept making
was looking too much like an egg.
									","
											Y me encantó esta idea
de lo interno y lo externo,
											como cuando ven a alguien
y piensan; ""Esa persona es radiante"".
											Y yo estaba pensando:
											""Dios mío, ¿cómo podríamos crear
algo arquitectónico a partir de eso,
											donde Uds. construyen un edificio
											y éste cobra vida con la luz?
											Como el alabastro, que si es
besado por la luz, cobra vida.
											Y dibujé este bosquejo,
											algo con dos capas, translúcido
											con una estructura
intermedia capturando la luz.
											Tal vez una forma pura,
una sola forma de emanación
											que, como pueden imaginar,
											sería todo cúpula,
											y todo lo que hacíamos
se parecía demasiado a un huevo.
									","
											Ben bu içsel ve dışsal fikrini çok sevdim,
											tıpkı birisini gördüğünüzde
""Bu insan ışık saçıyor."" demeniz gibi.
											Ben de şöyle düşünüyordum;
""Aman tanrım, bir bina yaratıyorsun
											ve ışıkla canlanıyor, böyle bir
											şey üzerinden mimari
											bir şeyi nasıl oluşturabiliyoruz?
											Tıpkı su mermeri gibi,
eğer ışıkla öpersek, canlanıyor.
											Ben de bu taslağı çizdim;
											iki katmanlı, yarı saydam,
											ortasında da ışık alan bir yapı.
											Belki de salt bir form,
tamamen kubbe olduğunu
											hayal edebileceğiniz, tek bir
											çıkıntı biçimi ve yaptığımız her şey,
											yumurtaya çok benziyordu.
									","
											E adorei esta ideia
do interior e exterior,
											como quando vemos uma pessoa
e dizemos que está radiosa.
											E pensei: ""Meu Deus,
como é que vamos fazer
											""uma obra arquitetónica a partir daí,
											""quando criamos um edifício
											""e este se torna vivo com a luz?""
											Como o alabastro, se a luz incidir nele,
torna-se vivo.
											Desenhei este esboço,
											algo com duas camadas, translúcido,
											com uma estrutura que capte a luz.
											Talvez uma forma pura,
uma única forma de emanação
											que pudéssemos imaginar
											que fosse toda a cúpula
											e tudo o que conseguíamos fazer
só se parecia demasiado com um ovo.
									","
											Mir gefiel diese Vorstellung
von Innen und Außen,
											wie wenn Sie jemanden sehen und sagen:
""Das ist ein strahlender Mensch.""
											Und ich dachte: ""Meine Güte,
wie könnten wir daraus
											Architektur erschaffen,
											wobei man ein Gebäude kreiert,
											das durch Licht lebendig wird?
											Wie Alabaster lebendig wird,
wenn man es durch Licht küsst.""
											Ich fertigte diesen Entwurf an,
											etwas mit zwei Schichten, transparent,
											mit einer Struktur, die Licht einfängt.
											Vielleicht eine reine Form,
eine einzelne Form von Ausstrahlung,
											die man sich so vorstellen kann,
											wie eine Kuppel
											und alles, was wir kreierten,
ähnelte zu sehr einem Ei.
									",How do you build a sacred space?,Siamak Hariri,12:46,"architecture,art,design,collaboration,community,faith,engineering,innovation,materials,public spaces,religion,technology,society,TEDNYC"
"
","
","
","
","
",How do you build a sacred space?,Siamak Hariri,12:46,"architecture,art,design,collaboration,community,faith,engineering,innovation,materials,public spaces,religion,technology,society,TEDNYC"
"
											(Laughter)
									","
											(Risas)
									","
											(Gülüşmeler)
									","
											(Risos)
									","
											(Gelächter)
									",How do you build a sacred space?,Siamak Hariri,12:46,"architecture,art,design,collaboration,community,faith,engineering,innovation,materials,public spaces,religion,technology,society,TEDNYC"
"
","
","
","
","
",How do you build a sacred space?,Siamak Hariri,12:46,"architecture,art,design,collaboration,community,faith,engineering,innovation,materials,public spaces,religion,technology,society,TEDNYC"
"
											A blob.
									","
											Una gota.
									","
											Bir su damlası.
									","
											Uma bolha.
									","
											Einem Tropfen.
									",How do you build a sacred space?,Siamak Hariri,12:46,"architecture,art,design,collaboration,community,faith,engineering,innovation,materials,public spaces,religion,technology,society,TEDNYC"
"
","
","
","
","
",How do you build a sacred space?,Siamak Hariri,12:46,"architecture,art,design,collaboration,community,faith,engineering,innovation,materials,public spaces,religion,technology,society,TEDNYC"
"
											So you search.
											You all know this crazy search,
letting the process take you,
											and you live for the surprises.
											And I remember quite by accident
											I saw this little video
of a plant moving in light,
											and it made me think of movement,
											reach,
											this idea that the temple
could have reach,
											like this reach for the divine.
											You can imagine also
											that movement within a circle
could mean movement and stillness,
											like the cosmos,
											something you see in many places.
									","
											Así que uno busca.
											Todos Uds. conocen esta loca búsqueda,
dejando que el proceso les lleve.
											Y viven por las sorpresas.
											Y recordé, más bien por accidente,
											haber visto un breve vídeo
de una planta moviéndose en la luz,
											y me hizo pensar en movimiento, extensión,
											esta idea de que el templo
podía extenderse,
											como esta aspiración a lo divino.
											Uds. pueden imaginar también
											que el movimiento dentro de un círculo
podía significar movimiento y quietud,
											como el cosmos,
											algo que pueden ver en muchos lugares.
									","
											Araştırıyorsunuz.
											Hepiniz biliyorsunuz, bu çılgınca
araştırma, sürecin sizi içine çekmesi
											ve sürprizler için yaşamanız.
											Tesadüfen, ışıkta hareket eden
											bir bitkinin kısa videosunu
gördüğümü hatırlıyorum ve
											beni hareket, ulaşma hakkında
											düşündürmüştü,
											bu tapınak ulaşabilirdi,
											tıpkı kutsallığa ulaşmak gibi.
											Ayrıca bir daire içindeki
											hareketin, hareket ve sabitlik
anlamına gelebileceğini düşünebilirsiniz,
											tıpkı evren gibi,
											çoğu yerde görebileceğiniz bir şey.
									","
											Então, pesquisámos.
											Todos conhecem esta pesquisa desenfreada,
deixando-nos levar pelo processo,
											à espera de surpresas.
											Lembro-me que, acidentalmente,
											assisti a este pequeno vídeo
de uma planta a mover-se na luz,
											e isso fez-me pensar em movimento,
											alcance,
											a ideia de que o templo pudesse alcançar,
											como se alcançasse o divino.
											Podem imaginar também
											que o movimento num círculo
poderia significar movimento e quietude,
											como o cosmos,
											
algo que vemos em muitos sítios.
									","
											Man sucht also.
											Sie kennen alle diese verrückte Suche,
bei der man vom Prozess geleitet wird
											und für die Überraschungen lebt.
											Ich weiß noch, wie ich zufällig
											dieses kleine Video einer Pflanze sah,
die sich im Licht bewegt.
											Ich musste dabei an Bewegung denken,
											ein Ausstrecken nach etwas,
											die Idee, dass der Tempel
viele erreichen könnte,
											wie ein Streben nach dem Göttlichen.
											Man kann sich auch vorstellen,
											dass Bewegung in einem Kreis
Bewegung und Stille bedeuten könnte,
											wie der Kosmos,
											etwas, das man häufig sieht.
									",How do you build a sacred space?,Siamak Hariri,12:46,"architecture,art,design,collaboration,community,faith,engineering,innovation,materials,public spaces,religion,technology,society,TEDNYC"
"
","
","
","
","
",How do you build a sacred space?,Siamak Hariri,12:46,"architecture,art,design,collaboration,community,faith,engineering,innovation,materials,public spaces,religion,technology,society,TEDNYC"
"
											(Laughter)
									","
											(Risas)
									","
											(Gülüşmeler)
									","
											(Risos)
									","
											(Gelächter)
									",How do you build a sacred space?,Siamak Hariri,12:46,"architecture,art,design,collaboration,community,faith,engineering,innovation,materials,public spaces,religion,technology,society,TEDNYC"
"
","
","
","
","
",How do you build a sacred space?,Siamak Hariri,12:46,"architecture,art,design,collaboration,community,faith,engineering,innovation,materials,public spaces,religion,technology,society,TEDNYC"
"
											But rotation was not enough,
											because we needed a form.
											In the Bahá'í writings, it talks about
											the temples being as perfect
as is humanly possible,
											and we kept thinking,
well, what is perfection?
											And I remember I stumbled into this image
of this Japanese basket
											and thinking our Western notions
of perfection need to be challenged,
											that this wonderful silhouette
of this basket, this wonkiness,
											and that it has the kind of dimple
of what you might imagine a shoulder
											or the cheekbone,
											and that kind of organic form.
											And so we drew and made models,
											these lines that merge at the top,
											soft lines,
											which became like drapery
											and translucent veils and folding,
											and the idea of not only
folding but torquing —
											you remember the plant
and the way it was reaching.
											And this started to become
an interesting form,
											carving the base, making the entrances.
									","
											Pero la rotación no era suficiente,
											porque necesitábamos una forma.
											En los escritos bahá'ís, se habla
											de los templos siendo tan perfectos
como sea humanamente posible,
											y nos preguntábamos:
¿qué es la perfección?
											Recuerdo que topé con la imagen
de esta cesta japonesa
											y pensé que nuestras nociones occidentales
de perfección necesitan ser desafiadas,
											que esta maravillosa silueta
de esta canasta, cómo se ladea,
											y que tiene el tipo de hoyuelo que uno
imagina en el hombro o en el pómulo,
											ese tipo de forma orgánica.
											Así que dibujamos e hicimos modelos,
											con estas líneas que se juntan
en la parte superior,
											líneas suaves, que se convirtieron
											en una especie de cortina
y en velos translúcidos y plegables,
											y la idea de no solo
plegar, sino retorcer,
											hace recordar a la planta
y la forma en que se extendía.
											Y esto comenzó a convertirse
en una forma interesante,
											tallando la base, haciendo las entradas.
									","
											Fakat dönüş yetersizdi,
											çünkü bir biçime ihtiyacımız vardı.
											Bahá'í yazıtlarında, tapınakların
mükemmel olduğu kadar,
											olabildiğince de insancıl
olması gerektiği yazar ve
											biz de düşünüp dururuz;
mükemmellik nedir?
											Bu Japon sepeti fotoğrafına
rastladığımı hatırlıyorum ve
											Batısal mükemmellik kavramlarımızın

											gözden geçirilmesi 
gerektiğini düşünüyorum,
											çünkü bu sepetin
muhteşem gölgesi, bu dengesizlik ve
											bir omuz veya elmacık
kemiği olarak hayal edebileceğiniz
											bir çeşit çukur
											ve bu organik biçim.
											Bizler de modeller çizip oluşturduk,
											bu çizgiler, yumuşak çizgiler
en tepede buluşuyor,
											perde gibi
											bir hâle geliyor ve yarı saydam
											örtüler ve kıvrımlar
											ve yalnızca kıvırmak
değil, ayrıca döndürme fikri —
											bitkiyi ve ulaşma
biçimini hatırlıyorsunuz.
											Bu ilginç bir biçim almaya başladı,
											tabanı oymak, girişleri yapmak.
									","
											Mas não era suficiente a rotação,
											porque precisávamos de uma forma.
											Nas escrituras Bahá'i, fala-se dos templos
											como sendo tão perfeitos
quanto é humanamente possível.
											Só pensávamos:
""Então, o que é a perfeição?""
											Lembro-me de me deparar
com a imagem deste cesto japonês
											e pensar que as nossas noções ocidentais
de perfeição têm de ser desafiadas.
											Reparem na bela silhueta deste cesto,
na sua deformação,
											naquela espécie de covinha
que poderemos imaginar ser um ombro
											ou um maxilar,
											e aquele tipo de forma orgânica.
											Portanto, desenhámos e fizemos modelos,
											umas linhas que se fundem no cimo,
											linhas suaves,
											que se tornaram drapeados
											e velas translúcidas e dobras,
											e a ideia de não apenas dobrar
mas também torcer
											— lembrem-se da planta
e da forma como alcançava.
											E isto começou a tornar-se
uma forma interessante,
											esculpindo a base, abrindo as entradas.
									","
											Aber Rotation reichte nicht,
											denn wir brauchten eine Form.
											In den Bahai-Schriften heißt es,
											dass die Tempel so perfekt sind,
wie menschenmöglich ist,
											und wir überlegten, was Perfektion ist.
											Ich weiß noch, wie ich auf das Bild
dieses japanischen Korbes stieß.
											Ich fand, unsere westlichen Vorstellungen
von Perfektion müssten hinterfragt werden,
											dass diese wunderbare Silhouette
dieses Korbes, diese Unvollkommenheit,
											dass sie eine Art Krümmung hat,
wie man sich eine Schulter vorstellt
											oder den Wangenknochen,
											diese Art organische Form.
											Also zeichneten wir und bauten Modelle;
											diese Linien, die oben zusammenlaufen,
											weiche Linien,
											ähnlich wie drapierter Stoff
											und transparente Schleier und Falten,
											und nicht nur die Idee von Falten,
sondern auch von Drehung —
											Man denkt an die Pflanze,
wie sie sich nach oben streckte.
											Dies wurde eine interessante Form,
											die Kreation des Fundaments
und der Eingänge.
									",How do you build a sacred space?,Siamak Hariri,12:46,"architecture,art,design,collaboration,community,faith,engineering,innovation,materials,public spaces,religion,technology,society,TEDNYC"
"
","
","
","
","
",How do you build a sacred space?,Siamak Hariri,12:46,"architecture,art,design,collaboration,community,faith,engineering,innovation,materials,public spaces,religion,technology,society,TEDNYC"
"
											And then we ended up with this.
											This is this temple with two layers,
											nine luminous veils,
											embodied light,
											soft-flowing lines
											like luminescent drapery.
											180 submissions
were received from 80 countries,
											and this was selected.
									","
											Y acabamos con esto.
											Éste es este templo con dos capas,
											nueve velos luminosos,
											luz encarnada,
											líneas suaves que fluyen
como cortinas luminiscentes.
											Ciento ochenta diseños
fueron recibidos de 80 países,
											y éste fue seleccionado.
									","
											Bu şekilde sonuçlandı.
											Bu, iki katmanlı, dokuz ışıldayan
											peçeli, şekillendirilmiş ışıklı,
											tıpkı parlayan örtü gibi
											yumuşak dalgalı
											hatları olan tapınak.
											80 ülkeden 180 teklif alındı
											ve bu seçildi.
									","
											Foi então que acabámos por fazer isto.
											Este é um templo com duas camadas,
											nove véus luminosos,
											luz incorporada,
											linhas suavemente fluídas
											como drapeados luminescentes.
											Foram recebidas 180 propostas
de 80 países,
											e esta é que foi selecionada.
									","
											Und am Ende hatten wir das hier.
											Dies ist der Tempel mit zwei Schichten,
											neun leuchtenden Schleiern,
											integriertem Licht,
											weich fließenden Linien,
											wie leuchtender, drapierter Stoff.
											180 Entwürfe wurden
aus 80 Ländern eingereicht,
											und dieser wurde ausgewählt.
									",How do you build a sacred space?,Siamak Hariri,12:46,"architecture,art,design,collaboration,community,faith,engineering,innovation,materials,public spaces,religion,technology,society,TEDNYC"
"
","
","
","
","
",How do you build a sacred space?,Siamak Hariri,12:46,"architecture,art,design,collaboration,community,faith,engineering,innovation,materials,public spaces,religion,technology,society,TEDNYC"
