en,es,de,fr,tr,title,speaker,duration,tags
"
","
","
","
","
",What gardening taught me about life,tobacco brown,6:41,"TED Residency,life,garden,art,public spaces,nature,teaching,beauty,culture,plants"
"
											In the forests,
											when trees realize through their roots
that another tree is sick,
											they will send a portion
of their nutrients to that tree
											to help them to heal.
											They never think
about what will happen to them
											or feel vulnerable when they do.
											When a tree is dying,
											it releases all of its nutrients
to other trees that need it the most.
											Below the surface,
we are all connected by our roots
											and sharing nutrients with each other.
											It's only when we come together
that we can honestly grow.
											It's the same for humans
in the garden of hardship.
											In this garden,
											when the caterpillar transforms
into a chrysalis,
											this involves some struggle.
											But it's a challenge with a purpose.
											Without this painful fight
											to break free from
the confines of the cocoon,
											the newly formed butterfly
can't strengthen its wings.
											Without the battle, the butterfly dies
without ever taking flight.
									","
											En los bosques,
											cuando los árboles perciben con sus raíces
que otro árbol está enfermo,
											le envían una parte de sus nutrientes
											para ayudarlo a curarse.
											Nunca piensan en qué les pasará
											o se sienten vulnerables cuando lo hacen.
											Cuando un árbol está muriendo,
											libera todos sus nutrientes hacia 
los árboles que más lo necesitan.
											Bajo la superficie, todos estamos 
conectados por nuestras raíces
											y compartimos los nutrientes 
entre nosotros.
											Solo cuando nos unimos
podemos crecer sinceramente.
											Es lo mismo para los humanos
en el jardín de la adversidad.
											En este jardín,
											cuando la oruga se transforma
en una crisálida,
											eso implica un esfuerzo.
											Pero es un desafío con un propósito.
											Sin esta lucha penosa
											para liberarse de las 
limitaciones del capullo,
											la mariposa recién formada
no puede extender sus alas.
											Sin esa batalla, la mariposa muere
sin siquiera empezar a volar.
									","
											In den Wäldern,
											wenn Bäume durch ihre Wurzeln spüren,
dass ein anderer Baum krank ist,
											senden sie zur Heilung
einen Teil ihrer eigenen Nährstoffe
											zu diesem kranken Baum.
											Sie denken dabei nicht an sich selbst
											oder fühlen sich dadurch gefährdet.
											Stirbt ein Baum,
											setzt er all seine Nährstoffe für andere
Bäume frei, die sie am meisten brauchen.
											Unter der Oberfläche
sind wir alle miteinander verwurzelt
											und teilen Nährstoffe miteinander.
											Nur in Gemeinschaft
können wir wirklich wachsen.
											Dasselbe gilt für Menschen
im Garten der Not.
											In diesem Garten,
											wenn die Raupe sich
in einem Kokon verpuppt,
											muss man viel kämpfen.
											Aber diese Herausforderung hat Sinn.
											Ohne diesen schmerzvollen Kampf,
											aus dem Gefängnis
dieses Kokons auszubrechen,
											kann der neu entstandene Schmetterling
seine Flügel nicht stärken.
											Ohne Kampf stirbt der Schmetterling,
ohne auch nur einmal geflogen zu sein.
									","
											Dans les forêts,
											si les arbres s'aperçoivent, par leurs
racines, qu'un autre arbre est malade,
											ils envoient une partie
de leurs nutriments à l'arbre malade
											pour l'aider à guérir.
											Ils ne pensent jamais
à leur propre avenir,
											où ils se sentent vulnérables
s'ils le font.
											Quand un arbre meurt,
											il libère tous ses nutriments
pour les autres arbres qui en ont besoin.
											Sous la surface, nous sommes
tous connectés par nos racines
											et partageons nos nutriments.
											C'est seulement en se rassemblant
que nous pouvons véritablement grandir.
											C'est la même chose pour les êtres humains
dans un jardin de difficultés.
											Dans ce jardin,
											quand la chenille se
transforme en chrysalide,
											un effort lui est demandé.
											Mais c'est un défi ayant un but précis.
											Sans cette lutte douloureuse,
											pour se libérer des limites
imposées par le cocon,
											le nouveau papillon
ne peut pas renforcer ses ailes.
											Sans cette bataille, le papillon meurt
sans avoir jamais avoir pris son envol.
									","
											Ormanlarda ağaçlar,
											bir başka ağacın hasta
olduğunu kökleri aracılığıyla
											öğrendiğinde kendi besinlerinin
bir kısmını o ağaca iyileşsin
											diye gönderir.
											Kendilerine ne olacağını düşünmeden
											ya da düşündüklerinde zayıf hissetmeden.
											Bir ağaç ölürken
											kendi besininin tamamını ona 
en çok ihtiyacı olan diğer ağaçlara verir.
											Yüzeyin altında hepimiz köklerimizle
birbirimize bağlıyız
											ve birbirimizle 
besinlerimizi paylaşıyoruz.
											Yalnızca biraraya geldiğimizde
gerçekten büyüyebiliriz.
											Zorluklar bahçesindeki
insanlar için de bu aynıdır.
											Bu bahçede,
											bir tırtıl bir krizalite dönüştüğünde
											bir çaba vardır.
											Bu çaba, amacı olan bir mücadele.
											Bu sancılı kavga olmadan,
											kozanın kabuğundan kurtulmak
ve yeni oluşmuş bir kelebek olarak
											kanatlarını güçlendirmek mümkün değil.
											Mücade olmadan, kelebek uçamadan ölür.
									",What gardening taught me about life,tobacco brown,6:41,"TED Residency,life,garden,art,public spaces,nature,teaching,beauty,culture,plants"
"
","
","
","
","
",What gardening taught me about life,tobacco brown,6:41,"TED Residency,life,garden,art,public spaces,nature,teaching,beauty,culture,plants"
"
											My life's work
											is to illustrate how to integrate
human connectivity into the garden.
											Gardens are full of magical wisdom
for this transformation.
											Mother Nature is creative energy
waiting to be born.
											Gardens are a mirror
											that cast their own reflection
into our waking lives.
									","
											El trabajo de mi vida
											es ilustrar cómo integrar
la conectividad humana en el jardín.
											Los jardines están llenos de sabiduría 
mágica para esta transformación.
											La Madre Naturaleza es energía 
creativa esperando nacer.
											Los jardines son un espejo
											que arrojan su propio reflejo
en nuestra vida consciente.
									","
											Mein Lebensinhalt
											ist zu zeigen, wie man menschliche
Verbundenheit in den Garten bringt.
											Gärten sind voll von der magischen
Weisheit dieser Verwandlung.
											Mutter Natur ist die schöpferische Kraft,
die darauf wartet, geboren zu werden.
											Gärten sind ein Spiegel,
											die ihr eigenes Bild
auf unser Wachleben projizieren.
									","
											L'œuvre de ma vie
											est d'illustrer la manière d'intégrer 
la connexion humaine avec le jardin.
											Les jardins sont remplis de la sagesse 
magique qui permet cette transformation.
											Mère Nature est une énergie créative
qui attend de naître.
											Les jardins sont un miroir
											qui projette son propre reflet
dans nos vies en éveil.
									","
											Hayatımın işi
											beşeri bağların bahçelere nasıl
entegre edilebileceğini göstermek.
											Bahçeler bu değişim için olan
büyülü irfanla doludur.
											Doğa ana doğmayı
bekleyen yaratıcı enerjidir.
											Bahçeler de
											uyanan hayatlarımıza kendi
yansımalarını aksettiriren aynalardır.
									",What gardening taught me about life,tobacco brown,6:41,"TED Residency,life,garden,art,public spaces,nature,teaching,beauty,culture,plants"
"
","
","
","
","
",What gardening taught me about life,tobacco brown,6:41,"TED Residency,life,garden,art,public spaces,nature,teaching,beauty,culture,plants"
"
											So nurture your talents and strengths
											while you appreciate
all you've been given.
											Remain humble to healing.
											And maintain compassion for others.
											Cultivate your garden for giving
											and plant those seeds for the future.
											The garden is the world
living deep inside of you.
									","
											Por lo cual, nutran sus talentos 
y puntos fuertes
											al mismo tiempo que aprecian
lo que les ha sido dado.
											Permanezcan humildes a la sanación.
											Y mantengan la compasión por los otros.
											Cultiven su jardín para dar
											y planten esas semillas para el futuro.
											El jardín es el mundo que vive
profundamente dentro suyo.
									","
											Fördern Sie also Ihre Talente und Stärken
											und schätzen Sie, was Ihnen gegeben wurde.
											Öffnen Sie sich demütig der Heilung.
											Und bewahren Sie Ihr Mitgefühl für andere.
											Entwickeln Sie Ihren Garten um zu geben
											und pflanzen Sie die Samen
für die Zukunft.
											Der Garten ist die Welt,
die tief in Ihnen lebt.
									","
											Alimentez donc vos talents et forces
											tout en appréciant
tout ce qui vous a été offert.
											Restez humble pour la guérison.
											Gardez de la compassion pour les autres.
											Cultivez votre jardin pour donner
											et plantez ces graines pour l'avenir.
											Le jardin est le monde
qui habite votre intérieur profond.
									","
											Yeteneklerinizi ve güçlü
yanlarınızı besleyin,
											bir yandan da size
bahşedilenlere minnet duyun.
											İyileşmeye karşı mütevazi kalın.
											Ve başkalarına karşı şefkatli 
olmaya devam edin.
											Vermek için bahçenizi besleyin
											ve bu tohumları gelecek için ekin.
											Bahçe içinizde derinde yaşayan dünyadır.
									",What gardening taught me about life,tobacco brown,6:41,"TED Residency,life,garden,art,public spaces,nature,teaching,beauty,culture,plants"
"
","
","
","
","
",What gardening taught me about life,tobacco brown,6:41,"TED Residency,life,garden,art,public spaces,nature,teaching,beauty,culture,plants"
"
											Thank you.
									","
											Gracias.
									","
											Danke.
									","
											Merci.
									","
											Teşekkür ederim.
									",What gardening taught me about life,tobacco brown,6:41,"TED Residency,life,garden,art,public spaces,nature,teaching,beauty,culture,plants"
"
","
","
","
","
",What gardening taught me about life,tobacco brown,6:41,"TED Residency,life,garden,art,public spaces,nature,teaching,beauty,culture,plants"
"
											(Applause)
									","
											(Aplausos)
									","
											(Applaus)
									","
											(Applaudissements)
									","
											(Alkış)
									",What gardening taught me about life,tobacco brown,6:41,"TED Residency,life,garden,art,public spaces,nature,teaching,beauty,culture,plants"
"
","
","
","
","
",What gardening taught me about life,tobacco brown,6:41,"TED Residency,life,garden,art,public spaces,nature,teaching,beauty,culture,plants"
"
											(Cheers)
									","
											(Vítores)
									","
											(Jubel)
									","
											(Exclamations)
									","
											(Tebrik nidaları)
									",What gardening taught me about life,tobacco brown,6:41,"TED Residency,life,garden,art,public spaces,nature,teaching,beauty,culture,plants"
"
","
","
","
","
",What gardening taught me about life,tobacco brown,6:41,"TED Residency,life,garden,art,public spaces,nature,teaching,beauty,culture,plants"
"
											(Applause)
									","
											(Aplausos)
									","
											(Applaus)
									","
											(Applaudissements)
									","
											(Alkış)
									",What gardening taught me about life,tobacco brown,6:41,"TED Residency,life,garden,art,public spaces,nature,teaching,beauty,culture,plants"
"
","
","
","
","
",What gardening taught me about life,tobacco brown,6:41,"TED Residency,life,garden,art,public spaces,nature,teaching,beauty,culture,plants"
