fr,de,es,title,speaker,duration,tags
"
","
","
",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
"
											Et finalement, notre pire cauchemar est arrivé:
											ils ont noyé le moteur.
											Et ils ont dit,""Ah, pas de problème! On va tout simplement sortir et marcher.""
											Et nous avons dit,""On sort et on marche?
											Une bouteille d'eau — rappelez-vous — quatre personnes.
											Et ils ont dit, "" Oui, Oui — on va marcher. On va trouver des chameaux.""
											Alors nous sommes sortis et nous avons marché, et bien sûr,
											après environ 800 mètres nous sommes arrivés au sommet de cette colline,
											et il y avait un énorme rassemblement de bédouins avec leurs chameaux.
											Le type est allé et a commencé à négocier,
											et 10 dollars plus tard, nous avions quatre chameaux.
											Ils sont descendus comme des ascenseurs, nous sommes montés dessus. Ils se sont relevés,
											et les bédouins — chaque bédouin, quatre d'entre eux —
											se sont mis derrière chaque chameau avec un petit fouet.
											Et ils ont commencé à fouetter l'arrière des chameaux,
											ils ont commencé à galloper.
											Et si vous êtes jamais monté sur un chameau,
											c'est une chevauchée très, très inconfortable.
											Il y a aussi un autre aspect de ces chameaux.
											Environ tous les dix pas, ils se penchent en arrière
											et essayent de vous enlever un morceau de jambe.
											(Rires)
									","
											Und dann wurde natürlich unser schlimmster Albtraum wahr:
											Sie ließen den Motor absaufen.
											Und sie sagten: ""Ach, kein Problem! Wir laufen einfach weiter.""
											Und wir sagten: ""Wie, weiterlaufen?""
											Eine Wasserflasche – Sie erinnern sich – und vier Leute.
											Und sie sagten: ""Ja, ja, wir laufen. Wir finden ein paar Kamele.""
											Also stiegen wir aus und liefen und tatsächlich,
											nach 800m überquerten wir eine Hügelkuppe
											und dahinter war ein riesiges Treffen von Beduinen und ihren Kamelen.
											Einer unserer Begleiter ging hin und fing an zu feilschen,
											und zehn Dollar später hatten wir vier Kamele.
											Sie kamen runter wie Fahrstühle, wir stiegen auf, sie stiegen hoch,
											und die Beduinen – es waren vier Beduinen –
											stellten sich mit einer kleinen Peitsche hinter je einem Kamel auf.
											Und sie fingen an, auf die Hinterteile der Kamele zu hauen,
											und diese galoppierten los.
											Falls Sie noch nicht auf einem Kamel gesessen haben:
											Es reitet sich überaus unbequem.
											Diese Kamele haben auch noch eine andere Eigenart.
											Ungefähr aller 10 Schritte lehnen sie sich zurück
											und versuchen sich ein Stück aus Ihrem Bein zu beißen.
											(Lachen)
									","
											Y de repente, sucedió la peor pesadilla:
											rompieron el motor.
											Y dijeron: ¡Ah, no hay problema! ¡Sólo hay que salir del auto y caminar!
											Y dijimos: ""¿Salir y caminar?""
											Una botella de agua, recuerden chicos, cuatro personas.
											Y dijeron: ""Sí, sí, caminaremos. Encontraremos algunos camellos"".
											Así que salimos y caminamos y, en efecto,
											cuando estábamos a 800 m en lo más alto de la colina,
											había una gran reunión de beduinos con sus camellos.
											El chico fue a la cima y comenzó a regatear,
											y 10 dólares después, teníamos 4 camellos.
											Ellos bajaron como ascensores, nosotros nos subimos. Ellos se levantaron,
											y los beduinos —cada beduino, cuatro de ellos —
											se pusieron detrás de cada camello con un pequeño látigo.
											Y empezaron a dar latigazos en la parte trasera de los camellos.
											y empezaron a galopar.
											Y si alguna vez han estado sobre un camello,
											esta es una muy, pero muy incómoda carrera.
											Hay también otro aspecto acerca de estos camellos.
											Daban 10 pasos y luego se reclinaban
											y trataban de sacar un pedazo de tu pierna.
											(Risas)
									",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
"
","
","
",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
"
											Alors on a continué,
											et ce chameau n'arrêtait pas d'essayer de m'enlever un morceau de jambe.
											Et finalement, cinq kilomètres plus tard, nous sommes arrivés à destination,
											où une jeep était supposée nous attendre.
											Et les chameaux sont de nouveau descendus comme des ascenseurs,
											nous en sommes descendus maladroitement,
											et ils ont, évidemment, encore essayé de m'enlever un morceau de jambe.
											Et j'ai développé une merveilleuse relation
											avec cette créature à ce stade,
											et je me suis rendu compte que c'est une sale bête.
											Et bien plus méchante d'ailleurs que le bédouin qui m'a accueilli
											et a essayé de me vendre une de ses 26 filles,
											pour que je la ramène aux Etats-Unis.
									","
											Also ritten wir weiter.
											Und dieses Kamel versuchte weiter, ein Stück aus meinem Bein zu beißen.
											Und dann, drei Meilen später kamen wir an unserem Ziel an,
											dort sollte ein Jeep auf uns warten.
											Und die Kamele kamen wieder wie Fahrstühle nach unten,
											wir kletterten etwas unbeholfen runter,
											und sie – logisch – versuchten, noch einen Bissen aus meinem Bein zu ergattern.
											Und zu diesem Zeitpunkt hatte ich ein wunderbares Verhältnis
											zu dieser Kreatur aufgebaut,
											und ich hatte erkannt, dass es ein ziemlich fieses Arschloch war.
											Viel gemeiner übrigens als der Beduine, der mich grüßte,
											und versuchte, mir eine seiner 26 Töchter zu kaufen,
											damit ich sie mit in die USA nehme.
									","
											Así continuamos,
											y este camello continuó tratando de sacar un pedazo de mi pierna.
											y finalmente, 5 km después, llegamos a nuestro destino.
											donde se suponía estaría un jeep esperándonos.
											Y los camellos bajaron nuevamente como ascensores,
											y nosotros bajamos de manera torpe,
											y ellos, obviamente, tratando de darle otro mordiscón a mi pierna.
											Había entablado una maravillosa relación
											con esta criatura hasta ese momento,
											y me di cuenta que este era un hijo de puta.
											Era aún peor que el beduino que me saludó
											y trató de venderme una de sus 26 hijas,
											para llevarla a EE.UU.
									",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
"
","
","
",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
"
											Alors comme nous parlions, Richard et moi,
											j'ai dit, ""Tu sais, je devrais peut-être amener un chameau.
											Je pense que le chameau est l'animal le mieux conçu du monde.""
											Et il a dit, ""Nan. Je ne pense pas que nous voulons amener un chameau.""
											Et vous devriez vraiment être contents que nous ayons décidé de ne pas amener le chameau.
											Alors j'ai fait ce qu'il y avait de plus approchant.
											Et je suis allé au zoo de Washington. Richard a dit,
											""Je veux que tu t'approches au plus près de ce chameau.
											Je veux que tu inspectes sa bouche, que tu regardes ses dents.
											Passe sous lui. Passe au-dessus de lui. Passe autour de lui.
											Soulève sa queue, regarde là dedans.
											Je veux que tu t'approches autant que possible de ce chameau.""
									","
											Richard und ich unterhielten uns also und ich sagte:
											""Weißt du, vielleicht sollte ich ein Kamel mitbringen.
											Ich glaube, das Kamel ist das am besten designte Tier auf der Welt.""
											Und er so: ""Nee. Ich glaube nicht, dass wir ein Kamel mitbringen sollten.""
											Und Sie können echt froh sein, dass wir uns dagegen entschieden.
											Also tat ich das Nächstbeste.
											Ich ging in den Zoo in Washington. Richard sagte,
											""Ich möchte, dass du so richtig nah an dieses Kamel rankommst.
											Du musst seinen Mund untersuchen und die Zähne angucken.
											Du musst es dir von unten anschauen. Von oben. Von überall.
											Seinen Schwanz hochheben und reingucken.
											Ich möchte, dass du so nah an das Kamel gehst, wie du nur kannst.""
									","
											Así que hablando, Richard y yo,
											le dije: ""Sabes, igual traigo un camello.
											Yo creo que el camello es el animal mejor diseñado del mundo"".
											Y él dijo: ""No. No creo que queramos traer un camello"".
											Deberían estar realmente contentos de que no decidiéramos traer el camello.
											Entonces tomé la segunda mejor opción.
											Fui al Zoo de Washington. Richard dijo:
											""Quiero que te acerques lo más posible a este camello.
											Quiero que inspecciones su boca, mira cómo son sus dientes.
											Mira abajo. Ve arriba. Mira alrededor de ella.
											Tira su cola hacia arriba, dale una mirada ahí.
											Quiero que conozcas lo que más puedas del camello"".
									",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
"
","
","
",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
"
											Alors j'ai pris une équipe de tournage du National Geographic. Nous sommes descendus là-bas,
											et j'ai jeté un coup d'oeil à ce chameau.
											Et c'est une créature d'une tonne qui est en rut.
											(Rires)
											Maintenant, si vous avez jamais vu un chameau d'une tonne en rut,
											c'est quelque chose de très très effrayant à contempler.
											Et si Richard pensait que j'allais rentrer dans le ring avec ce chameau,
											quelqu'un fumait de la bonne de bédouin.
											(Rires)
											Alors je me suis approché autant que possible,
											et je vais partager ça — Chris, si tu veux envoyer le film —
											et puis je vais vous en montrer un peu plus
											sur le design des chameaux.
											Tu veux envoyer le film?
									","
											Also holte ich mir ein Kamerateam des National Geographic.
											Wir gingen in den Zoo und warfen einen Blick auf das Kamel.
											Das Vieh wog fast eine Tonne und war brunftig.
											(Lachen)
											Vielleicht haben Sie schonmal ein tonnenschweres brunftiges Kamel gesehen,
											es ist eine ganz, ganz furchterregende Sache.
											Und wenn Richard dachte, dass ich mit diesem Kamel in den Ring steigen würde,
											dann rauchte wohl jemand der Beduinen bestes Zeug.
											(Lachen)
											Also gingen wir so nah ran wie möglich,
											und ich zeige Ihnen das – Chris, starte mal bitte den Film –
											und dann zeige ich Ihnen ein bisschen mehr
											über das Design von Kamelen.
											Startet ihr den Film?
									","
											Así que conseguí al equipo de filmación de la National Geographic. Y fuimos para allá,
											y di una mirada a este camello.
											Es una criatura de una tonelada que está en celo.
											(Risas)
											Ahora, si alguna vez han visto a un camello de una tonelada en celo,
											es una escena que da miedo.
											Y si Richard pensó que yo iba a entrar al ring con el camello,
											alguien estaba fumando la mejor droga beduina.
											(Risas)
											Así que nos acercamos lo más que pudimos
											y voy a compartir esto -Chris, si quieres rodar esta película-
											y entonces voy a mostrarles un poquito más
											del diseño de los camellos.
											¿Quieres rodar esta película?
									",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
"
","
","
",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
"
											(Vidéo): Bonjour. Ici Keith Bellows avec l'unité d'enquête du National Geographic.
											Je suis ici pour regarder le nec plus ultra des machines du désert.
											Et vous remarquerez que je me suis mis au chewing gum
											parce que je fréquentais ce chameau toute la journée.
											Le gardien chef: C'est ça. Non! Regarde, il devient un peu trop excité.
											Alors nous allons devoir être très prudent en approchant de lui. Ne le laissez pas vous attraper.
											Maintenant, vous pouvez voir d'abondantes quantités de salive là-dedans.
											Je m'appelle le ""garçon stable instable.""
											Leur nez — vous pouvez voir que son nez est dilaté là
											Quand ils sont en rut — ils sont comme des phoques
											dans la mesure où un phoque doit ouvrir son nez pour respirer.
											Ils sont pareils. Ils doivent plus ou moins consciemment ouvrir leur nez.
											Les oreilles? Elles sont petites. Mais ils ont une ouïe excellente.
											Mais pas une grande — par exemple, les zèbres, ils ont une énorme oreille
											qui est très mobile, au point qu'ils peuvent vraiment les tourner complètement.
											Et ils les utilisent de la même façon que nous utilisons notre vision binoculaire.
											ils les utilisent pour localiser le son.
											Le désert est à la fois extrêmement venteux et très froid.
											Alors non seulement ils ont de très longs cils,
											mais ils ont un — je pense qu'on appellerait ça le [confus] secondaire ou un truc comme ça.
											C'est ce poil qui est au dessus des yeux, et en-dessous c'est plus long.
									","
											(Video) Hallo. Hier sind Keith Bellows und die Kamel-Investigations-Truppe des National Geographic.
											Wir wollen uns heute die ultimative Wüstenmaschine anschauen.
											Ich habe sogar angefangen Kaugummi zu kauen,
											weil ich den ganzen Tag mit diesem Kamel verbracht habe.
											Tierpfleger: Ja, so, gut, gut. Nein! Jetzt wird er ein bisschen zu aufgeregt.
											Wir müssen jetzt also sehr vorsichtig sein. Nicht dass er euch erwischt.
											Jetzt sehen wir hier massive Speichelmengen.
											Ich nenne mich gern den instabilen Stalljungen.
											Ihre Nase – hier sind die Nüstern gerade aufgebläht.
											Wenn sie brunftig sind – sie ähneln Robben,
											in der Hinsicht, dass eine Robbe ihre Nase öffnen muss um zu atmen.
											Und sie sind ähnlich. Sie müssen ihre Nase bewusst öffnen.
											Ohren? Sie sind klein. Aber sie haben ein hervorragendes Gehör.
											Aber nicht sehr groß – Zebras zum Beispiel haben riesige Ohren,
											die sehr beweglich sind, so dass sie beide umdrehen können.
											Und sie verwenden sie so ähnlich wie wir unser zweiäugiges Sehen.
											Sie können damit Geräusche orten.
											Die Wüste ist sehr windig, und außerdem sehr kalt.
											Sie haben also nicht nur sehr lange Wimpern,
											sondern es gibt ein sekundäres – das ist wohl [die Nickhaut] oder so.
											Es hat Haar über den Augen und darunter ist es auch länger.
									","
											(Video). Hola. Soy Keith Bellows con la Unidad de Investigación de la National Geographic.
											Estoy aquí para conocer al último modelo de máquina del desierto.
											Y notarán que empecé a masticar chicle
											porque estaba alrededor del camello todo el día.
											Cuidador de animales: eso es. ¡No! Mira, él se está poniendo un poco nervioso.
											Entonces debemos tener mucho cuidado cuando estamos cerca de él. No dejes que te atrape.
											Ahora, pueden ver la copiosa cantidad de saliva ahí.
											Me autodenomino ""chico inestable del establo"".
											Su nariz... pueden ver que su nariz está irritada ahora mismo.
											Cuando están en celo son similares a las focas
											en que tienen que abrir su nariz para respirar.
											Son similares. Tienen que abrir de manera consciente sus narices.
											¿Orejas? Sus orejas son pequeñas. Pero tienen un oído excelente.
											Pero no excepcional; por ejemplo, las cebras tienen orejas enormes
											que son muy móviles, lo que les permite girarlas.
											Y las usan de la misma manera que nosotros usamos nuestra visión binocular.
											Las usan para identificar los sonidos.
											El desierto es extremadamente ventoso de la misma manera que puede ser también muy frio.
											Es por eso que no sólo tienen pestañas muy largas,
											sino también pestañas secundarias. Supongo que podrían llamarlo [no claro] o cualquier cosa.
											Eso es el pelo que está sobre los ojos, y por debajo de esto es más largo.
									",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
"
","
","
",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
"
											La plupart des gens pensent que les bosses stockent de l'eau.
											Ce n'est pas le cas. Elles stockent de la graisse.
											Mais — bon, je ne suis pas chimiste, mais fondamentalement ce qui se passe
											c'est que la graisse est oxydée par leur respiration.
											Et ça la transforme en eau effectivement utilisable.
											Comme beaucoup de prédateurs, ils marchent sur leurs orteils.
											Mais il y a un gros coussinet gras là-dedans qui amortit.
											C'est comme des chaussures de plage. Mais vous savez, avec du sable.
											Des sabots? Ils n'ont pas de sabots traditionnels,
											mais ils ont un gros ongle.
											Vous ne pouvez pas voir vraiment très clairement. La fourrure a poussé dessus.
											Mais ils utilisent beaucoup leur queue. Particulièrement dans la période de rut.
											Il va uriner et faire tourner sa queue
											pour répandre son urine
											et se rendre plus attirant.
											Je ne sais pas pourquoi c'est comme ça, mais ça marche pour eux.
											Alors pourquoi se poser des questions?
									","
											Die meisten Leute denken, dass die Höcker Wasser speichern.
											Das tun sie nicht. Sie speichern Fett.
											Aber – ich bin ja kein Chemiker, aber es passiert ungefähr das:
											Das Fett wird durch ihre Atmung oxidiert.
											Und das verwandelt es in verwendbares Wasser.
											Wie viele Raubtiere laufen sie auf ihren Zehen.
											Aber es gibt ein dickes, fettes Polster hier, das heraussteht.
											Sie sind wie [Sandalen], aber, na ja, mit Sand.
											Hufe? Traditionelle Hufe haben sie nicht,
											aber sie haben so etwas wie einen großen Nagel.
											Man kann es nicht so richtig erkennen. Das Fell ist drübergewachsen.
											Aber sie verwenden ihre Schwänze oft, besonders wenn sie brunftig sind.
											Er uriniert herum und wirbelt mit dem Schwanz,
											um den Urin zu verbreiten
											und ihn attraktiver zu machen.
											Ich verstehe es nicht ganz, aber für sie funktioniert es. (Lachen)
											Also ist es mir auch egal.
									","
											La mayoría piensa que las jorobas almacenan agua.
											No es así. Almacenan grasa.
											Ahora bien, yo no soy químico, pero básicamente lo que sucede es
											que la grasa es oxidada por la respiración
											y eso la convierte en agua para usar.
											Como muchos depredadores, ellos caminan sobre la punta de los pies.
											Pero tienen como una gran almohadilla de grasa que aplastan.
											Son como zapatos de sol. Pero, saben, con arena.
											¿Cascos? No tienen los tradicionales cascos,
											pero si tienen algo como una gran uña.
											No se puede ver esto claramente. El pelo ha crecido alrededor.
											Pero usan bastante sus colas. Especialmente en el celo.
											Él orina y gira su cola
											para esparcir su orina alrededor
											y hacerse más atractivo.
											No entiendo por qué es así, pero eso les funciona bien.
											Entonces, qué diablos.
									",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
"
","
","
",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
"
											Et ils vont aussi déféquer dans certains endroits —
											en général, ils font où ils veulent,
											mais pendant leur rut ils vont déféquer à l'intérieur d'un périmètre.
											Je ne sais pas si vous avez lu ou entendu aprlé des sons subsoniques produits par les éléphants —
											vous voyez ce que je veux dire, comme ""Brrr-r-!""
											Ces gros grondements. Il va faire la même chose.
											Vous pouvez en fait voir, ici, il va vibrer.
											Nous pesons nos animaux.
											Malheureusement, c'est un animal très agressif,
											il a donc en fait détruit certaines de nos balances.
											Nous avions ces gros trucs sur lesquels je pèse le bison, par exemple.
											Je présume qu'il — eh bien il fait au moins 725 kilos.
											Probablement plutôt 900.
											Il est essentiellement un broyeur à pattes.
											On est comme des potes, mais je suis un mâle et c'est un — KB: [ confus]. SH oui, exactement.
											Et ça le rend très dangereux à cette époque de l'année.
											N'y pense même pas. N'y pense même pas!
									","
											Jetzt lassen sie ihren Kot an bestimmten Stellen.
											Allgemein tun sie das wo immer sie wollen,
											aber während der Brunft tun sie es nur in bestimmten Bereichen.
											Vielleicht haben Sie von den Unterschallgeräuschen von Elefanten gehört oder gelesen,
											also ich meine so was wie: ""Br-r-r!""
											Diese tiefen, rollenden Geräusche. Das Kamel macht das auch so.
											Hier kann man sehen, dass es vibrieren wird.
											Wir wiegen unsere Tiere.
											Leider ist er ein sehr aggressives Tier,
											also zerstörte er sogar ein paar der Waagen.
											Wir hatten diese riesigen Waagen für das Wiegen der Bisons zum Beispiel.
											Er wiegt wahrscheinlich mindestens 750 kg.
											Aber ich tippe mehr auf eine Tonne.
											Im Prinzip ist es ein laufender Mulchhaufen.
											Wir sind zwar Freunde, aber ich bin auch ein Mann, und er... – KB: Er sieht Sie als Konkurrenz? – Tierpfleger: Ja, genau.
											Und das macht ihn um diese Jahreszeit sehr gefährlich.
											Denk nicht mal dran. Denk nicht mal dran.
									","
											En fin, también defecan en ciertos lugares...
											por lo general cagan donde quieren,
											pero durante el celo defecan en el perímetro de sus zonas.
											No sé si alguna vez han leído u oído acerca de los sonidos subsónicos de los elefantes...
											Entienden lo que digo, como, ""¡Brr-r-r!""
											Esos fuertes sonidos vibrantes. Él hace lo mismo.
											Pueden verlo ahora mismo, él vibrará.
											Pesamos a nuestros animales.
											Por desgracia, él es un animal muy agresivo.
											Ha destruido algunas de las básculas.
											Teníamos estas grandes básculas que pesan al bisonte, por ejemplo.
											Asumo que él... que él pesa al menos 700 kg.
											Probablemente cerca de una tonelada.
											Es prácticamente una trituradora caminante.
											Somos como amigos, pero soy macho igual que él —KB: [no claro]. SH: Sí, exactamente.
											Y eso lo hace muy peligroso en esta época del año.
											Ni siquiera pienso en esto. ¡Ni siquiera lo pienso!
									",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
"
","
","
",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
