en,tr,de,fr,title,speaker,duration,tags
"
","
","
","
",How computers learn to recognize objects instantly,Joseph Redmon,7:37,"algorithm,AI,computers,sight,technology"
"
											This is our detection system
running in real time on my laptop.
											So it smoothly tracks me
as I move around the frame,
											and it's robust to a wide variety
of changes in size,
											pose,
											forward, backward.
											This is great.
											This is what we really need
											if we're going to build systems
on top of computer vision.
									","
											Gördüğünüz, bilgisayarımdaki
eş zamanlı belirleme sistemimiz.
											Kare etrafında hareket ederken,
usulca beni takip ediyor;
											boyut, duruş, ileri, geri gibi
çok çeşitli değişkenlere
											kolayca
											adapte olabiliyor.
											Harika.
											Bilgisayarlı görme üzerine
sistem ekleyeceksek,
											işte tam da buna ihtiyacımız var.
									","
											Das ist unser Erkennungssystem.
Es läuft in Echtzeit auf meinem Laptop.
											Es verfolgt mich flüssig, 
während ich mich im Bildbereich bewege,
											ist robust gegenüber 
Veränderungen der Größe,
											der Stellung,
											Vorder- oder Rückseite.
											Das ist großartig.
											So etwas brauchen wir,
											wenn wir das Maschinelle Sehen
in Systeme einbauen wollen.
									","
											Voici notre système de détection
en temps réel sur mon PC portable.
											Il suit aisément
mes déplacements dans le cadre,
											il supporte une grande variété
de changements de taille,
											de postures,
											si j'avance, recule.
											C'est formidable.
											C'est ce qu'il nous faut réellement
											pour concevoir des systèmes
basés sur la vision artificielle.
									",How computers learn to recognize objects instantly,Joseph Redmon,7:37,"algorithm,AI,computers,sight,technology"
"
","
","
","
",How computers learn to recognize objects instantly,Joseph Redmon,7:37,"algorithm,AI,computers,sight,technology"
"
											(Applause)
									","
											(Alkış)
									","
											(Applaus)
									","
											(Applaudissements)
									",How computers learn to recognize objects instantly,Joseph Redmon,7:37,"algorithm,AI,computers,sight,technology"
"
","
","
","
",How computers learn to recognize objects instantly,Joseph Redmon,7:37,"algorithm,AI,computers,sight,technology"
"
											So in just a few years,
											we've gone from 20 seconds per image
											to 20 milliseconds per image,
a thousand times faster.
											How did we get there?
											Well, in the past,
object detection systems
											would take an image like this
											and split it into a bunch of regions
											and then run a classifier
on each of these regions,
											and high scores for that classifier
											would be considered
detections in the image.
											But this involved running a classifier
thousands of times over an image,
											thousands of neural network evaluations
to produce detection.
											Instead, we trained a single network
to do all of detection for us.
											It produces all of the bounding boxes
and class probabilities simultaneously.
											With our system, instead of looking
at an image thousands of times
											to produce detection,
											you only look once,
											and that's why we call it
the YOLO method of object detection.
											So with this speed,
we're not just limited to images;
											we can process video in real time.
											And now, instead of just seeing
that cat and dog,
											we can see them move around
and interact with each other.
									","
											Birkaç yıl içinde,
											kare başına 20 saniyeden
											kare başına 20 milisaniyeye geçtik,
bu bin kat daha hızlı demek oluyor.
											Bunu nasıl başardık?
											Önceleri nesne belirleme sistemleri
											böyle bir kareyi alıp
											onu birçok alana bölerdi
											ve bu bölgelerde
sınıflandırıcı etklinleştirirdi
											ve sınıflandırıcı
daha çok çentiklenen kısmı,
											o karenin belirlenen alanı
olarak kabul ediyordu.
											Bunu yapabilmek için o kare üzerinde
sınıflandırıcıyı bin kez işlemeniz gerek,
											belirleme yapabilmek için
binlerce sinir ağı değerlendirmesi.
											Bunun yerine, bütün belirlemeyi
yapabilen tek bir ağ tasarladık.
											Bütün sınırlayıcı kutuları oluşturuyor
ve aynı anda olasılıkları sınıflandırıyor.
											Bu sistemle birlikte, tek bir kareye
belirleme oluşturabilmek için
											bin kez bakmak yerine,
											yalnızca bir kez bakıyorsunuz
											ve bu yüzden bu nesne belirleme
sistemine YOLO adını verdik.
											Bu hız görüntülerle sınırlı kalmıyor,
											videoları eş zamanlı
olarak işleyebiliyoruz.
											Ve artık sadece kedi
ve köpek görmenin yanı sıra,
											etrafta hareket edip birbirleriyle
iletişimini de görebiliyoruz.
									","
											In nur ein paar Jahren
											haben wir es von zwanzig Sekunden pro Bild
											zu zwanzig Millisekunden pro Bild 
geschafft. Eintausendmal schneller.
											Wie haben wir das gemacht?
											Nun, in der Vergangenheit
nahmen Objekterkenner
											ein solches Bild
											und teilten es in viele 
kleinere Bereiche ein.
											Der Klassifikator verarbeitete
jeden einzelnen dieser Bereiche.
											Erreichte etwas 
einen hohen Score im Klassifikator,
											wurde es als erkanntes Objekt gewertet.
											Dies bedeutete aber, den Klassifikator 
tausende Male für ein Bild anzuwenden.
											Tausende von Auswertungen
neuraler Netzwerke für die Erkennung.
											Wir haben stattdessen ein einzelnes
neurales Netzwerk trainiert,
											das alle Markierungsboxen und
Wahrscheinlichkeiten simultan berechnet.
											Unser System ermöglicht es,
statt tausende Male ein Bild anzusehen,
											um die Objekte darin zu erkennen,
											das Bild nur ein einziges Mal anzusehen.
											Deswegen nennen wir unsere 
Methode der Objekterkennung ""YOLO"".
											Mit einer solchen Geschwindigkeit
sind wir nicht auf Bilder beschränkt —
											wir können ganze Videos 
in Echtzeit verarbeiten.
											Statt nur eine Katze 
und einen Hund zu sehen,
											können wir beobachten, wie sie 
sich bewegen und interagieren.
									","
											En quelques années seulement,
											on est passés de 20 secondes par image
											à 20 millisecondes par image.
Mille fois plus vite.
											Comment avons-nous fait ?
											Avant, les systèmes de détection d'objets
											prenaient une image similaire
											et la découpaient en zones,
											puis un classifieur
analysait chacune d'elles,
											et on considérait qu'il était performant
											s'il détectait des objets.
											Mais ça signifiait analyser une image
des milliers de fois
											autant d'évaluations en réseau neuronal
pour une détection.
											On a alors entraîné un réseau unique
à réaliser ces détections.
											Il produit les délimitations et 
les probabilités de classes simultanément.
											Notre système n'observe 
plus une image des milliers de fois
											afin de réaliser une détection
											mais une fois seulement.
											D'où la méthode de détection YOLO
pour « You Only Look Once ».
											Cette rapidité ne nous limite plus
aux seules images
											et nous pouvons analyser
des vidéos en temps réel.
											Et au lieu de voir un chat et un chien,
											on les voit se déplacer et interagir.
									",How computers learn to recognize objects instantly,Joseph Redmon,7:37,"algorithm,AI,computers,sight,technology"
"
","
","
","
",How computers learn to recognize objects instantly,Joseph Redmon,7:37,"algorithm,AI,computers,sight,technology"
"
											This is a detector that we trained
											on 80 different classes
											in Microsoft's COCO dataset.
											It has all sorts of things
like spoon and fork, bowl,
											common objects like that.
											It has a variety of more exotic things:
											animals, cars, zebras, giraffes.
											And now we're going to do something fun.
											We're just going to go
out into the audience
											and see what kind of things we can detect.
											Does anyone want a stuffed animal?
											There are some teddy bears out there.
											And we can turn down
our threshold for detection a little bit,
											so we can find more of you guys
out in the audience.
											Let's see if we can get these stop signs.
											We find some backpacks.
											Let's just zoom in a little bit.
											And this is great.
											And all of the processing
is happening in real time
											on the laptop.
									","
											Microsoft'un COCO verisetindeki
											80 farklı sınıfta
											bu belirleyiciyi geliştirdik.
											Kaşık, çatal, kase gibi
her türlü sıradan nesneyi
											bünyesinde barındırıyor.
											Daha egzotik çeşitlilikleri de algılıyor;
											hayvanlar, arabalar, zebralar, zürafalar.
											Şimdi eğlenceli bir şey yapacağız.
											Seyirciye yönelteceğiz
											ve neler belirleyeceğimize bir bakalım.
											Peluş hayvan isteyen var mı?
											Ayısı olanlar var.
											Belirleme eşiğimizi birazcık düşürelim,
											böylece sizleri daha çok görmüş oluruz.
											DUR işaretlerini algılayacak mı bakalım.
											Sırt çantaları görüyoruz.
											Biraz daha yakınlaştıralım.
											Harika.
											Bütün işlemler,
bilgisayarda eş zamanlı olarak
											eşleşiyor.
									","
											Diesen Erkenner haben wir
											auf 80 verschiedene Klassen
											aus Microsofts COCO-Daten trainiert.
											Er kennt alle möglichen Objekte
wie Löffel, Gabel, Schüssel —
											alltägliche Gegenstände,
											aber auch exotischere:
											Tiere, Autos, Zebras, Giraffen.
											Jetzt machen wir etwas Lustiges.
											Wir richten die Kamera auf das Publikum
											und sehen, was wir erkennen können.
											Möchte jemand ein Plüschtier?
											Hier sind ein paar Teddybären.
											Wir können die Empfindlichkeit
des Erkenners ein wenig senken,
											um mehr einzelne Personen
im Publikum zu erkennen.
											Lassen Sie uns sehen,
ob wir diese Stoppschilder bekommen.
											Wir sehen einige Rucksäcke ...
											Wir zoomen etwas hinein ...
											Das ist großartig.
											Die gesamte Verarbeitung 
passiert in Echtzeit
											auf dem Laptop.
									","
											Nous avons entraîné ce détecteur
											sur 80 classes différentes
											de la base COCO de Microsoft.
											Elle contient un peu de tout,
de la cuillère à la fourchette et au bol.
											Ce genre d'objets usuels.
											Elle contient diverses choses
plus inhabituelles :
											des animaux, des voitures,
des zèbres, des girafes.
											Faisons une chose amusante.
											Parcourons le public
											et voyons le genre d'objets détectés.
											Quelqu'un veut-il une peluche ?
											Il y a des ours en peluche ici.
											Repoussons un peu notre seuil de détection
											afin d'en trouver plus dans le public.
											Voyons si on trouve ces panneaux.
											On a des sacs à dos.
											Zoomons juste un peu.
											C'est formidable.
											L'analyse entière se déroule en temps réel
											sur l'ordinateur.
									",How computers learn to recognize objects instantly,Joseph Redmon,7:37,"algorithm,AI,computers,sight,technology"
"
","
","
","
",How computers learn to recognize objects instantly,Joseph Redmon,7:37,"algorithm,AI,computers,sight,technology"
"
											And it's important to remember
											that this is a general purpose
object detection system,
											so we can train this for any image domain.
											The same code that we use
											to find stop signs or pedestrians,
											bicycles in a self-driving vehicle,
											can be used to find cancer cells
											in a tissue biopsy.
											And there are researchers around the globe
already using this technology
											for advances in things
like medicine, robotics.
											This morning, I read a paper
											where they were taking a census
of animals in Nairobi National Park
											with YOLO as part
of this detection system.
											And that's because Darknet is open source
											and in the public domain,
free for anyone to use.
									","
											Bu, genel kullanım amaçlı bir
											nesne belirme sistemi,
											dolayısıyla herhangi bir
resim işleme alanında geliştirilebilir.
											DUR işaretlerini veya yayaları,
											sürücüsüz araçları ve bisikletleri
											belirlemede kullandığımız aynı kod,
											doku biyopsisinde kanser hücrelerini
											tespit etmede kullanılabilir.
											Tıp, robotik gibi alanlarda
ilerleme kaydetmek adına
											dünya çapında bu teknolojiyi
kullanan araştırmacılar var.
											Bu sabah gazetede,
											Nairobi Milli Parkındaki
hayvanların sayımını
											YOLO belirleme sistemini
kullanarak gerçekleştirdiklerini okudum.
											Darknet açık kaynak olduğu için
gerçekleşen bir hadise bu,
											kamuya açık, erişime ücretsiz açık.
									","
											Man darf nicht vergessen,
											dass das ein ganz allgemeines
Objekterkennungssystem ist.
											Wir können es also
für jede Art von Bildern trainieren.
											Denselben Code, den wir benutzen,
											damit ein selbstfahrendes Fahrzeug
Stoppschilder, Fußgänger
											oder Fahrräder erkennen kann,
											kann man auch nutzen, um Krebszellen
											in einer Gewebeprobe ausfindig zu machen.
											Forscher auf der ganzen Welt
nutzen diese Technologie bereits,
											um Fortschritte auf Gebieten
wie Medizin oder Robotik zu erzielen.
											Heute morgen habe ich 
einen Fachartikel gelesen:
											Im Nationalpark von Nairobi
wurde eine Zählung der Tiere vorgenommen,
											mit YOLO als Teil des Erkennungssystems.
											Das ist möglich, weil Darknet quelloffen,
											frei zugänglich 
und für alle verwendbar ist.
									","
											Il faut garder à l'esprit
											qu'il s'agit d'un système de détection
d'objets à usage général.
											On peut donc l'entraîner
pour tout domaine visuel.
											Le même code employé
											pour détecter 
des panneaux stop, des piétons
											ou des vélos par un véhicule autoguidé
											peut être employé
pour détecter des cellules cancéreuses
											dans une biopsie.
											Dans le monde, des chercheurs utilisent 
déjà cette technologie
											pour progresser dans des domaines
comme la médecine ou la robotique.
											Ce matin, j'ai lu un article
											qui traitait d'un recensement
de la faune du parc national de Nairobi
											qui utilisait YOLO
pour son système de détection.
											Cela est possible 
car Darknet est en open source
											et dans le domaine public.
Il est libre d'utilisation.
									",How computers learn to recognize objects instantly,Joseph Redmon,7:37,"algorithm,AI,computers,sight,technology"
"
","
","
","
",How computers learn to recognize objects instantly,Joseph Redmon,7:37,"algorithm,AI,computers,sight,technology"
"
											(Applause)
									","
											(Alkış)
									","
											(Applaus)
									","
											(Applaudissements)
									",How computers learn to recognize objects instantly,Joseph Redmon,7:37,"algorithm,AI,computers,sight,technology"
"
","
","
","
",How computers learn to recognize objects instantly,Joseph Redmon,7:37,"algorithm,AI,computers,sight,technology"
"
											But we wanted to make detection
even more accessible and usable,
											so through a combination
of model optimization,
											network binarization and approximation,
											we actually have object detection
running on a phone.
									","
											Fakat biz daha erişilebilir ve
kullanışlı bir belirleme sağlamak istedik,
											model uyumlaştırma düzeni,
											ağ ikilileştirme ve uyum düzeni ile
											telefonda kullanılabilen
nesne belirleme sistemi geliştirdik.
									","
											Aber wir wollten Bilderkennung
sogar noch leichter nutzbar machen.
											Daher haben wir durch Modelloptimierung,
											Binarisierung des neuralen Netzes
und Approximation erreicht,
											dass die Objekterkennung
sogar auf einem Mobiltelefon läuft.
									","
											On a voulu rendre la détection
encore plus accessible et pratique.
											Grâce à la combinaison
de l'optimisation de modèles
											la binarisation du réseau
et l'approximation,
											on peut utiliser la détection d'objets
sur un téléphone.
									",How computers learn to recognize objects instantly,Joseph Redmon,7:37,"algorithm,AI,computers,sight,technology"
"
","
","
","
",How computers learn to recognize objects instantly,Joseph Redmon,7:37,"algorithm,AI,computers,sight,technology"
"
											(Applause)
									","
											(Alkış)
									","
											(Applaus)
									","
											(Applaudissements)
									",How computers learn to recognize objects instantly,Joseph Redmon,7:37,"algorithm,AI,computers,sight,technology"
"
","
","
","
",How computers learn to recognize objects instantly,Joseph Redmon,7:37,"algorithm,AI,computers,sight,technology"
"
											And I'm really excited because
now we have a pretty powerful solution
											to this low-level computer vision problem,
											and anyone can take it
and build something with it.
											So now the rest is up to all of you
											and people around the world
with access to this software,
											and I can't wait to see what people
will build with this technology.
									","
											Bu beni gerçekten heyecanlandırıyor,
çünkü artık düşük seviyeli bilgisayarlı
											görme sorununa, oldukça güçlü bir
çözüm bulmuş durumdayız
											ve herkes kullanabilir
ve bununla bir şey geliştirebilir.
											Artık kalanı sizlere
											ve dünya çapında bu yazılıma
erişimi olanlara kalmış
											ve insanların bu teknolojiyi kullanarak
											neler ortaya koyacağını
sabırsızlıkla bekliyorum.
									","
											Das ist aufregend, weil wir 
damit eine ziemlich mächtige Lösung
											für dieses grundlegende Problem 
des Maschinellen Sehens haben.
											Jeder kann sie nutzen
und etwas damit bauen.
											Nun liegt es bei Ihnen
											und allen Menschen auf der Welt
mit Zugang zu dieser Software.
											Ich bin gespannt zu sehen, welche Ideen 
sie mit dieser Technologie umsetzen.
									","
											Je suis ravi, car nous disposons
dorénavant d'une solution puissante
											pour ce problème 
de vision artificielle faible.
											Il peut servir à quiconque
pour concevoir ce qu'il veut.
											Pour le reste, à vous de jouer
											ainsi qu'à ceux dans le monde
qui ont accès à ce logiciel.
											J'ai hâte de voir ce que les gens
feront de cette technologie.
									",How computers learn to recognize objects instantly,Joseph Redmon,7:37,"algorithm,AI,computers,sight,technology"
"
","
","
","
",How computers learn to recognize objects instantly,Joseph Redmon,7:37,"algorithm,AI,computers,sight,technology"
"
											Thank you.
									","
											Teşekkürler.
									","
											Vielen Dank.
									","
											Merci.
									",How computers learn to recognize objects instantly,Joseph Redmon,7:37,"algorithm,AI,computers,sight,technology"
"
","
","
","
",How computers learn to recognize objects instantly,Joseph Redmon,7:37,"algorithm,AI,computers,sight,technology"
"
											(Applause)
									","
											(Alkış)
									","
											(Applaus)
									","
											(Applaudissements)
									",How computers learn to recognize objects instantly,Joseph Redmon,7:37,"algorithm,AI,computers,sight,technology"
"
","
","
","
",How computers learn to recognize objects instantly,Joseph Redmon,7:37,"algorithm,AI,computers,sight,technology"
