en,tr,fr,de,pt,title,speaker,duration,tags
"
											But sloths are massively misunderstood.
											They've been saddled with a name
that speaks of sin
											and damned for their languorous lifestyle,
											which people seem to think
has no place amongst the fittest
											in the fast-paced race for survival.
											Well, I'm here to tell you
that we've got this animal all wrong —
											and how understanding
the truth about the sloth
											may help save us and this planet
we both call home.
									","
											Ama tembel hayvanlar
o kadar yanlış anlaşılıyor ki...
											İstenmeyen bir isimle damgalanmış
											ve bitkin hayat tarzları
yüzünden lanetlenmişler,
											ki insanlara göre o hızlı, hayatta kalma
yarışındaki güçlüler arasında
											hiç ama hiç yerleri yok.
											Ama ben sizlere bu hayvanı hep
yanlış anladığımızı anlatacağım
											ve de tembel hayvan
hakkındaki gerçeklerle
											evimiz dediğimiz gezegenimizi
ve kendimizi nasıl kurtarabileceğimizi.
									","
											Mais les paresseux sont
grandement incompris.
											On leur a attribué un nom
qui parle de péché
											et on les a condamnés
pour leur style de vie langoureux,
											qui, d'après les gens, ne semble pas
avoir sa place parmi les plus forts
											dans la course effrénée pour la survie.
											Je suis ici pour vous dire
											que vous avez tort
au sujet de cet animal —
											et comment comprendre
la vérité sur le paresseux
											pourrait nous aider à nous sauver
											et à sauver cette planète
qui est notre maison et la leur.
									","
											Aber Faultiere werden massiv verkannt.
											Sie sind mit einem Namen gestraft,
der schon sündhaft klingt
											und man schüttelt den Kopf
über ihren trägen Lebensstil,
											von dem alle meinen,
er hätte keine Chance
											in unserem heutigen schnelllebigen
Wettrennen ums Überleben.
											Ich bin hier, um Ihnen zu sagen,
dass wir das Tier völlig verkennen —
											und wie uns die Wahrheit
über das Faultier helfen könnte,
											uns und diesen Planeten zu retten,
den wir alle unser Zuhause nennen.
									","
											Mas as preguiças são
muitíssimo incompreendidas.
											Atribuíram-lhes um nome
associado a pecado
											e foram amaldiçoadas
pelo seu estilo de vida langoroso
											que as pessoas parecem pensar
não ter lugar entre os mais aptos
											na corrida acelerada pela sobrevivência.
											Bem, eu estou aqui para vos dizer
que nos enganámos em relação a este animal
											— e como compreender
a verdade sobre a preguiça
											nos pode salvar a nós e a este planeta
a que todos chamamos lar.
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											I traced sloth-based slander
											back to a Spanish
conquistador called Valdés,
											who gave the first description of a sloth
in his encyclopedia of the New World.
											He said the sloth was
											""the stupidest animal
that can be found in the world ...
											I have never seen such an ugly animal
or one that is more useless.""
									","
											Tembel hayvan iftirasının ortaya çıkışı
											Valdés adında
bir İspanyol fatihine dayanıyor,
											Yeni Dünya'ya ilişkin ansiklopedisinde
tembel hayvanı ilk kez açıklamış.
											Onun sözleriyle bir tembel hayvan
											''dünyada bulunabilecek en aptal hayvan...
											Bundan daha işe yaramaz
ve çirkin bir hayvan daha önce görmedim.''
									","
											J'ai remonté la piste
de la diffamation du paresseux
											jusqu'à un conquistador espagnol
qui s'appelait Valdés
											et qui a fait la première
description d'un paresseux
											dans son encyclopédie du Nouveau Monde.
											Il a dit que le paresseux était
											« l'animal le plus stupide
que l'on puisse trouver dans le monde...
											Je n'ai jamais vu d'animal aussi moche
ou de plus inutile. »
									","
											Ich konnte den Rufmord am Faultier
											bis zu einem spanischen Conquistador
namens Valdés zurückverfolgen.
											In der Enzyklopädie der neuen Welt
beschrieb er erstmals ein Faultier.
											Er sagte über das Faultier:
											""das dümmste Tier,
das man in dieser Welt finden kann ...
											Noch nie sah ich ein so hässliches Tier
oder eines, das so unnütz ist.""
									","
											Eu segui o rasto da calúnia
contra a preguiça
											até um conquistador espanhol
chamado Valdés,
											que fez a primeira descrição
de uma preguiça
											na sua enciclopédia do Novo Mundo.
											Ele disse que a preguiça era
											""o animal mais estúpido
que podia ser encontrado no mundo...
											""Nunca vi animal tão feio
ou mais inútil.""
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											(Laughter)
									","
											(Gülme sesleri)
									","
											(Rires)
									","
											(Gelächter)
									","
											(Risos)
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											Tell us what you really think, Valdés.
									","
											Gerçek düşüncelerini söylesene, Valdés.
									","
											Dites-nous ce que vous pensez, Valdés.
									","
											Sag uns, was du wirklich denkst, Valdés.
									","
											Diz-nos o que realmente pensas, Valdés.
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											(Laughter)
									","
											(Gülme sesleri)
									","
											(Rires)
									","
											(Gelächter)
									","
											(Risos)
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											I'd like to have a word
about Valdés's drawing skills.
									","
											Hem ben Valdés'in çizim
becerisi hakkında konuşmak istiyorum.
									","
											J'aimerais dire un mot
sur les compétences de dessin de Valdés.
									","
											Ich würde gerne mal ein Wort
zu Valdés' Zeichenkünsten sagen.
									","
											Gostava de falar
sobre a habilidade de desenho de Valdés.
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Rires)
									","
											(Gelächter)
									","
											(Risos)
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											I mean, what is that?
									","
											Bu da ne şimdi?
									","
											Qu'est-ce que c'est ?
									","
											Ich meine, was soll das denn bitte sein?
									","
											Quer dizer, o que é isso?
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Rires)
									","
											(Gelächter)
									","
											(Risos)
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											I've never seen an illustration
of a sloth that's more useless.
									","
											Asıl ben bundan daha işe yaramaz
bir tembel hayvan gösterimi göremedim.
									","
											Je n'ai jamais vu d'illustration
d'un paresseux qui soit plus inutile.
									","
											Ich habe noch nie eine nutzlosere
Illustration eines Faultiers gesehen.
									","
											Nunca vi ilustração de uma preguiça
que fosse mais inútil.
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Rires)
									","
											(Gelächter)
									","
											(Risos)
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											But I mean, on the plus side,
											he has given the sloth
a remarkably humanlike face,
											and sloths do have remarkably
humanlike faces.
											This sloth I photographed in Costa Rica,
I think looks a lot like Ringo Starr.
									","
											Ama bardağın dolu kısmı,
											tembel hayvana insan gibi bir yüz çizmiş,
											tembel hayvanların inanılmaz
insan benzeri yüzleri var.
											Costa Rica'da görüntülediğim bu,
Ringo Starr'a çok benziyor.
									","
											Du côté positif,
											il a donné au paresseux
un visage remarquablement humain
											et les paresseux ont
un visage remarquablement humain.
											Ce paresseux que j'ai
photographié au Costa Rica,
											je trouve qu'il ressemble
beaucoup à Ringo Starr.
									","
											Aber wenigstens gab er dem Faultier
ein bemerkenswert menschliches Gesicht.
											Denn Faultiere haben wirklich
sehr menschliche Gesichter.
											Dieses Faultier aus Costa Rica
sieht aus wie Ringo Starr.
									","
											Mas, pelo lado mais positivo,
ele deu à preguiça
											um rosto notavelmente
parecido com o de um humano,
											e as preguiças têm mesmo
focinhos parecidos com os humanos.
											Esta preguiça que fotografei na Costa Rica
parece-se muito com o Ringo Starr.
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Rires)
									","
											(Gelächter)
									","
											(Risos)
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											But then, sloths do bear an uncanny
resemblance to the The Beatles.
									","
											Ama işin aslı, tembel hayvanların
Beatles'la akıl almaz benzerliği.
									","
											Les paresseux ressemblent
étrangement aux Beatles.
									","
											Faultiere haben generell
frappierende Ähnlichkeit mit den Beatles.
									","
											Mas também, as preguiças
parecem-se muito com Os Beatles.
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Rires)
									","
											(Gelächter)
									","
											(Risos)
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											Particularly pleased
with Paul, actually, on there.
											But like The Beatles,
sloths are also extremely successful.
											They come from an ancient line of mammals,
and there were once dozens of species
											including the giant ground sloth,
which was the size of a small elephant
											and one of the only animals big enough
to eat avocado pits whole
											and disperse them.
									","
											Özellikle şurada Paul'a bir bakın.
											Tıpkı Beatles gibi
tembel hayvanlar da çok başarılı.
											Çok eski bir memeli türünden geliyorlar
ve eskiden düzinelerce türleri vardı;
											dev toprak hayvanları
ki küçük bir boyunda oluyorlardı
											ve avokadoları tüm olarak yiyebilecek,
											sonra da onları ayıracak kadar büyük
tek memelilerden biriydi.
									","
											Je suis particulièrement
satisfaite de Paul.
											Mais comme les Beatles,
les paresseux sont extrêmement prospères.
											Ils descendent d'une ancienne
lignée de mammifères
											et il y a eu des dizaines d'espèces,
											y compris le Megatherium,
qui faisait la taille d'un petit éléphant
											et était l'un des rares animaux
											assez grands pour manger
des noyaux d'avocat entiers
											et de les disséminer.
									","
											Paul finde ich hier
besonders gut getroffen.
											Und genau wie die Beatles
sind auch Faultiere sehr erfolgreich.
											Als Teil einer uralten Linie von Säugern
gab es sehr viele Arten von ihnen,
											wie das gigantische Boden-Faultier,
das so groß wie ein Elefant war
											und eines der wenigen Tiere,
die einen Avocado-Kern im Ganzen fraßen
											und auch so wieder ausschieden.
									","
											Estou particularmente agradada
com o Paul, ali.
											Mas, tal como Os Beatles,
as preguiças têm também um tremendo êxito.
											Elas descendem de uma linha ancestral
de mamíferos com dezenas de espécies,
											incluindo a preguiça gigante,
com o tamanho de um pequeno elefante,
											e um dos únicos animais com tamanho
para comer o caroço inteiro do abacate
											e dispersá-lo.
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											So ... 
(Laughter)
									","
											Yani...
(Gülme sesleri)
									","
											Alors...
(Rires)
									","
											Also ...
(Gelächter)
									","
											Por isso...
(Risos)
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											Some of you have worked it out already.
									","
											Bazılarınız işin aslını anladı bile.
									","
											Certains ont déjà compris.
									","
											Bei einigen von Ihnen ist
der Groschen schon gefallen.
									","
											Alguns de vocês já perceberam.
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											(Laughter)
									","
											(Gülme sesleri)
									","
											(Rires)
									","
											(Gelächter)
									","
											(Risos)
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											That means that without sloths,
											there might be no avocado on toast today,
											leaving hipsters everywhere
totally bereft at breakfast.
									","
											Bu şu demek oluyor ki
											tembel hayvanlar olmasa
avokadolu ekmek de olmayacaktı,
											her yerde hippiler
kahvaltıdan yoksun kalacaktı.
									","
											Cela veut dire que sans paresseux,
											il n'y aurait peut-être pas aujourd'hui
de tartines à l'avocat,
											laissant les hipsters complètement
dépourvus au petit-déjeuner.
									","
											Ohne Faultiere gäbe es heute also
vielleicht keinen Avocado-Toast,
											wodurch viele Hipster beim Frühstück
total aufgeschmissen wären.
									","
											Isso quer dizer que, sem as preguiças,
											poderia não ter havido abacate
nas tostas de hoje,
											deixando os ""hipsters"" em todo o lado
totalmente perdidos ao pequeno-almoço.
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Rires)
									","
											(Gelächter)
									","
											(Risos)
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											(Applause)
									","
											(Alkışlar)
									","
											(Applaudissements)
									","
											(Applaus)
									","
											(Aplausos)
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											Today, there are six surviving species,
and they fall into two groups.
											You've got your Bradypus
three-toed sloths,
											they're the ones with the Beatles haircuts
and the Mona Lisa smiles.
											Then, there are the two-toed sloths.
											They look a little bit more like a cross
between a Wookiee and a pig.
											They live in the jungles
of Central and South America,
											and they're extremely prolific.
											There was a survey
that was done in the 1970s
											in a Panamanian tropical forest
											that found that sloths were the most
numerically abundant large animal.
											They took up one quarter
of the mammalian biomass.
											Now, that's an awful lot of sloths
											and suggests they're doing
something very right indeed.
									","
											Bugün ise sağ kalan altı türü var
ve iki gruba ayrılıyorlar.
											Bradypus üç parmaklı tembel hayvanlar;
											Beatles saç kesimi
ve Mona Lisa gülümsemesi olanlar.
											Bir de iki parmaklı tembel hayvanlar var.
											Bir Wookiee ve bir domuz arasında
bir şeye benziyorlar.
											Orta ve Güney Amerika
ormanlarında yaşıyorlar
											ve aşırı derecede ürüyorlar.
											1970'lerde
bir Panama tropikal ormanında
											bir araştırma yapıldı
											ve tembel hayvanların sayıları en fazla
büyük hayvan oldukları gösterildi.
											Memeli biyolojik kütlesinin
bir çeyreğini oluşturuyorlar.
											Bu gerçekten çok fazla tembel hayvan demek
											ve bir şeyleri gerçekten
doğru yaptıklarını gösteriyor.
									","
											Aujourd'hui, six espèces survivent
et se divisent en deux groupes.
											Vous avez vos bradypus,
ou paresseux tridactyles,
											c'étaient ceux avec les coupes des Beatles
et le sourire de Mona Lisa.
											Puis il y a les paresseux didactyles.
											Ils ressemblent un peu plus
											à un croisement
entre un wookie et un cochon.
											Ils vivent dans les jungles
d'Amérique centrale et du Sud
											et sont très féconds.
											Une étude réalisée dans les années 70
											dans une forêt tropicale panaméenne
											a découvert que le paresseux
était l'animal de grande taille
											le plus abondant
d'un point de vue numérique.
											Ils représentaient un quart
de la biomasse mammalienne.
											C'est une très grande
quantité de paresseux
											et cela suggère qu'ils font
les choses correctement.
									","
											Heute existieren noch 6 Arten,
die in 2 Gruppen geteilt werden.
											Es gibt die Bradypus,
Dreifinger-Faultiere.
											Das sind die mit der Beatles-Frisur
und dem Mona Lisa-Lächeln.
											Und es gibt die Zweifinger-Faultiere.
											Die sehen aus wie eine Kreuzung
aus Wookie und Schwein.
											Sie leben im Dschungel
von Zentral- und Südamerika
											und sind extrem produktive Tiere.
											1970 führte man im tropischen Regenwald
von Panama eine Studie durch:
											Von den großen Tieren
waren Faultiere am häufigsten vertreten.
											Sie bildeten ein Viertel
der Biomasse aller Säugetiere dort.
											Das sind furchtbar viele Faultiere
und lässt vermuten,
											dass sie irgendwas sehr richtig machen.
									","
											Hoje, há seis espécies sobreviventes,
que se enquadram em dois grupos.
											Temos o ""Bradypus""
— as preguiças de três dedos —
											são as que têm o corte de cabelo à Beatles
e o sorriso da Mona Lisa.
											Depois, há as preguiças de dois dedos.
											Elas parecem um pouco uma mistura
entre um Wookiee e um porco.
											Elas vivem nas selvas
da América Central e do Sul,
											e são extremamente prolíficas.
											Houve um levantamento
na década de 1970
											na floresta tropical panamiana
											que descobriu que as preguiças
eram o grande animal mais abundante.
											Elas ocupavam um quarto
da biomassa mamífera.
											Isso são mesmo muitas preguiças
											e sugere que elas estão a fazer
alguma coisa realmente muito certa.
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											So what if, rather than deriding
the sloth for being different,
											we tried to learn from it instead?
									","
											O hâlde, farklı olduğu için
tembel hayvanı lekelemek yerine
											ondan bir şeyler öğrensek diyorum?
									","
											Et si, au lieu de ridiculiser
le paresseux car il est différent,
											nous essayions plutôt d'apprendre de lui ?
									","
											Was wäre, wenn wir, statt uns
über die Faultiere lustig zu machen,
											von ihnen zu lernen versuchen?
									","
											Então, e se em vez de denegrirmos
a preguiça por ser diferente,
											tentássemos aprender com ela?
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											We humans are obsessed with speed.
											Busyness is a badge of honor,
											and convenience trumps quality
in our quest for quick.
											Our addiction to the express life
is choking us and the planet.
											We idolize animals like the cheetah,
the ""Ferrari of the animal kingdom,""
											capable of doing naught to 60
in three seconds flat.
											Well, so what?
									","
											Biz insanlar hız konusunda takıntılıyız.
											Meşguliyet bir onur nişanı olmuş
											çabukluk arayışımızda
uygunluk kalitenin yerini almış.
											Bu hızlı hayata olan bağımlılığımız
bizi de gezegeni de boğuyor.
											Çita gibi hayvanları idol yapıyoruz,
''Hayvanlar âleminin Ferrarisi,''
											üç saniyede 25 km hıza çıkıyor.
											Ee, ne olmuş yani?
									","
											Nous, les humains,
sommes obsédés par la vitesse.
											Être occupé est une distinction
											et la commodité l'emporte sur la qualité
dans notre quête du rapide.
											Notre addiction à une vie rapide
nous étouffe, nous et la planète.
											Nous idolâtrons des animaux
comme le guépard,
											« la Ferrari du monde animal »,
											capable de passer de zéro
à 60 km/h en trois secondes.
											Et alors ?
									","
											Menschen sind besessen
von Geschwindigkeit.
											Beschäftigtsein gehört zum guten Ton
											und Komfort geht über Qualität
bei unserem Streben nach Schnelligkeit.
											Unsere Sucht nach Geschwindigkeit
schadet uns und dem Planeten.
											Wir idealisieren Tiere wie den Geparden
als den ""Ferrari des Tierreichs"",
											von 0 auf 100 in nur drei Sekunden.
											Na und?
									","
											Nós, humanos,
somos obcecados com a velocidade.
											A ocupação é uma questão de honra,
											e a conveniência proclama a qualidade
na nossa busca pela rapidez.
											A nossa adição numa vida veloz
está a chocar-nos a nós e ao planeta.
											Idolatramos animais como a chita,
o ""Ferrari do mundo animal"",
											capaz de atingir de 0 a 60
em apenas três segundos.
											Então... e depois?
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Rires)
									","
											(Gelächter)
									","
											(Risos)
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											(Applause)
									","
											(Alkışlar)
									","
											(Applaudissements)
									","
											(Applaus)
									","
											(Aplausos)
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											So what?
											The sloth, on the other hand,
											can reach a leisurely 17 feet a minute
											with the wind behind it.
									","
											Ne olmuş yani?
											O zaman tembel hayvan da
											dakikada beş metre katediyor,
											rüzgârı da arkasına alıyor.
									","
											Et alors ?
											Les paresseux, de l'autre côté,
											peuvent atteindre un tranquille
cinq mètres par minute
											avec le vent de dos.
									","
											Was solls?
											Das Faultier dagegen schafft
entspannte 5 Meter die Minute —
											mit Rückenwind.
									","
											E depois?
											A preguiça, por sua vez,
											consegue alcançar com calma
5,18 m por minuto,
											com o vento por detrás.
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Rires)
									","
											(Gelächter)
									","
											(Risos)
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
