pt,en,fr,tr,de,title,speaker,duration,tags
"
											No início de cada aula,
o professor chamava alguém
											para apresentar o caso.
											O aluno tinha de explicar o que se passava
											e ditava informações
que o professor transcrevia
											nos muitos quadros motorizados
na parte da frente da classe,
											e depois tínhamos uma discussão.
											Uma das coisas mais frustrantes
é quando terminamos o trabalho de casa,
											mas só no dia seguinte descobrimos
que fizemos um erro
											e os outros números todos
estão errados.
											E que também não podíamos
participar na aula.
											E as nossas notas baseavam-se
na participação na aula.
									","
											At the beginning of each class,
the professor would call on somebody
											to present the case.
											What they would do is
they would explain what was going on
											and then dictate information
that the professor would transcribe
											onto the many motorized blackboards
in the front of the class,
											and then we'd have a discussion.
											One of the really frustrating things
is when you've done all your homework,
											you come in the next day
only to find out that you made an error
											and all of the other numbers
you did were wrong.
											And you couldn't participate as well.
											And we were marked by class participation.
									","
											Au début de chaque classe,
le professeur appelait quelqu'un
											pour présenter le cas.
											Cette personne expliquait
ce qu'il se passait
											et dictait des informations
que le professeur transcrivait
											sur les nombreux
tableaux noirs de la classe.
											Ensuite nous en discutions.
											Une des choses vraiment frustrantes
quand on faisait ces devoirs,
											était d'arriver le matin en classe
pour découvrir une erreur de calcul,
											qui faussait tous les autres chiffres.
											Impossible de participer au débat.
											Alors que nous étions notés
sur notre participation.
									","
											Her dersin başında profesör 
birisini çağırıp
											örnek olayı sunmasını isterdi.
											Yapacakları şey, ne olduğunu açıklamak
											ve sonra hocanın tahtaya yazacağı bilgiyi
											sesli bir şekilde söylemek
											ve sonra bir tartışma yapmaktı.
											En çok can sıkan şey ise 
ödevin tamamını yaptıktan sonra
											ertesi gün bir hata yaptığınızı 
ve doğal olarak 

											diğer bütün sayıları 
yanlış yaptığınızı öğreniyorsunuz.
											Ve derse de katılamıyorsun bu yüzden.
											Ve bize derse katılımdan
not veriliyordu.
									","
											Zu Beginn jeder Vorlesung 
forderte der Professor jemanden auf,
											den Fall zu präsentieren.
											Sie erklärten den Fall
											und diktierten Informationen,
											die der Professor auf
die vielen modernen Tafeln schrieb.
											Dann haben wir diskutiertiert.
											Es war richtig frustrierend, wenn man
seine ganzen Hausaufgaben gemacht hatte,
											am nächsten Tag einen Fehler fand
											und alle anderen Zahlen dann falsch waren.
											Man konnte sich nicht beteiligen.
											Und wir wurden nach
unserer Beteiligung benotet.
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
											Ali sentado com mais 87 alunos,
eu sonhava acordado muitas vezes.
											Naquele tempo, a maioria dos programadores
trabalhava em ""mainframes"",
											criando coisas como sistemas de inventário,
folhas de pagamento e de cobranças.
											Mas eu trabalhava em processamento
de texto interativo
											e informática pessoal por encomenda.
											Em vez de pensar em impressões
e cartões perfurados,
											imaginei um quadro negro mágico
											em que, se apagássemos um número
e escrevêssemos algo novo,
											todos os outros números
mudariam também, automaticamente,
											como um processador de texto com números.
											Imaginei a minha calculadora
com um rato na parte de baixo
											e um visor à altura do olhar,
como num caça a jato.
											Eu podia digitar números,
circulá-los e apertar o botão de soma.
											Assim, bem no meio de uma negociação,
eu podia obter a resposta.
											Só precisava de transformar
esse sonho em realidade.
									","
											So, sitting there with 87 other people
in the class, I got to daydream a lot.
											Most programmers in those days
worked on mainframes,
											building things like inventory systems,
payroll systems and bill-paying systems.
											But I had worked
on interactive word processing
											and on-demand personal computation.
											Instead of thinking
about paper printouts and punch cards,
											I imagined a magic blackboard
											that if you erased one number
and wrote a new thing in,
											all of the other numbers
would automatically change,
											like word processing with numbers.
											I imagined that my calculator
had mouse hardware on the bottom of it
											and a head-up display,
like in a fighter plane.
											And I could type some numbers in,
and circle it, and press the sum button.
											And right in the middle of a negotiation
I'd be able to get the answer.
											Now I just had to take my fantasy
and turn it into reality.
									","
											Bref, parmi mes 87 collègues de classe,
j'ai souvent eu le temps de rêver.
											A l'époque la plupart des programmeurs
travaillaient sur un ordinateur central,
											construisant des systèmes d'inventaire,
de fiches de paie ou de facturation.
											J'avais bossé sur des traitements
de texte interactifs
											et de la programmation personnelle.
											Au lieu de penser à tirer des impressions
ou à des cartes perforées,
											j'imaginais un tableau magique
											qui, quand on effaçait un chiffre
et le remplaçait par un autre,
											ferait percoler ce changement
partout automatiquement,
											un traitement de texte des chiffres.
											J'imaginais que ma calculette
était équipée d'une souris
											et d'un rétro-projecteur,
comme un avion de combat.
											Je pourrais alors encoder des chiffres,
les entourer, pousser sur le bouton somme.
											Je pourrais, au milieu d'une négociation,
obtenir la réponse recherchée.
											Il ne me restait plus
qu'à concrétiser mon rêve.
									","
											Bu yüzden 87 kişinin olduğu bir sınıfta
çok defa hayallere dalıyordum.
											O günlerde çoğu programcı 
envanter sistemleri, maaş bordrosu, 

											fatura ödeme sistemleri gibi
ana bilgisayarlar üzerine çalışıyordu.
											Fakat ben interaktif kelime işlemciler
											ve istenilen kişisel ölçümleme
üzerine çalışmıştım.
											Kağıt çıktılar ve delikli kartları 
düşünmek yerine
											sihirli bir tahta hayal ettim.
											Kelime işlemcinin sayılarla olan hali gibi
											bir sayıyı silip oraya yeni bir sayı 
yazdığımızda
											bütün diğer sayılar 
otomatik olarak değişecekti.
											Hesap makinemin altında bir
fare donanımı
											ve savaş uçaklarındaki gibi 
bir baş üstü göstergesi hayal ettim,
											İçine sayıları yazabilecek, yuvarlak içine 
alabilecek ve toplam tuşuna basabilecektim.
											Ve bir görüşmenin tam ortasında 
cevabı bulabilecektim.
											Şimdi kurguladıklarımı gerçeğe
dönüştürmeliydim.
									","
											Mit 87 Leuten in der Vorlesung
hing ich vielen Tagträumen nach.
											Die meisten Programmierer arbeiteten
damals auf Großrechnern,
											wenn sie Systeme für Inventare, Gehälter
oder Zahlungen entwickelten.
											Ich arbeitete an 
interaktiver Textverarbeitung
											und an individueller
Kalkulation auf Abruf.
											Anstatt an Papierausdrucke
und an Lochkarten zu denken,
											stellte ich mir eine magische Tafel vor,
											auf der man eine Zahl löschen
und eine neue hinschreiben konnte
											und sich alle anderen Zahlen
automatisch änderten,
											wie Textverarbeitung mit Zahlen.
											Ich stellte mir vor, mein Taschenrechner
hätte unten Maus-Hardware
											und eine Frontscheibenanzeige
wie bei einem Kampfflugzeug.
											Ich könnte Zahlen eintippen, einkreisen
und den Summenknopf drücken.
											Und mitten in einer Verhandlung
könnte ich die Antwort finden.
											Jetzt musste ich meine Fantasie
nur noch in die Tat umsetzen.
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
											O meu pai ensinou-me a fazer protótipos.
											Mostrou-me maquetes
											que ele fazia para imaginar o lugar
que cada coisa ocuparia
											na página das brochuras que imprimia.
											Usava-as para receber
comentários e ""ok"" dos clientes,
											antes de enviar o trabalho
para a impressora.
											O facto de criarmos uma versão simples
e funcional do que estamos a criar
											obriga-nos a descobrir
problemas fundamentais.
											E permite-nos encontrar soluções
para esses problemas, de forma mais barata.
									","
											My father taught me about prototyping.
											He showed me mock-ups
											that he'd make to figure out
the placement on the page
											for the things for brochures
that he was printing.
											And he'd use it
to get feedback from customers
											and OKs before he sent the job
off to the presses.
											The act of making a simple, working
version of what you're trying to build
											forces you to uncover key problems.
											And it lets you find solutions
to those problems much less expensively.
									","
											Mon père m'avait appris
à faire du prototypage.
											Il m'avait montré des maquettes
											qu'il créait pour visualiser
la mise en page
											des éléments de brochures
qu'il devait imprimer.
											Il utilisait les maquettes
pour les montrer à ses clients
											et obtenir leurs retours
avant d'envoyer le bon à tirer.
											En créant des versions simplifiées
de ce qu'on souhaite créer,
											on découvre obligatoirement
des problèmes cruciaux.
											Ce qui permet de leur trouver
des solutions moins coûteuses.
									","
											Babam bana prototip yapmayı
öğretmişti.
											Bana bastığı broşürlerdeki şeylerin
											sayfadaki yerlerini 
nasıl halledeceğini gösteren
											maketleri gösterdi.
											Bunu müşterilerinden
geri bildirim alabilmek
											ve işi baskıya vermeden önce 
onay almak için kullanırdı.
											Yapmaya çalıştığınız şeyin basit, 
işleyen versiyonu yapmak
											sizi asıl problemleri 
ortaya çıkarmaya zorluyor.
											Ve bu problemlerin çözümünü 
çok daha ucuza bulmanıza olanak tanıyor.
									","
											Mein Vater brachte mir 
etwas über Prototypen bei.
											Er zeigte mir einige Modelle, 
die er gemacht hatte,
											um Platzierungen auf einer Druckseite
von Broschüren zu testen.
											Er benutzte sie auch, um Rückmeldungen
von Kunden zu erhalten,
											und Freigaben vor dem finalen Druck.
											Der Schritt, eine einfache Arbeitsversion
von deiner Vorstellung zu machen,
											zwingt einen dazu,
zentrale Probleme zu sehen.
											So findet man Lösungen
mit viel weniger Aufwand.
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
											Foi aí que decidi fazer um protótipo.
											Fui a um terminal de vídeo ligado
ao sistema de rede da Harvard
											e comecei a trabalhar.
											Um dos primeiros problemas
que me surgiram
											foi como representar valores em fórmulas.
											Vou explicar o que quero dizer.
											Pensei que podíamos apontar
para qualquer lado, digitar palavras,
											depois digitar noutro lugar qualquer,
											incluir números e mais números,
e apontar para onde queríamos a resposta.
											Depois, apontar para o primeiro,
pressionar 'menos',
											apontar para o segundo
e obter o resultado.
											O problema era:
O que devia pôr na fórmula?
											Tinha de ser algo que o computador
pudesse entender
											e, se olhássemos para a fórmula,
											pudéssemos saber a que parte
no ecrã ela se referia.
											A primeira coisa em que pensei
foi como um programador a faria.
											A primeira vez que apontássemos
para algum lado,
											o computador pediria
para escrever um nome especial.
											Depressa percebi
que isso seria demasiado aborrecido.
											O computador tinha que imaginar o nome
											e colocá-lo, automaticamente.
											Então pensei: ""Porque não fazê-lo
conforme a ordem em que os criamos?""
											Tentei isso. Valor 1, valor 2.
											Mas depressa percebi que,
se houvesse muitos valores,
											jamais nos lembraríamos
em que lugar as coisas estavam no ecrã.
									","
											So I decided to build a prototype.
											I went to a video terminal connected to
Harvard's time-sharing system
											and got to work.
											One of the first problems
that I ran into was:
											How do you represent values in formulas?
											Let me show you what I mean.
											I thought that you would point somewhere,
											type in some words,
then type in some somewhere else,
											put in some numbers and some more numbers,
point where you want the answer.
											And then point to the first, press minus,
point to the second,
											and get the result.
											The problem was:
What should I put in the formula?
											It had to be something
the computer knew what to put in.
											And if you looked at the formula,
											you needed to know
where on the screen it referred to.
											The first thing I thought was
the programmer way of doing it.
											The first time you pointed to somewhere,
											the computer would ask you
to type in a unique name.
											It became pretty clear pretty fast that
that was going to be too tedious.
											The computer had to automatically
make up the name and put it inside.
											So I thought, why not make it be
the order in which you create them?
											I tried that. Value 1, value 2.
											Pretty quickly I saw
that if you had more than a few values
											you'd never remember
on the screen where things were.
									","
											J'ai donc décidé de créer un prototype.
											Je me suis assis devant un terminal
du système de temps partagé de Harvard
											et je me suis mis au travail.
											Un de mes premiers problèmes
fut celui-ci :
											Comment représenter
des valeurs dans les formules ?
											Je vais vous expliquer.
											Je pensais ainsi : je pointe un endroit,
											j'y écris quelques mots,
et j'écris autre chose ailleurs,
											j'ajoute un nombre et un nombre ailleurs,
je pointe un endroit pour la réponse,
											je pointe sur le premier,
ensuite sur le moins, je pointe le second
											et j'obtiens le résultat.
											Voici mon problème :
Que faut-il écrire dans la formule ?
											Ça devait être
compréhensible par l'ordinateur.
											En lisant la formule,
											il fallait savoir quels étaient
ses référents sur l'écran.
											Ma première idée fut d'organiser ça
comme un programmeur.
											Au moment de pointer un endroit,
											l'ordinateur nous demande
de taper un nom unique.
											C'est clair que ce système
allait vite devenir trop fastidieux.
											Il fallait que l'ordinateur
crée un nom automatiquement et l'assigne.
											Ensuite, je me suis proposé de les nommer
selon leur ordre d'écriture.
											J'ai essayé ça. Valeur 1, valeur 2.
											Je me suis aperçu qu'avec
quelques valeurs supplémentaires,
											j'allais oublier
quels étaient les référents.
									","
											Bu yüzden bir prototip yapmaya 
karar verdim.
											Harvard'ın zaman paylaşımlı sistemine 
bağlı bir görümlük uçbirime girdim
											ve çalışmaya başladım.
											Karşılaştığım ilk problemlerden 
biri şuydu:
											Değerler nasıl formüllerle gösterilecek?
											Ne demek istediğimi göstereyim.
											Bir yeri işaretleyeceksiniz,
											bazı kelimeler yazacaksınız ve sonra 
başka yerlere de yazacaksınız,
											bazı sayılar ve başka diğer sayılar, 
cevabı istediğiniz yeri işaretleyin.
											Ve sonra ilkini işaretleyin, 
eksiye basın,ikinciyi işaretleyin,
											ve sonucu elde edin.
											Problem şuydu.
Formüle neyi koymalıyım?
											
Bilgisayarın ne konulacağını 
bildiği bir şey olmalıydı bu.
											Ve formüle baktığında,
											ekranda onun neye karşılık geldiğini 
bilmen gerekecek.
											İlk düşündüğüm şey olaya bir programcı
gözüyle bakmaktı.
											Bir yere ilk defa tıkladığınızda,
											bilgisayar size bir ad 
yazmanızı isteyecekti.
											Bunun çok zahmetli olacağı 
hemen anlaşılmıştı.
											Bilgisayar otomatik olarak
adı tamamlamalı ve oraya girmeliydi.
											Bu yüzden ""Niçin onu oluşturduğumuz sırada
bunu yapmayalım ki?"" diye düşündüm.
											Ve bunu denedim. Değer 1, değer 2.
											Çabucak gördüm ki elinizde 
bir kaç değerden daha fazla varsa,
											bu şeylerin ekranın neresinde olduğunu 
hiç bir zaman hatırlamayacaktınız.
									","
											Also beschloss ich,
einen Prototypen zu bauen.
											Ich verwendete eine Verbindung
zu Harvards Mehrbenutzersystem
											und begann zu arbeiten.
											Ein erstes Probleme war:
											Wie stellt man Werte und Formeln dar?
											Ich meine Folgendes.
											Ich dachte, man würde irgendwohin zeigen,
											dort einige Worte eintippen, 
woanders auch noch,
											einige Zahlen eingeben, 
und anzeigen, wohin die Antwort soll.
											Dann auf die erste zeigen, Minus drücken,
auf die zweite zeigen,
											und das Ergebnis erhalten.
											Das Problem war: Was sollte ich
in die Formel schreiben?
											Der Computer musste wissen,
was einzusetzen war.
											Beim Blick auf die Formel
											musste man erkennen, worauf man sich
auf dem Bildschirm bezog.
											Zuerst wollte ich es 
wie ein Programmierer machen.
											Wenn man erstmals auf etwas zeigte,
											würde der Computer
einen eindeutigen Namen abfragen.
											Es wurde schnell klar,
dass das zu mühsam war.
											Der Computer müsste automatisch
den Namen generieren und eingeben.
											Warum nicht nach der Reihenfolge
des Anlegens vorgehen?
											Das versuchte ich. Wert 1, Wert 2.
											Ich sah sehr schnell,
dass man sich bei mehreren Werten
											nie an den Platz auf dem Bildschirm
erinnern würde.
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
											Então pensei: ""Em vez de os colocarmos
em qualquer lugar,
											""porque não restringi-los a uma grelha?""
											Apontaríamos para uma célula,
											e o computador consideraria
a linha e a coluna como um nome.
											Se fizesse essa grelha como um mapa
com ""ABC"" no topo e usasse números de lado,
											quando víssemos ""B7"" numa fórmula,
											saberíamos exatamente
onde ela estava no ecrã.
											Se tivéssemos de digitar a fórmula,
saberíamos o que fazer.
											Restringir a digitação a uma grelha
ajudou-me a resolver o problema.
											Também abriu novas possibilidades,
como ter grupos de células.
											Mas não era demasiado restritivo.
											Ainda podíamos inserir qualquer valor
em qualquer fórmula, em qualquer célula.
											É isso que fazemos ainda hoje,
quase 40 anos depois.
									","
											Then I said, why not instead of
allowing you to put values anywhere,
											I'll restrict you to a grid?
											Then when you pointed to a cell,
											the computer could put
the row and column in as a name.
											And, if I did it like a map and put ABC
across the top and numbers along the side,
											if you saw B7 in a formula,
											you'd know exactly
where it was on the screen.
											And if you had to type the formula
in yourself, you'd know what to do.
											Restricting you to a grid
helped solve my problem.
											It also opened up new capabilities,
like the ability to have ranges of cells.
											But it wasn't too restrictive —
											you could still put any value,
any formula, in any cell.
											And that's the way we do it to this day,
almost 40 years later.
									","
											Alors j'ai pensé que, au lieu de pouvoir
positionner ses valeurs n'importe où,
											je pourrais délimiter un maillage.
											Dans ce cas, on pointe une cellule
											et l'ordinateur lui assigne comme nom
sa ligne et sa colonne.
											Et si je fais apparaître l'alphabet
en abscisse et des chiffres en ordonnée,
											quand vous visualisez B7 dans une formule,
											vous savez précisément
sa localisation sur l'écran.
											Si vous devez taper une formule,
vous savez comment faire.
											Délimiter un maillage m'a aidé
à résoudre mon problème.
											Ça ouvrait aussi de nouvelles capacités,
comme la sélection de plusieurs cellules.
											Mais ce n'est pas trop contraignant
											car on peut taper n'importe quelle valeur
ou formule, dans toutes les cellules.
											On fait toujours ainsi aujourd'hui,
40 ans plus tard.
									","
											Sonra dedim ki, değerleri herhangi bir 
yere koymana imkan vermek yerine,
											olayı neden ızgarayla
sınırlandırmayayım ki?
											Sonra bir hücreyi işaretlediğinde,
											bilgisayar sırayı ve sütunu aynı 
bir isim olarak koyabilirdi.
											Ve bunu bir harita gibi yapsam, ve 
en yukarıya ABC ve yanına sayıları koysam,
											formülde B7 gördüğünde
											ekranda tam olarak 
nerede olduğunu görecektin.
											Eğer formülü kendin yazmak zorunda
kalsan, ne yapılacağını bilirdin.
											Kullanıcıyı ızgarayla sınırlandırmak
problemi çözmeme yardımcı oldu.
											Bu ayrıca hücre aralıklarına sahip 
olmak gibi yeni yetenekler geliştirdi.
											Fakat bu çok sınırlayıcı değildi —
											hâlâ herhangi bir hücreye herhangi bir
değer ve formül koyabiliyordun.
											Nerdeyse 40 yıl sonra bile 
bu işi böyle yapıyoruz.
									","
											Ich überlegte, stattdessen 
Werte überall zuzulassen.
											Die Begrenzung wäre ein Raster.
											Wenn man auf eine Zelle zeigt,
											könnte der Computer die Zeile
und Spalte als Namen vergeben.
											Wenn wie bei einer Landkarte oben ""ABC""
und senkrecht Zahlen stehen würden,
											und würde man B7
dann in einer Formel sehen,
											würde man die Stelle
auf dem Bildschirm genau finden.
											Man könnte die Formel sehr einfach
selbstständig eingeben.
											Die Begrenzung auf ein Raster half mir,
das Problem zu lösen.
											Es eröffnete auch neue Möglichkeiten,
z. B. Bereiche von Zellen.
											Es war nicht zu restriktiv —
											man konnte immer noch jeden Wert
und jede Formel in jede Zelle schreiben.
											Und so machen wir es heute noch,
fast 40 Jahre später.
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
											O meu amigo Bob e eu decidimos
construir juntos esse produto.
											Eu trabalhei mais focado em descobrir
como se comportaria o programa.
											Escrevi um cartão de referência,
como documentação
											que me ajudou a garantir
que a interface de utilizador
											que eu estava a definir,
											podia ser explicada de forma
concisa e clara a qualquer pessoa.
											Bob trabalhava no sótão do apartamento
que alugara em Arlington, Massachussets.
											O interior do sótão era assim.
											Bob comprou tempo
no Multics System do MIT
											para codificar num terminal como este.
											Depois carregou versões de teste
num Apple II emprestado,
											através de uma linha telefónica
com um acoplador acústico,
											e depois fizemos testes.
									","
											My friend Bob and I decided that we were
going to build this product together.
											I did more work figuring out exactly
how the program was supposed to behave.
											I wrote a reference card
to act as documentation.
											It also helped me ensure
that the user interface I was defining
											could be explained concisely
and clearly to regular people.
											Bob worked in the attic of the apartment
he rented in Arlington, Massachusetts.
											This is the inside of the attic.
											Bob bought time on the MIT Multics System
											to write computer code
on a terminal like this.
											And then he would download test versions
to a borrowed Apple II
											over a phone line
using an acoustic coupler,
											and then we would test.
									","
											Avec mon ami Bob, nous avons décidé
de construire ce produit ensemble.
											J'ai aussi travaillé pour comprendre
comment le programme devait se comporter.
											J'ai développé une carte de référence
à titre de documentation.
											Ça m'a permis de vérifier
que l'interface que je développais
											pouvait être expliquée de manière concise
et claire à des gens normaux.
											Bob a travaillé dans le grenier
de son appartement, à Arlington.
											En voici une photo.
											Bob a acquis du temps
sur le Multics du MIT,
											pour écrire les codes,
sur un terminal comme celui-ci.
											Il téléchargeait des versions tests
sur un Apple II emprunté,
											via une ligne téléphonique,
avec un coupleur acoustique,
											et ensuite il testait.
									","
											Arkadaşım Bob ve ben bu ürünü
birlikte üretmeye karar verdik.
											Programın tam olarak nasıl çalışması
gerektiği ile alakalı biraz daha çalıştım.
											Belge yerine geçecek bir
formül çizelgesi yazdım.
											Bu bana ayrıca tarifini yaptığım 
kullanıcı arayüzün avam tabakaya
											az ve öz olarak anlatabileceğinden
emin olmama yardımcı oldu.
											Bob, Arlington, Massachusetts'te 
kiraladığı dairenin çatı katında çalıştı.
											İşte bu çatı katının içi.
											Bob, MIT Multics Sisteminde 
bunun gibi bir terminalde
											bilgisayar kodu yazmak için
biraz zaman kazandı.
											Ve sonra ödünç alınan bir Apple II'ye 
deneme sürümünü
											bir akustik bağlayıcı kullanarak 
bir telefon hattı üzerinden indirecek
											ve biz test edecektik.
									","
											Mein Freund Bob und ich wollten
das Produkt gemeinsam erstellen.
											Ich wollte herausfinden,
wie sich das Programm verhalten sollte.
											Ich schrieb eine Referenzkarte
als Dokumentation.
											Es half mir auch dabei, 
dass die entwickelte Benutzeroberfläche
											normalen Menschen präzise
und klar erklärt werden konnte.
											Bob arbeitete auf dem Dachboden
der Wohnung in Arlington, Massachusetts.
											Das ist der Dachboden von innen.
											Bob kaufte Zeit
auf dem MIT Multics-System,
											um ein Programm auf einem
solchen Endgerät zu schreiben.
											Dann hat er Testversionen auf einen
geliehenen Apple II heruntergeladen,
											über die Telefonleitung
mit einem Akustikkoppler.
											Dann haben wir es getestet.
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
											Para um desses testes, preparei
um caso sobre o Pepsi Challenge.
											A impressão ainda não funcionava,
e tive de copiar tudo.
											O ""guardar"" também não funcionava
por isso, sempre que falhava,
											eu perdia tudo e tinha de digitar
todas as fórmulas novamente.
											No dia seguinte, na aula, levantei a mão
fui chamado, e apresentei o caso.
											Fiz projeções de cinco anos,
e todo tipo de cenários diferentes.
											Foi um sucesso. O VisiCalc já era útil.
									","
											For one of these tests I prepared
for this case about the Pepsi Challenge.
											Print wasn't working yet,
so I had to copy everything down.
											Save wasn't working,
so every time it crashed,
											I had to type in all of the formulas
again, over and over again.
											The next day in class, I raised my hand;
I got called on, and I presented the case.
											I did five-year projections.
I did all sorts of different scenarios.
											I aced the case.
VisiCalc was already useful.
									","
											Pour un de mes tests,
j'ai utilisé le cas du Pepsi Challenge.
											On ne pouvait pas encore imprimer,
je prenais donc note de tout.
											On ne pouvait pas sauvegarder.
A chaque crash,
											je devais retaper toutes les formules.
											Le lendemain, j'ai levé la main au cours.
On m'a désigné et j'ai présenté le cas.
											J'avais préparé une projection
sur 5 ans avec pleins de scénarios.
											Je les ai complètement bluffés.
VisiCalc était déjà utile.
									","
											Bu testlerden biri için Pepsi 
örnek olayını hazırladım.
											Yazıcı henüz çalışmıyordu, bu yüzden 
her şeyi elle yazmak zorunda kaldım.
											Kaydetme tuşu çalışmıyordu, bu yüzden
ve sürekli bozuluyordu.
											Formülleri tekrar tekrar girmem gerekti.
											Bir sonraki gün sınıfta, elimi kaldırdım;
hoca beni çağırdı ve örnek olayı sundum.
											Beş yıllık tahminleri hesaplamıştım.
Bütün farklı senaryoları hazırlamıştım.
											Sunumdan mükemmel bir sonuç aldım.
VisiCalc faydalı olmuştu bile.

									","
											Für einen dieser Tests nutzte ich
den Fall über den Pepsi-Wettstreit.
											Das Drucken funktionierte noch nicht,
also musste ich alles übertragen.
											Speichern funktionierte nicht.
											Also musste ich nach jedem Absturz
alle Formeln immer wieder neu eingeben.
											Am nächsten Tag hob ich die Hand
und durfte den Fall präsentieren.
											Ich lieferte eine Fünf-Jahres-Prognose
und viele verschiedene Szenarien.
											Ich schnitt glänzend ab.
VisiCalc war bereits nützlich.
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
											O professor perguntou: 
""Como é que você fez isso?""
											Eu não queria revelar-lhe
o nosso programa secreto.
									","
											The professor said, ""How did you do it?""
											Well, I didn't want to tell him
about our secret program.
									","
											Le professeur m'a demandé
comment j'avais fait.
											Je ne voulais pas lui dévoiler
notre programme secret.
									","
											Profesör, ""Bunu nasıl yaptın?"" dedi.
											Tabi ben ona gizli programımızdan 
bahsetmek istemedim.
									","
											Der Professor fragte:
""Wie hast du das gemacht?""
											Ich wollte ihm nicht von unserem
geheimen Programm erzählen.
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
											(Risos)
									","
											(Laughter)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Lachen)
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
											Então disse: ""Agarrei nisto
e adicionei isto,
											""multipliquei por isto e subtraí àquilo"".
									","
											So I said, ""I took this and added this
											and multiplied by this
and subtracted that.""
									","
											Je lui ai dit que j'avais additionné
ça à ça, et multiplié par ça et retiré ça.
									","
											Dedim ki: ""Bunu ve şunu aldım,
											sonra bununla çarptım 
ve bundan çıkardım.""
									","
											Ich sagte: ""Ich nahm das und addierte das
											und multiplizierte mit dem
und zog das ab.""
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
