en,pt,de,fr,tr,title,speaker,duration,tags
"
","
","
","
","
",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
											So when we said goodbye that night,
											I realized he had also shown me
											the secret point of travel,
											which is to take a plunge,
											to go inwardly as well as outwardly
											to places you would never go otherwise,
											to venture into uncertainty,
											ambiguity,
											even fear.
									","
											Quando nos despedimos, naquela noite,
											percebi que ele também me tinha apontado
											o sentido secreto de viajar,
											que é arriscar,
											irmos, tanto interior como exteriormente,
											a locais onde nunca iríamos
de outra forma,
											aventurarmo-nos na incerteza,
											na ambiguidade,
											até mesmo no medo.
									","
											Als wir uns in
jener Nacht verabschiedeten,
											wurde mir bewusst,
											dass er mir auch den geheimen Sinn
des Reisens gezeigt hatte,
											nämlich einzutauchen,
											sich dem Inneren 
wie dem Äußeren zuzuwenden,
											Orte zu besuchen, die man
sonst nie besuchen würde,
											sich in die Unsicherheit vorzuwagen,
											in die Zweideutigkeit
											oder sogar in die Angst.
									","
											Quand nous nous sommes dit
au revoir cette nuit,
											j'ai réalisé qu'il m'avait aussi montré
											le but caché du voyage,
											qui est de se jeter à l'eau,
											d'inspecter l'intérieur comme l'extérieur,
											d'aller à des endroits
où l'on n'irait jamais autrement,
											de s'aventurer dans l'incertitude,
											l’ambiguïté
											et même la peur.
									","
											Vedalaştığımız gece
											bana seyahatin püf noktasını
											gösterdiğini de fark ettim;
											dışa olduğu kadar
											içe doğru,
											başka türlü hiç gidemediğiniz
yerlere gitmek,
											belirsizliği,
											bilinmezliği,
											hatta korkuyu göze almaktı.
									",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
","
","
","
","
",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
											At home, it's dangerously easy
											to assume we're on top of things.
											Out in the world, you are reminded
every moment that you're not,
											and you can't get to the bottom
of things, either.
									","
											Na nossa terra, é perigosamente fácil
											presumir que controlamos
os acontecimentos.
											Lá fora, no mundo, somos continuamente
recordados que não é assim,
											mas também não conseguimos
compreender os acontecimentos.
									","
											Zu Hause ist es sehr leicht,
											davon auszugehen, 
dass wir alles im Griff haben.
											Draußen in der Welt wird man ständig
daran erinnert, dass dem nicht so ist,
											und man kann den Dingen auch nicht
auf den Grund gehen.
									","
											À la maison, il est dangereusement facile
											d'assumer que l'on maîtrise tout.
											Lâché dans le monde réel, on vous rappelle
à chaque instant que ce n'est pas le cas
											et vous ne pouvez pas aller
au fond des choses non plus.
									","
											Kendi ülkemizde olayların
											üstünde olduğumuzu sanmak
korkunç kolaydır.
											Dış dünyada ise, öyle olmadığı
her an hatırlatılır
											ve olayların temelini dahi bulamazsınız.
									",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
","
","
","
","
",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
											Everywhere, ""People wish to be settled,""
											Ralph Waldo Emerson reminded us,
											""but only insofar
as we are unsettled
											is there any hope for us.""
									","
											Por toda a parte,
""As pessoas querem instalar-se"",
											lembrou-nos Ralph Waldo Emerson,
											""mas só na medida
em que não estamos instalados
											""é que há esperança para nós"".
									","
											Überall ""möchten Menschen perfekt sein"",
											erinnert uns Ralph Waldo Emerson,
											""aber nur soweit wir unsicher sind,
											gibt es Hoffnung für uns.""
									","
											Partout, « Les gens veulent s'installer. »
											Ralph Waldo Emerson nous rappelle que :
											« Ce n'est que
lorsque l'on est déstabilisé
											qu'il y a de l'espoir pour nous. »
									","
											Ralph Waldo Emerson'un 
dediği şeyi hatırlayalım:
											""İnsanlar kararlı olmak ister,
											ancak yalnız, kararsız olduğumuzda
											bizim için bir umut vardır.""
									",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
","
","
","
","
",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
											At this conference,
we've been lucky enough
											to hear some exhilarating
new ideas and discoveries
											and, really, about all the ways
											in which knowledge is being
pushed excitingly forwards.
											But at some point, knowledge gives out.
											And that is the moment
											when your life is truly decided:
											you fall in love;
											you lose a friend;
											the lights go out.
											And it's then, when you're lost
or uneasy or carried out of yourself,
											that you find out who you are.
									","
											Nesta conferência, temos tido a sorte
											de ouvir ideias novas 
e descobertas arrebatadoras
											e todas as formas
											em que o conhecimento
está a avançar de forma fascinante.
											Mas a certa altura,
o conhecimento esgota-se.
											É nesse momento,
											que a nossa vida se decide realmente:
											apaixonamo-nos;
											perdemos um amigo;
											as luzes apagam-se.
											É nessa altura, quando estamos perdidos
ou incomodados, ou fora de nós
											que descobrimos quem somos.
									","
											Auf dieser Konferenz 
haben wir glücklicherweise
											von einigen anregenden neuen Ideen 
und Entdeckungen gehört.
											Es ging wirklich über alle Richtungen,
											in die das Wissen voran getrieben wird.
											Aber an einem bestimmten Punkt
versagt das Wissen.
											Das ist der Moment,
											in dem das Leben 
wirklich entschieden wird:
											man verliebt sich;
											man verliert einen Freund;
											die Lichter gehen aus.
											In diesen Momenten, wenn man sich
verloren, ruhelos oder außer sich fühlt,
											findet man heraus, wer man ist.
									","
											Au cours de cette conférence,
nous avons eu la chance
											d'entendre des idées et découvertes
nouvelles et exaltantes
											et, en réalité, sur comment
											la connaissance avance
de manière excitante.
											Mais au bout d'un moment,
la connaissance devient inutile.
											Et c'est à ce moment
											que la vie se fixe vraiment :
											vous tombez amoureux,
											vous perdez un ami,
											la lumière s'éteint.
											C'est à ce moment-là, quand
vous êtes perdu, inquiet ou abandonné,
											que vous découvrez qui vous êtes.
									","
											Bu konferansta keyif verici yeni fikirler
											ve buluşlar duyacak kadar şanslıyız,
											gerçekten de bilginin
											hızla ilerlediğini görüyoruz.
											Fakat bir noktada bilgi tükeniyor.
											İşte o an,
											hayatınızın tümüne karar verildiği andır:
											Aşık olursunuz,
											arkadaşınızı kaybedersiniz,
											karanlıkta kalırsınız.
											Kaybolduğunuz veya huzursuz olduğunuz
veya kendiniz olmadığınız o an,
											kim olduğunuzu keşfettiğiniz andır.
									",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
","
","
","
","
",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
											I don't believe that ignorance is bliss.
											Science has unquestionably made our lives
											brighter and longer and healthier.
											And I am forever grateful to the teachers
who showed me the laws of physics
											and pointed out that
three times three makes nine.
											I can count that out on my fingers
											any time of night or day.
											But when a mathematician tells me
											that minus three times
minus three makes nine,
											that's a kind of logic
that almost feels like trust.
									","
											Não creio que a ignorância
seja uma bênção.
											A ciência, sem dúvida, tornou a nossa vida
											mais luminosa, mais longa
e mais saudável.
											E estou eternamente grato aos professores
que me mostraram as leis da física
											e me ensinaram
que três vezes três são nove.
											Conto isto pelos dedos
											a qualquer hora da noite ou do dia.
											Mas, quando um matemático me diz
											que menos três, vezes menos três,
são nove.
											é um tipo de lógica
que quase parece um ato de fé.
									","
											Ich glaube nicht, dass
Unwissenheit ein Segen ist.
											Wissenschaft hat unser Leben zweifellos
											heller, länger und gesünder gemacht.
											Ich bin den Lehrern für immer dankbar,
die mir die physikalischen Gesetze gezeigt
											oder erklärt haben, 
dass drei mal drei neun ist.
											Ich kann das an meinen Fingern abzählen,
											jederzeit, Tag und Nacht.
											Aber wenn mir ein Mathematiker sagt,
											dass minus drei mal minus drei neun ist,
											ist das eine Logik, die sich fast
wie Vertrauen anfühlt.
									","
											Je ne pense pas
que l'ignorance soit bénie.
											La science a sans conteste rendu nos vies
											plus joyeuses, plus longues
et plus saines.
											Je serai toujours reconnaissant
envers ceux qui m'ont enseigné la physique
											et démontré
que trois fois trois font neuf.
											Je peux le compter sur mes doigts,
											n'importe quand.
											Mais quand un mathématicien me dit
											que -3 multiplié par -3 font 9,
											ce genre de logique
tiendrait presque de la foi.
									","
											Bilmemenin mutluluk olduğuna inanmıyorum.
											Bilim hiç tartışmasız hayatlarımızı
											daha parlak, uzun ve 
sağlıklı hale getirdi.
											Bana fizik kurallarını ve üç kere üçün 
dokuz yaptığını gösteren öğretmenlerime
											sonsuza kadar minnettarım.
											Gece veya gündüz olsun bunu
											parmak hesabıyla yapabiliyorum.
											Fakat bir matematikçi
											bana eksi üç kere eksi üçün
dokuz ettiğini söylediği an,
											mantıksal olarak sanki 
güven gibi bir şey hissettiriyor.
									",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
","
","
","
","
",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
											The opposite of knowledge, in other words,
isn't always ignorance.
											It can be wonder.
											Or mystery.
											Possibility.
											And in my life, I've found
it's the things I don't know
											that have lifted me up
and pushed me forwards
											much more than the things I do know.
											It's also the things I don't know
											that have often brought me closer
to everybody around me.
									","
											O oposto do conhecimento,
nem sempre é a ignorância.
											Pode ser a maravilha.
											Ou o mistério.
											A possibilidade.
											Na minha vida, descobri
que foram as coisas que não sei
											que me elevaram
e me fizeram avançar,
											muito mais do que as coisas que sei.
											Foram também as coisas que não sei
											que me aproximaram, muitas vezes,
de toda a gente à minha volta.
									","
											In anderen Worten: Das Gegenteil
von Wissen ist nicht immer Unwissen.
											Es kann Wunder sein.
											Geheimnis.
											Möglichkeit.
											In meinem Leben sind es
die Dinge, die ich nicht weiß,
											die mich aufgemuntert
und voran gebracht haben,
											und zwar sehr viel stärker
als die Dinge, die ich weiß.
											Oft haben mich die Dinge, 
die ich nicht weiß,
											anderen Menschen viel näher gebracht.
									","
											Autrement dit, l'opposé de la connaissance
n'est pas toujours l'ignorance.
											Ça peut être l'émerveillement.
											Ou le mystère.
											La possibilité.
											Dans ma vie, j'ai découvert
que les choses que je ne connaissais pas
											m'ont aidé et fait avancer
											bien plus que celles que je connaissais.
											Ce sont les choses que j'ignorais
											qui m'ont le plus rapproché
de mon entourage.
									","
											Bilginin zıttı, her zaman 
bilgisizlik demek değildir.
											Merak etmek olabilir.
											Ya da gizem.
											İhtimal.
											Kendi hayatımda, beni yükselten
ve ileri götüren şeylerin
											bildiğim şeylerdense 
bilmediklerim olduğunu
											fark ettim.
											Ayrıca, beni çevremdeki insanlara
											daha çok yaklaştıran da 
bilmediğim şeylerdi.
									",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
","
","
","
","
",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
											For eight straight Novembers, recently,
											I traveled every year across Japan
with the Dalai Lama.
											And the one thing he said every day
											that most seemed to give people
reassurance and confidence
											was, ""I don't know.""
									","
											Recentemente, durante oito
novembros seguidos,
											atravessei o Japão, todos os anos,
com o Dalai Lama.
											A coisa que ele dizia todos os dias
											que mais parecia dar às pessoas
tranquilidade e confiança
											era: ""Eu não sei"".
									","
											Seit fast acht Jahren
											reise ich jedes Jahr im November mit
dem Dalai Lama durch Japan.
											Jeden Tag sagte er etwas,
											das die Menschen offensichtlich am meisten
beruhigte und zuversichtlich machte:
											""Ich weiß es nicht.""
									","
											Ces huit derniers mois de novembre,
											j'ai voyagé à travers le Japon
avec le Dalaï Lama.
											Et la chose qu'il répétait tous les jours,
											qui semblait le plus rassurer
et donner confiance aux gens,
											c'était : « Je ne sais pas. »
									","
											Son sekiz yıldır kasım aylarında
											Dalai Lama'yla beraber 
Japonya'yı geziyorum.
											Her gün söylediği şeylerden birisi de
											insanlara güven ve rahatlık veren şeyin
											""Bilmiyorum."" demek olduğuydu.
									",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
","
","
","
","
",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
											""What's going to happen to Tibet?""
											""When are we ever
going to get world peace?""
											""What's the best way to raise children?""
									","
											""O que vai acontecer ao Tibete?""
											""Quando iremos conseguir
a paz mundial?""
											""Qual é a melhor forma
de educar as crianças?""
									","
											""Was wird mit Tibet passieren?""
											""Wann werden wir 
jemals Weltfrieden haben?""
											""Wie kann man Kinder am besten erziehen?""
									","
											« Que deviendra le Tibet ? »
											« Quand est-ce que la paix
arrivera dans le monde ? »
											« Comment élever un enfant
le mieux possible ? »
									","
											""Tibet'e ne olacaktı?""
											""Ne zaman dünyaya barış getireceğiz?""
											""Çocuk yetiştirmenin en iyi yolu neydi?""
									",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
","
","
","
","
",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
											""Frankly,"" says this very wise man,
											""I don't know.""
									","
											""Honestamente"", diz este homem sábio,
											""eu não sei"".
									","
											""Offen gestanden"", 
sagt dieser sehr weise Mann,
											""ich weiß es nicht.""
									","
											« Franchement, répondait
cet homme très sage,
											je ne sais pas. »
									","
											""Açıkçası..."" derdi bu bilge adam;
											""Bilmiyorum.""
									",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
","
","
","
","
",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
											The Nobel Prize-winning
economist Daniel Kahneman
											has spent more than 60 years now
researching human behavior,
											and his conclusion is
											that we are always much more confident
of what we think we know
											than we should be.
											We have, as he memorably puts it,
											an ""unlimited ability
to ignore our ignorance.""
											We know — quote, unquote — our team
is going to win this weekend,
											and we only remember that knowledge
											on the rare occasions when we're right.
											Most of the time, we're in the dark.
											And that's where real intimacy lies.
									","
											Daniel Kahneman, o economista
que ganhou o Prémio Nobel,
											passou mais de 60 anos
a investigar o comportamento humano
											e chegou à conclusão
											de que temos sempre muito mais confiança
naquilo que julgamos saber
											do que devíamos.
											Como ele disse, de forma inesquecível,

											""Temos uma capacidade ilimitada
para ignorar a nossa ignorância"".
											Temos a ""certeza"" que a nossa equipa
vai ganhar, este fim de semana
											e só nos lembramos dessa certeza
											nas raras ocasiões em que temos razão.
											Na maior parte das vezes,
estamos no escuro.
											E é aí que reside 
a verdadeira intimidade.
									","
											Der Nobelpreisträger
und Ökonom Daniel Kahneman
											hat mehr als 60 Jahre damit verbracht,
menschliches Verhalten zu untersuchen.
											Seine Schlussfolgerung lautet:
											Wir sind immer sehr viel zuversichtlicher
darüber, was wir zu wissen glauben,
											als wir es sein sollten.
											Wir haben, wie er es einprägsam sagt,
											eine ""unbegrenzte Fähigkeit,
unsere Unwissenheit zu ignorieren.""
											Wir wissen — in Anführungszeichen —,
dass unser Team dieses Wochenende gewinnt.
											Nur bei den seltenen Gelegenheiten, 
wenn wir Recht haben,
											erinnern wir uns an dieses Wissen.
											Meistens tappen wir im Dunkeln.
											Genau dort liegt die echte Vertrautheit.
									","
											L'économiste et prix Nobel,
Daniel Kahneman,
											a passé plus de 60 ans à étudier
le comportement humain
											et sa conclusion,
											c'est que nous sommes plus confiants
en ce que nous croyons savoir
											que nous devrions l'être.
											Nous avons, comme il le dit si bien,
											une « capacité illimitée
à ignorer l'ignorance ».
											Nous savons, pour le citer,
que notre équipe gagnera ce week-end
											et nous ne retenons que cela,
											les rares occasions où nous avons raison.
											La plupart du temps,
nous sommes dans les ténèbres.
											Et c'est là que se trouve
la véritable intimité.
									","
											Nobel ödüllü ekonomist Daniel Kahneman
											insan davranışlarını araştırmaya 
60 yıldan fazlasını vermiş
											ve vardığı sonuç ise
											her zaman bildiğimizi 
düşündüğümüz şeylerden
											olması gerekenden daha fazla eminiz.
											Her zaman hatırlattığı gibi
											""bilgisizliğimizi göz ardı etmek
gibi sınırsız bir yeteneğimiz"" var.
											Tırnak içinde söylüyorum,
""bu hafta sonu takımımız kazanacak""
											ve biz bu bilgiyi sadece
											haklı çıktığımız nadir
zamanlarda hatırlayacağız.
											Çoğu zaman karanlıktayız.
											Gerçek yakınlık işte orada yatar.
									",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
","
","
","
","
",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
											Do you know what your lover
is going to do tomorrow?
											Do you want to know?
									","
											Sabem o que a vossa amada
vai fazer amanhã?
											Querem saber?
									","
											Wissen Sie, was Ihr
Geliebter morgen macht?
											Wollen Sie es wissen?
									","
											Savez-vous
ce que votre amant fera demain ?
											Voulez-vous vraiment le savoir ?
									","
											Sevgilinizin yarın ne yapacağını
biliyor musunuz?
											Bilmek istiyor musunuz?
									",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
","
","
","
","
",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
