pt,en,es,fr,de,tr,title,speaker,duration,tags
"
","
","
","
","
","
",Why some people are more altruistic than others,Abigail Marsh,12:21,"brain,communication,cognitive science,community,empathy,humanity,fear,mental health,personality,science,self"
"
											As ações do homem que me salvou
											cumprem a definição
mais rigorosa do altruísmo:
											um comportamento voluntário, custoso,
											motivado pelo desejo
de ajudar outro indivíduo.
											É um ato altruísta,
que beneficia só a outra pessoa.
											Qual será a explicação de um ato destes?
											Uma resposta é a compaixão, claro,
um fator chave do altruísmo.
											Mas então a pergunta passa a ser:
											""Porque é que certas pessoas parecem
ter mais compaixão que outras?"".
											A resposta pode ser que os cérebros
das pessoas altamente altruístas
											são diferentes,
de formas profundas.
									","
											The actions of the man who rescued me
											meet the most stringent
definition of altruism,
											which is a voluntary, costly behavior
											motivated by the desire
to help another individual.
											So it's a selfless act
intended to benefit only the other.
											What could possibly
explain an action like that?
											One answer is compassion, obviously,
											which is a key driver of altruism.
											But then the question becomes,
											why do some people
seem to have more of it than others?
											And the answer may be that the brains
of highly altruistic people
											are different in fundamental ways.
									","
											Las acciones del hombre que me rescató
											cumplieron con la definición 
más estricta de altruismo,
											que es un comportamiento 
costoso y voluntario
											motivado por el deseo de ayudar 
a otra persona.
											Así que es un acto desinteresado 
para beneficiar solo al otro.
											¿Qué podría explicar una acción como esa?
											Una respuesta es la compasión, 
obviamente,
											un factor clave del altruismo.
											Pero entonces la pregunta es:
											¿por qué algunas personas parecen 
tener más de esto que otros?
											Y la respuesta puede ser que los cerebros 
de las personas altamente altruistas
											son fundamentalmente diferentes.
									","
											Les actions de l'homme m'ayant sauvée
											répondent à la définition
la plus stricte de l'altruisme
											qui est un comportement
volontaire et coûteux
											motivé par le désir
d'aider un autre individu.
											C'est un acte désintéressé
destiné uniquement à aider l'autre.
											Comment est-il possible
d'expliquer une telle action ?
											Une réponse est, bien sûr, la compassion,
											qui est un moteur clé de l'altruisme.
											Mais, alors, la question devient :
											pourquoi certains semblent-ils
en avoir plus que d'autres ?
											La réponse pourrait être que le cerveau
des personnes très altruistes
											est fondamentalement différent.
									","
											Die Tat des Mannes, der mich rettete,
											deckt sich mit der striktesten
Definition von Altruismus,
											der ein freiwilliges, mit Aufwand
verbundenes Verhalten ist,
											das durch den Wunsch begründet wird,
anderen zu helfen.
											Es ist eine selbstlose Tat mit
der Absicht, nur dem anderen zu nutzen.
											Was könnte möglicherweise
eine solche Tat erklären?
											Offensichtlich ist eine Antwort Mitgefühl,
											das der Hauptantrieb des Altruismus ist.
											Aber dann stellt sich die Frage:
											Warum manche Menschen
mehr davon haben als andere?
											Die Antwort kann vielleicht sein,

											dass die Gehirne sehr altruistischer Leute
auf grundlegende Weise anders sind.
									","
											Beni kurtaran adamın davranışları,
											fedakârlığın en katı tanımı olan
gönüllü ve maliyet de içerebilen
											ve başka bireylere yardım etme
arzusuyla motive olmak
											tanımını karşılamaktadır.
											Yani başkasının yararına yapılan
özverili bir harekettir.
											Peki böyle bir davranışı ne açıklayabilir?
											Cevaplardan birisi olan merhamet
											özverinin ana etmenlerindendir.
											O zaman soru şu oluyor:
											Neden bazıları diğerlerinden
daha merhametli gibidirler?
											Ve cevap da, ziyadesiyle
özverili kişilerin beyinlerinin
											temelde diğerlerinden
farklı olduğu olabilir.
									",Why some people are more altruistic than others,Abigail Marsh,12:21,"brain,communication,cognitive science,community,empathy,humanity,fear,mental health,personality,science,self"
"
","
","
","
","
","
",Why some people are more altruistic than others,Abigail Marsh,12:21,"brain,communication,cognitive science,community,empathy,humanity,fear,mental health,personality,science,self"
"
											Para descobrir que formas são essas,
											comecei pela outra ponta,
											com os psicopatas.
											A abordagem vulgar para entender
aspetos básicos da natureza humana
											como o desejo de ajudar os outros
											é estudar pessoas que não têm esse desejo.
											Os psicopatas estão nesse grupo.
											A psicopatia é um distúrbio
do desenvolvimento
											com origens profundamente genéticas,
											que resulta numa personalidade
fria e desinteressada
											com tendência para comportamento
antissocial e por vezes muito violento.
											Uma vez, eu e colegas do
National Institute of Mental Health
											realizámos uma das primeiras pesquisas
com imagiologia
											do cérebro de adolescentes psicopatas.
											Os nossos resultados,
e os de outros investigadores agora,
											mostraram que as pessoas
que são psicopatas
											apresentam, com grande fiabilidade,
três caraterísticas.
											Primeiro, embora não sejam insensíveis
às emoções dos outros
											são insensíveis a sinais
de que outras pessoas estão em perigo.
											Em particular,
											têm dificuldade em reconhecer
expressões faciais de medo, como esta.
											As expressões de medo transmitem
necessidade urgente e aflição emocional
											e normalmente geram compaixão
e desejo de ajudar, naqueles que as veem,
											portanto faz sentido que quem tende
a não ter compaixão
											também tenda a ser insensível
a estas expressões.
									","
											But to figure out how,
											I actually started from the opposite end,
											with psychopaths.
											A common approach to understanding
basic aspects of human nature,
											like the desire to help other people,
											is to study people
in whom that desire is missing,
											and psychopaths are exactly such a group.
											Psychopathy is a developmental disorder
											with strongly genetic origins,
											and it results in a personality
that's cold and uncaring
											and a tendency to engage in antisocial
and sometimes very violent behavior.
											Once my colleagues and I
at the National Institute of Mental Health
											conducted some of the first ever
brain imaging research
											of psychopathic adolescents,
											and our findings, and the findings
of other researchers now,
											have shown that people
who are psychopathic
											pretty reliably exhibit
three characteristics.
											First, although they're not generally
insensitive to other people's emotions,
											they are insensitive to signs
that other people are in distress.
											And in particular,
											they have difficulty recognizing
fearful facial expressions like this one.
											And fearful expressions convey
urgent need and emotional distress,
											and they usually elicit
compassion and a desire to help
											in people who see them,
											so it makes sense that people
who tend to lack compassion
											also tend to be insensitive to these cues.
									","
											Pero para encontrar la diferencia
											empecé desde el extremo opuesto,
											con psicópatas.
											Un enfoque común para la comprensión 
de los aspectos básicos
											de la naturaleza humana, como 
el deseo de ayudar a otras personas,
											consiste en estudiar personas en 
las que no se encuentra ese deseo,
											y los psicópatas son 
exactamente ese grupo.
											La psicopatía es 
un trastorno del desarrollo
											con orígenes fuertemente genéticos,
											y el resultado es una personalidad 
fría e indiferente con tendencia
											a involucrarse en comportamientos 
antisociales y, a veces, muy violentos.
											Mis colegas y yo en el Instituto 
Nacional de Salud Mental de EE.UU.
											llevamos a cabo algunas de las primeras 
investigaciones con imágenes del cerebro
											de los adolescentes psicopáticos.
											Nuestros hallazgos y los hallazgos 
de otros investigadores ahora
											han demostrado que 
las personas psicópatas
											son bastante propensas 
a presentar tres características.
											Primero, aunque no son insensibles en 
general a las emociones de otras personas,
											son insensibles a señales de que 
otras personas están en peligro.
											Y, en particular,
											tienen dificultades para reconocer 
expresiones faciales de miedo como ésta.
											Y las expresiones de miedo transmiten 
necesidad urgente y angustia emocional,
											y, por lo general, provocan 
la compasión y el deseo de ayudar
											en las personas que los ven.
											Por esta razón, las personas que 
tienden a carecer de compasión,
											también tienden a ser 
insensibles a estas señales.
									","
											Mais pour comprendre comment,
											je suis partie de l'autre extrémité :
											les psychopathes.
											Une approche pour comprendre
les aspects de la nature humaine,
											comme le désir d'aider les autres,
											est d'étudier les gens
chez qui ce désir est absent
											et les psychopathes sont exactement cela.
											La psychopathie est
un trouble du développement
											ayant des origines génétiques fortes
											et résultant en une personnalité
froide et insensible,
											une tendance à adopter des comportements
antisociaux, voire très violents.
											Mes collègues du National Institute
of Mental Health et moi
											avons conduit la première recherche
en imagerie cérébrale
											sur des adolescents psychopathes.
											Nos découvertes et celles
de recherches plus récentes
											ont montré que les gens psychopathiques
											présentent, généralement,
trois caractéristiques.
											Un, bien qu'en général ils ne soient pas
insensibles aux émotions des autres,
											ils sont insensibles
aux signaux de détresse des autres.
											En particulier,
											ils ont du mal à reconnaître
des expressions faciales de peur
											comme celle-ci.
											Les expressions de peur communiquent
											un besoin urgent,
une détresse émotionnelle
											et elles provoquent
de la compassion, un désir d'aider
											chez ceux qui les voient.
											Il est logique que les gens
qui manquent de compassion
											soient aussi insensibles à ces signaux.
									","
											Aber um herauszufinden, wie,
											fange ich genau genommen
auf der entgegengesetzten Seite an:
											bei Psychopathen.
											Ein üblicher Ansatz ist,

											um die Hauptaspekte
der menschlichen Natur zu verstehen,
											wie Hilfsbereitschaft,
											Menschen zu untersuchen,
denen diese Hilfsbereitschaft fehlt.
											Psychopathen sind genau solch eine Gruppe.
											Psychopathie ist eine Entwicklungsstörung
mit starkem genetischen Ursprung
											und mündet in eine Persönlichkeit,
die kalt und gefühllos ist,
											und dazu neigt, sich auf antisoziales

											und manchmal sehr gewalttätiges
Verhalten einzulassen.
											Als meine Kollegen und ich
vom National Institute of Mental Health
											eine der ersten Hirnforschungen
bei jugendlichen Psychopathen
											mit bildgebenden Verfahren durchführten,
											zeigten unsere Ergebnisse
und inzwischen die anderer Forscher,
											dass psychopathische Menschen
ziemlich zuverlässig drei Merkmale zeigen.
											Erstens sind sie nicht generell
unempfänglich für die Gefühle anderer,
											sind aber unempfänglich für Signale,
dass andere Menschen in Not sind.
											Insbesondere erkennen sie nur schwer
ängstliche Gesichtsausdrücke wie diesen.
											Ängstliche Gesichtsausdrücke
übermitteln Notlagen und Gefühlsnotstand
											und lösen beim Gegenüber
											üblicherweise Mitgefühl
und Hilfsbereitschaft aus.
											Es leuchtet ein, dass Menschen,
denen es an Mitgefühl mangelt,
											auch dazu neigen, unempfänglich
für diese Signale zu sein.
									","
											Bunun nasıl olduğunu çözmek için
											işe, tam tersi olan
											psikopatlarla başladım.
											Diğer insanlara yardım etme isteği gibi
											insan doğasının temel yönlerini açıklamaya
çalışmada ana yaklaşımlardan biri,
											tam da psikopatlar gibi
											bu isteğin olmadığı bir grubu çalışmak.
											Psikopatlık daha çok 
genetik kökenleri olan
											gelişimsel bir bozukluktur.
											Soğuk ve duyarsız bir kişiliktir.
											Antisosyal ve bazen çok
şiddet içeren davranışlara eğilimlidir.
											Meslektaşlarımla birlikte
Ulusal Akıl Sağlığı Enstitüsü'nde
											psikopat yetişkinlerin
beyin görselleri üzerine
											ilk araştırmayı yürüttüğümüzde,
											bizim bulgularımız ve diğer
araştırmacıların şimdiki bulguları
											psikopat insanların oldukça
tutarlı bir şekilde
											üç tür karakteristik özellik
sergilediklerini gösterdi.
											İlk olarak, diğerlerinin duygularına karşı
genelde duyarsız olmamalarına rağmen,
											sıkıntı içindeki insanların
işaretlerine karşı duyarsızdır.
											Ve özellikle
											buradaki gibi korkmuş yüz ifadelerini
tanımakta zorluk yaşarlar.
											Korkmuş ifadeler acil ihtiyaç
ve duygusal sıkıntıyı bildirir
											ve genelde bunu gören insanlarda merhamet
											ve yardım etme isteğini
ortaya çıkarırlar.
											Yani merhamet duygusu az olan insanların
											bu işaretlere karşı
duyarsız olmaları da mantıklıdır.
									",Why some people are more altruistic than others,Abigail Marsh,12:21,"brain,communication,cognitive science,community,empathy,humanity,fear,mental health,personality,science,self"
"
","
","
","
","
","
",Why some people are more altruistic than others,Abigail Marsh,12:21,"brain,communication,cognitive science,community,empathy,humanity,fear,mental health,personality,science,self"
"
											A parte mais importante do cérebro
											para reconhecer
expressões faciais de medo
											são as amígdalas cerebelosas.
											Há casos muito raros de pessoas
totalmente desprovidas destas amígdalas,
											que têm profundas limitações
no reconhecimento de expressões de medo.
											Enquanto os adultos
e as crianças saudáveis
											mostram grandes picos de atividade
das amígdalas
											quando veem expressões de medo,
											as amígdalas dos psicopatas
reagem pouco a estas expressões.
											Por vezes, não reagem de todo,
											o que pode explicar a sua dificuldade
em detetar estes sinais.
											Por último, as amígdalas dos psicopatas
são menores do que a média
											em cerca de 18% a 20%.
									","
											The part of the brain
											that's the most important
for recognizing fearful expressions
											is called the amygdala.
											There are very rare cases of people
who lack amygdalas completely,
											and they're profoundly impaired
in recognizing fearful expressions.
											And whereas healthy adults and children
											usually show big spikes
in amygdala activity
											when they look at fearful expressions,
											psychopaths' amygdalas
are underreactive to these expressions.
											Sometimes they don't react at all,
											which may be why they have
trouble detecting these cues.
											Finally, psychopaths' amygdalas
are smaller than average
											by about 18 or 20 percent.
									","
											La parte del cerebro
											más importante para reconocer 
expresiones de miedo
											se llama la amígdala.
											Hay casos muy raros de personas 
que carecen por completo de amígdala,
											y tienen profundamente deteriorado 
el reconocimiento de expresiones de miedo.
											Y mientras que los adultos y niños sanos,
											por lo general, muestran grandes 
picos en la actividad de la amígdala
											cuando ven expresiones de miedo,
											las amígdalas de los psicópatas son 
hipofuncionales ante estas expresiones.
											A veces no reaccionan en absoluto,
											lo que hace tener dificultades 
para detectar estas señales.
											Por último, las amígdalas de psicópatas 
son más pequeñas que la media
											en alrededor de 18 % o 20 %.
									","
											La partie du cerveau
											la plus importante pour reconnaître
les expressions de peur
											s'appelle l'amygdale.
											Il y a quelques rares cas de gens
n'ayant pas du tout d'amygdale
											et ils ont de fortes déficiences
pour reconnaître les expressions de peur.
											Alors que les adultes et enfants sains
											montrent en général
des pics d'activité de l'amygdale
											en voyant des expressions de peur,
											les amygdales des psychopathes
réagissent peu à ces expressions.
											Parfois, elles ne réagissent pas,
											ce qui expliquerait
leur difficulté à détecter ces signaux.
											Les amygdales des psychopathes
sont plus petites que la moyenne
											de 18% à 20%.
									","
											Der wichtigste Teil des Gehirns
für das Erkennen ängstlicher Ausdrücke
											wird Amygdala genannt.
											Es gibt sehr seltene Fälle bei Menschen,
denen die Amygdala vollständig fehlt.
											Sie sind zutiefst beeinträchtigt
beim Erkennen ängstlicher Ausdrücke.
											Während gesunde Erwachsene und Kinder
											gewöhnlich große Ausschläge
bei der Amygdala-Aktivität zeigen,
											wenn sie ängstliche Ausdrücke sehen,
											sind die Amygdalas von
Psychopathen unterreaktiv.
											Manchmal reagieren sie gar nicht,
											vielleicht weil sie Schwierigkeiten haben,
diese Signale wahrzunehmen.
											Zuletzt sind die Amygdalas
von Psychopathen
											ungefähr 18 bis 20 % kleiner
als durchschnittliche.
									","
											Beynin korku ifadelerini
											anlama konusunda en önemli kısmının adı
											amigdaladır.
											Çok ender vakalarda amigdalası
hiç bulunmayan insanlar olabiliyor
											ve bu kişiler korku ifadelerini tanıma
konusunda son derece engellidir.
											Oysa sağlıklı yetişkin ve çocuklar genelde
											korku ifadelerine baktıklarında
											amigdala aktiviteleri
hızlı bir yükseliş gösterir.
											Psikopatların amigdalaları
bu ifadelere karşı tepkisiz gibidir.
											Bazen hiç tepki vermezler.
											Bu da neden bu işaretleri
anlayamadıklarını gösterir.
											Son olarak, psikopatların amigdalaları
											ortalamaya göre yüzde 18-20 daha küçüktür.
									",Why some people are more altruistic than others,Abigail Marsh,12:21,"brain,communication,cognitive science,community,empathy,humanity,fear,mental health,personality,science,self"
"
","
","
","
","
","
",Why some people are more altruistic than others,Abigail Marsh,12:21,"brain,communication,cognitive science,community,empathy,humanity,fear,mental health,personality,science,self"
"
											Estes resultados são fiáveis e robustos,
e são muito interessantes.
											Mas o que me interessa
											não é compreender porque é que
as pessoas não têm empatia.
											É compreender porque a têm.
											A verdadeira pergunta é:
											""Poderá, o altruísmo extraordinário...""
											— que é o oposto da psicopatia
											em termos de compaixão
e do desejo de ajudar o próximo —
											""surgir num cérebro que também é
o oposto da psicopatia?"".
											Uma espécie de cérebro antipsicopata,
											que reconhece melhor
o medo nas outras pessoas,
											tem uma amígdala mais reativa
a esta expressão
											e a amígdala talvez seja
maior do que a média?
									","
											So all of these findings
are reliable and robust,
											and they're very interesting.
											But remember that my main interest
											is not understanding
why people don't care about others.
											It's understanding why they do.
											So the real question is,
											could extraordinary altruism,
											which is the opposite of psychopathy
											in terms of compassion
and the desire to help other people,
											emerge from a brain that is also
the opposite of psychopathy?
											A sort of antipsychopathic brain,
											better able to recognize
other people's fear,
											an amygdala that's more reactive
to this expression
											and maybe larger than average as well?
									","
											Todos estos hallazgos 
son fiables y robustos,
											y muy interesantes.
											Pero recuerden que mi principal interés
											no es entender por qué las personas 
no se preocupan por los demás.
											sino comprender por qué sí lo hacen.
											Así que la pregunta real es,
											¿podría el altruismo sin igual,
											que es lo contrario de la psicopatía
											en términos de compasión y 
deseo de ayudar a otras personas,
											emerger de un cerebro que es también 
lo contrario de la psicopatía?
											¿Una especie de cerebro antipsicopático,
											más capaz de reconocer 
el miedo de otras personas,
											con un amígdala 
más reactiva a esta expresión
											y tal vez más grande de lo normal?
									","
											Toutes ces découvertes
sont fiables, robustes
											et très intéressantes.
											Mais mon intérêt principal
											n'est pas de comprendre pourquoi
les gens ne s'intéressent pas aux autres
											mais pourquoi ils s'y intéressent.
											La vraie question est :
											un altruisme extraordinaire,
											qui est l'exact opposé de la psychopathie,
											en termes de compassion
et de désir d'aider les autres,
											pourrait-il émerger d'un cerveau qui est
l'opposé de celui d'un psychopathe ?
											Un genre de cerveau anti-psychopathique,
											plus capable de reconnaître
les peurs des gens,
											une amygdale plus réactive
à cette expression,
											voire plus grande que la moyenne ?
									","
											Diese ganzen Ergebnisse sind zuverlässig,
stichfest und sehr interessant.
											Aber bedenken Sie, mein Hauptinteresse
ist nicht zu verstehen,
											warum Leute sich nicht um andere sorgen.
											Es geht darum zu verstehen,
warum sie es tun.
											Die wirkliche Frage ist also,
											ob außergewöhnlicher Altruismus,
											der das Gegenteil von Psychopathie
in puncto Mitgefühl
											und Hilfsbereitschaft darstellt,
											sich aus einem Gehirn ergeben könnte,
das auch der Psychopathie entgegensteht.
											Eine Art anti-psychopathisches Gehirn,
											das besser die Angst anderer erkennt,
											eine Amygdala, die stärker
auf diesen Ausdruck reagiert
											und die im Durchschnitt
vielleicht auch größer ist?
									","
											Yani tüm bu bulgular muteber ve sağlamdır
											ve de oldukça ilginçtir.
											Ama hatırlarsanız asıl ilgi alanım
											insanların diğer insanları
neden umursamadığı değil.
											Neden umursadıklarını anlamak.
											Yani asıl soru:
											Psikopatinin tam tersi olan
											olağandışı özverililik,
											merhamet ve başkalarına yardım açısından
											psikopatik beyin yapısının
tam tersinden kaynaklanıyor olabilir mi?
											Öyle bir antipsikopat beyin ki,
											diğer insanların korkularını
daha iyi anlayabiliyor
											ve amigdalası bu ifadeye 
daha fazla tepki veriyor
											ve belki ortalamadan çok daha büyük.
									",Why some people are more altruistic than others,Abigail Marsh,12:21,"brain,communication,cognitive science,community,empathy,humanity,fear,mental health,personality,science,self"
"
","
","
","
","
","
",Why some people are more altruistic than others,Abigail Marsh,12:21,"brain,communication,cognitive science,community,empathy,humanity,fear,mental health,personality,science,self"
"
											Como a minha pesquisa agora demonstra,
											as três são verdadeiras.
											Descobrimos isto
											testando uma população de
verdadeiros altruístas extraordinários.
											Trata-se de pessoas
que doaram um dos rins
											a um perfeito desconhecido.
											São pessoas que, voluntariamente,
se submetem a cirurgias
											para que um dos seus rins saudáveis
seja removido
											e transplantado
em desconhecidos muito doentes
											que nunca conheceram
e podem nunca conhecer.
											""Porque é que alguém faria isto?"",
											é uma pergunta frequente.
											A resposta pode ser

											que os cérebros
destes altruístas extraordinários
											têm certas características especiais.
											São melhores a reconhecer o medo
das outras pessoas.
											São melhores a detetar
quando alguém está em perigo.
											Isto pode dever-se a que a sua amígdala
é mais reativa a estas expressões.
											Recordo que a amígdala
é a mesma parte do cérebro
											que descobrimos ser sub-reativa
em psicopatas.
											Finalmente, as amígdalas destas pessoas
também são maiores do que a média
											em cerca de 8%.
											Em conjunto, os dados sugerem a existência
de um contínuo de empatia no mundo
											ancorado, num lado,
pelas pessoas altamente psicóticas,
											e no outro,
pelas pessoas altamente compassivas
											e levadas a atos extremos de altruísmo.
									","
											As my research has now shown,
											all three things are true.
											And we discovered this
											by testing a population
of truly extraordinary altruists.
											These are people who have given
one of their own kidneys
											to a complete stranger.
											So these are people who have volunteered
to undergo major surgery
											so that one of their own
healthy kidneys can be removed
											and transplanted into a very ill stranger
											that they've never met and may never meet.
											""Why would anybody do this?""
is a very common question.
											And the answer may be
											that the brains of these
extraordinary altruists
											have certain special characteristics.
											They are better at recognizing
other people's fear.
											They're literally better at detecting
when somebody else is in distress.
											This may be in part because their amygdala
is more reactive to these expressions.
											And remember, this is the same part
of the brain that we found
											was underreactive
in people who are psychopathic.
											And finally, their amygdalas
are larger than average as well,
											by about eight percent.
											So together, what these data suggest
											is the existence of something
like a caring continuum in the world
											that's anchored at the one end
by people who are highly psychopathic,
											and at the other by people
who are very compassionate
											and driven to acts of extreme altruism.
									","
											Como muestra mi investigación,
											las tres cosas son ciertas.
											Y lo descubrimos
											probando una población de altruistas 
verdaderamente extraordinarios.
											Se trata de personas que han dado
sus propios riñones
											a un completo desconocido.
											Estas son las personas que se 
han ofrecido a someterse a una cirugía
											para que se les extirpe 
uno de sus propios riñones sanos
											para que sea trasplantado 
en un extraño muy enfermo
											que no conocían y que puede 
que nunca lleguen a conocer.
											""¿Por qué alguien lo hace?"" 
Es una pregunta muy común.
											Y la respuesta puede ser
											que los cerebros de estos 
altruistas extraordinarios
											tienen ciertas características especiales.
											Son mejores para reconocer 
el miedo de otras personas.
											Son, literalmente, mejor para detectar 
cuando alguien está en peligro.
											Esto puede ser porque su amígdala 
es más reactiva a estas expresiones.
											Y recuerden, esta es la misma parte 
del cerebro que vimos que
											era hipofuncional en psicópatas.
											Y, por último, sus amígdalas 
son más grandes de lo normal,
											en alrededor de un 8 %.
											Así que, lo que sugieren estos datos
											es la existencia de una continuidad 
de preocupación por el mundo
											eso está anclado en un extremo por 
personas altamente psicopáticas,
											y en el otro por las personas 
que son muy compasivas
											que las lleva a actos 
de altruismo extremo.
									","
											Comme mes recherches l'ont montré,
											ces trois choses sont vraies.
											Nous l'avons découvert
											en testant une population
de gens vraiment altruistes.
											Ce sont des gens qui ont donné
un de leurs propres reins
											à un parfait inconnu.
											Ils se sont portés volontaires
pour subir une opération majeure
											afin qu'un de leurs reins
parfaitement sain soit enlevé
											et transplanté à un inconnu très malade
											qu'ils ne rencontreront jamais.
											On demande souvent :
« Pourquoi quelqu'un ferait-il cela ? »
											La réponse pourrait être
											que le cerveau de ces gens très altruistes
											a des caractéristiques particulières.
											Ils reconnaissent mieux
la peur des autres.
											Ils détectent mieux
quand quelqu'un est en détresse.
											Cela peut être dû, en partie,
											à la réactivité accrue de leur amygdale
face à ces expressions.
											C'est la même partie du cerveau qui,
comme on l'a découvert,
											était en sous-activité
chez les psychopathes.
											Pour finir, leur amygdale
est plus grande que la moyenne
											d'environ 8%.
											Réunies, ces données suggèrent
											l'existence d'une continuité
de l'intérêt pour les autres dans le monde
											qui est ancrée, d'un côté,
par des gens très psychopathiques
											et, d'un autre côté,
par des gens très compatissants,
											poussés à des actes d'altruisme extrême.
									","
											Wie meine Forschungen jetzt zeigten,
											sind alle drei Aussagen wahr.
											Wir stellten das fest,
											indem wir eine Gruppe wahrlich
besonderer Altruisten untersuchten.
											Diese Menschen spendeten eine ihrer Nieren
einem vollkommen Fremden.
											Diese Menschen unterzogen sich freiwillig
einem chirurgischen Eingriff,
											sodass eine ihrer gesunden Nieren entfernt
											und einem sehr kranken Fremden
transplantiert werden konnte,
											den sie nie trafen und nie treffen werden.
											""Warum sollte das jemand tun?"",
ist eine sehr gängige Frage.
											Die Antwort kann sein,
											dass die Gehirne
dieser besonderen Altruisten
											bestimmte Besonderheiten aufweisen.
											Sie erkennen besser die Angst von anderen.
											Sie sind buchstäblich besser
im Erkennen von Nöten anderer.
											Das liegt vielleicht teilweise daran,

											dass ihre Amygdala stärker
auf diese Ausdrücke reagiert.
											Erinnern Sie sich,
das ist die gleiche Gehirnregion,
											die unterreaktiv bei Psychopathen war.
											Zuletzt sind ihre Amygdalas
ungefähr 8 % größer als durchschnittliche.
											Zusammengefasst deuten diese Daten an,
											dass es etwas wie ein Kontinuum
der Fürsorglichkeit auf der Welt gibt,
											dessen eine Ende
sehr psychopathische Menschen
											und dessen anderes Ende
											sehr mitfühlende Menschen bilden,
											die zu äußerst altruistischen Taten
angetrieben werden.
									","
											Araştırmalarımın gösterdiğine göre,
											bu üçü de doğru.
											Ve biz bunu
											olağandışı özverili kişileri
test ederek keşfettik.
											Bu insanlar hiç tanımadıkları
bir yabancıya
											böbreklerden birini vermiş kişilerdir.
											Bu insanlar bıçak altına yatıp
											sağlıklı bir böbreklerinin alınmasını ve
											daha önce tanışmadıkları
veya karşılaşmayacakları
											tamamen yabancı birine
nakil edilmesine gönüllü olan kişiler.
											""Bir insan bunu neden yapar ki?""
çok sık duyduğumuz bir soru.
											Cevabı da
											olağandışı özverili kişilerin beyinlerinin
											özel bir yapısının olması olabilir.
											Bu kişiler diğerlerinin korkularını
tanımada daha iyidir.
											Sıkıntılı bir insanı anlamada
gerçekten daha iyilerdir.
											Bunun nedeni amigdalalarının
bu ifadelere daha duyarlı olması olabilir.
											Hatırlayın, beynin bulduğumuz bu kısmı
											psikopatik insanlarda tepkisizdi.
											Son olarak, amigdalaları
ortalamadan yaklaşık olarak
											yüzde 8 daha büyük.
											Yani bu veriler, dünya üzerinde


											bir ucunda son derece 
psikopatik insanların
											ve diğer ucunda da çok merhametli
											ve aşırı özverili eylemlerde bulunan
insanların olduğu şefkat sürekliliği gibi
											bir şeyin varlığını gösteriyor.
									",Why some people are more altruistic than others,Abigail Marsh,12:21,"brain,communication,cognitive science,community,empathy,humanity,fear,mental health,personality,science,self"
"
","
","
","
","
","
",Why some people are more altruistic than others,Abigail Marsh,12:21,"brain,communication,cognitive science,community,empathy,humanity,fear,mental health,personality,science,self"
