en,tr,pt,es,de,title,speaker,duration,tags
"
","
","
","
","
",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
											They do.
											And they position us as the victims
											of unforeseen and totally
unavoidable circumstances.
											My favorite one of these is ""smitten,""
											which is the past participle
of the word ""smite.""
											And if you look this word up
in the dictionary —
									","
											Öyle.
											Aynı zamanda, bizi beklenmeyen ve
											tamamen önlenemez durumların 
mağduru konumuna koyuyor.
											Bunlardan en sevdiğim ""tutulmuş"",
											yani ""tutulmak"" fiilinin 
geçmiş zamanı.
											Bu kelimeye sözlükten bakarsanız,
									","
											É o que elas fazem.
											Posicionam-nos como vítimas
											de circunstâncias totalmente
imprevisíveis e inevitáveis.
											A minha favorita é ""fulminado"",
											que é o particípio da palavra ""fulminar"".
											Se forem ver o significado 
desta palavra no dicionário...
									","
											Lo hacen.
											Y nos posicionan como las víctimas
											de circunstancias imprevistas 
y totalmente inevitables.
											Mi favorito de estas es ""smitten"",
											que es el participio pasado
de la palabra ""smite"", golpear.
											Y si buscan esta palabra
en el diccionario...
									","
											Das tun sie.
											Und sie stellen uns als Opfer
											unvorhersehbarer,
unvermeidbarer Umstände dar.
											Mein Liebling ist ""smitten"",
											das Passiv-Partizip
von ""smite"" [heftig schlagen].
											Wenn man ""smitten""
im Wörterbuch nachschlägt ...
									",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
","
","
","
","
",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Risos)
									","
											(Risas)
									","
											(Lachen)
									",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
","
","
","
","
",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
											you will see that it can be defined
as both ""grievous affliction,""
											and, ""to be very much in love.""
											I tend to associate the word ""smite""
with a very particular context,
											which is the Old Testament.
											In the Book of Exodus alone,
there are 16 references to smiting,
											which is the word that the Bible uses
for the vengeance of an angry God.
									","
											hem ""ızdıraplı hastalık"" 
hem de ""çok aşık olmak""
											olarak tanımlandığını görürsünüz.
											""Tutulmak"" kelimesini özel bir kaynakla
ilişkilendiririm;
											yani Eski Ahit'le.
											Sadece Mısır'dan Çıkış bölümünde
tutulmaya 16 gönderme var,
											yani İncil'de kızgın Tanrının intikamı
için kullanılan kelimedir.
									","
											... verão que pode ser definida 
como ""aflição dolorosa""
											e ""estar muito apaixonado"".
											Eu costumo associar a palavra ""fulminar"" 
a um contexto muito particular,
											que está no Velho Testamento.
											Só no livro do Êxodo,
há 16 referências a ""fulminar"",
											que é a palavra que a Bíblia usa 
para a vingança da ira de Deus.
									","
											verán que se puede definir
como ""aflicción grave"",
											y, ""estar muy enamorado"".
											Suelo asociar la palabra ""smite""
a un contexto muy particular,
											el Antiguo Testamento.
											En el Libro del Éxodo solo,
hay 16 referencias a ""smiting"",
											que es la palabra que usa la Biblia
para la venganza de un Dios enojado.
									","
											findet man als Definition sowohl
""ernstes Gebrechen""
											als auch ""sehr verleibt sein"".
											Ich verbinde das Wort ""smite""
mit einem bestimmten Zusammenhang:
											dem alten Testament.
											Allein im Buch Exodus
taucht es 16-mal auf.
											Es beschreibt in der Bibel
die Rache eine wütenden Gottes.
									",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
","
","
","
","
",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Risos)
									","
											(Risas)
									","
											(Lachen)
									",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
","
","
","
","
",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
											Here we are using the same word
to talk about love
											that we use to explain
a plague of locusts.
									","
											Bugün çekirge istilasını 
tarif etmek için kullandığımız kelimeyi
											aynı zamanda aşkı
konuşurken de kullanıyoruz.
									","
											Aqui estamos a usar a mesma 
palavra para falar de amor
											que usamos para explicar 
uma praga de gafanhotos.
									","
											Usamos la misma palabra 
para hablar del amor
											que para explicar una plaga de langostas.
									","
											Wir sprechen mit
dem selben Wort über Liebe,
											mit dem wir eine
Heuschreckenplage beschreiben.
									",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
","
","
","
","
",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Risos)
									","
											(Risas)
									","
											(Lachen)
									",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
","
","
","
","
",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
											Right?
									","
											Öyle değil mi?
									","
											Não é?
									","
											¿Cierto?
									","
											Richtig?
									",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
","
","
","
","
",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
											So, how did this happen?
											How have we come to associate love
with great pain and suffering?
											And why do we talk about
this ostensibly good experience
											as if we are victims?
											These are difficult questions,
											but I have some theories.
											And to think this through,
											I want to focus on one
metaphor in particular,
											which is the idea of love as madness.
									","
											Peki nasıl böyle oldu?
											Nasıl oldu da aşkı derin acı ve
ızdırapla bağdaştırır olduk?
											Neden görünüşte güzel olan
bu tecrübe hakkında
											mağdurmuş gibi konuşuyoruz?
											Bunlar zor sorular,
											ama bazı teorilerim var.
											Bunları düşünürken
											özellikle bir benzetmeye
odaklanmak istiyorum;
											-aşk deliliktir- düşüncesi.
									","
											Então, como é que isto aconteceu?
											Como é que passamos a associar amor
com uma grande dor e sofrimento?
											E porque é que falamos 
sobre esta experiência boa
											como se fôssemos vítimas?
											Estas são perguntas difíceis,
											mas eu tenho algumas teorias.
											Para pensar nisto,
											quero-me focar
numa metáfora em particular,
											que é a ideia do amor como loucura.
									","
											Entonces, ¿cómo sucedió esto?
											¿Cómo llegamos a asociar el amor
a un gran dolor y sufrimiento?
											Y ¿por qué hablamos de
esta experiencia ostensiblemente buena
											como si fuéramos víctimas?
											Estas son preguntas difíciles,
											pero tengo algunas teorías.
											Y para analizarlo,
											quiero enfocarme en una
metáfora en particular
											que es la idea de amor como locura.
									","
											Wie ist es dazu gekommen?
											Wie sind wir darauf gekommen,
Liebe mit Schmerz und Leid zu verbinden?
											Und warum sprechen wir
über diese angeblich schöne Erfahrung
											als wären wir Opfer?
											Das sind schwierige Fragen,
											aber ich habe einige Theorien.
											Der Einfachheit halber
											beziehe ich mich
auf eine bestimmte Metapher:
											Liebe als Wahnsinn zu beschreiben.
									",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
","
","
","
","
",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
											When I first started
researching romantic love,
											I found these madness
metaphors everywhere.
											The history of Western culture
											is full of language that equates
love to mental illness.
											These are just a few examples.
											William Shakespeare:
											""Love is merely a madness,""
											from ""As You Like It.""
											Friedrich Nietzsche:
											""There is always some madness in love.""
											""Got me looking, got me looking
so crazy in love — ""
									","
											Romantik aşkı
ilk araştırmaya başladığımda,
											her yerde bu delilik benzetmeleriyle
karşılaşıyordum.
											Batı kültürünün tarihi,
											aşkı zihinsel hastalıkla bir tutan
kullanımlarla doludur.
											Sadece birkaç örnek:
											William Shakespeare:

											""Aşk sadece deliliktir."",
											""Nasıl Hoşunuza Giderse""den.
											Friedrich Nietzsche:
											""Aşkta her zaman biraz delilik vardır.""
											""Aşkın beni çılgına çeviriyor..""
									","
											Quando comecei a pesquisar
sobre o amor romântico,
											encontrei metáforas
sobre a loucura por todo o lado.
											A história da cultura ocidental
											está cheia de expressões que igualam
o amor a doenças mentais.
											Estes são apenas alguns exemplos.
											William Shakespeare:
											""o amor é apenas uma loucura"",
											em ""Como Vos Agradar"".
											Friedrich Nietzsche:
											""Há sempre alguma loucura no amor.""
											""Deixaste-me, deixaste-me
loucamente apaixonada... ""
									","
											Cuando empecé a investigar 
el amor romántico,
											encontré estas locas
metáforas en todas partes.
											La historia de la cultura occidental
											está llena de lenguaje que equipara
amor a enfermedad mental.
											Estos son solo algunos ejemplos.
											William Shakespeare,
											""el amor es pura locura""
											de ""Como les guste"".
											Friedrich Nietzsche,
											""siempre hay una locura en el amor"".
											""Me observa, me mira
tan locamente enamorado"",
									","
											Am Anfang meiner Recherche
zur romantischen Liebe
											stieß ich ständig auf Wahnsinnsmetaphern.
											Die Geschichte der westlichen Kultur
											ist voll von Äußerungen, die Liebe
mit Geisteskrankheit gleichsetzen.
											Hier sind ein paar Beispiele.
											William Shakespeare:
											""Liebe ist eine bloße Tollheit""
aus ""Wie es euch gefällt"".
											Friedrich Nietzsche:
											""Es ist immer etwas Wahnsinn
in der Liebe.""
											""Got me looking so crazy in love.""
[lässt mich verrückt vor Liebe aussehen]
									",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
","
","
","
","
",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Risos)
									","
											(Risas)
									","
											(Lachen)
									",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
","
","
","
","
",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
											from the great philosopher,
Beyoncé Knowles.
									","
											Meşhur filozof Beyoncé Knowles'den.
									","
											da grande filósofa, Beyoncé Knowles.
									","
											de la gran filósofa, Beyoncé Knowles.
									","
											... von der großen Philosophin
Beyoncé Knowles.
									",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
","
","
","
","
",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Risos)
									","
											(Risas)
									","
											(Lachen)
									",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
","
","
","
","
",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
											I fell in love for the first
time when I was 20,
											and it was a pretty turbulent
relationship right from the start.
											And it was long distance
for the first couple of years,
											so for me that meant very high highs
and very low lows.
											I can remember one moment in particular.
											I was sitting on a bed
in a hostel in South America,
											and I was watching the person
I love walk out the door.
											And it was late,
											it was nearly midnight,
											we'd gotten into an argument over dinner,
											and when we got back to our room,
											he threw his things in the bag
and stormed out.
											While I can no longer remember
what that argument was about,
											I very clearly remember
how I felt watching him leave.
									","
											İlk defa 20 yaşında aşık oldum,
											baştan sona 
oldukça çalkantılı bir ilişkiydi.
											İlk birkaç yıl uzun mesafe ilişkisiydi,
											yani bu benim için derin iniş ve
çıkışlar demekti.
											Bir ânı özellikle hatırlıyorum.
											Güney Amerika'da bir otelde
yatakta oturmuş,
											sevdiğim insanın 
kapıdan çıkışını izliyorum.
											Geç bir saatti.
											Neredeyse gece yarısıydı,
											yemekten sonra tartışmıştık
											ve odamıza geçtiğimizde,
											eşyalarını çantaya attı ve 
çekip gitti.
											Tartışma konusunu şimdi
hatırlayamıyorum ama
											o giderken nasıl hissettiğimi 
çok net hatırlıyorum.
									","
											Eu apaixonei-me pela 
primeira vez aos 20 anos,
											e foi uma relação bastante 
turbulenta desde o início.
											Foi uma relação à distância 
durante os primeiros dois anos,
											o que para mim significou
muitos altos e baixos.
											Lembro-me de um momento
em particular.
											Eu estava sentava numa cama 
num hostel na América do Sul,
											e estava a ver a pessoa
que eu amava a sair porta fora.
											Era tarde,
era quase meia-noite,
											tínhamos tido uma discussão ao jantar.
											Quando voltámos para o nosso quarto,
											ele atirou as coisas dele 
para a mala e foi-se embora.
											Embora eu já não me lembre 
sobre o que discutimos,
											lembro-me claramente de como 
me senti ao vê-lo ir-se embora.
									","
											Me enamoré por primera vez a los 20 años,
											y fue una relación bastante turbulenta 
desde el principio.
											Fue de larga distancia
durante el primer par de años,
											así que para mí eso significaba 
altos muy altos y bajos muy bajos.
											Puedo recordar un momento en particular.
											Estaba sentada en una cama
en un albergue en América del Sur,
											y estaba viendo a la persona
que amaba salir por la puerta.
											Y ya era tarde,
											era casi medianoche,
											habíamos discutido durante la cena,
											y cuando llegamos a nuestra habitación,
											metió sus cosas en la bolsa
y salió disparado.
											Aunque ya no puedo recordar
de qué se trataba esa pelea,
											recuerdo muy claramente 
cómo me sentí viéndolo salir.
									","
											Ich habe mich mit 20
zum ersten Mal verliebt.
											Es war von Anfang an
eine recht turbulente Beziehung;
											und in den ersten Jahren
eine Fernbeziehung,
											was für mich hohe Höhenflüge
und tiefe Abstürze bedeutete.
											In einer bestimmten Situation
											saß ich auf einem Bett
in einer Herberge in Südamerika
											und sah den Menschen,
den ich liebte, zur Tür raus gehen.
											Es war spät —
											fast Mitternacht.
											Wir hatten beim Abendessen gestritten,
											und als wir in unser Zimmer kamen,
											stopfte er seine Sachen in den Rucksack
und war zur Tür raus.
											Ich erinnere mich nicht,
worüber wir gestritten hatten,
											aber sehr genau daran,
wie es sich anfühlte, ihn gehen zu sehen.
									",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
","
","
","
","
",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
											I was 22, it was my first time
in the developing world,
											and I was totally alone.
											I had another week until my flight home,
											and I knew the name
of the town that I was in,
											and the name of the city
that I needed to get to to fly out,
											but I had no idea how to get around.
											I had no guidebook and very little money,
											and I spoke no Spanish.
									","
											22 yaşındaydım, gelişen dünyada 
ilk zamanlarımdı
											ve tamamen yalnızdım.
											Eve dönmeme bir hafta daha vardı,
											bulunduğum yerin
											ve gitmem gereken şehrin adını biliyordum,
											fakat nasıl gideceğime dair
bir fikrim yoktu.
											Rehberim yoktu ve çok az param vardı.
											İspanyolca da bimiyordum.
									","
											Eu tinha 22 anos, era a minha primeira 
vez num país em desenvolvimento,
											e estava completamente sozinha.
											Tinha mais uma semana
até ao meu voo para casa.
											Sabia o nome da cidade
em que estava
											e o nome da cidade para onde
teria de ir para apanhar o voo,
											mas não sabia como lá chegar.
											Não tinha um guia de viagens
e tinha muito pouco dinheiro,
											e não falava espanhol.
									","
											Yo tenía 22 años, era mi primera vez
en el mundo en desarrollado,
											y estaba totalmente sola.
											Tuve otra semana hasta mi vuelo a casa,
											y sabía el nombre de 
la ciudad en la que estaba,
											y el de la ciudad a la que
debía llegar para tomar el vuelo,
											pero no tenía ni idea de cómo moverme.
											No tenía guía y tenía muy poco dinero,
											y no hablaba español.
									","
											Ich war 22, zum ersten Mal
in einem Entwicklungsland
											und ganz allein.
											Bis zum Rückflug war es noch eine Woche.
											Ich wusste, in welcher Stadt ich war
											und den Namen der Stadt,
von der mein Rückflug ging,
											aber nicht, wie ich da hin kommen sollte.
											Ich hatte keinen Reiseführer, kaum Geld
											und sprach kein Spanisch.
									",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
","
","
","
","
",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
											Someone more adventurous than me
											might have seen this as
a moment of opportunity,
											but I just froze.
											I just sat there.
											And then I burst into tears.
											But despite my panic,
											some small voice in my head thought,
											""Wow. That was dramatic.
											I must really be doing
this love thing right.""
									","
											Benden daha maceracı olan biri,
											bunu bir fırsat anı olarak görebilirdi.
											Fakat ben donup kaldım.
											Sadece oturdum.
											Sonra göz yaşlarına boğuldum.
											Ancak paniklememe rağmen,
											kafamda bir ses düşünüyordu:
											""Vay be. Çok dramatikti.
											Bu aşk işinde bir şeyleri gerçekten
doğru yapıyorum.""
									","
											Alguém mais aventureiro que eu
											talvez tivesse visto neste momento
uma oportunidade,
											mas eu apenas congelei.
											Fiquei ali sentada
											e comecei a chorar.
											Mas apesar do meu pânico,
											uma vozinha na minha 
cabeça disse-me:
											""Uau. Isto foi dramático.
											""Devo estar a fazer esta coisa 
do amor da maneira certa.""
									","
											Alguien más aventurero que yo
											podría haber visto esto como
un momento de oportunidad,
											pero simplemente me congelé.
											Solo me senté allí.
											Y luego me eché a llorar.
											Pero a pesar de mi pánico,
											una pequeña voz en mi cabeza pensó:
											""Guau, eso fue dramático.
											Realmente esto del amor se me da bien"".
									","
											Jemand mit mehr Abenteuerlust
											hätte darin vielleicht
eine Gelegenheit gesehen,
											aber ich war einfach wie erstarrt.
											Ich saß einfach da
											und brach in Tränen aus.
											Aber trotz meiner Panik,
											sagte eine leise Stimme in meinem Kopf:
											""Wow, wie dramatisch!
											Diese Liebessache hab ich offenbar drauf.""
									",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
","
","
","
","
",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Risos)
									","
											(Risas)
									","
											(Lachen)
									",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
