es,en,fr,de,tr,title,speaker,duration,tags
"
","
","
","
","
",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
											Vean esta imagen por encima de la línea naranja del metro de Boston.
											Intenten detectar la colmena. Está allí,
											en el techo, justo en la esquina
											y ha estado allí durante un par de años.
											La forma en que opera actualmente la apicultura urbana
											es que las colmenas están ocultas,
											y no es porque tienen que estarlo.
											Es solo porque la gente se incomoda con la idea
											y es por eso que hoy quiero que traten de pensar en esto,
											piensen en los beneficios de las abejas en las ciudades
											y por qué son realmente tan maravillosas.
									","
											Check out this image above the orange line in Boston.
											Try to spot the beehive. It's there.
											It's on the rooftop, right on the corner there,
											and it's been there for a couple of years now.
											The way that urban beekeeping currently operates
											is that the beehives are quite hidden,
											and it's not because they need to be.
											It's just because people are uncomfortable with the idea,
											and that's why I want you today to try to think about this,
											think about the benefits of bees in cities
											and why they really are a terrific thing.
									","
											Regardez cette image au-dessus de la ligne orange à Boston.
											Essayez de repérer la ruche. Elle est là.
											Elle est sur le toit, dans le coin là-bas
											et elle y est depuis deux ou trois ans maintenant.
											La façon dont l'apiculture urbaine fonctionne actuellement
											est que les ruches sont bien cachées,
											et ce n'est pas parce qu'elles doivent l'être.
											C'est juste parce que l'idée met les gens mal à l'aise,
											et c'est pourquoi je veux aujourd'hui que vous essayez d'y réfléchir,
											réfléchir aux avantages des abeilles dans les villes
											et pourquoi elles sont vraiment formidables.
									","
											Hier ist ein Bild von einer U-Bahn-Linie in Boston.
											Finden Sie den Bienenstock. Es gibt einen.
											Er ist auf dem Dach, dort rechts an der Ecke,
											und ist auch schon seit ein paar Jahren da.
											In der urbanen Bienenzucht sind die Bienenstöcke
											noch ziemlich versteckt gehalten,
											aber nicht, weil sie das sein müssen.
											Die Leute fühlen sich einfach unwohl bei dem Gedanken
											und daher hätte ich gern, dass Sie heute anfangen,
											über die Vorzüge von Bienen in Städten nachzudenken
											und warum sie eine super Sache sind.
									","
											Boston'daki tren hattının 
üzerine dikkatli bakın.
											Arı kovanını görmeye çalışın.
											Orada.
											Binanın çatısında, tam şuradaki köşede.
											Bu arı kovanı birkaç yıldır orada duruyor.
											Kentsel arıcılık yapılırken
											arı kovanları halen oldukça 
iyi bir biçimde gizleniyor
											ve gizlenmelerine gerek olduğu için değil.
											İnsanlar bu fikri 
yadırgadığı için gizleniyorlar
											ve bugün bu konunun
üzerinde düşünmenizi istiyorum,
											şehirde arılar olmasının faydalarını
											ve bunun neden mükemmel 
bir şey olduğunu düşünün.
									",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
","
","
","
","
",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
											Déjenme darles un breve resumen de cómo funciona la polinización.
											Sabemos que las flores, frutas y verduras,
											incluso la alfalfa en el heno del ganado
											que da las carnes que comemos, dependen de los polinizadores.
											Vemos que las plantas tienen partes masculinas y femeninas,
											y básicamente las plantas atraen a los polinizadores
											por su néctar y en el proceso,
											las abejas visitan algunas flores y recogen en el camino algo de polen,
											o ese tipo de homólogo del esperma,
											y luego viajan a otras flores y finalmente,
											en este caso, se produce una manzana.
											Se puede ver la orientación. El tallo está hacia abajo.
											El extremo de la flor habrá caído para cuando la comamos,
											pero eso es una descripción básica de cómo funciona la polinización.
									","
											Let me give you a brief rundown on how pollination works.
											So we know flowers, we know fruits and vegetables,
											even some alfalfa in hay that the livestock
											for the meats that we eat, rely on pollinators,
											but you've got male and female parts to a plant here,
											and basically pollinators are attracted to plants
											for their nectar, and in the process,
											a bee will visit some flowers and pick up some pollen,
											or that male kind of sperm counterpart, along the way,
											and then travel to different flowers, and eventually
											an apple, in this case, will be produced.
											You can see the orientation. The stem is down.
											The blossom end has fallen off by the time we eat it,
											but that's a basic overview of how pollination works.
									","
											Permettez-moi de vous donner un bref aperçu de comment fonctionne la pollinisation .
											Nous savons que les fleurs, les fruits et légumes,
											même la luzerne dans le foin du bétail
											que nous élevons pour la viande, dépendent des pollinisateurs,
											mais vous avez des parties mâles et femelles sur une plante ici,
											et en gros les pollinisateurs sont attirés par les plantes
											pour leur nectar et dans la foulée,
											une abeille va visiter quelques fleurs et ramasser du pollen,
											ou ce genre d'homologue de sperme mâle,
											et puis va sur des fleurs différentes et au final
											une pomme, dans ce cas, sera produite.
											Vous voyez l'orientation. La tige est vers le bas.
											Le bout de floraison est tombé au moment où nous la mangeons
											mais c'est une vue d'ensemble du fonctionnement de la pollinisation.
									","
											Ich umreiße mal schnell das System der Bestäubung.
											Wir wissen, dass Blumen, dass Obst und Gemüse,
											selbst das Alfalfa in dem Heu für unser Vieh,
											das wir zum Fleischkonsum halten, Bestäuber braucht.
											Es gibt weibliche und männliche Teile von Pflanzen,
											und die Bestäuber werden im Prinzip mit Nektar
											von den Pflanzen angezogen.
											Die Biene sucht also die Pflanzen auf und nimmt nebenbei
											Pollen mit, oder das männliche Äquivalent von Spermien,
											und fliegt dann andere Blumen an. Irgendwann
											kommt dann ein Apfel dabei heraus, in diesem Fall.
											Man kann die Anordnung hier sehen. Der Stamm ist unten.
											Die Blütenblätter sind, wenn wir ihn essen, schon abgefallen,
											aber das ist ein knapper Überblick über die Bestäubung.
									","
											Şimdi size tozlaşmanın nasıl
olduğunu kısaca anlatayım.
											Biliyoruz ki çiçekler, meyveler, sebzeler,
											hatta etini yediğimiz hayvanların 
yemi olan yoncalar bile
											polen taşıyıcılarına bağlı,
											burada bir bitkinin erkek 
ve dişi kısımlarını görüyorsunuz
											ve temel olarak bu bitkiler
nektarları sayesinde
											polen taşıyıcıları kendine çeker,
											bu süreçte bir arı çiçekleri ziyaret eder
											ve biraz polen yani sperm 
eşdeğeri erkek hücre alır,
											sonra da başka çiçeklere gider
											ve en sonunda
bu şekilde bir elma üretilir.
											Uyumu burada görebilirsiniz. Sap aşağıda.
											Meyve yenecek zamana gelene
kadar çiçek kısmı düşmüş olur
											fakat bu tozlaşma sürecine
basit bir genel bakış.
									",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
","
","
","
","
",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
											Pensemos en la vida urbana, no hoy,
											y no en el pasado, sino digamos en 100 años,
											¿qué va a pasar? Tenemos grandes desafíos
											estos días por la pérdida de hábitat. Tenemos cada vez más gente,
											miles de millones de personas, y en 100 años, Dios sabe cuántas,
											y poco espacio para todas ellas,
											así que tenemos que cambiar la forma en que vemos las ciudades, y
											al ver esta imagen a la izquierda de la ciudad de Nueva York hoy,
											se aprecia lo gris y marrón que es.
											En los techos, tenemos papel de alquitrán que devuelve el calor
											a la atmósfera,
											contribuyendo al cambio climático global, sin duda.
											¿Qué pasaría en 100 años, si tenemos techos verdes
											en todas partes y jardines y creamos nuestros propios cultivos
											justo en las ciudades? Ahorraríamos los costos del transporte,
											tendríamos una dieta saludable a un menor costo, y también educaríamos
											y crearíamos nuevos puestos de trabajo nivel local.
											Necesitamos abejas para el futuro de nuestras ciudades y la vida urbana.
									","
											And let's think about urban living, not today,
											and not in the past, but what about in a hundred years?
											What's it gonna look like? We have huge grand challenges
											these days of habitat loss. We have more and more people,
											billions of people, in 100 years, God knows how many people,
											and how little space there will be to fit all of them,
											so we need to change the way that we see cities, and
											looking at this picture on the left of New York City today,
											you can see how gray and brown it is.
											We have tar paper on the rooftops that bounces heat back
											into the atmosphere,
											contributing to global climate change, no doubt.
											What about in 100 years, if we have green rooftops
											everywhere, and gardening, and we create our own crops
											right in the cities? We save on the costs of transportation,
											we save on a healthier diet, and we also educate
											and create new jobs locally.
											We need bees for the future of our cities and urban living.
									","
											Et pensons à la vie urbaine, pas aujourd'hui,
											ni dans le passé, mais qu'en sera-t-il dans une centaine d'années ?
											A quoi va-t-elle ressembler ? Nous avons d'énormes problèmes
											de perte d'habitat de nos jours. Nous avons de plus en plus de gens,
											des milliards de personnes, dans 100 ans, Dieu sait combien de gens,
											et le peu d'espace qu'il y aura pour les accueillir tous,
											il nous faut donc changer la manière dont nous voyons des villes, et
											en regardant cette photo à gauche de la ville de New York aujourd'hui,
											vous pouvez voir comme elle est grise et brune.
											Nous avons du papier goudronné sur tous les toits qui réfléchis la chaleur
											dans l'atmosphère,
											et contribue aux changements climatiques, sans aucun doute.
											Qu'en sera-t-il dans 100 ans, si nous avons des toits verts
											partout et du jardinage et nous créons nos propres cultures
											dans les villes ? Nous économisons sur les coûts de transport,
											nous économisons sur une alimentation plus saine, et nous éduquons également
											et créons des emplois localement.
											Nous avons besoin des abeilles pour l'avenir de nos villes et de la vie urbaine.
									","
											Stellen wir uns nun das Leben in der Stadt vor; nicht heute,
											nicht in der Vergangenheit, sondern in hundert Jahren.
											Wie wird es dann aussehen? Heutzutage stehen wir vor
											riesigen Problemen mit Lebensraumverlust. 
Mehr und mehr Leute,
											Milliarden Menschen, wer weiß, wie viele es in 100 Jahren sind,
											und wie wenig Raum wir haben werden, um sie unterzubringen,
											also müssen wir unsere Sichtweise auf Städte ändern.
											Sehen wir uns das Bild links von New York City heute an.
											Sie sehen, wie grau und braun es ist.
											Auf den Dächern liegt Teerpappe, 
die die Hitze zurück in die Atmosphäre
											reflektiert
											und zweifelsohne zur globalen Klimaveränderung beiträgt.
											Wie wäre es in 100 Jahren, wenn die Dächer überall grün sind,
											und wir unsere Gärten pflegen und wir Nahrung anbauen,
											mitten in den Städten? Wir sparen uns Transportkosten und
											bei der gesünderen Ernährung und können es zur Ausbildung
											und der Schaffung lokaler Stellen nutzen.
											Wir brauchen Bienen für die Zukunft unserer Städte und des Lebens darin.
									","
											Şimdi kent hayatını düşünelim 
ama bugünü değil,
											geçmişte olanları da değil, 
gelecekteki 100 yılı düşünelim.
											Şehir hayatı nasıl olacak?
											Doğal ortamın yok olmaya 
başladığı şu günlerde
											büyük zorluklarla karşı karşıyayız.
											100 yıl içinde sayımız, 
Tanrı bilir milyarları çok çok aşacak,
											hepsini almaya çok az yerimiz kalacak
											bu yüzden şehirlere karşı
bakış açımızı değiştirmemiz gerek
											ve sol tarafta New York'un
fotoğrafına bakınca
											ne kadar gri ve kahverengi 
olduğunu görebilirsiniz.
											Çatılarımızda yüzeye çarpan ısıyı
											atmosfere gönderen 
katran kağıtlarımız bulunuyor,
											bu durumun şüphesiz 
iklim değişikliğinde payı var.
											Peki ya 100 yıl içerisinde her yerde
yeşil çatılarımız, bahçelerimiz olursa
											ve şehirlerde kendi
ürünlerimizi yetiştirirsek?
											Taşıma maliyetlerinden kâr ederiz,
											daha sağlıklı besleniriz
											ve ayrıca yerel olarak insanları eğitir
ve yeni iş imkanları yaratırız.
											Şehirlerimizin ve şehir hayatının
geleceği için arılara ihtiyacımız var.
									",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
","
","
","
","
",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
											Aquí hay algunos datos que hemos recogido a través de nuestra empresa
											con «Best Bees» [las mejores abejas], donde entregamos, instalamos y administramos
											colmenas de abejas para quien las quiera,
											en la ciudad, en el campo, y presentamos las abejas
											y la idea de la apicultura en su propio patio o azotea
											o para el caso, en el escape de incendios,
											y mostramos lo fácil y posible que es.
									","
											Here's some data that we collected through our company
											with Best Bees, where we deliver, install and manage
											honeybee hives for anybody who wants them,
											in the city, in the countryside, and we introduce honeybees,
											and the idea of beekeeping in your own backyard or rooftop
											or fire escape, for even that matter,
											and seeing how simple it is and how possible it is.
									","
											Voici quelques données que nous avons recueillies dans le cadre de notre entreprise
											avec Best Bees, où nous livrons, installons et gérons
											des ruches d'abeilles pour tous ceux qui le veulent,
											en ville, à la campagne, et nous introduisons des abeilles,
											et l'idée de l'apiculture dans votre arrière-cour ou sur votre toit
											voire même sur votre escalier de secours,
											et on voit comme c'est simple et comment c'est possible.
									","
											Hier sind einige Daten, die wir mit unserer Firma ""Best Bees""
											gesammelt haben. Wir liefern, installieren und verwalten
											Bienenstöcke für alle, die gern welche hätten,
											in der Stadt, auf dem Land, und wir bringen den Gedanken
											der Imkerei im eigenen Garten oder auf dem Dach nahe,
											oder sogar auf der Feuertreppe,
											und zeigen, wie einfach und leicht umsetzbar es ist.
									","
											Burada, ister kentlerde
olsun ister kırsalda
											isteyenlere kovan tedarik
edip kurduğumuz
											ve arka bahçede, çatıda 
veya yangın merdiveninde
											arıcılık yapmanın ne kadar kolay 
ve uygulanabilir bir fikir olduğunu
											ve bal arılarını anlattığımız 
şirketimiz Best Bees' den
											edindiğimiz bazı veriler var.
									",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
","
","
","
","
",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
											Hay una tendencia contraria al sentido común que notamos
											en estos números. Así que analicemos la primera medida aquí,
											la supervivencia en el invierno.
											Esto ha sido un gran problema durante muchos años,
											básicamente desde finales de los años 80, cuando llegó el ácaro varroa
											y trajo consigo diferentes virus, bacterias
											y enfermedades fúngicas.
											El éxito en el invierno es difícil,
											y allí es cuando se pierden la mayoría de las colonias,
											y hemos constatado que en las ciudades, las abejas sobreviven
											mejor que en el campo.
											Un poco contradictorio, ¿verdad?
											Pensamos, ¡oh!, abejas, campo, agricultura,
											pero eso no lo que las abejas están mostrando.
											A las abejas les gusta la ciudad. (Risas)
									","
											There's a counterintuitive trend that we noticed
											in these numbers. So let's look at the first metric here,
											overwintering survival.
											Now this has been a huge problem for many years,
											basically since the late 1980s, when the varroa mite came
											and brought many different viruses, bacteria
											and fungal diseases with it.
											Overwintering success is hard,
											and that's when most of the colonies are lost,
											and we found that in the cities, bees are surviving
											better than they are in the country.
											A bit counterintuitive, right?
											We think, oh, bees, countryside, agriculture,
											but that's not what the bees are showing.
											The bees like it in the city. (Laughter)
									","
											Il y a une tendance paradoxale que nous avons remarquée
											dans ces chiffres. Voyons donc la première mesure ici,
											la survie hivernale.
											C'est un énorme problème depuis des années,
											essentiellement depuis la fin des années 1980, quand l'acarien varroa est arrivé
											et a apporté de nombreux virus différents, des bactéries
											et des maladies fongiques.
											Survivre à l'hiver est difficile,
											et c'est là que la plupart des colonies sont perdues,
											et nous avons constaté que dans les villes, les abeilles survivent
											mieux qu'à la campagne.
											Un peu paradoxal, non ?
											Nous pensons, oh, abeilles, campagne, agriculture,
											mais ce n'est pas ce que les abeilles manifestent.
											Les abeilles se plaisent dans la ville. (Rires)
									","
											Bei diesen Zahlen stellten wir einen nicht sehr eingängigen
											Trend fest. Schauen wir uns die erste Statistik hier an:
											Überwinterungswahrscheinlichkeit.
											Das ist seit vielen Jahren ein riesiges Problem,
											im Prinzip seit den späten 80ern mit dem Erscheinen der
											Varroamilbe, die viele verschiedene Viren, Bakterien
											und Pilzkrankheiten mit sich brachte.
											Erfolgreiches Überwintern ist schwierig.
											In dieser Zeit verliert man die meisten Kolonien.
											Wir haben festgestellt, dass Bienen in Städten
											besser überleben als auf dem Land.
											Das kommt unerwartet, oder?
											Wir denken an Bienen, Landwirtschaft, Dörfer,
											aber die Bienen sagen uns etwas anderes.
											Die Bienen finden Städte gut. (Lachen)
									","
											Bu rakamlarda mantıksız bir 
durum olduğunu fark ettik.
											Şimdi ilk ölçümlere bir göz atalım,
											kışın hayatta kalanlara.
											Bu, 1980'lerin sonundan bu yana
											bir tür parazitin çok çeşitli virüsler, 
bakteriler ve mantar hastalıklarını
											getirmesiyle çok büyük 
bir problem haline geldi.
											Kışlama başarısı oldukça zor,

											birçok koloni bu dönemde 
kayıplara karışıyor.
											Bunun yanında şunu fark ettik ki:
											şehirde bulunan arılar kırsaldakilerden
daha fazla hayatta kalabiliyor.
											Mantık dışı, değil mi?
											Arıları düşününce aklımıza
tarım, kırsal alanlar geliyor.
											Ama arılar bunu doğrulamıyor.
											Arılar şehri seviyor.
									",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
