en,fr,es,tr,de,title,speaker,duration,tags
"
","
","
","
","
",Sci-fi stories that imagine a future Africa,Nnedi Okorafor,9:20,"creativity,Africa,adventure,science fiction,future,writing,identity,society"
"
											""Go,"" I softly whispered
to the transporter,
											stamping my foot.
											The thin metal rings I wore
around each ankle jingled noisily,
											but I stamped my foot again.
											Once on, the transporter worked best
when I didn't touch it.
									","
											« Allez », ai-je doucement
murmuré au transporteur,
											en tapant du pied.
											Les fins anneaux d'argent que je portais
autour des chevilles ont tinté,
											mais j'ai retapé du pied.
											Une fois allumé, le transporteur marchait
mieux quand je ne le touchais pas.
									","
											""Vamos"", susurré 
suavemente al transportador,
											pateando mi pie.
											Los delgados anillos de metal alrededor 
de cada tobillo tintineaban ruidosamente,
											pero volví a patear mi pie.
											Una vez encendido, el transportador 
funcionó mejor cuando no lo toqué.
									","
											""Git"" diye fısıldadım taşıyıcıya sakince,
											ayağımı yere vurarak.
											Bileklerime giydiğim ince metal şıkırdadı.
											Yine de ayağımı yeniden vurdum.
											Taşıyıcı bir kez hareket ettikten sonra 
dokunmazsam en iyi şekilde çalışıyordu.
									","
											""Los"", flüsterte ich zum Transporter
											und stampfte mit dem Fuß.
											Die dünnen Metallringe
an meinen Knöcheln klimperten laut,
											doch ich stampfte erneut.
											Sobald der Transporter an war,
ließ ich ihn am besten in Ruhe.
									",Sci-fi stories that imagine a future Africa,Nnedi Okorafor,9:20,"creativity,Africa,adventure,science fiction,future,writing,identity,society"
"
","
","
","
","
",Sci-fi stories that imagine a future Africa,Nnedi Okorafor,9:20,"creativity,Africa,adventure,science fiction,future,writing,identity,society"
"
											""Go,"" I said again,
sweat forming on my brow.
											When nothing moved,
											I chanced giving the two large suitcases
sitting atop the force field a shove.
											They moved smoothly,
and I breathed another sigh of relief.
											At least some luck was on my side.
									","
											« Allez », ai-je répété,
de la sueur se formant sur mon front.
											Comme rien n'a bougé,
											j'ai donné un coup dans les deux valises
placées au sommet du champ de force.
											Elles ont bougé doucement
et j'ai soupiré de soulagement.
											J'avais au moins la chance de mon côté.
									","
											""Vamos"", dije de nuevo, el sudor 
se concentraba en mi frente.
											Al no moverse nada, pensé
											dar un empujón a dos maletas grandes 
que estaban sobre el campo de fuerza.
											Se movieron suavemente
y suspiré aliviada.
											Al menos algo de suerte estaba de mi lado.
									","
											""Git"" dedim tekrar, kaşımda ter birikti.
											Hiçbir şey kımıldamayınca
											güç alanının üst kısmındaki 
iki büyük bavulu atmaya karar verdim.
											Yavaşça hareket ettiler,
rahatlayıp derin nefes aldım.
											En azından şans yanımdaydı.
									","
											""Los"", sagte ich nochmal,
Schweiß perlte auf meiner Augenbraue.
											Als nichts passierte,
											riskierte ich es, die zwei großen Koffer
auf dem Stärkefeld zu verschieben.
											Sie bewegten sich
und ich atmete erleichtert auf.
											Endlich hatte ich Glück.
									",Sci-fi stories that imagine a future Africa,Nnedi Okorafor,9:20,"creativity,Africa,adventure,science fiction,future,writing,identity,society"
"
","
","
","
","
",Sci-fi stories that imagine a future Africa,Nnedi Okorafor,9:20,"creativity,Africa,adventure,science fiction,future,writing,identity,society"
"
											So, in a distant future part of Africa,
											Binti is a mathematical genius
of the Himba ethnic group.
											She's been accepted
into a university on another planet,
											and she's decided to go.
											Carrying the blood
of her people in her veins,
											adorned with the teachings,
ways, even the land on her very skin,
											Binti leaves the earth.
									","
											Dans une partie lointaine de l'Afrique,
											Binti est un génie mathématique
du groupe ethnique Himba.
											Elle a été acceptée dans une université
sur une autre planète
											et a décidé d'y aller.
											Emportant le sang
de son peuple dans ses veines,
											parée des enseignements, manières,
même de la terre sur sa peau,
											Binti quitte la Terre.
									","
											Y en una futura lejana parte de África,
											Binti es una genio matemática 
del grupo étnico Himba.
											Ella había sido aceptada 
en una universidad en otro planeta,
											y ella decidió ir.
											Llevando la sangre 
de su gente en sus venas,
											adornada con las enseñanzas, formas, 
incluso con la tierra en su propia piel,
											Binti deja la Tierra.
									","
											Afrika'nın uzak geleceğinde,
											Binti, Himba etnik grubundan
bir matematik dehası.
											Başka bir gezegende 
üniversiteye kabul edilmiş.
											Gitmeye karar vermiş.
											Damarlarında, öğretilerle, yollarla
											süslenmiş insanlarının kanını taşıyor,
cildinde bile toprağın izi var.
											Binti, Dünya'yı terk ediyor.
									","
											Wir befinden uns im Afrika der Zukunft
											Binti ist ein Mathe-Genie
und stammt aus dem Volk der Himba.
											Die Uni eines anderen Planeten
hat sie angenommen
											und sie akzeptiert.
											Mit dem Blut ihres Volkes in den Adern,
											ihre Haut geschmückt mit den Lehren,
Gebräuchen und sogar ihrem Herkunftsland,
											verlässt Binti die Erde.
									",Sci-fi stories that imagine a future Africa,Nnedi Okorafor,9:20,"creativity,Africa,adventure,science fiction,future,writing,identity,society"
"
","
","
","
","
",Sci-fi stories that imagine a future Africa,Nnedi Okorafor,9:20,"creativity,Africa,adventure,science fiction,future,writing,identity,society"
"
											As the story progresses,
she becomes not other, but more.
											This idea of leaving but bringing
and then becoming more
											is at one of the hearts of Afrofuturism,
											or you can simply call it
a different type of science fiction.
											I can best explain the difference between
classic science fiction and Afrofuturism
											if I used the octopus analogy.
											Like humans,
											octopuses are some of the most
intelligent creatures on earth.
											However, octopus intelligence evolved
from a different evolutionary line,
											separate from that of human beings,
											so the foundation is different.
											The same can be said about the foundations
of various forms of science fiction.
									","
											Alors que son histoire progresse,
elle ne devient pas autre, mais davantage.
											L'idée de partir mais d'apporter
et de devenir davantage
											est l'un des cœurs de l'afro-futurisme,
											ou simplement un autre genre
de science-fiction.
											Je peux développer la différence
entre science-fiction et afro-futurisme
											en utilisant l'analogie de la pieuvre.
											Comme les humains,
											les pieuvres font partie des créatures
les plus intelligentes sur Terre.
											Cependant, l'intelligence des pieuvres
a évolué d'une autre lignée de l'évolution
											séparée de celle des êtres humains,
											donc les fondations sont différentes.
											Il en va de même pour les fondations
de différentes formes de science-fiction.
									","
											A medida que avanza la historia, 
ella no se vuelve otra, sino más.
											Esta idea de irse pero trayendo 
y luego volverse más
											está en uno de los corazones 
del afrofuturismo,
											o simplemente puede llamarse 
un tipo diferente de ciencia ficción.
											Puedo explicar mejor
											la diferencia entre la ciencia ficción 
clásica y el afrofuturismo
											si utilizo la analogía del pulpo.
											Como los humanos,
											los pulpos son unas de las criaturas 
más inteligentes del planeta.
											Pero la inteligencia del pulpo evolucionó 
a partir de una línea evolutiva diferente,
											a la de los seres humanos,
											así que la base es diferente.
									","
											Hikâye ilerledikçe, başkası değil,
daha fazlası oluyor.
											Gitmenin fakat bir şeyler getirip
sonra daha fazla olması fikri
											Afrofütürizmin kalplerinden biridir
											veya farklı bir 
bilim kurgu diyebilirsiniz.
											Klasik bilim kurguyla 
Afrofütürizmin farkını en iyi
											bir ahtapot analoji ile açıklayabilirim.
											İnsanlar gibi,
											ahtapotlar da yeryüzündeki 
en zeki varlıklardandır.
											Ancak ahtapotların zekâ evrimi
											insanlardan farklı bir çizgi izlemiş.
											Bu nedenle temeli farklı.
											Aynı şey çeşitli bilim kurguların 
temelleri için de söylenebilir.
									","
											Im Laufe der Geschichte
wird sie nicht ""anders"", sondern ""mehr"".
											Die Idee des Weggehens, Mitbringens
und des Mehrwerdens
											ist eins der Herzen des Afrofuturismus,
											das ist eine andere Art
von Science Fiction.
											Der Unterschied zwischen Science Fiction
und Afrofuturismus
											wird am deutlichsten
mit der Oktopusanalogie.
											Wie Menschen gehören Oktopusse
zu den intelligentesten Tieren der Welt.
											Doch die Oktopusintelligenz stammt aus
einer anderen Evolutionslinie,
											nicht aus der der Menschen.
											Das Fundament ist also anders.
											Für die verschiedenen Arten
von Science Fiction gilt dasselbe.
									",Sci-fi stories that imagine a future Africa,Nnedi Okorafor,9:20,"creativity,Africa,adventure,science fiction,future,writing,identity,society"
"
","
","
","
","
",Sci-fi stories that imagine a future Africa,Nnedi Okorafor,9:20,"creativity,Africa,adventure,science fiction,future,writing,identity,society"
"
											So much of science fiction speculates
											about technologies,
societies, social issues,
											what's beyond our planet,
what's within our planet.
											Science fiction is one of the greatest
and most effective forms
											of political writing.
											It's all about the question, ""What if?""
											Still, not all science fiction
has the same ancestral bloodline,
											that line being Western-rooted
science fiction,
											which is mostly white and male.
											We're talking Isaac Asimov, Jules Verne,
											H.G. Wells, George Orwell,
Robert Heinlein, etc.
									","
											La science-fiction spécule beaucoup
											sur les technologies, les sociétés,
les problèmes sociaux,
											ce qu'il y a au-delà de notre planète
ou dans notre planète.
											La science-fiction est l'une
des formes les plus efficaces
											d'écriture politique.
											Tout se rapporte
à la question « Et si ? ».
											Mais toute la science-fiction
n'a pas la même lignée ancestrale,
											cette lignée étant la science-fiction
de racine occidentale,
											qui est majoritairement
blanche et masculine.
											Nous parlons d'Isaac Asimov,
de Jules Verne,
											d'H.G. Wells, de George Orwell,
de Robert Heinlein, etc.
									","
											Lo mismo se puede decir sobre las bases 
de las diversas formas de ciencia ficción.
											Gran parte de la ciencia ficción especula
											sobre tecnologías, sociedades, 
asuntos sociales,
											que hay más allá de nuestro planeta, 
y que hay dentro de nuestro planeta.
											La ciencia ficción es 
una de las mejores y más efectivas formas
											de escritura política.
											Se trata de la pregunta: ""¿Y si?""
											Aún así, no toda la ciencia ficción 
tiene el mismo linaje ancestral,
											esa línea es ciencia ficción occidental,
											que es principalmente blanca y masculina.
											Hablamos de Isaac Asimov, Julio Verne,
											HG Wells, George Orwell, 
Robert Heinlein, etc.
									","
											Bilim kurgunun büyük kısmı
											teknoloji, toplum, sosyal sorunlar
											gezegenimizin ötesi ve içi
hakkında spekülasyonlar yapar.
											Bilim kurgu ayrıca 
siyasi yazı tarzının en etkili
											ve en önemli biçimlerindendir.
											''Ya olursa?'' sorusu hakimdir bu türe.
											Yine de tüm bilim kurgular
aynı soy ağacına sahiptir,
											Bu soyun başında
Batı temelli bilim kurgu vardır,
											burada çoğunluk beyaz ve erkektir.
											Isaac Asimov, Jules Verne,
											H.G. Wells, George Orwell,
Robert Heinlein'dan bahsediyoruz.
									","
											Die meiste Science Fiction spekuliert
											über Technologien,
Gesellschaften, soziale Probleme,
											was jenseits oder diesseits
unseres Planeten passiert.
											Science Fiction ist eine
der effektivsten Formen
											des politischen Kommentars.
											Es geht um die Frage: ""Was wäre, wenn?""
											Aber nicht jede Art Science Fiction
kommt aus der gleichen Stammeslinie,
											also der westlichen Linie,
											die meistens weiß und männlich ist.
											Ich meine Isaac Asimov, Jules Verne,
											H. G. Wells, George Orwell,
Robert Heinlein, usw.
									",Sci-fi stories that imagine a future Africa,Nnedi Okorafor,9:20,"creativity,Africa,adventure,science fiction,future,writing,identity,society"
"
","
","
","
","
",Sci-fi stories that imagine a future Africa,Nnedi Okorafor,9:20,"creativity,Africa,adventure,science fiction,future,writing,identity,society"
"
											So what if a Nigerian-American
wrote science fiction?
											Growing up, I didn't
read much science fiction.
											I couldn't relate to these stories
											preoccupied with xenophobia,
colonization and seeing aliens as others.
											And I saw no reflection of anyone
who looked like me in those narratives.
									","
											Et si un Américano-Nigérien
écrivait de la science-fiction ?
											En grandissant, je ne lisais
pas trop de science-fiction.
											Je n'étais pas concernée par ces histoires
préoccupées par la xénophobie,
											la colonisation et la vision
des extraterrestres comme différents.
											Je ne voyais aucun reflet de quelqu'un
me ressemblant dans ces récits.
									","
											Y, ¿qué pasa si una nigeriana-
estadounidense escribiera ciencia ficción?
											Al crecer, no leí mucha ciencia ficción.
											No podía relacionarme con estas historias
											preocupada por la xenofobia, 
la colonización
											y viendo extraterrestres como otros.
											Y no veía ningún reflejo de alguien 
que se pareciera a mí en esas narraciones.
									","
											Nijerya-Amerikalı biri 
bilim kurgu yazsa ne olur?
											Büyürken çok fazla bilim kurgu okumadım.
											Yabancı korkusu, kolonileşme,
											başkalarının uzaylı olarak görülmesi
konuları ilgimi çekmiyordu.
											Bu anlatılarda bana benzeyen
kimseye de rastlamıyordum.
									","
											Was, wenn eine nigerianische Amerikanerin
Science Fiction schreibt?
											Als ich aufwuchs, las ich nicht
viel Science Fiction.
											Ich mochte keine Geschichten
											über Fremdenangst und Kolonisation,
in denen Ausländer ""anders"" waren.
											Niemand in den Geschichten
sah so aus wie ich.
									",Sci-fi stories that imagine a future Africa,Nnedi Okorafor,9:20,"creativity,Africa,adventure,science fiction,future,writing,identity,society"
"
","
","
","
","
",Sci-fi stories that imagine a future Africa,Nnedi Okorafor,9:20,"creativity,Africa,adventure,science fiction,future,writing,identity,society"
"
											In the ""Binti"" novella trilogy,
											Binti leaves the planet
to seek education from extraterrestrials.
											She goes out as she is,
											looking the way she looks,
											carrying her cultures,
											being who she is.
											I was inspired to write this story
											not because I was following
a line of classic space opera narratives,
											but because of blood that runs deep,
											family, cultural conflict
											and the need to see an African girl
leave the planet on her own terms.
											My science fiction
had different ancestors,
											African ones.
									","
											Dans la trilogie « Binti »,
											Binti quitte la planète à la recherche
d'éducation auprès d'extraterrestres.
											Elle part comme elle est,
											avec son style,
											emmenant ses cultures,
											étant qui elle est.
											J'ai été inspirée pour écrire ça
											non pas parce que je suivais une lignée
de récits classiques d'opéra de l'espace,
											mais du fait de l'importance du sang,
											de la famille, des conflits culturels
											et du besoin de voir une Africaine
quitter la planète à sa guise.
											Ma science-fiction a d'autres ancêtres,
											des ancêtres africains.
									","
											En la trilogía de novela ""Binti"",
											Binti deja el planeta para buscar 
educación de los extraterrestres.
											Ella se va como es,
											mirando la forma como ella se ve,
											llevando su cultura,
											siendo quien es ella
											Me inspiré a escribir esta historia
											no porque siguiera una línea de 
narrativas de obras clásicas espaciales,
											sino debido 
a la sangre que corre profundamente
											por la familia, el conflicto cultural
											y la necesidad de ver a una niña africana 
abandonar el planeta por su cuenta.
											Mi ciencia ficción tenía 
antepasados ​​diferentes,
											africanos.
									","
											''Binti'' roman üçlemesinde,
											Binti Dünya dışı varlıklardan
eğitim almak için gezegeni terk ediyor.
											Olduğu gibi gidiyor,
											göründüğü gibi,
											kültürüyle beraber,
											olduğu kişi olarak.
											Bu hikâyeyi,
											klasik uzay anlatılarını 
takip ettiğimden değil
											kanımız, aile, kültürel çatışma,
											ve Afrikalı bir kızın
											kendi başına gezegeni terk ettiğini
görme amacıyla yazdım.
											Benim bilim kurgumun farklı ataları vardı,
											Afrikalı atalar.
									","
											In der ""Binti""-Trilogie
											verlässt Binti den Planeten, um sich
von Aliens ausbilden zu lassen.
											Sie reist, wie sie ist,
											sieht aus, wie sie aussieht,
											im Gepäck ihre Kultur.
											Sie ist, wer sie ist.
											Ich schrieb diese Geschichte nicht,
											um einer Linie klassischer
Weltraum-Erzählungen zu folgen,
											sondern wegen tiefschürfender Blutlinien,
											Familie, kultureller Konflikte,
											um zu sehen, wie ein afrikanisches Mädchen
den Planeten verlässt, weil sie es will.
											Meine Science Fiction
hat andere Vorfahren,
											nämlich aus Afrika.
									",Sci-fi stories that imagine a future Africa,Nnedi Okorafor,9:20,"creativity,Africa,adventure,science fiction,future,writing,identity,society"
"
","
","
","
","
",Sci-fi stories that imagine a future Africa,Nnedi Okorafor,9:20,"creativity,Africa,adventure,science fiction,future,writing,identity,society"
