tr,pt,fr,title,speaker,duration,tags
"
","
","
",A futuristic vision of the age of holograms,Alex Kipman,19:05,"communication,computers,engineering,creativity,design,exploration,innovation,interface design,microsoft,invention,potential,NASA,product design,prediction,visualizations,technology,future"
"
											Şöyle düşünelim:
											Bilgisayarlara göre biz şu anda 
mağara adamı gibiyiz.
											Kömürü ancak keşfettik
											ve ilk çöp adamları mağaralarımıza
çizmeye başladık.
											İşte bu, her gün işimde uyguladığım
bir bakış açısı.
											Ve sonraki birkaç dakika için,
											aynı bakış açısını önümüzdeki
yolculuğa uygulamaya
											hepinizi davet ediyorum.
									","
											Vejam deste modo:
											numa escala de tempo, somos como gente
das cavernas em termos de computadores.
											Acabámos de descobrir o carvão
											e começámos a desenhar as primeiras
figuras na nossa caverna.
											Esta é a perspetiva que aplico todos
os dias ao meu trabalho.
											Durante os próximos minutos
											convido-vos a aplicar a mesma perspetiva
											à viagem que temos pela frente.
									","
											Voyez-le ainsi :
											mis à l'échelle, nous sommes les hommes
des cavernes de l'ère informatique.
											Nous avons à peine découvert le feu
											et nous dessinons des bonhommes-bâtons
dans notre cave.
											C'est cette idée qui m'anime
chaque jour dans mon travail.
											Alors pour les prochaines minutes,
											je vous invite tous à vivre ce voyage
											avec cette même idée en tête.
									",A futuristic vision of the age of holograms,Alex Kipman,19:05,"communication,computers,engineering,creativity,design,exploration,innovation,interface design,microsoft,invention,potential,NASA,product design,prediction,visualizations,technology,future"
"
","
","
",A futuristic vision of the age of holograms,Alex Kipman,19:05,"communication,computers,engineering,creativity,design,exploration,innovation,interface design,microsoft,invention,potential,NASA,product design,prediction,visualizations,technology,future"
"
											Şimdi, sanal gerçeklik gözlüğünü takarken
											size biraz kurulumdan bahsedeyim.
											Bu muhtemelen sanal gerçeklik
gözlüğü ile sahnede yaptığımız
											en riskli demo
											ve TED'den başka bunu yapabileceğim
daha iyi bir yer düşünemiyorum.
											Birazdan, sahnede hologramlar

											görmeye başlayacağım,
											üstelik sizi gördüğüm kadar
net bir şekilde.
											Şimdi aynı zamanda,
şimdi sahneye gelen
											bu özel kamera ile
											siz de bu deneyimi benimle 
birlikte monitörlerden
											paylaşacaksınız.
									","
											Ao colocar esta HoloLens,
											deixem-me explicar um pouco o conjunto.
											É provavelmente a demonstração 
mais arriscada
											que fizemos em qualquer palco
com a HoloLens
											e não imagino um lugar melhor para
o fazer do que aqui na TED.
											Dentro de momentos,
vou estar a ver hologramas
											aqui mesmo neste palco,
											de modo tão claro como vos vejo a todos.
											Ao mesmo tempo, temos uma câmara especial,
											que se trouxe para o palco,
											para que todos possam partilhar
esta experiência comigo
											em todos os monitores.
									","
											Tandis que j'allume cet HoloLens,
											je vais vous expliquer
un peu l'installation.
											C'est probablement la démo la plus risquée
que nous ayons jamais faite sur une scène
											avec le HoloLens
											mais je ne vois pas de meilleur endroit
pour la tenter qu'ici, à TED.
											Pendant un moment, 
je vais voir des hologrammes
											sur cette scène,
											aussi clairement que je vous vois, vous.
											Et en même temps, 
il y a cette caméra spéciale
											qui va tourner autour de la scène
											afin que vous puissiez tous partager
cette expérience avec moi
											sur les écrans derrière.
									",A futuristic vision of the age of holograms,Alex Kipman,19:05,"communication,computers,engineering,creativity,design,exploration,innovation,interface design,microsoft,invention,potential,NASA,product design,prediction,visualizations,technology,future"
"
","
","
",A futuristic vision of the age of holograms,Alex Kipman,19:05,"communication,computers,engineering,creativity,design,exploration,innovation,interface design,microsoft,invention,potential,NASA,product design,prediction,visualizations,technology,future"
"
											Yolculuğumuza başlayalım.
											Ve yolculuğumuza başlamak için
2 boyutlu bir bilgisayar mağarasından
											daha iyi bir yer mi var.
											Hadi, bu yeni lens ile
etrafımızdaki dünyayı keşfedelim
											ve bilgisayar dünyasını
yepyeni bir bakış açısıyla anlayalım.
									","
											Vamos então começar a nossa viagem.
											Não há melhor lugar para a começar
											do que uma caverna de computador em 2D.
											Vamos explorar o mundo à nossa
volta com esta nova lente
											e compreender o mundo do computador
de uma perspetiva totalmente nova.
									","
											Alors, partons en voyage !
											Et nous avons un point de départ idéal :
											la caverne informatique de la 2D.
											Explorons le monde autour de nous
avec de nouveaux yeux
											et visitons le monde digital
sous une autre lumière.
									",A futuristic vision of the age of holograms,Alex Kipman,19:05,"communication,computers,engineering,creativity,design,exploration,innovation,interface design,microsoft,invention,potential,NASA,product design,prediction,visualizations,technology,future"
"
","
","
",A futuristic vision of the age of holograms,Alex Kipman,19:05,"communication,computers,engineering,creativity,design,exploration,innovation,interface design,microsoft,invention,potential,NASA,product design,prediction,visualizations,technology,future"
"
											Bilgisayar evreni hem muhteşem,
hem de ilkeldir.
											Nedensellik temelli bir evrendir.
											Geliştiriciler olarak, farklı senaryoları
hayal kurarız
											ve sonra farklı efektleri programlarız.
											Bir ikona çift tıkla, bu bir nedendir.
											Bir uygulama aç, bu bir etkidir.
											Şimdi bunu fiziksel evrenimizle
karşılaştırırsak
											bu fazla bir zorlama olur,
											çünkü bizim evrenimiz sayısal değildir.
											Bizim evrenimiz analogtur.
											Evrenimiz sıfır ve bir, doğru ve yanlış
											veya siyah ve beyaz diye düşünmez.
											Kuantum fiziğiyle idare 
edilen bir dünyada,
											aynı zamanda sıfır ve birlerin evreninde,
											sonsuz olasılıklar ve cevapsız
soruların gerçekliğinde varız.
											Bu iki dünyanın nasıl 
çakıştığını görebilirsiniz.
											Peki analog dünyamızda ekranlar
											neden bu kadar yaygın?
											Uyandığımız andan uykuya daldığımız
											ana kadar ekranlara bakıyoruz.
											Niçin?
									","
											O universo do computador
é maravilhoso e primitivo.
											É um universo baseado na causalidade.
											Como programadores, sonhamos
com as diferentes causas
											e programamos os diferentes efeitos.
											Dois cliques num ícone, é uma causa.
											Abrir uma aplicação, é um efeito.
											Quando comparamos isto
com o nosso universo físico,
											é demasiado limitativo,
											porque o nosso universo não é digital.
											É analógico.
											O nosso universo não pensa
em termos de zero e um,
											verdadeiro ou falso, preto ou branco.
											Existimos num mundo governado
pela física quântica.
											Um universo de zero e um ao mesmo tempo.
											Uma realidade baseada em probabilidades
infinitas e tons de cinzento.
											Podemos ver como estes
dois mundos colidem.
									","
											L'univers digital est à la fois
merveilleux et primitif.
											C'est un univers basé sur la causalité.
											En tant que développeurs, 
nous imaginons les différentes actions
											et nous programmons
les différentes réactions.
											Double-cliquer sur une icône, 
c'est l'action ;
											ouvrir l'application,
c'est la réaction.
											Appliquer cela à notre univers physique
											est bien trop contraignant
											parce que notre univers n'est pas digital.
											Notre univers est analogique.
											Notre univers ne fonctionne pas
à coup de 0 ou 1,
											vrai ou faux, blanc ou noir.
											Nous existons dans un monde gouverné
par les lois de la physique quantique,
											un univers de 0 et de 1 en même temps,
											une réalité basée sur des probabilités
infinies et des nuances de gris.
											Vous pouvez voir comme
ces mondes sont en contradiction.
									",A futuristic vision of the age of holograms,Alex Kipman,19:05,"communication,computers,engineering,creativity,design,exploration,innovation,interface design,microsoft,invention,potential,NASA,product design,prediction,visualizations,technology,future"
"
","
","
",A futuristic vision of the age of holograms,Alex Kipman,19:05,"communication,computers,engineering,creativity,design,exploration,innovation,interface design,microsoft,invention,potential,NASA,product design,prediction,visualizations,technology,future"
"
											Bence bilgisayarlar bize
											süper güçler verdiği için.
											Dijital evrende mekân 
ve zaman kavramlarını
											yok etme gücümüz var.
											Teknolojiyi eğlence, üretim ya da iletişim
											amacıyla kullanmanız fark etmez.
											Şöyle düşünün:
											Bu gece hepimiz eve gidip
											televizyonda en sevdiğimiz 
programı izleyelim.
											İşte sinema — 
zaman ve mekân kavramı yok edildi.
											Bu TED konuşmasını bitirir bitirmez,
											hemen Seattle'daki 
biricik ailemi arayacağım.
											Bu mekân kavramının yok edilmesidir.
											Şimdi, bunlar o kadar 
muazzam süper güçler ki
											günümüzün dijital dünyasındaki
											iki boyutlu sınırlara 
tahammül edebiliyoruz.
											Peki ya bunu yapmak zorunda olmasaydık?
											Sahip olduğumuz bu dijital güçlere
											normal dünyamızda sahip olsaydık?
											Bunun ilk ışıltılarını 
zaten görebiliyorsunuz,
											ama inanıyorum ki torunlarımız
											teknolojinin 2 boyutlu olmadığı 
bir dünyada büyüyecek.
											Böyle bir dünyanın hayalini 
kurmak fevkalade bir şey,
											teknolojinin bizi tamamıyla 
anladığı bir dünya,
											—yaşadığımız, çalıştığımız 
ve iletişim kurduğumuz yer—
											insan deneyimini artıran araçlarla,
											insanlığımızı kısıtlayan 
makinelerle değil.
									","
											Porque estão os ecrãs tão infiltrados
na nossa vida analógica?
											Vemos ecrãs desde que acordamos,
											até ao momento em que adormecemos.
											Porquê?
									","
											Alors pourquoi les écrans sont-ils
si présents dans notre vie analogique ?
											On voit des écrans du matin au soir.
											Pourquoi ?
									",A futuristic vision of the age of holograms,Alex Kipman,19:05,"communication,computers,engineering,creativity,design,exploration,innovation,interface design,microsoft,invention,potential,NASA,product design,prediction,visualizations,technology,future"
"
","
","
",A futuristic vision of the age of holograms,Alex Kipman,19:05,"communication,computers,engineering,creativity,design,exploration,innovation,interface design,microsoft,invention,potential,NASA,product design,prediction,visualizations,technology,future"
"
											Peki buraya nasıl ulaşacağız?
											Bana göre cevap,
											probleme farklı bir açıdan 
bakmayı gerektiriyor.
											Dünyayı makinelerin açısından 
algılamayı gerektiriyor.
											Eğer dünyayı anlamaya 
çalışan bir makineyseniz,
											sahiden problemi nasıl alt ederdiniz?
											Muhtemelen her şeyi 
sınıflandırmaya çalışırsınız,
											bir insan,
											bir ortam
											ya da bir nesne olarak.
											Peki bu makine sonrasında 
gerçeklikle nasıl etkileşime geçecek?
											Üç yöntem düşünüyorum.
									","
											Penso que é porque os computadores
nos dão superpoderes.
											Dentro do universo digital, 
temos o poder de deslocar o espaço
											e de deslocar o tempo.
											Não interessa se usamos
a tecnologia para entretenimento,
											produtividade ou comunicação.
											Pensem assim:
											vamos todos para casa esta noite
											assistir ao nosso programa
favorito na televisão.
											Isto é teatro — tempo e espaço deslocados.
											Assim que terminar esta palestra TED,
											vou imediatamente ligar à minha
querida família em Seattle.
											Isso é deslocamento do espaço.
											Estes superpoderes são tão grandes
											que suportamos as limitações
bidimensionais
											do nosso mundo digital atual.
											E se não tivéssemos que o fazer?
											E se pudéssemos ter
os mesmos poderes digitais
											no nosso mundo?
											Podemos já ter vislumbres disto
											mas penso que os nossos netos
											crescerão num mundo desprovido
de tecnologia 2D.
											É notável sonhar com este mundo,
											um mundo em que a tecnologia
nos compreende verdadeiramente
											— onde vivemos, trabalhamos
e comunicamos —
											com ferramentas que realçam
a experiência humana,
											em vez de máquinas que
limitem a nossa humanidade.
									","
											Je crois que c'est parce que l'ordinateur
nous donne des super-pouvoirs.
											Dans l'univers digital,
nous avons le pouvoir de changer l'espace
											et le pouvoir de contrôler le temps.
											Peu importe que vous utilisiez
la technologie pour vous amuser,
											pour travailler ou communiquer.
											Pensez-y ainsi :
											en rentrant chez nous ce soir
											nous allons regarder la télé.
											C'est du cinéma :
le temps et l'espace changent.
											Dès que je termine cette conférence TED,
											je vais aussitôt appeler
mon adorable famille à Seattle,
											c'est un déplacement dans l'espace.
											Ces super-pouvoirs sont si géniaux
											que nous faisons avec
les limitations liées à la 2D
											de notre monde digital actuel.
											Et si cela n'était pas nécessaire ?
											Et si nous pouvions avoir 
ces mêmes pouvoirs digitaux
											dans notre propre monde ?
											On peut déjà en voir les prémisses
											mais je crois que les enfants
de nos enfants
											grandiront dans un monde
débarrassé de la technologie en 2D.
											C'est difficile de rêver d'un tel monde,
											un monde où la technologie
nous comprend vraiment,
											où nous vivons, travaillons 
et communiquons,
											équipés d'outils qui amplifient
notre expérience humaine,
											et non de machines
qui limitent notre humanité.
									",A futuristic vision of the age of holograms,Alex Kipman,19:05,"communication,computers,engineering,creativity,design,exploration,innovation,interface design,microsoft,invention,potential,NASA,product design,prediction,visualizations,technology,future"
"
","
","
",A futuristic vision of the age of holograms,Alex Kipman,19:05,"communication,computers,engineering,creativity,design,exploration,innovation,interface design,microsoft,invention,potential,NASA,product design,prediction,visualizations,technology,future"
"
											En başta, bir makine olarak,
											gerçekliği gözlemler veya 
gerçekliğe giriş yaparım.
											Konuşmayı tanımlama 
ve biyometrik doğrulama
											girdi perspektifinden makinelerin
											insanlarla etkileşimine 
harika örneklerdir.
											İkinci olarak, bir makine olarak,
											dijital veriyi ya da çıktı verisini
											gerçekliğe yerleştiririm.
											Hologramlar makinelerin 
çevreyle etkileşimine
											çıktı perspektifinden örneklerdir.
											Son olarak, bir makine olarak,
											dokunma duyusu aracılığıyla
											dünyayla enerji değişirim.
											Şimdi, sanal bir objenin
											sıcaklığını hissedebildiğinizi düşünün
											ya da daha iyisi, bir hologramı ittiğinizi
											ve onun da sizi eşit kuvvetle 
ittiğini hayal edin.
									","
											Como chegamos lá?
											Para mim, a resposta passa
por olhar para o problema
											com uma perspetiva diferente.
											Sentir o mundo da perspetiva
de uma máquina.
											Se fôssemos uma máquina a tentar
sentir o nosso mundo,
											como resolveríamos o problema?
											Provavelmente, tentaríamos
classificar as coisas
											com um ser humano,
											um ambiente
											ou um objeto.
											Mas como interagiria essa
máquina com a realidade?
											Posso pensar em três modos.
									","
											Comment en arriver là ?
											Selon moi, il nous faut d'abord
observer le problème
											d'un autre point de vue.
											Il nous faut voir le monde
du point de vue d'une machine.
											Si vous étiez une machine
tentant de comprendre notre monde,
											comment aborderiez-vous le problème ?
											Vous essayeriez probablement
de classer les choses :
											voilà un humain,
											voilà un paysage,
											ou un objet.
											Comment cette machine
interagirait-elle avec la réalité ?
											Je vois trois possibilités.
									",A futuristic vision of the age of holograms,Alex Kipman,19:05,"communication,computers,engineering,creativity,design,exploration,innovation,interface design,microsoft,invention,potential,NASA,product design,prediction,visualizations,technology,future"
"
","
","
",A futuristic vision of the age of holograms,Alex Kipman,19:05,"communication,computers,engineering,creativity,design,exploration,innovation,interface design,microsoft,invention,potential,NASA,product design,prediction,visualizations,technology,future"
"
											Bu perspektifle,
											gerçekliği basit bir kalıba dökebiliriz.
											İşte bir sır:
											Bir mühendis olarak, bir şeyi bir kalıba
											indirgediğim her an heyecanlanırım.
											Otonom araçlardan
											akıllı telefonlara
											kafamdaki bu holografik bilgisayarla,
											makineler bizim dünyamızı 
anlayabilecek hâle geliyor.
											Ve bizimle çok daha kişisel yollarla
											etkileşim kurmaya başlıyorlar.
									","
											Primeiro, como uma máquina,
											observaria ou assimilaria a realidade.
											O reconhecimento de voz
e a autenticação biométrica
											são grandes exemplos de uma máquina
a interagir com seres humanos,
											de uma perspetiva de entrada de dados.
											Em segundo, como uma máquina,
											poderia colocar informações
digitais ou de saída
											na realidade.
											Os hologramas são exemplos de uma máquina
a interagir com um ambiente
											de uma perspetiva de saída de dados.
											Finalmente, como uma máquina,
											poderia trocar energia com
o mundo de um modo táctil.
											Imaginem poder sentir a temperatura
de um objeto virtual,
											ou melhor ainda, imaginem
empurrar um holograma
											e ele empurrar-nos com igual força.
									","
											Premièrement, en tant que machine,
											j'observerais ou recevrais des données.
											La reconnaissance vocale,
l'authentification biométrique
											sont de bons exemples de machines
interagissant avec les humains
											en réceptionnant des données.
											Deuxièmement, en tant que machine,
											je pourrais placer
des informations digitales, des sorties,
											dans la réalité.
											Les hologrammes sont l'exemple d'une
machine interagissant avec l'environnement
											grâce à des informations sortantes.
											Enfin, en tant que machine,
											je pourrais échanger de l'énergie
avec le monde via les haptiques.
											Imaginez être capable de ressentir
la température d'un objet virtuel,
											ou mieux encore, imaginez
pousser un hologramme
											et qu'il vous repousse
avec une force égale.
									",A futuristic vision of the age of holograms,Alex Kipman,19:05,"communication,computers,engineering,creativity,design,exploration,innovation,interface design,microsoft,invention,potential,NASA,product design,prediction,visualizations,technology,future"
"
","
","
",A futuristic vision of the age of holograms,Alex Kipman,19:05,"communication,computers,engineering,creativity,design,exploration,innovation,interface design,microsoft,invention,potential,NASA,product design,prediction,visualizations,technology,future"
"
											Şimdi, dünyadaki her şey
											üzerinde derinlemesine 
kontrolünüz olduğunu düşünün.
											Kadranı bir yöne çevirin
											ve gerçekliğe geçin.
											Kadranı diğer yöne çevirin
											ve sanal gerçekliğe geçin.
											Şimdi, tüm ortamınızı 
sanal ve gerçek dünyalar
											arasında değiştirdiğinizi hayal edin.
											Burasını çok seviyorum.
											Şimdi sizlere baktığımı ve sizi
											gerçek insanlardan elflere 
çevirdiğimi hayal edin.
											Teknoloji dünyamızı 
tam olarak anladığında,
											etkileşim kurduğumuz yönteme,
											çalıştığımız yönteme ve 
oynadığımız yönteme yeniden dönüşecek.
									","
											Com esta perspetiva,
											podemos reduzir a realidade
numa matriz simples.
											Eis um segredo:
											como engenheiro, fico muito entusiasmado
											sempre que posso reduzir
algo a uma matriz.
											Desde carros autónomos
											a ""smartphones"",
											a este computador holográfico
na minha cabeça,
											as máquinas estão a ficar capazes
de compreender o nosso mundo.
											E estão a começar a interagir connosco
											de modos significativamente mais pessoais.
									","
											De ce point de vue,
											nous sommes capables de réduire
la réalité en une simple matrice.
											Et voilà le secret :
											en tant qu'ingénieur, je deviens intenable
											dès que je peux réduire quelque chose
sous forme de matrice.
											Des voitures autonomes
											aux smartphones,
											jusqu'à cet ordinateur holographique
sur ma tête,
											les machines deviennent capables
de comprendre notre monde.
											Et elles commencent à discuter avec nous
											de façon très personnelle.
									",A futuristic vision of the age of holograms,Alex Kipman,19:05,"communication,computers,engineering,creativity,design,exploration,innovation,interface design,microsoft,invention,potential,NASA,product design,prediction,visualizations,technology,future"
"
","
","
",A futuristic vision of the age of holograms,Alex Kipman,19:05,"communication,computers,engineering,creativity,design,exploration,innovation,interface design,microsoft,invention,potential,NASA,product design,prediction,visualizations,technology,future"
"
											Yarım yüzyıldan daha az 
bir zaman öncesinde,
											iki gözüpek adam aya iniş yaptı,
											cebinizdeki telefonlardan daha az 
güçlü bilgisayarları kullanarak.
											Altı yüz milyon insan onları
											karıncalı, siyah-beyaz 
televizyonlardan izledi.
											Ve dünya?
											Dünya büyülenmişti.
									","
											Imaginem ter controlo granular
											sobre todas as coisas no mundo.
											Movemos o comando num sentido
											e temos realidade.
											Movemos o comando no outro sentido
											e temos realidade virtual.
											Imaginem ligar todo o nosso ambiente
											entre os mundos virtual e real.
											Adoro isto.
											Imaginem se pudesse olhar para todos vós
											e mudar de seres humanos reais para elfos.
											Quando a tecnologia compreender
verdadeiramente o nosso mundo,
											transformará os modos de interagirmos,
											de trabalharmos e de brincarmos.
									","
											Imaginez : vous avez un bouton de contrôle
											pour l'ensemble du monde.
											Déplacez le curseur d'un côté,
											vous avez la réalité,
											déplacez le curseur de l'autre côté,
											et voilà la réalité virtuelle.
											Imaginez maintenant composer
votre environnement complet
											à partir des mondes réel et virtuel.
											J'aime bien cet endroit.
											Imaginez que je puisse vous regarder tous
											et passer d'« êtres humains » à « elfes ».
											Quand la technologie comprendra
entièrement notre monde,
											elle transformera encore
notre façon de communiquer,
											notre façon de travailler
et même de jouer.
									",A futuristic vision of the age of holograms,Alex Kipman,19:05,"communication,computers,engineering,creativity,design,exploration,innovation,interface design,microsoft,invention,potential,NASA,product design,prediction,visualizations,technology,future"
"
","
","
",A futuristic vision of the age of holograms,Alex Kipman,19:05,"communication,computers,engineering,creativity,design,exploration,innovation,interface design,microsoft,invention,potential,NASA,product design,prediction,visualizations,technology,future"
