en,pt,es,title,speaker,duration,tags
"
											terrified as I walked into the interview,
											thinking, ""What am I going
to ask this person?""
											Or attending board meetings
in a T-shirt surrounded by suits,
											and acronyms are flying around,
											feeling like a five-year-old
											as I surreptitiously write
them down in my notebook,
											so I can look them up on Wikipedia
when I get home later.
									","
											sentia-me petrificado enquanto
me dirigia para a entrevista, pensando:
											""Que vou perguntar a esta pessoa?"".
											Ou ir a reuniões da administração
em ""T-shirt"" rodeado de fatos,
											com abreviaturas a voar
de um lado para o outro,
											a sentir-me como uma criança
											enquanto os escrevia
furtivamente no meu bloco,
											para os consultar na Wikipédia,
quando fosse para casa.
									","
											aterrado mientras caminaba 
hacia la entrevista,
											pensando: ""¿que voy
a preguntar a esta persona?"".
											O al ir a una reunión de directorio
en camiseta, rodeado de gente en traje,
											lleno de acrónimos,
											y sentirme como de 5 años
											mientras los escribo
a escondidas en mi cuaderno
											para poder buscarlos en Wikipedia
después, al volver a casa.
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											Or, in the early days,
											when people would call up
and ask for accounts payable,
											I would freeze and think, ""Wait,
are they asking for money
											or giving it to us?""
									","
											Ou, no primeiros dias,
											quando me ligavam e perguntavam
pelas contas a pagar,
											eu parava e pensava: 
""Espera, eles querem receber
											""ou querem dar-nos dinheiro?""
									","
											O, en los primeros días,
											cuando la gente llamaba
preguntando por las cuentas,
											y me quedaba helado, pensando:
""¿nos están pidiendo dinero
											o nos lo quieren dar?""
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											And I would cover the phone,
											cover the mouthpiece of the phone,
											and say, ""Scott, you're in accounts,""
											and pass it across.
									","
											E eu tapava o telefone,
											o microfone do telefone, e dizia:
											""Scott, tu estás nas contas,""
											e seguia em frente
									","
											Entonces cubría el teléfono,
											la boquilla del teléfono,
											y decía: ""Scott, tú sabes de esto"",
											y se lo pasaba.
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											We both did a lot of jobs back then.
									","
											Naquela altura ambos
fazíamos muitos trabalhos.
									","
											En aquella época, ambos
hicimos muchos trabajos.
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											So for me, impostor syndrome is a feeling
of being well, well out of your depth,
											yet already entrenched in the situation.
											Internally, you know you're not
skilled enough, experienced enough
											or qualified enough
to justify being there,
											yet you are there,
											and you have to figure a way out,
											because you can't just get out.
											It's not a fear of failure,
											and it's not a fear
of being unable to do it.
											It's more a sensation
of getting away with something,
											a fear of being discovered,
											that at any time, someone
is going to figure this out.
											And if they did figure it out,
											you'd honestly think, ""Well,
that's fair enough, actually.""
									","
											Para mim, síndrome de impostor é estar
a trabalhar acima das nossas capacidades,
											embora já inseridos na situação.
											Por dentro, sabemos que não temos
conhecimento e experiência suficientes
											ou qualificação suficiente
que justifique estarmos ali,
											no entanto, ali estamos,
											e temos de arranjar uma solução,
											porque não temos outra saída.
											Não é o medo de falhar,
											nem é o medo de não conseguir fazer.
											É a sensação de sair impune,
											o medo de ser descoberto,
											que em qualquer altura
alguém nos vai descobrir.
											E se alguém nos descobrir, pensamos:
											""Bem, na verdade, é justo.""
									","
											Así que, para mí, el síndrome del impostor
es una sensación de no estar a la altura,
											sin embargo, ya metido en la situación.
											Internamente uno sabe que no tiene
la capacidad, la experiencia
											o las calificaciones suficientes
como para estar ahí,
											pero uno está ahí,
											y tiene que encontrar una salida,
											porque no puede simplemente escaparse.
											No es miedo al fracaso
											ni miedo de no poder hacerlo.
											Es más bien una sensación
de eludir las consecuencias,
											un miedo a ser descubierto,
											de que, en cualquier momento,
alguien se va a dar cuenta.
											Y si se dan cuenta,
											uno piensa: ""bueno, en realidad es justo"".
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											One of my favorite writers,
Neil Gaiman, put it so beautifully
											in a commencement address he gave
at a university, called ""Make Good Art.""
											I want to make sure
I get his quote correct.
									","
											Um dos meus escritores favoritos,
Neil Gaiman, disse-o elegantemente,
											num discurso feito numa universidade,
intitulado ""Faz Boa Arte"".
											Quero ter a certeza
que a citação está correta:
									","
											Uno de mis escritores favoritos,
Neil Gaiman, lo expresó muy bien
											en un discurso de una graduación
de universidad, llamado ""Haz buen arte"".
											Quiero estar seguro
de que lo cito correctamente.
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											""I was convinced that there would be
a knock on the door,
											and a man with a clipboard would be there
to tell me that it was all over,
											that they'd caught up with me,
											and that I would now have to go
and get a real job.""
									","
											""Estava convencido que iria haver
uma batida na porta,
											""e um homem com um bloco na mão
me diria que tudo tinha acabado,
											""que me tinham apanhado,
											""e que agora tinha de ir
em busca de um emprego a sério.""
									","
											""Estaba convencido 
de que golpearían la puerta,
											y un hombre con una carpeta estaría allí
para decirme que todo había terminado,
											que me habían descubierto,
											y que entonces debería irme
y conseguir un trabajo real"".
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											Now, when there's a knock on my door,
											I still feel like some sort of dark-suited
clipboard man is going to be there
											to tell me that my time is kind of up.
											And being a crap cook,
											I'm quite relieved when it's just
someone with a pizza for the kids.
									","
											Atualmente, quando me batem à porta,
											ainda imagino um homem de preto
com um bloco na mão
											que me diz que o meu tempo está a acabar.
											Como sou mau cozinheiro,
											fico aliviado quando é apenas
alguém a entregar ""pizzas"" para os miúdos.
									","
											Ahora, cuando golpean a mi puerta,
											todavía siento como si un hombre
con traje oscuro estará allí
											para decirme que mi tiempo se terminó.
											Y como soy un mal cocinero,
											siento un gran alivio cuando solo es
alguien con una pizza para los chicos.
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											But it's important to note
that it's not all bad.
											There's a lot of goodness,
I think, in those feelings.
											And this isn't some sort of
motivational-poster type talk,
											a ""Begin it now.""
											It's more of an introspection into
my own experiences of impostor syndrome,
											and how I've tried
to learn to harness them
											and turn them into some sort
of a force for good.
									","
											Mas é importante notar
que nem tudo é mau.
											Acho que há muito de bom
nesses sentimentos.
											Isto não é uma conversa
estilo póster motivacional,
											um ""Comece agora!""
											É mais um processo introspectivo
da minha experiência com a síndrome,
											e como aprendi a aproveitá-la
											e transfomá-la numa força benigna.
									","
											Pero es importante destacar
que no todo es malo.
											Creo que en ese sentimiento
hay mucho de bueno.
											Y no se trata de esas charlas 
motivacionales tipo poster,
											como ""Empieza ahora"".
											Más bien reflexiono sobre mis experiencias
con el síndrome del impostor
											y de cómo intenté aprender a aprovecharlas
											y transformarlas
en una fuerza para el bien.
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											And a great example of those experiences
											is in the early days
of Atlassian's history.
											We were about four years old,
and we had about 70 employees.
											And at the advice of our auditors —
											most good stories start
with advice from an auditor —
									","
											Um grande exemplo dessas experiências
											é dos primeiros dias
da história da Atlassian.
											Tínhamos quatro anos de existência
e cerca de 70 empregados.
											O conselho dos nossos auditores
											— as melhores histórias começam
com um conselho de um auditor —
									","
											Un gran ejemplo de esas experiencias
											son los primeros días 
de la historia de Atlassian.
											Llevábamos ya unos cuatro años
y alrededor de 70 empleados.
											Y aconsejados por nuestros auditores
											—muchas buenas historias empiezan así—
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											we entered the New South Wales
Entrepreneur of the Year competition.
											Now, we were surprised when we won
											the New South Wales
Entrepreneur of the Year
											in the young category
for entrepreneurs under 40.
											There were eight categories.
											And so surprised, in fact,
											having looked at the list of people
we were up against,
											I didn't even turn up
to the awards ceremony.
											So Scott collected the gong by himself.
											And then we traveled off
to the national awards.
											I thought I should probably
turn up to those.
											So we rented some suits,
											I invited a girl that I had just met —
											we'll get to her in a second —
									","
											entrámos na competição de Novos
Empresários da Nova Gales do Sul.
											Ficámos surpresos quando ganhámos
											o Empresário do Ano 
da Nova Gales do Sul,
											na categoria de empresários
com menos de 40 anos.
											Havia oito categorias.
											Tão surpresos que, quando vimos
											a lista de pessoas
que estavam a concurso,
											eu nem compareci na cerimónia
da entrega de prémios.
											Foi o Scott que recebeu o prémio sozinho.
											Fomos em viagem
para os prémios nacionais.
											Pensei que, provavelmente,
devia comparecer aí.
											Alugámos uns fatos,
											convidei uma miúda
que acabara de conhecer
											— voltamos a ela mais adiante —
									","
											entramos en la competencia del 
Empresario del Año de Nueva Gales del Sur.
											Nos sorprendió cuando ganamos el premio
											del Empresario del Año de
Nueva Gales del Sur
											en la categoría de empresarios
menores de 40 años.
											Había ocho categorías.
											Y, de hecho, estábamos tan sorprendidos,
											que al ver la lista de gente
contra la que competimos
											ni siquiera asistí
a la entrega de premios.
											Así que Scott recibió el premio solo.
											Y luego viajamos 
para los premios nacionales.
											Pensé que a estos sí debía asistir.
											Así que alquilamos unos trajes,
											invité a una chica 
que recién había conocido
											—en un momento volvemos a ella—
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											and off we went to the big black-tie gala.
											Now, our surprise turned to shock
											in the first award of the night,
the young category,
											when we beat all of the other states
											and won the Australian
Young Entrepreneur of the Year.
											When the shock had worn off,
											we got a lot of champagne to the table
and the party began,
											and the night was surely over.
											We were having a royally great time.
									","
											e fomos à gala, todos janotas.
											A nossa surpresa transformou-se em choque
											no primeiro prémio da noite,
a categoria jovem,
											quando vencemos
todos os outros estados
											e ganhámos o Jovem Empresário
Australiano do Ano.
											Quando o choque se dissipou,
											veio champanhe para a mesa
e a festa começou,
											e pensámos que a noite acabara.
											Estávamos a ter uma noite em grande.
									","
											y fuimos a la función de gala.
											Nuestro asombro se convirtió en sorpresa
											cuando en el primer premio de la noche
											superamos a todos los otros estados
											y ganamos 
el ""Joven Empresario Australiano del Año"".
											Cuando se nos pasó la sorpresa,
											recibimos champán en nuestra mesa
y empezó la fiesta,
											y la noche seguro había terminado.
											La estábamos pasando muy bien.
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											Fast-forward to the last
award of the night,
											and our shock turned
into everybody's shock
											when we won the Australian
Entrepreneur of the Year
											against all of the other categories.
											Now, so shocked was
everybody else, in fact,
											that the announcer,
the CEO of Ernst and Young,
											opened the envelope,
											and the first words out of his mouth
were, ""Oh my God.""
									","
											Avançando para o último
prémio da noite,
											o nosso choque
foi o mesmo de toda a gente
											quando ganhámos o Empresário
Australiano do Ano
											contra todos os outros competidores.
											O choque foi tão grande
											que o apresentador,
o CEO da Ernst and Young,
											abriu o envelope,
											e as suas primeiras palavras
foram: ""Oh! meu Deus"".
									","
											Pero cuando llegó 
el último premio de la noche
											nuestra sorpresa se transformó
en la sorpresa de todos
											cuando ganamos 
el ""Emprendedor Australiano del Año""
											frente a todas las otras categorías.
											De hecho, todos estaban tan sorprendidos
											que el presentador,
el director de Ernst and Youg,
											abrió el sobre,
											y sus primeras palabras fueron: 
""¡Oh, Dios mío!"".
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											(Laughter)
									","
											""Risos""
									","
											(Risas)
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											And then he reset himself
and announced that we had won.
									","
											Recompôs-se e anunciou
que tínhamos ganho.
									","
											Y luego se compuso y anunció
que habíamos ganado.
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											So we knew we were in way too deep.
											And from there,
the water got a lot deeper,
											because we jetted off to Monte Carlo
											to represent Australia
in the World Entrepreneur of the Year
											against 40 other different countries.
									","
											Sabíamos que estávamos em águas profundas.
											A partir daí, as águas ficaram 
ainda mais profundas,
											porque fomos projetados
para Monte Carlo
											para representar a Austrália
no Empresário do Ano Mundial
											contra 40 outros países.
									","
											Así que supimos que estábamos muy metidos.
											Y de allí fuimos mucho 
más profundo todavía,
											ya que viajamos a Montecarlo
											para representar a Australia
en el ""Emprendedor Mundial de Año""
											compitiendo contra otros 40 países.
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											Now, in another rented suit,
I was at one of the dinners
											and sitting next to a lovely man
called Belmiro de Azevedo,
											who was the winner from Portugal.
											Total champion.
											At 65, he had been running
his business for 40 years.
											He had 30,000 employees.
											Don't forget, at the time, we had 70.
											And he had four billion euro in turnover.
											And after a couple of wines,
											I remember admitting to him that I felt
that we did not deserve to be there,
											that we were well out of our depth,
											and at some time, someone
was going to figure this out
											and send us home to Australia.
									","
											Um novo fato alugado,
um novo jantar
											sentado perto de um homem simpático
chamado Belmiro de Azevedo,
											que era o vencedor por Portugal.
											Um verdadeiro campeão.
											Aos 65 anos estava à frente 
da sua empresa há 40 anos.
											Tinha 30 mil empregados.
											Não se esqueçam, nós tínhamos 70.
											Ele tinha receitas
de 4000 milhões de euros.
											Após uns copos de vinho,
											lembro-me de lhe confessar
que não me sentia merecedor de ali estar,
											que estávamos deslocados
naquele ambiente
											e que, em qualquer altura,
alguém se iria aperceber
											e nos enviaria de volta para a Austrália.
									","
											Ahora, en otro traje alquilado,
estaba en una de las cenas
											y a mi lado estaba sentado un hombre
muy agradable, Belmiro de Acevedo,
											que era el ganador de Portugal.
											Un gran campeón.
											A los 65 años, hacía 40 años
que se encargaba de su negocio.
											Tenía 30 000 empleados.
											No olviden que,
en esa época, teníamos 70.
											Y él tenía cuatro mil millones
de euros en facturación.
											Luego de un par de vinos,
											recuerdo haberle admitido que sentía
que no merecíamos estar allí,
											que no estábamos a la altura
											y que, en algún momento,
alguien se daría cuenta
											y nos enviaría de vuelta a Australia.
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											And he, I remember,
just paused and looked at me
											and said that he felt exactly the same way
											and that he suspected all the winners
were feeling that way,
											and that despite not knowing Scott or I
or really anything about technology,
											he said that we were obviously
doing something right
											and should probably just keep going.
									","
											Lembro-me que ele parou,
olhou para mim
											e disse que sentia exactamente o mesmo
											e que suspeitava que todos os vencedores
se sentiam da mesma maneira,
											e que, apesar de não me conhecer
nem ao Scott nem nada sobre tecnologia,
											disse que nós estávamos
claramente a fazer algo bem
											e que devíamos continuar.
									","
											Y recuerdo que él hizo una pausa, me miró,
											y dijo que él sentía exactamente lo mismo,
											que sospechaba que 
los ganadores se sentían igual,
											y que a pesar de no conocerme a mí, 
ni a Scott, ni nada sobre tecnología,
											ciertamente estaríamos haciendo algo bien
											y que seguro debíamos continuar.
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											Now, this was a pretty big
light bulb moment for me for two reasons.
											One, I realized that
other people felt this as well.
											And two, I realized it doesn't go away
with any form of success.
											I had assumed that successful people
didn't feel like frauds,
											and I now know that the opposite
is more likely to be true.
									","
											Este foi um momento ""eureka""
para mim por duas razões.
											Primeiro, percebi que as outras
pessoas sentiam o mesmo.
											Segundo, senti que aquele sentimento
não passa por muito sucesso que atinjamos.
											Pensava que as pessoas de sucesso
não se sentiam como fraudes,
											agora sei que é mais provável
que o oposto seja verdade.
									","
											Este fue un momento de gran inspiración
para mí por dos razones.
											Una, me di cuenta de que las otras
personas sentían lo mismo.
											Y dos, comprendí que esto no se pasa
con ningún tipo de éxito.
											Suponía que la gente exitosa
no se sentía como un fraude,
											y ahora sé que lo opuesto
probablemente sea lo cierto.
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
