en,tr,es,fr,de,title,speaker,duration,tags
"
											And I tormented her ...
											mercilessly.
											I mean, everyone did.
											Even the teachers picked on her.
											It doesn't make it any better, does it?
											Vicky was clearly a troubled kid.
											She would hit herself
and give herself bloody noses
											and she had hygiene problems —
											she had big hygiene problems.
											But instead of helping this girl,
											who was plainly suffering
from hardships in her life ...
											we called her ""Sticky Vicky.""
											I called her ""Sticky Vicky.""
									","
											Ona işkence ettim...
											acımasızca.
											Herkes ona böyle davrandı.
											Öğretmenler bile onunla uğraşırdı.
											Tabii bu durumu daha iyi hâle getirmiyor.
											Vicky oldukça sorunlu bir çocuktu.
											Kendi kendine vururdu
ve burnunu kanatırdı
											ve temizlik sorunları vardı —
											büyük temizlik sorunları vardı.
											Ancak sadece hayatındaki zorlukların
											acısını çekmekte olan bu kıza
yardım etmek yerine...
											ona ''Yapışkan Vicky'' diye isim taktık.
											Ben de ona ''Yapışkan Vicky'' dedim.
									","
											Y yo la atormentaba
											sin piedad.
											En realidad, todos lo hacían.
											Incluso los maestros la hostigaban,
											lo cual no es ningún atenuante, ¿verdad?
											Vicky era sin dudas
una niña con problemas.
											Se autolesionaba 
hasta hacerse sangrar la nariz
											y tenía malos hábitos de higiene,
											muy malos hábitos.
											Pero en lugar de ayudar a esta niña,
											que evidentemente tenía
problemas en su vida,
											le pusimos un apodo: ""Vicky la pringosa"".
											Yo le puse ese apodo.
									","
											Je l'ai tourmentée...
											de façon impitoyable.
											Tout le monde le faisait.
											Même les professeurs la harcelaient.
											Cela n'excuse rien, non ?
											Vicky était clairement
un enfant à problèmes.
											Elle se frappait,
se faisait saigner du nez
											et avait des problèmes d'hygiène,
											de gros problèmes d'hygiène.
											Mais au lieu d'aider cette fille,
											qui souffrait visiblement
du fait de difficultés dans sa vie...
											nous l'appelions « Vicky cramoisie ».
											Je l'appelais « Vicky cramoisie ».
									","
											Und ich schikanierte sie,
											gnadenlos.
											Ich meine, jeder tat das.
											Sogar die Lehrer hackten auf ihr herum.
											Das macht es nicht wirklich besser, oder?
											Vicky war definitiv ein geplagtes Kind.
											Sie schlug sich selbst blutige Nasen
											und sie hatte Hygieneprobleme —
											sie hatte große Probleme mit Hygiene.
											Aber anstatt diesem Mädchen zu helfen,
											das offensichtlich unter Schwierigkeiten
in ihrem Leben litt,
											nannten wir sie ""klebrige Vicky"".
											Ich nannte sie ""klebrige Vicky"".
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											My clearest memory
is standing in the empty hallway
											outside the fifth grade classrooms
											waiting for Vicky
to come out of the bathroom,
											and I have a clipboard and a pen
and a survey I've made up,
											asking about shampoo preferences,
											like I'm doing a study
for science class or something.
											And when Vicky comes out of the bathroom,
											I pounce on her and I ask her
what shampoo she uses.
											Now, to put this in perspective,
											I can't remember the names of my teachers,
											I can't remember the names
of any of the books I read that year,
											I pretty much can't remember
anything from fifth grade,
											but I remember that Vicky told me
she used White Rain shampoo.
											Clear as yesterday,
											like it just happened.
											And as classes let out,
											I ran down the hall shouting
at all the other kids,
											""Sticky Vicky uses White Rain shampoo.
											Don't use White Rain shampoo
											or you'll smell like Sticky Vicky.""
									","
											Hatırladığım en net şey, boş koridorda
											beşinci sınıfların dışında duruyorum,
											Vicky'nin tuvaletten çıkmasını bekliyorum,
											elimde kağıt kalem var,
kendi kendime bir anket yapmışım,
											şampuan tercihlerini soruyorum,
											Sanki Fen Bilgisi dersi için
bir çalışma yapıyorum.
											Vicky tuvaletten çıktığında da
											hemen yanına üşüşüp
hangi şampuanı kullandığını soruyorum.
											Şimdi bunu biraz irdeleyelim,
											öğretmenlerimin isimlerini hatırlamıyorum,
											o yıl okuduğum kitaplardan
hiçbirinin adını hatırlamıyorum,
											beşinci sınıfla ilgili 
hiçbir şey hatırlamıyorum
											ama Vicky'nin White Rain şampuan
kullandığını söylediğini hatırlıyorum.
											Daha dün gibi,
											daha yeni olmuş gibi.
											Dersler geçtikçe de
											koridorlarda diğer çocuklara
bağırdım durdum;
											''Yapışkan Vicky 
White Rain şampuan kullanıyor.
											White Rain kullanmayın
											yoksa Yapışkan Vicky gibi kokarsınız.''
									","
											El recuerdo más vívido que tengo
es el de estar parada en el pasillo vacío
											afuera de las aulas de quinto grado
											esperando a que Vicky
saliera del baño.
											Yo tenía un bloc y un bolígrafo
para hacer una encuesta que inventé
											sobre las preferencias
en el uso de champúes,
											una especie de investigación
para la clase de ciencia.
											Cuando Vicky salió del baño,
											me abalancé sobre ella y le pregunté
qué champú usaba.
											Ahora bien, para ponerlo en perspectiva,
											no recuerdo el nombre de mis maestros,
											ni de ninguno de los libros
que leímos ese año,
											en realidad no recuerdo nada
de mi quinto grado,
											pero sí recuerdo que Vicky dijo
que usaba el champú ""White Rain"".
											Como si fuera ayer,
											como si recién hubiese ocurrido.
											Y cuando todos salieron de la clase,
											corrí por el pasillo gritando:
											""¡'Vicky la pringosa' usa
champú 'White Rain'.
											No usen ese champú;
											si no, olerán como '¡Vicky la pringosa'!"".
									","
											Dans mon souvenir le plus net,
je me tenais dans le couloir vide
											devant les salles de classe de CM2
											en attendant que Vicky
sorte des toilettes.
											J'avais un bloc-notes, un crayon
et un sondage que j'avais créé
											sur les préférences en shampoing,
											comme si je conduisais une étude
pour le cours de sciences.
											Quand Vicky est sortie des toilettes,
											je lui ai demandé
quel shampoing elle utilisait.
											Pour mettre cela en perspective,
											je ne me souviens pas
du nom des professeurs,
											je ne me souviens pas du titre
des livres lus cette année-là,
											je ne me souviens de rien
de l'année de CM2,
											mais je me souviens que Vicky m'a dit
utiliser du shampoing White Rain.
											Comme si c'était hier
											et que cela venait d'arriver.
											A la sortie des classes,
											j'ai couru dans le couloir
en criant à tous les autres :
											« Vicky utilise du shampoing White Rain.
											N'utilisez pas de shampoing White Rain
											ou vous sentirez comme Vicky cramoisie. »
									","
											In meiner deutlichsten Erinnerung 
stehe ich auf dem leeren Gang
											außerhalb des Klassenzimmers
											und warte, dass Vicky 
von der Toilette kommt
											und ich habe ein Klemmbrett,
Stift und eine erfundene Umfrage
											über Shampoo Vorlieben,
											so als würde ich eine Studie 
für die Wissenschaftsklasse machen.
											Und als Vicky von der Toilette kommt,
											stürze ich zu ihr und frage, 
welches Shampoo sie benutzt.
											Um das in Perspektive zu rücken:
											Ich erinnere mich nicht an meine Lehrer,
nicht an die Bücher, die ich gelesen habe.
											Ich erinnere mich an 
fast nichts aus der 5. Klasse,
											aber ich weiß noch, dass Vicky 
White Rain Shampoo benutzte.
											So deutlich wie gestern,
											als wäre es gerade erst passiert.
											Danach renne ich
											den Gang entlang 
und rufe zu den anderen Kindern,
											""Die klebrige Vicky benutzt 
White Rain Shampoo.
											Benutzt nicht White Rain Shampoo
											oder ihr werdet wie 
die klebrige Vicky riechen.""
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											I forgot about this memory
for a long time.
											When I finally started remembering it,
											I immediately needed to know more.
											I reached out to friends
and eventually social media,
											and I did everything I could
to try to find Vicky.
											I needed to know that she was OK,
											and that I hadn't ruined her life.
									","
											Bunu uzun bir süre unutmuştum.
											Sonra tekrar hatırlamaya başlayınca
											hemen daha fazlasını bilmek istedim.
											Sosyal medyadan arkadaşlarıma ulaştım,
											Vicky'yi bulmak için
yapabileceğim her şeyi yaptım.
											Onun iyi olduğunu bilmem gerekiyordu
											ve hayatını mahvetmediğimi.
									","
											Borré ese recuerdo un largo tiempo.
											Cuando después empecé a acordarme,
											inmediatamente necesitaba saber más.
											Contacté a amigos, intenté
en las redes sociales,
											hice todo lo posible
para encontrar a Vicky.
											Necesitaba saber que estaba bien,
											y que no le había arruinado la vida.
									","
											J'ai longtemps oublié ce souvenir.
											Quand j'ai commencé à m'en souvenir,
											j'ai eu besoin d'en savoir plus.
											J'ai contacté des amis
et utilisé les réseaux sociaux
											et j'ai fait tout mon possible
pour trouver Vicky.
											J'avais besoin de savoir
qu'elle allait bien
											et que je n'avais pas gâché sa vie.
									","
											Ich habe das lange vergessen.
											Als ich mich wieder daran erinnerte,
musste ich sofort mehr wissen.
											Ich kontaktierte Freunde
und soziale Medien,
											und ich tat alles,
um Vicky ausfindig zu machen.
											Ich musste wissen, dass sie O.K. war
											und ich nicht ihr Leben ruiniert hatte.
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											(Sigh)
									","
											(İç çeker)
									","
											(Suspira)
									","
											(Soupir)
									","
											(Seufzen)
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											But what I quickly realized
											was I wasn't just trying to figure out
what happened to Vicky.
											I was trying to figure out
what happened to me.
									","
											Ancak hemen fark ettim ki
											sadece Vicky'ye ne olduğunu
anlamaya çalışmıyordum.
											Bana ne olduğunu 
anlamaya çalışıyordum.
									","
											Pero enseguida entendí
que lo que buscaba en realidad
											no era saber lo que le pasó a Vicky,
											sino lo que me pasaba a mí.
									","
											J'ai vite réalisé
											que je n'essayais pas juste de découvrir
ce qui était arrivé à Vicky.
											J'essayais de découvrir
ce qui m'était arrivé.
									","
											Mir wurde schnell klar,

											dass ich nicht nur versuchte
herauszufinden, was mit Vicky geschah.
											Ich versuchte herauszufinden,
was mit mir geschah.
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											When I was 10 years old,
											I treated another human being
like some worthless other ...
											like I was better than her,
											and she was garbage.
											What kind of a nice person does that?
											I mean, I know I was only a kid,
											but not all kids do that.
											Most kids don't do that, right?
											So, what if I wasn't nice after all?
											I was really just a hateful monster.
									","
											10 yaşındayken
											başka bir insana çok değersiz
biri gibi davrandım...
											ondan daha iyiymişim
											ve o bir pislikmiş gibi.
											Nasıl bir insan bunu yapar ki?
											Yalnızca bir çocuktum
											ama bütün çocuklar bunu yapmaz.
											Çoğu çocuk bunu yapmaz, değil mi?
											Ya geçmişte iyi biri olamamışsam?
											Nefret dolu bir canavardım ben aslında.
									","
											Cuando tenía 10 años,
											traté a otro ser humano
como un ser inservible ...
											como si yo fuera mejor que ella,
											y ella fuese una basura.
											¿Qué buena persona hace algo así?
											Es decir, sé que yo era tan solo una niña,
											pero no todos lo niños lo hacen.
											La mayoría no lo hace, ¿verdad?
											Entonces, ¿y si yo no era tan buena
a fin de cuentas
											y era en realidad
un monstruo lleno de odio?
									","
											Quand j'avais 10 ans,
											j'ai traité un autre être humain
comme étant sans valeur...
											comme si j'étais meilleure qu'elle
											et qu'elle n'était qu'un déchet.
											Quelle gentille personne fait cela ?
											Je n'étais qu'une enfant,
mais tous les enfants ne font pas ça.
											La plupart des enfants ne font pas ça.
											Et si, après tout,
je n'étais pas gentille ?
											J'étais vraiment un monstre détestable.
									","
											Als ich 10 Jahre alt war,
											behandelte ich einen anderen Menschen
wie ein wertloses Ding,
											als wäre ich besser als sie,
											als wäre sie Müll.
											Was für ein netter Mensch tut das?
											Ich weiß, ich war nur ein Kind,
											aber nicht alle Kinder tun das.
											Die meisten Kinder 
tun so etwas nicht, oder?
											Was also, wenn ich 
überhaupt nicht nett bin?
											Sondern in Wirklichkeit
nur ein abscheuliches Monster.
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											Then I started to notice myself
having these mean impulses,
											thinking mean thoughts
											and wanting to say them.
											Admittedly, most of my mean thoughts
were about conservatives.
									","
											Sonra kötü içgüdülerim olduğunu
fark etmeye başladım,
											kötü düşüncelerim olduğunu
											ve onları söylemek istediğimi.
											Açıkçası, kötü düşüncelerimin çoğu
muhafazakârlar hakkındaydı.
									","
											Luego empecé a notar 
estos impulsos de maldad en mí,
											a tener estos malos pensamientos
											y a querer decirlos.
											Debo admitir que la mayoría
de mis malos pensamientos
											estaba dedicado a los conservadores.
									","
											J'ai commencé à remarquer
que j'avais des pulsions méchantes,
											j'avais des pensées méchantes
											et je voulais les exprimer.
											La plupart de mes pensées méchantes
étaient à propos des conservateurs.
									","
											Dann bemerkte ich an mir 
diese gemeinen Impulse,
											fiese Gedanken zu denken
											und sie aussprechen zu wollen.
											Zugegeben, die meisten
dieser Gedanken betrafen Konservative.
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risas)
									","
											(Rires)
									","
											(Lachen)
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											But not just conservatives.
											I also caught myself thinking mean things
about mushy, centrist liberals
											and greedy Wall Street bankers
											and Islamophobes
											and slow drivers,
											because I really hate slow drivers.
									","
											Ama sadece onlar değil.
											Aşırı duygusal, merkezci liberaller
hakkında da kötü düşüncelerim vardı,
											açgözlü Wall Street bankacıları,
											İslamofobikler
											ve yavaş şoförler hakkında da
											çünkü yavaş sürücülerden
gerçekten nefret ediyorum.
									","
											Pero no solo a los conservadores.
											Me descubrí pensando cosas malas
sobre los liberales blandos, de centro,
											y los ambiciosos banqueros de Wall Street
											y los islamofóbicos
											y los conductores lentos,
											porque de verdad odio
a los conductores lentos.
									","
											Mais pas qu'eux.
											Je me suis surprise à avoir
des pensées méchantes
											sur les libéraux mous et centristes,
											les banquiers avides de Wall Street,
											les islamophobes,
											les gens qui conduisent lentement,
											parce que je déteste vraiment cela.
									","
											Aber nicht nur Konservative.
											Ich ertappte mich auch dabei, fiese Sachen
über verweichlichte Liberale zu denken
											und gierige Börsenmakler
											und Islamhasser
											und langsame Autofahrer,
											weil ich langsame Autofahrer
wirklich hasse.
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risas)
									","
											(Rires)
									","
											(Lachen)
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											And as I'd catch myself
in these moments of hypocrisy,
											either I was just noticing them
or they were getting worse,
											especially in the last few years.
											And as I felt more hateful —
											rageful, really —
											I noticed the world around me
seemed to be getting more hateful, too.
											Like there was this steady
undercurrent of hate
											bubbling up all around us
											and increasingly overflowing.
									","
											Kendimi bu ikiyüzlülük anlarında
yakaladığımda
											ya bunları fark ediyordum
ya da daha kötüye gidiyorlardı,
											özellikle son birkaç yıl içinde.
											Daha nefret dolu hissetikçe de...
											gerçekten öfke dolu —
											çevremdeki dünya da
daha nefret dolu hâle geliyor gibiydi.
											Sanki durmadan akan
bir nefret akıntısı vardı,
											etrafımızda köpürüyor
											ve gitgide taşıyor.
									","
											Y cuando me descubría
en estos momentos de hipocresía,
											era porque los notaba más,
o bien porque eran cada vez peores,
											especialmente en los últimos años
											Y cuanto más odio sentía,
											ira, en realidad,
											era como si el mundo a mi alrededor
también se llenara de más odio.
											Como si hubiera una corriente
constante y subyacente de odio
											fluyendo a nuestro alrededor
											y desbordándose cada vez más.
									","
											Et en me surprenant
durant ces moments d'hypocrisie,
											soit je ne faisais que les remarquer,
soit ils empiraient,
											surtout les dernières années.
											Alors que je me sentais plus haineuse —
											enragée, vraiment —
											j'ai remarqué que le monde autour
devenait aussi plus haineux.
											Comme s'il y avait
un courant de haine profond
											qui bouillonnait autour de nous
											et débordait de plus en plus.
									","
											Wenn ich mich in diesen Momenten 
der Heuchelei erwischte,
											bemerkte ich sie mehr
oder sie wurden sogar schlimmer,
											besonders in den letzten Jahren.
											Und je mehr hasserfüllt ich mich fühlte,
											voller Wut,
											merkte ich, dass die Welt um mich herum
auch immer hasserfüllter wurde.
											Als gäbe es diesen ständigen
Unterton von Hass,
											der überall um uns herum hochbrodelte
											und immer mehr überkochte.
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											So the plus side, I guess,
											is that I realized that hate
was not just my problem,
											which is like, the most
selfish plus side ever —
									","
											İşin iyi yanı sanırım şu ki
											nefretin sadece benim sorunum
olmadığını fark ettim,
											ki bence bu en bencil iyi yan —
									","
											El lado positivo, creo,
											es que el odio no era un problema
exclusivamente mío,
											que es el lado positivo más egoísta
que pueda existir.
									","
											Le bon côté, je suppose,
											est que j'ai réalisé que la haine
n'était pas que mon problème,
											ce qui est le bon côté
le plus égoïste qu'il soit —
									","
											Die gute Seite ist, nehme ich an,
											dass ich merkte, dass Hass
nicht alleine mein Problem war,
											was so ungefähr die absolut
selbstsüchtigste Sichtweise ist —
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risas)
									","
											(Rires)
									","
											(Lachen)
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											because now instead of just my own hate
and cruelty to try to figure out,
											I had a whole world of hate
I wanted to unravel
											and understand and fix.
									","
											çünkü anlamam gereken yalnızca
kendi nefret ve zalimliğim yerine
											ortaya çıkarmam, anlamam
ve düzeltmem gereken
											nefret dolu bir dünya vardı.
									","
											Porque ahora, en vez de tener que resolver
mi propio odio y mi propia crueldad,
											quería desentrañar
todo un mundo de odio,
											entenderlo y arreglarlo.
									","
											car au lieu d'avoir à comprendre
ma haine et ma cruauté,
											je voulais démêler tout un monde de haine,
											le comprendre et arranger les choses.
									","
											Jetzt hatte ich nicht nur meinen eigenen
Hass und Grausamkeit zu verstehen,
											ich hatte eine ganze Welt aus Hass,
die ich entwirren,
											verstehen und heilen wollte.
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											So I did what all overly intellectual
people do when they have a problem
											that they want to understand,
											and I wrote a book.
									","
											Ben de anlamaya çalıştıkları
bir sorun olduğunda
											kültürlü insanların yaptığını yaptım
											ve bir kitap yazdım.
									","
											Así que hice lo que
todo intelectual hace
											cuando tiene un problema
que quiere entender:
											escribí un libro.
									","
											J'ai fait ce que tout personne
trop intellectuelle
											fait face à un problème
qu'elle veut comprendre :
											j'ai écrit un livre.
									","
											Also tat ich, was alle
übermäßig intellektuellen Menschen tun,
											wenn sie ein Problem haben,
das sie verstehen wollen:
											Ich schrieb ein Buch.
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risas)
									","
											(Rires)
									","
											(Lachen)
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											I wrote a book about hate.
											Spoiler alert:
											I'm against it.
									","
											Nefret hakkında bir kitap yazdım.
											Zevkini kaçıracağım:
											Ben nefrete karşıtım.
									","
											Un libro sobre el odio.
											Alerta de ""spoiler"":
											Estoy en contra.
									","
											J'ai écrit un livre sur la haine.
											Attention, scoop :
											je suis contre.
									","
											Ich schrieb ein Buch über Hass.
											Spoiler-Alarm:
											Ich bin dagegen.
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risas)
									","
											(Rires)
									","
											(Lachen)
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
