en,tr,fr,es,de,title,speaker,duration,tags
"
","
","
","
","
",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Rires)
									","
											(Risas)
									","
											(Lachen)
									",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
","
","
","
","
",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
											All this goes double for LGBTQI
women's sexuality,
											which has been hated
and erased in specific ways.
									","
											Belirli biçimlerde
nefret edilen ve silinen
											LGBTQI kadınlarının
cinselliği için bu ikiye katlanıyor.
									","
											Cela s'applique doublement
à la sexualité des femmes LGBTQI
											qui a été haïe et bannie
de façon spécifique.
									","
											Todo esto se duplica 
en la sexualidad femenina
											de las personas LGBTQI,
											que ha sido odiada y borrada
de maneras muy concretas.
									","
											All das zählt doppelt
bei der Sexualität von LGBTQI-Frauen,
											die auf bestimmte Weise 
gehasst und ausgelöscht wird.
									",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
","
","
","
","
",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
											Ignorance about the female body
goes back centuries.
											It goes back to the beginning
of modern medicine.
											Cast your mind back to the 16th century,
											a time of scientific revolution in Europe.
											Men of ideas were challenging old dogmas.
											They were building telescopes
to gaze up at the stars.
											We were making progress ...
											sometimes.
											You see, the fathers of anatomy —
											and I say ""fathers"" because,
let's face it, they were all dudes —
											were poking about between women's legs
											and trying to classify what they saw.
											They weren't quite sure
what to do with the clitoris.
											It didn't appear to have
anything to do with making babies.
											The leading anatomist at the time declared
											that it was probably
some kind of abnormal growth —
									","
											Kadın vücudu konusundaki cehalet,
yüzyıllar öncesine dayanıyor.
											Modern tıbbın başlangıcına dayanıyor.
											Zihninizi 16. yüzyıla götürün,
											Avrupa'da bilimsel devrim zamanı.
											Fikir adamları eski doktrinlerle
mücadele ediyorlar.
											Yıldızları izlemek için
teleskoplar yapıyorlar.
											İlerleme kaydediyoruz,
											bazen.
											İşte, anatominin babaları —
											ve ""babaları"" diyorum çünkü
yüzleşmemiz gerek, hepsi erkekti —
											kadınların bacak arasına bakıyor
											ve gördüklerini
sınıflandırmaya çalışıyorlardı.
											Klitoris ile ne yapacaklarından
çok da emin değillerdi.
											Bebek yapmakla
bir alakası yok gibi görünüyordu.
											O zamanın öncü anatomi uzmanları
											bunun muhtemelen bir tür
anormal büyüme olduğunu ilan ettiler —
									","
											L'ignorance sur le corps féminin
remonte à des siècles.
											Elle remonte au début
de la médecine moderne.
											Retournez au XVIe siècle,
											une ère de révolution
scientifique en Europe.
											Les hommes d'idées remettaient
en question les vieux dogmes.
											Ils créaient des télescopes
pour admirer les étoiles.
											Nous réalisions des progrès...
											parfois.
											Les pères de l'anatomie —
											et je dis « pères » car ce n'étaient
que des hommes —
											fourrageaient entre les jambes des femmes
											et essayaient de répertorier
ce qu'ils voyaient.
											Ils n'étaient pas trop sûrs
au sujet du clitoris.
											Il semblait n'avoir rien à faire
avec le fait de faire des bébés.
											L'éminent anatomiste de l'époque a déclaré
											que c'était probablement
une croissance anormale —
									","
											La ignorancia sobre el cuerpo 
femenino se remonta a siglos.
											Se remonta a los comienzos
de la medicina moderna.
											Retrocedamos al siglo XVI,
											una época de revolución 
científica en Europa.
											Los hombres de ideas 
cuestionaban los dogmas antiguos.
											Construían telescopios
para mirar las estrellas.
											Progresábamos...
											a veces.
											Lo cierto es que los padres
de la anatomía,
											y digo ""padres"" porque, seamos 
claros, todos eran hombres...
											curioseaban entre
las piernas de las mujeres
											para intentar clasificar lo que veían.
											No tenían muy claro 
qué hacer con el clítoris.
											No parecía tener nada 
que ver con hacer bebés.
											El principal anatomista
de la época declaró
											que probablemente fuera
un crecimiento anormal...
									","
											Die Ignoranz gegenüber
dem weiblichen Körper ist sehr alt.
											Sie reicht zurück zum Beginn 
der modernen Medizin.
											Versetzen Sie sich ins 16. Jahrhundert,
											eine Zeit der wissenschaftlichen 
Revolution in Europa.
											Kreative Männer
stellten alte Dogmen in Frage.
											Sie bauten Teleskope, 
um in die Sterne zu schauen.
											Wir kamen voran ... manchmal.
											De Väter der Anatomie —
											und ich sage ""Väter"",
denn ehrlich, es waren nur Kerle —
											stöberten zwischen den Beinen
der Frauen herum
											und versuchten zu benennen, was sie sahen.
											Sie waren nicht ganz sicher, 
was sie mit der Klitoris machen sollten.
											Zum Kindermachen schien sie
nicht notwendig zu sein.
											Der damals führende Anatom verkündete,
											sie sei wahrscheinlich
eine Art abnormaler Wucherung,
									",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
","
","
","
","
",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Rires)
									","
											(Risas)
									","
											(Lachen)
									",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
","
","
","
","
",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
											and that any woman who had one
was probably a hermaphrodite.
											It got so bad that parents would sometimes
have their daughter's clitoris cut off
											if it was deemed too large.
											That's right.
											Something we think of today
as female genital mutilation
											was practiced in the West
as late as the 20th century.
											You have to wonder:
											if they were that confused
about women's bodies,
											why didn't they just ask women
for a little help?
									","
											ve buna sahip olan bir kadının da
muhtemelen çift cinsiyetli olduğunu.
											Bu öyle kötü gitti ki
bazı aileler kızlarının klitorisi
											çok büyük bulunduğunda onu kestirdiler.
											Bu doğru.
											Bugün kadın sünneti olarak
düşündüğümüz bir şey,
											Batı'da 20. yüzyıl kadar
geç bir zamanda gerçekleştiriliyordu.
											Merak etmelisiniz:
											Kadın vücutları hakkında
kafaları bu denli karışıksa
											neden gidip kadınlardan
birazcık yardım istemediler?
									","
											et que toute femme en ayant un
était probablement hermaphrodite.
											Les choses ont si mal tourné que, parfois,
											les parents faisaient couper
le clitoris de leur fille
											si on l'estimait trop gros.
											C'est vrai.
											Une chose que nous considérons
comme de la mutilation génitale féminine
											a été pratiquée en Occident
jusqu'au XXe siècle.
											Vous devez vous demander :
											s'ils étaient si déconcertés
par le corps féminin,
											pourquoi n'ont-ils pas demandé
de l'aide aux femmes ?
									","
											y que todas las mujeres que lo tuvieran
probablemente fueran hermafroditas.
											Se lo consideró tan malo
											que a veces los padres mandaban 
cortar el clítoris a sus hijas
											si se lo consideraba demasiado grande.
											Es cierto.
											Lo que hoy llamamos
""mutilación genital femenina""
											se practicó en Occidente
hasta casi el siglo XX.
											Deben preguntarse:
											si estaban tan confundidos
con el cuerpos femenino,
											¿por qué no pedían ayuda a las mujeres?
									","
											und dass Frauen, die eine hatten,
wohl Hermaphroditen seien.
											Es wurde so schlimm, dass Eltern manchmal
die Klitoris der Töchter entfernen ließen,
											wenn sie als zu groß erachtet wurde.
											Ja, richtig.
											Was wir heute als weibliche
Genitalverstümmelung betrachten,
											wurde im Westen 
bis ins 20. Jahrhundert praktiziert.
											Man muss sich wundern:
											Wenn Männer so verwirrt 
vom weiblichen Körper waren,
											warum baten sie nicht einfach 
Frauen um etwas Hilfe?
									",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
","
","
","
","
",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
											But you must be thinking,
""All that was history.
											It's a different world now.
											Women have everything.
											They have the birth control pill,
											they have sexting
and Tinder and vajazzling.""
									","
											Ama şöyle düşünebilirsiniz,
""Bunların hepsi tarih.
											Dünya artık farklı bir dünya.
											Kadınlar her şeye sahip.
											Doğum kontrol hapları,
seks mesajlaşmaları ve Tinder
											ve cinsel organın
çevresini süsleme diye bir şey var.""
									","
											Mais vous devez vous dire :
« Tout cela, c'est du passé.
											Le monde est différent aujourd'hui.
											Les femmes ont tout.
											Elles ont la pilule contraceptive,
											elles ont les sextos, Tinder
et le « vajazzling ».
									","
											Pero Uds. deben pensar:
""Todo eso es historia.
											Ahora el mundo es distinto.
											Las mujeres lo tienen todo.
											Tienen la píldora anticonceptiva,
											tienen el 'sexting', Tinder
y la decoración genital"".
									","
											Aber Sie denken jetzt sicher: 
""All das war Geschichte.
											Die Welt ist jetzt anders.
											Frauen haben alles.
											Sie haben die Antibabypille,
											sie haben Sexting 
und Tinder und Vajazzling.""
									",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
","
","
","
","
",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Rires)
									","
											(Risas)
									","
											(Lachen)
									",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
","
","
","
","
",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
											Things must be better now.
											But medical ignorance
of the female body continues.
											How many of you recognize this?
											It's the full structure of the clitoris.
											We think of the clitoris
as this little pea-sized nub,
											but actually it extends
deep into the body.
											Most of it lies under the skin.
											It contains almost as much
erectile tissue as the penis.
											It's beautiful, isn't it?
											It looks a little like a swan.
									","
											Artık her şey daha iyi olmalı.
											Fakat kadın vücuduna dair
tıbbi cehalet devam ediyor.
											Bunu kaçınız hatırlıyor?
											Bu, klitorisin tam yapısı.
											Klitorisi bu küçük bezelye
boyutundaki çıkıntı olarak düşünüyoruz
											fakat aslında, vücudun
derinlerine uzanıyor.
											Çoğu kısmı derinin altında bulunuyor.
											Neredeyse peniste olduğu kadar
çok erektil doku içeriyor.
											Güzel, değil mi?
											Küçük bir kuğuya benziyor.
									","
											Les choses sont forcément
mieux aujourd'hui.
											Mais l'ignorance médicale
sur le corps des femmes continue.
											Combien d'entre vous reconnaissent ceci ?
											C'est la structure entière du clitoris.
											Nous voyons le clitoris comme
cette protubérance de la taille d'un pois
											mais il s'étend profondément
dans le corps.
											La plupart se trouve sous la peau.
											Il contient presque autant
de tissu érectile que le pénis.
											C'est beau, n'est-ce pas ?
											Il ressemble un peu à un cygne.
									","
											Las cosas seguro que han mejorado.
											Pero la ignorancia médica
sobre el cuerpo femenino continúa.
											¿Cuantos de Uds. reconocen esto?
											Es la estructura completa del clítoris.
											Lo vemos como una protuberancia 
del tamaño de un guisante,
											pero la verdad es que se extiende
hacia el interior del cuerpo.
											La mayor parte está debajo de la piel.
											Contiene casi tanto tejido 
eréctil como el pene.
											Es precioso, ¿verdad?
											Se parece un poco a un cisne.
									","
											Es muss doch jetzt besser sein.
											Aber die medizinische Ignoranz
gegenüber dem weiblichen Körper hält an.
											Wie viele von Ihnen erkennen das?
											Das ist die komplette
Struktur der Klitoris.
											Wir sehen die Klitoris
als kleinen, erbsengroßen Stummel;
											tatsächlich reicht sie jedoch 
tief in den Körper hinein.
											Der Großteil liegt unter der Haut.
											Sie hat fast genau so viele 
Schwellkörper wie der Penis.
											Sie ist wunderschön, oder?
											Sie ähnelt etwas einem Schwan.
									",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
","
","
","
","
",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Rires)
									","
											(Risas)
									","
											(Lachen)
									",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
","
","
","
","
",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
											This sculpture is by an artist
named Sophia Wallace
											as part of her ""Cliteracy"" project.
									","
											Bu heykel Sophia Wallace
adlı bir sanatçının,
											""Klitoris Okur Yazarlığı""
projesinin bir parçası.
									","
											Cette sculpture est d'une artiste
appelée Sophia Wallace
											et faisait partie de son projet
« Clitorétisation ».
									","
											Esta escultura es de una artista
llamada Sophia Wallace,
											parte de su proyecto ""Cliteracy"".
									","
											Diese Skulptur stammt 
von der Künstlerin Sophia Wallace,
											und ist Teil ihres Projekts ""Cliteracy"".
									",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
","
","
","
","
",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Rires)
									","
											(Risas)
									","
											(Lachen)
									",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
","
","
","
","
",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
											She believes we need more ""cliteracy,""
											and it's true, considering
that this structure
											was only fully 3-D mapped
by researchers in 2009.
											That was after we finished mapping
the entire human genome.
									","
											Daha çok okur yazarlığa
ihtiyacımız olduğuna inanıyor
											ve araştırmacıların bu yapıyı tam olarak
											yalnızca 2009'da 3-D haritaladığını
düşünürsek bu doğru.
											Bu, biz bütün insan genomunu
haritalamayı bitirdikten hemen sonra oldu.
									","
											Il nous faut plus de « clitorétisation »
											et c'est vrai, si l'on considère
que cette structure
											n'a été modélisée entièrement en 3D
par des chercheurs qu'en 2009.
											C'était après que nous avons fini
de séquencer entièrement le génome humain.
									","
											Ella cree que necesitamos
saber más sobre el clítoris
											y es verdad si tenemos
en cuenta que esta estructura
											fue mapeada completamente en 3D
por investigadores recién en 2009.
											Esto fue después de terminar
de mapear todo el genoma humano.
									","
											Sie denkt, wir brauchen mehr ""Cliteracy"".
											Das ist wahr, wenn man bedenkt,
											dass diese Struktur von der Wissenschaft
											erst 2009 komplett in 3D abgebildet wurde.
											Das war nach der vollständigen Abbildung 
des gesamten menschlichen Genoms.
									",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
","
","
","
","
",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Rires)
									","
											(Risas)
									","
											(Lachen)
									",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
","
","
","
","
",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
											This ignorance has real-life consequences.
											In a medical journal in 2005,
											Dr. Helen O'Connell, a urologist,
											warned her colleagues that this structure
was still nowhere to be found
											in basic medical journals —
											textbooks like ""Gray's Anatomy.""
											This could have serious
consequences for surgery.
									","
											Bu cehaletin, gerçek yaşam sonuçları var.
											2005'de bir tıp dergisinde
											bir ürolog olan Dr. Helen O'Connell
											meslektaşlarını, bu yapının temel tıp
dergilerinin hiçbir yerinde bulunmadığını
											belirterek uyardı —
											""Gray'in Anatomisi"" gibi metinlerde.
											Bunun ameliyatlar için
ciddi sonuçları olabilirdi.
									","
											Cette ignorance a de réelles conséquences.
											Dans un journal médical en 2005,
											le Dr Helen O'Connell, une urologue,
											a alerté ses collègues sur le fait
que cette structure n'était nulle part
											dans les journaux médicaux principaux —
											dans des manuels
tels que « Gray's Anatomy ».
											Cela pourrait avoir de graves
conséquences en chirurgie.
									","
											Esta ignorancia tiene 
consecuencias en la vida real.
											En 2005, en una revista médica,
											la Dra. Helen O'Connel, uróloga,
											advirtió a sus compañeros que 
esa estructura aún no se encontraba
											en publicaciones médicas básicas...
											libros de texto como ""Anatomía de Grey"".
											Esto podría traer graves
consecuencias en una cirugía.
									","
											Diese Ignoranz hat Folgen in der Praxis.
											2005 machte die Urologin 
Dr. Helen O'Connell
											die Fachwelt in einem Artikel
darauf aufmerksam,
											dass diese Struktur in allgemeinen
medizinischen Publikationen
											noch immer nirgendwo zu finden sei,
											etwa in Lehrbüchern wie ""Gray's Anatomy"".
											Das könne schwerwiegende Folgen 
für die Chirurgie haben.
									",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
","
","
","
","
",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
