fr,en,pt,tr,de,title,speaker,duration,tags
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											Eh oui.
									","
											Yeah.
									","
											Sim.
									","
											Evet.
									","
											Ja!
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											La musique apporte 
une résonance émotionnelle à toute chose.
											Voyons son effet sur cette conférence.
											Un morceau de musique
diffusé au bon moment résonne en nous
											jusque dans nos cellules.
											Quand j'écoute une chanson
											qui me rappelle un été
											avec cette femme,
											je me replonge dans cette expérience.
											Salut, Stacey.
									","
											Music makes everything
have more emotional resonance.
											Let's see how it does for this talk.
											The right piece of music
at the right time fuses with us
											on a cellular level.
											When I hear that one song
											from that one summer
											with that one girl,
											I'm instantly transported
back there again.
											Hey, Stacey.
									","
											A música faz com que tudo
tenha uma maior ressonância emocional.
											Vamos ver o que faz por esta palestra.
											A peça musical certa, no momento certo,
											funde-se connosco a nível celular.
											Quando ouço aquela canção
											daquele verão
											com aquela rapariga,
											sou imediatamente transportado
para lá outra vez.
											Olá Stacey.
									","
											Müzik her şeyin daha fazla duygusal 
rezonansının olmasını sağlar.
											Bu konuşmada neler yaptığına bakalım.
											Doğru zamanda doğru müzik bizimle
											hücresel seviyede kaynaşır.
											O yazdan
											o kızla ilgili
											bir şarkı duyduğumda,
											anında tekrar oraya dönerim.
											Merhaba, Stacey.
									","
											Musik verleiht allem
eine emotionalere Resonanz.
											Mal sehen wie das
für diesen Vortrag funktioniert.
											Das richtige Musikstück zur
richtigen Zeit verschmilzt mit uns
											auf Zellebene.
											Wenn ich dieses Stück höre,
											aus jenem Sommer
											mit diesem einen Mädchen,
											bringt mich das sofort dorthin zurück.
											Hey, Stacey.
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											À un moment donné,
j'ai voulu pousser l'expérience plus loin.
											Je pensais que si j'ajoutais
des couches supplémentaires à la musique,
											je pourrais exalter les émotions.
											J'ai commencé à réaliser des clips vidéo.
											Voici à quoi ils ressemblaient.
											Voici mon frère, Jeff.
											Désolé, Jeff.
									","
											Here's a part of the story, though,
where I got a little greedy.
											I thought if I added more layers
on top of the music,
											I could make the feelings
even more powerful.
											So I got into directing music videos.
											This is what they looked like.
											That's my brother, Jeff.
											Sorry about this, Jeff.
									","
											Eis uma parte da história
em que fiquei um pouco ganancioso.
											Pensei que, se acrescentasse mais camadas
em cima da música,
											eu poderia tornar os sentimentos
mais poderosos.
											Por isso, interessei-me pela realização
de videoclipes musicais.
											Isto é como eles eram.
											Aquele é o meu irmão Jeff.
											Desculpa lá isto, Jeff.
									","
											Ancak hikâyenin biraz hırs
yaptığım bir bölümü var.
											Eğer müziğin üzerine 
biraz katman eklersem,
											duyguları daha da güçlü 
yapabilirim diye düşündüm.
											Böylece müzik videolarını 
yönetmeye giriştim.
											İşte bu şekilde oldular.
											Bu erkek kardeşim Jeff.
											Bundan dolayı pardon Jeff.
									","
											Im folgenden Teil der Geschichte
wurde ich etwas gierig.
											Ich dachte, wenn ich der Musik
mehr Ebenen hinzufüge,
											könnte ich die Gefühle noch verstärken.
											Daher begann ich bei
Musikvideos Regie zu führen.
											So sahen sie aus.
											Das ist mein Bruder Jeff.
											Tut mir leid, Jeff.
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											(Rires)
									","
											(Laughter)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											Me voici, comme ça nous sommes quittes.
											Superbes mouvements.
											J'aurais dû devenir danseur.
									","
											Here's me, just so we're even.
											Incredible moves.
											Should've been a dancer.
									","
											Aqui estou eu, portanto, estamos quites.
											Movimentos de dança incríveis.
											Devia ter sido um bailarino.
									","
											İşte ben, eşit olalım diye.
											İnanılmaz hareketler.
											Dansçı olmalıydım.
									","
											Hier bin ich, damit wir quitt sind.
											Unglaubliche Tanzbewegungen.
											Ich hätte Tänzer werden sollen.
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											(Rires)
									","
											(Laughter)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											Ces expériences se sont développées
											pour finalement ressembler plutôt à ça.
											Pourtant, dans les deux cas,
je cherche la même chose :
											reproduire l'essence des choses.
											Mais je n'y parviens pas.
											L'ajout d'images animées à la musique 
ajoute une dimension narrative, oui,
											mais n'arrive jamais au niveau
											de ce que provoque en moi la musique pure.
											Ce constat est un coup dur
quand vous avez consacré votre vie
											et votre carrière
à devenir réalisateur de clips vidéo.
											Je n'arrêtais pas de me demander
si j'avais choisi la mauvaise voie.
											Puis je me suis dit : 
si je peux impliquer le public, vous,
											je peux peut-être vous faire
ressentir plus, à vous aussi.
									","
											These experiments grew,
											and in time, started
to look more like this.
											In both, I'm searching
for the same thing, though,
											to capture that lightning in a bottle.
											Except, I'm not.
											Adding moving pictures over the music
added narrative dimension, yes,
											but never quite equated the power
											that just raw music had for me on its own.
											This is not a great thing to realize
when you've devoted your life
											and professional career
to becoming a music video director.
											I kept asking myself,
did I take the wrong path?
											So I started thinking: if I could
involve you, the audience, more,
											I might be able to make you
feel something more as well.
									","
											Estas experiências evoluíram,
											e, com o tempo, começaram a parecer isto.
											Em ambos estou à procura da mesma coisa,
											a tentar capturar aquele relâmpago
numa garrafa.
											Exceto que não estou a fazê-lo.
											Adicionar um filme a uma música
acrescentou uma dimensão narrativa, sim,
											mas nunca equivalente ao poder
											que a música por si só exercia sobre mim.
											Não é fantástico perceber isto
depois de se devotar a vida
											e a carreira profissional
à realização de videoclipes musicais.
											Estava sempre a perguntar-me:
""Segui o caminho errado?""
											Então, comecei a pensar:
""Se pudesse envolver mais a audiência,
											""talvez conseguisse fazer-vos sentir
algo mais também.""
									","
											Bu deneyler büyüdü
											ve zamanla daha çok buna 
benzemeye başladı.
											Ancak ikisinde de şişedeki 
şimşeği yakalamak için
											aynı şeyi arıyorum.
											Sadece öyle değil.
											Müziğin üzerine hareketli resimler 
eklemek öyküsel bir boyut eklese de,
											benim için hiçbir zaman 
sadece saf müziğin
											tek başına verdiği güce eşit olmadı.
											Hayatınızı ve profesyonel kariyerinizi 
müzik videosu yönetmeni olmaya
											adadıysanız bunu fark etmek 
pek de harika bir şey değil.
											Kendime sorup durdum, 
yanlış bir yol mu seçtim?
											Bu yüzden şöyle düşünmeye başladım:
											Eğer sizi, dinleyiciyi daha fazla 
işin içine katabilirsem,
											daha fazla şeyler hissetmenizi 
de sağlayabilirim.
									","
											Die Experimente entwickelten sich weiter
											und sahen mit der Zeit mehr so aus.
											In beidem suche ich 
aber nach dem Gleichen,
											um den Zauber einzufangen.
											Aber das tue ich nicht.
											Die Musik mit Videos zu überlagern,
schuf eine erzählerische Dimension,
											aber es entsprach nie ganz der Kraft,
											die pure Musik für mich hatte.
											Es ist nicht toll, das zu begreifen,
wenn man Leben und Berufsweg
											darauf ausgerichtet hat,
Musikvideo-Regisseur zu werden.
											Ich fragte mich ständig, ob ich
den falschen Weg eingeschlagen hatte.
											Daher fragte ich mich, ob ich Sie,
das Publikum, mehr einbeziehen könnte.
											Ich könnte Sie dazu bringen,
auch mehr zu fühlen.
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											Alors Aaron Koblin et moi
avons testé de nouvelles technologies
											pour vous intégrer davantage
dans le travail,
											comme votre maison d'enfance 
dans « The Wilderness Downtown »,
											vos portraits dessinés à la main, 
dans « The Johnny Cash Project »
											et vos rêves interactifs

											dans « 3 Dreams of Black ».
											Nous allions au-delà de l'écran,
											pour essayer
de résonner plus profondément
											dans le cœur et l'imagination des gens.
											Mais ce n'était pas assez.
											Nous n'avions toujours pas atteint
la puissance empirique de la musique pure.
									","
											So Aaron Koblin and I began
auditioning new technologies
											that could put more of you
inside of the work,
											like your childhood home
in ""The Wilderness Downtown,""
											your hand-drawn portraits,
in ""The Johnny Cash Project,""
											and your interactive dreams
											in ""3 Dreams of Black.""
											We were pushing beyond the screen,
											trying to connect more deeply
											to people's hearts and imaginations.
											But it wasn't quite enough.
											It still didn't have the raw
experiential power of pure music for me.
									","
											Por isso, Aaron Koblin e eu
começámos a ver novas tecnologias
											que pudessem meter mais de vocês
dentro do trabalho,
											como a vossa casa de infância
em ""The Wilderness Downtown"",
											os vossos retratos feitos à mão
em ""The Johnny Cash Project"",
											e os vossos sonhos interativos
											em ""3 Dreams of Black"".
											Estamos a tentar ir além do ecrã,
											a tentar chegar mais profundamente
											ao coração e à imaginação das pessoas.
											Mas não era suficiente.
											Ainda não tinha o poder experiencial
da música pura para mim.
									","
											Böylece Aaron Koblin ve ben sizi 
çalışmanın içine daha fazla katabilecek
											yeni teknolojileri 
değerlendirmeye başladık,
											""Yaban Şehri""ndeki çocukluk eviniz,
											""Johnny Cash Projesi""ndeki 
el çizimi portreleriniz
											ve ""3 Siyah Rüyası""ndaki
											interaktif rüyalarınız.
											Ekranının ötesine geçerek
											insanların kalpleri ve hayal güçleri ile
											daha derinden bağ kurmaya çalışıyorduk.
											Ama pek yeterli değildi.
											Hâlâ benim için saf müziğin 
saf deneysel gücü yoktu.
									","
											Also begannen Aaron Kolben und ich,
neue Technologien zu sichten,
											die mehr von Ihnen
in die Arbeit einbrachten,
											wie dieses Elternhaus in
""The Wilderness Downtown"",
											Ihr handgezeichnetes Porträt
in ""The Johnny Cash Project""
											und Ihre interaktiven Träume
											in ""3 Dreams of Black"".
											Wir gingen über die Leinwand hinaus,
											versuchten eine tiefere Verbindung
											mit den Herzen und der Fantasie
der Menschen einzugehen.
											Aber es reichte nicht ganz.
											Ich hatte immer noch nicht die reine
experimentelle Kraft purer Musik.
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											Je suis parti en quête
d'une nouvelle technologie
											que je ne connaissais
qu'à travers la science-fiction.
											Et après des années de recherche, 
j'ai trouvé un prototype.
											C'était un projet de Nonny de la Peña 
dans le laboratoire de Mark Bolas à USC.
											Quand je l'ai testé, 
je savais que j'avais enfin trouvé.
											L'essence des choses.
											C'est ce qu'on appelait
la réalité virtuelle.
											Voici à quoi ça ressemblait
il y a 5 ans quand je l'ai découvert.
											Voici à quoi ça ressemble maintenant.
									","
											So I started chasing a new technology
											that I only had read about
in science fiction.
											And after years of searching,
I found a prototype.
											It was a project from Nonny de la Peña
in Mark Bolas's lab in USC.
											And when I tried it, I knew I'd found it.
											I could taste the lightning.
											It was called virtual reality.
											This was it five years ago
when I ran into it.
											This is what it looks like now.
									","
											Por isso, comecei à procura
de uma nova tecnologia
											sobre a qual
apenas tinha lido na ficção científica.
											Depois de anos de pesquisa,
encontrei um protótipo.
											Era um projeto de Nonny de la Peña
do Laboratório Mark Bolas, na USC.
											E quando o experimentei,
soube que o tinha encontrado.
											Consegui saborear o relâmpago.
											Isto chama-se Realidade Virtual.
											Isto é o que era há cinco anos,
quando me deparei com ela.
											Isto é como se parece agora.
									","
											Sadece bir bilim kurguda okuduğum
											yeni bir teknolojiyi araştırmaya başladım.
											Yıllarca araştırdıktan sonra 
bir prototip buldum.
											USC'de Mark Bolas'ın laboratuvarında 
Nonny de la Peña'nın bir projesiydi.
											Bunu denediğimde bulduğumu biliyordum.
											Şimşeği tadabilirdim.
											Adı sanal gerçeklikti.
											Bu onunla karşılaştığım 
ben sene öncesiydi.
											Şimdi böyle görünüyor.
									","
											Daher begann ich einer
neuen Technik nachzujagen,
											von der ich nur in
Science Fiction gelesen hatte.
											Nach Jahren der Suche
fand ich einen Prototyp.
											Es war ein Projekt von Nonny de la Peña
in Mark Bolas Labor an der USC.
											Als ich es testete, 
wusste ich, das war es,
											ich konnte den Zauber spüren.
											Es nannte sich virtuelle Realität.
											So sah es vor 5 Jahren aus,
als ich darauf traf.
											So sieht es heute aus.
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											J'ai me suis rapidement mis 
à créer des choses avec ce nouveau média
											et, ce faisant, nous avons compris :
											la réalité virtuelle
va jouer un rôle très important
											dans l'histoire des médias.
											En fait, ce sera le dernier média.
											Je le sais, car c'est le premier média
à franchir le pas
											entre ce qu'exprime un auteur
											d'une expérience
											et notre expérience directe.
											Vous avez l'air perplexes.
OK, je vais vous expliquer.
									","
											I quickly started building things
in this new medium,
											and through that process
we realized something:
											that VR is going to play
an incredibly important role
											in the history of mediums.
											In fact, it's going to be the last one.
											I mean this because it's the first medium
that actually makes the jump
											from our internalization
of an author's expression
											of an experience,
											to our experiencing it firsthand.
											You look confused.
I'll explain. Don't worry.
									","
											Comecei rapidamente a montar coisas
neste novo meio,
											e através desse processo,
percebemos uma coisa:
											a RV vai desempenhar
um papel incrivelmente importante
											na história dos meios.
											Na verdade, vai ser o último.
											Estou convicto disto porque é o primeiro
meio que realmente faz a ponte
											entre a nossa interiorização
da expressão de um autor
											de uma experiência,
											e a nossa experiência em primeira mão.
											Parecem confusos.
Vou explicar, não se preocupem.
									","
											Hemen bu yeni araçla bir şeyler 
yapmaya başladım
											ve bu süreçte bir şey fark ettik:
											Sanal gerçeklik, araç tarihinde inanılmaz
											önemli bir rol oynayacak.
											Aslında bu sonuncusu olacak.
											Ciddiyim, çünkü aslında bir deneyimin 
yazarın ifadesinin
											içselleştirilmesinden 
ilk elden yaşanmasına
											sıçrayış yapması
											için ilk araç.
											Kafanız karışmış gibi. Açıklayacağım. 
Endişelenmeyin.
									","
											Ich begann rasch, Neues
in dieses Medium einzubauen.
											Durch diesen Prozess begriffen wir etwas:
											VR wird eine unglaubliche wichtige Rolle
											in der Mediengeschichte spielen.
											Es wird im Grunde das letzte Teil sein.
											Denn es wird das erste Medium sein,
das von unserer Verinnerlichung
											wirklich zum Ausdruck eines Autors
											von einer Erfahrung wird,
											unser hautnahen Erfahrung.
											Sie sehen verwirrt aus.
Ich erkläre es. Keine Sorge.
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											(Rires)
									","
											(Laughter)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											Si nous retournons
à l'origine des médias
											à tous les coups,
											tout débute autour d'un feu,
avec une bonne histoire.
											Notre chef de clan nous raconte
											sa chasse d'un mammouth laineux
dans la toundra ce jour-là.
											Nous entendons ses paroles
											et les traduisons
dans notre système de croyances interne.
											C'est le même processus
											quand on regarde cette histoire
via des peintures murales,
											un livre sur la chasse aux mammouths,
											une pièce de théâtre,
											une émission de radio,
											un programme télévisé
											ou un film.
											Tous ces médias reposent
sur la « suspension de l'incrédulité »,
											car il y a un écart d'interprétation
entre la réalité de l'histoire
											et notre conscience
qui traduit l'histoire
											dans notre propre réalité.
											J'utilise le mot « conscience »
comme notre perception de la réalité
											à partir de nos sens
qui expérimentent le monde environnant.
									","
											If we go back to the origins of mediums,
											by all best guesses,
											it starts around a fire,
with a good story.
											Our clan leader is telling us
											about how he hunted the woolly mammoth
on the tundra that day.
											We hear his words
											and translate them
into our own internal truths.
											The same thing happens
											when we look at the cave painting
version of the story,
											the book about the mammoth hunt,
											the play,
											the radio broadcast,
											the television show
											or the movie.
											All of these mediums require
what we call ""suspension of disbelief,""
											because there's a translation gap
between the reality of the story
											and our consciousness
interpreting the story
											into our reality.
											I'm using the word ""consciousness""
as a feeling of reality that we get
											from our senses experiencing
the world around us.
									","
											Se regressarmos à origem dos meios,
											na melhor das hipóteses,
											começa tudo em volta da fogueira,
com uma boa história.
											O líder do nosso clã está a contar-nos
											como caçou o mamute lanudo
na tundra naquele dia.
											Ouvimos as suas palavras
											e traduzimo-las
para as nossas verdades internas.
											A mesma coisa acontece
											quando olhamos para a versão da história
na pintura da caverna,
											o livro sobre a caçada ao mamute,
											a peça teatral,
											a emissão de rádio,
											o programa televisivo
											ou o filme.
											Todos estes meios requerem
o que chamamos de ""suspensão da descrença""
											porque há um hiato na tradução
entre a realidade da história
											e a nossa consciência
a interpretar a história
											para a nossa realidade.
											Estou a usar a palavra ""consciência""
como o sentimento de realidade
											que vem dos nossos sentidos
a experienciar o mundo à nossa volta.
									","
											Eğer araçların başlangıcına
											en iyi tahminleri yaparak gidersek,
											iyi bir hikâye ile ateşle başlar.
											Klan liderimiz o gün bize
											tundrada tüylü mamutu 
nasıl avladığını anlatıyordu.
											Sözlerini duyup
											kendi iç gerçekliğimize dönüştürürüz.
											Hikâyenin
											mağara resimleri versiyonuna, 
mamut avı kitabına,
											oyuna, radyo yayınına,
											televizyon şovuna
											veya filme
											baktığımızda
											aynı şey olur.
											Bütün bu araçlar ""inançsızlığın 
askıya alınması"" denen şeyi gerektirir,
											çünkü hikâyenin gerçekliği ile hikâyeyi
											gerçeğe aktarma bilincimiz arasında
											tercüme boşluğu var.
											Çevremizdeki dünyayı 
deneyimlerken hissettiğimiz
											gerçeklik duygusu olarak ""bilinç"" 
kelimesini kullanıyorum.
									","
											Geht man zurück zu den
Ursprüngen des Mediums,
											beginnt es, grob geschätzt,
											mit einer guten Geschichte an einem Feuer.
											Unser Stammesführer erzählt uns
											wie er das Wollhaarmammut
an jenem Tag in der Tundra jagte.
											Wir hören seine Worte
											und übersetzen sie in
unsere inneren Wahrheiten.
											Das gleiche passiert,
											wenn wir uns die Höhlenmalereien-Version
der Geschichte ansehen,
											das Buch über die Mammutjagd,
											das Theaterstück,
											die Radiosendung,
											die Fernsehsendung
											oder den Film.
											All diesen Medien erfordern, was wir
die ""Aufhebung des Zweifels"" nennen,
											denn es gibt Übersetzungslücken
zwischen der Wahrheit der Geschichte
											und unserem Bewusstsein,
das die Geschichte
											in unsere Realität überträgt.
											Ich benutze das Wort ""Bewusstsein""
als ein Gefühl von Realität,
											das wir durch die Wahrnehmung unserer
Umwelt durch unsere Sinne erhalten.
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											La réalité virtuelle supprime cet écart.
											Vous voilà partis à la chasse
dans la toundra avec le chef de clan.
											Vous êtes peut-être le chef de clan,
											ou même le mammouth laineux.
									","
											Virtual reality bridges that gap.
											Now, you are on the tundra
hunting with the clan leader.
											Or you are the clan leader.
											Or maybe you're even the woolly mammoth.
									","
											A Realidade Virtual preenche esse hiato.
											Agora, vocês estão na tundra
a caçar com o líder do clã.
											Ou vocês são o líder do clã.
											Ou se calhar são o mamute lanoso.
									","
											Sanal gerçeklik o boşluğu kapatır.
											Şimdi klan lideriyle 
tundrada avlanıyorsunuz.
											Ya da siz klan liderisiniz.
											Ya da belki de tüylü mamut.
									","
											Virtuelle Realität überbrückt diese Lücke.
											Jetzt sind Sie auf der Tundra
und jagen mit dem Clan-Führer.
											Oder Sie sind der Clan-Führer.
											Oder vielleicht sind Sie sogar
das Wollhaarmammut.
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											(Rires)
									","
											(Laughter)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
