en,es,de,tr,title,speaker,duration,tags
"
","
","
","
",What happens when you have a disease doctors can't diagnose,Jennifer Brea,17:07,"activism,gender,health,gender equality,health care,history,medical research,illness,film,personal growth,medicine,pain,TED Fellows,women,science"
"
											(Laughter)
									","
											(Risas)
									","
											(Lachen)
									","
											(Gülüşmeler)
									",What happens when you have a disease doctors can't diagnose,Jennifer Brea,17:07,"activism,gender,health,gender equality,health care,history,medical research,illness,film,personal growth,medicine,pain,TED Fellows,women,science"
"
","
","
","
",What happens when you have a disease doctors can't diagnose,Jennifer Brea,17:07,"activism,gender,health,gender equality,health care,history,medical research,illness,film,personal growth,medicine,pain,TED Fellows,women,science"
"
											Then the neurological symptoms started.
											Sometimes I would find that I couldn't
draw the right side of a circle.
											Other times I wouldn't be able
to speak or move at all.
											I saw every kind of specialist:
											infectious disease doctors,
dermatologists, endocrinologists,
											cardiologists.
											I even saw a psychiatrist.
											My psychiatrist said,
""It's clear you're really sick,
											but not with anything psychiatric.
											I hope they can find out
what's wrong with you.""
									","
											Entonces empezaron 
los síntomas neurológicos.
											A veces veía cómo no podía dibujar 
el lado derecho de un círculo.
											Otras veces no podía moverme 
o hablar en absoluto.
											Visité todo tipo de especialistas:
											médicos de enfermedades infecciosas,
											dermatólogos, endocrinólogos, 
cardiólogos.
											Incluso visité a un psiquiatra.
											Mi psiquiatra dijo: ""Está claro 
que estás muy enferma,
											pero no es psiquiátrico.
											Espero que puedas encontrar 
cuál es tu problema"".
									","
											Dann fingen die
neurologischen Symptome an.
											Manchmal konnte ich nicht mehr
											die rechte Seite eines Kreises zeichnen.
											Phasenweise konnte ich weder sprechen
											noch mich bewegen.
											Ich war bei allen Spezialisten:
											Infektologen, Hautärzten,
											Endokrinologen, Kardiologen.
											Ich war sogar bei einem Psychiater.
											Der Psychiater sagte:
											""Es ist klar, dass Sie sehr krank sind,
											aber es ist nichts Psychisches.
											Ich hoffe, dass man
herausfindet, woran Sie leiden.""
									","
											Sonra nörolojik semptomlar başladı.
											Bazen bir dairenin sağ tarafını
çizemediğimi fark ettim.
											Bazı zamanlar konuşamıyor
ya da hiç hareket edemiyordum.
											Her çeşit uzmana göründüm:
											Bulaşıcı hastalık doktorları,
dermatologlar, endokrinologlar,
											kardiyologlar.
											Psikiyatra bile göründüm.
											Psikiyatrım, ""Çok hasta olduğun belli
											ama psikiyatrik bir şey değil.
											Umarım neyin olduğunu bulabilirler,"" dedi.
									",What happens when you have a disease doctors can't diagnose,Jennifer Brea,17:07,"activism,gender,health,gender equality,health care,history,medical research,illness,film,personal growth,medicine,pain,TED Fellows,women,science"
"
","
","
","
",What happens when you have a disease doctors can't diagnose,Jennifer Brea,17:07,"activism,gender,health,gender equality,health care,history,medical research,illness,film,personal growth,medicine,pain,TED Fellows,women,science"
"
											The next day, my neurologist
diagnosed me with conversion disorder.
											He told me that everything —
											the fevers, the sore throats,
the sinus infection,
											all of the gastrointestinal,
neurological and cardiac symptoms —
											were being caused
by some distant emotional trauma
											that I could not remember.
											The symptoms were real, he said,
											but they had no biological cause.
									","
											Al día siguiente mi neurólogo 
me diagnosticó trastorno de conversión.
											Me dijo que todo:
											la fiebre, la garganta irritada, 
la sinusitis,
											todos los síntomas gastrointestinales, 
neurológicos y cardiacos
											eran provocados por 
un trauma emocional lejano
											que no podía recordar.
											Los síntomas eran reales, me dijo,
											pero que no había causa biológica real.
									","
											Am nächsten Tag diagnostizierte mich
											mein Neurologe mit Konversionsstörung.
											Er sagte mir, dass alles —
											die Fieberschübe, Halsschmerzen,
Nebenhöhlenentzündungen,
											Magen-Darm-, Herzsymptome
und neurologischen Symptome
											durch irgendein frühes
emotionales Trauma ausgelöst würden,
											an das ich mich nicht erinnern könne.
											Die Symptome seien echt, sagte er,
											aber sie hätten keine biologische Ursache.
									","
											Ertesi gün, nöroloğum bana
konversiyon bozukluğu tanısı koydu.
											Her şeyin;
											ateşlerin, boğaz ağrılarının,
sinüs enfeksiyonunun,
											tüm gastrointestinal, nörolojik ve
kalp ile ilgili semptomların
											geçmişte hatırlayamadığım
bir duygusal travmadan
											kaynaklanmış olduğunu söyledi.
											Semptomlar gerçekti
											ama hiçbir biyolojik sebebi yoktu dedi.
									",What happens when you have a disease doctors can't diagnose,Jennifer Brea,17:07,"activism,gender,health,gender equality,health care,history,medical research,illness,film,personal growth,medicine,pain,TED Fellows,women,science"
"
","
","
","
",What happens when you have a disease doctors can't diagnose,Jennifer Brea,17:07,"activism,gender,health,gender equality,health care,history,medical research,illness,film,personal growth,medicine,pain,TED Fellows,women,science"
"
											I was training to be a social scientist.
											I had studied statistics,
probability theory,
											mathematical modeling,
experimental design.
											I felt like I couldn't just reject
my neurologist's diagnosis.
											It didn't feel true,
											but I knew from my training
that the truth is often counterintuitive,
											so easily obscured
by what we want to believe.
											So I had to consider the possibility
that he was right.
									","
											Yo estaba estudiando 
para ser científica social.
											Había estudiado estadística, 
teoría de probabilidad,
											modelos matemáticos, 
diseño experimental.
											Sentí que no podía rechazar 
el diagnóstico de mi neurólogo.
											No parecía verdad,
											pero aprendí de mis estudios que muchas 
veces la verdad es contraintuitiva,
											fácilmente escondida 
por lo que deseamos creer.
											Así que tuve que considerar la 
posibilidad de que tuviera la razón.
									","
											Ich hatte Sozialwissenschaften studiert,
											dazu gehörten Statistik, 
Wahrscheinlichkeitstheorie,
											mathematische Modelle
und Versuchsanordnung.
											Ich hatte das Gefühl,
dass ich die Diagnose meines Neurologen
											nicht einfach ablehnen dürfte,
											Sie fühlte sich zwar nicht richtig an,
											aber ich wusste aus meiner Ausbildung,
											dass das Gefühl oft täuschen kann
											und die Wahrheit oft von unserem
Wunschdenken verdeckt wird.
											Also musste ich die 
Möglichkeit in Betracht ziehen,
											dass er recht hatte.
									","
											Sosyal bilimci olmak
üzere eğitim görmüştüm.
											İstatistik, olasılık teorisi,
											matematiksel modelleme,
deneysel tasarım gördüm.
											Nöroloğumun tanısını öylece
reddedemeyeceğimi anladım.
											Dediği doğruymuş gibi gelmiyordu
											ama eğitimimden dolayı biliyordum ki
gerçek bazen sezgilere aykırıydı,
											üstü neye inanmak istiyorsak
onunla kolayca örtülürdü.
											Bu yüzden haklı olma ihtimalini
hesaba katmak zorunda kaldım.
									",What happens when you have a disease doctors can't diagnose,Jennifer Brea,17:07,"activism,gender,health,gender equality,health care,history,medical research,illness,film,personal growth,medicine,pain,TED Fellows,women,science"
"
","
","
","
",What happens when you have a disease doctors can't diagnose,Jennifer Brea,17:07,"activism,gender,health,gender equality,health care,history,medical research,illness,film,personal growth,medicine,pain,TED Fellows,women,science"
"
											That day, I ran a small experiment.
											I walked back the two miles
from my neurologist's office to my house,
											my legs wrapped in this strange,
almost electric kind of pain.
											I meditated on that pain,
											contemplating how my mind
could have possibly generated all this.
											As soon as I walked through the door,
											I collapsed.
											My brain and my spinal cord were burning.
											My neck was so stiff
I couldn't touch my chin to my chest,
											and the slightest sound —
											the rustling of the sheets,
											my husband walking barefoot
in the next room —
											could cause excruciating pain.
											I would spend most
of the next two years in bed.
									","
											Ese día, hice un pequeño experimento.
											Caminé de vuelta los 3 km desde 
el consultorio del neurólogo hasta casa,
											con mis piernas envueltas 
en un dolor extraño, casi eléctrico.
											Medité sobre ese dolor, sobre cómo
											mi mente podía haber creado todo esto.
											Tan pronto como atravesé la puerta,
											colapsé.
											Mi cerebro y mi médula espinal 
estaban ardiendo.
											Mi cuello estaba tan tieso que no podía 
tocarme el pecho con la barbilla,
											y el más débil de los sonidos...
											el frotar de las sábanas, o mi marido
											andando descalzo en 
la habitación contigua
											podían causarme un dolor enloquecedor.
											Pasé la mayoría de los siguientes 
dos años en cama.
									","
											An dem Tag machte ich
ein kleines Experiment.
											Ich ging die drei Kilometer
											von der Praxis des Neurologen
zu Fuß nach Hause.
											Meine Beine wurden von einem seltsamen,
											fast elektrischen Schmerz durchzogen.
											Ich meditierte über diesen Schmerz,
											überlegte, wie meine Psyche bloß
											das alles hervorrufen könnte.
											Zu Hause angekommen, brach ich zusammen.
											Es fühlte sich an,
											als würden meine Gehirn und
mein Rückenmark brennen.
											Mein Hals war so steif,
											dass ich mein Kinn nicht
zu meiner Brust neigen konnte
											und das kleinste Geräusch —
											das Rascheln von Bettlaken,
											mein Mann, der im
Nebenzimmer barfuß lief —
											konnte quälende Schmerzen verursachen.
											Die folgenden zwei Jahre
											verbrachte ich überwiegend im Bett.
									","
											O gün küçük bir deney yaptım.
											Nöroloğumun ofisinden
evime kadar 3 km yürüdüm.
											Bacaklarımı tuhaf, neredeyse
elektrik hissi veren bir acı sardı.
											Bu acı üzerine derin derin düşündüm,
											beynimin tüm bunları nasıl üretmiş
olabileceğini düşünüp taşındım.
											Kapıdan girer girmez
											yere yığıldım.
											Beynim ve omuriliğim yanıyordu.
											Boynum öyle sertti ki, çenemden
göğsüme kadar dokunamıyordum
											ve en ufak ses bile
											- çarşafların hışırtısı,
											yan odada yalınayak yürüyen eşimin sesi -
											işkence eden bir acıya neden olabiliyordu.
											Gelecek iki yılın çoğunu yatakta geçirdim.
									",What happens when you have a disease doctors can't diagnose,Jennifer Brea,17:07,"activism,gender,health,gender equality,health care,history,medical research,illness,film,personal growth,medicine,pain,TED Fellows,women,science"
"
","
","
","
",What happens when you have a disease doctors can't diagnose,Jennifer Brea,17:07,"activism,gender,health,gender equality,health care,history,medical research,illness,film,personal growth,medicine,pain,TED Fellows,women,science"
"
											How could my doctor
have gotten it so wrong?
											I thought I had a rare disease,
											something doctors had never seen.
											And then I went online
											and found thousands of people
all over the world
											living with the same symptoms,
											similarly isolated,
											similarly disbelieved.
											Some could still work,
											but had to spend their evenings
and weekends in bed,
											just so they could show up
the next Monday.
											On the other end of the spectrum,
											some were so sick
											they had to live in complete darkness,
											unable to tolerate
the sound of a human voice
											or the touch of a loved one.
									","
											¿Cómo podía haberse equivocado 
tanto mi médico?
											Pensé que padecía una enfermedad rara,
											algo que los médicos nunca habían visto.
											Y entonces me encontré en línea
											que miles de personas alrededor del mundo
											vivían con los mismos síntomas,
											aislados de manera similar,
											no tomados en serio de manera similar.
											Algunos aún podían trabajar,
											pero tenían que pasar sus tardes 
y fines de semana en cama,
											solo para poder ir 
al trabajo los lunes.
											En el otro extremo del espectro,
											algunos estaban tan enfermos
											que debían vivir en la oscuridad total,
											incapaces de tolerar el sonido 
de una voz humana
											o el roce de un ser querido.
									","
											Wie konnte mein Arzt sich so irren?
											Ich dachte, ich hätte 
eine seltene Krankheit —
											eine Krankheit, die Ärzten unbekannt war.
											Aber dann ging ich ins Internet
											und fand Tausende von
Menschen auf der ganzen Welt,
											die mit denselben Symptomen leben,
											genauso isoliert, genauso angezweifelt.
											Manche konnten noch arbeiten,
											aber verbrachten ihre Abende
und Wochenenden im Bett,
											nur damit sie am Montag
wieder arbeiten konnten.
											Am anderen Ende des Spektrums
											waren manche so krank,
											dass sie in völliger
Dunkelheit leben mussten
											und den Klang einer menschlichen Stimme
											oder die Berührung eines
Nahestehenden nicht ertrugen.
									","
											Doktorum nasıl yanılabilmişti?
											Nadir görülen bir hastalığım
olduğunu düşünmüştüm.
											Doktorların daha önce
hiç görmediği bir şey.
											Sonra internete girdim
											ve tüm dünyada
											aynı semptomlarla yaşayan,
											aynı şekile izole olmuş,
											aynı şekilde inanılmayan
binlerce insan buldum.
											Bazıları hâlâ çalışabiliyordu
											ama bir sonraki Pazartesi
ortaya çıkabilmek için
											akşamlarını ve hafta sonlarını
yatakta geçirmek zorundaydı.
											Spektrumun diğer ucunda ise
											bazıları çok hastaydı,
											tamamen karanlıkta yaşamak zorundaydı,
											insan sesine ya da
sevilen birinin dokunuşuna
											katlanamıyordu.
									",What happens when you have a disease doctors can't diagnose,Jennifer Brea,17:07,"activism,gender,health,gender equality,health care,history,medical research,illness,film,personal growth,medicine,pain,TED Fellows,women,science"
"
","
","
","
",What happens when you have a disease doctors can't diagnose,Jennifer Brea,17:07,"activism,gender,health,gender equality,health care,history,medical research,illness,film,personal growth,medicine,pain,TED Fellows,women,science"
"
											I was diagnosed
with myalgic encephalomyelitis.
											You've probably heard it called
""chronic fatigue syndrome.""
											For decades, that's a name
											that's meant that this
											has been the dominant image
											of a disease that can be
as serious as this.
											The key symptom we all share
											is that whenever we exert ourselves —
physically, mentally —
											we pay and we pay hard.
											If my husband goes for a run,
he might be sore for a couple of days.
											If I try to walk half a block,
I might be bedridden for a week.
											It is a perfect custom prison.
											I know ballet dancers who can't dance,
											accountants who can't add,
											medical students who never became doctors.
											It doesn't matter what you once were;
											you can't do it anymore.
											It's been four years,
											and I've still never been as well as I was
											the minute before I walked home
from my neurologist's office.
									","
											Fui diagnosticada con 
encefalomielitis miálgica.
											Probablemente la hayan oído nombrar 
como ""síndrome de fatiga crónica"".
											Durante décadas ese ha sido un nombre
											que ha significado que esto
											sea la imagen dominante
											de una enfermedad que puede 
ser tan grave como esto.
											El síntoma clave que compartimos 
es que cuando
											nos agotamos física y mentalmente
											lo pagamos y lo pagamos caro.
											Si mi marido se va a correr, 
puede quedar adolorido unos días.
											Si yo intento caminar media manzana, 
estaré en cama una semana.
											Es la prisión hecha a la medida.
											Conozco a bailarines de ballet 
que no pueden bailar,
											contadores que no pueden sumar,
											estudiantes de medicina que 
nunca llegaron a ser médicos.
											No importa lo que fueses antes;
											ya no puedes hacerlo.
											Han pasado cuatro años
											y aún no he logrado estar tan bien
											como el minuto antes de salir de 
casa al consultorio de mi neurólogo.
									","
											Ich erhielt die Diagnose
""Myalgische Enzephalomyelitis"",
											auch bekannt unter
""Chronisches Erschöpfungsyndrom"".
											Jahrzehntelang verursachte dieser Name
											dieses Bild von einer Krankheit,
											die jedoch so schwer
wie hier verlaufen kann.
											Das wichtigste Symptom bei uns allen ist,
											dass wir bei jeder Anstrengung —
ob körperlich oder geistig —
											einen hohen Preis bezahlen müssen.
											Wenn mein Mann joggen geht,
											hat er vielleicht ein paar Tage
lang Muskelkater.
											Wenn ich um einen halben Häuserblock gehe,
											kann ich eine Woche lang bettlägerig sein.
											Es ist das perfekte persönliche Gefängnis.
											Ich kenne Balletttänzer,
die nicht mehr tanzen;
											Buchhalter, die nicht mehr rechnen können;
											Medizinstudenten, die nie Ärzte wurden.
											Es zählt nicht mehr, was du früher warst,
											du kannst es nicht mehr machen.
											Es sind vier Jahre vergangen,
											und ich habe mich nie mehr
so gut gefühlt wie damals,
											als ich vom Neurologen nach Hause ging.
									","
											Bana Miyaljik Ensefalomiyelit
tanısı koyuldu.
											Kronik Yorgunluk Sendromu (KYS)
denildiğini duymuşsunuzdur.
											Bu isim,
											onlarca yıldır
											baskın resmi şu olan
											ve buradaki kadar ciddi olabilen
bir hastalığın ismi.
											Hepimizin paylaştığı başlıca semptom,
											ne zaman fiziksel ve zihinsel
olarak çaba sarf etsek
											bedelini ağır ödüyor olmamız.
											Eşim koşuya çıkarsa
birkaç gün ağrı çekebiliyor.
											Ben yarım bina öteye yürümeye çalışırsam
bir hafta yatağa bağlı olabiliyorum.
											Bu, tam bir özel hapishane.
											Dans edemeyen balerinler,
											toplama yapamayan muhasebeciler,
											asla doktor olamayan
tıp öğrencileri tanıyorum.
											Bir zamanlar ne olduğunuzun önemi yok;
											artık o şeyi yapamıyorsunuz.
											Dört yıl oldu
											ve hâlâ nöroloğumun ofisinden eve kadar
											yürümeden önceki an olduğum
kadar iyi olamadım.
									",What happens when you have a disease doctors can't diagnose,Jennifer Brea,17:07,"activism,gender,health,gender equality,health care,history,medical research,illness,film,personal growth,medicine,pain,TED Fellows,women,science"
"
","
","
","
",What happens when you have a disease doctors can't diagnose,Jennifer Brea,17:07,"activism,gender,health,gender equality,health care,history,medical research,illness,film,personal growth,medicine,pain,TED Fellows,women,science"
"
											It's estimated that about 15 to 30 million
people around the world
											have this disease.
											In the US, where I'm from,
it's about one million people.
											That makes it roughly twice as common
as multiple sclerosis.
											Patients can live for decades
with the physical function
											of someone with congestive heart failure.
											Twenty-five percent of us
are homebound or bedridden,
											and 75 to 85 percent of us
can't even work part-time.
											Yet doctors do not treat us
											and science does not study us.
											How could a disease this common
and this devastating
											have been forgotten by medicine?
									","
											Se estima que de 15 a 30 millones 
de personas en el mundo
											padecen esta enfermedad.
											En mi país, EE.UU., la padecen 
cerca de un millón de personas.
											Eso la hace aproximadamente el doble 
de frecuente que la esclerosis múltiple.
											Los pacientes pueden vivir durante años
											con los síntomas de alguien que 
tiene insuficiencia cardíaca.
											El 25 % de nosotros se ve forzado
a permanecer en casa o en cama.
											y del 75 % al 85 % no puede trabajar 
siquiera a tiempo parcial.
											Y aun así los médicos no nos tratan
											y la ciencia no nos estudia.
											¿Cómo puede una enfermedad 
tan devastadora
											y común haber sido 
olvidada por la medicina?
									","
											Nach offiziellen Schätzungen
leiden weltweit
											15 bis 30 Millionen Menschen
an der Krankheit.
											In den USA, wo ich herkomme, 
ist es ca. eine Million.
											Damit tritt ME ungefähr doppelt
so häufig auf wie Multiple Sklerose.
											Patienten leben Jahrzehnte
											mit der körperlichen Leistungsfähigkeit
											einer Person mit Herzinsuffizienz.
											25 % von uns sind ans Haus 
gebunden oder bettlägerig.
											75 bis 85 % von uns können 
nicht einmal in Teilzeit arbeiten.
											Doch Ärzte behandeln uns nicht
											und die Wissenschaft erforscht uns nicht.
											Wie konnte eine so häufige
und zerstörerische Krankheit
											von der Medizin vergessen werden?
									","
											Dünyada yaklaşık 15 ila 30 milyon
insanın bu hastalığa sahip olduğu
											tahmin ediliyor.
											ABD'de yaklaşık bir milyon insanda var.
											Bu onu aşağı yukarı MS'in
iki katı kadar yaygın yapıyor.
											Hastalar onlarca yıl konjestif
kalp yetmezliği olan birinin
											fiziksel performansıyla yaşayabiliyor.
											Yüzde 25'imiz evden
çıkamıyor ya da yatağa bağlı
											ve yüzde 75-85'imiz yarı
zamanlı bile çalışamıyor.
											Yine de doktorlar bizi tedavi etmiyor
											ve bilim bizi incelemiyor.
											Böylesine yaygın ve yıkıcı 
bir hastalık nasıl oldu da
											tıp tarafından unutulabildi?
									",What happens when you have a disease doctors can't diagnose,Jennifer Brea,17:07,"activism,gender,health,gender equality,health care,history,medical research,illness,film,personal growth,medicine,pain,TED Fellows,women,science"
"
","
","
","
",What happens when you have a disease doctors can't diagnose,Jennifer Brea,17:07,"activism,gender,health,gender equality,health care,history,medical research,illness,film,personal growth,medicine,pain,TED Fellows,women,science"
