es,pt,tr,de,title,speaker,duration,tags
"
","
","
","
",Hidden miracles of the natural world,Louie Schwartzberg,7:24,"bacteria,film,insects,nanoscale,nature,photography"
"
											La araña también tiene
grandes secretos
											porque el hilo de seda de la araña
es gramo a gramo
											más fuerte que el acero,
											pero completamente elástico.
											Esta travesía nos llevará hasta

											el mundo nano.
											La seda es 100 veces más delgada

											que el cabello humano.
											En ella hay bacterias,
											y cerca de esas bacterias,
											10 veces más pequeño, hay un virus.
											Dentro, y 10 veces más pequeño,
											hay tres hebras de ADN,
											y cerca del límite de nuestros
microscopios más poderosos,
											hay átomos individuales de carbono.
									","
											Uma aranha também 
tem segredos notáveis,
											porque o fio da seda da aranha,
fazendo um termo de comparação,
											é mais resistente do que o aço
											mas completamente elástico.
											Esta viagem irá levar-nos 
até ao fim do percurso,
											até ao nano-mundo.
											A seda é 100 vezes mais fina
											do que o cabelo humano.
											À superfície desta seda, 
uma bactéria,
											e, junto dela, 
10 vezes mais pequeno,
											um vírus.
											Dentro dele, 
10 vezes mais pequenas,
											três cadeias de ADN,
											e, quase no limite dos nossos 
microscópios mais potentes,
											átomos de carbono isolados.
											Com a ponta de um microscópio potente,
									","
											Bir örümceğin de büyük sırları vardır,
											çünkü örümceğin ağının ipliğini
göreceli olarak karşılaştırdığımızda
											çelikten daha güçlüdür,
											ancak tamamıyla elastiktir.
											Bu seyahat bizi nano dünyaya
											doğru götürecek.
											İpek insan saçından
											100 kat daha incedir.
											Onun yanında bakteriler vardır
											ve bakterilerin yanında 10 kat küçük
											bir virüs.
											Onun içinde 10 kat küçük
											üç sarmallı DNA
											ve en güçlü mikroskoplarımızın sınırlarına dayanan
											karbon atomları.
									","
											Denn der Seidenfaden der Spinne
											ist stärker als Stahl,
											jedoch vollkommen elastisch.
											Diese Reise wird uns
											in die Nano-Welt führen.
											Dieser Seidenfaden 
ist 100-mal dünner
											als menschliches Haar.
											Darauf befinden sich Bakterien
											und neben diesen Bakterien, 
10-mal kleiner,
											ein Virus.
											Darin, 10-mal kleiner,
											drei DNA-Stränge.
											Und nah an der Grenze 
unseres stärksten Mikroskops,
											befinden sich einzelne Kohlenstoffatome.
											Mit der Spitze eines 
leistungsstarken Mikroskops
									",Hidden miracles of the natural world,Louie Schwartzberg,7:24,"bacteria,film,insects,nanoscale,nature,photography"
"
","
","
","
",Hidden miracles of the natural world,Louie Schwartzberg,7:24,"bacteria,film,insects,nanoscale,nature,photography"
"
											Con la punta de un microscopio poderoso
											podemos mover átomos
											y empezar a crear 
asombrosos dispositivos nano.
											Un día algunos podrán 
patrullar nuestro cuerpo
											para cualquier tipo de enfermedad
											y limpiar arterias obstruidas
en el camino.
											Las pequeñas máquinas químicas
del futuro
											tal vez un día podrán 
reparar el ADN.
											Estamos a la puerta de 
avances extraordinarios,
											los cuales surgen de nuestro impulso
											para descubrir los misterios de la vida.
									","
											conseguimos na verdade deslocar átomos
											e começar a criar 
nano-dispositivos extraordinários.
											Alguns poderão um dia patrulhar o nosso corpo
											à procura de todo o tipo de doenças
											e limpar artérias entupidas pelo caminho.
											Minúsculas máquinas químicas do futuro
											conseguirão um dia, talvez, reparar o ADN.
											Estamos no limiar 
de avanços extraordinários,
											nascidos do nosso impulso
											de desvendar os mistérios da vida.
											Portanto, sob uma chuva 
interminável de pó cósmico,
									","
											Güçlü bir mikroskobun ucuyla,
											atomları gerçekten de hareket ettirebiliriz
											ve harika nano araçlar yaratmaya başlayabiliriz.
											Bir gün bunlardan bazıları, her tür hastalık için
											bedenimizde devriye gezebilir
											ve bu sırada tıkanmış atardamarlarımızı temizleyebilir.
											Geleceğin küçük kimyasal makineleri
											belki de bir gün DNA'mızı tamir edebilir.
											Hayatın sırlarını açığa çıkarma
											isteğimizden doğan
											olağanüstü ilerlemelerin eşiğindeyiz.
									","
											können wir Atome sogar bewegen
											und erstaunliche 
Nano-Einheiten kreieren.
											Einige könnten eines Tages unseren Körper
											auf alle Arten von Krankheiten untersuchen
											und auf dem Weg 
verstopfte Arterien befreien.
											Winzige chemische Apparate der Zukunft
											könnten eines Tages die DNA reparieren.
											Wir stehen an der Schwelle 
zu außergewöhnlichen Fortschritten,
											die aus dem Drang 
entstanden sind,
											die Geheimnisse des Lebens zu enthüllen.
											Und so ist unter dem ewigen Regen 
kosmischen Staubs,
									",Hidden miracles of the natural world,Louie Schwartzberg,7:24,"bacteria,film,insects,nanoscale,nature,photography"
"
","
","
","
",Hidden miracles of the natural world,Louie Schwartzberg,7:24,"bacteria,film,insects,nanoscale,nature,photography"
"
											Así que bajo la lluvia interminable
del polvo cósmico
											el aire está lleno de polen,
											micro-diamantes y joyas
provenientes de otros planetas,
											y explosiones supernova.
											La gente lleva sus vidas 

											rodeadas de lo invisible.
											Sabiendo que hay tanto a 
nuestro alrededor
											que podemos ver
											que esto cambia por siempre 
nuestro entendimiento del mundo
											y al ver los mundos invisibles,
reconocemos
											que existimos en el
universo viviente,
											y esta nueva perspectiva
crea maravillas
											y nos inspira a convertirnos
en exploradores
											en nuestros propios jardines.
									","
											o ar está cheio de pólen,
											micro-diamantes 
e jóias de outros planetas,
											e explosões de supernovas.
											As pessoas vivem no dia-a-dia
											rodeadas pelo que não se consegue ver.
											Saber que há tanta coisa à nossa volta
											que podemos ver
											muda para sempre 
a nossa compreensão do mundo,
											e, olhando para os mundos 
invisíveis, reconhecemos
											que existimos no universo vivo,
											e esta nova perspectiva cria deslumbramento
											e inspira-nos a tornarmo-nos exploradores
											no nosso próprio quintal.
											Quem sabe o que aguarda para ser visto
									","
											Sonsuz bir kozmik toz yağmurunun altında,
											hava polenlerle,
											diğer gezegenlerden mikro elmaslar ve değerli taşlarla
											ve süpernova patlamaları ile dolu.
											İnsanlar görünmezlerle çevrelendikleri
											hayatlarına devam ediyor.
											Çevremizde görebileceğimiz çok şey olduğunu bilmek,
											dünyamıza karşı anlayışımızı sonsuza dek değiştiriyor
											ve görünmeyen dünyalara bakarak, yaşayan
											bir evrende var olduğumuzu anlıyoruz,
											bu yeni perspektif merak uyandırıyor
											ve kendi bahçemizde kâşif
											olmamız için ilham veriyor.
									","
											die Luft voll von Pollen,
											Mikro-Diamanten und 
Juwelen von anderen Planeten
											und Supernova-Explosionen.
											Menschen schreiten durch ihr Leben,
											umgeben vom Unsichtbaren.
											Das Wissen, dass so viel um uns ist,
											das wir sehen können,
											verändert unser Verständnis 
von der Welt für immer.
											Diese unsichtbaren Welten 
betrachtend, erkennen wir,
											dass wir in einem lebendigen 
Universum leben,
											und diese neue Perspektive erzeugt Staunen
											und inspiriert uns dazu,
											Forscher in unseren 
eigenen Gärten zu werden.
											Wer weiß, was darauf wartet, 
von uns gesehen zu werden
											und welche neuen Wunder 
unser Leben verändern werden.
									",Hidden miracles of the natural world,Louie Schwartzberg,7:24,"bacteria,film,insects,nanoscale,nature,photography"
"
","
","
","
",Hidden miracles of the natural world,Louie Schwartzberg,7:24,"bacteria,film,insects,nanoscale,nature,photography"
"
											Quién sabe lo que espera
ser visto
											y qué nuevas maravillas 
transformarán nuestras vidas.
									","
											e que novas maravilhas 
irão transformar as nossas vidas.
											Teremos de ver.
									","
											Kim bilir görülmek bekleyen neler var
											ve hayatımızı değiştirecek ne yeni mucizeler var.
									","
											Wir werden sehen.
											(Applaus)
									",Hidden miracles of the natural world,Louie Schwartzberg,7:24,"bacteria,film,insects,nanoscale,nature,photography"
"
","
","
","
",Hidden miracles of the natural world,Louie Schwartzberg,7:24,"bacteria,film,insects,nanoscale,nature,photography"
"
											Únicamente tenemos que ver.
											(Aplausos)
											Gracias.
											(Aplausos)
											Gracias.
											(Aplausos)
									","
											(Aplausos)
											Obrigado. (Aplausos)
									","
											Sadece bekleyip göreceğiz.
											(Alkış)
											Teşekkürler. (Alkış)
									","
											Danke. (Applaus)
									",Hidden miracles of the natural world,Louie Schwartzberg,7:24,"bacteria,film,insects,nanoscale,nature,photography"
"
","
","
","
",Hidden miracles of the natural world,Louie Schwartzberg,7:24,"bacteria,film,insects,nanoscale,nature,photography"
