de,en,es,fr,tr,title,speaker,duration,tags
"
","
","
","
","
",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
											Publikum: Falten.
									","
											Audience: Fold.
									","
											Audiencia: ""Plegar"".
									","
											Public: Plier.
									","
											Seyirciler: Katla.
									",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
","
","
","
","
",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
											JS: Noch einmal!
									","
											JS: Again.
									","
											JS: Nuevamente.
									","
											JS: Encore.
									","
											JS: Tekrar.
									",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
","
","
","
","
",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
											Publikum: Falten. 
JS: Richtig laut.
									","
											Audience: Fold. JS: Really loud.
									","
											Audiencia: ""Plegar"". JS: Bien fuerte.
									","
											Public: Plier. JS: Vraiment fort.
									","
											Seyirciler: Katla. JS: Daha yüksek.
									",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
","
","
","
","
",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
											Publikum: Schütteln. Falten.
									","
											Audience: Shake. Fold.
									","
											Audiencia: ""Sacudir"". ""Plegar"".
									","
											Public: Secouer. Plier.
									","
											Seyirciler: Salla. Katla.
									",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
","
","
","
","
",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
											JS: In Ordnung. Nasse Hände.
											Schütteln — eins, zwei, drei, vier, fünf, sechs, sieben, acht, neun, zehn, elf, zwölf.
											Wieso zwölf? Zwölf Apostel, zwölf Stämme,
											zwölf Sternzeichen, zwölf Monate.
Am meisten mag ich den:
											Es ist die höchste Zahl mit nur einer Silbe.
									","
											JS: OK. Wet hands.
											Shake — one, two, three, four, five, six, seven, eight, nine, 10, 11, 12.
											Why 12? Twelve apostles, twelve tribes,
											twelve zodiac signs, twelve months. The one I like the best:
											It's the biggest number with one syllable.
									","
											JS: Bien. Manos húmedas.
											Sacudir; uno, dos, tres, cuatro, cinco, seis, siete, ocho, nueve, diez, once, doce.
											¿Por qué 12? Doce apóstoles, doce tribus,
											doce signos del zodíaco, doce meses. El que más me gusta:
											en inglés, es el número más grande de una sílaba (twelve).
									","
											JS: OK. Des mains mouillées.
											Secouer — un, deux, trois, quatre, cinq, six, sept, huit, neuf, dix, onze, douze.
											Pourquoi 12? Les douze apôtres, les douze tribus,
											les douze signes du zodiaque, les douze mois de l'année. Et celle que je préfère:
											c'est le plus grand nombre d'une seule syllabe.
									","
											JS: Tamam. Ellerimizi ıslatalım.
											Salla — bir, iki, üç, dört, beş, altı, yedi, sekiz, dokuz, on, on bir, on iki.
											Neden on iki? On iki havari, on iki kabile,
											on iki burç, on iki ay. Ama en iyi nedeni:
											İngilizce'de tek heceyle söylenen en büyük sayı.
									",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
","
","
","
","
",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
											(Gelächter)
									","
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									","
											(Kahkahalar)
									",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
","
","
","
","
",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
											Dreifach gefaltet. Falten ...
											Trocken.
									","
											Tri-fold. Fold ...
											Dry.
									","
											Tres pliegues. Plegar...
											Secar.
									","
											Serviette pliée. Plier...
											Sec.
									","
											Üç katlı olan. Katla..
											Kuru.
									",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
","
","
","
","
",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
											(Beifall)
									","
											(Applause)
									","
											(Aplausos)
									","
											(Applaudissements)
									","
											(Alkışlar)
									",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
","
","
","
","
",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
											Publikum: Schütteln
									","
											Audience: Shake.
									","
											Audiencia: ""Sacudir"".
									","
											Public: Secouer.
									","
											Seyirciler: Salla.
									",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
","
","
","
","
",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
											Falten.
									","
											Fold.
									","
											""Plegar"".
									","
											Plier.
									","
											Katla.
									",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
","
","
","
","
",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
											JS: Selbstabreißend. Falten. Das Falten ist wichtig,
											denn es ermöglicht interstitiale Aufschwämmung.
											Das müssen Sie sich nicht merken, aber glauben Sie mir.
									","
											JS: Cuts itself. Fold. The fold is important
											because it allows interstitial suspension.
											You don't have to remember that part, but trust me.
									","
											JS: Las de corte automático. Plegar. El pliegue es importante
											porque permite suspensión intersticial.
											No tendrán que recordar esto, pero confíen en mí.
									","
											JS: Serviette pré-découpée. Plier. C'est important de plier
											pour permettre une suspension interstitielle.
											Vous n'avez pas besoin de retenir ça mais faites-moi confiance.
									","
											JS: Kendiliğinden kesilen. Katla. Katlamak gerçekten önemli
											çünkü interstisyel süspansiyonu sağlıyor.
											Bu kelimeyi öğrenmeniz gerekmiyor, ama bana güvenin.
									",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
","
","
","
","
",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
											(Gelächter)
									","
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									","
											(Kahkahalar)
									",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
","
","
","
","
",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
											Publikum: Schütteln. Falten.
									","
											Audience: Shake. Fold.
									","
											Audiencia: ""Sacudir"". ""Plegar"".
									","
											Public: Secouer. Plier.
									","
											Seyirciler: Salla. Katla.
									",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
","
","
","
","
",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
											JS: Selbstabreißend.
											Wissen Sie, das Lustige ist,
											dass ich meine Hände trockener bekomme, 
als andere mit drei oder vier,
											weil sie nicht zwischen die Ritze kommen.
											Wenn Sie denken, das hier sei nicht genauso gut...
									","
											JS: Cuts itself.
											You know the funny thing is,
											I get my hands drier than people do with three or four,
											because they can't get in between the cracks.
											If you think this isn't as good...
									","
											JS: Las de corte automático.
											Lo gracioso es que
											tengo las manos más secas que la gente que usa tres o cuatro hojas
											porque ellos no secan entre las hendiduras.
											Si lo piensan, esto no es tan bueno...
									","
											JS: Celle qui se coupe.
											Vous savez ce qui est drôle :
											j'ai les mains plus sèches que les gens qui utilisent trois ou quatre feuilles,
											parce qu'ils ne peuvent pas aller entre les doigts.
											Si vous pensez que ça n'est pas aussi bien....
									","
											JS: Çekerek koparılan.
											Komik olan ne biliyor musunuz?
											Üç ya da dört havlu kullananlardan daha iyi kurutabiliyorum,
											çünkü o kadarı parmak aralarına giremiyor.
											Bunun yeterince iyi olmadığını düşünüyorsanız...
									",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
","
","
","
","
",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
											Publikum: Schütteln. Falten.
									","
											Audience: Shake. Fold.
									","
											Audiencia: ""Sacudir"". ""Plegar"".
									","
											Public: Secouer. Plier.
									","
											Seyirciler: Salla. Katla.
									",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
","
","
","
","
",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
											JS: Heute gibt es eine wirklich schicke Erfindung,
											und zwar die, bei der man mit der Hand winken muss
											und es kommt raus.
											Es ist ein viel zu großes Tuch.
											Ich will Ihnen ein Geheimnis verraten.
											Wenn Sie ganz schnell sind, wenn Sie ganz schnell sind –
											und das kann ich beweisen –
											das hier ist ein halbes Tuch aus 
dem Automaten in diesem Gebäude.
											Wie? Sobald er anfängt, 
reißen sie es einfach ab.
											Der ist so klug, dass er stoppt.
											Und Sie kriegen ein halbes Handtuch.
									","
											JS: Now, there's now a real fancy invention,
											it's the one where you wave your hand
											and it kicks it out.
											It's way too big a towel.
											Let me tell you a secret.
											If you're really quick, if you're really quick —
											and I can prove this —
											this is half a towel from the dispenser in this building.
											How? As soon as it starts, you just tear it off.
											It's smart enough to stop.
											And you get half a towel.
									","
											JS: Hay una invención muy elegante,
											esa en la que uno mueve la mano
											y expulsa la hoja.
											Sale una toalla muy grande.
											Les diré un secreto.
											Si son rápidos, si son realmente rápidos...
											y puedo demostrarlo...
											esta es media toalla del dispensador de este edificio.
											¿Cómo? Ni bien empieza, hay que cortarla.
											Es inteligente y se detiene.
											Así, obtenemos la mitad de una toalla.
									","
											JS: Maintenant, une invention très fantaisiste,
											celle où vous passez votre main devant
											et ça sort.
											C'est une serviette beaucoup trop grande.
											Laissez-moi vous dire un secret.
											Si vous êtes vraiment rapide, vraiment rapide —
											et je peux le prouver —
											ceci est une demi-serviette du distributeur de ce bâtiment.
											Comment? Dès qu'il commence, vous déchirez.
											Il est assez intelligent pour s'arrêter tout seul.
											Vous avez une demi-serviette.
									","
											JS: İşte şimdi oldukça kıyak bir icat olan şey,
											altında elinizi sağlıyorsunuz
											ve bir kağıt havlu çıkıveriyor.
											Bu fazlasıyla büyük bir havlu.
											Size bir sır vereyim.
											Gerçekten hızlı olursanız, yeterince hızlıysanız —
											şöyle göstereyim —
											bu, içinde bulunduğumuz binanın kağıt havlu makinesinden.
											Nasıl mı? Başlar başlamaz, yırtıveriyorsunuz.
											Durabilecek kadar akıllı bir makine.
											Ve sizin yarım bir havlunuz oluyor.
									",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
","
","
","
","
",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
											Publikum: Schütteln. Falten.
									","
											Audience: Shake. Fold.
									","
											Audiencia: ""Sacudir"". ""Plegar"".
									","
											Public: Secouer. Plier.
									","
											Seyirciler: Salla. Katla.
									",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
","
","
","
","
",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
											JS: Und jetzt, alle zusammen. Schütteln. Falten.
											Jedes Mal, wenn Sie ein Papierhandtuch nehmen,
											werden Sie sich für den Rest Ihres Lebens 
an diese Wörter erinnern.
											Und erinnern Sie sich: Ein Jahr lang ein Papierhandtuch pro Kopf –
											259.105.570 Kilogramm Papier.
Keine kleine Angelegenheit.
											Und nächstes Jahr – Toilettenpapier.
									","
											JS: Now, let's all say it together. Shake. Fold.
											You will for the rest of your life remember those words
											every time you pick up a paper towel.
											And remember, one towel per person for one year —
											571,230,000 pounds of paper. No small thing.
											And next year, toilet paper.
									","
											JS: Ahora todos juntos. ""Sacudir"". ""Plegar"".
											Deberán recordar estas palabras el resto de sus vidas
											cada vez que tomen una toalla de papel.
											Y recuerden, una toalla por persona por año equivale
											a 259 106 000 kilos de papel. No es un tema menor.
											El año que viene, el papel higiénico.
									","
											JS: Maintenant, répétons ensemble. Secouer. Plier.
											Vous vous rappellerez ces mots pour le reste de votre vie
											chaque fois que vous prendrez une serviette en papier.
											Et souvenez-vous, une serviette par personne durant un an —
											571 230 000 livres de papier. C'est pas rien.
											Et l'année prochaine, le papier toilette.
									","
											JS: Şimdi, hep beraber söyleyelim. Salla. Katla.
											Hayatınızın sonuna kadar, her kağıt havlu çektiğinizde
											bu kelimeleri hatırlayacaksınız.
											Ve unutmayın, bir yıl boyunca kişi başına bir kağıt havlu—
											259,105,000 kilo kağıt . Az buz bir miktar değil.
											Seneye, tuvalet kağıdını anlatacağım.
									",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
","
","
","
","
",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
											(Gelächter)
									","
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									","
											(Kahkahalar)
									",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
"
","
","
","
","
",How to use a paper towel,Joe Smith,4:31,"TEDx,entertainment,green,hack,humor,materials,simplicity"
