es,fr,en,pt,title,speaker,duration,tags
"
","
","
","
","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
											Pero, cuando consideramos la experiencia 
del veterano en combate de hoy en día,
											empezamos a notar que
no hemos sido tan buenos
											preparándolos para volver a casa.
											¿Por qué es así?
											Nuestros ancestros vivían
inmersos en conflictos
											y peleaban justo en el sitio donde vivían.
											Es hasta hace solo recientemente
en nuestra historia evolutiva
											que existía la necesidad de aprender
cómo volver a casa de una guerra,
											porque realmente nunca lo hacíamos.
											Afortunadamente, a día de hoy
											la humanidad, en su mayoría,
vive en sociedades muy pacíficas;
											y cuando hay conflictos, nosotros,
especialmente en EE.UU.,
											poseemos la tecnología para que nuestros
guerreros tengan un entrenamiento avanzado
											al enviarlos a combatir
en cualquier parte del mundo;
											y cuando terminen, enviarlos de 
regreso a sus pacíficos suburbios.
									","
											Pourtant, en considérant l'expérience
d'un vétéran moderne du combat,
											nous commençons à voir
que nous n'avons pas été aussi bons
											pour les préparer à rentrer.
											Pourquoi ?
											Nos ancêtres vivaient
immergés dans le conflit
											et se battaient sur leur lieu de vie.
											Jusqu'à très récemment,
dans l'histoire de notre évolution,
											il n'y avait pas besoin d'apprendre
à rentrer de la guerre
											parce que cela n'arrivait jamais vraiment.
											Aujourd'hui, heureusement,
											la plupart de l'humanité vit
dans des sociétés plus pacifiques
											et, quand il y a un conflit,
nous, surtout aux États-Unis,
											avons la technologie pour entraîner
nos guerriers de façon plus avancée,
											les lâcher dans un combat
partout sur le globe
											et, quand ils ont fini,
											les ramener en avion
à la paix de la banlieue.
									","
											Yet, when we consider the experience
of the modern-day combat veteran,
											we begin to see that we
have not been as good
											at preparing them to come home.
											Why is that?
											Well, our ancestors lived
immersed in conflict,
											and they fought right where they lived.
											So until only very recently
in our evolutionary history,
											there was hardly a need to learn
how to come home from war,
											because we never really did.
											But thankfully, today,
											most of humanity lives
in far more peaceful societies,
											and when there is conflict,
we, especially in the United States,
											now have the technology to put
our warriors through advanced training,
											drop them in to fight
anywhere on the globe
											and when they're done,
											jet them back to peacetime suburbia.
									","
											Mas, se considerarmos as experiências
de um veterano de guerra moderno,
											começamos a ver
que não temos sido tão bons
											a prepará-los para voltar a casa.
											Porquê?
											Bem, os nossos antepassados
viviam imersos em conflitos,
											e lutavam onde moravam.
											Então, até bem recentemente
na nossa história evolutiva,
											raramente havia a necessidade
de aprender a voltar da guerra,
											porque realmente nunca o fazíamos.
											Mas hoje, felizmente,
											a maioria da humanidade vive
em sociedades bem mais pacíficas,
											e quando há conflito, nós, 
especialmente os EUA,
											temos a tecnologia para colocar
os nossos guerreiros em treino avançado,
											largá-los a lutar em qualquer
ponto do globo
											e quando tiverem terminado,
											voltamos a trazê-los
para subúrbios pacíficos.
									","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
","
","
","
","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
											Pero imagínense por un momento
cómo ha de sentirse eso.
											He hablado con veteranos
y me han dicho que un día están
											en un fuego cruzado brutal
en Afganistán,
											en donde ven carnicería humana, matanzas,
											y apenas tres días después
se encuentran cargando una hielera
											para el juego de fútbol de sus hijos.
											Les ""jode"" la mente,
											es el término más común.
									","
											Imaginez un instant
ce que l'on doit ressentir.
											J'ai parlé à des vétérans qui m'ont dit
											qu'un jour ils étaient
dans une violente fusillade en Afghanistan
											où ils ont vu le carnage et la mort
											et, trois jours plus tard,
ils se sont retrouvés
											à porter une glacière
pour le match de foot de leur fils.
											« Quel bordel ! »
est le terme le plus commun.
									","
											But just imagine for a moment
what this must feel like.
											I've spoken with veterans who've told me
											that one day they're in a brutal
firefight in Afghanistan
											where they saw carnage and death,
											and just three days later,
they found themselves
											toting an ice chest
to their kid's soccer game.
											""Mindfuck"" is the most common term.
									","
											Mas imaginem por um momento
como deve ser isso.
											Eu falei com veteranos que disseram
											que um dia estão num tiroteio brutal
no Afeganistão
											onde viram massacre e morte,
											e apenas três dias depois,
dão por eles a levar
											um balde de gelo para
o jogo de futebol do filho.
											""Cabeça lixada"" é o termo mais comum.
									","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
","
","
","
","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
											(Risas)
									","
											(Rires)
									","
											(Laughter)
									","
											(Risos)
									","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
","
","
","
","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
											Es el término más común que he oído
para describir esa experiencia,
											y es exactamente lo que pasa.
											Porque, si bien nuestros guerreros pasan
horas sin fin entrenando para la guerra,
											apenas recientemente hemos entendido
											que muchos necesitan entrenamiento sobre
cómo retornar a la vida como civiles.
									","
											C'est ce que j'ai le plus entendu
pour décrire cette expérience.
											C'est ce que cela fait.
											Alors que nos guerriers
passent d'innombrables heures
											à s'entraîner pour la guerre,
											nous n'avons compris que récemment
											que beaucoup ont besoin d'entraînement
pour revenir à la vie civile.
									","
											It's the most common term
I've heard to describe that experience.
											And that's exactly what that is.
											Because while our warriors
spend countless hours training for war,
											we've only recently come to understand
											that many require training
on how to return to civilian life.
									","
											É o termo mais comum que ouvi
para descrever essa experiência.
											E é mesmo o que isso é.
											Porque, enquanto os nossos guerreiros
passam horas a fio a treinar para a guerra,
											só recentemente é que
começámos a perceber
											que muitos precisam de treino
para regressar à vida civil.
									","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
","
","
","
","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
											Como todo entrenamiento,
											los mejores tratamientos para el TEPT
requieren de la repetición.
											En el ejército,
											no es que simplemente entregamos
lanzagranadas Mark-19 a los reclutas
											y les decimos:
											""Aquí está el gatillo, tienes algo
de munición, buena suerte"".
											No. Los entrenamos dentro de su rango
y bajo un contexto específico,
											una, y otra, y otra, y otra vez
											hasta que levantar su arma,
y asegurar el objetivo
											esté tan engranado en su memoria muscular
											que podría llevarse a cabo
sin siquiera pensar,
											incluso bajo las condiciones de mayor
estrés que puedan imaginarse.
									","
											Comme tout entraînement, les meilleurs
traitements requièrent de la répétition.
											Dans l'armée,
											nous ne voulons pas offrir aux soldats
des lance-grenades automatiques
											et leur dire : « La gâchette est là,
des munitions, bonne chance. »
											Non, nous les entraînons au stand
et dans des contextes particuliers,
											encore et encore
											jusqu'à ce que lever leur arme
et tirer sur leur cible
											soit si ancré dans leur mémoire musculaire
											que cela puisse être fait sans réfléchir
											même dans les conditions
les plus stressantes possibles.
									","
											Now, like any training, the best
PTSD treatments require repetition.
											In the military,
											we don't simply hand trainees
Mark-19 automatic grenade launchers
											and say, ""Here's the trigger,
here's some ammo and good luck.""
											No. We train them, on the range
and in specific contexts,
											over and over and over
											until lifting their weapon
and engaging their target
											is so engrained into muscle memory
											that it can be performed
without even thinking,
											even under the most stressful
conditions you can imagine.
									","
											Como qualquer treino, os melhores
tratamentos para PSPT requerem repetição.
											Na vida militar,
											não damos lançadores de granadas
automáticos a recrutas e dizemos:
											""Isto é o gatilho, toma lá
munições e boa sorte.""
											Não. Eles são treinados, no campo de tiro,
e em contextos específicos,
											repetidamente
											até que elevar aquela arma
e enfrentar o seu alvo
											fica tão enraizado em memória muscular
											que pode ser feito sem sequer pensar,
											mesmo nas condições mais
stressantes que se possa imaginar.
									","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
","
","
","
","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
											Lo mismo consideran los tratamientos
basados en entrenamiento.
											El primero de estos tratamientos
es la ""terapia cognitiva"",
											y esta es como una especie
de recalibración mental.
											Cuando un veterano vuelve de la guerra,
											su manera de estructurar
mentalmente al mundo
											está calibrada para un ambiente
inmensamente más peligroso.
											Así que cuando tratas de revestir
esa estructura mental
											para un ambiente de tiempos de paz,
											surgen los problemas.
											Empiezas ahogándote en preocupaciones
que en realidad no están presentes,
											Empiezas a desconfiar de
tus familiares y amigos.
											No es decir que no haya peligros 
en la vida civil, que sí los hay,
											sino que la probabilidad
de que se presenten,
											en comparación con combatir,
											son astronómicamente más bajas.
									","
											C'est vrai pour les traitements
basés sur l'entraînement.
											Le premier de ces traitements
est la thérapie cognitive,
											c'est comme un ré-calibrage mental.
											Quand les vétérans rentrent de la guerre,
leur vision mentale du monde est calibrée
											sur un environnement
immensément dangereux.
											Quand vous appliquez cela
à un environnement pacifique,
											vous avez des problèmes.
											Vous vous noyez dans vos inquiétudes
sur des dangers inexistants.
											Vous ne faites pas confiance
à votre famille ni vos amis.
											Je ne dis pas qu'il n'y a pas de dangers
dans la vie civile ; il y en a.
											Mais la probabilité d'en rencontrer
											en comparaison au combat
											est astronomiquement plus faible.
									","
											Now, the same holds
for training-based treatments.
											The first of these treatments
is cognitive therapy,
											and this is a kind
of mental recalibration.
											When veterans come home from war,
											their way of mentally framing
the world is calibrated
											to an immensely
more dangerous environment.
											So when you try to overlay that mind frame
onto a peacetime environment,
											you get problems.
											You begin drowning in worries
about dangers that aren't present.
											You begin not trusting family or friends.
											Which is not to say there are no
dangers in civilian life; there are.
											It's just that the probability
of encountering them
											compared to combat
											is astronomically lower.
									","
											Agora, o mesmo mantém-se para
tratamentos baseados em treino.
											O primeiro destes tratamentos
é terapia cognitiva,
											e é como uma re-calibração mental.
											Quando os veteranos voltam da guerra,
											a forma de enquadrar o mundo
mentalmente está calibrada
											para um ambiente imensamente
mais perigoso.
											E quando tentamos sobrepor essa
mentalidade para um ambiente pacífico,
											temos problemas.
											Começamos a afogar-nos em
receios de perigos que não estão lá.
											Começamos a não confiar na 
família ou amigos.
											O que não quer dizer que não haja
perigos na vida civil, claro que há.
											Mas a probabilidade de os encontrarmos,
											em comparação com o combate,
											é astronomicamente mais baixa.
									","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
","
","
","
","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
											Nunca aconsejamos a los veteranos
abandonar la precaución por completo.
											Sin embargo, les entrenamos 
para ajustar la precaución
											de acuerdo a dónde estén.
											Si se encuentran en un mal vecindario,
											la aumentan.
											En una salida a comer con la familia,
											la bajan lo máximo posible.
											Entrenamos a los veteranos
para ser ferozmente racionales
											para calcular sistemáticamente la
probabilidad real de encontrar, digamos,
											un artefacto explosivo improvisado
en tiempo de paz aquí en EE.UU.
											Con la suficiente práctica, 
esas recalibraciones se concretan.
									","
											Nous ne conseillons jamais aux vétérans
de ne pas être prudent.
											Nous les entraînons
pour ajuster leur prudence
											selon le lieu où ils sont.
											Si vous vous trouvez
dans un quartier mal-famé,
											vous l'augmentez.
											A un dîner de famille ?
											Vous l'abaissez beaucoup.
											Nous entraînons les vétérans
à être hautement rationnels,
											à jauger systématiquement
la probabilité statistique réelle
											de rencontrer une bombe artisanale,
ici, dans une Amérique en paix.
											Avec assez de pratique,
ces ré-calibrations tiennent.
									","
											So we never advise veterans
to turn off caution completely.
											We do train them, however,
to adjust caution
											according to where they are.
											If you find yourself
in a bad neighborhood,
											you turn it up.
											Out to dinner with family?
											You turn it way down.
											We train veterans to be fiercely rational,
											to systematically gauge
the actual statistical probability
											of encountering, say, an IED
here in peacetime America.
											With enough practice,
those recalibrations stick.
									","
											Então nunca aconselhamos veteranos
a baixar completamente a guarda.
											Mas, treinamo-los para
ajustarem o nível alerta
											de acordo com onde estão.
											Se nos encontrarmos num bairro mau,
											aumentamos esse nível.
											Jantar fora com a família?
											Baixamos muito o nível.
											Treinamos os veteranos para
serem intensamente racionais,
											para estarem constantemente a medir
a probabilidade estatística concreta
											de encontrar, digamos, uma bomba caseira
aqui na América em tempo de paz.
											Com prática suficiente,
essas re-calibrações ficam.
									","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
","
","
","
","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
											El siguiente tratamiento
es la terapia por exposición,
											y este es una especie 
de entrenamiento de campo,
											y es el más rápido de los tratamientos
comprobados y efectivos que existen.
									","
											Le traitement suivant
est la thérapie d'exposition
											et c'est un entraînement de terrain,
											le plus rapide des traitements
prouvés efficaces.
									","
											The next of these treatments
is exposure therapy,
											and this is a kind of field training,
											and the fastest of the proven
effective treatments out there.
									","
											O tratamento seguinte
é a terapia de exposição,
											e este é um tipo de treino de campo,
											e o mais rápido dos tratamentos
comprovadamente eficazes.
									","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
","
","
","
","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
											¿Recuerdan a Carlos?
											Este fue el tratamiento que él eligió.
											Así que empezamos por darle
ejercicios que para él eran retadores:
											Ir a una tienda de comestibles,
											ir a un centro comercial,
ir a un restaurante,
											sentarse dándole la espalda a la puerta;
											Y, críticamente,
											permanecer en estos ambientes.
											Al comienzo se sentía muy ansioso.
											Quería sentarse en un sitio donde
pudiera escanear todo el lugar
											o planear rutas de escape,
											o tener en sus manos un arma improvisada;
											y quería irse, pero no lo hizo.
											Recordó su entrenamiento en el
Cuerpo de Marines de EE.UU.,
											y se forzó a salir de su incomodidad.
											Y cada vez que hacía esto,
su ansiedad decrecía un poco,
											luego un poquito más,
y luego un poquito más.
											Hacia el final
											había reaprendido efectivamente
cómo sentarse en un sitio público
											y simplemente disfrutar.
									","
											Vous vous souvenez de Carlos ?
											C'est le traitement qu'il a choisi.
											Nous avons commencé
par lui donner des exercices
											qui, pour lui, étaient durs :
											aller à l'épicerie,
											aller dans un centre commercial,
aller au restaurant,
											s'asseoir dos à la porte.
											Et, surtout,
											rester dans ces environnements.
											Au début, il était très anxieux.
											Il voulait s'asseoir
là où il pouvait observer la pièce,
											là où il pouvait prévoir une fuite,
											là où il pourrait mettre la main
sur une arme improvisée.
											Il voulait partir, mais ne l'a pas fait.
											Il s'est souvenu de son entraînement
dans le corps des marines
											et il a été au-delà de son malaise.
											Chaque fois qu'il l'a fait,
son anxiété diminuait un peu,
											puis un peu plus et un peu plus,
											jusqu'à ce que, finalement,
											il ait réussi à réapprendre
comment s'asseoir dans un lieu public
											et en profiter.
									","
											You remember Carlos?
											This was the treatment that he chose.
											And so we started off
by giving him exercises,
											for him, challenging ones:
											going to a grocery store,
											going to a shopping mall,
going to a restaurant,
											sitting with his back to the door.
											And, critically —
											staying in these environments.
											Now, at first he was very anxious.
											He wanted to sit
where he could scan the room,
											where he could plan escape routes,
											where he could get his hands
on a makeshift weapon.
											And he wanted to leave, but he didn't.
											He remembered his training
in the Marine Corps,
											and he pushed through his discomfort.
											And every time he did this,
his anxiety ratcheted down a little bit,
											and then a little bit more
and then a little bit more,
											until in the end,
											he had effectively relearned
how to sit in a public space
											and just enjoy himself.
									","
											Lembram-se do Carlos?
											Este foi o tratamento que ele escolheu.
											Então começámos por dar-lhe exercícios,
											desafiantes para ele:
											ir a um supermercado,
											ir a um centro comercial,
ir a um restaurante,
											sentar-se de costas para a porta.
											E, de forma crítica,
											manter-se nesses ambientes.
											Ao início ele ficava muito ansioso.
											Queria sentar-se onde
poderia avaliar a sala,
											para poder planear vias de fuga,
											para poder apanhar uma
arma improvisada.
											Queria sair, mas não o fez.
											Lembrou-se do seu treino
nos fuzileiros,
											e lutou contra o seu desconforto.
											Sempre que o fez, a sua ansiedade
reduziu-se um pouco,
											e depois mais um pouco
e depois mais um pouco,
											até que no final,
											ele efectivamente voltou a aprender
como sentar-se num local público
											e simplesmente aproveitar.
									","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
","
","
","
","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
											También escuchó grabaciones
de sus experiencias combatiendo,
											una, y otra, y otra vez.
											Escuchó hasta que esos recuerdos
ya no le generaran ansiedad alguna.
											Procesó sus recuerdos de tal manera
											que su cerebro ya no necesitó
volver a esas experiencias
											mientras dormía.
											Y cuando hablé con él,
											un año después de terminar su tratamiento,
											me dijo:
											""Doc, esta es la primera vez en 43 años
											que no he tenido pesadillas"".
									","
											Il a aussi écouté des enregistrements
de ces expériences de combat,
											encore et encore.
											Il écoutait jusqu'à ce que ces souvenirs
ne génèrent plus d'anxiété.
											Il a si bien digéré ses souvenirs
											que son cerveau n'avait plus besoin
de revenir à ces expériences
											pendant son sommeil.
											Quand je lui ai parlé,
un an après la fin du traitement,
											il m'a dit :
											« Doc, pour la première fois en 43 ans,
											je n'ai pas eu de cauchemars. »
									","
											He also listened to recordings
of his combat experiences,
											over and over and over.
											He listened until those memories
no longer generated any anxiety.
											He processed his memories so much
											that his brain no longer needed
to return to those experiences
											in his sleep.
											And when I spoke with him
a year after treatment had finished,
											he told me,
											""Doc, this is the first time in 43 years
											that I haven't had nightmares.""
									","
											Ele também ouviu gravações
das suas experiências de combate,
											repetidamente.
											Ouviu-as até que essas memórias
deixassem de gerar ansiedade de todo.
											Ele processou tanto essas memórias
											que o cérebro dele já não precisava
de voltar a essas experiências
											durante o sono.
											Quando falei com ele, um ano depois
de ter terminado o tratamento,
											ele disse-me:
											""Doutor, esta é a primeira vez em 43 anos
											""que não tive pesadelos.""
									","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
","
","
","
","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
