es,en,fr,title,speaker,duration,tags
"
","
","
",Why mayors should rule the world,Benjamin Barber,18:05,"cities,global issues,politics"
"
											Estos son los espacios públicos
											en los que nos proclamamos ciudadanos,
											participantes, personas con el derecho
											a escribir nuestra propia historia.
											Las ciudades no son solo 
las instituciones más antiguas,
											son las más perdurables.
											Si lo piensan,
											Constantinopla, Estambul, son 
mucho más antiguas que Turquía.
											Alejandría, mucho 
más antigua que Egipto.
											Roma, muy anterior a Italia.
											Las ciudades sobreviven a las épocas.
											Son los lugares en los que nacemos,
											crecemos, nos educamos, 
trabajamos, nos casamos,
											rezamos, jugamos, envejecemos 
y, llegado el momento, morimos.
											Son nuestro hogar.
											Son muy diferentes 
de los estados-nación,
											que son abstracciones.
											Pagamos impuestos, 
en ocasiones votamos,
											observamos a los hombres y 
mujeres que elegimos para gobernar
											que gobiernan más 
o menos sin nosotros.
											No ocurre tan así en esos 
hogares llamados ciudades,
											en las ciudades en las que vivimos.
											Es más, hoy en día, más de 
la mitad de la población mundial
											vive en ciudades.
											En el mundo desarrollado 
supone el 78 por ciento.
											Hoy, más de 3 de cada 4 personas
											viven en instituciones 
urbanas, lugares urbanos,
											en ciudades.
											Así que las ciudades son 
donde se encuentra la acción.
											Las ciudades somos nosotros. 
Aristóteles dijo en la Grecia Antigua
											que el hombre es un animal político.
											Yo digo que somos un animal urbano.
											Somos una especie urbana, con 
nuestros hogares en nuestras ciudades.
											Para volver al dilema,
											si el dilema es que tenemos 
unos estados-nación antiguos,
											incapaces de gobernar al mundo,
											de responder a los retos globales 
a los que nos enfrentamos,
											como el cambio climático,
											quizás es el momento de que 
los alcaldes gobiernen al mundo,
											de que los alcaldes y los ciudadanos 
y las personas a las que representan
											se involucren en el gobierno global.
									","
											Those are the public spaces
											where we announce ourselves as citizens,
											as participants, as people with the right
											to write our own narratives.
											Cities are not only the oldest of institutions,
											they're the most enduring.
											If you think about it,
											Constantinople, Istanbul, much older than Turkey.
											Alexandria, much older than Egypt.
											Rome, far older than Italy.
											Cities endure the ages.
											They are the places where we are born,
											grow up, are educated, work, marry,
											pray, play, get old, and in time, die.
											They are home.
											Very different than nation-states,
											which are abstractions.
											We pay taxes, we vote occasionally,
											we watch the men and women we choose rule
											rule more or less without us.
											Not so in those homes known as our towns
											and cities where we live.
											Moreover, today, more than half of the world's population
											live in cities.
											In the developed world, it's about 78 percent.
											More than three out of four people
											live in urban institutions, urban places,
											in cities today.
											So cities are where the action is.
											Cities are us. Aristotle said in the ancient world,
											man is a political animal.
											I say we are an urban animal.
											We are an urban species, at home in our cities.
											So to come back to the dilemma,
											if the dilemma is we have old-fashioned
											political nation-states unable to govern the world,
											respond to the global challenges that we face
											like climate change,
											then maybe it's time for mayors to rule the world,
											for mayors and the citizens and the peoples they represent
											to engage in global governance.
									","
											Ce sont les espaces publics
											où nous proclamons
que nous sommes des citoyens,
											des participants,
des individus avec le droit
											d'écrire notre propre histoire.
											Les cités ne sont pas seulement
les plus anciennes institutions,
											elles sont les plus résistantes.
											Réfléchissez-y :
											Constantinople, Istanbul,
bien plus ancienne que la Turquie.
											Alexandrie,
bien plus ancienne que l'Egypte.
											Rome,
beaucoup plus vieille que l'Italie.
											Les villes résistent au temps.
											C'est là que nous sommes nés,
											là où nous grandissons, où nous étudions,
travaillons, nous marions,
											là où nous prions, jouons,
vieillissons et, finalement, mourons.
											Elles sont notre foyer.
											Très différentes des Etats-Nations,
											qui sont des abstractions.
											On paie des impôts,
on vote de temps en temps,
											on regarde les hommes et les femmes qu'on a élus
											gouverner plus ou moins sans nous.
											Rien de tout cela
dans ces foyers que sont nos villes,
											et les cités dans lesquelles nous vivons.
											De plus, aujourd'hui,
plus de moitié de la population mondiale
											vit en ville.
											Dans les pays industrialisés,
c'est 78 pour cent.
											Plus de 3 personnes sur 4
											vivent aujourd'hui
dans des communautés urbaines,
											des sites urbanisés,
ou des villes.
											Les villes sont l'endroit
où les choses se passent.
											Les villes, c'est nous.
Aristote disait, dans l'Antiquité :
											l'homme est un animal politique.
											Je dis que nous sommes un animal urbain.
											Nous sommes une espèce urbaine,
dans notre élément en ville.
											Alors revenons à notre dilemme.
											Si le dilemme est que nous avons de vieux Etats-Nations politiques
											incapables de gouverner le monde,
											de répondre aux menaces
à l'échelle mondiale

											comme le changement climatique,
											alors il est peut-être temps pour les maires
de gouverner le monde,
											pour les maires, les citoyens,
et toutes les personnes qu'ils représentent,
											de s'engager dans la gouvernance mondiale.
									",Why mayors should rule the world,Benjamin Barber,18:05,"cities,global issues,politics"
"
","
","
",Why mayors should rule the world,Benjamin Barber,18:05,"cities,global issues,politics"
"
											Cuando hablo de los alcaldes 
que gobiernen al mundo,
											cuando al principio se me ocurrió esa frase,
											me di cuenta de que, 
en realidad, ya lo hacen.
											Ya hay ejemplos de instituciones 
internacionales, interurbanas,
											instituciones transfronterizas, 
redes de ciudades
											en las que las ciudades 
ya están, silenciosamente,
											trabajando juntas 
más allá del horizonte,
											para hacer frente al cambio 
climático, a la seguridad,
											la inmigración,
											para tratar todos esos problemas,
											arduos e interdependientes, 
a los que nos enfrentamos.
											Tienen nombres extraños:
											UCLG,
											Ciudades y Gobiernos Locales Unidos;
											ICLEI,
											Consejo Internacional para Problemas 
Medioambientales Locales.
											Y la lista continúa:
											Citynet en Asia; City Protocol, 
una nueva organización
											nacida en Barcelona 
que utiliza la web
											para compartir las mejores 
prácticas entre países.
											Y también todas esas cosas 
que nos son más familiares:
											el Pacto de Alcaldes de los EE UU,
											el Pacto de Alcaldes 
de la Ciudad de México,
											el Pacto de Alcaldes Europeos.
											Los alcaldes son la clave.
									","
											When I say if mayors ruled the world,
											when I first came up with that phrase,
											it occurred to me that actually, they already do.
											There are scores of international, inter-city,
											cross-border institutions, networks of cities
											in which cities are already, quite quietly,
											below the horizon, working together
											to deal with climate change, to deal with security,
											to deal with immigration,
											to deal with all of those tough,
											interdependent problems that we face.
											They have strange names:
											UCLG,
											United Cities and Local Governments;
											ICLEI,
											the International Council for Local Environmental Issues.
											And the list goes on:
											Citynet in Asia; City Protocol, a new organization
											out of Barcelona that is using the web
											to share best practices among countries.
											And then all the things we know a little better,
											the U.S. Conference of Mayors,
											the Mexican Conference of Mayors,
											the European Conference of Mayors.
											Mayors are where this is happening.
									","
											Quand je dis
« Si les maires gouvernaient le monde »,
											lorsque j'ai dit ça pour la première fois,
											il m'est apparu qu'en réalité,
ils le font déjà.
											Il y a un grand nombre d'institutions internationales, intercités,
											transfrontalières,
des réseaux de villes
											dans lesquelles elles sont déjà
en train de s'attaquer ensemble,
											assez tranquillement,
dans les coulisses,
											au changement climatique,
à l'insécurité,
											à l'immigration,
											à résoudre tous ces difficiles
											problèmes interdépendants
auxquels nous sommes confrontés.
											Elles ont des noms étranges :
											UCLG,
											Cités et Gouvernements Locaux Unis,
											ICLEI,
											Conseil International
pour les Initiatives Écologiques Locales.
											Et la liste continue :
											Citynet en Asie,
City Protocol, une nouvelle organisation
											née à Barcelone, qui utilise le web
											pour échanger les meilleures pratiques
entre pays.
											Et aussi celles qu'on connait un peu mieux,
											la Convention US des Maires,
											la Convention Mexicaine des Maires,
											la Convention Européenne des Maires.
											Les maires sont là où ça se passe.
									",Why mayors should rule the world,Benjamin Barber,18:05,"cities,global issues,politics"
"
","
","
",Why mayors should rule the world,Benjamin Barber,18:05,"cities,global issues,politics"
"
											Así que la pregunta es:
											¿Cómo podemos crear un mundo
											en el que los alcaldes y los ciudadanos 
a los que reprensentan
											jueguen un papel más importante?
											Bien, para comprender eso,
											debemos comprender por qué 
las ciudades son especiales,
											por qué los alcaldes 
son tan distintos
											de los primeros ministros y los presidentes,
											porque mi premisa es que 
un alcalde y un primer ministro
											son dos extremos opuestos 
del espectro político.
											Para ser primer ministro o presidente,
											necesitas tener una ideología,
											necesitas una metanarrativa,
											debes tener una teoría sobre 
cómo funcionan las cosas,
											debes pertenecer a un partido.
											En general, los políticos independientes,
											no llegan a ser electos.
											Los alcaldes son todo lo contrario.
											Los alcaldes son pragmatistas, 
son los que solucionan los problemas.
											Su trabajo es hacer las cosas, 
y si no las hacen,
											son despedidos.
											El alcalde Nutter 
de Filadelfia dijo:
											""En Filadelfia no podríamos escabullirnos
											y hacer las cosas como 
se hacen en Washington,
											con esa parálisis, esa falta 
de acción, esa inacción.
											¿Por qué? Porque hay que 
arreglar los socavones,
											porque los trenes han de funcionar,
											porque los chicos tienen 
que poder ir a la escuela"".
											Eso es lo que tenemos que hacer,
											y eso tiene que ver 
con el pragmatismo,
											en el sentido estadounidense,
											de conseguir resultados.
											Washington, Beijing, París, 
como capitales mundiales,
											son cualquier cosa 
menos pragmáticas,
											pero los alcaldes de ciudades
reales tienen que ser pragmáticos.
											Tienen que hacer las cosas,
											han de dejar la ideología, 
la religión y la etnicidad a un lado
											y unir sus ciudades.
											Fuimos testigos de ello 
hace un par de décadas,
											cuando Teddy Kollek, 
el gran alcalde de Jerusalén
											en los años 80 y 90,
											se encontró asediado 
un día en su oficina
											por los diversos líderes religiosos:
											prelados cristianos, rabinos, imanes.
											Discutían entre ellos
											sobre el acceso a los lugares sagrados.
											Y la riña no acababa,
											y Kollek escuchaba,
											y al final dijo: ""Señores,
											ahórrense sus sermones,
											yo les arreglaré las alcantarillas.""
									","
											And so the question is,
											how can we create a world
											in which mayors and the citizens they represent
											play a more prominent role?
											Well, to understand that,
											we need to understand why cities are special,
											why mayors are so different
											than prime ministers and presidents,
											because my premise is that a mayor and a prime minister
											are at the opposite ends of a political spectrum.
											To be a prime minister or a president,
											you have to have an ideology,
											you have to have a meta-narrative,
											you have to have a theory of how things work,
											you have to belong to a party.
											Independents, on the whole,
											don't get elected to office.
											But mayors are just the opposite.
											Mayors are pragmatists, they're problem-solvers.
											Their job is to get things done, and if they don't,
											they're out of a job.
											Mayor Nutter of Philadelphia said,
											we could never get away here in Philadelphia
											with the stuff that goes on in Washington,
											the paralysis, the non-action, the inaction.
											Why? Because potholes have to get filled,
											because the trains have to run,
											because kids have to be able to get to school.
											And that's what we have to do,
											and to do that is about pragmatism
											in that deep, American sense,
											reaching outcomes.
											Washington, Beijing, Paris, as world capitals,
											are anything but pragmatic,
											but real city mayors have to be pragmatists.
											They have to get things done,
											they have to put ideology and religion and ethnicity aside
											and draw their cities together.
											We saw this a couple of decades ago
											when Teddy Kollek, the great mayor of Jerusalem
											in the '80s and the '90s,
											was besieged one day in his office
											by religious leaders from all of the backgrounds,
											Christian prelates, rabbis, imams.
											They were arguing with one another
											about access to the holy sites.
											And the squabble went on and on,
											and Kollek listened and listened,
											and he finally said, ""Gentlemen,
											spare me your sermons,
											and I will fix your sewers.""
									","
											Et la question devient alors,
											comment pouvons-nous créer un monde
											où les maires
et les citoyens qu'ils représentent
											jouent un rôle plus important ?
											Eh bien, pour comprendre cela,
											nous devons comprendre
en quoi les villes sont spéciales,
											en quoi les maires sont différents
											des premiers ministres et des présidents,
											car mon postulat de départ
est qu'un maire et un premier ministre
											sont aux extrémités opposées
du spectre politique.
											Pour être premier ministre ou président,
											vous devez avoir une idéologie,
											vous devez avoir une méta-narration,
											vous devez avoir une théorie
sur le fonctionnement des choses,
											vous devez appartenir à un parti.
											Les indépendants, de manière générale,
											ne sont pas élus.
											Mais les maires sont juste le contraire.
											Les maires sont pragmatiques,
ils résolvent des problèmes.
											Leur boulot est de le faire,
et s'ils ne font pas,
											ils se retrouvent au chômage.
											M. Nutter, le maire de Philadelphie,
disait :
											on ne pourra jamais s'en sortir
ici à Philadelphie,
											en s'y prenant comme à Washington,
											la paralysie, la non-action, l'inaction.
											Pourquoi ?
Parce que les nids de poule doivent être bouchés,
											parce que les trains doivent rouler,
											parce que les enfants
doivent pouvoir aller à l'école.
											C'est ça qu'on doit faire,
											ça doit se faire avec pragmatisme,
											ce profond bon sens américain
											qui donne des résultats.
											Washington, Pékin, Paris,
en tant que capitales mondiales,
											sont tout sauf pragmatiques,
											mais les maires des vraies villes
doivent l'être.
											Ils doivent arriver à des résultats,
											ils doivent mettre de côté l'idéologie,
la religion, la question ethnique,
											et rassembler les forces de leurs villes.
											On a vu ça il y a une vingtaine d'années,
											quand Teddy Kollek,
le grand maire de Jérusalem,
											dans les années 80 et 90,
											a été assiégé un jour à son bureau
											par des leaders religieux de toutes confessions,
											des prélats chrétiens, des rabbins,
des imams.
											Ils se disputaient entre eux
											à propos de l'accès aux sites sacrés.
											La querelle n'en finissait pas,
											et Kollek écoutait, écoutait,
											et il dit finalement :
« Messieurs,
											épargnez-moi vos sermons,
											et je réparerai vos égoûts. »
									",Why mayors should rule the world,Benjamin Barber,18:05,"cities,global issues,politics"
"
","
","
",Why mayors should rule the world,Benjamin Barber,18:05,"cities,global issues,politics"
"
											(Risas)
									","
											(Laughter)
									","
											(Rires)
									",Why mayors should rule the world,Benjamin Barber,18:05,"cities,global issues,politics"
"
","
","
",Why mayors should rule the world,Benjamin Barber,18:05,"cities,global issues,politics"
"
											Eso es lo que hacen los alcaldes.
											Arreglan las alcantarillas, 
hacen que los trenes funcionen.
											No existe una manera de derecha 
o de izquierda para hacerlo.
											Boris Johnson, alcalde de Londres, 
se autodenomina anarco-Tory.
											Un término extraño, pero 
en ciertos aspectos lo es.
											Es un libertario. Es un anarquista.
											Va al trabajo en bicicleta,
											pero a la vez, es conservador 
en algunos aspectos.
											Bloomberg en Nueva York, 
fue demócrata,
											después fue republicano,
											y finalmente fue independiente, y dijo
											que la etiqueta partidista 
solo es un estorbo.
											Luzhkov, alcalde de Moscú 
durante 20 años,
											aunque ayudó a fundar un partido, 
el Partido Unido, junto a Putin,
											se negó de hecho a definirse 
de acuerdo a ese partido
											y al final, perdió su puesto 
no bajo el mandato de Brezhnev,
											ni bajo el de Gorbachev, 
sino bajo el de Putin,
											que quería un seguidor 
más fiel al partido.
											Así que los alcaldes son pragmatistas 
y los que solucionan problemas.
											Los que consiguen que 
se hagan las cosas.
									","
											That's what mayors do.
											They fix sewers, they get the trains running.
											There isn't a left or a right way of doing.
											Boris Johnson in London calls himself an anarcho-Tory.
											Strange term, but in some ways, he is.
											He's a libertarian. He's an anarchist.
											He rides to work on a bike,
											but at the same time, he's in some ways a conservative.
											Bloomberg in New York was a Democrat,
											then he was a Republican,
											and finally he was an Independent, and said
											the party label just gets in the way.
											Luzhkov, 20 years mayor in Moscow,
											though he helped found a party, United Party with Putin,
											in fact refused to be defined by the party
											and finally, in fact, lost his job not under Brezhnev,
											not under Gorbachev, but under Putin,
											who wanted a more faithful party follower.
											So mayors are pragmatists and problem-solvers.
											They get things done.
									","
											C'est ce que font les maires.
											Ils réparent les égouts,
ils font rouler les trains.
											Il n'y pas de façon de gauche ou de droite
de faire ça.
											Boris Johnson, de Londres, se qualifie lui-même d'anarcho-conservateur.
											Étrange appellation,
mais d'une certaine façon, c'est ce qu'il est.
											C'est un libertaire.
C'est un anarchiste.
											Il se rend à son travail à vélo,
											et en même temps,
il est par certains côtés un conservateur.
											Bloomberg, à New-York,
était d'abord un Démocrate,
											puis il est devenu Républicain,
											et enfin il est devenu indépendant,
en disant
											que l'étiquette des partis
ne fait qu'encombrer le chemin.
											Lujkov, maire de Moscou pendant 20 ans,
											bien qu'il ait fondé un parti,
Russie Unie, avec Poutine,
											refusait en fait d'être défini par le parti
											et finalement, a perdu son job,
non pas sous Brejnev,
											non pas sous Gorbatchev,
mais sous Poutine,
											qui voulait un membre du parti plus fidèle.
											Donc, les maires sont des pragmatiques
et ils résolvent des problèmes.
											Ils font les choses.
									",Why mayors should rule the world,Benjamin Barber,18:05,"cities,global issues,politics"
"
","
","
",Why mayors should rule the world,Benjamin Barber,18:05,"cities,global issues,politics"
"
											La segunda cosa 
sobre los alcaldes
											es que son lo que me gusta 
llamar ""amiguetes"".
											Ellos y sus esposas 
son nuestros vecinos.
											Ellos son del barrio.
											Son parte del barrio, los conocemos.
											Ed Koch solía pasear por 
la ciudad de Nueva York
											preguntando: ""¿Qué tal lo estoy haciendo?""
											Imaginen a David Cameron
											paseando por el Reino Unido
											preguntando: ""¿Qué tal lo estoy haciendo?"" 
No le gustaría la respuesta.
											O a Putin. O a cualquier líder nacional.
											Koch podía preguntar eso porque 
conocía a los neoyorquinos.
											y ellos lo conocían a él.
											Los alcaldes proceden normalmente 
de los lugares que gobiernan.
											Es bastante difícil ser 
forastero y alcalde.
											Puedes presentarte al Senado por 
un Estado del que no procedes,
											pero es difícil hacerlo como alcalde.
									","
											But the second thing about mayors
											is they are also what I like to call homeboys,
											or to include the women mayors, homies.
											They're from the neighborhood.
											They're part of the neighborhood. They're known.
											Ed Koch used to wander around New York City
											saying, ""How am I doing?""
											Imagine David Cameron
											wandering around the United Kingdom
											asking, ""How am I doing?"" He wouldn't like the answer.
											Or Putin. Or any national leader.
											He could ask that because he knew New Yorkers
											and they knew him.
											Mayors are usually from the places they govern.
											It's pretty hard to be a carpetbagger and be a mayor.
											You can run for the Senate out of a different state,
											but it's hard to do that as a mayor.
									","
											Mais la seconde caractéristique des maires,
											c'est qu'ils sont aussi
ce que j'aime appeler des gars du pays,
											ou, pour inclure les femmes maires,
des filles du pays.
											Ils viennent du quartier.
											Ils font partie du voisinage.
Ils sont connus.
											Ed Koch avait l'habitude
de se promener dans New York
											en demandant
« Comment trouvez-vous que je me débrouille ? »
											Imaginez David Cameron
											se baladant au Royaume-Uni
en demandant :
											« Comment je me débrouille ? » Il n'aimerait pas la réponse.
											Ou Poutine.
Ou n'importe quel dirigeant national.
											Il pouvait demander ça 
parce qu'il connaissait les New-Yorkais
											et que ceux-ci le connaissaient.
											Les maires sont souvent issus
des villes qu'ils gouvernent.
											C'est assez difficile d'être en même temps
un profiteur et un maire.
											Vous pouvez être candidat au Sénat
dans un autre Etat que le vôtre,
											mais c'est difficile de le faire comme maire.
									",Why mayors should rule the world,Benjamin Barber,18:05,"cities,global issues,politics"
"
","
","
",Why mayors should rule the world,Benjamin Barber,18:05,"cities,global issues,politics"
"
											Como resultado, los alcaldes y concejales
											y las autoridades locales
											tienen un nivel de 
confianza mucho mayor,
											y esta es la tercera 
característica de los alcaldes,
											que no tienen los gobernadores nacionales.
											Conocemos las patéticas 
cifras en Estados Unidos:
											un 18% de los estadounidenses 
apoyan al Congreso
											y lo que hacen.
											E incluso con un presidente 
relativamente popular como Obama,
											la cifra de apoyo a 
la presidencia es del 40, 45,
											en ocasiones 50% 
como mucho.
											La Corte Suprema está muy lejos 
del apoyo que solía tener.
											Pero si preguntan: 
""¿Confías en tu concejal,
											confías en tu alcalde?""
											Los porcentajes suben al 
70, 75, incluso al 80%,
											porque son gente del vecindario,
											porque la gente con la que 
trabajan son del vecindario,
											porque, como el alcalde 
Booker en Newark,
											es probable que un alcalde salga 
de su coche de camino al trabajo
											para sacar a la gente de 
un edificio en llamas
											—esto le ocurrió el alcalde Booker—
											o interceder en un atraco en 
plena calle mientras va al trabajo
											porque lo ve.
											Los servicios de seguridad no permitirían
											a ningún jefe de Estado hacer esto,
											ni siquiera encontrarse 
en la posición de poder hacerlo.
									","
											And as a result, mayors and city councillors
											and local authorities
											have a much higher trust level,
											and this is the third feature about mayors,
											than national governing officials.
											In the United States, we know the pathetic figures:
											18 percent of Americans approve of Congress
											and what they do.
											And even with a relatively popular president like Obama,
											the figures for the Presidency run about 40, 45,
											sometimes 50 percent at best.
											The Supreme Court has fallen way down from what it used to be.
											But when you ask, ""Do you trust your city councillor,
											do you trust your mayor?""
											the rates shoot up to 70, 75, even 80 percent,
											because they're from the neighborhood,
											because the people they work with are their neighbors,
											because, like Mayor Booker in Newark,
											a mayor is likely to get out of his car on the way to work
											and go in and pull people out of a burning building —
											that happened to Mayor Booker —
											or intervene in a mugging in the street as he goes to work
											because he sees it.
											No head of state would be permitted
											by their security details to do it,
											nor be in a position to do it.
									","
											En conséquence, les maires,
les conseillers municipaux,
											et les autorités locales
											bénéficient d'un degré de confiance
bien plus grand
											que les officiels des gouvernements nationaux,
											et c'est la troisième particularité des maires.
											Aux États-Unis,
on connait les tristes chiffres :
											18 pour cent des américains approuvent le Congrès
											et ce qu'ils y font.
											Et même pour un président relativement populaire
comme Obama,
											les chiffres pour la Présidence
tournent autour de 40, 45 pour cent,
											parfois 50 pour cent au mieux.
											La Cour Suprême a beaucoup dégringolé
par rapport à ce qu'elle était.
											Mais quand vous demandez,
« Faites-vous confiance à votre conseiller municipal,
											faites-vous confiance à votre maire ? »,
											les scores grimpent à 70, 75,
voire 80 pour cent,
											parce qu'ils sont du coin,
											parce que les gens avec lesquels ils travaillent
sont leurs voisins,
											parce que, comme M. Booker,
le maire de Newark,
											il est possible qu'un maire, en allant à son travail, sorte de sa voiture,
											et aide à sortir les gens d'un immeuble en flamme,
											- c'est arrivé au maire Booker -
											ou qu'il intervienne
lors d'une agression dans la rue
											parce qu'il tombe dessus
en allant au travail.
											Aucun chef d'État ne serait jamais autorisé
											à faire ça
par sa sécurité,
											ni ne se retrouverait
dans une situation où le faire.
									",Why mayors should rule the world,Benjamin Barber,18:05,"cities,global issues,politics"
"
","
","
",Why mayors should rule the world,Benjamin Barber,18:05,"cities,global issues,politics"
"
											Esa es la diferencia, y la diferencia
											tiene que ver con el carácter 
de las ciudades en sí,
											porque las ciudades son 
profundamente multiculturales,
											abiertas, participativas, democráticas,
											capaces de trabajar en grupo.
									","
											That's the difference, and the difference
											has to do with the character of cities themselves,
											because cities are profoundly multicultural,
											open, participatory, democratic,
											able to work with one another.
									","
											C'est la différence,
et la différence est en rapport
											avec les caractéristiques
des villes elles-mêmes,
											parce que les villes
sont profondément multi-culturelles,
											ouvertes, participatives, démocratiques,
											capables de travailler les unes avec les autres.
									",Why mayors should rule the world,Benjamin Barber,18:05,"cities,global issues,politics"
"
","
","
",Why mayors should rule the world,Benjamin Barber,18:05,"cities,global issues,politics"
