es,tr,en,fr,de,pt,title,speaker,duration,tags
"
","
","
","
","
","
",Africa's cheetahs versus hippos,George Ayittey,17:50,"Africa,business,economics,entrepreneur,global issues,philanthropy,corruption,global development"
"
											Sabemos que algo está fundamentalmente equivocado.
											Ustedes lo saben, yo lo sé, pero no perdamos tiempo, nuestro tiempo,
											hablando de esos errores porque nos pasaremos todo el día aquí.
											Sigamos adelante, demos la vuelta al siguiente capítulo,
											y eso es de lo que se trata esta conferencia - el siguiente capítulo.
											El siguiente capítulo comienza primero, con preguntarnos
											esta pregunta fundamental,
											¿A quién queremos ayudar en África?
											Está el pueblo, y luego están los gobiernos o líderes.
											Ahora, el ponente anterior, el ponente anterior a mí,
											Idris Mohammed, indicó que
											tenemos un liderazgo abismal en África.
											Esa caracterización, en mi punto de vista, es más caritativa.
									","
											Bazı şeylerin temelde yanlış gittiğini biliyoruz.
											Siz, bunu biliyorsunuz; ben, bunu biliyorum, fakat bu hatalar hakkında konuşarak...
											...zamanı, bizim zamanımızı harcamayalım çünkü bütün gün buradayız.
											Devam edelim, ve bir sonraki bölüme geçelim, ...
											...bir sonraki bölüm bu konferansın ana konusu.
											Bir sonraki bölüm, öncelikle, kendimize bu önemli soruyu...
											...sorarak başlıyor;
											''Afrika'da kime yardım etmek istiyoruz?''
											İnsanlar var, ve daha sonra hükümet ya da liderler.
											Şimdi, benden önceki konuşmacı, benden bir önceki konuşmacı...
											...Idris Mohammed, Afrika'da berbat...
											...liderler olduğunu ifade etti.
											Bu niteleme, bence, oldukça sevecen.
									","
											We know that something has gone fundamentally wrong.
											You know it, I know it, but let's not waste our time
											talking about these mistakes because we'll spend all day here.
											Let's move on, and flip over to the next chapter,
											and that's what this conference is all about — the next chapter.
											The next chapter begins with first of all, asking ourselves
											this fundamental question,
											""Whom do we want to help in Africa?""
											There is the people, and then there is the government or leaders.
											Now, the previous speaker before me,
											Idris Mohammed, indicated that
											we've had abysmal leadership in Africa.
											That characterization, in my view, is even more charitable.
									","
											Nous savons que quelque chose a fondamentalement mal tourné
											Vous le savez, je le sais, mais ne perdons pas de temps, notre temps,
											à parler de ces erreurs, nous y passerions toute la journée.
											Avançons et passons au chapitre suivant.
											Et c'est le sujet précis de cette conférence, le chapitre suivant.
											Le chapitre suivant commence surtout par cette question
											fondamentale que nous devons nous poser
											""Qui voulons-nous aider en Afrique ?""
											Il y a le peuple, et il y a le gouvernement ou dirigeants.
											Maintenant, l'orateur avant moi, le précédent orateur,
											Idris Mohamed, a indiqué que
											nous avons eu des dirigeants consternants en Afrique.
											Cette façon de le dire est, selon moi, encore trop charitable.
									","
											Wir wissen, dass etwas ganz grundsätzlich falsch gelaufen ist.
											Sie wissen es, ich weiss es, aber wir sollten keine Zeit verlieren, unsere Zeit,
											über diese Fehler zu sprechen, denn wir würden den ganzen Tag damit verbringen.
											Lassen Sie uns weitergehen und umblättern in das nächste Kapitel
											und das ist es, worum es in dieser Konferenz geht - das nächste Kapitel.
											Das nächste Kapitel beginnt damit, dass wir uns zuallererst
											diese grundlegende Frage stellen:
											""Wem wollen wir in Afrika helfen?""
											Da ist das Volk und da ist die Regierung oder die Anführer.
											Der Redner, der vor mir hier auf der Bühne war,
											Idrim Mohammed, deutete darauf hin,
											dass wir hundsmiserable Führer in Afrika hatten.
											Diese Beschreibung ist meiner Ansicht nach sehr gnädig.
									","
											Sabemos que qualquer coisa
correu muito mal.
											Vocês sabem, eu sei,
mas não percamos tempo
											a falar destes erros, porque
passaríamos aqui todo o dia.
											Avancemos e passemos
para o próximo capítulo.
											Esta conferência é sobre isso
- o próximo capítulo.
											O próximo capítulo começa
por fazermos a nós mesmos
											esta pergunta fundamental:
											""A quem queremos ajudar em África?""
											Há o povo e há o governo ou os líderes.
											O orador antes de mim,
											Idris Mohammed, indicou
											que temos tido uma liderança
péssima em África.
											Na minha opinião, essa caracterização
ainda é demasiado caridosa.
									",Africa's cheetahs versus hippos,George Ayittey,17:50,"Africa,business,economics,entrepreneur,global issues,philanthropy,corruption,global development"
"
","
","
","
","
","
",Africa's cheetahs versus hippos,George Ayittey,17:50,"Africa,business,economics,entrepreneur,global issues,philanthropy,corruption,global development"
"
											(risas)
									","
											(Gülüşmeler)
									","
											(Laughter)
									","
											(Rires)
									","
											(Gelächter)
									","
											(Risos)
									",Africa's cheetahs versus hippos,George Ayittey,17:50,"Africa,business,economics,entrepreneur,global issues,philanthropy,corruption,global development"
"
","
","
","
","
","
",Africa's cheetahs versus hippos,George Ayittey,17:50,"Africa,business,economics,entrepreneur,global issues,philanthropy,corruption,global development"
"
											Pertenezco a un foro de discusión en Internet,
											un foro de discusión africano,
											y les pregunté, les dije, ""Desde 1960, hemos tenido exactamente
											204 jefes de gobierno africanos, desde 1960.""
											Y les pedí que nombraran sólo 20 buenos líderes,
											sólo 20 buenos líderes - quizá
											ustedes mismos quieran tomar este desafío de liderazgo.
											Les pedí nombrar sólo 20.
											Todos mencionaron a Nelson Mandela, desde luego.
											Kwame Nkrumah, Nyerere, Kenyatta - alguien mencionó a Idi Amin.
									","
											Bir İnternet tartışma forumuna, ...
											...bir Afrika İnternet tartışma forumuna üyeyim, ...
											ve onlara sordum, dedim ki ''1960'tan bu yana tam olarak...
											...204 Afrika devlet başkanı geldi, 1960'tan bu yana.''
											Ve onlardan bana sadece 20 tane iyi lider, ...
											sadece 20 tane iyi lider söylemelerini istedim — belki...
											...siz de, kendinizi bu liderlik hususunda sorgulamak istersiniz.
											Onlardan sadece 20 isim söylemelerini istedim.
											Tabii ki de herkes Nelson Mandela'yı söyledi.
											Kwame Nkrumah, Nyerere, Kenyatta, bazıları da Idi Amin dedi.
									","
											I belong to an Internet discussion forum,
											an African Internet discussion forum,
											and I asked them, I said, ""Since 1960, we've had exactly
											204 African heads of state, since 1960.""
											And I asked them to name me just 20 good leaders,
											just 20 good leaders —
											you may want to take this leadership challenge yourself.
											I asked them to name me just 20.
											Everybody mentioned Nelson Mandela, of course.
											Kwame Nkrumah, Nyerere, Kenyatta — somebody mentioned Idi Amin.
									","
											Je participe à un forum de discussion sur Internet,
											un forum de discussion africain,
											et je leur demandais, ""Depuis 1960, nous avons eu exactement
											204 chefs d'Etats Africain depuis 1960"".
											Et je leur ai demandé de me citer ne serait-ce que 20 bons dirigeants,
											juste 20 bons leaders — peut-être
											essaierez-vous de relever ce défi-là vous-même.
											Je leur ai demandé seulement 20 noms.
											Tout le monde a mentionné Nelson Mandela, bien sûr.
											Kwame Nkrumah, Nyerere, Kenyatta — quelqu'un a cité Idi Amin
									","
											Ich bin Mitglied in einem Internet-Diskussionsforum
											einem afrikanischen Internet-Diskussionsforum
											und ich fragte sie: ""Seit 1960 hatten wir genau
											204 afrikanische Staatschefs, seit 1960.""
											Und ich bat sie, mit 20 gute darunter zu benennen.
											Nur 20 gute — vielleicht
											möchten Sie diese Aufgabe selbst einmal lösen.
											Ich bat sie, mir nur 20 zu nennen.
											Alle nannten Nelson Mandela - natürlich.
											Kwame Nkrumah, Nyerere, Kenyatta - einer erwähnte Idi Amin.
									","
											Faço parte de um fórum
de discussão na Internet,
											um fórum de discussão africano,
											e disse-lhes:
											""Desde 1960, tivemos exatamente
204 chefes de estado africanos"".
											E pedi-lhes para nomearem
20 bons líderes
											- apenas 20 bons líderes.
											Se quiserem, podem responder
a esta pergunta.
											Pedi-lhes para nomearem
apenas 20.
											Obviamente, todos referiram
Nelson Mandela,
											Kwame Nkrumah, Nyerere, Kenyatta
- alguém referiu Idi Amin.
									",Africa's cheetahs versus hippos,George Ayittey,17:50,"Africa,business,economics,entrepreneur,global issues,philanthropy,corruption,global development"
"
","
","
","
","
","
",Africa's cheetahs versus hippos,George Ayittey,17:50,"Africa,business,economics,entrepreneur,global issues,philanthropy,corruption,global development"
"
											(risas)
									","
											(Gülüşmeler)
									","
											(Laughter)
									","
											(Rires)
									","
											(Gelächter)
									","
											(Risos)
									",Africa's cheetahs versus hippos,George Ayittey,17:50,"Africa,business,economics,entrepreneur,global issues,philanthropy,corruption,global development"
"
","
","
","
","
","
",Africa's cheetahs versus hippos,George Ayittey,17:50,"Africa,business,economics,entrepreneur,global issues,philanthropy,corruption,global development"
"
											Lo hice a un lado.
									","
											Bunun kusuruna bakmıyorum.
									","
											I let that pass.
									","
											J'ai laissé passer.
									","
											Ich habe ihn durchgehen lassen.
									","
											Vou deixar passar esse.
									",Africa's cheetahs versus hippos,George Ayittey,17:50,"Africa,business,economics,entrepreneur,global issues,philanthropy,corruption,global development"
"
","
","
","
","
","
",Africa's cheetahs versus hippos,George Ayittey,17:50,"Africa,business,economics,entrepreneur,global issues,philanthropy,corruption,global development"
"
											(risas)
									","
											(Gülüşmeler)
									","
											(Laughter)
									","
											(Rires)
									","
											(Gelächter)
									","
											(Risos)
									",Africa's cheetahs versus hippos,George Ayittey,17:50,"Africa,business,economics,entrepreneur,global issues,philanthropy,corruption,global development"
"
","
","
","
","
","
",Africa's cheetahs versus hippos,George Ayittey,17:50,"Africa,business,economics,entrepreneur,global issues,philanthropy,corruption,global development"
