en,tr,es,pt,title,speaker,duration,tags
"
											Sometimes, people would ask me,
											""Wait a minute,
if you don't like the attention,
											then why are you an actor?""
											And I'd be like,
											""Because that's not what acting's about,
man, it's about the art.""
											And they'd be like, ""OK, OK, dude.""
									","
											Bazen insanlar soruyor,
											''Ama ilgi görmeyi sevmiyorsan
											ne diye oyuncusun ki?''
											Ben de diyorum ki
											''Çünkü oyunculuğun amacı bu değil,
burada konu sanat.''
											Onlar da ''Haa, anladım.'' diyorlar.
									","
											A veces, me preguntaban,
											""Espera un momento,
si no te gusta llamar la atención,
											¿por qué eres actor?"".
											Y yo decía,
											""Porque no tiene que ver con eso
la interpretación, sino con el arte"".
											Y me respondían, ""Entiendo, hombre"".
									","
											Às vezes, as pessoas perguntam-me:
											""Espera aí, se não gostas de atenção,
											""porque é que és um ator?""
											E eu respondo:
											""Porque a representação
não é sobre isso, meu, é sobre a arte.""
											E eles ficam, tipo: ""Ok,ok, mano.""
									",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
","
","
","
",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
											(Laughter)
									","
											(Gülme sesleri)
									","
											(Risas)
									","
											(Risos)
									",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
","
","
","
",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
											And then Twitter came out.
											And I got totally hooked on it,
just like everybody else,
											which made me into a complete hypocrite.
											Because at that point,
											I was absolutely using my acting
to get attention.
											I mean, what, did I think
I was just getting all these followers
											because of my brilliant tweets?
											I actually did think that — I was like —
									","
											Sonra Twitter ortaya çıktı.
											Ben de buna bağlandım, diğer herkes gibi.
											Bu da beni tam bir ikiyüzlüye çevirdi.
											Çünkü tam o noktada,
											Dikkat çekmek için
oyunculuğumu kullanıyordum.
											Ne yani? Kıvrak zekâlı
tweet'lerim sayesinde mi
											bu kadar takipçim vardı?
											Aslında bunu düşündüm ve dedim ki —
									","
											Y entonces llegó Twitter.
											Estaba enganchado a ello,
como todo el mundo,
											lo que me hizo un gran hipócrita.
											Porque en ese momento,
											usaba mi actuación para que 
me prestaran atención.
											Es decir, ¿pensaba que conseguía
todos estos seguidores
											por mis fantásticos tuits?
											Así fue como pensaba, decía,
									","
											E então, apareceu o Twitter.
											E fiquei completamente viciado nele,
como toda a gente,
											fazendo de mim um completo hipócrita.
											Porque, neste ponto,
											eu estava a usar a representação
para receber atenção.
											Quero dizer, pensava eu
que estava a ter todos aqueles seguidores
											por causa dos meus tuítes brilhantes?
											Eu pensei mesmo que... fiquei, tipo...
									",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
","
","
","
",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
											(Laughter)
									","
											(Gülme)
									","
											(Risas)
									","
											(Risos)
									",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
","
","
","
",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
											""They don't just like me
because they saw me in 'Batman,'
											they like what I have to say,
I've got a way with words.""
									","
											''Sadece 'Batman'de
beni gördükleri için beni sevmiyorlar,
											söyleyeceklerimle de ilgililer,
ağzım iyi laf yapıyor.''
									","
											""No solo les gusto porque
me vieron en 'Batman,'
											les gusta lo que tengo que decir,
se me dan bien las palabras"".
									","
											""Eles não gostam de mim
só por me terem visto no 'Batman',
											""eles gostam de mim por aquilo que digo,
tenho jeito para escrever.""
									",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
","
","
","
",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
											(Laughter)
									","
											(Gülme sesleri)
									","
											(Risas)
									","
											(Risos)
									",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
","
","
","
",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
											And then in no time at all,
											it started having an impact
on my dearly beloved creative process.
											It still does.
											I try not to let it.
											But you know, I'd be sitting there,
like, reading a script.
											And instead of thinking,
											""How can I personally identify
with this character?""
											Or ""How is the audience
going to relate to this story?""
											I'm like, ""What are people going to say
about this movie on Twitter?""
											And ""What will I say back
											that will be good and snarky enough
to get a lot of retweets,
											but not too harsh,
											because people love to get offended,
and I don't want to get canceled?""
											These are the thoughts that enter my mind
											when I'm supposed to be reading a script,
trying to be an artist.
									","
											Sonra kısa zaman içinde
											bu iş benim çok sevdiğim yaratıcılık
sürecim üzerine etki etmeye başladı.
											Hâlâ da ediyor.
											Buna izin vermemeye çalışıyorum.
											Ama orada oturmuş,
bir senaryo okuyorum diyelim,
											Şu şekilde düşünmem gerekirken
											''Bu karakterle kendimi
nasıl özdeşleştirebilirim?''
											veya ""İzleyiciler bu hikâyeyle
nasıl bir ortak yan bulabilir?""
											Şöyle düşünüyorum; ""Twitter'da
insanlar bu film için ne diyecek?""
											Ve ""Daha fazla retweet almak için
											yeterince iyi ve kinayeli
ne cevap verebilirim?
											Ama çok sert değil,
											çünkü o zaman insanlar gücenir
ve oyun dışı olmak istemiyorum.''
											İşte bir senaryo okurken,
											oyuncu olmaya çalışırken
aklıma gelen düşünceler bunlar.
									","
											En muy poco tiempo,
											empezó a impactar
mi amado proceso creativo.
											Todavía es así.
											Intento evitarlo.
											Pero estaba sentado, leyendo un guion.
											Y en vez de pensar,
											""¿Cómo me puedo identificar
con este personaje?"",
											o ""Cómo se identificará
el público con esta historia?"",
											digo, ""Qué va a decir la gente
en Twitter sobre esta película?"".
											Y ""¿Cómo les respondería de manera que
se reenviara muchas veces,
											algo no muy polémico,
											porque la gente ama ofenderse,
y no quiero que me despidan?"".
											Eso es lo que estoy pensando
											cuando debería estar leyendo
un guion, intentando ser artista.
									","
											E depois, num instante,
											isso começou a ter impacto
no meu adorado processo criativo.
											Ainda tem.
											Tento não permitir isso.
											Mas, sabem, eu sentar-me-ia ali,
a ler um guião.
											E em vez de pensar:
											""Como é que eu me identifico
com esta personagem?
											Ou: ""Como é que o público
se vai relacionar com esta história?""
											Penso: ""O que é que as pessoas vão dizer
deste filme no Twitter?""
											E: ""O que é que eu vou responder
que seja bom e sarcástico
											""para conseguir muitos retuítes,
mas não muito ríspido,
											""porque as pessoas adoram
sentir-se ofendidas,
											""e eu não quero que me cancelem?""
											Esses são os pensamentos na minha mente
											quando eu devia estar a ler um guião,
a tentar ser um artista.
									",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
","
","
","
",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
											And I'm not here to tell you
											that technology
is the enemy of creativity.
											I don't think that.
											I think tech is just a tool.
											It has the potential to foster
unprecedented human creativity.
											Like, I even started
an online community called HITRECORD,
											where people all over the world
											collaborate on all kinds
of creative projects,
											so I don't think that social media
or smartphones or any technology
											is problematic in and of itself.
											But ...
											if we're going to talk
about the perils of creativity
											becoming a means to get attention,
											then we have to talk about
the attention-driven business model
											of today's big social media
companies, right?
									","
											Buraya gelme amacım,
											teknoloji yaratıcılığın
düşmanıdır demek değil.
											Öyle düşünmüyorum.
											Teknoloji sadece bir araç.
											Beklenmedik insan yaratıcılığını
koruma potansiyeli var.
											Hatta ben HITRECORD adında
çevrim içi bir topluluk kurdum,
											dünyanın her yanından insanlar
											her tür yaratıcı proje üzerinde
iş birliği yapıyorlar,
											yani sosyal medyanın, akıllı telefonların
veya hiçbir teknolojinin
											tek başına sorun olduğunu düşünmüyorum.
											Ancak...
											yaratıcılığın önündeki tehlikelerin
											dikkat çekmek için araç olduğu
hakkında konuşacaksak
											o zaman bugünün
sosyal medya şirketlerinin
											dikkate dayalı iş modeli
hakkında konuşmamız gerek.
									","
											No estoy aquí para decirles
											que la tecnología es el enemigo
de la creatividad.
											No pienso eso.
											Considero a la tecnología una herramienta.
											Tiene el potencial de fomentar
la creatividad humana sin precedentes.
											Incluso establecí una comunidad en línea
que se llama HITRECORD,
											en que gente de todo el mundo
											colabora en todo tipo
de proyectos creativos,
											así que no creo que las redes sociales,
ni los móviles ni ninguna tecnología
											sea problemática por sí misma.
											Pero...
											si hablamos del peligro
de que la creatividad
											se convierta en una forma
de llamar la atención,
											debemos hablar del modelo de negocio
impulsado por la atención
											de las grandes empresas
de redes sociales, ¿no?
									","
											Não estou aqui para vos dizer
											que a tecnologia
é inimiga da criatividade.
											Eu não penso isso.
											Eu penso que a tecnologia
é apenas uma ferramenta.
											Tem o potencial de alimentar
a criatividade humana sem precedentes.
											Comecei até uma comunidade ""online""
chamada HITRECORD,
											onde pessoas de todo o mundo
											colaboram em todo o tipo
de projetos criativos.
											Por isso, não penso que as redes sociais
ou os ""smartphones"" ou qualquer tecnologia
											sejam problemáticos em si mesmos,
ou por si mesmos.
											Mas...
											se vamos falar
sobre os perigos de a criatividade
											se tornar um meio de receber atenção,
											então temos de falar sobre o modelo
de negócios de captação de atenção
											das grandes empresas
das redes sociais, certo?
									",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
","
","
","
",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
											(Applause)
									","
											(Alkışlar)
									","
											(Aplausos)
									","
											(Aplausos)
									",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
"
","
","
","
",How craving attention makes you less creative,Joseph Gordon-Levitt,13:15,"creativity,collaboration,social media,culture,art,community"
