es,fr,de,tr,title,speaker,duration,tags
"
											XL: En efecto. Es mucho 
más difícil que, digamos,
											encontrar una aguja en un pajar,
											porque por lo menos, saben, 
la aguja sigue siendo algo
											físico en el que pueden 
poner sus dedos.
											Pero la memoria no lo es.
											Y además, hay más 
células en el cerebro
											que el número de pajas 
en un pajar típico.
											Así que sí, esta tarea 
parece ser desalentadora.
											Pero afortunadamente, tenemos 
ayuda del cerebro mismo.
											Resulta que todo lo que 
necesitamos hacer es básicamente
											dejar que el cerebro 
haga un recuerdo,
											y entonces el cerebro nos dirá 
cuáles células están involucradas
											en ese recuerdo en particular.
									","
											XL : En effet.
C'est drôlement plus difficile que, par exemple,
											trouver une aiguille dans une botte de foin,
											parce que vous voyez,
l'aiguille est au moins quelque chose
											que vous pouvez saisir physiquement.
											Mais la mémoire, non.
											Et aussi, il y a beaucoup plus de cellules
dans votre cerveau
											que de brins de paille
dans une botte de foin ordinaire.
											Alors oui,
cette tâche a l'air intimidante.
											Mais, heureusement,
nous avons obtenu l'aide du cerveau lui-même.
											Il s'est avéré
que tout ce que nous devons faire,
											c'est de laisser le cerveau
former un souvenir,
											puis le cerveau nous dira
lesquelles de ses cellules sont impliquées
											dans ce souvenir particulier.
									","
											XL: Richtig. Es ist sogar viel schwieriger,
											als beispielsweise
eine Nadel im Heuhaufen zu finden,
											denn bekanntlich ist eine Nadel wenigstens etwas,
											das man real anfassen kann.
											Die Erinnerung hingegen 
kann man nicht anfassen.
											Außerdem gibt es viel 
mehr Zellen in einem Gehirn
											als Strohhalme in einem 
typischen Heuhaufen.
											Die Aufgabe ist also ein wenig einschüchternd.
											Zum Glück hilft uns aber
das Gehirn selbst dabei.
											Es zeigte sich, dass wir das Gehirn 
nur dazu bringen müssen,
											eine Erinnerung zu erschaffen.
											Danach zeigt es uns selber, welche Zellen
											an genau dieser Erinnerung beteiligt sind.
									","
											XL : Gerçekten bu, örneğin
											samanlıkta iğne aramaktan çok daha zor,
											çünkü bildiğiniz gibi,
iğne en azından fiziksel olarak
											elle tutulabilecek bir şeydir,
											ancak hafıza öyle değil.
											Ayrıca beynimizdeki hücrelerin sayısı,
											ortalama bir samanlıktaki
samanların sayısını açık ara alt eder.
											Yani evet, bu iş
gerçekten de zorlu gözüküyor.
											Yine de şanslıyız ki beynin
kendisinden yardım alabiliriz.
											Aslında en basitinden
yapmamız gereken tek şey,
											beynin anı oluşturmasına müsaade etmek,
											çünkü devamında beyin,
bize o anı için hangi hücrelerin
											etkin olduğunu söyleyecektir.
									",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
","
","
","
",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
											SR: ¿Qué estaba 
pasando en mi cerebro
											mientras estaba recordando a mi ex?
											Si ignoraran completamente 
la ética humana por un segundo
											y cortaran mi cerebro 
en este momento,
											verían que hubo 
un número asombroso
											de regiones del cerebro que se activaron 
al mismo tiempo, trayendo ese recuerdo.
											Una región cerebral que 
estaría sólidamente activa
											en particular se llama el hipocampo,
											que durante décadas 
se ha implicado en el proceso
											de la clase de recuerdos 
que nos son cercanos y queridos,
											que también lo hace 
un destino ideal para ir
											y tratar de encontrar, y 
tal vez reactivar, un recuerdo.
									","
											SR : Donc, qu'est-ce qui se passait
dans mon cerveau
											lorsque je me rappelais de mon ex ?
											Si on pouvait faire complètement abstraction
de la morale humaine pendant un instant,
											et découper mon cerveau en tranches
sur le champ,
											on verrait qu'il y avait un très grand nombre
											de régions de mon cerveau qui étaient actives
lorsque je me rappelais de ce souvenir.
											Un région de mon cerveau
qui serait particulièrement active
											est appelée l'hippocampe.
											Depuis des décennies,
											il traite les types de souvenirs
qui me tiennent à cœur,
											ce qui en fait aussi la cible idéale
à explorer,
											pour essayer de trouver
et, peut-être, réactiver un souvenir.
									","
											SR: Was passierte also in meinem Gehirn,
											während ich mich an meine Ex erinnerte?
											Wenn man die menschliche Moral 
mal kurz ignorieren
											und mein Gehirn in Scheiben schneiden würde,
											könnte man sehen, dass eine unglaubliche Zahl
											von Hirnregionen aktiv war, 
während ich diese Erinnerung abrief.
											Eine Hirnregion wäre dabei besonders aktiv:
											Der Hippocampus, von dem man 
seit Jahrzehnten annahm,
											dass er die Erinnerungen an das, 
was uns lieb und teuer ist,
											verarbeitet. und dadurch
											ist er ein idealer Ort, um nach 
einer Erinnerung zu suchen,
											die vielleicht reaktiviert werden könnte.
									","
											SR: Peki ben eski sevgilimle
ilgili anıları hatırlarken
											beynimde neler dönüyordu?
											Etik ilkelerini bir an için kenara koyup
											beynimi şu anda didikleyecek olsaydınız,
											ben o anı anımsarken,
beynimin muazzam derecede
											büyük bir bölümünün
aktif olduğunu görürdünüz.
											Özellikle yoğun bir şekilde
aktif olan beyin bölgesine
											hipokampus adı veriyoruz,
											dibimizden ayırmadığımız, bizim
için önem teşkil eden anılarımızı
											uzun yıllar boyunca işler kılan bölgedir,
											ki bu özelliği de bu bölgeyi,
bir anıyı tekrar
											etkinleştirebilmek için deneyip
göreceğimiz ideal bir alan yapar.
									",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
","
","
","
",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
											XL: Cuando uno se acerca al hipocampo,
											por supuesto, verán 
un montón de células,
											pero somos capaces de encontrar 
las células que están involucradas
											en un recuerdo en particular,
											porque cuando una célula está activa,
											como cuando se está 
formando un recuerdo,
											también dejará una huella que 
posteriormente nos permitirá conocer
											que estas células están 
recientemente activadas.
									","
											XL : Lorsqu'on zoome
dans l'hippocampe,
											on voit beaucoup de cellules, bien sûr,
											mais nous savons trouver
lesquelles sont impliquées
											dans un souvenir particulier,
											parce que chaque fois
qu'une cellule est active,
											comme lorsqu'un souvenir se forme,
											elle laisse également une trace
qui nous permettra plus tard de savoir
											qu'elle a été active récemment.
									","
											XL: Wenn man in den Hippocampus hineinschaut,
											sieht man natürlich eine Menge Zellen,
											doch wir können auch sehen, welche Zellen
											an einer bestimmten Erinnerung beteiligt sind.
											Wenn eine Zelle nämlich aktiv ist,
											etwa, wenn sie eine Erinnerung erzeugt,
											hinterlässt sie einen Abdruck, 
der uns später zeigt,
											dass sie kürzlich aktiv war.
									","
											XL: Hipokampusun içine
daha yakından baktığımızda,
											elbette çok fazla hücre göreceğiz,
											ancak belirli bir anıya hangi hücrelerin
											dahil olduğunu bulabiliriz,
											çünkü bir hücre her aktif olduğunda,
											mesela bir anı oluştururken,
											daha sonra o hücrelerin aktif olduğunu
											bize gösterebilecek ayak izleri bırakır.
									",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
","
","
","
",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
											SR: De la misma manera 
que las luces de este edificio
											nos permiten saber que alguien está 
trabajando allí en un momento dado,
											en un sentido muy real, 
hay sensores biológicos
											dentro de una célula 
que se encienden
											solo cuando la célula 
estuvo trabajando.
											Son una clase de ventanas 
biológicas que se iluminan
											para dejarnos saber que 
esa célula estuvo activa.
									","
											SR : De la même façon
que les lumières des immeubles, la nuit,
											nous permettent de savoir que quelqu'un
est probablement en train d'y travailler,
											il y a réellement
des capteurs biologiques
											au sein des cellules
qui ne s'allument
											que quand cette cellule
vient juste de travailler.
											Ce sont des sortes de fenêtres biologiques
qui s'illuminent
											pour nous faire savoir
que cette cellule vient d'être active.
									","
											SR: Es ist wie ein Gebäude, 
dessen Lichter in der Nacht zeigen,
											dass dort zu einem bestimmten Zeitpunkt wahrscheinlich jemand arbeitet.
											Genauso gibt es biologische Sensoren 
in einer Zelle,
											die nur dann eingeschaltet sind,
											wenn diese Zelle gerade gearbeitet hat.
											Diese biologischen 
""erleuchteten Fenster"" zeigen also,
											dass eine Zelle soeben aktiv war.
									","
											SR: Gece vakti binada yanan ışıkların,
											birisinin o anda muhtemelen orada
çalıştığını gösterdiği mantığındaki gibi,
											kelimenin tam anlamıyla hücre
içerisinde, yalnızca hücrenin
											aktif olduğunu zamanlarda çalışan
											biyolojik sensörler vardır.
											Bunlar, aktif olan hücreyi
göstermek için var olan
											bir tür yanan biyolojik pencerelerdir.
									",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
","
","
","
",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
											XL: Así que recortamos 
parte de este sensor,
											y lo conectamos a un interruptor 
para el control de las células,
											y empacamos este interruptor 
en un virus modificado
											que se inyecta en 
el cerebro de los ratones.
											Así que cuando se está 
formando un recuerdo,
											cualquier célula activa 
por ese recuerdo
											también tendrá este 
interruptor instalado.
									","
											XL : Nous avons donc découpé
une partie de ce capteur,
											nous l'avons attachée à un interrupteur
pour contrôler les cellules,
											et nous avons introduit cet interrupteur
dans un virus génétiquement modifié
											que nous avons injecté
dans le cerveau des souris.
											Ainsi, chaque fois que se forme un souvenir,
											les cellules activées par ce souvenir
											se verront installer l'interrupteur.
									","
											XL: Wir trennten nun einen Teil dieses Sensors ab
											und befestigten ihn an einem Schalter, 
der die Zellen kontrolliert
											und packten den Schalter dann 
in einen modifizierten Virus
											und spritzten diesen ins Gehirn der Mäuse.
											Wenn nun eine Erinnerung gebildet wird,
											werden alle aktiven Zellen dieser Erinnerung
											auch mit diesem Schalter ausgestattet sein.
									","
											XL: Bu sensörün bir kısmını kırptık
											ve hücreleri kontrol eden
bir anahtara bağladık
											ve bu anahtarı yapay
bir virüsün içine koyduk
											ve farenin beynine enjekte ettik.
											Böylece ne zaman bir anı oluşturulsa,
											o anı için aktif olan her bir hücre
											aynı zamanda bu anahtarı da kurmuş oldu.
									",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
","
","
","
",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
											SR: Aquí está cómo 
se ve el hipocampo
											después de formar un recuerdo 
de miedo, por ejemplo.
											El mar azul que ven aquí
											está densamente poblado de neuronas,
											pero las neuronas en verde,
											las neuronas verdes, son las 
únicas que están teniendo
											un recuerdo de temor.
											Así que están mirando la cristalización
											de la formación efímera del miedo.
											Están realmente viendo en la 
sección transversal de un recuerdo.
									","
											SR : Voici ce à quoi ressemble l'hippocampe
											après avoir formé un souvenir de peur,
par exemple.
											L'océan de bleu que vous voyez ici
											sont des cellules cérébrales très compactées,
											mais les cellules vertes
											sont celles qui retiennent
											un souvenir spécifique de peur.
											Ce que vous regardez,
c'est la cristallisation
											de la formation fugace de la peur.
											Vous voyez là, réellement,
une tranche de souvenir.
									","
											SR: So sieht der Hippocampus 
also beispielsweise aus,
											nachdem sich eine Erinnerung 
an Angst gebildet hat.
											Dieses blaue Meer hier
											sind dichtgepackte Hirnzellen,
											aber die grünen Hirnzellen,
											die grünen Zellen sind jene, 
die eine spezielle Erinnerung
											an Angst in sich tragen.
											Wir sehen also hier, 
wie die flüchtige Struktur der Angst
											kristallisiert wurde.
											Dieses Bild ist nämlich 
der Querschnitt einer Erinnerung.
									","
											SR: Mesela korku anısı
oluşturduktan sonra,
											hipokampus şu şekilde gözüküyor.
											Burada gördüğünüz mavi deniz,
											yoğun olarak konuşlanmış beyin hücreleri,
											ancak yeşil beyin hücreleri,
											yeşil beyin hücreleri,
belirli korku anısına bağlanan
											asıl hücrelerdir.
											Şu anda, korkunun anlık oluşumunun
											kristalleşmesine şahit oluyorsunuz.
											Aslında, anının yalnızca
bir kesitine bakıyorsunuz.
									",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
","
","
","
",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
											XL: Ahora, para el cambio del 
que hemos estado hablando,
											idealmente, el interruptor 
tiene que actuar muy rápido.
											No debería tardar minutos 
u horas en trabajar.
											Debería actuar a la velocidad 
del cerebro, en milisegundos.
									","
											XL : En ce qui concerne
l'interrupteur dont nous avons parlé,
											idéalement, il doit agir très vite.
											Il ne faut pas que cela prenne
des minutes ou des heures pour faire effet.
											Il faut qu'il agisse à la vitesse du cerveau,
en quelques millisecondes.
									","
											XL: Nun zum Schalter, den wir erwähnt haben:
											Dieser Schalter sollte sehr schnell reagieren
											und nicht Minuten oder 
gar Stunden dafür brauchen.
											Er sollte so schnell sein wie das Gehirn 
und in Millisekunden funktionieren.
									","
											XL: Şimdi konuştuğumuz
anahtara dönecek olursak,
											tercihen, anahtarın çok hızlı
hareket etmesi gerekiyor.
											İşleyişi saatler veya dakikalar almamalı.
											Beynin hızında hareket etmeli,
yani milisaniye hızında.
									",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
","
","
","
",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
											SR: ¿Qué crees, Xu?
											¿Podríamos usar, digamos, 
medicamentos farmacológicos
											para activar o desactivar 
las células cerebrales?
									","
											SR : Donc qu'est-ce que t'en penses, Xu ?
											Est-ce qu'on peut utiliser, disons,
des médicaments
											pour activer ou désactiver
les cellules du cerveau ?
									","
											SR: Was meinst du, Xu?
											Könnten wir zum Beispiel 
ein Medikament verwenden,
											das die Hirnzellen aktiviert oder deaktiviert?
									","
											SR: Ne düşünüyorsun Xu?
											Beyin hücrelerini etkinleştirmek
ya da etkisizleştirmek için
											farmakolojik ilaç kullanabilir miyiz?
									",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
","
","
","
",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
											XL: No. Las drogas son desordenadas. 
Se esparcen por todas partes.
											Y duran eternidades 
en actuar en las células.
											Así que no nos permitirán controlar 
un recuerdo en tiempo real.
											Así que Steve, ¿qué tal si asaltamos 
el cerebro con la electricidad?
									","
											XL : Nan. Les médicaments sont trop peu précis.
Ils se répandent partout.
											Et en plus, ça leur prend un temps infini
pour agir sur les cellules.
											Ça ne nous permettrait pas
de contrôler la mémoire en temps réel.
											Alors Steve, qu'est-ce que tu dirais
de flasher le cerveau avec de l'électricité ?
									","
											XL: Nee. Medikamente sind zu chaotisch. 
Sie verteilen sich überall.
											Außerdem dauert es ewig, 
bis die Zellen darauf reagieren.
											Damit könnten wir die Erinnerungen 
nicht in Echtzeit kontrollieren.
											Was meinst du, Steve, vielleicht würde es 
mit Stromschlägen funktionieren?
									","
											XL : Meh. İlaçlar oldukça
karışıktırlar, her yere yayılırlar
											ve hücrelere etki etmeleri yüzyılı alır.
											Bu da, eş zamanlı hücre kontrolü
yapmamıza izin vermez.
											Peki o zaman Steve,
beyne elektrik vermeye ne dersin?
									",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
","
","
","
",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
											SR: La electricidad es muy rápida,
											pero probablemente no 
seríamos capaces de atacar
											solo las células específicas 
que se aferran a un recuerdo,
											y probablemente 
freiríamos el cerebro.
									","
											SR : L'électricité est assez rapide,
											mais on ne serait
probablement pas en mesure
											de cibler uniquement
les cellules spécifiques d'un souvenir,
											et on grillerait probablement le cerveau.
									","
											SR: Strom wäre vielleicht schnell genug,
											aber es wäre schwierig, damit 
genau die Zellen zu treffen,
											die eine Erinnerung festhalten
											und wahrscheinlich würde 
das Gehirn dabei verbrutzeln.
									","
											SR: Elektrik oldukça hızlıdır,
											ancak elektriği, yalnızca anıya tutunan
											hücrelere büyük ihtimalle gönderemeyiz
											ve beyni kızartabiliriz.
									",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
","
","
","
",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
