fr,en,de,es,pt,title,speaker,duration,tags
"
","
","
","
","
",The shrimp with a kick!,Sheila Patek,16:25,"biology,biomechanics,oceans,online video,science,technology"
"
											Et la première question qui m'est venue à l'esprit fut,
											et bien, à quelle vitesse ce membre bouge-t-il?
											Parce qu'il se déplace franchement vite dans cette vidéo.
											Et je me suis immédiatement heurté à un problème.
											Aucune camera à haute vitesse dans le département de biologie
											à Berkeley n'était assez rapide pour capturer ce mouvement.
											Nous ne pouvions simplement pas le capturer sur une vidéo.
											Et cela m'a coincé pendant un bon moment.
											Puis, une équipe de la BBC est venue faire une un tour dans le département de biologie,
											ils cherchaient une histoire sur les nouvelles technologies dans la biologie.
											Et donc nous conclu un accord.
											J'ai dit,""Et bien, si vous nous louez votre caméra à haute vitesse
											qui pourrait capturer ces mouvements,
											vous pourrez nous filmer en train de collecter les données.""
											Et croyez-le ou non, ils étaient d'accord.
											Donc, nous avons eu cet incroyable système vidéo. C'est une technologie très récente —
											c'est sorti l'année dernière —
											cela vous permet de filmer à des vitesses extrêmement élevées avec une faible luminosité.
											Et la luminosité faible est un problème majeur lorsqu'on filme des animaux,
											parce que si elle est trop élevée, vous les brûlez.
									","
											And so the first question that came to mind was,
											well, how fast does this limb move?
											Because it's moving pretty darn fast on that video.
											And I immediately came upon a problem.
											Every single high-speed video system in the biology department
											at Berkeley wasn't fast enough to catch this movement.
											We simply couldn't capture it on video.
											And so this had me stymied for quite a long period of time.
											And then a BBC crew came cruising through the biology department,
											looking for a story to do about new technologies in biology.
											And so we struck up a deal.
											I said, ""Well, if you guys rent the high-speed video system
											that could capture these movements,
											you guys can film us collecting the data.""
											And believe it or not, they went for it. (Laughter)
											So we got this incredible video system. It's very new technology —
											it just came out about a year ago —
											that allows you to film at extremely high speeds in low light.
											And low light is a critical issue with filming animals,
											because if it's too high, you fry them. (Laughter)
									","
											Nun war die erste Frage die mir in den Sinn kam,
											na ja, wie schnell bewegt sich sein Schenkel?
											Denn in dem Film bewegt er sich ziemlich verflixt schnell.
											Und ich stieß sofort auf ein Problem.
											Keine Hochgeschwindigkeitskamera des Fachbereichs Biologie
											in Berkley war schnell genug, diese Bewegung einzufangen.
											Wir konnten es schlicht nicht auf Film festhalten.
											Deswegen hat mich das recht lang aufgehalten.
											Nun, eines Tages kam eine BBC Reportergruppe durch die Biologische Fakultät spaziert
											und schaute sich nach einer Geschichte über neue Technologien in der Biologie um.
											Also haben wir eine Vereinbarung getroffen.
											Ich sagte: ""Nun, wenn ihr mir eine Hochgeschwindigkeitskamera leiht,
											die diese Bewegungen erfassen kann,
											dann dürft ihr uns beim Datensammeln filmen.""
											Und ob Sie es glauben oder nicht, sie ließen sich darauf ein.
											So erhielten wir jene sagenhafte Hochgeschwindighkeitskamera. Dies ist eine sehr neue Technologie -
											sie ist erst seit etwa einem Jahr auf dem Markt erhältlich -
											und erlaubt es, extrem hohe Geschwindigkeiten bei geringer Helligkeit zu filmen.
											Geringe Helligkeit ist ein kritisches Thema bei Dreharbeiten mit Tieren,
											denn falls das Licht zu stark ist, brät man sie.
									","
											Y entonces la primera pregunta que me surgió
											bien, ¿cuán rápido se mueve esta garra?
											Porque se mueve bastante rápido en ese video.
											E inmediatamente encontré un problema.
											Ningún sistema de video de alta velocidad del departamento de biología
											de Berkeley era suficientemente veloz para capturar este movimiento.
											Simplemente no podíamos capturarlo en video.
											Esto me desconcertó durante mucho tiempo.
											Y luego vino un equipo de la BBC al departamento de biología
											en busca de alguna historia en nuevas tecnologías de biología.
											Y entonces hicimos un acuerdo.
											Les dije: ""Bien, muchachos, si alquilan el sistema de video de alta velocidad
											que pueda capturar estos movimientos
											pueden filmarnos recolectando los datos"".
											Y créase o no, lo hicieron.
											Fue así que accedimos al sistema de video. Tecnología de punta —
											había salido hacía cerca de un año —
											que permite filmar a velocidades altísimas con poca luz.
											Y poca luz es algo crítico al filmar animales
											porque si es muy alta quedan fritos.
									","
											A primeira pergunta em que pensei foi:
											""Com que rapidez se move este membro?""
											porque move-se muito depressa
naquele vídeo.
											Imediatamente, deparei-me
com um problema.
											Nenhum sistema de vídeo
de alta velocidade
											no departamento de biologia de Berkeley
											era suficientemente rápido
para captar este movimento.
											Não conseguíamos captá-lo em vídeo.
											Isso impediu-me de continuar
durante muito tempo
											Então, apareceu uma equipa da BBC
no departamento de biologia
											à procura de uma história sobre
as novas tecnologias em biologia.

											Assim, fizemos um acordo. Eu disse:
											""Se nos alugarem um sistema de vídeo
de alta velocidade
											""que possa captar estes movimentos
											""podem filmar-nos a recolher os dados"".
											E, acreditem, eles aceitaram.
(Risos)
											Ficámos com este sistema de vídeo
fantástico, é alta tecnologia
											— chegou há cerca de um ano —
											e permite-nos filmar
a alta velocidade com pouca luz.
											Pouca luz é fundamental
para filmar animais
											porque, se for muito forte, ficam fritos.
											(Risos)
									",The shrimp with a kick!,Sheila Patek,16:25,"biology,biomechanics,oceans,online video,science,technology"
"
","
","
","
","
",The shrimp with a kick!,Sheila Patek,16:25,"biology,biomechanics,oceans,online video,science,technology"
"
											Ceci est une crevette-mante. Il y a les yeux en haut là,
											et il y a cet appendice raptorial, et il y a le talon.
											Et cette chose va tourner et frapper l'escargot.
											Et l'escargot est attaché à un bâtonnet,
											ainsi, placer le coup est plus facile. Et — ouai.
									","
											So this is a mantis shrimp. There are the eyes up here,
											and there's that raptorial appendage, and there's the heel.
											And that thing's going to swing around and smash the snail.
											And the snail's wired to a stick,
											so he's a little bit easier to set up the shot. And — yeah.
									","
											Dies ist ein Fangschreckenkrebs. Hier oben sind die Augen,
											und hier ist der Fangarm, und hier ist die Ferse.
											Und dieses Ding wird herumschwingen und die Schnecke zerschlagen.
											Die Schnecke ist an einen Stock gebunden,
											damit es etwas einfacher ist, den Schlagvorgang einzurichten. Und — ja.
									","
											Así, esto es un camarón mantis. Esos son los ojos
											hay un apéndice predador y el talón.
											Esa cosa va a contonearse y pegarle al caracol.
											El caracol está sujeto a un palo
											por eso es más fácil montar el golpe. Y — sí
									","
											Este é o estomatópode.
Tem os olhos aqui em cima.
											Tem o apêndice predador
e aqui é o calcanhar.
											Isto vai virar-se e esmagar o caracol.
											O caracol está atado a um pauzinho,
											assim, é mais fácil desferir o golpe.
									",The shrimp with a kick!,Sheila Patek,16:25,"biology,biomechanics,oceans,online video,science,technology"
"
","
","
","
","
",The shrimp with a kick!,Sheila Patek,16:25,"biology,biomechanics,oceans,online video,science,technology"
"
											(Rires)
									","
											(Laughter)
									","
											(Gelächter)
									","
											(Risas)
									","
											(Risos)
									",The shrimp with a kick!,Sheila Patek,16:25,"biology,biomechanics,oceans,online video,science,technology"
"
","
","
","
","
",The shrimp with a kick!,Sheila Patek,16:25,"biology,biomechanics,oceans,online video,science,technology"
"
											J'espère qu'il n'y a pas de défenseurs des droits de l'escargot dans la salle.
									","
											I hope there aren't any snail rights activists around here.
									","
											Ich hoffe, es sind keine Schneckenaktivisten anwesend.
									","
											Espero que no haya aquí activistas por los derechos del caracol.
									","
											Espero que não haja aqui ativistas
de defesa dos direitos dos caracóis
									",The shrimp with a kick!,Sheila Patek,16:25,"biology,biomechanics,oceans,online video,science,technology"
"
","
","
","
","
",The shrimp with a kick!,Sheila Patek,16:25,"biology,biomechanics,oceans,online video,science,technology"
"
											(Rires)
									","
											(Laughter)
									","
											(Gelächter)
									","
											(Risas)
									","
											(Risos)
									",The shrimp with a kick!,Sheila Patek,16:25,"biology,biomechanics,oceans,online video,science,technology"
"
","
","
","
","
",The shrimp with a kick!,Sheila Patek,16:25,"biology,biomechanics,oceans,online video,science,technology"
"
											Alors ceci a été filmé à 5000 images par seconde,
											et je la lis à 15. Et c'est donc ralenti 333 fois.
											Et comme vous pouvez le voir, c'est encore bigrement rapide
											en étant ralenti 333 fois. C'est un mouvement incroyablement puissant
											Tout le membre s'étend vers l'extérieur. Le corps se fléchit en arrière —
											un mouvement spectaculaire.
											Et ce que nous avons fait, c'est de jeter un coup d'œil à ces vidéos,
											et nous avons mesuré à quelle vitesse le membre bougeait
											pour revenir à notre question d'origine.
											Et ce fut notre première surprise.
											Donc nous avons calculé que les membres bougeaient
											à une vitesse de pointe allant de 10 mètres par seconde
											jusqu'à un maximum de 23 mètres par seconde.
											Et pour ceux qui préfèrent les kilomètres par heure,
											cela fait plus de 72 kilomètres par heure dans l'eau. Et c'est vraiment très rapide.
											En fait, c'est tellement rapide que nous avons pu mettre une information supplémentaire
											dans la catégorie des mouvements extrêmes des animaux.
											Et la crevette-mante est officiellement l'animal possédant le mouvement pour se nourrir mesuré le plus rapide
											de n'importe quel règne animal. Voilà notre première surprise.
									","
											So this was filmed at 5,000 frames per second,
											and I'm playing it back at 15. And so this is slowed down 333 times.
											And as you'll notice, it's still pretty gosh darn fast
											slowed down 333 times. It's an incredibly powerful movement.
											The whole limb extends out. The body flexes backwards —
											just a spectacular movement.
											And so what we did is, we took a look at these videos,
											and we measured how fast the limb was moving
											to get back to that original question.
											And we were in for our first surprise.
											So what we calculated was that the limbs were moving
											at the peak speed ranging from 10 meters per second
											all the way up to 23 meters per second.
											And for those of you who prefer miles per hour,
											that's over 45 miles per hour in water. And this is really darn fast.
											In fact, it's so fast we were able to add a new point
											on the extreme animal movement spectrum.
											And mantis shrimp are officially the fastest measured feeding strike
											of any animal system. So our first surprise.
									","
											Dies wurde mit 5.000 Bildern pro Sekunde gefilmt,
											und ich spiele es gerade bei 15 ab. Es ist also 333 fach verlangsamt.
											Und wie Sie sehen werden, dass es ist immer noch ziemlich verflixt schnell ist.
											333 fach verlangsamt. Es ist ein unglaublich kraftvoller Bewegungsablauf.
											Die gesamte Extremität kommt nach vorn, der Körper beugt sich nach hinten -
											einfach eine spektakuläre Bewegung.
											Also, wir schauten uns diese Filme an
											und ermittelten wie schnell sich das Bein bewegte,
											um zur ursprünglichen Fragestellung zurückzukehren.
											Wir erfuhren die erste Überraschung.
											Was wir also errechneten war, dass die Glieder sich
											mit einer Spitzengeschwindigkeit zwischen 10 Meter pro Sekunde
											bis hin zu 23 Meter pro Sekunde bewegen.
											Für diejenigen unter euch, die Meilen pro Stunde bevorzugen,
											das sind über 45 Meilen pro Stunde in Wasser. Und das ist wirklich verflixt schnell.
											Und zwar ist es derat schnell, dass wir einen neuen Eintrag
											auf der Skala der extremen Bewegungen des Tierreichs hinzufügen konnten.
											Nun haben Fangschreckenkrebse offiziell die schnellste gemessene Schlaggeschwindigkeit zur Nahrungsaufnahme
											aller tierischen Systeme. Soviel zur ersten Überraschung.
									","
											Esto fue filmado a 5.000 cuadros por segundo
											y lo estoy reproduciendo a 15. Entonces se ralentizó 333 veces.
											Y como notarán todavía es bastante rápido
											ralentizado 333 veces. Es un movimiento increíblemente potente.
											Se extiende toda la garra. El cuerpo se flexiona hacia atrás
											un movimiento espectacular.
											Lo que hicimos fue mirar estos videos
											y medimos la velocidad del movimiento de la garra
											para regresar a la pregunta original.
											Y hallamos la primer sorpresa.
											Lo que calculamos era que las garras se movían
											a la velocidad pico desde 10 metros por segundo
											hasta 23 metros por segundo.
											Y para los que prefieren kilómetros por hora
											es más de 70 km por hora en agua. Y eso es muy rápido.
											De hecho, es tan rápido que podíamos agregar un nuevo punto
											al extremo del espectro del movimiento animal.
											Y el camarón mantis tiene, oficialmente, el golpe más veloz registrado
											del reino animal. Nuestra primera sorpresa.
									","
											Isto foi filmado
a 5000 imagens por segundo
											e vou passá-lo a 15 imagens por segundo,
ou seja, 333 vezes mais lentamente.
											Como vão ver, ainda é muito rápido,
apesar de 333 vezes mais lento.
											É um movimento incrivelmente potente.
											O membro estica completamente.
o corpo flete-se para trás
											— é um movimento espetacular.
											Então, vimos estes vídeos
											e medimos a velocidade
a que o membro estava a mover-se.
											para voltar à pergunta inicial.
											E deparámo-nos com a primeira surpresa.
											Calculámos que os membros
se moviam
											numa velocidade de pico
entre 10 metros por segundo
											até 23 metros por segundo.
											Para quem prefere milhas por hora,
											são mais de 45 milhas à hora na água.
											É uma velocidade dos diabos.
											É tão rápida que pudemos
acrescentar um novo ponto
											no espetro dos movimentos
extremos dos animais.
											O estomatópode é oficialmente
o predador de ataque mais rápido
											de qualquer sistema animal.
									",The shrimp with a kick!,Sheila Patek,16:25,"biology,biomechanics,oceans,online video,science,technology"
"
","
","
","
","
",The shrimp with a kick!,Sheila Patek,16:25,"biology,biomechanics,oceans,online video,science,technology"
"
											(applaudissements)
									","
											(Applause)
									","
											(Applaus)
									","
											(Aplausos)
									","
											Foi a nossa primeira surpresa.
											(Aplausos)
									",The shrimp with a kick!,Sheila Patek,16:25,"biology,biomechanics,oceans,online video,science,technology"
"
","
","
","
","
",The shrimp with a kick!,Sheila Patek,16:25,"biology,biomechanics,oceans,online video,science,technology"
"
											C'était vraiment super et très inattendu.
											Alors, vous devez peut-être vous demander, comment font-ils ça?
											En fait, ce travail a été fait dans les années 60.
											par un célèbre biologiste du nom de Malcom Burrows.
											Et il a démontré que la crevette-mante utilise
											ce qu'on appelle un mécanisme de capture, ou mécanisme à clic.
											Et il est essentiellement composé d'un grand muscle
											qui met un long moment à se contracter,
											et d'un loquet qui empêche tout mouvement.
											Donc le muscle se contracte, et rien ne se passe.
											Et une fois que le muscle est complètement contracté, tout est mis en réserve —
											le loquet est propulsé vers le haut, et vous avez le mouvement.
											Et c'est ce qu'on appelle simplement un système d'amplification de puissance.
											Le muscle met un long moment pour se contracter,
											et le membre se déploie dans un moment très court.
											Et alors j'ai pensé que c'était en quelque sorte la fin de l'histoire.
											Voilà comment les crevettes-mantes réalisent ces coups très rapides.
									","
											So that was really cool and very unexpected.
											So, you might be wondering, well, how do they do it?
											And actually, this work was done in the 1960s
											by a famous biologist named Malcolm Burrows.
											And what he showed in mantis shrimp is that they use
											what's called a ""catch mechanism,"" or ""click mechanism.""
											And what this basically consists of is a large muscle
											that takes a good long time to contract,
											and a latch that prevents anything from moving.
											So the muscle contracts, and nothing happens.
											And once the muscle's contracted completely, everything's stored up —
											the latch flies upward, and you've got the movement.
											And that's basically what's called a ""power amplification system.""
											It takes a long time for the muscle to contract,
											and a very short time for the limb to fly out.
											And so I thought that this was sort of the end of the story.
											This was how mantis shrimps make these very fast strikes.
									","
											Also das war ziemlich cool und sehr unerwartet.
											Also, Sie fragen sich vielleicht, na ja, wie machen die das?
											Und tatsächlich zeigt diese Arbeit aus den 1960ern,
											von einem berühmten Biologen namens Malcolm Burrows,
											dass die Fangschreckenkrebse etwas verwenden,
											was man einen Schnappmechanismus, oder Klickmechanismus nennt.
											Und dieser besteht im Wesentlichen aus einem großen Muskel,
											der einge recht lange Zeit benötigt um zu kontrahieren
											und einer Verriegelung, die alles vom Bewegen hindert.
											Der Muskel kontrahiert also und nichts passiert.
											Und sobald der Muskel vollständig kontrahiert ist, alles in sich speichernd —
											fliegt die Verriegelung nach oben und die Bewegung ist da.
											Das ist im Grunde was man ein leistungsverstärkendes System nennt.
											Der Muskel braucht eine lange Zeit für die Kontraktion
											und das Glied eine sehr kurze Zeit herauszufliegen.
											Nun dachte ich, dass dies schon das Ende der Geschichte war.
											Dies ist wie Fangschreckenkrebse jene sehr schnellen Schläge ausführen.
									","
											Eso fue muy cool e inesperado.
											Se preguntarán, bien, ¿cómo lo hacen?
											Y en realidad este trabajo es de los '60s,
											de un biólogo famoso llamado Malcolm Burrows.
											Y lo que muestra del camarón mantis es que usan
											lo que se llama mecanismo de captura, o de clic.
											Y básicamente consta de un gran músculo
											que se contrae en bastante tiempo
											y de un pestillo que inmoviliza todo.
											Entonces se contrae el músculo y no pasa nada.
											Y una vez que el músculo se contrae por completo, todo acumulado
											el pestillo va hacia arriba, y se produce el movimiento.
											Eso es básicamente lo que se llama un sistema de amplificación de potencia.
											El músculo se contrae en un tiempo largo
											y la garra vuela en un tiempo muy corto.
											Y pensé que esto era el fin de la historia.
											Así es como el camarón mantis da estos golpes tan rápidos.
									","
											Foi muito giro e totalmente inesperado.
											Talvez estejam a pensar
como é que eles conseguem fazer isto.
											Este trabalho foi feito nos anos 60
											por um famoso biólogo
chamado Malcolm Burrows.
											Ele mostrou que os estomatópodes
usam aquilo a que chama
											um ""mecanismo de captura""
ou um ""mecanismo de clique"".
											Consiste, basicamente, 
num grande músculo
											que leva muito tempo a contrair-se
											e um fecho que impede qualquer movimento.
											Assim, o músculo contrai-se
e nada acontece,
											Quando o músculo está totalmente
contraído — está tudo em reserva —
											o fecho abre-se e dá-se o movimento.
											É aquilo a que se chama um ""sistema
de amplificação de energia"".
											O músculo leva muito tempo a contrair-se
											e num espaço de tempo muito curto,
o membro dispara.
											Eu julgava que isto era o fim da história.
											Era assim que os estomatópodes
faziam aqueles ataques muito rápidos.
									",The shrimp with a kick!,Sheila Patek,16:25,"biology,biomechanics,oceans,online video,science,technology"
"
","
","
","
","
",The shrimp with a kick!,Sheila Patek,16:25,"biology,biomechanics,oceans,online video,science,technology"
