en,fr,es,de,tr,title,speaker,duration,tags
"
","
","
","
","
",The medical potential of AI and metabolites,Leila Pirhaji,5:14,"medicine,AI,technology,biotech,disease,TED Fellows,medical research,algorithm"
"
											(Laughter)
									","
											(Rires)
									","
											es extremadamente difícil.
									","
											(Gelächter)
									","
											(Gülüşmeler)
									",The medical potential of AI and metabolites,Leila Pirhaji,5:14,"medicine,AI,technology,biotech,disease,TED Fellows,medical research,algorithm"
"
","
","
","
","
",The medical potential of AI and metabolites,Leila Pirhaji,5:14,"medicine,AI,technology,biotech,disease,TED Fellows,medical research,algorithm"
"
											There are many metabolites in our body.
											Each one is different from the other one.
											For some metabolites,
we can measure their molecular mass
											using mass spectrometry instruments.
											But because there could be, like,
10 molecules with the exact same mass,
											we don't know exactly what they are,
											and if you want to clearly
identify all of them,
											you have to do more experiments,
which could take decades
											and billions of dollars.
									","
											Il y a beaucoup de métabolites
dans notre corps.
											Ils sont différents les uns des autres.
											On peut mesurer la masse moléculaire
de certains métabolites
											en se servant d'instruments
de spectrométrie de masse.
											Mais parce qu'il pourrait y avoir
10 molécules avec la même masse,
											on ne peut pas les différencier,
											et si vous voulez les identifier
tous clairement,
											il faut faire plus d’expériences, 
pouvant prendre des décennies
											et coûtant des milliards de dollars.
									","
											(Risas)
											Hay demasiados metabolitos
en nuestro cuerpo.
											Cada uno es diferente de otro.
											Para algunos metabolitos, 
podemos medir su masa molecular
											usando instrumentos
de espectrometría de masas.
											Pero como podría haber 
como 10 moléculas con la misma masa
											no sabemos exactamente qué son,
											y si se quiere 
identificar todas claramente,
											hay que hacer más experimentos,
lo que podría llevar décadas
									","
											Es gibt viele Metaboliten
in unserem Körper.
											Jedes Einzelne ist anders als das andere.
											Bei einigen Metaboliten können wir
deren Molekülmasse mithilfe von
											Massenspektrometriegeräten messen.
											Aber da es etwa 10 Moleküle mit
genau der gleichen Masse geben könnte,
											wissen wir nicht genau, was sie sind
											und wenn man sie alle klar
identifizieren will,
											muss man mehr Experimente durchführen,
											die Jahrzehnte dauern und
Milliarden Dollar kosten könnten.
									","
											Vücudumuzda çok fazla metabolit var.
											Her biri birbirinden farklı.
											Bazı metabolitlerin kütlesini,
											kütle spektrometresi aletleri
kullanarak hesaplayabiliyoruz.
											Ama aynı kütleye sahip olan diyelim ki
10 tane molekül olabileceği için
											tam olarak ne olduklarını bilmiyoruz
											ve eğer hepsini tek tek 
ayırt etmek istiyorsak
											daha çok deneyler yapmamız gerekir,
bu da onlarca yıla
											ve milyarlarca dolara mal olur.
									",The medical potential of AI and metabolites,Leila Pirhaji,5:14,"medicine,AI,technology,biotech,disease,TED Fellows,medical research,algorithm"
"
","
","
","
","
",The medical potential of AI and metabolites,Leila Pirhaji,5:14,"medicine,AI,technology,biotech,disease,TED Fellows,medical research,algorithm"
"
											So we developed an artificial
intelligence, or AI, platform, to do that.
											We leveraged the growth of biological data
											and built a database of any existing
information about metabolites
											and their interactions
with other molecules.
											We combined all this data
as a meganetwork.
											Then, from tissues or blood of patients,
											we measure masses of metabolites
											and find the masses
that are changed in a disease.
											But, as I mentioned earlier,
we don't know exactly what they are.
											A molecular mass of 180 could be
either the glucose, galactose or fructose.
											They all have the exact same mass
											but different functions in our body.
											Our AI algorithm considered
all these ambiguities.
											It then mined that meganetwork
											to find how those metabolic masses
are connected to each other
											that result in disease.
											And because of the way they are connected,
											then we are able to infer
what each metabolite mass is,
											like that 180 could be glucose here,
											and, more importantly, to discover
											how changes in glucose
and other metabolites
											lead to a disease.
											This novel understanding
of disease mechanisms
											then enable us to discover
effective therapeutics to target that.
									","
											On a donc développé une plateforme d'IA
ou d'intelligence artificielle pour cela.
											On a exploité la croissance
des données biologiques
											et construit une base de données de toutes
les informations sur les métabolites
											et leurs interactions
avec d'autres molécules.
											On a combiné toutes ces données
comme un méga réseau.
											Ensuite, à partir des tissus 
ou du sang de patients,
											nous mesurons la masse des métabolites
											et trouvons les masses qui sont changées
dans une maladie.
											Mais, comme je l'ai dit plus tôt,
on ne peut les différencier.
											Une masse moléculaire de 180 pourrait être
du glucose, du galactose ou du fructose.
											Ils ont tous exactement la même masse
											mais différentes fonctions dans le corps.
											Notre algorithme d'IA a considéré 
toutes ces ambiguïtés
											Il a ensuite exploité ce méga réseau
											pour trouver comment ces masses 
métaboliques sont connectées entre elles
											et aboutissent à une maladie.
											Et grâce au type de connexion,
											on est en mesure de déduire
la masse de chaque métabolite,
											par exemple, ce 180
peut être du glucose ici,
											et le plus important, de découvrir
											comment les changements dans le glucose
et d'autres métabolites
											conduisent à une maladie.
											Cette compréhension novatrice
des mécanismes de maladie
											nous a alors permis de découvrir des
traitements efficaces pour y faire face.
									","
											y miles de millones de dólares.
											Así que, desarrollamos una plataforma
de inteligencia artificial que hace eso.
											Aprovechamos el crecimiento
de los datos biológicos
											y construimos una base de datos a partir
de información obtenida sobre metabolitos
											y sus interacciones con otras moléculas.
											Combinamos todos estos datos
como una mega red.
											A partir de tejidos
o de la sangre de pacientes,
											medimos las masas de los metabolitos
											y encontramos las masas
que cambian en una enfermedad.
											Pero, cómo dije antes, no sabemos
exactamente qué son.
											Una masa molecular de 180
podría ser glucosa o galactosa o fructosa.
											Todas tienen exactamente la misma masa.
											Pero tienen distintas funciones
en nuestro cuerpo.
											Nuestro algoritmo de IA
consideró todas estas ambigüedades.
											Y luego explotó toda esa mega red
											para encontrar como esas masas metabólicas
están conectadas entre sí
											para causar una enfermedad.
											Y por la forma en la que están conectadas,
											podemos deducir cuál es 
la masa del metabolito,
											como esta 180 que podría ser glucosa,
											y más importante aún, descubrir
											cómo los cambios en la glucosa
y otros metabolitos
											pueden causar enfermedades.
											Esta comprensión
del mecanismo de las enfermedades
									","
											Also haben wir eine KI-Plattform
entwickelt, um das zu tun.
											Wir nutzten das Wachstum
biologischer Daten,
											um eine Datenbank mit allen vorhandenen
Informationen über Metaboliten
											und deren Wechselwirkungen
mit anderen Molekülen aufzubauen.
											All diese Daten fassten wir
zu einem Meganetzwerk zusammen.
											Dann messen wir Massen von Metaboliten
											
aus Gewebe und Blut von Patienten
											und finden die Massen,
die bei einer Krankheit verändert sind.
											Aber wie schon erwähnt,
wissen wir nicht genau, was sie sind.
											Eine Molekularmasse von 180 kann
Glukose, Galactose oder Fructose sein.
											Sie alle haben genau die gleiche Masse,
											aber unterschiedliche
Funktionen im Körper.
											Unser KI-Algorithmus hat
all diese Unklarheiten berücksichtigt.
											Dann hat er dieses
Meganetzwerk durchsucht,
											um herauszufinden, wie die Massen
miteinander verbunden sind,
											die zu Krankheiten führen.
											Aus der Art, wie sie verbunden sind,
											können wir schliessen,
was jede Metabolitenmasse ist,
											sodass 180 hier Glucose sein könnte
											und, was noch wichtiger ist,
											entdecken wie Veränderungen
bei Glucose und anderen Metaboliten
											zu einer Krankheit führen.
											Dieses neuartige Verständnis
der Krankheitsmechanismen
											ermöglicht es uns,
wirksame Therapeutika zu entdecken.
									","
											Biz de bunu yapması için bir yapay zekâ
ya da AI platformu geliştirdik.
											Biyolojik verinin büyümesine
katkıda bulunduk,
											metabolitlerle ve onların diğer
moleküllerle tepkimelerini kapsayan
											her bilgiyle bir veri tabanı oluşturduk.
											Bu verinin hepsini bir mega ağda topladık.
											Sonrasında dokudan
veya hastalarımızın kanından,
											metabolitlerin kütlelerini hesapladık
											ve bir hastalıkta
değişen kütleleri bulduk.
											Ama önceden de belirttiğim gibi
tam olarak ne olduklarını bilmiyoruz.
											Moleküler kütlesi 180 ise
glukoz, galaktoz veya fruktoz olabilir.
											Hepsinin kütlesi aynı
											fakat işlevi farklı.
											Bizim yapay zekâ algoritmamız
bu belirsizlikleri göze alıyor.
											Sonra da mega ağın derinliklerine inip
											hastalığa sebep olan metabolik kütlelerin
											birbirlerine bağlantısını buluyor.
											Ve bağlanma şekillerinden yola çıkarak
											her metabolitin kütlesini bulabiliyoruz,
											mesela buradaki 180 glukoz olabilir
											ve daha da önemlisi glukoz
ve diğer metabolitlerdeki değişimlerin
											nasıl hastalıklara
yol açtığını keşfediyoruz.
											Hastalık mekanizmasına olan
yeni anlayışımız da
											onu hedef alan tedaviler
geliştirmemize olanak sağlıyor.
									",The medical potential of AI and metabolites,Leila Pirhaji,5:14,"medicine,AI,technology,biotech,disease,TED Fellows,medical research,algorithm"
"
","
","
","
","
",The medical potential of AI and metabolites,Leila Pirhaji,5:14,"medicine,AI,technology,biotech,disease,TED Fellows,medical research,algorithm"
"
											So we formed a start-up company
to bring this technology to the market
											and impact people's lives.
											Now my team and I at ReviveMed
are working to discover
											therapeutics for major diseases
that metabolites are key drivers for,
											like fatty liver disease,
											because it is caused
by accumulation of fats,
											which are types
of metabolites in the liver.
											As I mentioned earlier,
it's a huge epidemic with no treatment.
									","
											On a fondé une start-up pour 
amener cette technologie sur le marché
											et impacter des vies.
											Maintenant mon équipe et moi à ReviveMed
cherchons à découvrir
											des traitements pour des maladies graves
dont les métabolites sont la source,
											telle la stéatose hépatique,
											parce qu'elle est causée par
l'accumulation de graisses,
											qui sont des types de métabolites
dans le foie.
											Comme je le disais plus tôt, c'est un
grave fléau qui n'a aucun traitement.
									","
											nos deja descubrir terapias
efectivas para tratar eso.
											Creamos una empresa emergente 
para llevar esta tecnología al mercado
											y para cambiar la vida de la gente.
											Ahora mi equipo y yo en ReviveMed
estamos trabajando para descubrir
											tratamientos para enfermedades mayores
causadas por metabolitos
											como la enfermedad hepática,
											que es causada
por la acumulación de grasas,
											que son tipos de metabolitos
que se encuentran en el hígado.
									","
											So gründeten wir ein Start-Up, um
die Technologie auf den Markt zu bringen
											und Menschenleben zu verändern.
											Jetzt arbeiten mein Team und ich
bei ReviveMed daran,
											Therapeutika für Krankheiten zu entdecken,
wo Metaboliten Haupttreiber sind,
											wie z. B. Fettleberkrankheiten,
											weil sie durch die Ansammlung
von Fetten verursacht werden,
											die zu den Metaboliten
in der Leber gehören.
											Wie ich bereits erwähnte, ist es
eine riesige Epidemie ohne Behandlung.
									","
											Biz de bu teknolojiyi markete sunmak
ve insanların hayatlarını etkilemek
											amacıyla bir şirket oluşturduk.
											Şimdi benim takımım ve ben,
ReviveMed'te metabolitlerin
											ana sorun olduğu hastalıklara
tedavi bulmak için çalışıyoruz,
											mesela yağlı karaciğer hastalığı gibi
											çünkü bu hastalık, karaciğerdeki
metabolit tipleri olan
											yağların birikmesi ile ortaya çıkar.
											Daha önce de bahsettiğim gibi bu,
tedavisi olmayan çok yaygın bir hastalık.
									",The medical potential of AI and metabolites,Leila Pirhaji,5:14,"medicine,AI,technology,biotech,disease,TED Fellows,medical research,algorithm"
"
","
","
","
","
",The medical potential of AI and metabolites,Leila Pirhaji,5:14,"medicine,AI,technology,biotech,disease,TED Fellows,medical research,algorithm"
"
											And fatty liver disease
is just one example.
											Moving forward, we are going to tackle
hundreds of other diseases
											with no treatment.
											And by collecting more and more
data about metabolites
											and understanding
how changes in metabolites
											leads to developing diseases,
											our algorithms will get
smarter and smarter
											to discover the right therapeutics
for the right patients.
											And we will get closer to reach our vision
											of saving lives with every line of code.
									","
											Et la stéatose hépatique 
n'est qu'un exemple.
											À l'avenir, nous allons nous attaquer
à des centaines d'autres maladies
											sans traitement.
											Et en collectant de plus en plus
de données sur les métabolites
											et en comprenant comment les changements
dans les métabolites
											conduisent au développement de maladies,
											nos algorithmes deviendront
de plus en plus intelligents
											pour découvrir les traitements
qui conviennent selon le patient.
											Et nous serons plus près
d'atteindre notre vision
											qui est de sauver des vies
avec chaque ligne de code.
									","
											Como dije antes, es una epidemia
gigante sin tratamiento.
											Y la enfermedad hepática, 
es solo un ejemplo.
											Cambiando de tema, enfrentaremos
cientos de otras enfermedades,
											que no tienen tratamiento.
											Conforme recolectamos más y más
información sobre los metabolitos
											y entendemos cómo 
los cambios en los metabolitos
											llevan al desarrollo de enfermedades,
											nuestros algoritmos se volverán
más y más inteligentes
											para poder descubrir los tratamientos
correctos para los pacientes.
											Llegaremos más y más cerca
a cumplir nuestra visión
									","
											Und Fetterleberkrankheiten sind
nur ein Beispiel.
											In Zukunft werden wir
hunderte von anderen Krankheiten
											ohne Behandlungswege bekämpfen.
											Indem wir immer mehr Daten
über Metaboliten sammeln
											und verstehen, wie Veränderungen
											zu Krankheiten führen,
											werden unsere Algorithmen
immer intelligenter,
											um die richtigen Therapeutika
für die richtigen Patienten zu finden.
											Und wir werden unserer Vision,
											mit jeder Codezeile Leben zu retten,
											näher kommen.
									","
											Ve yağlı karaciğer hastalığı
sadece bir örnek.
											İleride, tedavisi olmayan
birçok hastalığı ele alacağız.
											Ve metabolitler hakkında 
daha çok veri topladıkça
											ve metabolitlerdeki değişimin
nasıl hastalığa dönüştüğünü anladıkça
											algoritmamız daha da zeki olacak
											ve doğru hastalar için
doğru tedavileri keşfedecek.
											Ve yazdığımız her bir satır kod ile
											hayat kurtarma amacımıza
daha çok yaklaşmış olacağız.
									",The medical potential of AI and metabolites,Leila Pirhaji,5:14,"medicine,AI,technology,biotech,disease,TED Fellows,medical research,algorithm"
"
","
","
","
","
",The medical potential of AI and metabolites,Leila Pirhaji,5:14,"medicine,AI,technology,biotech,disease,TED Fellows,medical research,algorithm"
"
											Thank you.
									","
											Merci.
									","
											de salvar vidas
con cada línea de programación.
									","
											Vielen Dank.
									","
											Teşekkür ederim.
									",The medical potential of AI and metabolites,Leila Pirhaji,5:14,"medicine,AI,technology,biotech,disease,TED Fellows,medical research,algorithm"
"
","
","
","
","
",The medical potential of AI and metabolites,Leila Pirhaji,5:14,"medicine,AI,technology,biotech,disease,TED Fellows,medical research,algorithm"
"
											(Applause)
									","
											(Applaudissements)
									","
											Gracias.
											(Aplausos)
									","
											(Applaus)
									","
											(Alkışlar)
									",The medical potential of AI and metabolites,Leila Pirhaji,5:14,"medicine,AI,technology,biotech,disease,TED Fellows,medical research,algorithm"
"
","
","
","
","
",The medical potential of AI and metabolites,Leila Pirhaji,5:14,"medicine,AI,technology,biotech,disease,TED Fellows,medical research,algorithm"
