en,fr,es,pt,de,title,speaker,duration,tags
"
","
","
","
","
",How AI is making it easier to diagnose disease,Pratik Shah,4:59,"medicine,TED Fellows,AI,technology,medical imaging,future,cancer,health care,innovation,illness,machine learning,science,medical research,health"
"
											For our first goal,
											instead of starting
with tens and thousands
											of these very expensive medical images,
like traditional AI,
											we started with a single medical image.
											From this image, my team and I
figured out a very clever way
											to extract billions
of information packets.
											These information packets
included colors, pixels, geometry
											and rendering of the disease
on the medical image.
											In a sense, we converted one image
into billions of training data points,
											massively reducing the amount of data
needed for training.
									","
											Pour le premier objectif,
											au lieu de commencer
avec des dizaines de milliers
											d'images médicales chères,
comme pour une IA traditionnelle,
											on a commencé avec une seule image.
											À partir de cette image, avec mon équipe,
on a trouvé une manière très ingénieuse
											d'extraire des milliards
de paquets de données.
											Ces paquets d'informations incluent
des couleurs, des pixels, la géométrie,
											et le rendu de la maladie
sur l'image médicale.
											En fait, on a converti une image
en milliards de données de formation,
											réduisant ainsi massivement le volume
de données nécessaire à cette formation.
									","
											Para el primer objetivo,
											en vez de comenzar con decenas de miles
de estas costosas imágenes,
											como la IA tradicional,
											comenzamos con una sola imagen médica.
											De esta imagen, mi equipo y yo
encontramos una manera ingeniosa
											de extraer miles de millones
de paquetes de información.
											Estos paquetes incluían
colores, píxeles, geometría
											y la representación de la enfermedad
en la imagen de diagnóstico.
											Es decir, convertimos una imagen en 
miles de millones de puntos de datos,
											reduciendo enormemente la cantidad
de datos necesarios para el entrenamiento.
									","
											No primeiro objectivo,
											em vez de começarmos
com dezenas e milhares
											destas imagens médicas caras,
como a IA tradicional,
											começámos com uma única imagem médica.
											A partir desta imagem, a minha equipa e eu
encontrámos uma forma inteligente
											de extrair milhares de milhões 
de pacotes de informações.
											Estes pacotes de informações
incluíam cores, pixeis, geometria
											e a apresentação da doença
na imagem médica.
											Ou seja, convertemos uma imagem
em milhares de milhões de pontos de dados,
											reduzindo massivamente o número
de dados necessários para o treino.
									","
											Für unser erstes Ziel haben wir,
											statt wie traditionelle KI
											mit Tausenden dieser sehr teuren
medizinischen Bilder zu starten,
											mit einem einzelnen
medizinischen Bild angefangen.
											Von diesem Bild aus fanden mein Team
und ich einen cleveren Weg,
											Milliarden dieser
Informationspakete zu extrahieren.
											Diese Informationspakete beinhalteten
Farben, Pixel, Geometrie
											und die Darstellung der Krankheiten
auf den medizinischen Bildern.
											Wir haben quasi ein Bild
in Milliarden Trainingsdaten gewandelt
											und die Datenmenge massiv reduziert,
die für das Training benötigt wird.
									",How AI is making it easier to diagnose disease,Pratik Shah,4:59,"medicine,TED Fellows,AI,technology,medical imaging,future,cancer,health care,innovation,illness,machine learning,science,medical research,health"
"
","
","
","
","
",How AI is making it easier to diagnose disease,Pratik Shah,4:59,"medicine,TED Fellows,AI,technology,medical imaging,future,cancer,health care,innovation,illness,machine learning,science,medical research,health"
"
											For our second goal,
											to reduce the use of expensive medical
imaging technologies to screen patients,
											we started with a standard,
white light photograph,
											acquired either from a DSLR camera
or a mobile phone, for the patient.
											Then remember those
billions of information packets?
											We overlaid those from
the medical image onto this image,
											creating something
that we call a composite image.
											Much to our surprise,
we only required 50 —
											I repeat, only 50 —
											of these composite images to train
our algorithms to high efficiencies.
									","
											Pour notre 2e objectif, réduire l'usage
de technologies d'imagerie médicale
											pour examiner les patients,
											on a commencé avec une photo
normale, à la lumière du jour,
											prise avec un appareil photographique
reflex mono-objectif, ou un smartphone.
											Souvenez-vous maintenant
des milliards de paquets d'informations.
											On les a superposés
à partir de l'image médicale,
											créant ce qu'on appelle
une image composite.
											À notre grande surprise,
nous n'avons eu besoin de seulement 50,
											j'insiste, seulement 50,
											de ces images composites
pour entraîner notre algorithme
											et le rendre très efficient.
									","
											Para el segundo objetivo,
											para reducir el uso de los costosos 
escáneres para examinar pacientes
											comenzamos con una fotografía
estándar con luz natural
											tomada con una cámara DSLR
o con el teléfono del paciente.
											¿Recuerdan esos miles de millones
de paquetes de información?
											Superpusimos esos paquetes 
de la imagen de diagnóstico
											sobre esta imagen,
											creando lo que llamamos 
una imagen compuesta.
											Para nuestra sorpresa,
solo necesitamos 50,
											repito, solo 50
											de esas imágenes compuestas para entrenar 
a los algoritmos con gran eficiencia.
									","
											Para o segundo objectivo
											— reduzir o uso da tecnologia
de imagiologia médica cara
											para examinar doentes —
											começámos com uma fotografia
normal, com luz natural,
											tirada por uma câmara DSLR
ou um telemóvel, para o doente.
											Lembram-se dos milhares de milhões
de pacotes de informações?
											Nós sobrepomos esses pacotes
da imagem médica nesta imagem,
											criando algo a que chamamos 
uma imagem composta.
											Para nossa surpresa,
só precisámos de 50
											— repito, só 50 —
											dessas imagens compostas para
treinar o algoritomo para alta eficiência.
									","
											Für unser zweites Ziel, die Nutzung
											teurer medizinischer Bildtechnologien
beim Screening zu verringern,
											starteten wir mit einer
normalen Weißlichtaufnahme,
											aufgenommen mit einer DSLR Kamera oder
mit einer Telefonkamera für den Patienten.
											Erinnern Sie sich an
die Milliarden Informationspakete?
											Wir haben diese mit den
medizinischen Bildern überlagert
											und etwas erschaffen,
das wir Verbund-Bild nennen.
											Zum unserem großen Erstaunen
benötigten wir nur 50 —
											Ich wiederhole, nur 50 —
											dieser Verbund-Bilder, um die Algorithmen
auf hohe Effizienz zu bringen.
									",How AI is making it easier to diagnose disease,Pratik Shah,4:59,"medicine,TED Fellows,AI,technology,medical imaging,future,cancer,health care,innovation,illness,machine learning,science,medical research,health"
"
","
","
","
","
",How AI is making it easier to diagnose disease,Pratik Shah,4:59,"medicine,TED Fellows,AI,technology,medical imaging,future,cancer,health care,innovation,illness,machine learning,science,medical research,health"
"
											To summarize our approach,
											instead of using 10,000
very expensive medical images,
											we can now train the AI algorithms
in an unorthodox way,
											using only 50 of these high-resolution,
but standard photographs,
											acquired from DSLR cameras
and mobile phones,
											and provide diagnosis.
											More importantly,
											our algorithms can accept,
in the future and even right now,
											some very simple, white light
photographs from the patient,
											instead of expensive
medical imaging technologies.
									","
											Pour résumer notre approche,
											au lieu d'utiliser 10 000 images
médicales très chères,
											nous pouvons former les algorithmes
de l'IA avec des moyens non traditionnels
											et utiliser seulement 50 photos
de haute résolution certes, mais standard,
											prises avec des appareils photos
et des smartphones,
											et réaliser un diagnostic.
											Plus important,
											nos algorithmes travaillent
déjà aujourd'hui
											avec de simples photos des patients
prises à la lumière du jour
											en lieu et place des technologies
onéreuses d'imagerie médicale.
									","
											Para resumir nuestro enfoque,
											en lugar de utilizar 10 000
costosas imágenes de diagnóstico,
											hoy podemos entrenar a los algoritmos
de IA de un modo poco ortodoxo,
											usando solo 50 de estas fotos 
de alta definición pero estándares,
											tomadas con cámaras DSLR y teléfonos,
											y establecer un diagnóstico.
											Más importante aun,
											nuestros algoritmos pueden aceptar,
en el futuro o incluso hoy,
											algunas fotos muy sencillas
y estándares del paciente,
											en lugar de los costosos equipos
de diagnósticos por escáner.
									","
											Para resumir a nossa abordagem,
											em vez de usarmos 10 000
imagens médicas muito caras,
											podemos treinar o algoritmo
da IA, de uma forma pouco ortodoxa,
											usando apenas 50 destas fotos
normais, mas de alta resolução
											tiradas por uma câmara DSLR
ou um telemóvel,
											e providenciando o diagnóstico.
											Mais importante,
											o nosso algoritmo pode aceitar,
no futuro e até mesmo agora,
											algumas fotografias simples
à luz normal, do doente,
											em vez da tecnologia
de imagiologia médica cara.
									","
											Zusammenfassend gesagt:
											anstatt 10,000 dieser
sehr teuren Bilder zu verwenden,
											können wir nun die KI-Algorithmen
auf unkonventionelle Art trainieren,
											indem wir nur 50 dieser
hochauflösenden Standard-Fotos verwenden,
											die von DSLR-Kameras und Mobiltelefonen
aufgenommen worden sind,
											und Diagnosen erstellen.
											Wichtiger noch,
											unsere Algorithmen können
in der Zukunft und sogar schon jetzt,
											ein paar simple Weißlichtaufnahmen
des Patienten annehmen,
											anstelle von teuren
medizinischen Bildtechnologien.
									",How AI is making it easier to diagnose disease,Pratik Shah,4:59,"medicine,TED Fellows,AI,technology,medical imaging,future,cancer,health care,innovation,illness,machine learning,science,medical research,health"
"
","
","
","
","
",How AI is making it easier to diagnose disease,Pratik Shah,4:59,"medicine,TED Fellows,AI,technology,medical imaging,future,cancer,health care,innovation,illness,machine learning,science,medical research,health"
"
											I believe that we are poised
to enter an era
											where artificial intelligence
											is going to make an incredible
impact on our future.
											And I think that thinking
about traditional AI,
											which is data-rich but application-poor,
											we should also continue thinking
											about unorthodox artificial
intelligence architectures,
											which can accept small amounts of data
											and solve some of the most important
problems facing us today,
											especially in health care.
									","
											Je suis convaincu que nous sommes
sur le point d'entrer dans une ère
											où l'intelligence artificielle va avoir
un impact incroyable sur notre avenir.
											Et je pense au sujet
de l'IA traditionnelle,
											riche en données
mais avec peu d'application,
											que nous devrions persévérer
dans le développement
											d'architectures d'IA non orthodoxes
											capables d'accepter
des petits volumes de données
											et résoudre nos problèmes
les plus importants,
											principalement dans la santé.
									","
											Creo que estamos preparados
para entrar en una nueva era
											en la que la inteligencia artificial
											incidirá increíblemente en nuestro futuro.
											Y, pensando en la IA tradicional,
											que es rica en datos pero
ineficiente en su utilización,
											deberíamos seguir pensando
											en arquitecturas de IA no convencionales
											que aceptan poca cantidad de datos
											y resuelven algunos de los problemas 
más importantes de hoy en día,
											especialmente en el sector de la salud.
									","
											Acredito que estamos 
preparados a entrar numa era
											em que a inteligência artificial
											vai ter um incrível impacto
no nosso futuro.
											Acho que pensar na IA tradicional
											que é rica em dados
mas pobre em aplicações,
											devíamos continuar a pensar
											em arquitecturas pouco 
ortodoxas para a inteligência artificial
											que aceitem pequenas quantias de dados
											e resolvam problemas importantes
que enfrentamos hoje em dia,
											sobretudo nos cuidados de saúde.
									","
											Ich glaube, dass wir jetzt
in eine Ära gelangen,
											wo künstliche Intelligenz
											eine unglaubliche Auswirkung
auf unsere Zukunft hat.
											Und ich glaube, dass wir neben
dem Nachdenken über traditionelle KI,
											die reich an Daten,
aber arm an Anwendungen ist,
											wir auch weiter nachdenken sollten
											über ungewöhnliche KI-Architekturen,
											die kleine Mengen an Daten
akzeptieren können
											und ein paar der wichtigsten Probleme,
vor denen wir stehen, lösen kann,
											insbesondere im Gesundheitswesen.
									",How AI is making it easier to diagnose disease,Pratik Shah,4:59,"medicine,TED Fellows,AI,technology,medical imaging,future,cancer,health care,innovation,illness,machine learning,science,medical research,health"
"
","
","
","
","
",How AI is making it easier to diagnose disease,Pratik Shah,4:59,"medicine,TED Fellows,AI,technology,medical imaging,future,cancer,health care,innovation,illness,machine learning,science,medical research,health"
"
											Thank you very much.
									","
											Merci beaucoup.
									","
											Muchas gracias.
									","
											Muito obrigado.
									","
											Vielen Dank.
									",How AI is making it easier to diagnose disease,Pratik Shah,4:59,"medicine,TED Fellows,AI,technology,medical imaging,future,cancer,health care,innovation,illness,machine learning,science,medical research,health"
"
","
","
","
","
",How AI is making it easier to diagnose disease,Pratik Shah,4:59,"medicine,TED Fellows,AI,technology,medical imaging,future,cancer,health care,innovation,illness,machine learning,science,medical research,health"
"
											(Applause)
									","
											(Applaudissements)
									","
											(Aplausos)
									","
											(Aplausos)
									","
											(Applaus)
									",How AI is making it easier to diagnose disease,Pratik Shah,4:59,"medicine,TED Fellows,AI,technology,medical imaging,future,cancer,health care,innovation,illness,machine learning,science,medical research,health"
"
","
","
","
","
",How AI is making it easier to diagnose disease,Pratik Shah,4:59,"medicine,TED Fellows,AI,technology,medical imaging,future,cancer,health care,innovation,illness,machine learning,science,medical research,health"
