en,es,pt,de,tr,title,speaker,duration,tags
"
","
","
","
","
",A burial practice that nourishes the planet,Caitlin Doughty,11:54,"animals,choice,bacteria,death,ecology,environment,family,green,humanity,pollution,nature,potential,sanitation,society,social change,TEDMED"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Gelächter)
									","
											(Kahkahalar)
									",A burial practice that nourishes the planet,Caitlin Doughty,11:54,"animals,choice,bacteria,death,ecology,environment,family,green,humanity,pollution,nature,potential,sanitation,society,social change,TEDMED"
"
","
","
","
","
",A burial practice that nourishes the planet,Caitlin Doughty,11:54,"animals,choice,bacteria,death,ecology,environment,family,green,humanity,pollution,nature,potential,sanitation,society,social change,TEDMED"
"
											Am I not an animal?
											Biologically speaking,
are we not all, in this room, animals?
											Accepting the fact that we are animals
											has some potentially
terrifying consequences.
											It means accepting
that we are doomed to decay and die,
											just like any other creature on earth.
									","
											¿No soy un animal?
											En términos biológicos, ¿no somos 
todos, en esta sala, animales?
											Aceptar que somos animales
											tiene algunas consecuencias 
potenciales terribles.
											Significa aceptar que estamos 
condenados a decaer y morir,
											como cualquier otra criatura terrestre.
									","
											Eu não sou um animal?
											Biologicamente falando,
não somos todos nós, nessa sala, animais?
											Aceitar o facto de que somos animais
											tem consequências
potencialmente aterrorizantes.
											Isso significa aceitar que estamos
condenados à decadência e à morte,
											tal como qualquer
outra criatura na Terra.
									","
											Bin ich nicht auch ein Tier?
											Sind wir nicht alle Tiere
im biologischen Sinn?
											Diese Tatsache zu akzeptieren,
kann furchterregende Folgen haben.
											Dann müssen wir nämlich auch akzeptieren,
dass wir verwesen und sterben werden,
											so wie jedes andere
Lebewesen auf der Erde.
									","
											Ben de bir hayvan değil miyim?
											Biyolojik bakımdan, bu odadaki
herkes hayvan değil mi?
											Hepimizin hayvan olduğu
gerçeğini kabullenmek
											korkunç sonuçlar doğurabilir.
											Bunun anlamı, hepimizin
yeryüzündeki diğer canlılar gibi
											ölüp çürüyeceğimizi kabullenmektir.
									",A burial practice that nourishes the planet,Caitlin Doughty,11:54,"animals,choice,bacteria,death,ecology,environment,family,green,humanity,pollution,nature,potential,sanitation,society,social change,TEDMED"
"
","
","
","
","
",A burial practice that nourishes the planet,Caitlin Doughty,11:54,"animals,choice,bacteria,death,ecology,environment,family,green,humanity,pollution,nature,potential,sanitation,society,social change,TEDMED"
"
											For the last nine years,
I've worked in the funeral industry,
											first as a crematory operator,
											then as a mortician
											and most recently, as the owner
of my own funeral home.
											And I have some good news:
											if you're looking to avoid the whole
""doomed to decay and die"" thing:
											you will have all the help
in the world in that avoidance
											from the funeral industry.
									","
											En los últimos nueve años,
he trabajado en la industria funeraria,
											primero como operadora de crematorio,
											luego en una funeraria
											y más recientemente, como propietaria
de mi propia funeraria.
											Y tengo buenas noticias,
											si uno busca evitar lo de
""condenado a decaer y morir"",
											tendrá toda la ayuda del mundo 
para evitar eso
											de la industria funeraria.
									","
											Nos últimos nove anos,
trabalhei na indústria funerária,
											primeiro como operadora de cremação,
											depois como agente funerário
											e hoje como a proprietária
da minha própria casa funerária.
											E tenho boas notícias:
											Se procuram evitar toda essa coisa
de ""condenados à decadência e à morte"",
											terão toda a ajuda do mundo
para evitar isso
											da indústria funerária.
									","
											Seit neun Jahren arbeite
ich im Bestattungswesen,
											zunächst als Betreiberin
eines Krematoriums,
											dann als Leichenbestatterin
											und seit Kurzem als Eigentümerin
eines eigenen Bestattungsunternehmens.
											Und ich habe gute Neuigkeiten:
											Wenn Sie einen Weg suchen, um dieses
""Verwesen und sterben""-Ding zu vermeiden,
											werden Sie dazu jede erdenkliche Hilfe
von der Bestattungsindustrie erhalten.
									","
											Son dokuz yıldır 
cenaze işinde çalışıyorum.
											Önce ceset yakma fırını operatörü oldum,
											sonra cenaze levazımatçısı.
											Son zamanlarda da kendi
cenaze evimi açtım.
											Ve iyi haberlerim var:
											Eğer ""ölüp çürüme"" meselesini 
göz ardı etmek isterseniz
											cenaze evleri size bu konuda her türlü
											yardımı sağlar.
									",A burial practice that nourishes the planet,Caitlin Doughty,11:54,"animals,choice,bacteria,death,ecology,environment,family,green,humanity,pollution,nature,potential,sanitation,society,social change,TEDMED"
"
","
","
","
","
",A burial practice that nourishes the planet,Caitlin Doughty,11:54,"animals,choice,bacteria,death,ecology,environment,family,green,humanity,pollution,nature,potential,sanitation,society,social change,TEDMED"
"
											It's a multi-billion-dollar industry,
											and its economic model
is based on the principle
											of protection, sanitation
and beautification of the corpse.
											Whether they mean to or not,
											the funeral industry promotes
this idea of human exceptionalism.
											It doesn't matter what it takes,
											how much it costs,
											how bad it is for the environment,
											we're going to do it
because humans are worth it!
											It ignores the fact
											that death can be an emotionally messy
and complex affair,
											and that there is beauty in decay —
											beauty in the natural return
to the earth from whence we came.
											Now, I don't want you to get me wrong —
											I absolutely understand
the importance of ritual,
											especially when it comes
to the people that we love.
											But we have to be able
to create and practice this ritual
											without harming the environment,
											which is why we need new options.
									","
											Es una industria multimillonaria,
											y su modelo económico
se basa en el principio
											de protección, saneamiento
y el embellecimiento del cadáver.
											Quiérase o no,
											la industria funeraria promueve
esta idea de la excepcionalidad humana.
											No importa lo que lleve,
											cuanto cuesta,
											lo malo que es para el ambiente,
											lo haremos porque 
¡los humanos valen la pena!
											Eso ignora el hecho de que
											la muerte puede ser emocionalmente 
desordenada y un asunto complejo,
											y que hay belleza en la decadencia...
											belleza en el retorno natural
a la tierra de donde venimos.
											Pero no quiero que me malinterpreten,
											entiendo totalmente
la importancia del ritual,
											sobre todo cuando se trata
de la gente que amamos.
											Pero tenemos que poder crear 
y practicar este ritual
											sin dañar el ambiente,
											por lo que necesitamos nuevas opciones.
									","
											É uma indústria multimilionária,
											cujo modelo económico se baseia
											no princípio da proteção, da higienização
e do embelezamento do cadáver.
											Queiram eles ou não,
											a indústria funerária promove essa
ideia de excecionalismo humano.
											Não importa o que seja preciso,
quanto custa,
											ou quão ruim isso seja para o ambiente,
											nós iremos fazê-lo
porque os seres humanos merecem isso!
											Ignora-se o facto
											de que a morte pode ser um assunto
complexo e emocionalmente embaraçoso
											e que há beleza na decomposição.
											beleza no retorno natural à terra
da qual viemos.
											Não quero que me entendam mal
											Eu reconheço absolutamente
a importância do ritual,
											especialmente quado se trata
das pessoas que amamos.
											Mas nós temos que sermos capazes
de criar e praticar este ritual
											sem prejudicar o ambiente
											e é por isso que precisamos
de novas opções.
									","
											Es ist eine milliardenschwere Industrie,

											deren Erfolg auf dem Schutz, der Reinigung
und der Verschönerung von Leichen basiert.
											Ob mit Absicht oder nicht,
											die Bestattungsindustrie fördert das Bild
von menschlicher Einzigartigkeit.
											Völlig egal, was dazu nötig ist, was es
kostet oder wie umweltschädlich es ist,
											wir machen es, weil Menschen es wert sind!
											Dabei wird ignoriert, dass der Tod eine
chaotische und komplexe Angelegenheit ist.
											Ebenso wie die Tatsache, dass
Verwesung auch etwas Schönes hat —
											die Schönheit der natürlichen Rückkehr
zu der Erde, aus der wir kamen.
											Verstehen Sie mich nicht falsch,
											mir ist die Bedeutung
von Ritualen völlig bewusst,
											besonders wenn es um
Menschen geht, die wir lieben.
											Aber wir sollten in der Lage sein,
dieses Ritual durchzuführen,
											ohne dabei die Umwelt zu belasten.
											Deshalb müssen wir
neue Möglichkeiten finden.
									","
											Bu milyon dolarlık bir iş sahası.
											Ekonomik olarak model
aldığı şey ise cesedin
											korunması, temizlenmesi
ve güzelleştirilmesi ilkesi.
											Niyetleri ne olursa olsun
											cenaze endüstrisi insanların 
istisna sayılması ilkesini destekler.
											Ne kadar süreceği,
											neye mal olacağı,
											çevreye etkileri önemli değildir.
											Bunu yapacağız, çünkü buna değeriz!
											Ölümün yıkıcı 


											ve karmaşık bir doğası
olduğunu görmezden geliriz.
											Çürümenin güzelliğini de.
											Geldiğimiz yere, toprağa 
dönüşün güzelliğini de.
											Şimdi yanlış anlamayın beni.
											Cenaze töreninin önemini
kesinlikle anlıyorum,
											özellikle de sevdiklerimiz 
söz konusu olduğunda.
											Fakat bu töreni çevremize zarar vermeden
											gerçekleştirmemiz gerekiyor.
											Bu yüzden yeni seçeneklere 
ihtiyacımız var.
									",A burial practice that nourishes the planet,Caitlin Doughty,11:54,"animals,choice,bacteria,death,ecology,environment,family,green,humanity,pollution,nature,potential,sanitation,society,social change,TEDMED"
"
","
","
","
","
",A burial practice that nourishes the planet,Caitlin Doughty,11:54,"animals,choice,bacteria,death,ecology,environment,family,green,humanity,pollution,nature,potential,sanitation,society,social change,TEDMED"
"
											So let's return to the idea of protection,
sanitation and beautification.
											We'll start with a dead body.
											The funeral industry
will protect your dead body
											by offering to sell your family a casket
made of hardwood or metal
											with a rubber sealant.
											At the cemetery, on the day of burial,
that casket will be lowered
											into a large concrete or metal vault.
											We're wasting all of these resources —
concretes, metal, hardwoods —
											hiding them in vast
underground fortresses.
											When you choose burial at the cemetery,
											your dead body is not coming anywhere
near the dirt that surrounds it.
											Food for worms
											you are not.
									","
											Así que volvamos a la idea de protección,
saneamiento y embellecimiento.
											Empezaremos con un cadáver.
											La industria funeraria 
protegerá su cadáver
											ofreciendo vender a su familia 
un ataúd de madera dura o metal
											con un sellador de caucho.
											En el cementerio, el día del entierro,
ese ataúd será bajado
											a una gran bóveda de hormigón o metal.
											Estamos desperdiciando estos recursos
- hormigón, metal, maderas duras -
											ocultándolos en vastas
fortalezas subterráneas.
											Cuando uno elige el entierro 
en el cementerio,
											el cadáver no llega a ninguna parte
en la tierra que lo rodea.
											Alimento para gusanos,
											no serán.
									","
											Então, vamos retornar à ideia de proteção,
higienização e embelezamento.
											Começaremos com o cadáver.
											A indústria funerária
protegerá seu cadáver
											oferecendo à família um caixão
feito de madeira ou metal
											vedado com borracha.
											No cemitério, no dia do enterro,
esse caixão será colocado
											dentro de um grande jazigo de
betão ou de metal.
											Nós estamos a desperdiçar todos estes
recursos — betão, metal, madeiras —
											escondendo-os em vastas
fortalezas subterrâneas.
											Se optarmos por um enterro
num cemitério,
											o nosso cadáver não chegará nem perto
da terra que o rodeia.
											Comida para minhocas?
											É coisa que não seremos.
									","
											Kehren wir nochmal zu den Themen Schutz,
Reinigung und Verschönerung zurück.
											Wir beginnen mit dem Leichnam.
											Die Bestattungsindustrie
schützt ihren Leichnam,
											indem sie Ihrer Familie einen
Sarg aus Hartholz oder Metall
											mit Dichtungsmaterial aus Gummi verkauft.
											Am Friedhof wird der Sarg dann
in ein großes Grabgewölbe
											aus Beton oder Metall hinabgelassen.
											Wir verschwenden all diese Rohstoffe
— Beton, Metall, Hartholz —
											indem wir sie in riesigen,
unterirdischen Festungen verstecken.
											Wenn Sie eine Beerdigung
am Friedhof wählen,
											dann kommt ihr Leichnam
nicht mal in die Nähe der Erde.
											Futter für Würmer werden
Sie garantiert nicht.
									","
											Yine koruma, temizlik ve güzellik
kavramlarına dönelim.
											Ölü bir bedenle başlayalım.
											Cenaze endüstrisi cenazenizi

											kauçuk yalıtkanlı metal veya 
ahşap bir tabutla
											defnetmenizi önerecektir.
											Mezarlıkta, defin günü bu tabut
aşağıya, içi metal döşeli
											bir mezara indirilecek.
											Beton, metal ve ahşap gibi
bütün bu kaynakları harcayıp
											ölülerimizi dev yeraltı kalelerinde 
muhafaza ediyoruz.
											Mezarlıkta defni seçtiyseniz
											naaşınız etraftaki toprağa değmez bile.
											Bedeniniz kurda kuşa yem olmaz,
											toprağa karışmaz.
									",A burial practice that nourishes the planet,Caitlin Doughty,11:54,"animals,choice,bacteria,death,ecology,environment,family,green,humanity,pollution,nature,potential,sanitation,society,social change,TEDMED"
"
","
","
","
","
",A burial practice that nourishes the planet,Caitlin Doughty,11:54,"animals,choice,bacteria,death,ecology,environment,family,green,humanity,pollution,nature,potential,sanitation,society,social change,TEDMED"
"
											Next, the industry will sanitize
your body through embalming:
											the chemical preservation of the dead.
											This procedure drains your blood
											and replaces it with a toxic,
cancer-causing formaldehyde.
											They say they do this
for the public health
											because the dead body can be dangerous,
											but the doctors in this room will tell you
											that that claim would only apply
											if the person had died of some wildly
infectious disease, like Ebola.
											Even human decomposition,
which, let's be honest,
											is a little stinky and unpleasant,
											is perfectly safe.
											The bacteria that causes disease
is not the same bacteria
											that causes decomposition.
									","
											Luego, la industria desinfectará
el cuerpo mediante embalsamamiento:
											la preservación química de los muertos.
											Este procedimiento drena la sangre
											y la sustituye por un formaldehído 
cancerígeno, tóxico.
											Dicen que lo hacen por la salud pública
											porque el cadáver puede ser peligroso,
											pero los médicos de esta sala les dirán
											que esto solo sería así
											si la persona hubiera muerto de alguna 
enfermedad infecciosa, como el Ébola.
											Incluso la descomposición humana
que, seamos honestos,
											es un algo apestoso y desagradable,
											es perfectamente segura.
											Las bacterias que causan enfermedad
no son las mismas bacterias
											que causan descomposición.
									","
											Próximo ponto. A indústria higienizará
o cadáver através do embalsamento:
											a preservação química dos mortos.
											Esse procedimento retira o sangue
											e substitui-o com formaldeído,
que é tóxico e cancerígeno.
											Dizem que fazem isso
por uma questão de saúde pública,
											porque o cadáver pode ser perigoso,
											mas os médicos aqui na sala
poderão dizer
											que isso só se aplica
											se a pessoa morreu devido a uma
doença infecciosa, como o Ébola.
											Mesmo a decomposição humana,
que, vamos ser honestos,
											é um pouco fedorenta e desagradável,
											é perfeitamente segura.
											As bactérias que causam a doença
não são as mesmas bactérias
											que causam a decomposição.
									","
											Als nächstes folgt die Reinigung
Ihres Leichnams durch Einbalsamierung:
											Die chemische Konservierung der Toten.
											Dabei wird das Blut
aus Ihrem Körper entleert
											und durch ein giftiges,
krebserregendes Formaldehyd ersetzt.
											Es wird behauptet, das sei
zum Wohl der öffentlichen Gesundheit,
											weil ein Leichnam gefährlich sein kann.
											Aber die Ärzte hier wissen,
dass das nur der Fall ist,
											wenn die Person an einer hochansteckenden
Krankheit, wie etwa Ebola, verstarb.
											Menschliche Verwesung riecht zwar
übel, aber stellt keinerlei Gefahr dar.
											Krankheitserregende Bakterien sind
andere als jene, die für Verwesung sorgen.
									","
											Dahası, cenaze endüstrisi,
bir çeşit mumyalama tekniğiyle
											bedeninizi kimyasal olarak korur.
											Bu işlemde vücuttaki kan boşaltılır,
											yerine toksik, kanserojen 
formaldehid koyulur.
											Toplum sağlığı için
yaptıklarını söylerler,
											çünkü ölü beden tehlikeli olabilir.
											Ama etrafta bir doktor olsa,
											bu iddia ancak ölen,
											Ebola tarzı bulaşıcı bir 
hastalık taşırsa mümkün der.
											Dürüst olmak gerekirse,
oldukça nahoş ve kötü kokulu
											bir süreç olan bedenin çürümesi
											bile gayet güvenlidir.
											Hastalığa yol açan bakterinin,
çürüyen bedendeki ile
											alakası yoktur.
									",A burial practice that nourishes the planet,Caitlin Doughty,11:54,"animals,choice,bacteria,death,ecology,environment,family,green,humanity,pollution,nature,potential,sanitation,society,social change,TEDMED"
"
","
","
","
","
",A burial practice that nourishes the planet,Caitlin Doughty,11:54,"animals,choice,bacteria,death,ecology,environment,family,green,humanity,pollution,nature,potential,sanitation,society,social change,TEDMED"
"
											Finally, the industry
will beautify the corpse.
											They'll tell you that the natural
dead body of your mother or father
											is not good enough as it is.
											They'll put it in makeup.
											They'll put it in a suit.
											They'll inject dyes so the person
looks a little more alive —
											just resting.
											Embalming is a cheat code,
											providing the illusion that death
and then decay are not the natural end
											for all organic life on this planet.
									","
											Por último, la industria
embellecerá el cadáver.
											Dirá que el cadáver natural 
de tu madre o de tu padre
											no es bueno tal como es.
											Le pondrá maquillaje.
											Le pondrá un traje.
											Le inyectará tintes para que la persona
parezca un poco más viva...
											solo descansa.
											El embalsamamiento es un truco
											que da la ilusión de que la muerte
y la decadencia no son el fin natural
											de la vida orgánica en el planeta.
									","
											Finalmente, a indústria irá
embelezar o cadáver.
											Dirão que o cadáver natural
da sua mãe ou pai
											não está bem da forma que está.
											Vão maquilhá-lo.
											Vão vestir-lhe um fato.
											Vão injetar corantes para a pessoa
parecer um pouco mais viva,
											apenas a descansar.
											O embalsamamento é uma trapaça,
											criando a ilusão de que a morte
e a decomposição não são o fim natural
											para toda a vida orgânica neste planeta.
									","
											Schlussendlich wird Ihr
Leichnam noch verschönert.
											Ihnen wird gesagt,
											der natürliche Leichnam Ihrer Mutter
oder Ihres Vaters wäre so nicht gut genug.
											Es wird Make-up aufgetragen.
											Der Leichnam wird in einen Anzug gesteckt.
											Es werden künstliche Farbstoffe injiziert,
damit die Person lebendiger aussieht —
											so als würde sie schlafen.
											Einbalsamierung schafft die Illusion,
											Tod und Verwesung wären
nicht das natürliche Ende
											allen organischen Lebens
auf diesem Planeten.
									","
											Son olarak, cenaze endüstrisi
cesedi güzelleştirir.
											Size, annenizin ya da babanızın
ölü bedeninin bu hâliyle
											yeterince iyi olmadığını söylerler.
											Cesede makyaj yaparlar.
											Bir takım elbiseye sokarlar.
											Hatta daha canlı görünsün
diye boya enjekte ederler.
											Huzur içinde dinlensin.

											Mumyalama da işin aldatmacası.
											Ölüm ve sonrası çürümenin bu
gezegendeki organik hayatın,
											doğal bir sonucu olmadığı
yanılsaması için.
									",A burial practice that nourishes the planet,Caitlin Doughty,11:54,"animals,choice,bacteria,death,ecology,environment,family,green,humanity,pollution,nature,potential,sanitation,society,social change,TEDMED"
"
","
","
","
","
",A burial practice that nourishes the planet,Caitlin Doughty,11:54,"animals,choice,bacteria,death,ecology,environment,family,green,humanity,pollution,nature,potential,sanitation,society,social change,TEDMED"
