es,pt,de,title,speaker,duration,tags
"
											Así que, en este punto, 
tenía dos posibles estrategias
											que estaba ideando:
											Uno, puedo seguir 
el consejo de mi abuela
											y esperar lo menos esperado
											hasta encontrarme con uno
											de esos 35 hombres
											de entre los 1.5 millones
de personas en Filadelfia,
											o podría probar 
las citas por Internet.
											Claro, me gusta la idea 
de las citas por Internet
											porque todo se basa 
en un algoritmo,
											y eso es sólo una 
forma fácil de decir:
											Tengo un problema,
voy a usar algunos datos,
											analizarlos con un sistema
											y obtener una solución.
											Las citas por Internet son 
la segunda forma más común
											en que las personas 
se conocen en la actualidad,
											pero resulta que 
los algoritmos han existido
											durante miles de años 
en casi todas las culturas.
											De hecho, en el judaísmo, 
existían los casamenteros
											hace mucho tiempo, y aunque
											no tenían un algoritmo 
explícito tal cual,
											sin duda utilizaban 
fórmulas mentales
											del tipo, ""¿A la chica le gustará este chico?""
											""¿Se llevarán bien las familias?""
											""¿Qué pensará el rabino?""
											""¿Tendrán hijos pronto?""
											Así que el casamentero tenía 
todo esto en cuenta más o menos,
											juntaba a dos personas, y listo.
											Así que en mi caso, pensé,
											""¿conseguirán esos datos y un algoritmo
											llevarme hasta mi Príncipe Azul?""
											Así que decidí registrarme.
									","
											Ou seja, tenho duas possíveis estratégias 
neste momento,
											mas ainda estou a decidir qual das duas escolher.
											Primeira, posso seguir o conselho da minha avó
											e tentar, num golpe de sorte,
											chocar com um
											dos 35 homens possíveis em toda
											a cidade de Filadélfia, com os seus 
1,5 milhões de habitantes,
											ou poderia tentar um ""site"" de encontros ""online"".
											Enfim, eu gosto da ideia de encontros ""online"",
											porque se baseia num algorítimo,
											o que é uma forma simples de dizer:
											""Tenho um problema, vou usar algumas informações,
											""fazê-las correr num sistema
											e chegar a uma solução.""
											Neste momento, os ""sites"" de encontros ""online"" 
são o segundo método mais popular
											para as pessoas se conhecerem,
											mas na realidade, os algorítimos têm estado presentes
											em todas as culturas, desde há milhares de anos.
											De facto, no judaísmo, há muito tempo atrás
											havia casamenteiros, e apesar de eles
											não terem um algorítimo explícito por si só,
											faziam correr definitivamente fórmulas 
nas suas cabeças,
											como por exemplo: ""Será que a rapariga 
vai gostar do rapaz?""
											""Será que as famílias se vão dar bem?""
											""O que é que o rabino vai dizer?""
											""Será que vão ter já um filho?""
											E o casamenteiro iria pensar em tudo isto,
											juntar duas pessoas, e estaria o assunto encerrado.
											Por isso, pus-me a pensar,
											será que a informação e os algorítimos
											me levarão ao Príncipe Encantado?
											Então decidi inscrever-me.
									","
											Ich hatte also zwei mögliche Strategien,
											die ich irgendwie versuchte auszuknobeln.
											Erstens kann ich den Rat 
meiner Großmutter befolgen
											und versuchen, nicht zu erwarten,
											einen dieser 35 möglichen
Männer in Philadelphia,
											wo 1,5 Mio. Menschen
leben, zufällig zu treffen,
											oder ich versuche es mit Online-Dating.
											Also ich mag ja das Konzept 
hinter Online-Dating,
											da es auf einem Algorithmus basiert,
											oder anders ausgedrückt:
											Ich habe ein Problem,
ich verwende ein paar Daten,
											rechne sie durch
											und komme dann zu einer Lösung.
											Online-Dating ist die 
zweit meistverbreitete Methode,
											wie sich Menschen heutzutage kennenlernen,
											aber eigentlich gibt es Algorithmen
											bereits seit Tausenden von Jahren 
in fast jeder Kultur.
											Im Judentum gab es schon
vor langer Zeit Heiratsvermittler.
											Sie hatten zwar keinen
expliziten Algorithmus,
											aber sie gingen alle Möglichkeiten 
im Kopf durch, wie z. B.:
											Wird das Mädchen den Jungen mögen?
											Werden die Familien miteinander auskommen?
											Was wird der Rabbi sagen?
											Werden sie sofort Kinder bekommen?
											Die Heiratsvermittler 
dachten all dies durch,
											brachten zwei Menschen zusammen 
und das war‘s dann.
											Ich überlegte also:
											Würden Daten und ein Algorithmus
											mich zu meinem Märchenprinzen führen?
											Ich beschloss, mich anzumelden.
									",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
"
","
","
",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
"
											Pero, había un pequeño problema.
											En la época en que me registré 
en varios sitios web,
											me encontraba muy, muy ocupada.
											Pero ese no era 
el mayor problema.
											El mayor problema es que odio
											rellenar cuestionarios 
de cualquier tipo,
											y definitivamente no 
me gustan los cuestionarios
											del tipo como las encuestas 
de Cosmopolitan.
											Así que, simplemente,
copié y pegué de mi currículum.
									","
											Há apenas um pequeno detalhe.
											Como me estava a inscrever 
em vários ""sites"" de encontros,
											estava muito, muito ocupada.
											Mas isso não era o problema maior.
											O problema maior é que odeio
											preencher questionários de qualquer tipo,
											e, acima de tudo, não gosto de questionários
											que se pareçam com questionários da Cosmo.
											Por isso, limitei-me a pegar no meu CV 
e copiei a informação.
									","
											Da gab es nur einen kleinen Haken.
											Zu dem Zeitpunkt meiner Anmeldung 
auf verschiedenen Dating-Webseiten
											hatte ich wirklich viel zu tun.
											Aber das war nicht einmal
das größte Problem.
											Das größte Problem war,
dass ich es hasse,
											Fragebögen aller Art auszufüllen,
											und ich mag auf jeden Fall 
keine Fragebögen,
											die wie die Tests der Cosmopolitan sind.
											Also habe ich einfach etwas 
von meinem Lebenslauf rein kopiert.
									",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
"
","
","
",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
"
											(Risas)
									","
											(Risos)
									","
											(Lachen)
									",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
"
","
","
",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
"
											Así que en la parte 
de descripción de arriba,
											decía que era 
una periodista premiada
											y una pensadora a futuro.
											Donde me preguntaban 
sobre actividades de ocio
											y mi cita ideal, contesté con monetización
											y fluidez en japonés.
											Hablé mucho sobre el código Java.
									","
											Na parte descritiva do topo,
											disse que era uma jornalista a quem 
já tinham sido atribuídos prémios
											e uma pensadora do futuro.
											Quando me perguntaram 
acerca do que fazia para me divertir
											e do meu encontro ideal, eu disse que 
era a monetização
											e fluência em japonês.
											Falei muito acerca de Javascript.
									","
											In der Beschreibung schrieb ich,
											dass ich eine 
preisgekrönte Journalistin sei
											und jemand, der auf
die Zukunft ausgerichtet ist.
											Bei Freizeitaktivitäten
											und meinem idealen Partner 
habe ich Monetarisierung
											und fließendes Japanisch eingetragen.
											Ich habe viel über JavaScript erzählt.
									",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
"
","
","
",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
"
											Desde luego, esa no era la mejor forma
											de presentar mi versión más sexy.
											Pero la verdadera falla era que
											habían muchos hombres
con quienes podías salir.
											Esos algoritmos tenían 
un mar lleno de hombres
											que querían invitarme 
a salir en muchas citas,
											citas que resultaron auténticos
desastres, por cierto.
											Por ejemplo, Steve, 
el chico informático.
											El algoritmo nos emparejó
											porque compartíamos un amor 
por los aparatos electrónicos,
											y las matemáticas, y los datos
y la música de los 80.
											Así que acepté salir con él.
											Así que Steve, el informático, me llevó
											a uno de los restaurantes más refinados
											y extremadamente 
caros de Filadelfia.
											Así que entramos y al principio,
											nuestra conversación 
no estaba tomando vuelo,
											pero él pidió un montón de comida.
											En realidad, ni siquiera 
se molestó con mirar el menú.
											Pidió varios aperitivos,
											múltiples entradas, 
también para mí,
											y de repente aparecieron
montañas de comida en nuestra mesa,
											y también muchas botellas de vino.
											Así que estamos casi
al final de nuestra conversación
											y al final de la cena, decidí
											que Steve, el informático, y yo
no estábamos hechos el uno para el otro,
											pero que nos despediríamos como amigos,
											Entonces, él se levanta 
para ir al baño,
											y mientras tanto, traen 
la cuenta a nuestra mesa.
											Y escuchen, soy una mujer moderna.
											Estoy totalmente de 
acuerdo en dividir la cuenta,
											pero Steve, el informático, 
no regresó. (Suspiro)
											Y eso fue un mes 
completo de mi renta.
											Así que no hace falta decirlo, 
no estaba teniendo una buena noche.
											Así que corro a casa, llamo 
a mi madre, a mi hermana,
											y como siempre hago 
al final de cada una
											de esas citas totalmente horrribles,
											les cuento cada detalle.
									","
											Por isso, obviamente que esta não foi 
a melhor forma
											de mostrar o meu lado mais sexy.
											Mas o problema real é que
											havia muitos homens para terem encontros comigo.
											Esses algorítimos eram um mar de homens
											que me queriam levar em muitos encontros —
											que se revelaram encontros 
verdadeiramente horrorosos.
											Havia um rapaz chamado Steve, 
o rapaz da Informática.
											O algorítimo juntou-nos
											porque partilhamos a paixão pelos 
dispositivos tecnológicos,
											a paixão pela matemática e informação 
e pela música dos anos 80,
											por isso, acedi a sair com ele.
											E foi assim que o Steve, o rapaz das tecnologias 
da informática, me convidou para jantar
											num dos restaurantes requintados
											e extremamente caros de Filadélfia.
											Entrámos e, desde o início,
											a conversa não estava a evoluiu muito,
											mas ele estava a pedir muita comida.
											De facto, ele nem sequer se deu ao trabalho 
de olhar para a ementa.
											Pediu muitos aperitivos,
											várias entradas, tanto para ele como para mim,
											e, de repente, há pilhas e pilhas de comida 
na nossa mesa,
											e também muitas garrafas de vinho.
											Praticamente no fim da nossa conversa
											e no final do jantar, eu decido
											que o Steve, o rapaz da informática, 
e eu, não fomos feitos um para o outro
											mas que nos despediríamos como amigos.
											Entretanto, ele levanta-se para ir à casa de banho,
											e a conta vem para a mesa.
											E reparem, eu sou uma mulher moderna,
											sou totalmente a favor de dividirmos a conta.
											Mas o Steve da informática, não voltou.
											E a conta foi uma renda mensal...
											Escusado será dizer, não estava a ter 
uma boa noite.
											Por isso corri para casa, liguei à minha mãe, 
liguei à minha irmã,
											e como sempre faço, no fim desses encontros
											verdadeiramente horríveis,
											deliciei-as com os detalhes.
									","
											Das war offensichtlich nicht 
die beste Methode,
											mich von meiner
attraktivsten Seite zu zeigen.
											Aber der eigentliche Reinfall war,
											dass es sehr viele Männer gab, 
die mit mir ausgehen wollten.
											Diese Algorithmen hatten Männer
für mich wie Sand am Meer,
											die mich ausführen wollten —
											aber diese Abende sollten sich 
als äußerst grauenhaft herausstellen.
											Da war dieser Typ Steve, der IT-Typ.
											Der Algorithmus brachte uns zusammen,
											weil wir beide Gadgets lieben,
											wir mögen Mathe, Daten
und Musik aus den 80ern,
											also stimmte ich zu, mit ihm auszugehen.
											Also lud mich Steve, der IT-Typ,
											in eines von Philadelphias 
Nobelrestaurants ein,
											ein äußerst teures Restaurant.
											Wir gingen hinein 
und schon zu Anfang
											lief unser Gespräch 
eigentlich nicht so gut,
											aber er bestellte total viel Essen.
											Er schaute nicht einmal in die Karte.
											Er bestellte mehrere Appetizer,
											mehrere Vorspeisen, für mich gleich mit,
											und plötzlich stand jede Menge
Essen auf unserem Tisch,
											und viele Flaschen Wein.
											Wir kamen zum Ende unseres Gesprächs
											und zum Ende des Abends und ich entschied,
											dass Steve, der IT-Typ, und ich nicht 
für einander bestimmt waren
											aber wir sicherlich als Freunde 
auseinander gehen werden,
											als er aufsteht, um auf Toilette zu gehen.
											Derweil kommt die Rechnung an den Tisch.
											Also ich bin ja nun wirklich 
eine moderne Frau.
											Für mich ist es voll in Ordnung, 
die Rechnung zu teilen.
											Aber dann kam Steve, der IT-Typ, 
nicht mehr zurück. (Schnaufen)
											Das war eine ganze Monatsmiete.
											Natürlich brauche ich
Ihnen nicht zu sagen,
											dass ich keinen schönen Abend hatte.
											Ich rannte nach Hause, rief meine
Mutter an, rief meine Schwester an,
											und wie immer am Ende dieser
schrecklichen, schrecklichen Abende
											erzähle ich ihnen jedes Detail.
									",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
"
","
","
",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
"
											Y ellas me dicen:
											""Deja de quejarte"".
											(Risas)
											""Simplemente, eres demasiado exigente"".
									","
											E aí elas dizem-me:
											""Pára de te queixar"".
											(Risos)
											""Estás a ser demasiado exigente"".
									","
											Und sie sagen dann:
											""Hör auf dich zu beschweren.""
											(Lachen)
											""Du bist einfach zu wählerisch.""
									",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
"
","
","
",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
"
											Así que me dije: 
""Bien, a partir de ahora,
											solo saldré en citas
											en las que sepa que habrá 
wi-fi y llevaré mi portátil.
											Lo meteré en el bolso
											y voy a tener una plantilla para emails,
											y la rellenaré y recopilaré información
											sobre todos los 'puntos 
de datos' durante la cita
											para probar a todos que, empíricamente,
											mis citas son realmente horribles. (Risas)
											Así que empecé a anotar cosas como
											comentarios sexuales verdaderamente
estúpidos e incómodos;
											malas palabras;
											el número de veces que un hombre
me obligaba a chocarle la mano.
									","
											Então decidi que, a partir daí,
											apenas aceitaria ir a encontros onde soubesse
											que havia wi-fi, e que ia levar o meu computador.
											Vou enfiá-lo na minha mala
											e vou criar um modelo de ""email"",
											que vou preencher e onde vou recolher informação
											acerca de todos estes diferentes tópicos 
durante o encontro
											para provar a toda a gente, empiricamente,
											que esses encontros são verdadeiramente horríveis. (Risos)
											Então comecei por localizar coisas como
											comentários muito estúpidos, estranhos, sexuais,
											palavrões;
											o número de vezes que um homem me obrigou 
a dar-lhe ""mais cinco""
									","
											Also sagte ich, okay, von nun an
											gehe ich nur noch mit
Männern aus, wenn ich weiß,
											dass es WLan gibt und ich 
meinen Laptop mitnehmen kann.
											Ich werde ihn in meine Tasche stecken
											und ich werde 
diese E-Mail-Vorlage benutzen.
											Ich werde sie ausfüllen und Informationen
											über all diese verschiedenen
Punkte sammeln,
											um allen zu beweisen,
											wie schrecklich diese Abende 
wirklich sind. (Lachen)
											Ich habe dann so Dinge vermerkt
											wie dumme, seltsame, sexuelle Bemerkungen;
											schlechter Wortschatz;
											die Anzahl, wie oft mich ein Mann 
gezwungen hat, ihn abzuklatschen.
									",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
"
","
","
",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
"
											(Risas)
									","
											(Risos)
									","
											(Lachen)
									",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
"
","
","
",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
"
											Así que comencé 
a hacer cuentas,
											y eso me permitió 
encontrar ciertas relaciones.
											Así que, resulta
											que por alguna razón, los hombres 
que beben whisky escocés
											hablan de sexo fetichista de inmediato.
									","
											A partir daí, comecei a trabalhar alguns números,
											o que me permitiu fazer fazer algumas correlações.
											Aparentemente,
											por algum motivo, homens que bebem whisky
											fazem referência a sexo excêntrico imediatamente.
									","
											Also fing ich an, 
die Zahlen zu analysieren,
											und einige Korrelationen zu berechnen.
											Ich fand z. B. heraus,
											dass Männer, die Scotch trinken, 
aus irgendeinem Grund
											sofort perversen Sex erwähnen.
									",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
"
","
","
",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
"
											(Risas)
									","
											(Risos)
									","
											(Lachen)
									",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
"
","
","
",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
"
											Y resulta que, probablemente,
											estos no eran malos tipos.
											Sólo que no eran para mí.
											Y resulta que los algoritmos 
que nos unieron
											tampoco estaban mal.
											Hicieron exactamente
											aquello para lo que 
fueron diseñados,
											que era utilizar nuestra 
información de usuario,
											en mi caso, mi currículum,
											y contrastarlo con 
los datos de otras personas.
											Así que, el problema 
de verdad es que,
											aunque los algoritmos 
funcionan perfectamente,
											nosotros no los usamos correctamente, 
cuando nos encontramos
											frente a ventanas en blanco 
en las que se supone
											debemos introducir 
nuestra información en línea.
											Muy pocos de nosotros 
tenemos la habilidad
											de ser brutal y totalmente
honestos con nosotros mismos.
											El otro problema es que 
estas páginas web nos preguntan
											cosas como, ""¿te gustan 
los perros o los gatos?""
											""¿Te gustan las películas 
románticas o de terror?""
											No busco un amigo 
por correspondencia.
											Busco un marido, ¿cierto?
											Así que hay bastante información 
superficial en esos datos.
									","
											Acontece que esses
											provavelmente não eram maus rapazes.
											Eram apenas maus para mim.
											E a questão é que os algorítimos 
que nos estavam a juntar
											também não eram maus.
											Esses algoritmos estavam a fazer
											exatamente o que foram concebidos para fazer,
											que era utilizar a informação gerada 
pelo nosso utilizador,
											no meu caso, o meu currículo,
											e juntá-la com a informação de outras pessoas.
											Reparem, o verdadeiro problema aqui é que
											enquanto que os algoritmos funcionam na perfeição,
											nós os dois não funcionamos, quando confrontados
											com espaços em branco, onde é suposto
											introduzirmos a nossa informação ""online"".
											Há muito poucas pessoas que tenham a capacidade
											de ser totalmente e brutalmente honestas 
consigo mesmas.
											O outro problema é que esses ""sites"" nos fazem
											questões como: ""Gostas de cães ou de gatos?""
											""Gostas de filmes de terror ou de romance?""
											Eu não estou à procura de um amigo 
por correspondência.
											Estou à procura de um marido. Certo?
											Por isso, há uma certa superficialidade 
naquela informação.
									","
											Diese Typen sind wahrscheinlich
keine schlechten Männer.
											Sie sind nur nicht die Richtigen für mich.
											Die Algorithmen, 
die uns zusammenbrachten,
											sind auch nicht schlecht.
											Diese Algorithmen machten genau das,
											wofür man sie entwickelt hatte,
											nämlich die vom User 
eingetragenen Informationen,
											also meinen Lebenslauf,
											mit den Informationen anderer abzustimmen.
											Das eigentliche Problem ist,
											dass die Algorithmen funktionieren,
											aber du und ich nicht,
											wenn wir mit weißen Feldern
konfrontiert sind,
											in die wir online unsere
Informationen schreiben sollen.
											Sehr wenige von uns haben die Fähigkeit,
											brutal ehrlich mit sich selbst zu sein.
											Das andere Problem ist, 
dass diese Webseiten
											Fragen stellen wie: Mögen Sie
lieber Hunde oder Katzen?
											Mögen Sie Horrorfilme oder Liebesfilme?
											Ich suche keinen Brieffreund,
sondern einen Ehemann.
											Eine gewisse Menge an Informationen 
ist zu oberflächlich.
									",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
"
","
","
",How I hacked online dating,Amy Webb,17:27,"algorithm,culture,data,love,technology"
