en,tr,es,pt,title,speaker,duration,tags
"
											Using this website,
											we were able to connect 125 million people
											into a single family tree.
											I cannot draw the tree
on the screens over here
											because they have less pixels
											than the number of people in this tree.
											But here is an example of a subset
of 6,000 individuals.
											Each green node is a person.
											The red nodes represent marriages,
											and the connections represent parenthood.
											In the middle of this tree,
you see the ancestors.
											And as we go to the periphery,
you see the descendants.
											This tree has seven
generations, approximately.
									","
											Bu internet sitesini kullanarak
											125 milyon insanı tek bir soyağacı ile
birleştirmeyi başardık.
											Ağacı burdaki ekranda çizemem
											çünkü bu ağaçtaki insan sayısından
daha az piksele sahipler.
											Ancak size 6 bin bireyin 
bir alt kümesinin örneğini göstereyim.
											Her yeşil düğüm, bir kişi.
											Kırmızı düğümler evlilikleri temsil ediyor
											ve bağlantılar ebeveynliği temsil ediyor.
											Bu ağacın tam ortasında 
ataları görebilirsiniz
											ve dış kenarlara gittikçe 
torunlarını görebilirsiniz.
											Bu ağaçta tahmini olarak 7 nesil var.
									","
											Al usar esta página,
											pudimos conectar a
125 millones de personas
											en un solo árbol genealógico.
											No puedo dibujar el árbol
en estas pantallas
											porque tienen menos píxeles
											que el número de personas en el árbol.
											Pero aquí tengo un ejemplo de
un subconjunto de 6000 individuos.
											Cada nodo verde es una persona.
											Los nodos rojos representan matrimonios,
											y las conexiones representan paternidad.
											En el medio del árbol
pueden ver los ancestros.
											A medida que vamos hacia la periferia
verán los descendientes.
											Este árbol tiene, aproximadamente,
siete generaciones.
									","
											Usando este ""website"",
											pudemos interligar 125 milhões de pessoas
											numa única árvore genealógica.
											Não posso desenhar aqui
esta árvore num ecrã
											porque não há pixéis que cheguem
											para o número de pessoas desta árvore.
											Mas este é um exemplo
dum subconjunto de 6000 indivíduos.
											Cada nódulo verde é uma pessoa.
											Os nódulos vermelhos
representam os casamentos
											e as ligações representam os progenitores.
											No meio desta árvore,
vemos os antepassados.
											À medida que avançamos para a periferia,
vemos os descendentes.
											Esta árvore tem sete gerações,
aproximadamente.
									",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
","
","
","
",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
											Now, this is what happens
when we increase the number of individuals
											to 70,000 people —
											still a tiny subset
of all the data that we have.
											Despite that, you can already see
the formation of gigantic family trees
											with many very distant relatives.
									","
											Bireylerin sayısını 70 bin kişiye 
yükselttiğimizde ise işte bu oluyor —
											sahip olduğumuz tüm verinin
çok küçük bir alt kümesi.
											Buna rağmen birçok 
uzaktan akrabayla birlikte
											devasa soyağaçlarının oluşumunu 
şimdiden görebilirsiniz.
									","
											Esto es lo que pasa cuando aumentamos
el número de individuos
											hasta 70 000 personas...
											sigue siendo una pequeña parte
de los datos que tenemos.
											Aún así, pueden ver que se forman
árboles genealógicos enormes
											con muchos parientes lejanos.
									","
											Isto é o que acontece
quando aumentamos
											o número de indivíduos
para 70 000 pessoas,
											ainda um pequeno subconjunto
de todos os dados que temos.
											Apesar disso, já podemos ver
a formação de gigantescas árvores
											com parentes muito distantes.
									",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
","
","
","
",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
											Thanks to the hard work
of our genealogists,
											we can go back in time
hundreds of years ago.
											For example, here is Alexander Hamilton,
											who was born in 1755.
											Alexander was the first
US Secretary of the Treasury,
											but mostly known today
due to a popular Broadway musical.
											We found that Alexander has deeper
connections in the showbiz industry.
											In fact, he's a blood relative of ...
											Kevin Bacon!
									","
											Soy izleme uzmanlarımızın
sıkı çalışması sayesinde
											yüzlerce yıl önceye, geçmişe gidebiliriz.
											Örneğin 1755'te doğan Alexander Hamilton.
											Alexander, ABD'nin ilk hazine bakanıydı
											ancak günümüzde çoğunlukla popüler 
bir Broadway müzikaliyle tanınıyor.
											Alexander'ın eğlence sektöründe 
daha derin bağlantıları olduğunu bulduk.
											Aslında kan bağı var,
											Kevin Bacon'la!
									","
											Gracias al arduo trabajo 
de nuestros genealogistas,
											podemos retroceder en el tiempo
hasta cientos de años.
											Por ejemplo, aquí tenemos
a Alexander Hamilton,
											que nació en 1755.
											Alexander fue el primer
Secretario del Tesoro de EE.UU.
											pero hoy es conocido sobre todo
por un musical popular de Broadway.
											Descubrimos que Alexander tiene buenas
conexiones en el mundo del espectáculo.
											De hecho, es pariente de sangre de...
											¡Kevin Bacon!
									","
											Graças ao trabalho esforçado
dos nossos genealogistas,
											podemos recuar no tempo
centenas de anos.
											Por exemplo, este é Alexander Hamilton,
											que nasceu em 1755.
											Alexander foi o primeiro
Secretário do Tesouro dos EUA
											mas é mais conhecido hoje
devido a um musical da Broadway.
											Descobrimos que Alexander tem profundas
ligações com a indústria do espetáculo.
											Na verdade, é parente consanguíneo de...
											Kevin Bacon!
									",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
","
","
","
",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Risas)
									","
											(Risos)
									",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
","
","
","
",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
											Both of them are descendants
of a lady from Scotland
											who lived in the 13th century.
											So you can say that Alexander Hamilton
											is 35 degrees of Kevin Bacon genealogy.
									","
											Her ikisi de 13. yüzyılda yaşayan
											İskoçyalı bir hanımefendinin 
neslinden geliyor.
											Dolayısıyla Alexander Hamilton'ın
											Kevin Bacon soyağacında 35 derece
olduğunu söyleyebilirsiniz.
									","
											Ambos son descendientes
de una señora de Escocia
											que vivió en el siglo XIII.
											Así que se podría decir
que Alexander Hamilton
											tiene 35 grados de separación
con Kevin Bacon.
									","
											Ambos são descendentes
de uma senhora escocesa
											que viveu no século XIII.
											Assim, podemos dizer
que Alexander Hamilton
											tem 35 graus de genealogia
de Kevin Bacon.
									",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
","
","
","
",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Risas)
									","
											(Risos)
									",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
","
","
","
",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
											And our tree has millions
of stories like that.
									","
											Ağacımızın bunun gibi 
milyonlarca hikâyesi var.
									","
											Y nuestro árbol tiene
millones de historias como esa.
									","
											A nossa árvore tem milhões
de histórias destas.
									",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
","
","
","
",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
											We invested significant efforts
to validate the quality of our data.
											Using DNA, we found that .3 percent of
the mother-child connections in our data
											are wrong,
											which could match the adoption rate
in the US pre-Second World War.
									","
											Verilerimizin kalitesini doğrulamak için
önemli derecede çaba sarf ettik.
											DNA kullanarak verilerimizdeki
anne-çocuk bağlantılarının
											%3'ünün yanlış olduğunu bulduk
											ki bu, ABD'nin 2. Dünya Savaşı öncesindeki
evlat edinme oranlarıyla eşleşebilir.
									","
											Hemos puesto mucho esfuerzo
en validar la calidad de nuestros datos.
											Con el ADN descubrimos que 0,3 % de las
conexiones madre-hijo de nuestros datos
											son erróneas,
											lo que coincide con las tasas de adopción
en EE.UU. antes de la II Guerra Mundial.
									","
											Investimos esforços significativos
para validar a qualidade dos dados.
											Usando o ADN, descobrimos que 0,3%
das ligações mãe-filho nos nossos dados
											estão incorretos,
											o que coincide com a taxa de adoções
nos EUA, antes da II Guerra Mundial.
									",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
","
","
","
",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
											For the father's side,
											the news is not as good:
											1.9 percent of the father-child
connections in our data are wrong.
											And I see some people smirk over here.
											It is what you think —
											there are many milkmen out there.
											(Laughter)
											However, this 1.9 percent error rate
in patrilineal connections
											is not unique to our data.
											Previous studies found
a similar error rate
											using clinical-grade pedigrees.
											So the quality of our data is good,
											and that should not be a surprise.
											Our genealogists have
a profound, vested interest
											in correctly documenting
their family history.
									","
											Baba tarafı içinse
											haberler o kadar iyi değil.
											Verilerimizdeki baba-çocuk 
bağlantılarının %1,9'u yanlış.
											Bazı insanların burada 
sırıttığını görebiliyorum.
											Tam olarak da düşündüğünüz şey —
											dışarıda birçok sütçü var.
											(Gülüşmeler)
											Bununla beraber, bu babadan gelen 
bağlantılardaki %1,9'luk hata oranı
											verilerimize has bir şey değil.
											Önceki çalışmalar, kliniksel 
seviyedeki soyları kullanarak
											benzer bir hata oranı buldu.
											Bu yüzden verilerimizin kalitesi iyi
											ve bu bir sürpriz olmamalı.
											Bizim soy izleme uzmanlarımızın kendi 
soyağaçlarını doğru şekilde belgelemede
											çok derin, yetkili bir ilgileri var.
									","
											Por el lado paterno,
											las noticias no son tan buenas:
											1,9 % de las conexiones padre-hijo
de nuestros datos son erróneos.
											Veo que algunos se ríen.
											Es lo que piensan...
											hay muchos lecheros por ahí.
											(Risas)
											Sin embargo, esta tasa de error del 1,9 %
en las conexiones patrilineales
											no son únicas de nuestros datos.
											Estudios anteriores descubrieron
una tasa de error similar
											al usar genealogía clínica.
											Así que la calidad
de nuestros datos es buena
											y eso no debería sorprender.
											Nuestros genealogistas 
tienen un profundo interés
											en documentar correctamente
su historia familiar.
									","
											Do lado do pai,
											as notícias não são tão boas.
											Há 1,9% das ligações pai-filho
nos nossos dados que são incorretas.
											Vejo aqui algumas pessoas
com um sorriso amarelo.
											É o que estão a pensar,
											há aqui muitos cucos.
											(Risos)
											Mas este erro de 1,9%
nas ligações patrilineares
											não existe apenas nos nossos dados.
											Estudos anteriores encontraram
uma taxa semelhante de erro
											usando genealogias do foro clínico.
											Portanto, a qualidade
dos nossos dados é boa
											e isso não deve constituir uma surpresa.
											Os nossos genealogistas
têm um profundo interesse
											em documentar corretamente
a sua história de família.
									",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
","
","
","
",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
											We can leverage this data to learn
quantitative information about humanity,
											for example, questions about demography.
											Here is a look at all our profiles
on the map of the world.
											Each pixel is a person
that lived at some point.
											And since we have so much data,
											you can see the contours
of many countries,
											especially in the Western world.
											In this clip, we stratified
the map that I've showed you
											based on the year of births of individuals
from 1400 to 1900,
											and we compared it
to known migration events.
											The clip is going to show you
that the deepest lineages in our data
											go all the way back to the UK,
											where they had better record keeping,
											and then they spread along
the routes of Western colonialism.
											Let's watch this.
											(Music)
											[Year of birth: ]
											[1492 - Columbus sails the ocean blue]
											[1620 - Mayflower lands in Massachusetts]
											[1652 - Dutch settle in South Africa]
											[1788 - Great Britain penal
transportation to Australia starts]
											[1836 - First migrants use Oregon Trail]
											[all activity]
									","
											İnsanoğlu hakkında sayısal bilgi 
öğrenmek için bu veriyi kullanabiliriz,
											örneğin demografi hakkındaki sorular için.
											Burada dünya haritasında
bizim tüm profillerimiz bulunuyor.
											Her piksel belli bir noktada 
yaşamış bir insan.
											Çok fazla verimiz olduğundan dolayı
											birçok ülkenin hatlarını görebilirsiniz,
											özellikle de Batı dünyasını.
											Bu klipte 1400'lerden 1900'lere kadar olan
bireylerin doğum yıllarına dayanan
											size gösterdiğim haritayı 
sınıflara ayırdık
											ve bilinen göç olaylarıyla karşılaştırdık.
											Klip, daha iyi arşivciliğin olduğu
Birleşik Krallık'a kadar geri giden
											verilerimizdeki en eski soyları gösteriyor
											ve sonrasında Batı sömürgeciliğinin
rotası boyunca yayılıyorlar.
											Hadi bunu izleyelim.
											(Müzik)
											[Doğum yılı:]
											[1492 - Columbus, mavi okyanusa açılıyor.]
											[1620 - Mayflower, 
Massachusetts'e ayak basıyor.]
											[1652 - Hollandalılar, 
Güney Afrika'ya yerleşiyor.]
											[1788 - Britanya'nın Avustralya'ya
cezai taşımacılığı başlıyor.]
											[1836 - İlk göçmenler,
Oregon Yolu'nu kullanıyor.]
											[Tüm etkinlikler]
									","
											Podemos usar estos datos para aprender
información cuantitativa de la humanidad,
											por ejemplo, cuestiones sobre demografía.
											Echemos un vistazo a todos
los perfiles del mapa del mundo.
											Cada pixel es una persona
que vivió en un momento dado.
											Y dado que tenemos tantos datos,
											pueden ver el contorno de muchos países,
											sobre todo el mundo occidental.
											En este clip estratificamos
el mapa que les enseñamos
											basado en el año de nacimiento
de los individuos entre 1400 y 1900,
											y los comparamos con
movimientos migratorios conocidos.
											El clip les mostrará que las líneas
más profundas de nuestros datos
											llegan hasta el Reino Unido,
											donde conservaban mejor los datos,
											y luego se extendían a lo largo de 
las rutas del colonialismo occidental.
											Veámoslo.
											(Música)
											[Año de nacimiento:]
											[1492 - Colón navega por el océano]
											[1620 - El Mayflower
llega a Massachusetts]
											[1652 - Los holandeses
se asientan en Sudáfrica]
											[1788 - Gran Bretaña empieza
a transportar presos a Australia]
											[1836 - Los primeros emigrantes
usan la Senda de Oregón]
											[Todo es actividad]
									","
											Podemos usar estes dados para obter
informações quantitativas da humanidade,
											como, por exemplo,
questões sobre demografia.
											Isto é uma visão de todos
os nossos perfis no mapa mundo.
											Cada pixel é uma pessoa
que viveu em dada altura.
											Como temos tantos dados,
											podemos ver os contornos
de muitos países,
											em especial no mundo ocidental.
											Neste ""clip"", estratificámos
o mapa que vos mostrei,
											com base no ano de nascimentos
de pessoas entre 1400 e 1900.
											Comparámos esses dados
com movimentos migratórios conhecidos.
											O ""clip"" mostra que as linhagens
mais profundas dos nossos dados
											vão todas parar ao Reino Unido,
											onde havia registos melhores
											e depois vão espalhar-se
pelas vias do colonialismo ocidental.
											Vamos observar.
											[Ano de nascimento:]
											[1492 - Colombo navega no oceano azul]
											[1620 - O Mayflower atraca
em Massachusetts]
											[1652 - Os holandeses
instalam-se na África do Sul]
											[1788 - Começa o transporte de presos
da Grã-Bretanha para a Austrália]
											[1836 - Os primeiros migrantes
usam o Trilho do Oregon]
											[Todas as atividades]
									",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
","
","
","
",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
											I love this movie.
									","
											Bu filmi çok seviyorum.
									","
											Me encanta esta película.
									","
											Adoro este filme.
									",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
","
","
","
",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
											Now, since these migration events
are giving the context of families,
											we can ask questions such as:
											What is the typical distance
between the birth locations
											of husbands and wives?
											This distance plays
a pivotal role in demography,
											because the patterns in which
people migrate to form families
											determine how genes spread
in geographical areas.
											We analyzed this distance using our data,
											and we found that in the old days,
											people had it easy.
											They just married someone
in the village nearby.
											But the Industrial Revolution
really complicated our love life.
											And today, with affordable flights
and online social media,
											people typically migrate more than
100 kilometers from their place of birth
											to find their soul mate.
									","
											Bu göç etkinlikleri, 
ailelerin kaynağını veriyor,
											dolayısıyla bunun gibi 
sorular sorabiliriz:
											Eşlerin doğum yerleri arasındaki
normal mesafe ne kadar?
											Mesafe, demografide 
çok önemli bir rol oynuyor
											çünkü aile oluşturmak için
insanların göç etme kalıpları
											genlerin coğrafi bölgelerde
nasıl yayıldığını belirliyor.
											Verilerimizi kullanarak 
bu mesafeyi inceledik
											ve eski zamanlarda insanların 
zorluk yaşamadığını bulduk.
											Yakınlardaki bir köydeki 
biriyle evleniyorlardı.
											Ancak Sanayi Devrimi
aşk hayatımızı gerçekten zorlaştırdı.
											Günümüzde ise uygun uçak biletleri 
ve çevrim içi sosyal medya ile
											sıklıkla insanlar ruh eşlerini bulmak için
											doğum yerlerinden 
100 kilometreden fazla göç ediyor.
									","
											Ya que estos sucesos migratorios
ponen en contexto a las familias,
											podemos hacer preguntas tales como:
											¿Cuál es la distancia típica
entre los lugares de nacimiento
											de maridos y mujeres?
											Esta distancia tiene un papel
fundamental en la demografía
											porque los patrones en los que
la gente emigra para formar familias
											determina cómo se expanden
los genes en áreas geográficas.
											Analizamos la distancia
usando nuestros datos,
											y descubrimos que antiguamente
											la gente lo tenía fácil.
											Simplemente se casaban
con gente del pueblo de al lado.
											Pero la Revolución Industrial
complicó nuestra vida amorosa.
											Y hoy, con los vuelos asequibles
y con las redes sociales,
											la gente suele emigrar a más de
100 km de su lugar de nacimiento
											para encontrar a su alma gemela.
									","
											Já que estes episódios de migração
põem as famílias em contexto,
											podemos fazer perguntas como:
											Qual é a distância habitual
entre os locais de nascimento
											de maridos e mulheres?
											Essa distância desempenha
um papel fundamental na demografia
											porque os padrões em que
as pessoas migram para formar famílias
											determinam como os genes
se espalham pelas áreas geográficas.
											Analisámos essa distância,
usando os nossos dados
											e descobrimos que, antigamente,
											isso era fácil para as pessoas.
											Casavam com alguém
da aldeia vizinha.
											Mas a Revolução Industrial
complicou a nossa vida amorosa.
											E hoje, com os voos económicos
e as redes sociais
											as pessoas migram a mais de 100 km
de distância do local do nascimento
											para encontrar uma alma gémea.
									",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
","
","
","
",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
											So now you might ask:
											OK, but who does the hard work
of migrating from places to places
											to form families?
											Are these the males or the females?
											We used our data to address this question,
											and at least in the last 300 years,
											we found that the ladies do the hard work
											of migrating from places
to places to form families.
											Now, these results
are statistically significant,
											so you can take it as scientific fact
that males are lazy.
									","
											Şunu sorabilirsiniz:
											Tamam ama kim aile oluşturmak için
											bir yerden bir yere 
göç etme zahmetine giriyor?
											Bu kişiler kadın mı erkek mi?
											Bu soruyu irdelemek için 
verilerimizi kullandık
											ve en az son 300 yıldır
											kadınların aile oluşturmak için
											bir yerden bir yere göç etme 
zahmetine girdiğini bulduk.
											Bu sonuçlar istatistiksel olarak önemli
											dolayısıyla erkeklerin tembel olduğunu
											bilimsel bir gerçek olarak
kabul edebilirsiniz.
									","
											Puede que se pregunten:
											¿Quién hace el enorme trabajo
de emigrar de un sitio a otro
											para formar familias?
											¿Son los hombres o las mujeres?
											Usamos nuestros datos
para afrontar esta cuestión
											y al menos en los últimos 300 años,
											descubrimos que las damas
hacen el trabajo arduo
											de emigrar de unos lugares
a otros para formar familias.
											Estos resultados son
estadísticamente relevantes,
											así que pueden admitir como hecho
científico que los varones son vagos.
									","
											Agora, podem perguntar:
											""Ok, mas quem se dá ao trabalho
de migrar de um local para outro
											""para formar uma família?
											""É o homem ou é a mulher?""
											Usámos os nossos dados
para responder a esta pergunta
											e, pelo menos, nos últimos 300 anos,
											descobrimos que são as mulheres
que têm o trabalho difícil
											de migrar de um local para outro
para formar uma família.
											Estes resultados são significativos,
do ponto de vista estatístico,
											por isso, podem considerar
como facto científico,
											que os homens são preguiçosos.
									",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
","
","
","
",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Risas)
									","
											(Risos)
									",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
","
","
","
",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
