es,pt,tr,title,speaker,duration,tags
"
											¿Por qué es así? ¿Por qué abandonar el sueño 
en nuestros pensamientos?
											Bueno, es porque no hacemos mucho
											mientras dormimos, al parecer.
											No comemos. No bebemos.
											Y no tenemos sexo.
											Bueno, al menos la mayoría de nosotros.
											Y por lo tanto es...
											Lo siento. Es una completa pérdida de tiempo, 
¿verdad? Falso.
											En realidad, dormir es una parte increíblemente 
importante de nuestra biología,
											y los neurocientíficos están 
empezando a explicar
											porqué es tan importante.
											Así que vamos al cerebro.
									","
											Porque será? Porque banimos o sono 
dos nossos pensamentos?
											Bem, é porque não fazemos grande coisa
											enquanto dormimos, ao que parece.
											Não comemos. Não bebemos.
											E não temos relações sexuais.
											A maior parte de nós, em todo o caso.
											(Risos)
											Desculpem. É uma completa
perda de tempo, certo? Errado.
											O sono é uma parte incrivelmente
importante da nossa biologia,
											e os neurocientistas estão
a começar a explicar porquê
											porque é que é assim tão importante.
											Então, passemos ao cérebro.
									","
											Neden? Neden uyku hakkında düşünmüyoruz?
											Çünkü görünüşe göre uyurken
											fazla bir şey yapmıyoruz.
											Yemiyoruz. İçmiyoruz.
											ve sevişmiyoruz.
											En azından pek çoğumuz
											Ve bu yüzden —
											Affedersiniz. Tamamen bir zaman kaybı değil mi? Yanlış.
											Aslında, uyku biyolojimizin akıl almaz derecede önemli bir parçası,
											ve nörobilimciler neden bu kadar önemli olduğunu
											açıklamaya başladı.
											Öyleyse beyne geçelim.
									",Why do we sleep?,Russell Foster,21:46,"health,mental health,neuroscience,science,consciousness,biology,brain,mind,memory,cognitive science"
"
","
","
",Why do we sleep?,Russell Foster,21:46,"health,mental health,neuroscience,science,consciousness,biology,brain,mind,memory,cognitive science"
"
											Bien, aquí tenemos un cerebro.
											Este fue donado por un científico social,
											y dijeron que no sabían lo que era,
											o cómo usarlo, así que...
											(Risas)
											Lo siento.
											Así que lo tomé prestado. No creo que 
se hayan dado cuenta. Está bien.
											(Risas)
									","
											Temos aqui um cérebro.
											Foi doado por um cientista social,
											e disseram que não sabiam o que era,
											ou como usá-lo, portanto...
											(Risos)
											Desculpem.
											Portanto, trouxe-o emprestado.
Acho que nem notaram. Muito bem.
											(Risos)
									","
											Şimdi, bir beynimiz var.
											Bir sosyal bilimci tarafından bağışlandı,
											ve ne olduklarını bilmediklerini
											veya doğrusu nasıl kullanacaklarını bilmediklerini söylediler, o yüzden—
											(Gülüşme)
											Affedersiniz.
											O yüzden ben de ödünç aldım. Fark ettiklerini sanmıyorum. Pekala.
											(Gülüşme)
									",Why do we sleep?,Russell Foster,21:46,"health,mental health,neuroscience,science,consciousness,biology,brain,mind,memory,cognitive science"
"
","
","
",Why do we sleep?,Russell Foster,21:46,"health,mental health,neuroscience,science,consciousness,biology,brain,mind,memory,cognitive science"
"
											El punto es que cuando estamos dormidos,
											esta cosa no se apaga.
											De hecho, algunas áreas del cerebro 
están más activas
											durante el estado de sueño que 
durante el estado de vigilia.
											Otra cosa que es muy importante sobre el sueño
											es que no se presenta de una sola estructura 
dentro del cerebro,
											sino es hasta cierto punto 
una propiedad de la red
											y si damos vuelta el cerebro
											—me encanta esta parte de la médula espinal—
											esta pequeña área es el hipotálamo,
											y justo debajo hay toda una serie de 
estructuras interesantes,
											no menos importante que el reloj biológico.
											El reloj biológico nos dice 
cuándo es hora de levantarse,
											y cuándo es hora de dormir,
											y lo que hace esa estructura, es interactuar
											con toda una serie de otras áreas en el hipotálamo,
											el hipotálamo lateral, los núcleos
preópticos ventrolaterales.
											Todos se combinan y envían proyecciones
											hasta el tallo encefálico aquí.
											El tallo encefálico se proyecta hacia adelante
											y baña la corteza, esta pequeña área 
maravillosamente arrugada por aquí,
											con los neurotransmisores que 
nos mantienen despiertos
											y esencialmente nos proporciona 
nuestra conciencia.
											Entonces el sueño surge de toda una serie
											de diferentes interacciones dentro del cerebro,
											y esencialmente, el sueño es activado 
y desactivado
											como resultado de una gama de interacciones aquí.
									","
											O ponto onde estou a tentar chegar é que,
quando estamos a dormir,
											esta coisa não se desliga.
											De facto, algumas áreas do cérebro
estão realmente mais ativas
											durante o sono do que durante a vigília.
											A outra coisa realmente importante
a respeito do sono
											é que não emerge de uma estrutura única
no interior do cérebro,
											mas é, em certa medida,
uma propriedade de rede.
											E se virarmos o cérebro ao contrário
											— adoro este bocadinho
de medula espinal aqui —
											este pedacinho aqui é o hipotálamo,
											e, exatamente por baixo, há toda uma série
de estruturas interessantes,
											das quais, não menos interessante
é o relógio biológico
											que nos diz quando
é bom estarmos acordados,
											quando é bom estarmos a dormir.
											Esta estrutura interage
											com toda uma série de outras áreas
dentro do hipotálamo,
											do hipotálamo lateral,
do núcleo pré-ótico ventrolateral.
											Todos eles se combinam e enviam projeções
											para baixo, aqui para o tronco cerebral.
											O tronco cerebral depois
reencaminha as projeções
											e banha o córtex – este pedacinho 
maravilhosamente enrugado, aqui –
											com neurotransmissores
que nos mantêm acordados
											e que, essencialmente,
nos proporcionam a consciência.
											Portanto, o sono emerge de toda uma série
											de diferentes interações dentro do cérebro
											e, essencialmente,
o sono é ligado e desligado
											em resultado de um leque
de interações aqui.
									","
											Dikkat çekmek istediğim nokta şu ki, uyurken
											bu şey kapanmıyor.
											Aslında, beynin bazı bölümleri, uyku halindeyken
											uyanık halden daha aktif.
											Uykuyla ilgili bir diğer önemli nokta ise,
											beyin içerisindeki tek bir yapıdan ortaya çıkmıyor,
											ama bir ölçüde bir ağa ait,
											ve beyni ters çevirirsek —
											Bu omurilik parçasına bayılıyorum —
											buradaki kısım hipotalamus,
											ve tam aşağıda bir sürü ilginç yapı var,
											özellikle de biyolojik saat.
											Biyolojik saat, ne zaman uyanık,
											ne zaman uykuda olmanın iyi olduğunu söylüyor bize,
											ve bu yapı, hipotalamus içerisindeki
											bir sürü başka bölümle etkileşimde bulunur:
											lateral hipotalamus, ventrolateral preoptik çekirdek.
											Tüm bunlar birleşir ve buradaki beyin sapına
											projeksiyonlar gönderirler.
											Daha sonra beyin sapı da öne yansıtır
											ve bizi uyanık tutan nörotransmitterlerle
											kortekse ulaştırır, şuradaki oldukça kırışık kısım,
											ve aslında bize bilinç sağlar.
											Bu yüzden uyku beyin içerisindeki
											bir sürü farklı etkileşimden meydana gelir,
											ve temelde buradaki bir dizi etkileşimin sonucu olarak
											açılıp kapanabilir.
									",Why do we sleep?,Russell Foster,21:46,"health,mental health,neuroscience,science,consciousness,biology,brain,mind,memory,cognitive science"
"
","
","
",Why do we sleep?,Russell Foster,21:46,"health,mental health,neuroscience,science,consciousness,biology,brain,mind,memory,cognitive science"
"
											Bueno, entonces, ¿dónde hemos llegado?
											Hemos dicho que el sueño es complicado
											y pasamos 32 años de nuestra vida durmiendo.
											Pero no hemos explicado de qué se trata dormir.
											Así que ¿por qué dormimos?
											Y no sorprenderá a nadie de ustedes que, 
por supuesto,
											los científicos, no tenemos un consenso.
											Hay decenas de diferentes ideas sobre 
por qué dormimos,
											y voy a presentar tres de ellas.
									","
											Muito bem. Então, aonde chegámos?
											Dissemos que o sono é complicado
											e ocupa 32 anos da nossa vida.
											Mas o que não expliquei foi
o que é realmente o sono.
											Porque é que dormimos?
											Não surpreenderá nenhum de vocês, claro,
											que os cientistas não tenham
chegado a um consenso.
											Há dúzias de ideias diferentes sobre
a razão por que dormimos.
											Vou realçar três delas.
									","
											Tamam. Yani nereye geldik?
											Uykunun karmaşık olduğunu
											ve yaşamınızın 32 yılını kapladığını söyledik.
											Ama uykunun ne ile ilgili olduğunu açıklamadım.
											Yani neden uyuyoruz?
											Ve tabii ki bilim adamlarının bir fikir birliğine
											sahip olmadığı sizi şaşırtmayacak.
											Neden uyuduğumuz ile ilgili düzinelerce fikir var,
											ve ben bunlardan üçünü özetleyeceğim.
									",Why do we sleep?,Russell Foster,21:46,"health,mental health,neuroscience,science,consciousness,biology,brain,mind,memory,cognitive science"
"
","
","
",Why do we sleep?,Russell Foster,21:46,"health,mental health,neuroscience,science,consciousness,biology,brain,mind,memory,cognitive science"
"
											La primera es la idea de la restauración,
											y es algo intuitivo.
											Esencialmente, todas las cosas 
que hemos gastado durante el día,
											las restauramos, las reemplazamos, 
las reconstruimos durante la noche.
											Y en efecto, como una explicación,
											se remonta a Aristóteles,
											hace como 2,300 años.
											Por momentos ha estado de moda 
y por momentos no.
											Está de moda en este ahora
porque se ha demostrado
											que dentro del cerebro, toda una serie de genes
											se activan solo durante el sueño
											y esos genes están asociados con la restauración
											y las rutas metabólicas.
											Hay buena evidencia para la hipótesis 
de la restauración.
									","
											A primeira é, digamos,
a ideia da reparação,
											e é, de algum modo, intuitiva.
											Essencialmente, todas as coisas
que queimámos durante o dia,
											reparamo-las, substituímo-las,
reconstruímo-las durante a noite.
											Na verdade, enquanto explicação,
remonta a Aristóteles,
											portanto, digamos, há 2300 anos.
											Tem entrado e saído de moda.
											Neste momento, está na moda, 
porque o que tem sido demonstrado
											é que tem-se observado,
no interior do cérebro,
											toda uma gama de genes
a ligar-se apenas durante o sono.
											Esses genes estão associados
a processos metabólicos e de reparação.
											Portanto, há bons indícios
quanto à hipótese da reparação.
									","
											İlki yenileme fikri,
											ve biraz içgüdüsel.
											Temelde, gün boyunca yaktığımız her şeyi,
											gece boyunca yeniliyor, yerine koyuyor ve yeniliyoruz.
											Ve aslında açıklama olarak
											Aristo'ya uzanıyor.
											Yani bu da 2.300 yıl öncesi demek oluyor.
											Moda oldu ve modası geçti.
											Şu anda moda çünkü
											beynin içerisinde bir sürü genin
											yalnızca uyku sırasında etkinleştiği
											ve bu genlerin yenileme
											ve metabolik yol ile ilişkili olduğu ortaya çıkarıldı.
											İşte tüm yenileme tezi için iyi bir kanıt.
									",Why do we sleep?,Russell Foster,21:46,"health,mental health,neuroscience,science,consciousness,biology,brain,mind,memory,cognitive science"
"
","
","
",Why do we sleep?,Russell Foster,21:46,"health,mental health,neuroscience,science,consciousness,biology,brain,mind,memory,cognitive science"
"
											¿Y la conservación de energía?
											Otra vez, tal vez es intuitiva.
											Esencialmente duermes para ahorrar calorías.
											Ahora, cuando se hacen las sumas,
											no es significativo.
											Si comparan un individuo
											que ha dormido en la noche o que se quedó despierto y no se movió mucho,
											el ahorro de energía por dormir alrededor de 
110 calorías por noche.
											Eso es el equivalente de un pan de hotdog.
											Ahora, yo diría que un pan de hotdog
											es de una recompensa bastante pobre
para un comportamiento
											complicado y demandante como es el sueño.
											Así que me convence menos la idea de la 
conservación de energía.
									","
											E quanto à conservação de energia?
											Uma vez mais, talvez intuitiva.
											Essencialmente, dormimos
para poupar calorias.
											Contudo, quando fazemos as contas,
											o resultado não dá certo.
											Se compararmos um indivíduo
que tenha dormido à noite,
											ou que tenha estado acordado 
e não se tenha mexido muito,
											a poupança de energia obtida com o sono
é de cerca de 110 calorias por noite.
											Isso equivale a um pão de ""hot dog"".
											Ora bem, eu diria que um pão de ""hot dog""
											é uma fraca contrapartida
para um comportamento
											tão complicado e exigente como o sono.
											Portanto, a ideia da conservação
de energia convence-me menos.
									","
											Peki ya enerji tasarrufu?
											Belki bu da içgüdüseldir.
											Temelde kalori tasarruf etmek için uyuyoruz.
											Ama şimdi hesaplama yaparsak,
											pek başarılı olamıyoruz.
											Gece uyumuş bir birey ile uyanık kalıp
											fazla hareket etmemiş bir bireyi karşılaştırdığımızda
											uyku sırasındaki enerji tasarrufu bir gecede 110 kalori.
											Bu bir sosisli sandviçe eşdeğer.
											Bence bir sosisli sandviç,
											uyku gibi karmaşık ve zahmetli bir davranış için
											yetersiz bir getiri.
											O yüzden enerji tasarrufu fikrine daha az ikna oldum.
									",Why do we sleep?,Russell Foster,21:46,"health,mental health,neuroscience,science,consciousness,biology,brain,mind,memory,cognitive science"
"
","
","
",Why do we sleep?,Russell Foster,21:46,"health,mental health,neuroscience,science,consciousness,biology,brain,mind,memory,cognitive science"
"
											Pero la tercera idea es muy atractiva,,
											que es el procesamiento cerebral
y consolidación de la memoria.
											Lo que sabemos es que, si después de intentar 
aprender algo
											se priva de sueño a las personas,
											la capacidad de aprender se reduce drásticamente.
											Es realmente un gran atenuante.
											Así que el sueño y la consolidación de la memoria
también son muy importantes.
											Sin embargo, no es sólo la fijación de la memoria
											y la evocación.
											Lo que resultó ser muy emocionante
											es que nuestra capacidad para idear 
soluciones novedosas
											a problemas complejos, aumenta considerablemente
con una noche de sueño.
											De hecho, se ha estimado que nos da 
una triple ventaja.
											Dormir de noche aumenta nuestra creatividad.
											Y lo que parece estar ocurriendo es que, 
en el cerebro,
											esas conexiones neuronales que son importantes,
											esas conexiones sinápticas que son importantes,
											se unen y se fortalecen,
											mientras que las menos importantes
											tienden a desaparecer y ser menos importantes.
									","
											Mas atrai-me bastante a terceira ideia,
											que é o processamento do cérebro
e a consolidação da memória.
											O que sabemos é que, se depois 
de tentarem aprender uma tarefa
											os indivíduos forem privados do sono,
											a capacidade para aprender essa tarefa
fica esmagada.
											Realmente, fica enormemente atenuada.
											Portanto, sono e consolidação da memória
é também muito importante.
											No entanto, não é só
adquirir a memória e evocá-la.
											O que se revelou entusiasmante
											foi que a nossa capacidade
para criarmos soluções inovadoras
											para problemas complexos foi enormemente 
aumentada por uma noite de sono.
											De facto, estima-se que nos proporciona
uma vantagem tripla:
											Dormir à noite aumenta
a nossa criatividade.
											O que parece acontecer é que, no cérebro,
											aquelas conexões neurais
que são importantes,
											aquelas conexões sinápticas
que são importantes,
											são ligadas e fortalecidas,
											enquanto que as menos importantes
											tendem a desvanecer-se
e tornar-se menos importantes.
									","
											Ama üçüncü fikir oldukça ilgimi çekiyor:
											beyin işleme ve hafıza güçlendirme.
											Şunu biliyoruz ki, bir görevi öğrenmeye çalıştıktan sonra
											uykunuzu alamazsanız
											o görevi öğrenme yeteneği paramparça oluyor.
											Gerçekten oldukça azalıyor.
											O yüzden uyku ve hafıza güçlendirme de çok önemli.
											Ancak, bu yalnızca hafızanın saklanması
											ve anımsanması değil.
											Oldukça heyacan verici olan şu ki,
											karmaşık sorunlara özgün çözümler bulabilme yeteneğimiz
											büyük ölçüde bir gecelik uykuyla gelişiyor.
											Aslında, bize üç kat avantaj verdiği tahmin ediliyor.
											Gece uyumak yaratıcılığımızı geliştiriyor.
											Ve görünüşe göre, beyindeki
											önemli sinirsel bağlantılar ile
											önemli sinaptik bağlantılar
											birbirine bağlanıyor ve güçleniyor,
											daha az önemli olanlar ise
											ortadan kaybolup daha az önemli hale geliyor.
									",Why do we sleep?,Russell Foster,21:46,"health,mental health,neuroscience,science,consciousness,biology,brain,mind,memory,cognitive science"
"
","
","
",Why do we sleep?,Russell Foster,21:46,"health,mental health,neuroscience,science,consciousness,biology,brain,mind,memory,cognitive science"
"
											Está bien. Así que hemos tenido tres explicaciones de por qué podríamos dormir
											y creo que es importante darse cuenta de que
											los detalles pueden variar y es probable que 
dormimos por múltiples razones diferentes.
											Pero el sueño no es un lujo.
											No es algo de lo que podamos prescindir 
de vez en cuando.
											Creo que el sueño se comparó una vez
a una mejora
											de clase turista a clase ejecutiva, 
ya saben, el equivalente.
											No es ni siquiera una mejora
de turista a primera clase.
											Lo importante es darse cuenta de que
											si no duermen, no vuelan.
											Esencialmente, nunca llegan,
											y lo que es extraordinario de una gran parte 
de nuestra sociedad en estos días,
											es que desesperadamente nos privamos de sueño.
									","
											Ok. Tivemos três explicações para 
o porquê de dormirmos,
											e penso que o importante é percebermos
											que os detalhes variam, e é provável
que durmamos por várias razões diferentes.
											Mas dormir não é um luxo.
											Não é o tipo de coisa que possamos 
abordar levianamente.
											Penso que o sono foi, em tempos, 
equiparado à passagem
											da classe económica para a executiva,
uma coisa equivalente.
											Nem sequer é a passagem
da classe económica para a primeira classe.
											A coisa fundamental a compreender é que,
											se não dormirmos, não voamos.
											Essencialmente, nunca chegaremos lá.
											O que é extraordinário para
grande parte da sociedade, atualmente,
											é que andamos desesperadamente 
privados do sono.
									","
											Pekala. Öyleyse neden uyuduğumuza dair üç açıklamamız var
											ve bence önemli olan bu detayların değişebileceğini fark etmek
											ve birden fazla farklı nedenden dolayı uyuyor olabiliriz.
											Ama uyku hoşgörü değildir.
											Öylesine göz önünde bulundurduğumuz bir şey değildir.
											Sanırım uyku bir zamanlar ekonomi sınıfından business sınıfa
											yükseltmeye benzetildi, yani, eşdeğeri olarak görüldü.
											Bu ekonomi sınıfından birinci sınıfa yükseltme bile değil.
											Önemli olan,
											uyumazsanız uçmayacağınızı fark etmektir.
											Temelde, oraya varmazsınız
											ve tuhaf olan ise toplumumuzun çoğunun
											son derece uykusuz olması.
									",Why do we sleep?,Russell Foster,21:46,"health,mental health,neuroscience,science,consciousness,biology,brain,mind,memory,cognitive science"
"
","
","
",Why do we sleep?,Russell Foster,21:46,"health,mental health,neuroscience,science,consciousness,biology,brain,mind,memory,cognitive science"
