tr,fr,en,es,title,speaker,duration,tags
"
","
","
","
",Why Earth may someday look like Mars,Anjali Tripathi,11:55,"biosphere,environment,future,rocket science,Mars,science,solar system,technology,TEDx,universe,Planets,astronomy,astrobiology"
"
											Burada yer çekiminin işbaşında
olduğunu görebilirsiniz.
											Ancak gezegenlerin diğer
bir temel niteliği de
											burada görmediğiniz şeydir
											ve bu da yıldızdır, yani Güneş,
											güneş sistemindeki gezegenlerin
etrafında döndüğü şey.
											Atmosferik kaçışı ortaya
çıkaran da temelde bu.
											Yıldızların temel olarak gezegenlerde
atmosferik kaçışı oluştumasının
											sebebi yıldızların gezegenlere
parçacık, ışık ve sıcaklık vermesidir
											bu da atmosferin kaçmasına sebep olabilir.
											Bir sıcak hava balonunu düşünürseniz
											ya da Tayland'da bir festivalden
bu fener resmine bakarsanız
											sıcak havanın gazları yukarı
itebileceğini görürsünüz.
											Yeterli enerji ve sıcaklık varsa
											ki Güneşimizde var
											çok hafif olan ve sadece
yer çekimiyle bağlı bu gaz
											uzaya doğru kaçabilir.
											Atmosferik kaçışa sebep
olan şey aslında budur,
											burada Dünya'da ve diğer gezegenlerde de,
											yıldızdan gelen sıcaklık ve
gezegendeki yer çekim
											kuvveti arasındaki etkileşim.
									","
											Vous voyez que la gravité
joue vraiment un rôle.
											Mais une autre caractéristique
fondamentale des planètes
											est ce que vous ne voyez pas,
											c'est l'étoile, le Soleil,
											autour duquel toutes les planètes
du système solaire orbitent.
											Cela est à l'origine
de l'échappement atmosphérique.
											La raison fondamentale pour laquelle

											les étoiles créent un échappement
atmosphérique sur les planètes
											est que les étoiles offrent aux planètes
particules, lumière et chaleur
											pouvant faire s'échapper les atmosphères.
											Si vous pensez à une montgolfière
											ou regardez cette image de lanternes
lors d'un festival en Thaïlande,
											vous voyez que l'air chaud
propulse les gaz vers le haut.
											Si vous avez assez
d'énergie et de chaleur,
											comme notre soleil,
											ce gaz, qui est si léger
et seulement contraint par la gravité,
											peut s'échapper dans l'espace.
											Cela est la cause
de l'échappement atmosphérique
											sur Terre et sur d'autres planètes —
											cette interaction
entre la chaleur de l'étoile
											et la compensation
de la force de gravité sur la planète.
									","
											So you can see that gravity
is really at play here.
											But another fundamental
characteristic about planets
											is what you don't see here,
											and that's the star, the Sun,
											that all of the planets
in the solar system are orbiting around.
											And that's fundamentally driving
atmospheric escape.
											The reason that fundamentally stars
drive atmospheric escape from planets
											is because stars offer planets
particles and light and heat
											that can cause the atmospheres to go away.
											So if you think of a hot-air balloon,
											or you look at this picture
of lanterns in Thailand at a festival,
											you can see that hot air
can propel gasses upward.
											And if you have enough energy and heating,
											which our Sun does,
											that gas, which is so light
and only bound by gravity,
											it can escape into space.
											And so this is what's actually
causing atmospheric escape
											here on Earth and also on other planets —
											that interplay
between heating from the star
											and overcoming the force
of gravity on the planet.
									","
											Se puede ver que la gravedad
realmente entra en juego aquí.
											Pero otra característica 
de los planetas
											que aquí no se ve,
											es su estrella, el sol,
											alrededor del cual orbitan todos 
los planetas del sistema solar.
											Y eso fundamentalmente guía 
la fuga atmosférica.
											Las estrellas fundamentalmente guían
la fuga atmosférica de los planetas
											porque ofrecen a los planetas 
partículas, luz y calor
											y eso puede hacer que 
las atmósferas se fuguen.
											Si piensan en un globo de aire caliente,
											o miran esta foto de las linternas 
en Tailandia en un festival,
											ven que el aire caliente puede
impulsar los gases hacia arriba.
											Y con suficiente energía y calor,
											algo que el sol produce,
											ese gas, que es tan liviano,
solo retenido por la gravedad,
											puede escapar al espacio.
											Eso es lo que provoca 
la fuga atmosférica
											aquí en la Tierra y en otros planetas.
											Esa interacción entre
el calor de la estrella
											y el poder de superar la fuerza
de gravedad del planeta.
									",Why Earth may someday look like Mars,Anjali Tripathi,11:55,"biosphere,environment,future,rocket science,Mars,science,solar system,technology,TEDx,universe,Planets,astronomy,astrobiology"
"
","
","
","
",Why Earth may someday look like Mars,Anjali Tripathi,11:55,"biosphere,environment,future,rocket science,Mars,science,solar system,technology,TEDx,universe,Planets,astronomy,astrobiology"
"
											Bunun hidrojen için dakikada
											180 kilo ve helyum için de
dakikada neredeyse üç kilo
											olduğunu söylemiştim.
											Peki bu nasıl görünüyor?
											80'li yıllarda bile
											NASA'nın Dynamix Explorer aracı ile
											Dünya'nın kızılötesi
											fotoğraflarını çektik.
											Dünya'nın bu iki görüntüsü
											kaçan hidrojen parıltısının
nasıl durduğunu gösteriyor -
											kırmızıyla gösterilen.
											Ayrıca oksijen ve nitrojen
gibi diğer özellikleri de görebilirsiniz
											bu beyaz ışıltıda
											arorayı gösteren bu halkada
											ve dönence etrafındaki bu demette.
											Bu resimler kesin olarak
gösteriyor ki
											atmosferimiz sadece Dünya'nın
çevresine sarılı değil
											aynı zamanda uzay
boşluğuna da uzanıyor
											korkutucu bir hızda olduğunu da
eklemeliyim.
									","
											Je vous ai dit que cela se produisait
											à une vitesse de 200 kg
par minute pour l'hydrogène
											et près de 3,5 kg pour l'hélium.
											A quoi cela ressemble-t-il ?
											Même dans les années 80,
											nous avons pris des photos de la Terre
											en ultraviolet
											grâce au satellite
Dynamics Explorer de la NASA.
											Ces deux photos de la Terre
											vous montrent à quoi ressemble
cette lueur d'hydrogène qui s'échappe,
											elle apparaît en rouge.
											Vous voyez aussi d'autres éléments
comme l'oxygène et l'azote
											dans cette lueur blanche
											dans le cercle vous montrant les aurores
											et aussi des volutes vers les tropiques.
											Ces photos montrent définitivement
											que notre atmosphère n'est pas
seulement liée à la Terre
											mais qu'elle s'efforce d'atteindre
d'autres endroits de l'espace
											à une vitesse alarmante.
									","
											So I've told you that it happens
											at the rate of 400 pounds
a minute for hydrogen
											and almost seven pounds for helium.
											But what does that look like?
											Well, even in the '80s,
											we took pictures of the Earth
											in the ultraviolet
											using NASA's Dynamic Explorer spacecraft.
											So these two images of the Earth
											show you what that glow
of escaping hydrogen looks like,
											shown in red.
											And you can also see other features
like oxygen and nitrogen
											in that white glimmer
											in the circle showing you the auroras
											and also some wisps around the tropics.
											So these are pictures
that conclusively show us
											that our atmosphere isn't just
tightly bound to us here on Earth
											but it's actually
reaching out far into space,
											and at an alarming rate, I might add.
									","
											Ya les conté que ocurre
											a una tasa de 180 kilos 
por minuto de hidrógeno
											y unos 3 kilos de helio.
											Pero ¿qué pinta tiene eso?
											Bueno, ya en los años 80,
											tomamos imágenes de la Tierra
											en ultravioleta
											con la nave espacial 
Dynamic Explorer de la NASA.
											Estas dos imágenes de la Tierra
											muestran el aspecto del resplandor
de la fuga de hidrógeno,
											en rojo.
											Y también pueden ver oxígeno y nitrógeno
											en ese resplandor blanco
											en el círculo que muestra las auroras
											y también algunos mechones 
alrededor de los trópicos.
											Son fotos que nos muestran 
de manera concluyente
											que la atmósfera no está estrechamente 
unida a nosotros aquí en la Tierra
											sino que, en realidad,
se propaga hacia el espacio,
											a un ritmo alarmante, podría añadir.
									",Why Earth may someday look like Mars,Anjali Tripathi,11:55,"biosphere,environment,future,rocket science,Mars,science,solar system,technology,TEDx,universe,Planets,astronomy,astrobiology"
"
","
","
","
",Why Earth may someday look like Mars,Anjali Tripathi,11:55,"biosphere,environment,future,rocket science,Mars,science,solar system,technology,TEDx,universe,Planets,astronomy,astrobiology"
"
											Ancak Dünya atmosferik
kaçış yaşamakta yalnız değil.
											En yakın komşumuz Mars,
Dünya'dan çok daha küçük
											ve atmosferine tutunmak için de
daha az yer çekimine sahip.
											Her ne kadar Mars'ta bir
atmosfer olsa da bunun
											Dünya'dan çok daha
ince olduğunu görebiliriz.
											Sadece yüzeye bakın.
											Çarpmaları önleyecek bir
atmosfer olmadığını
											gösteren kraterleri görüyorsunuz.
											Ayrıca, bunun ""kırmızı gezegen""
olduğunu görüyoruz
											ve atmosferik kaçış
											Mars'ın kırmızı olmasında etkili.
											Sebeb olarak düşüncemiz şu:
Mars'ın daha ıslak bir geçmişi vardı
											ve su yeterince enerjiye sahip olunca
hidrojen ve oksijene ayrıştı
											ve çok hafif olan hidrojen
uzay boşluğuna kaçtı
											ve geride kalan oksijen
											okside oldu ve zemine çöktü,
											gördüğümüz tanıdık
paslı kırmızı renge dönüştü.
									","
											Mais la Terre n'est pas la seule
à subir un échappement atmosphérique.
											Mars, notre voisine la plus proche,
est bien plus petite que la Terre
											et a donc bien moins de gravité
pour préserver son atmosphère.
											Bien que Mars ait une atmosphère,
											nous voyons qu'elle est
plus fine que sur Terre.
											Regardez la surface.
											Vous voyez des cratères indiquant
qu'aucune atmosphère
											n'était là pour empêcher ses impacts.
											Nous voyons que c'est « la planète rouge »
											et l'échappement
atmosphérique joue un rôle
											quant à la couleur de Mars.
											Nous pensons que cela est dû au fait
que Mars avait plus d'eau auparavant
											et quand l'eau avait assez d'énergie,
elle s'est séparée en hydrogène et oxygène
											et l'hydrogène est si léger
qu'il s'est échappé vers l'espace
											et l'oxygène restant
											s'est oxydé ou a fait rouiller le sol,
											créant cette couleur rouge rouille
qui nous est familière.
									","
											But the Earth is not alone
in undergoing atmospheric escape.
											Mars, our nearest neighbor,
is much smaller than Earth,
											so it has much less gravity
with which to hold on to its atmosphere.
											And so even though Mars has an atmosphere,
											we can see it's much thinner
than the Earth's.
											Just look at the surface.
											You see craters indicating
that it didn't have an atmosphere
											that could stop those impacts.
											Also, we see that it's the ""red planet,""
											and atmospheric escape plays a role
											in Mars being red.
											That's because we think
Mars used to have a wetter past,
											and when water had enough energy,
it broke up into hydrogen and oxygen,
											and hydrogen being so light,
it escaped into space,
											and the oxygen that was left
											oxidized or rusted the ground,
											making that familiar
rusty red color that we see.
									","
											Pero la Tierra no está sola
en la fuga atmosférica.
											Marte, nuestro vecino más cercano,
es mucho más pequeño que la Tierra,
											por lo que tiene mucho menos gravedad
con la que mantener su atmósfera.
											Y, aunque Marte tiene una atmósfera,
											podemos ver que es mucho 
más delgada que la terrestre.
											Solo vean la superficie.
											Se ven cráteres que indican
que no tuvo una atmósfera
											que pudiera detener esos impactos.
											Además, vemos que es el ""planeta rojo"",
											y la fuga atmosférica juega un papel
											en que Marte sea rojo.
											Por eso pensamos que Marte 
solía tener un pasado más húmedo,
											y que el agua tuvo suficiente energía 
y se descompuso en hidrógeno y oxígeno
											y el hidrógeno, al ser tan liviano,
escapó al espacio
											y el oxígeno que quedó
											oxidó el suelo,
											generando el rojo familiar
oxidado que vemos.
									",Why Earth may someday look like Mars,Anjali Tripathi,11:55,"biosphere,environment,future,rocket science,Mars,science,solar system,technology,TEDx,universe,Planets,astronomy,astrobiology"
"
","
","
","
",Why Earth may someday look like Mars,Anjali Tripathi,11:55,"biosphere,environment,future,rocket science,Mars,science,solar system,technology,TEDx,universe,Planets,astronomy,astrobiology"
"
											Mars resimlerine bakıp muhtemelen
											atmosferik kaçışın yaşandığını
söylemek mümkün
											ancak NASA'nın halihazırda Mars'ta
çalışan MAVEN adlı bir sondası var
											ve bunun asıl görevi
atmosferik kaçışı incelemek.
											Mars Atmosfer ve Uçucu
Evrim uzay aracı (MAUEM).
											Gönderdiği sonuçlar şimdiden
Dünya'da gördüğümüze
											benzer resimler ortaya koydu.
											Mars'ın atmosferini kaybettiğini
çoktandır biliyorduk
											yine de çok çarpıcı görüntüler var.
											Örnek olarak, burada,
kırmızı halkada
											Mars'ın boyutunu görebilirsiniz
											ve mavi halkada gezegenden kaçan
hidrojeni görebilirsiniz.
											Gezegenin boyutundan 10
kat daha geniş alana ulaşıyor
											gezegenle bağlantısını
koparacak kadar uzağa.
											Uzay boşluğuna kaçıyor.
											Bazı fikirleri doğrulamada yardımcı oluyor
											Mars'ın kırmızı olmasının sebebi:
hidrojen kaybı.
											Ancak kaybolan tek
gaz hidrojen değil.
											Dünya'daki helyumdan ve biraz
oksijen ve nitrojenden bahsettim
											ve MAVEN ile Mars'ta kaybolan
oksijen miktarına bakabiliriz.
											Oksijen daha ağır olmasından dolayı
											hidrojen kadar hızlı çıkamadığını
											yine de gezegenden
kaçtığını görebilirsiniz.
											Kırmızı halkaya sınırlı
olmadığını görüyorsunuz.
									","
											C'est bien de regarder des photos de Mars
											et de dire qu'il y a eu
un échappement atmosphérique
											mais la NASA a actuellement
une sonde sur Mars, le satellite MAVEN,
											et sa mission d'étudier
l'échappement atmosphérique.
											C'est le satellite de l'atmosphère
de Mars et de l'évolution volatile.
											Ses résultats ont déjà montré
des images très similaires
											à ce que vous voyez sur Terre.
											Nous savions que Mars
perdait son atmosphère
											mais nous avons des photos spectaculaires.
											Ici, par exemple, dans le cercle rouge,
											c'est la taille de Mars
											et dans le bleu, c'est l'hydrogène
qui s'échappe de la planète.
											Il atteint une distance
de 10 fois la taille de la planète,
											assez loin pour ne plus être
lié à cette planète.
											Il s'échappe dans l'espace.
											Cela aide à confirmer certaines idées
											telles que le fait que Mars soit rouge
à cause de cette perte d'hydrogène.
											Mais l'hydrogène
n'est pas le seul gaz perdu.
											J'ai mentionné l'hélium sur Terre,
l'oxygène, l'azote ;
											depuis MAVEN nous voyons aussi
de l'oxygène s'échappant de Mars.
											Vous voyez que,
parce que l'oxygène est plus lourd,
											il ne va pas aussi loin que l'hydrogène
											mais il s'échappe
quand même de la planète.
											Vous ne le voyez pas confiné
à ce cercle rouge.
									","
											So it's fine to look at pictures of Mars
											and say that atmospheric escape
probably happened,
											but NASA has a probe that's currently
at Mars called the MAVEN satellite,
											and its actual job
is to study atmospheric escape.
											It's the Mars Atmosphere
and Volatile Evolution spacecraft.
											And results from it have already
shown pictures very similar
											to what you've seen here on Earth.
											We've long known that Mars
was losing its atmosphere,
											but we have some stunning pictures.
											Here, for example,
you can see in the red circle
											is the size of Mars,
											and in blue you can see the hydrogen
escaping away from the planet.
											So it's reaching out more than 10 times
the size of the planet,
											far enough away that it's
no longer bound to that planet.
											It's escaping off into space.
											And this helps us confirm ideas,
											like why Mars is red,
from that lost hydrogen.
											But hydrogen isn't
the only gas that's lost.
											I mentioned helium on Earth
and some oxygen and nitrogen,
											and from MAVEN we can also look
at the oxygen being lost from Mars.
											And you can see
that because oxygen is heavier,
											it can't get as far as the hydrogen,
											but it's still escaping
away from the planet.
											You don't see it all confined
into that red circle.
									","
											Está bien mirar imágenes de Marte
											y decir que quizá ocurrió 
la fuga atmosférica.
											Pero la NASA tiene una sonda actualmente
en Marte llamada satélite MAVEN,
											y su tarea real es estudiar 
la fuga atmosférica.
											Es Atmósfera Marciana
y la nave Evolución Volátil.
											Y sus resultados ya han mostrado
imágenes muy similares
											a lo visto aquí en la Tierra.
											Hace tiempo que sabemos que Marte
estaba perdiendo su atmósfera,
											pero tenemos algunas 
imágenes impresionantes.
											Aquí, por ejemplo,
pueden ver el círculo rojo
											del tamaño de Marte,
											y en azul se puede ver el hidrógeno
que se fuga del planeta.
											Está llegando a más de 10 veces
el tamaño del planeta,
											suficientemente lejos como para 
ya no estar vinculado a ese planeta.
											Se está fugando al espacio.
											Y esto nos ayuda a confirmar ideas,
											como por qué Marte es rojo
a partir de ese hidrógeno perdido.
											Pero el hidrógeno no es
el único gas perdido.
											Mencioné helio en la Tierra
y algo de oxígeno y nitrógeno,
											y con MAVEN también podemos mirar
el oxígeno que se pierde en Marte.
											Y pueden ver que dado que
el oxígeno es más pesado,
											no puede llegar tan lejos 
como el hidrógeno,
											pero aun así se fuga del planeta.
											No se lo ve todo confinado
a ese círculo rojo.
									",Why Earth may someday look like Mars,Anjali Tripathi,11:55,"biosphere,environment,future,rocket science,Mars,science,solar system,technology,TEDx,universe,Planets,astronomy,astrobiology"
"
","
","
","
",Why Earth may someday look like Mars,Anjali Tripathi,11:55,"biosphere,environment,future,rocket science,Mars,science,solar system,technology,TEDx,universe,Planets,astronomy,astrobiology"
"
											Atmosferik kaçışın sadece kendi
gezegenimizde değil diğer
											gezegenlerde de inceleyebilmemiz
ve uzay aracı gönderebilmemiz
											gezegenlerin yalnızca
geçmişini değil genel olarak
											gezegenler ve Dünya'nın geleceği
											hakkında bilgi edinmeyi sağlıyor.
											Gelecek hakkında gerçekten
bilgi edinmenin bir yolu
											göremediğimiz kadar
uzakta olan gezegenlerdir.
											Buna geçmeden önce
belirtmeliyim ki
											size bunun gibi moral bozucu olabilecek
											Pluto resimleri vermeyeceğim
											çünkü henüz onlara sahip değiliz.
											Ancak New Horizons görevi şu anda
gezegenden kaybolan
											atmosferik kaçışı inceliyor.
											Bizimle kalın ve bakar olun!
											Hakkında konuşmak istemediğim gezegenler
											geçişen dış gezegen olarak biliniyor.
									","
											Le fait que l'échappement atmosphérique
n'existe pas que sur notre planète
											et que nous puissions l'étudier ailleurs
en envoyant un satellite
											nous permet d'en apprendre plus
sur le passé des planètes
											mais aussi sur les planètes en général
											et sur l'avenir de la Terre.
											Une façon d'en apprendre plus sur le futur
											est grâce à des planètes
si lointaines qu'on ne les voit pas.
											Je devrais faire remarquer,
avant de continuer,
											que je ne vais pas vous montrer
des images de Pluton,
											ce qui peut vous décevoir,
											mais nous n'en avons pas encore.
											La mission de New Horizons
est d'étudier l'échappement atmosphérique
											qui est perdu par la planète.
											Restez à l'écoute sur le sujet.
											Mais les planètes dont je voulais parler
											sont appelées « exoplanètes en transit ».
									","
											So the fact that we not only see
atmospheric escape on our own planet
											but we can study it elsewhere
and send spacecraft
											allows us to learn
about the past of planets
											but also about planets in general
											and Earth's future.
											So one way we actually
can learn about the future
											is by planets so far away
that we can't see.
											And I should just note though,
before I go on to that,
											I'm not going to show you
photos like this of Pluto,
											which might be disappointing,
											but that's because we don't have them yet.
											But the New Horizons mission
is currently studying atmospheric escape
											being lost from the planet.
											So stay tuned and look out for that.
											But the planets
that I did want to talk about
											are known as transiting exoplanets.
									","
											Por eso ver no solo la fuga atmosférica 
en nuestro propio planeta
											sino poder estudiarla 
en otros sitios y enviar naves
											nos permite aprender sobre 
el pasado de los planetas
											pero también sobre planetas en general
											y sobre el futuro de la Tierra.
											Así que una manera
de aprender sobre el futuro
											es mediante planetas distantes
que no podemos ver.
											Y debería tener en cuenta, sin embargo,
antes de continuar con eso,
											no les voy a mostrar
fotos como esta de Plutón,
											que podrían ser decepcionantes,
											porque no las tenemos aún.
											La misión Nuevos Horizontes 
está estudiando la fuga atmosférica
											que ocurrió en Plutón.
											Estén atentos y esperen.
											Yo quería hablar de los planetas
											conocidos como exoplanetas en tránsito.
									",Why Earth may someday look like Mars,Anjali Tripathi,11:55,"biosphere,environment,future,rocket science,Mars,science,solar system,technology,TEDx,universe,Planets,astronomy,astrobiology"
"
","
","
","
",Why Earth may someday look like Mars,Anjali Tripathi,11:55,"biosphere,environment,future,rocket science,Mars,science,solar system,technology,TEDx,universe,Planets,astronomy,astrobiology"
"
											Yani bizim Güneşimiz dışında
herhangi bir yıldızı yörüngesindeki
											gezegenler dış gezegen ya da
güneş dışı gezegen oluyor.
											Geçişen olarak adlandırılan bu gezegenler
											özel bir niteliğe sahip -
											ortadaki yıldıza bakarsanız
											aslında yanıp söndüğünü göreceksiniz.
											Yanıp sönmesinin sebebi de
											sürekli önünden geçen giden
gezegenlerin olması
											ve gezegenlerin yıldızdan gelen
											ışığa engel olduğu bu
özel durum bizim
											yanıp sönmeyi görmemizi sağlıyor.
											Gece göğünde yıldızları bu yanıp sönme
											hareketi için inceleyerek
											gezegenleri bulabiliyoruz.
											Kendi samanyolumuzdaki beş bin
üzerindeki gezegeni
											bu şekilde bulabildik,
											söylediğim gibi, daha fazlasının
olduğunu da böyle biliyoruz.
									","
											Toute planète orbitant autour d'une étoile
qui n'est pas notre soleil
											est appelée « exoplanète »
ou « planète extrasolaire ».
											Ces planètes dites « en transit »
											ont une caractéristique :
											si vous regardez cette étoile, au milieu,
											vous verrez qu'elle clignote.
											Et elle clignote
											car il y a des planètes qui passent
devant elle en permanence.
											Elle a une orientation particulière
											qui fait que les planètes
bloquent la lumière de l'étoile,
											ce qui nous permet
de voir l'étoile clignoter.
											En surveillant les étoiles dans le ciel
et en cherchant ce clignotement,
											nous pouvons trouver des planètes.
											Nous sommes ainsi capables
de détecter plus de 5 000 planètes
											dans la Voie lactée
											et, comme je l'ai dit,
nous savons qu'il y en a bien plus.
									","
											So any planet orbiting a star
that's not our Sun
											is called an exoplanet,
or extrasolar planet.
											And these planets that we call transiting
											have the special feature
											that if you look
at that star in the middle,
											you'll see that actually it's blinking.
											And the reason that it's blinking
											is because there are planets
that are going past it all the time,
											and it's that special orientation
											where the planets are blocking
the light from the star
											that allows us to see that light blinking.
											And by surveying the stars
in the night sky
											for this blinking motion,
											we are able to find planets.
											This is how we've now been able
to detect over 5,000 planets
											in our own Milky Way,
											and we know there are
many more out there, like I mentioned.
									","
											Cualquier planeta que orbita 
una estrella que no sea el sol
											se denomina exoplaneta, 
o planeta extrasolar.
											Y estos planetas que llamamos en tránsito
											tienen la característica especial
											de que si uno mira
esa estrella del medio,
											verá que en realidad está parpadeando.
											Y la razón del parpadeo
											es que hay planetas que pasan 
por delante todo el tiempo,
											y está en una orientación especial
											en la que los planetas bloquean
la luz de la estrella
											y eso nos permite ver el parpadeo.
											Y examinando en las estrellas
en el cielo nocturno
											este movimiento parpadeante,
											podemos encontrar planetas.
											Así hemos podido detectar 
más de 5000 planetas
											en nuestra propia Vía Láctea,
											y sabemos que hay muchos más 
por ahí, como he mencionado.
									",Why Earth may someday look like Mars,Anjali Tripathi,11:55,"biosphere,environment,future,rocket science,Mars,science,solar system,technology,TEDx,universe,Planets,astronomy,astrobiology"
"
","
","
","
",Why Earth may someday look like Mars,Anjali Tripathi,11:55,"biosphere,environment,future,rocket science,Mars,science,solar system,technology,TEDx,universe,Planets,astronomy,astrobiology"
"
											Bu yıldızlardan gelen ışığa baktığımızda
											gördüğümüz şey, dediğim
gibi, gezegenin kendisini değil,
											ancak zaman içinde kaydedilebilecek
											bir ışık kararmasını görüyorsunuz.
											Gezegenler önünden geçtikçe
ışık kısılıyor
											ve işte bu daha önce
gördüğünüz yanıp sönme.
											Sadece gezegenleri tespit etmiyoruz
											bu ışığa farklı dalga boyutlarından
da bakabiliyoruz.
											Dünya ve Mars'a kızılötesi ışıkta
bakmaktan bahsetmiştim.
											Eğer Hubble Uzay Teleskobu ile
geçişen dış gezegenlere bakarsak
											kızılötesi ışıkta görüyoruz ki
											gezegen yıldızın önünden geçerken
daha fazla yanıp sönme ve yıldızdan
											daha az ışık olduğunu görüyoruz.
											Bunun gezegenin etrafında uzanan
ve onu daha şişkin hale getiren
											hidrojen atmosferinden
											dolayı olduğunu ve böylece
											gördüğünüzün ışığı daha da
engellediğini düşünüyoruz.
									","
											Nous regardons la lumière de ces étoiles
											et, comme je l'ai dit,
nous ne voyons pas la planète en elle-même
											mais une diminution de la lumière
											que nous constatons au fil du temps.
											La lumière baisse alors que la planète
ralentit devant l'étoile
											et cela donne le clignotement
vu auparavant.
											Nous détectons les planètes
											et nous observons cette lumière
à différentes longueurs d'onde.
											J'ai parlé de regarder la Terre
et Mars à la lumière ultraviolette.
											En observant les exoplanètes en transit
avec le télescope spatial Hubble,
											sous la lumière ultraviolette,
											le clignotement est plus important,
il y a moins de lumière venant de l'étoile
											quand la planète passe devant.
											A notre avis, c'est parce qu'il y a
une atmosphère étendue d'hydrogène
											tout autour de la planète
											qui la rend plus grosse
											et donc bloque plus de lumière
que ce que vous voyez.
									","
											So when we look at the light
from these stars,
											what we see, like I said,
is not the planet itself,
											but you actually see
a dimming of the light
											that we can record in time.
											So the light drops as the planet
decreases in front of the star,
											and that's that blinking
that you saw before.
											So not only do we detect the planets
											but we can look at this light
in different wavelengths.
											So I mentioned looking at the Earth
and Mars in ultraviolet light.
											If we look at transiting exoplanets
with the Hubble Space Telescope,
											we find that in the ultraviolet,
											you see much bigger blinking,
much less light from the star,
											when the planet is passing in front.
											And we think this is because you have
an extended atmosphere of hydrogen
											all around the planet
											that's making it look puffier
											and thus blocking
more of the light that you see.
									","
											Así que cuando miramos 
la luz de estas estrellas,
											no vemos, como dije, al planeta en sí,
											sino un oscurecimiento de la luz
											que podemos registrar en el tiempo.
											Así la luz decae conforme el planeta
pasa delante de la estrella,
											y ese es el parpadeo que vimos antes.
											Así que no solo detectamos los planetas
											Pero podemos mirar esta luz
en diferentes longitudes de onda.
											Mencioné observar la Tierra
y Marte con luz ultravioleta.
											Si observamos exoplanetas en tránsito
con el Telescopio Espacial Hubble,
											encontramos que en el ultravioleta,
											se ve un parpadeo mucho más grande,
mucho menos luz de la estrella,
											cuando el planeta pasa por delante.
											Y pensamos que se debe a una atmósfera 
extendida de hidrógeno
											alrededor del planeta
											que le da un aspecto más hinchado
											bloqueando de ese modo 
más luz de la que vemos.
									",Why Earth may someday look like Mars,Anjali Tripathi,11:55,"biosphere,environment,future,rocket science,Mars,science,solar system,technology,TEDx,universe,Planets,astronomy,astrobiology"
"
","
","
","
",Why Earth may someday look like Mars,Anjali Tripathi,11:55,"biosphere,environment,future,rocket science,Mars,science,solar system,technology,TEDx,universe,Planets,astronomy,astrobiology"
"
											Bu tekniği kullanarak,
atmosferik kaçış yaşayan
											birkaç geçişen dış gezegen
bulmayı başardık.
											Ve bulduğumuz gezegenlerden bazıları
											sıcak Jüpiter olarak adlandırılabilir.
											Bunun sebebi onların
Jüpiter gibi gaz gezegeni olması
											ancak yıldızlarına çok daha yakınlar,
											Jüpiter'den yüz kat daha fazla.
											Kaçmaya hazır olan bütün bu
hafif gazlardan ve yıldızdan
											gelen bütün sıcaklıktan dolayı
											tamamen yıkıcı oranda
atmosferik kaçış oluyor.
											Dünya'da kaybolan dakikada
180 kilo hidrojen oranı aksine
											bu gezegenlerde
											her dakika 590 milyon kilo
hidrojen kaçışı oluyor.
									","
											En utilisant cette technique,
nous avons pu découvrir
											quelques exoplanètes en transit
subissant un échappement atmosphérique.
											Ces planètes peuvent être appelées
« Jupiter chaudes »,
											en tout cas pour certaines.
											Cela car, comme Jupiter,
ce sont des planètes gazeuses
											mais elles sont si proches de leur étoile,
											environ 100 fois plus proches que Jupiter.
											Et parce qu'il a tout ce gaz léger
qui est prêt à s'échapper
											et toute cette chaleur de l'étoile,
											il y a des taux catastrophiques
d'échappement atmosphérique.
											Contrairement à nos 200 kg d'hydrogène
perdus chaque minute sur Terre,
											ces planètes perdent 0,7 milliard
de kilogrammes d'hydrogène par minute.
									","
											So using this technique,
we've actually been able to discover
											a few transiting exoplanets
that are undergoing atmospheric escape.
											And these planets
can be called hot Jupiters,
											for some of the ones we've found.
											And that's because
they're gas planets like Jupiter,
											but they're so close to their star,
											about a hundred times closer than Jupiter.
											And because there's all this
lightweight gas that's ready to escape,
											and all this heating from the star,
											you have completely catastrophic rates
of atmospheric escape.
											So unlike our 400 pounds per minute
of hydrogen being lost on Earth,
											for these planets,
											you're losing 1.3 billion
pounds of hydrogen every minute.
									","
											Mediante esta técnica hemos 
podido descubrir en realidad
											algunos exoplanetas en tránsito
que sufren fuga atmosférica.
											Y estos planetas pueden
denominarse Júpiteres calientes,
											a partir de algunos 
que hemos encontrado.
											Y eso debido a que son planetas 
de gas como Júpiter,
											pero están muy cerca de su estrella,
											unas cien veces más cerca que Júpiter.
											Y como está todo ese gas liviano 
listo para escapar,
											y todo ese calor de la estrella,
											existe una tasa catastrófica 
de fuga atmosférica.
											En vez de los 180 kilos por minuto
de hidrógeno que pierde la Tierra,
											en estos planetas
											se pierden unos 590 millones 
de kg de hidrógeno por minuto.
									",Why Earth may someday look like Mars,Anjali Tripathi,11:55,"biosphere,environment,future,rocket science,Mars,science,solar system,technology,TEDx,universe,Planets,astronomy,astrobiology"
"
","
","
","
",Why Earth may someday look like Mars,Anjali Tripathi,11:55,"biosphere,environment,future,rocket science,Mars,science,solar system,technology,TEDx,universe,Planets,astronomy,astrobiology"
