en,tr,pt,fr,es,de,title,speaker,duration,tags
"
											College, shopping, music.
											What makes a language powerful
is that you can take a very complex idea
											and communicate it
in a very simple, efficient form.
											These images represent
exactly the same ideas.
											But when you look, for example,
at the college hat,
											you know that this doesn't represent
the accessory you wear on your head
											when you're being handed your diploma,
											but rather the whole idea of college.
											Now, what drawings can do
is they cannot only communicate images,
											they can even evoke emotions.
											Let's say you get to
an unfamiliar place and you see this.
											You feel happiness and relief.
									","
											Üniversite, alışveriş, müzik.
											Bir dili güçlü kılan şey
karmaşık bir fikri alıp
											oldukça basit ve etkili
bir biçimde iletebilmemiz.
											Bu görseller de tamamen
aynı fikirleri temsil ediyor.
											Örneğin mezuniyet kepine baktığınızda
											bunun sadece siz diplomanızı alırken
											başınıza taktığınız bir aksesuarı
temsil etmediğini biliyorsunuz,
											tüm üniversite konseptini temsil ediyor.
											Çizimler yalnızca
görsellerin iletişimi sağlamıyor,
											duyguları da harekete geçiriyor.
											Mesela pek bilmediğiniz
bir yere gittiniz ve bunu gördünüz.
											Mutlu olur ve rahatlarsınız.
									","
											Faculdade, compras, música.
											O que torna uma linguagem poderosa,
é poder pegar numa ideia complexa,
											comunicando-a de maneira
muito simples e eficiente.
											Estas imagens representam exatamente
as mesmas ideias.
											Mas quando as olhamos, por exemplo,
para o chapéu de formatura,
											sabemos que não representa
necessariamente o chapéu que usam
											quando estão a segurar o diploma,
											e sim, a ideia da faculdade.
											Ora, os desenhos
não só conseguem comunicar imagens
											como provocam emoções.
											Digamos que vocês vão a um sítio
pouco familiar, e veem isto.
											Sentirão felicidade e alívio.
									","
											L'université, le shopping, la musique.
											Ce qui rend une langue puissante,
											c'est sa capacité à communiquer une idée
complexe simplement et efficacement.
											Ces images représentent
exactement les mêmes idées.
											Mais en observant
le chapeau universitaire, par exemple,
											vous savez qu'il ne représente pas
l'accessoire qu'on porte sur la tête
											quand on vous remet votre diplôme,
											mais plutôt le concept entier
de l'université.
											Bon, les dessins peuvent
non seulement communiquer des images,
											ils peuvent aussi évoquer des émotions.
											Disons que vous arrivez
dans un lieu inconnu et vous voyez ça.
											Vous ressentez
de la joie et du soulagement.
									","
											Universidad, compras, música.
											Lo que hace una lengua poderosa
es que puedes tomar ideas complejas
											y comunicarlas de una forma
sencilla y eficiente.
											Estas imágenes representan
exactamente las mismas ideas.
											Pero cuando observan
el birrete, por ejemplo,
											saben que no representa
el accesorio que se ponen en la cabeza
											cuando les entregan un diploma,
sino la idea general de la universidad.
											Las ilustraciones no solo
comunican las imágenes,
											también pueden evocar emociones.
											Digamos que llegan 
a un sitio desconocido y ven esto.
											Sienten felicidad y alivio.
									","
											Universität, Einkaufen, Musik.
											Das Kraftvolle an einer Sprache ist, dass
Sie eine sehr komplexe Idee nehmen können
											und sie sehr einfach, effektiv vermitteln.
											Diese Bilder stehen
für genau dieselben Ideen.
											Wenn Sie z. B. den Doktorhut sehen,
											wissen Sie, es ist kein Accessoire,
das man nur auf dem Kopf trägt,
											wenn man seinen Abschluss macht,
											sondern es steht für
die ganze Idee von Universität.
											Zeichnungen können
nicht nur Bilder übermitteln,
											sondern auch Gefühle hervorrufen.
											Sagen wir, Sie landen an einem
unbekannten Ort und sehen das.
											Sie fühlen sich glücklich und erleichtert.
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											Or a slight sense of unease
or maybe downright panic.
									","
											Veya huzursuz olursunuz
ya da doğrudan paniklersiniz.
									","
											Ou uma ligeira sensação de desconforto.
talvez pânico.
									","
											Ou un léger sentiment de malaise,
voire une panique horrifiée.
									","
											O una ligera sensación de inquietud
o quizás un pánico total.
									","
											Oder ein bisschen besorgt
oder vielleicht völlig panisch.
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											Or blissful peace and quiet.
									","
											Veya tamamen huzur ve sessizlik.
									","
											Ou paz e tranquilidade.
									","
											Ou la paix et un calme bienheureux.
									","
											O una paz bendita y quietud.
									","
											Oder wohltuenden Frieden und Ruhe.
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											But visuals, they're of course
more than just graphic icons.
											You know, if I want to tell the story
of modern-day struggle,
											I would start with the armrest
between two airplane seats
											and two sets of elbows fighting.
											What I love there is this universal law
											that, you know, you have
30 seconds to fight it out
											and once it's yours, you get to keep it
for the rest of the flight.
									","
											Tabii görseller grafik ikonlardan
çok daha fazlası.
											Eğer günümüzün mücadelesi hakkında
bir hikâye anlatmak istesem
											uçakta iki koltuk arasındaki
kol desteğinden
											ve iki dirseğin savaşından bahsederdim.
											Bu konuda en sevdiğim şey
ortada evrensel bir kural olması,
											30 saniye içinde savaşı kazanmanız lazım
											ve bir kere kazandıysanız
uçuş sonuna kadar kol desteği sizin.
									","
											Mas, estas imagens
são mais do que ícones gráficos.
											Se eu vos quiser contar uma história
sobre as dificuldades do mundo atual,
											eu começaria pela disputa
do apoio braçal entre assentos no avião
											com dois cotovelos a lutar.
											O que adoro é a lei universal
											dos 30 segundos para ganhar a disputa
											e uma vez nosso, ficamos com ele
durante o resto do voo.
									","
											Mais les visuels sont bien sûrs
davantage que de simples graphiques.
											Vous voyez, si je veux raconter
l'histoire de la lutte des temps modernes,
											je commence avec l'accoudoir
entre les sièges d'avion
											et deux coudes qui se battent.
											J'adore en particulier
cette loi universelle
											qui stipule que vous avez
30 secondes pour le conquérir
											et une fois que c'est fait, vous pouvez
le garder pour le reste du vol.
									","
											Pero las imágenes visuales
son más que íconos gráficos.
											Si quiero contar la historia
de nuestras luchas en la vida moderna,
											comenzaría con el reposabrazos
entre dos asientos de avión
											y un par de codos peleándolo.
											Lo que me encanta es que
hay esta ley universal
											que, como saben, tienen
30 segundos para ganárselo
											y una vez que es suyo,
les pertenece durante todo el vuelo.
									","
											Aber Bilder sind natürlich
mehr als bloß grafische Zeichen.
											Wenn ich die Geschichte des Kampfs
unserer heutigen Zeit erzähle,
											würde ich mit den Armlehnen
zwischen Flugzeugsitzen beginnen,
											und zwei Ellenbögen, die kämpfen.
											Was mir hier gefällt,
ist das universelle Gesetz:
											Sie haben nur 30 Sekunden,
um es auszufechten,
											und sobald es Ihre ist, 
gehört sie Ihnen es bis zum Flugende.
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											Now, commercial flight
is full of these images.
											If I want to illustrate
the idea of discomfort,
											nothing better than these neck pillows.
											They're designed
to make you more comfortable —
									","
											Ticari uçaklar bu görsellerle dolu.
											Rahatsız olma konseptini
görsele dönüştürmek istiyorsam
											bu boyun yastıkları bunun için ideal.
											Sizi rahat ettirmek için tasarlanmışlar,
									","
											Um voo comercial 
está cheio dessas imagens.
											Se eu quiser ilustrar
a ideia de desconforto,
											não há nada melhor do que
aquelas almofadas para o pescoço.
											Foram desenvolvidas para nosso conforto...
									","
											On voit ces images
dans tous les vols commerciaux.
											Si je veux illustrer l'idée d'inconfort,
											rien de tels que ces oreillers de voyage.
											Ils sont conçus
pour vous donner du confort —
									","
											Los viajes comerciales
están llenos de estas ilustraciones.
											Si quisiera ilustrar
la idea de la incomodidad,
											nada mejor que estas almohadas de cuello.
											Están diseñadas para
que estés más cómodo...
									","
											Kommerzielles Fliegen
ist voll mit solchen Bildern.
											Wenn ich Unbehagen zeigen will,
											ist nichts besser als diese Nackenkissen.
											Sie wurden designt,
um es Ihnen gemütlicher zu machen.
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											except they don't.
									","
											ama öyle değiller.
									","
											Só que não funcionam.
									","
											sauf qu'ils ne le font pas.
									","
											pero no sirven.
									","
											Nur dass sie das nicht tun.
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											So I never sleep on airplanes.
											What I do occasionally
is I fall into a sort of painful coma.
											And when I wake up from that,
											I have the most terrible
taste in my mouth.
											It's a taste that's so bad,
it cannot be described with words,
											but it can be drawn.
									","
											Bu yüzden uçakta hiç uyumam.
											Ara sıra acı içinde
komaya girdiğim oluyor ama.
											Bundan uyandığımda ise
											ağzımda korkunç bir tat oluyor.
											O kadar kötü bir tat ki
kelimelerle tarif edilemez
											ama çizilebilir.
									","
											Por isso, eu nunca durmo nos aviões.
											O que faço, ocasionalmente,
é cair num tipo de coma doloroso.
											E quando acordo,
											sinto um gosto horrível na boca.
											É tão mau que não consigo
descrever por palavras.
											Mas pode ser desenhado.
									","
											Bref, je ne dors jamais en avion.
											Il m'arrive occasionnellement de tomber
dans une sorte de coma douloureux.
											Et quand je me réveille,
											j'ai un goût horrible dans la bouche.
											Ce goût est si mauvais,
qu'il ne peut être décrit par des mots.
											Mais il peut être dessiné.
									","
											Así que nunca duermo en los aviones.
											Ocasionalmente, caigo en un coma profundo.
											Y cuando despierto,
											tengo el más terrible sabor de boca.
											El sabor es tan terrible que
no lo puedo describir con palabras,
											pero lo puedo dibujar.
									","
											Ich schlafe also nie im Flugzeug.
											Was ich ab und zu mache, ist,
in eine Art schmerzhaftes Koma zu fallen.
											Wenn ich davon aufwache,
											habe ich den schrecklichsten
Geschmack im Mund.
											Der ist so furchtbar, dass es sich
nicht mit Worten beschreiben lässt,
											man kann das aber zeichnen.
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											The thing is, you know, I love sleeping.
											And when I sleep, I really
prefer to do it while spooning.
											I've been spooning on almost a pro level
for close to 20 years,
											but in all this time,
I've never figured out
											what to do with that bottom arm.
									","
											Olay şu ki ben uyumayı çok seviyorum.
											Ve sarılarak uyumayı tercih ediyorum.
											Yaklaşık 20 yıldır sarılarak
uyuma konusunda profesyonel oldum,
											yine de bu kadar zaman boyunca
											alttaki kol hakkında
ne yapacağımı çözemedim.
									","
											A verdade é que eu adoro dormir.
											E quando durmo, 
prefiro babar-me enquanto durmo.
											Babo-me quase a nível profissional
há uns 20 anos,
											mas durante todo esse tempo,
nunca descobri
											o que fazer com o braço debaixo de mim.
									","
											En fait, j'adore dormir, voyez-vous.
											Quand je dors, c'est la position
en cuillère que je préfère.
											Je dors en cuillère à un niveau
professionnel depuis à peu près 20 ans.
											Mais pendant tout ce temps,
je n'ai toujours pas compris
											quoi faire avec le bras en dessous.
									","
											Me encanta dormir.
											Y cuando duermo,
prefiero dormir de cucharita.
											He dormido de cucharita por casi 20 años,
											pero en todo este tiempo nunca supe
											qué hacer con el brazo de abajo.
									","
											Es ist so, ich schlafe gern.
											Und am liebsten schlafe ich
in Löffelchenstellung.
											Ich mache das seit fast 20 Jahren
beinahe professionell,
											aber in all der Zeit habe ich
nicht heraugefunden
											was mit dem unterem Arm zu tun ist.
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											(Applause)
									","
											(Alkışlar)
									","
											(Aplausos)
									","
											(Applaudissements)
									","
											(Aplausos)
									","
											(Applaus)
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											And the only thing —
											the only thing that makes sleeping
even more complicated
											than trying to do it on an airplane
											is when you have small children.
											They show up at your bed at around 4am
											with some bogus excuse of,
""I had a bad dream.""
									","
											Ayrıca uykuyu -
											uykuyu uçakta uyumaya çalışmaktan
											daha karmaşık yapan tek şey
											küçük çocuklarınızın olması.
											Yapmacık bir 
''Kötü rüya gördüm'' bahanesiyle
											sabahın dördünde
yatağınızın yanına gelirler.
									","
											E a única coisa...
											A única coisa que me atrapalha a dormir,
											mais do que tentar dormir nos aviões,
											é quando há criancinhas.
											Aparecem na nossa cama
por volta das 4h da manhã
											com desculpas do tipo: 
""Eu tive um pesadelo.""
									","
											Et la seule chose
											qui rende le sommeil encore plus compliqué
											qu'essayer de dormir en avion,
											ce sont vos enfants en bas âge.
											Ils apparaissent dans votre lit
vers 4 heures du matin
											avec une excuse bidon du style :
« j'ai fait un mauvais rêve. »
									","
											Lo único...
											lo único que hace que
el dormir sea más complicado
											que tratar de dormir en un avión
											es cuando tienes niños pequeños.
											Se aparecen en tu cama como a las 4 a. m.,
											con esa falsa excusa
de ""tuve una pesadilla"".
									","
											Und das Einzige —
											das Einzige, das das Schlafen
noch mehr erschwert,
											als der Versuch, es im Flugzeug zu tun,
											ist, wenn Sie noch kleine Kinder haben,
											Sie tauchen etwa morgens um vier
an Ihrem Bett auf
											mit einer schlechten Ausrede:
""Ich habe schlecht geträumt.""
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											And then, of course you feel
sorry for them, they're your kids,
											so you let them into your bed.
											And I have to admit, at the beginning,
they're really cute and warm and snugly.
											The minute you fall back asleep,
they inexplicably —
									","
											Sonra hâllerine üzülürsünüz tabii,
çocuklarınız sonuçta,
											dolayısıyla yatağa alırsınız.
											Kabul ediyorum, ilk başta çok sevimli,
sıcacık ve güvenliler.
											Geri uyuduğunuz anda,
açıklanamaz bir şekilde
									","
											E então é claro que sentimos pena,
são os nossos filhos,
											e deixamo-los ficar na nossa cama.
											Tenho que admitir que, inicialmente,
são tão fofos, quentinhos e confortáveis.
											No minuto em que voltamos a dormir
eles, inexplicavelmente...
									","
											Vous avez de la peine pour eux,
ce sont vos enfants après tout,
											alors vous les laissez monter
dans le lit.
											Et j'avoue, au départ,
ils sont mignons, chauds et douillets.
											À la minute même où vous endormez,
inexplicablement ils —
									","
											Y claro que te sientes mal
porque son tus hijos
											y los dejas subirse a tu cama.
											Y tengo que admitirlo, al comienzo
son muy lindos, cálidos y cómodos.
											Pero apenas comienzas a dormirte,
de manera inexplicable ellos...
									","
											Und dann tun sie dir leid,
sie sind doch deine Kinder,
											und du lässt sie in dein Bett.
											Ich muss zugeben, anfangs waren sie
echt goldig und warm und kuschelig.
											Genau wenn man wieder einschläft,
fangen sie unerklärlicherweise an —
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											start rotating.
									","
											dönmeye başlıyorlar.
									","
											começam a rodar.
									","
											ils pivotent.
									","
											comienzan a rotar.
									","
											sich zu drehen.
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
