es,en,fr,de,pt,title,speaker,duration,tags
"
","
","
","
","
",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
											Este es un esfuerzo conjunto
entre el artista francés JR y yo.
											Intérprete: Este es un esfuerzo conjunto
entre el artista francés JR y yo.
									","
											This is a joint effort between me and French artist JR.
											Interpreter: This is a joint effort between me and French artist JR.
									","
											Il s'agit d'un effort conjoint entre moi et l'artiste français JR.
											Interprète : Il s'agit d'un effort conjoint entre moi et l'artiste français JR.
									","
											Dies ist ein Gemeinschaftsprojekt mit
dem französischen Künstler JR.
											Dies ist ein Gemeinschaftsprojekt
mit dem französischen Künstler JR.
									","
											Intérprete: Este é um esforço conjunto
entre mim e o artista francês JR.
											(Aplausos)
									",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
","
","
","
","
",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
											(Aplausos)
									","
											(Applause)
									","
											(Applaudissements)
									","
											(Beifall)
									","
											LB: (em chinês)
									",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
","
","
","
","
",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
											LB: Traté de desaparecer
en los ojos de JR,
											pero el problema es que JR solo
usa modelos con ojos grandes.
											Así que traté agrandar
mis ojos con los dedos.
											Pero todavía no son lo suficientemente
grandes para JR, por desgracia.
											Intérprete: Traté de desaparecer
en los ojos de JR,
											pero el problema es que JR solo
usa modelos con ojos grandes.
											Así que traté de agrandar
mis ojos con este gesto.
											Pero no funciona, mis ojos
todavía son muy pequeños.
									","
											LB: I tried to disappear into JR's eye,
											but the problem is JR only uses models with big eyes.
											So I tried to make my eyes bigger with my fingers.
											But still they are not big enough for JR, unfortunately.
											Interpreter: So I tried to disappear into JR's eye,
											but the problem is JR uses only models with big eyes.
											So I tried to make my eyes bigger with this gesture.
											But it doesn't work, my eyes are still small.
									","
											LB: J'ai tenté de disparaître dans l'œil de JR,
											mais le problème, c'est que Jr utilise uniquement des modèles avec de grands yeux.
											J'ai donc essayé d'agrandir mes yeux avec mes doigts.
											Mais ça ne marche pas, ils ne sont pas assez grands pour JR, malheureusement.
											Interprète : J'ai donc essayé de disparaître dans l'œil de JR,
											mais le problème, c'est que Jr utilise uniquement des modèles avec de grands yeux.
											J'ai donc essayé d'agrandir mes yeux avec mes doigts.
											Mais ça ne marche pas, ils ne sont pas assez grands pour JR.
									","
											Ich habe versucht in JRs Aufnahme 
von meinem Auge zu verschwinden,
											aber normalerweise nimmt JR für seine Kunstwerke
Models mit sehr großen Augen.
											also habe ich so gemacht, 
um meine Augen etwas größer zu machen,
											aber nichts zu machen, 
meine Augen sind immer noch klein.
											Ich habe versucht in JRs Aufnahme 
von meinem Auge zu verschwinden,
											aber normalerweise nimmt JR für seine Kunstwerke
Models mit sehr großen Augen.
											also habe ich so gemacht, 
um meine Augen etwas größer zu machen,
											aber nichts zu machen, 
meine Augen sind immer noch klein. (Lachen)
									","
											Intérprete: Tentei desaparecer
aos olhos de JR
											mas o problema é que JR
só usa modelos com grandes olhos.
											Tentei aumentar os meus olhos
com os dedos.
											Mas, infelizmente, não funcionou,
os meus olhos mantiveram-se pequenos.
											LB (Em chinês): Este é sobre a memória
do 11 de setembro.
									",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
","
","
","
","
",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
											LB: Esta es en recuerdo del 11-S.
									","
											LB: This one is about 9/11 memories.
									","
											LB: Ceci regarde les souvenirs du 11 Septembre
									","
											Dieses Werk erinnert an den 11. September.
									","
											É um avião no Rio Hudson.
									",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
","
","
","
","
",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
											Es un portaviones anclado
a orillas del río Hudson.
									","
											This is an aircraft carrier moored alongside the Hudson River.
									","
											Il s'agit d'un porte-avions amarré aux côtés de la rivière Hudson.
									","
											Das ist ein am Hudson River ankernder Flugzeugträger.
									","
											Um ""graffiti"" de Kenny Scharf.
									",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
","
","
","
","
",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
											Grafiti de Kenny Scharf.
											(Risas)
									","
											Kenny Scharf's graffiti.
											(Laughter)
									","
											Graffiti de Kenny Scharf.
											(Rires)
									","
											Ein Graffiti von Kenny Scharf.
											(Lachen)
									","
											(Risos)
											Aqui é Veneza, na Itália.
									",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
","
","
","
","
",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
											Esto es Venecia, Italia.
											Porque la temperatura mundial aumenta,
											el nivel del mar aumenta, y se dice que
Venecia desaparecerá de las próximas décadas.
											Esta es la antigua ciudad de Pompeya.
											Intérprete: Esta es la antigua
ciudad de Pompeya.
											LB: Esta es la Galería Borghese
											en Roma.
									","
											This is Venice, Italy.
											Because global temperatures rise,
											the sea level rises, and it is said thatVenice will disappear in the coming decades.
											This is the ancient city of Pompeii.
											Interpreter: This is the ancient city of Pompeii.
											LB: This is the Borghese Gallery
											in Rome.
									","
											Voici Venise, en Italie
											A cause des températures mondiales qui augmentent,
											le niveau de la mer s'élève, et on dit que Venise va disparaître dans les prochaines décennies.
											Voici l'ancienne ville de Pompéi.
											Interprète : Voici l'ancienne ville de Pompéi.
											LB: Voici la Galerie Borghese
											à Rome.
									","
											Das ist in Venedig, Italien.
											Weil die Temperatur und der Wasserspiegel
											weltweit steigen, heißt es, dass es Venedig 
in zehn Jahren nicht mehr geben wird.
											Das ist die Altstadt von Pompeji.
											Das ist die Altstadt von Pompeji.
											Das ist die
											Borgia-Galerie in Rom.
									","
											Como as temperaturas mundiais
aumentam, o nível do mar aumenta
											e diz-se que Veneza vai desaparecer
nas próximas décadas.
											Intérprete: 
Esta é a antiga cidade de Pompeia.
											LB (Em chinês):
Esta é a Galeria Borghese, em Roma.
											Quando trabalho numa nova obra,
											presto mais atenção à expressão de ideias.
									",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
","
","
","
","
",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
											Cuando trabajo en una nueva obra,
presto más atención a la expresión de ideas.
											Por ejemplo: ¿por qué me hago invisible?
											Lo que me hace invisible hace pensar a la gente.
									","
											When I work on a new piece, I pay more attention to the expression of ideas.
											For instance, why would I make myself invisible?
											What will making myself invisible here cause people to think?
									","
											Quand je travaille sur un nouveau morceau, je fait plus attention à l'expression des idées.
											Par exemple, pourquoi me ferais-je invisible ?
											En me rendant invisible, que penserons les gens ?
									","
											Bei einem neuen Kunstwerk achte ich sehr darauf,
wie ich Gedanken ausdrücke.
											Wie zum Beispiel, warum ich verschwinde
und wie mein Verschwinden
											die Menschen zum Nachdenken bringt.
									","
											Por exemplo, porque é que
me torno invisível?
											E se me tornasse invisível aqui,
o que é que as pessoas pensariam?
											(Em chinês)
									",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
","
","
","
","
",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
											Esta se llama Fideos Instantáneos.
											Intérprete: Esta se llama
Fideos Instantáneos. (Risas)
											LB: Desde agosto de 2012,
											Se han encontrado fósforos nocivos
											en los paquetes de fideos instantáneos de todas
las marcas famosas en los supermercados de China.
											Estos fósforos pueden incluso 
provocar cáncer.
											Para crear esta obra de arte,
											compré muchos paquetes de fideos instantáneos
											y los puse en mi estudio, haciendo
que parezca un supermercado.
											Y mi trabajo es estar ahí,
tratando de quedarme firme,
											encontrar la posición de la cámara,
coordinar con mi asistente
											y dibujar los colores y formas
que están detrás de mi cuerpo
											en el frente de mi cuerpo.
Si el fondo es simple,
											generalmente tengo que
estar de 3 a 4 horas.
											El fondo de esta obra es más complejo,
											así que necesité de 3 a 4 días
previos de preparación.
											Este es el traje que usé
en la toma del supermercado.
											No hay Photoshop.
											Intérprete: Este es el traje que usé
en la toma del supermercado.
											No hay Photoshop. (Risas)
									","
											This one is called Instant Noodles.
											Interpreter: This one is called Instant Noodles. (Laughter)
											LB: Since August 2012,
											harmful phosphors have been found
											in the instant noodle package cups from every famous brand sold in China's supermarkets.
											These phosphors can even cause cancer.
											To create this artwork,
											I bought a lot of packaged instant noodle cups
											and put them in my studio, making it look like a supermarket.
											And my task is to stand there, trying to be still,
											setting up the camera position and coordinating with my assistant
											and drawing the colors and shapes that are behind my body
											on the front of my body. If the background is simple,
											I usually have to stand for three to four hours.
											The background of this piece is more complex,
											so I need three to four days in advance for preparation.
											This is the suit I wore when I did the supermarket shoot.
											There is no Photoshop involved.
											Interpreter: This is the suit I [was] wearing when I did the supermarket shoot.
											There is no Photoshop involved. (Laughter)
									","
											Celui-ci est appelé nouilles instantanées.
											Interprète : Celui-ci est appelé nouilles instantanées. (Rires)
											LB: Depuis août 2012,
											des phosphores nocifs ont été trouvés
											dans des paquets de nouille instantanée de toutes les marques célèbres vendues dans les supermarchés de la Chine.
											Ces phosphores peuvent même causer le cancer.
											Pour créer cette oeuvre,
											j'ai acheté un lot de paquets de nouilles instantanées.
											et les je les ai mis dans mon studio, de manière à ce que ça ressemble à un supermarché.
											Et ma tâche est de rester là, essayant de rester immobile,
											mettre en place la caméra, me coordonner avec mon assistante
											et dessiner les couleurs et les formes derrière mon corps.
											sur le devant de mon corps. Si le fond est simple,
											je dois habituellement rester debout pendant 3 à 4 heures.
											Le fond de cette pièce est plus complexe,
											donc j'ai besoin de trois ou quatre jours pour la préparation.
											C'est le costume que je portais quand j'ai fait la prise du supermarché.
											C'est sans Photoshop.
											Interprète : C'est le costume que je portais quand j'ai fait la prise du supermarché.
											Pas de Photoshop impliqué. (Rires)
									","
											Dieses Kunstwerk heißt ""Instant-Nudeln"".
											Dieses Kunstwerk heißt ""Instant-Nudeln"". 
(Lachen)
											Seit August 2012
											wurde gesundheitsschädigendes Phosphor 
bei Instant-Nudeln der großen Hersteller gefunden.
											Bei allen wurde 
gesundheitsschädigendes Phosphor gefunden.
											Diese Stoffe können sogar krebserregend sein.
											Um dieses Kunstwerk zu erschaffen,
											musste ich viele Packungen 
Instant-Nudeln kaufen
											und in meiner Werkstatt 
zu einem kleinen Supermarkt zusammenstellen.
											Danach war es meine Aufgabe
möglichst starr an einem Punkt zu stehen,
											die Kamera richtig zu positionieren und 
mit meinem Assistenten zusammenzuarbeiten.
											um die Farben und Konturen hinter meinem Körper
											auf meinen Körper zu malen. 
Handelt es sich um einen einfachen Hintergrund,
											stehe ich gewöhnlich 3 bis 4 Stunden da.
											Aufgrund der Komplexität dieses Hintergrundes
											brauchte ich allerdings fast 4 Tage Vorbereitungszeit.
											Das ist der Anzug, 
den ich bei dem Shooting anhatte.
											Es wurde nicht mit Photoshop gearbeitet.
											Das ist der Anzug, den ich bei dem Shooting anhatte.
											Es wurde nicht mit Photoshop gearbeitet. (Lachen)
									","
											Intérprete: Esta chama-se
"" 'Noodles' Instantâneas"".
											(Risos)
											LB (Em chinês): Em agosto de 2012,
											encontraram-se fósforos prejudiciais
											nas embalagens de ""noodles"" instantâneas
											em todas as marcas conhecidas
nos supermercados da China.
											Estes fósforos podem causar o cancro.
											Para criar esta obra,
											comprei muitas embalagens
de ""noodles"" instantâneas
											e coloquei-as no meu estúdio,
de modo a parecer um supermercado.
											A minha função é ficar ali,
tentando não me mexer,
											colocar a câmara, coordenar-me
com o meu assistente
											e desenhar as cores e as formas
por detrás do meu corpo,
											uma em frente do meu corpo.
											Se o fundo for simples, normalmente
tenho de me manter ali
											durante três a quatro horas.
											O fundo desta obra é mais complexo,
											portanto, preciso de quatro dias
para preparação.
											Este é o fato que usei
quando fiz a foto do supermercado.
											Intérprete: Este é o fato que usei
quando fiz a foto do supermercado
											Não há aqui nenhum Photoshop.
											(Risos)
											LB (Em chinês): Estas obras estão
na memória cultural da China.
									",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
","
","
","
","
",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
											LB: Estas obras están en
el recuerdo cultural de China.
									","
											LB: These works are on China's cultural memories.
									","
											LB: Ces travaux sont sur la mémoire culturelle de la Chine.
									","
											Dieses Kunstwerk handeln von Denkmälern.
									","
											Esta refere-se
à segurança alimentar na China.
									",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
","
","
","
","
",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
											Y esta es sobre
											la seguridad alimentaria en China.
											Los alimentos insalubres pueden
dañar la salud de las personas
											y un aluvión de revistas puede confundir
las mentes de la gente. (Risas)
											Las siguientes obras muestran cómo me hice invisible
en revistas de distintos idiomas,
											en diferentes países, y diferentes momentos.
									","
											And this one,
											this is about food safety in China.
											Unsafe food can harm people's health,
											and a deluge of magazines can confuse people's minds. (Laughter)
											The next pieces of work show how I made myself invisible in magazines of different languages,
											in different countries and at different times.
									","
											Et celui-ci,
											est au sujet de la sécurité alimentaire en Chine.
											Les aliments insalubres peuvent nuire à la santé du peuple,
											et un déluge de magazines peut confondre les esprits. (Rires)
											Les œuvre suivantes montrent comment je me suis rendu invisible dans des magazines de langues différentes,
											dans des pays différents et à des moments différents.
									","
											Dieses ebenfalls.
											Es geht um die Sicherheit 
von Lebensmitteln in China.
											Unsichere Lebensmittel gefährden die Gesundheit,
											und die wahllose Ausbreitung von Magazinen
gefährdet das logische Denkvermögen. (Lachen)
											Das folgende Werk zeigt, wie ich mich 
vor Magazinen unsichtbar mache,
											in unterschiedlichen Ländern, 
unterschiedlichen Sprachen und Zeiten.
									","
											Os alimentos pouco seguros
prejudicam a saúde das pessoas,
											e um dilúvio de revistas confundem
o espírito das pessoas.
											(Risos)
											As próximas obras mostram
como me tornei invisível
											nas revistas de diversas línguas,
											em vários países e em diversas alturas.
											Penso que, na arte, a atitude do artista
é o elemento mais importante.
									",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
","
","
","
","
",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
											Creo que en el arte, la actitud del artista
es el elemento más importante.
											Si una obra ha de impactar a alguien,
											debe ser resultado no solo de la técnica, sino también
del pensamiento del artista y de su lucha en la vida.
											Las repetidas luchas en la vida 
crean obras de arte,
											no importa en qué forma.
									","
											I think that in art, an artist's attitude is the most important element.
											If an artwork is to touch someone,
											it must be the result of not only technique, but also the artist's thinking and struggle in life.
											And the repeated struggles in life create artwork,
											no matter in what form.
									","
											Je pense que dans l'art, l'attitude de l'artiste est l'élément le plus important.
											Si une œuvre d'art est de toucher quelqu'un,
											il doit être le résultat non seulement de la technique, mais aussi de la pensée et des efforts de l'artiste dans la vie.
											Et les efforts répétés dans la vie vie créent des illustrations,
											peut importe dans quelle forme.
									","
											Ich glaube, in der Kunst 
ist die Einstellung des Künstlers das Wichtigste,
											wenn ein Kunstwerk Menschen bewegen soll.
											Es sollte das Ergebnis seiner Technik, 
wie auch seiner Gedanken
											und seiner Kämpfe im Leben sein.
Lebensschmerz kann in der Kunst ausgedrückt werden,
											egal in welcher Form.
									","
											Para uma obra de arte
tocar qualquer pessoa,
											tem que ser o resultado não só da técnica,
											mas também do pensamento do artista
e da sua luta na vida.
											As lutas repetidas na vida
criam a obra de arte,
											seja qual for a sua forma.
											(Música)
									",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
","
","
","
","
",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
											(Música)
									","
											(Music)
									","
											(Musique)
									","
											(Musik)
									","
											É tudo o que tenho a dizer.
									",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
","
","
","
","
",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
											Eso es todo lo que quiero decir.
									","
											That's all I want to say.
									","
											C'est tout ce que je veux dire.
									","
											Das ist alles, was ich sagen wollte.
									","
											Obrigado
									",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
","
","
","
","
",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
