es,fr,pt,de,title,speaker,duration,tags
"
","
","
","
",What six years in captivity taught me about fear and faith,Ingrid Betancourt,19:40,"activism,personal growth,South America,fear,TED en Español,violence,war,politics"
"
											Todo sucedió a partir de ahí
muy rápidamente.
											El jefe del comando nos dio
la orden de detener el vehículo,
											mientras que uno de sus hombres
pisaba una mina quiebra-patas
											y voló por los aires.
											Y aterrizó, sentado,
											al frente mío
											y las miradas nuestras se cruzaron
											y entonces el muchacho comprendió:
											su bota de caucho con la pierna
											había caído lejos.
									","
											A partir de ce moment,
tout s'est passé très vite.
											Le chef du commando nous a ordonné
d'arrêter le véhicule
											alors qu'un de ses hommes
marchait sur une mine antipersonnel.
											Il a volé dans les airs.
											Il a atterri, assis
											en face de moi,
											nos regards se sont croisés
											et alors, le jeune homme a compris :
											sa botte en caoutchouc et sa jambe
											étaient tombées bien loin.
									","
											Tudo sucedeu a partir daí
muito rapidamente.
											O chefe do comando deu-nos ordem
para parar o veículo,
											enquanto um dos seus homens
pisava uma mina antipessoal
											e voou pelo ar.
											Aterrou, sentado, mesmo à minha frente
											e os nossos olhares cruzaram-se.
											Então, o rapaz percebeu:
											a sua bota de borracha com a perna
tinha caído mais longe.
									","
											Von da an geschah alles sehr schnell.
											Der Anführer des Kommandos
befahl, das Fahrzeug anzuhalten,
											während einer seiner Männer
auf eine Tretmine trat
											und durch die Luft flog.
											Er landete, sitzend,
											genau vor mir
											und unsere Blicke trafen sich
											und schließlich verstand der junge Mann:
											Sein Bein mit dem Gummistiefel
											war weit weg geflogen.
									",What six years in captivity taught me about fear and faith,Ingrid Betancourt,19:40,"activism,personal growth,South America,fear,TED en Español,violence,war,politics"
"
","
","
","
",What six years in captivity taught me about fear and faith,Ingrid Betancourt,19:40,"activism,personal growth,South America,fear,TED en Español,violence,war,politics"
"
											(Suspira)
									","
											(Soupirs)
									","
											(Suspiro)
									","
											(Seufzen)
									",What six years in captivity taught me about fear and faith,Ingrid Betancourt,19:40,"activism,personal growth,South America,fear,TED en Español,violence,war,politics"
"
","
","
","
",What six years in captivity taught me about fear and faith,Ingrid Betancourt,19:40,"activism,personal growth,South America,fear,TED en Español,violence,war,politics"
"
											Empezó
											a gritar enloquecido.
											Y la verdad
											es que yo sentí,
											como lo siento ahora,
porque revivo las emociones,
											yo sentía en ese momento
que algo se quebraba en mí
											y sentí que me estaba contagiando su miedo
											y la mente se me puso en blanco
y no podía pensar,
											paralizada.
											Y cuando finalmente reaccioné
											fue para decirme:
											""Me van a matar
											y no me despedí de mis hijos"".
											Mientras me internaban
en lo más profundo de la selva
											las FARC anunciaron
											que si el gobierno no negociaba
											me matarían.
											Y yo sabía
											que el gobierno no iba a negociar.
									","
											Il a commencé
											à crier, complètement fou furieux.
											Et la vérité
											est que j'ai senti,
											comme je le sens maintenant,
parce que je revis les émotions,
											j'ai senti à ce moment
que quelque chose se brisait en moi,
											j'ai senti qu'il me transmettait sa peur.
											Mon esprit s'est bloqué
et je ne pouvais pas penser,
											totalement paralysée.
											Lorsque finalement j'ai pu réagir,
											je me suis dit :
											« Ils vont me tuer
											et je n'ai pas dit au-revoir
à mes enfants. »
											Pendant qu'ils me conduisaient
au fin fond de la jungle,
											les FARC ont annoncé
											que si le gouvernement ne négociait pas,
											ils me tueraient.
											Et je savais
											que le gouvernement n'allait pas négocier.
									","
											Começou
											a gritar enlouquecido.
											A verdade é que eu senti,
											— tal como sinto agora,
porque revivo as emoções —
											eu senti nesse momento
que qualquer coisa se quebrava em mim
											e senti que estava a ser contagiada
pelo medo dele.
											O meu espírito ficou vazio,
não conseguia pensar.
											estava paralisada.
											Quando finalmente reagi,
											foi para pensar:
											""Vão matar-me
											""e eu não me despedi dos meus filhos"".
											Enquanto me internavam
no mais profundo da selva,
											as FARC anunciaram
											que, se o governo não negociasse,
											me matariam.
											Eu sabia
											que o governo não ia negociar.
									","
											Er begann
											wie verrückt zu schreien.
											Jetzt gerade
											fühle ich mich so,
											wie ich mich damals gefühlt habe,
denn ich durchlebe die Emotionen erneut.
											Ich fühlte in diesem Moment,
dass etwas in mir zerbrach
											und ich fühlte, dass mich
seine Angst angesteckte.
											Mein Kopf war wie leer gefegt,
ich konnte nicht denken,
											ich war wie gelähmt.
											Als ich endlich reagierte,
											sagte ich zu mir:
											""Sie werden mich umbringen
											und ich habe mich nicht
von meinen Kindern verabschiedet.""
											Als sie mich tief
im Dschungel einsperrten,
											verkündete die FARC
											dass sie mich umbringen würden,
											wenn der Staat nicht vehandelte.
											Und ich wusste,
											dass der Staat nicht verhandeln würde.
									",What six years in captivity taught me about fear and faith,Ingrid Betancourt,19:40,"activism,personal growth,South America,fear,TED en Español,violence,war,politics"
"
","
","
","
",What six years in captivity taught me about fear and faith,Ingrid Betancourt,19:40,"activism,personal growth,South America,fear,TED en Español,violence,war,politics"
"
											A partir de ahí
											me acosté todas las noches
											con el miedo.
											Los sudores fríos,
											el temblor,
											el dolor de estómago,
											el insomnio.
											Pero peor le pasó a mi mente
											porque de mi memoria,
											quedaron borrados todos los teléfonos,
											las direcciones,
											nombres de gente muy cercana,
											aun eventos de mi vida significativos.
											Y entonces,
											comencé a dudar de mí misma,
de mi salud mental.
											Y con la duda
											llegó el desespero,
											y con el desespero llegó la depresión.
											Estaba sufriendo cambios notorios
de comportamiento
											y no era solo la paranoia
en momentos de pánico.
											Era
											la desconfianza,
											era el odio,
											y eran también las ganas de matar.
									","
											A partir de ce moment-là,
											je me suis couchée chaque nuit
											en ayant peur.
											Les sueurs froides,
											le tremblement,
											le mal d'estomac,
											l'insomnie.
											Mais cela a été pire pour mon esprit,
											car j'ai éliminé de ma mémoire
											les numéros de téléphone,
											les adresses,
											les noms de personnes très proches,
											et même des événements
importants de ma vie.
											Alors,
											j'ai commencé à douter de moi-même,
de ma santé mentale.
											Et du doute,

											je suis passée au désespoir
											et du désespoir 
à la dépression.
											Mon comportement a changé notablement
											et ce n'était pas seulement la paranoïa
pendant les moments de panique.
											C'était
											la méfiance,
											c'était la haine
											et c'était aussi les envies de tuer.
									","
											A partir daí,
											deitei-me todas as noites
cheia de medo.
											Os suores frios,
											o tremor,
											as dores de estômago,
as insónias.
											Mas o pior era o meu espírito
											porque esqueci-me
de todos os telefones,
											todas as moradas,
											os nomes de pessoas muito próximas,
											mesmo os acontecimentos
significativos da minha vida.
											Então,
											comecei a duvidar de mim mesma,
da minha saúde mental.
											Com a dúvida, chegou o desespero
											e, com o desespero,
chegou a depressão.
											Estava a sofrer de mudanças notórias
de comportamento
											e não era apenas a paranoia
em momentos de pânico.
											Era a desconfiança,
											era o ódio
											e era também a vontade de matar.
									","
											Von da an
											ging ich jede Nacht
											mit der Angst ins Bett.
											Mit Schüttelfrost,
											Zittern,
											Magenschmerzen,
											Schlaflosigkeit.
											Das Schlimmste passierte jedoch
in meinem Kopf,
											denn in meinem Gedächtnis
											waren alle Telefonnummern
											und Adressen gelöscht,
											von Menschen, die mir sehr nahe stehen,
											sogar bedeutende Ereignisse meines Lebens.
											Da fing ich an,
											an mir selbst zu zweifeln,
an meiner geistigen Gesundheit.
											Mit dem Zweifeln
											kam die Verzweiflung
											und mit der Verzweiflung
kam die Depression.
											Ich erlebte auffällige
Verhaltensänderungen.
											Es war nicht nur die Paranoia
während einer Panikattacke.
											Es war
											das Misstrauen,
											es war der Hass
											und auch der Wille zu Töten.
									",What six years in captivity taught me about fear and faith,Ingrid Betancourt,19:40,"activism,personal growth,South America,fear,TED en Español,violence,war,politics"
"
","
","
","
",What six years in captivity taught me about fear and faith,Ingrid Betancourt,19:40,"activism,personal growth,South America,fear,TED en Español,violence,war,politics"
"
											Y de eso me di cuenta
											cuando me tenían encadenada
											por el cuello a un árbol.
											Ese día me mantuvieron a la intemperie
											bajo un aguacero tropical.
											Me acuerdo que me entró
											la urgencia de ir al baño.
											""Lo que tenga que hacer
											lo hace al frente mío,
											perra"",
											me gritó el guardia.
									","
											Je me suis rendu compte de cela
											quand ils m'ont enchaînée
											à un arbre par le cou.
											Ce jour-là, ils m'ont laissée dehors
											sous une averse tropicale.
											Je me souviens 

											que j'ai eu besoin d'aller aux toilettes.
											« Ce que tu dois faire,
											tu le fais en face de moi,
											pute. »
											c'est ce qu'a crié le garde.
									","
											Dei-me conta disso
											quando me acorrentaram
pelo pescoço a uma árvore.
											Nesse dia, mantiveram-me
exposta às intempéries,
											sob um aguaceiro tropical.
											Lembro-me que senti urgência
de ir à casa de banho.
											""O que tiveres que fazer
											""fazes à minha frente,
											""cadela!""
											— gritou-me o guarda.
									","
											Das merkte ich,
											als sie mich am Hals
											an einen Baum anketteten.
											An diesem Tag behielten sie mich im Freien
											in einem tropischen Platzregen.
											Ich erinnere mich,
											wie ich auf Toilette musste.
											""Was auch immer du tun musst,
											wirst du wohl vor mir tun müssen,
											Schlampe"",
											schrie mich der Wachmann an.
									",What six years in captivity taught me about fear and faith,Ingrid Betancourt,19:40,"activism,personal growth,South America,fear,TED en Español,violence,war,politics"
"
","
","
","
",What six years in captivity taught me about fear and faith,Ingrid Betancourt,19:40,"activism,personal growth,South America,fear,TED en Español,violence,war,politics"
"
											Y yo
											tomé la decisión en ese momento
											de matarlo.
											Y estoy, durante días,
											planeando y buscando el momento,
y buscando la forma,
											llena de odio,
											llena de miedo.
											Hasta que de pronto,
											salí
											me sacudí
											y pensé:
											""No me van a convertir en uno de ellos.
											No me voy a volver una asesina.
											Todavía me queda suficiente libertad
											para decidir
											quién quiero ser"".
									","
											Et moi,
											à ce moment-là,
j'ai pris la décision
											de le tuer.
											Et pendant des jours entiers,
											je planifie, je cherche le moment,
je cherche le moyen,

											remplie de haine,
											remplie de peur.
											Jusqu'à ce que tout à coup,
											je suis sortie,
											je me suis secouée
											et j'ai pensé :
											« Je ne vais pas devenir une des leurs.
											Je ne vais pas devenir une meurtrière.
											J'ai encore assez de liberté
											pour décider
											qui je veux être. »
									","
											E eu
											nesse momento,
tomei a decisão
											de matá-lo.
											Durante dias,
											estou a planear, a procurar o momento,
a procurar a forma,
											cheia de ódio, cheia de medo.
											Até que, por fim,
											saí, sacudi-me
											e pensei:
											""Não vou transformar-me num deles.
											""Não vou ser uma assassina.
											""Ainda tenho suficiente liberdade
											""para decidir
											""quem quero ser.""
									","
											In diesem Augenblick
											fasste ich den Entschluss,
											ihn zu töten.
											Tagelang
											plante ich, überlegte das Wie und Wann,
											voller Hass
											und voller Angst.
											Bis ich daraus plötzlich
											herauskam,
											mich schüttelte
											und dachte:
											""Sie werden mich nicht
in einen von ihnen verwandeln.
											Ich werde nicht zur Mörderin werden.
											Mir bleibt noch genügend Freiheit
											um zu entscheiden,
											wer ich sein will"".
									",What six years in captivity taught me about fear and faith,Ingrid Betancourt,19:40,"activism,personal growth,South America,fear,TED en Español,violence,war,politics"
"
","
","
","
",What six years in captivity taught me about fear and faith,Ingrid Betancourt,19:40,"activism,personal growth,South America,fear,TED en Español,violence,war,politics"
"
											Ahí aprendí que el miedo
											me enfrentaba conmigo misma.
											Me obligaba
											a alinear mis energías,
											a alinear mis meridianos.
											Aprendí que enfrentar el miedo
											podía transformarse
en una senda de crecimiento.
											Son muchas las emociones
cuando hablo de todo esto
											pero cuando pienso hacia atrás,
											logro identificar
											los pasos que di para lograrlo.
											Y quiero compartir con ustedes
											tres de ellos.
									","
											J'ai alors compris que la peur
											me confrontait à moi-même.
											Elle m'obligeait
											à aligner mes énergies,
											à aligner mes méridiens.
											J'ai appris que se confronter à la peur
											pouvait permettre de se dépasser
et grandir.
											Je suis très émue
quand je parle de tout cela
											mais quand je pense au passé,
											je parviens à identifier
											tous mes pas pour y arriver.
											Je veux partager avec vous
											trois d'entre eux.
									","
											Aí aprendi que o medo
											que enfrentava era comigo mesma.
											Obrigava-me a alinhar as minhas energias,
											a alinhar os meus meridianos.
											Aprendi que enfrentar o medo
											podia transformar-se
numa via de crescimento.
											São muitas as emoções
quando falo de tudo isto
											mas, quando penso em retrospetiva,
											consigo identificar os passos
que dei para lá chegar.
											Quero partilhar com vocês
três desses passos.
									","
											In diesem Augenblick lernte ich,
											dass die Angst mich
mit mir selbst konfrontierte.
											Sie zwang mich dazu,
											meine Kräfte zu bündeln,
											meine Aufmerksamkeit zu sammeln.
											Ich lernte, dass mit der Angst
konfrontiert zu sein
											sich in einen Wachstumspfad
verwandeln konnte.
											Es bewegt mich sehr,
wenn ich über all das spreche.
											Doch wenn ich an
die Vergangenheit zurückdenke,
											kann ich sehen,
											welche Schritte ich nahm,
um das zu erreichen.
											Drei davon
											möchte ich mit Ihnen teilen.
									",What six years in captivity taught me about fear and faith,Ingrid Betancourt,19:40,"activism,personal growth,South America,fear,TED en Español,violence,war,politics"
"
","
","
","
",What six years in captivity taught me about fear and faith,Ingrid Betancourt,19:40,"activism,personal growth,South America,fear,TED en Español,violence,war,politics"
"
											El primero
											fue
											guiarme por principios,
											porque me di cuenta
											que en medio del pánico
y el bloqueo mental
											si iba a los principios,
											actuaba acertadamente.
									","
											Le premier
											a été de
											me guider par principes.
											Je me suis rendu compte
											que si, au milieu de la panique
et du blocage mental,
											je respectais les principes,
											j'agissais correctement.
									","
											O primeiro foi
											guiar-me por princípios,
											porque me dei conta
											de que, no meio do pânico
e do bloqueio mental,
											se me guiasse pelos princípios
											atuava corretamente.
									","
											Der erste
											bestand darin,
											mich von meinen
Prinzipien leiten zu lassen,
											denn ich merkte,
											wenn ich inmitten der Panik
und der geistigen Blockade
											an Prinzipien hielt,
											handelte ich richtig.
									",What six years in captivity taught me about fear and faith,Ingrid Betancourt,19:40,"activism,personal growth,South America,fear,TED en Español,violence,war,politics"
"
","
","
","
",What six years in captivity taught me about fear and faith,Ingrid Betancourt,19:40,"activism,personal growth,South America,fear,TED en Español,violence,war,politics"
"
											Recuerdo la primera noche
											en un campo de concentración
que la guerrilla había construido
											en medio de la selva,
											con rejas de cuatro metros de altas
											alambres de púas,
											garitas en las cuatro esquinas,
											y hombres armados,
apuntándonos las 24 horas.
											Esa mañana, la primera mañana,
											llegaron unos hombres, gritando:
											""¡Numérense, numérense!""
											Mis compañeros se despertaron asustados
											y comenzaron a identificarse
con números en secuencia.
											Pero cuando me tocó mi turno
											yo le dije:
											""Ingrid Betancourt.
											Si quieren saber si estoy acá
me llaman por mi nombre"".
									","
											Je me souviens de la première nuit
											dans un camp de concentration
construit par la guérilla
											en pleine jungle,
											avec des grilles de quatre mètres de haut,
											des barbelés,
											des guérites de surveillance 
aux quatre coins,
											et des hommes armés, avec leurs fusils
pointés sur nous en permanence.
											Ce matin-là, le premier matin,
											quelques hommes sont arrivés,
ils criaient :
											« Comptez-vous, comptez-vous ! »
											Mes camarades se sont réveillés effrayés
											et ont commencé à s'identifier
avec les nombres, dans l'ordre.
											Mais lorsque mon tour est venu,
											j'ai dit :
											« Ingrid Bétancourt.
											Si vous voulez savoir si je suis ici,
appelez-moi par mon nom. »
									","
											Recordo a primeira noite
											num campo de concentração
que a guerrilha tinha construído
											no meio da selva,
											com vedações de quatro metros de altura,
											arame farpado,
											guaritas nos quatro cantos
											e homens armados,
apontando durante 24 horas.
											Naquela manhã, a primeira manhã,
											chegaram uns homens, aos gritos:
											""Numerem-se, numerem-se!""
											Os meus companheiros
acordaram assustados
											e começaram a identificar-se
com números em sequência.
											Mas, quando chegou a minha vez,
											eu disse:
											""Ingrid Betancourt:
											""Se querem saber se estou aqui
chamem-me pelo meu nome"".
									","
											Ich erinnere mich an die erste Nacht
											in einem Konzentrationslager,
welches die Guerilla mitten im Dschungel
											erbaut hatte,
											mit vier Meter hohen Zäunen,
											Stacheldraht,
											Wachtürmen in allen vier Ecken
											und bewaffneten Männern,
die ununterbrochen auf uns zielten.
											An jenem Morgen, dem ersten Morgen,
											kamen ein paar Männer und schrien:
											""Zählung, Zählung!""
											Meine Mitgefangenen
wachten erschrocken auf
											und begannen sich nacheinander
mit ihrer Nummer auszuweisen.
											Als ich an der Reihe war,
											sagte ich:
											""Ingrid Betancourt.
											Wenn Sie wissen wollen, ob ich da bin,
rufen Sie mich beim Namen.""
									",What six years in captivity taught me about fear and faith,Ingrid Betancourt,19:40,"activism,personal growth,South America,fear,TED en Español,violence,war,politics"
"
","
","
","
",What six years in captivity taught me about fear and faith,Ingrid Betancourt,19:40,"activism,personal growth,South America,fear,TED en Español,violence,war,politics"
"
											La furia de los guardias
											no fue tanta como la furia
de mis compañeros,
											porque, claro, ellos estaban
											asustados, todos estábamos asustados,
											y ellos tenían miedo que por culpa mía,
											los castigaran.
											Pero para mí, por encima del miedo
											estaba la necesidad
de defender mi identidad,
											de no dejar que me transformaran
en una cosa, en un número.
											Ese era un principio,
											era defender
											lo que yo consideraba ser
la dignidad humana.
									","
											La fureur des gardes 

											n'était pas aussi forte que celle
de mes camarades,
											car, bien sûr, ils étaient effrayés,
											nous étions tous effrayés,
											et ils avaient peur d'être punis
											à cause de moi.
											Pour moi, la nécessité 
de défendre mon identité
											était plus forte que la peur,
je ne voulais pas
											permettre qu'on me transforme
en une chose, en un numéro.
											C'était un principe,
											c'était défendre
											ce qui était pour moi
la dignité humaine.
									","
											A fúria dos guardas
											não foi tanta como a fúria
dos meus companheiros
											porque, claro, eles estavam assustados,
											estávamos todos assustados
											e eles tinham medo que,
por minha culpa, os castigassem.
											Mas, para mim, para lá do medo,
											estava a necessidade
de defender a minha identidade,
											de não deixar que me transformassem
numa coisa, num número.
											Esse era um princípio,
											era defender
											o que considerava ser
a dignidade humana.
									","
											Die Wut der Wachmänner
											war nicht so groß, wie die
meiner Mitgefangenen,
											denn, natürlich waren sie erschrocken,
											wir alle waren erschrocken
											und sie hatten Angst,
dass sie meintwegen
											bestraft werden würden.
											Doch für mich war es eine Notwendigkeit,
											meine Identität
trotz der Angst zu verteidigen,
											nicht zuzulassen, dass sie mich
zu einem Objekt machten, zu einer Nummer.
											Das war ein Prinzip,
											es bestand darin, das zu verteidigen,
											was ich als menschliche Würde betrachtete.
									",What six years in captivity taught me about fear and faith,Ingrid Betancourt,19:40,"activism,personal growth,South America,fear,TED en Español,violence,war,politics"
"
","
","
","
",What six years in captivity taught me about fear and faith,Ingrid Betancourt,19:40,"activism,personal growth,South America,fear,TED en Español,violence,war,politics"
"
											Pero fíjense ustedes:
											eso la guerrilla, lo tenía
											muy bien analizado;
ellos llevaban años secuestrando,
											y ellos habían desarrollado
											una técnica para ...
											quebrarnos,
											para doblegarnos, para dividirnos.
											Así que
											el segundo paso
											fue aprender a construir
confianza solidaria,
											aprender a unirnos.
									","
											Mais remarquez que cela,
											la guérilla
											le savait très bien,
ils séquestraient depuis des années
											et ils avaient mis au point
											une technique pour...
											nous briser,
											nous dominer, nous diviser.
											C'est pourquoi
											la seconde étape
											a été d'apprendre à établir
une confiance solidaire,
											apprendre à nous unir.
									","
											Mas a guerrilha tinha tudo
muito bem analisado,
											há anos que andavam a sequestrar
											e tinham desenvolvido uma técnica
											para nos quebrar,
											para nos dobrar,
para nos dividir.
											Assim, o segundo passo
											foi aprender a construir
confiança solidária,
											aprender a unir-nos.
									","
											Doch bedenken Sie Folgendes:
											Die Guerilla,
so hatte ich bereits analysiert,
											hatte schon jahrelange
Erfahrung mit Entführungen.
											Sie hatten
											eine Technik entwickelt, um ...
											uns zu brechen,
											uns zu beugen, um uns zu entzweien.
											So bestand also
											der zweite Schritt darin,
											zu lernen, ein solidarisches
Vertrauen aufzubauen,
											zu lernen, uns zusammen zu tun.
									",What six years in captivity taught me about fear and faith,Ingrid Betancourt,19:40,"activism,personal growth,South America,fear,TED en Español,violence,war,politics"
"
","
","
","
",What six years in captivity taught me about fear and faith,Ingrid Betancourt,19:40,"activism,personal growth,South America,fear,TED en Español,violence,war,politics"
