en,es,tr,fr,pt,de,title,speaker,duration,tags
"
											In the 1950s, in Harlem,
Bronx, Brooklyn, Queens,
											you could see on the sidewalk,
lots of girls playing with ropes.
											Sometimes they would take two ropes
and turn them as a single rope together,
											but you could separate them and turn
them in like an eggbeater on each other.
											The skipping rope
was like a steady timeline —
											tick, tick, tick, tick —
											upon which you can add rhymes
and rhythms and chants.
											Those ropes created a space
											where we were able
to contribute to something
											that was far greater
than the neighborhood.
									","
											Durante los años 50, en Harlem,
Bronx, Brooklyn, Queens,
											se podía ver a muchas chicas
jugando con sogas en la vereda.
											A veces usaban dos sogas
y las giraban juntas al unísono,
											pero las podían separar
y hacerlas girar una sobre otra,
											como hace una batidora.
											La soga de saltar marcaba el tiempo
a intervalos regulares...
											tic, tic, tic, tic...
											sobre el cual se podían añadir
rimas y ritmos y cantos.
											Esas sogas generaron un espacio
											en donde podíamos contribuir a algo
											mucho más grande que el barrio.
									","
											1950'lerde, Harlem,
Bronx, Brooklyn, Queens'de
											kaldırımda bir sürü kızın
ip atlama oynadığını görürdünüz.
											Bazen iki ipi birden kullanır,
ikisini birden dönderirlerdi
											ama siz onları ayırabilir ve yumurta
çırpıcısı gibi dönderebilirsiniz.
											İp atlamak
dengeli bir zamanlama gibi —
											tick, tick, tick, tick —
											buna kafiye, ritim ve tezahürat
ekleyebiliyorsunuz.
											Bu ipler, mahalleden çok daha büyük
											bir şeylere katkı koyabileceğimiz
											bir alan yaratıyorlardı.
									","
											Dans les années 50, à Harlem, Brooklyn,
dans le Bronx ou le Queens,
											beaucoup de filles jouaient
à la corde sur le trottoir.
											Parfois, deux cordes étaient entrelacées
pour n'en faire qu'une,
											ou séparées, comme un batteur à œufs.
											La corde à sauter marquait
une cadence régulière —
											tic, tic, tic, tic —
											sur laquelle s'ajoutaient
comptines, rythmes et chants.
											Ces cordes formaient un espace
											où on pouvait faire partie d'un groupe
											qui dépassait de loin notre quartier.
									","
											Nos anos 50, em Harlem,
no Bronx, em Brooklyn, em Queens,
											via-se, nos passeios, 
muitas raparigas a saltar à corda.
											Às vezes, juntavam duas cordas
transformando-as numa só,
											mas podiam separá-las e transformá-las
numa espécie de batedeira.
											A corda de saltar
era uma linha do tempo estável
											— tick, tick, tick, tick —
											na qual se pode adicionar
rimas, ritmos e cantigas.
											As cordas criaram um espaço
											onde nós podíamos
contribuir para algo
											que ia muito para além do bairro.
									","
											In den 1950er Jahren in Harlem, 
der Bronx, Brooklyn und Queens
											konnte man auf den Gehwegen viele Mädchen
sehen, die dort mit Seilen spielten.
											Manchmal benutzen sie zwei Seile
und drehten sie zu einem Seil zusammen,
											aber man konnte sie trennen und
gegeneinander schwingen lassen,
											wie ein Schneebesen.
											Das Springseil war wie ein 
kontinuierlicher Zeitstrahl —
											tick, tick, tick, tick —
											zu welchem man Reime, Rhythmen 
und Gesänge hinzufügen konnte.
											Diese Seile schafften einen Raum,
											wo es uns möglich war, etwas beizutragen,
											das viel größer war
als das Viertel oder die Gegend.
									",How the jump rope got its rhythm,Kyra Gaunt,3:35,"play,design,history,music"
"
","
","
","
","
","
",How the jump rope got its rhythm,Kyra Gaunt,3:35,"play,design,history,music"
"
											Double Dutch jump rope remains
a powerful symbol of culture and identity
											for black women.
											Back from the 1950s to the 1970s,
											girls weren't supposed to play sports.
											Boys played baseball,
basketball and football,
											and girls weren't allowed.
											A lot has changed, but in that era,
											girls would rule the playground.
											They'd make sure
that boys weren't a part of that.
											It's their space, it's a girl-power space.
											It's where they get to shine.
									","
											El salto de doble soga sigue siendo
											un símbolo potente de cultura e identidad
											para las afroestadounidenses.
											Entre los años 50 y los 70,
											las chicas no debían hacer deportes.
											Los chicos jugaban béisbol,
básquetbol y fútbol americano,
											y las chicas no podían jugar.
											Mucho ha cambiado, pero en esa época,
											las chicas dominaban el patio de recreo.
											Se aseguraban de que los chicos
no fueran parte de eso.
											El espacio era de ellas; un espacio
de poder para las chicas,
											donde ellas podían brillar.
									","
											İkili ip atlama, siyahi kadınlar için
hâlâ çok güçlü bir kültür
											ve kimlik simgesi.
											1950'lerden 1970'lere kadar
											kızların spor yapması yasaktı.
											Erkekler basketbol, beyzbol
ve futbol oynuyorlardı
											ama kızlara izin verilmiyordu.
											Çok şey değişti ama o zamanlar
											oyun alanını kızlar yönetirdi.
											Erkeklerin bunun bir parçası
olmamasını sağlarlardı.
											Kızların güç alanıydı.
											Orada parlayacaklardı.
									","
											Le Double Dutch reste un symbole puissant 
de culture et d'identité
											pour les femmes noires.
											Des années 1950 aux années 1970,
											le sport était réservé aux garçons.
											Ils jouaient au baseball,
au basketball et au football.
											C'était interdit aux filles.
											Ça a bien changé depuis, mais à l'époque,
											les filles dominaient l'aire de jeux.
											Les garçons en étaient bannis.
											C'était leur espace, le territoire
où elles étaient les seules à briller.
									","
											As cordas duplas permanecem
como um símbolo poderoso
											de cultura e identidade
para as mulheres negras.
											Dos anos 50 aos anos 70,
											as raparigas não deviam
praticar desportos.
											Os rapazes jogavam basebol,
basquetebol e futebol
											e as raparigas não podiam.
											Muito mudou desde então,
mas naquela época
											as raparigas dominavam os recreios.
											Elas garantiam que os rapazes
não participavam.
											É o espaço delas,
o espaço do poder feminino.
											É onde elas brilham.
									","
											""Double Dutch""-Seilspringen bleibt ein
starkes Symbol für Kultur und Identität
											für schwarze Frauen.
											Von den 1950ern bis zu den 1970ern
											sollten Mädchen keinen Sport treiben.
											Jungen spielten Baseball,
Basketball und Football,
											Mädchen war das nicht erlaubt.
											Vieles hat sich verändert, 
aber in jener Epoche
											beherrschten Mädchen den Spielplatz.
											Sie stellten sicher,
dass Jungen kein Teil davon waren.
											Es war ihr Platz, ein Girlpower-Platz.
											Dort konnten sie glänzen.
									",How the jump rope got its rhythm,Kyra Gaunt,3:35,"play,design,history,music"
"
","
","
","
","
","
",How the jump rope got its rhythm,Kyra Gaunt,3:35,"play,design,history,music"
"
											But I also think it's for boys,
											because boys overheard those,
											which is why, I think,
so many hip-hop artists
											sampled from things that they heard
in black girls' game songs.
									","
											Pero creo que también lo era para chicos
porque escuchaban los cantos,
											y por eso, yo creo,
tantos artistas de hip-hop samplearon
											a partir cosas que escuchaban en 
los cantos de chicas afroestadounidenses.
									","
											Bence bu erkekler için de
											çünkü kızları duyuyorlardı,
											işte bu yüzden öyle sanıyorum
pek çok hip-hopçu
											siyahi kızların oyun şarkılarından
esinlendiler.
									","
											Les garçons en ont aussi profité
											parce qu'ils les entendaient.
											C'est pourquoi autant d'artistes hip-hop
											se sont inspirés des chansons
des filles noires des cours de récré.
									","
											Mas eu acho
que também é para rapazes
											porque eles ouviam as cantigas
											e é por isso, penso eu,
que tantos artistas de hip-hop
											usaram ritmos que ouviram
nas cantigas das raparigas negras.
									","
											Aber es ist auch für Jungen,
											denn sie schnappten die Gesänge auf,

											daher sampelten wohl
viele Hip-Hop-Künstler,
											was sie in den Liedern
der Mädchen gehört hatten.
									",How the jump rope got its rhythm,Kyra Gaunt,3:35,"play,design,history,music"
"
","
","
","
","
","
",How the jump rope got its rhythm,Kyra Gaunt,3:35,"play,design,history,music"
"
											(Chanting) ... cold, thick shake,
act like you know how to flip,
											Filet-O-Fish, Quarter Pounder,
french fries, ice cold, thick shake,
											act like you know how to jump.
									","
											(Cantando) ... cuarto de libra, papas,
muéstranos cómo giras.
											Cuarto de libra, papas,
muéstranos cómo saltas.
									","
											(Tezahürat)... buz gibi bir titre,
atlamayı bildiğini göster,
											Filet-O-Fish, Quarter Pounder,
buz gibi titre,
											atlamayı bildiğini göster.
									","
											(Chanson) « ...cold, thick shake,
act like you know how to flip,
											Filet-O-Fish, Quarter Pounder,
french fries, ice cold, thick shake,
											act like you know how to jump. »
									","
											♪ ... cold, thick shake,
act like you know how to flip,
											♪ Filet-O-Fish, Quarter Pounder,
french fries, ice cold, thick shake
											♪ act like you know how to jump.
									","
											(Singend) ... kalter Shake, tu so,
als könntest du einen Salto machen,
											Filet-O-Fish, Quarter Pounder,
Pommes, eiskalter Shake
											tu so, als wüsstest du
wie man Seil springt.
									",How the jump rope got its rhythm,Kyra Gaunt,3:35,"play,design,history,music"
"
","
","
","
","
","
",How the jump rope got its rhythm,Kyra Gaunt,3:35,"play,design,history,music"
"
											Why ""Country Grammar"" by Nelly
became a Grammy Award-winning single
											was because people already knew
											""We're going down down baby
your street in a Range Rover ... ""
											That's the beginning of ""Down down, baby,
down down the roller coaster,
											sweet, sweet baby, I'll never let you go.""
											All people who grew up
in any black urban community
											would know that music.
											And so, it was a ready-made hit.
									","
											La canción ""Country Grammar""
de Nelly ganó un Grammy
											porque la gente ya conocía eso de...
											""Vamos, vamos chica, por tu calle
en un Range Rover...""
											Ese es el comienzo de ""Vamos, vamos 
chica, vamos, vamos por la montaña rusa,
											dulce, dulce chica, nunca te suelto"".
											Todos los que crecieron
											en una comunidad afroestadounidense urbana
											conocerán esa música.
											Y entonces fue un éxito de inmediato.
									","
											Nelly'nin ''Country Grammar''ı
bu yüzden Grammy ödülü aldı,
											çünkü insanlar bunu zaten biliyordu,
											''Bir Range Rover'da senin sokağına
gidiyoruz güzelim...''
											Şu şarkının başı ''Aşağı, aşağı, güzelim,
hız treninden aşağı,
											tatlı güzelim, gitmene izin vermem.''
											Siyahi yerel bir toplulukta
büyüyen herkes
											bu müziğe aşinadır.
											Yani tutulacağı belliydi zaten.
									","
											« Country Grammar » de Nelly
a gagné un Grammy Award
											parce que les gens savaient déjà que :
											« We're going down down baby
your street in a Range Rover... »
											C'est le début de « Down down, baby,
down down the roller coaster,
											sweet, sweet baby,
I'll never let you go. »
											Tous les gens qui ont grandi
dans un quartier noir
											connaissent cette chanson.
											C'était un succès assuré.
									","
											A música ""Country Grammar""
da Nelly ganhou um Grammy
											porque as pessoas já a conheciam.
											♪ We're going down down baby
your street in a Range Rover ...
											Isto é o inicio de ""Down down, baby,
down down the roller coaster,
											♪ Sweet, sweet baby,
I'll never let you go.""
											Todos os que cresceram
numa comunidade negra urbana
											conhecem esta música.
											Então, tornou-se num êxito de imediato.
									","
											""Country Grammar"" von Nelly
wurde eine preisgekrönte Grammy-Single,
											weil die Menschen bereits
											""Wir fahren deine Straße in
einem Range Rover runter ..."" kannten.
											Das ist der Anfang von ""Abwärts, Schatz,
abwärts auf der Achterbahn,
											süßer Schatz, ich lasse dich 
nie mehr gehen.""
											Alle Menschen, die in einer schwarzen 
urbanen Gemeinschaft aufgewachsen sind,
											kennen diese Musik.
											Es war ein schon fertiger Hit.
									",How the jump rope got its rhythm,Kyra Gaunt,3:35,"play,design,history,music"
"
","
","
","
","
","
",How the jump rope got its rhythm,Kyra Gaunt,3:35,"play,design,history,music"
"
											The Double Dutch rope playing
helped maintain these songs
											and helped maintain the chants
and the gestures that go along with it,
											which is very natural
to what I call ""kinetic orality"" —
											word of mouth and word of body.
											It's the thing that gets
passed down over generations.
											In some ways, the rope
is the thing that helps carry it.
											You need some object
to carry memory through.
									","
											El juego de salto de doble soga
ayudó a preservar estas canciones
											y ayudó a preservar los cantos
y gestos que lo acompañan,
											algo muy natural, a lo que yo llamo
""la oralidad cinética""...
											es decir, el boca a boca y boca a cuerpo.
											Es eso que se transmite por generaciones.
											En cierta forma, la soga 
es lo que ayuda a transmitirlo.
											Necesitamos algún objeto
para transmitir la memoria.
									","
											İkili ip atlama oyunu
bu şarkıların korunmasına yardım etti
											ve şarkıyla beraber söylenen
tazahürat ve jestleri de korudu,
											bu benim ''kinetik sesler'' dediğim
şey için çok doğal —
											ağızdan ve bedenimizden çıkan sözler.
											Nesiller boyu aktarılan şeyler bunlar.
											İp de bunun taşınmasına
bazı şekillerde yardım ediyor.
											Anıların taşınması için
bir nesneye ihtiyacınız var.
									","
											Le Double Dutch permet
de préserver ces mélodies
											ainsi que les paroles et les gestes
qui les accompagnent.
											C'est ce que j'appelle
« l'oralité cinétique » :
											la parole de la bouche et celle du corps.
											C'est ce qui se transmet
de génération en génération,
											d'une certaine manière
aidé par le symbole de la corde.
											Grâce aux objets,
nous conservons nos souvenirs.
									","
											As cordas duplas ajudaram
a preservar estas músicas
											e a preservar as cantigas
e os gestos que as acompanham,
											algo que é muito natural
ao que chamo de ""oralidade cinética""
											— passa de boca em boca
e da boca ao corpo.
											É algo que é passado
de geração em geração.
											Em muitos casos, a corda
é o que ajuda a transmiti-lo.
											É preciso ter um objecto
para transmitir a memória.
									","
											Das ""Double Dutch""-Seilspringen half,
diese Lieder beizubehalten
											und half, die Gesänge und die damit
verbundenen Gesten beizubehalten,
											was sehr natürlich ist für die von mir
bezeichnete ""kinetische Mündlichkeit"":
											Mund- und Körpersprache.
											Es ist das, was von Generation zu 
Generation weitergegeben wird.
											In gewisser Weise ist das Springseil
das, was hilft sie weiterzutragen.
											Man braucht ein Objekt,
um die Erinnerung weiterzutragen.
									",How the jump rope got its rhythm,Kyra Gaunt,3:35,"play,design,history,music"
"
","
","
","
","
","
",How the jump rope got its rhythm,Kyra Gaunt,3:35,"play,design,history,music"
"
											So, a jump rope, you can use it
for all different kinds of things.
											It crosses cultures.
											And I think it lasted
because people need to move.
											And I think sometimes the simplest objects
can make the most creative uses.
									","
											Entonces se puede usar una soga
para muchas cosas diferentes.
											La soga atraviesa culturas.
											Y creo que perduró en el tiempo
porque la gente necesita moverse.
											Creo que a veces los objetos
más sencillos pueden tener
											los usos más creativos.
									","
											Yani bir atlama ipini
birçok farklı şey için kullanabilirsiniz.
											Kültürler arası bir şey.
											İnsanların hareket ihtiyacı sayesinde
günümüze kadar geldi.
											Bence bazen en basit nesneler
en yaratıcı kullanımlara yön veriyor.
									","
											La corde à sauter peut servir
à un tas de choses.
											Elle est interculturelle.
											Elle reste populaire parce que les gens
ont besoin de bouger.
											Parfois les idées les plus créatives
découlent des objets les plus simples.
									","
											A corda de saltar pode ser usada
para muitas coisas diferentes.
											A corda atravessa culturas.
											Penso que aguentou até hoje
porque as pessoas precisam de se mexer
											E às vezes os objectos mais simples
podem ter os usos mais criativos.
									","
											Ein Springseil kann also für alle 
möglichen Sachen verwendet werden.
											Es durchquert Kulturen.
											Und es blieb wohl bestehen, weil
Menschen sich bewegen müssen.
											Ich glaube, manchmal sind es
die einfachsten Objekte,
											die am kreativsten genutzt werden.
									",How the jump rope got its rhythm,Kyra Gaunt,3:35,"play,design,history,music"
"
","
","
","
","
","
",How the jump rope got its rhythm,Kyra Gaunt,3:35,"play,design,history,music"
