en,es,tr,pt,fr,de,title,speaker,duration,tags
"
","
","
","
","
","
",Lessons from a solar storm chaser,Miho Janvier,5:34,"physics,space,TED Fellows,science,Sun,nature,NASA,solar system,universe"
"
											(Laughter)
									","
											(Risas)
									","
											(Gülüşmeler)

									","
											(Risos)
									","
											(Rires)
									","
											Und genauso, wie irdische Winde
											von Orkanen beeinflusst werden können,
											wird der Sonnenwind manchmal
von Sonnenstürmen beeinträchtigt.
											Diese nenne ich gerne ""Weltraumorkane"".
											Wenn diese auf Planeten treffen,
											können sie das Umfeld beeinträchtigen,
											was wiederum die nördlichen
und südlichen Polarlichter erzeugt.
											Hier, zum Beispiel, auf der Erde,
											aber auch auf dem Saturn
											oder Jupiter.
											Zum Glück sind wir auf der Erde
											durch den natürliche Schutzschild
unseres Planeten geschützt;
											eine magnetische Blase, genannt:
Die Magnetosphäre.
											Diese sehen Sie auf der rechten Seite.
											Dennoch können Sonnenstürme immer noch
											für die Unterbrechung von Satelliten-
telekommunikation und -tätigkeiten,
											für die Unterbrechung von
Navigationssystemen, wie zum Beispiel GPS,
											oder die Stromübertragung
verantwortlich sein.
											Alles Technologien auf die wir, als 
Menschen, mehr und mehr angewiesen sind.
											Stellen Sie sich mal vor: Sie wachen auf,
und ihr Handy funktioniert nicht —
											kein Internetempfang,
											somit auch keine sozialen Netzwerke.
											Für mich wäre das schlimmer 
als eine Zombie-Apokalypse.
											(Gelächter)
											Mit regelmäßiger Überwachung der Sonne,
											kennen wir die Quellen dieser Stürme.
											Sie kommen von Bereichen der Sonne,
											wo große Energiemengen gespeichert werden.
									",Lessons from a solar storm chaser,Miho Janvier,5:34,"physics,space,TED Fellows,science,Sun,nature,NASA,solar system,universe"
"
","
","
","
","
","
",Lessons from a solar storm chaser,Miho Janvier,5:34,"physics,space,TED Fellows,science,Sun,nature,NASA,solar system,universe"
"
											By constantly monitoring the Sun, though,
											we now know where
the solar storms come from.
											They come from regions of the Sun
											where a tremendous amount
of energy is being stored.
											You have an example here,
											as a complex structure
hanging above the solar surface,
											just on the verge of erupting.
											Unfortunately, we cannot send probes
											in the scorching hot
atmosphere of the Sun,
											where temperatures can rise
up to around 10 million degrees Kelvin.
											So what I do is I use computer simulations
											in order to analyze but also to predict
the behavior of these storms
											when they're just born at the Sun.
									","
											Sin embargo, monitorizando el Sol,
constantemente,
											ahora sabemos de dónde vienen
las tormentas solares.

											Vienen de las regiones del Sol
											donde se almacenan una enorme
cantidad de energía.
											Aquí tienen un ejemplo,
											una compleja estructura
colgada por encima de la superficie solar,
											a punto de erupción.
											Lamentablemente, no podemos enviar sondas
											al calor abrasador de la
atmósfera del Sol,
											donde las temperaturas pueden elevarse
a cerca de 10 millones de grados Kelvin.
											Así que lo que hago es usar simulaciones
por computadora
											para analizar y predecir el comportamiento
de estas tormentas
											ni bien nacen en el Sol.
									","
											Güneşi sürekli gözlemleyerek
											güneş fırtınalarının nereden
geldiğini artık biliyoruz.
											Onlar çok büyük miktarda enerjinin
depolandığı güneş bölgelerinden gelirler.
											Bir örnek verecek olursak
											güneş yüzeyinin üzerinde
asılı duran karmaşık yapı,
											şimdi patlamak üzere.
											Ne yazık ki
											sıcaklığın yaklaşık 10 milyon
Kelvin derecesine kadar ulaşabileceği
											Güneş'in kavurucu derecede
sıcak olan atmosferine
											sondalar gönderemiyoruz.
											Bu yüzden bu fırtınaların hareketlerini
											güneşte ilk oluştuklarında analiz etmek
ve aynı zamanda tahmin etmek için
											bilgisayar simülasyonları kullanıyorum.
									","
											Mas, ao monitorizarmos o Sol
permanentemente,
											sabemos hoje de onde vêm
as tempestades solares.
											Provêm das regiões do Sul
											onde se armazena uma quantidade
enormíssima de energia.
											Temos aqui um exemplo,
											duma estrutura complexa
pairando acima da superfície solar,
											mesmo prestes a entrar em erupção.
											Infelizmente, não podemos enviar
naves espaciais
											para a atmosfera escaldante do Sol,
											onde as temperaturas podem subir
a cerca de 10 milhões de graus Kelvin.
											Por isso, uso simulações
de computador
											para analisar e também para prever
o comportamento dessas tempestades
											quando elas nascem no Sol.
									","
											Mais en surveillant constamment le Soleil,
											nous avons découvert
d’où viennent ces orages.
											Ils proviennent de régions du Soleil
											où sont stockées
d’énormes quantités d'énergie.
											En voici un exemple :
											une structure complexe qui plane
au-dessus de la surface du Soleil,
											sur le point d’entrer en éruption.
											Mais malheureusement,
il est impossible d'envoyer des sondes
											dans l'atmosphère brûlante du Soleil,
											où les températures peuvent atteindre
10 millions de kelvins.
											Par conséquent,
je me sers de simulations informatiques
											pour analyser, mais aussi pour prédire,
le comportement de ces orages
											lorsqu’ils viennent d'être créés
au niveau du Soleil.
									","
											Hier haben Sie ein Beispiel:
									",Lessons from a solar storm chaser,Miho Janvier,5:34,"physics,space,TED Fellows,science,Sun,nature,NASA,solar system,universe"
"
","
","
","
","
","
",Lessons from a solar storm chaser,Miho Janvier,5:34,"physics,space,TED Fellows,science,Sun,nature,NASA,solar system,universe"
"
											This is only one part
of the story, though.
											When these solar storms
are moving in space,
											some of them will inevitably
encounter space probes
											that we humans have sent
in order to explore other worlds.
											What I mean by other worlds is,
for example, planets,
											such as Venus or Mercury,
											but also objects, such as comets.
											And while these space probes
have been made
											for different scientific endeavors,
											they can also act like tiny
cosmic meteorological stations
											and monitor the evolution
of these space storms.
											So I, with a group of researchers,
gather and analyze this data
											coming from different
locations of the Solar System.
											And by doing so, my research
shows that, actually,
											solar storms have a generic shape,
											and that this shape evolves
as solar storms move away from the Sun.
											And you know what?
											This is key for building tools
to predict space weather.
									","
											Esto es solo parte de la historia.
											Cuando estas tormentas solares
se mueven por el espacio,
											algunas de ellas encontrarán,
en algún momento, sondas espaciales,
											que los humanos hemos enviado
para explorar otros mundos.
											Lo que quiero decir con otros mundos es,
por ejemplo, los planetas,
											como Venus o Mercurio,
											y también objetos, como cometas.
											Y mientras estas sondas espaciales
se han hecho
											para otros fines científicos,
											también pueden actuar como pequeñas
estaciones meteorológicas cósmicas
											y monitorizar la evolución
de estas tormentas espaciales.
											Así que, con un grupo de investigadores,
almacenamos y analizamos estos datos
											que vienen de distintos sitios
del sistema solar.
											Y al hacerlo, mi investigación
muestra que, en realidad,
											las tormentas solares
tienen una forma genérica,
											y que esta forma evoluciona a medida que
las tormentas solares se alejan del Sol.
											¿Y saben una cosa?
Esta es la clave
											para construir herramientas que
predicen el clima espacial.
									","
											Gerçi bu, hikayenin sadece bir kısmı.
											Güneş fırtınaları uzayda hareket ederken
											bazıları,
											kaçınılmaz bir şekilde,
											biz insanların diğer dünyaları
keşfetmek için gönderdikleri
											uzay sondaları ile karşılaşacaklardır.
											Diğer dünyalar ile kastettiğim şey,
											örneğin sadece Venüs veya
Merkür gibi gezegenler değil,
											aynı zamanda kuyruklu
yıldızlar gibi cisimlerdir.
											Bu uzay sondaları
											farklı bilimsel çalışmalar yaparken
											küçük kozmik meteoroloji
istasyonları gibi de hareket edebilir
											ve bu uzay fırtınalarının
gelişimini izleyebilirler.
											Bu yüzden biz de bir grup araştırmacı ile
											Güneş Sistemi'nin farklı
yerlerinden gelen bu verileri
											toplar ve analiz ederiz.
											Bunu yaptığımda araştırmalarım,
											aslında güneş fırtınalarının kendine
özgü bir şekle sahip olduğunu
											ve güneşten uzaklaştıkça
bu şeklin değiştiğini gösteriyor.
											Bu ne demek biliyor musun?
											Bu, uzay iklimini tahmin etmek üzere
oluşturulan programlar için anahtardır.
									","
											Mas esta é apenas 
uma parte da história.
											Quando estas tempestades solares
se deslocam no espaço,
											algumas delas inevitavelmente
vão encontrar sondas espaciais
											que nós enviámos
para explorar outros mundos.
											O que eu quero dizer com outros mundos,
por exemplo, são planetas,
											como Vénus ou Mercúrio,
											mas também objetos, como cometas.
											Embora essas sondas espaciais
tenham sido feitas
											para diferentes objetivos científicos,
											também podem funcionar
											como pequenas estações
meteorológicas cósmicas
											e monitorar a evolução
destas tempestades espaciais.
											Por isso, com um grupo de investigadores,
reúno e analiso essas informações
											que provêm de diferentes locais
do sistema solar.
											Ao fazer isso, a minha investigação mostra
											que as tempestades solares
têm uma forma genérica
											e essa forma evolui à medida
que as tempestades solares
											se afastam do Sol.
											E sabem uma coisa?
											Isto é fundamental para criar instrumentos
para prever o tempo no espaço.
									","
											Mais ce n’est pas tout.
											Lorsque ces orages solaires
se déplacent dans l’espace,
											il est inévitable que certains d’entre eux
croisent des sondes spatiales
											que nous, les humains, avons
envoyées explorer d’autres mondes.
											Par « autres mondes », j’entends
par exemple des planètes,
											telles que Vénus ou Mercure,
											mais aussi des objets,
tels que des comètes.
											Et bien que ces sondes spatiales
aient été conçues
											pour des missions
scientifiques différentes,
											elles peuvent aussi servir de minuscules
stations météorologiques cosmiques
											et surveiller l’évolution
de ces orages solaires.
											Et donc, avec un groupe de chercheurs,
je collecte et j’analyse ces données
											qui proviennent de différentes
régions du système solaire.
											Et ce faisant, mes recherches
ont démontré qu’en réalité,
											les orages solaires
ont une forme générique,
											et que cette forme évolue à mesure
que les orages s’éloignent du Soleil.
											Et vous savez quoi ?
											C’est crucial pour concevoir des outils
qui peuvent prévoir la météo spatiale.
									","
											Eine komplexe Struktur, die
aus der solaren Oberfläche herausragt,
											kurz vor dem Ausbruch.
											Leider können wir keine Sonden
											in die glühend heiße 
Sonnenatmosphäre senden,
											wo Temperaturen von bis zu 
10 Millionen Grad Kelvin herrschen.
											Deshalb benutze ich Computersimulationen,
											um diese Stürme zu analysieren und 
ihre Verhalten zu prognostizieren,
											unmittelbar nach
ihrer Geburt auf der Sonne.
											Dies ist nur ein Teil der Geschichte.
											Wenn sich die Stürme im Weltall bewegen,
											werden einige von ihnen
auf Raumsonden treffen,
											die wir Menschen versandt haben,
um andere Welten zu entdecken.
											Mit ""anderen Welten'' meine ich
zum Beispiel Planeten,
											wie Venus oder Merkur,
											aber auch Objekte wie Kometen.
											Obwohl diese Weltraumsonden
											für andere wissenschaftliche 
Fragestellungen gebaut wurden,
											fungieren sie auch als kleine,
kosmische Wetterstationen
											und beobachten die Entwicklung
der Stürme im Weltall.
											Ich und eine Gruppe von Wissenschaftlern,
sammeln und analysieren diese Werte,
											welche aus verschiedenen Bereichen
des Solarsystems kommen.
											Hierbei weist meine Arbeit auf,
											dass Sonnenstürme eine typische Form haben
											und das diese Form sich mit
der Entfernung von der Sonne verändert.
											Und wissen Sie was?
											Das ist wichtig für die Entwicklung von
Prognoseinstrumenten für Weltraumwetter.
											Ich möchte Sie gerne mit diesem
wunderschönen Bild verabschieden.
											Das sind wir hier auf der Erde,
											dieser blass-blauer Punkt.
											Während ich täglich die Sonne
und ihre Stürme studiere,
											werde ich immer eine tiefe Liebe
für diesen wunderschönen Planeten haben —
									",Lessons from a solar storm chaser,Miho Janvier,5:34,"physics,space,TED Fellows,science,Sun,nature,NASA,solar system,universe"
"
","
","
","
","
","
",Lessons from a solar storm chaser,Miho Janvier,5:34,"physics,space,TED Fellows,science,Sun,nature,NASA,solar system,universe"
"
											I would like to leave you
with this beautiful image.
											This is us here on Earth,
											this pale blue dot.
											And while I study the Sun
and its storms every day,
											I will always have a deep love
for this beautiful planet —
											a pale blue dot indeed,
											but a pale blue dot
with an invisible magnetic shield
											that helps to protect us.
									","
											Me gustaría dejarlos
con esta hermosa imagen.
											Estos somos nosotros, en la Tierra,
											este puntito azul pálido.
											Y mientras yo estudio el Sol 
y a sus tormentas todos los días,
											siempre amaré profundamente 
este hermoso planeta,
											un puntito azul pálido
											pero un puntito azul pálido
con un escudo magnético invisible
											que ayuda a protegernos.
									","
											Sizlere bu güzel görüntü ile
veda etmek istiyorum.
											Bu, bizim içinde bulunduğumuz dünya,
											yani bu soluk mavi nokta.
											Güneş ve güneş fırtınaları üzerine
araştırma yaptığım her gün,
											bu güzel gezegen için her daim
derin bir sevgiye sahip olacağım —
											bu, aslında soluk mavi bir nokta,
											ama bizi korumaya yardımcı olan
											görünmez bir manyetik kalkanlı
											soluk mavi bir nokta.
									","
											Gostava de vos deixar
com esta imagem belíssima.
											Estes aqui somos nós, na Terra,
											esta ponto azul claro.
											Enquanto eu estudo o Sol,
e as suas tempestades, todos os dias,
											sentirei sempre um profundo amor
por este belo planeta
											— um pontinho azul claro, é certo,
											mas um pontinho azul claro
com um escudo protetor invisível
											que nos protege.
									","
											J’aimerais vous laisser
sur cette magnifique image.
											Là, c’est nous, sur Terre.
											Ce point bleu clair.
											Et même si j’étudie le Soleil
et ses orages tous les jours,
											j’éprouverai toujours un amour
profond pour cette magnifique planète.
											Oui, c’est un point bleu,
											mais c’est un point bleu qui possède
un bouclier magnétique invisible
											qui aide à nous protéger.
									","
											Gewiss, ein blass-blauer Punkt;
											aber ein blass-blauer Punkt
mit einem unsichtbaren Magnetschutzschild
											welches uns beschützt.
									",Lessons from a solar storm chaser,Miho Janvier,5:34,"physics,space,TED Fellows,science,Sun,nature,NASA,solar system,universe"
"
","
","
","
","
","
",Lessons from a solar storm chaser,Miho Janvier,5:34,"physics,space,TED Fellows,science,Sun,nature,NASA,solar system,universe"
"
											Thank you.
									","
											Muchas gracias.
									","
											Teşekkür ederim.
									","
											Obrigada.
									","
											Merci.
									","
											Danke.
									",Lessons from a solar storm chaser,Miho Janvier,5:34,"physics,space,TED Fellows,science,Sun,nature,NASA,solar system,universe"
"
","
","
","
","
","
",Lessons from a solar storm chaser,Miho Janvier,5:34,"physics,space,TED Fellows,science,Sun,nature,NASA,solar system,universe"
"
											(Applause)
									","
											(Aplausos)
									","
											(Alkışlar)
									","
											(Aplausos)
									","
											(Applaudissements)
									","
											(Applaus)
									",Lessons from a solar storm chaser,Miho Janvier,5:34,"physics,space,TED Fellows,science,Sun,nature,NASA,solar system,universe"
"
","
","
","
","
","
",Lessons from a solar storm chaser,Miho Janvier,5:34,"physics,space,TED Fellows,science,Sun,nature,NASA,solar system,universe"
