en,pt,es,fr,tr,de,title,speaker,duration,tags
"
","
","
","
","
","
",How do your hormones work?,Emma Bryce,5:00,"TED-Ed,science,human body,physiology"
"
											Hormones also have some of their most
visible—and familiar—effects
											during puberty.
											In men, puberty begins when 
the testes start secreting testosterone.
											That triggers the gradual development 
of the sexual organs,
											makes facial hair sprout,
											and causes the voice to deepen
											and height to increase.
											In women, estrogen secreted from the
ovaries signals the start of adulthood.
											It helps the body develop,
											makes the hips widen,
											and thickens the womb’s lining,
											preparing the body 
for menstruation or pregnancy.
									","
											As hormonas também têm alguns
dos seus efeitos mais visíveis
											- e mais conhecidos-
											durante a puberdade.
											Nos homens, a puberdade começa
											quando os testículos começam 
a segregar testosterona.
											Isso desencadeia o desenvolvimento
gradual dos órgãos sexuais
											o despontar da barba,
											faz com que a voz se torne mais grave
											e aumente a estatura.
											Nas mulheres, o estrogénio
segregado pelos ovários
											assinala o início do estado adulto.
											Ajuda o desenvolvimento do corpo,
											alarga as ancas
											e torna mais espesso
o revestimento do útero,
											preparando o corpo
para a menstruação ou a gravidez.
									","
											Algunos de los efectos más familiares 
y visibles de las hormonas
											ocurren durante la pubertad.
											En los varones, la pubertad comienza
											cuando los testículos comienzan 
a segregar testosterona.
											Eso desencadena el desarrollo gradual
de los órganos sexuales,
											hace crecer el vello facial,
											profundiza la voz
											y estimula el crecimiento en altura.
											En las mujeres, el estrógeno
secretado por los ovarios
											indica el comienzo de la edad adulta.
											Esto hace que el cuerpo se desarrolle, 
las caderas se ensanchen
											y el revestimiento del útero
aumente su grosor,
											preparando el cuerpo
para la menstruación o el embarazo.
									","
											Les hormones montrent leurs effets
les plus visibles, et plus familiers,
											pendant la puberté.
											Chez les hommes, la puberté commence
											quand les testicules
commencent à sécréter le testostérone.
											Cela déclenche le développement progressif
des organes sexuels,
											fait pousser les poils du visage,
											fait devenir la voix plus grave
											et augmenter la taille.
											Chez les femmes, les œstrogènes
sécrétés par les ovaires
											signalent le début de l'âge adulte.
											Ils aident le développement corporel
											en élargissant les hanches
											et en épaississant la paroi de l'utérus,
											préparant le corps
pour les règles et la grossesse.
									","
											Hormonlar ayrıca ergenlik süresince
daha görünür
											ve tanıdık etkilere neden olur.
											Erkekler de ergenlik testisler
testesteron salgılamaya başlayınca başlar.
											Bu, cinsel organların
aşamalı olarak gelişmesini,
											yüzdeki kılların uzamasını,
											sesin kalınlaşmasını
											ve boyun uzamasını sağlar.
											Kadınlarda, yumurtalıkların östrojen
salgılar ve yetişkinlik başlar.
											Vücudun gelişmesine,
											kalçaların genişlemesine
											ve vücudu regl
											ve hamileliğe hazırlamak için
rahmin kalınlaşmasına yardımcı olur.
									","
											Einige ihrer sichtbarsten und 
bekanntesten Wirkungen zeigen Hormone
											während der Pubertät.
											Bei Männern beginnt sie, wenn die Hoden
anfangen, Testosteron auszuschütten.
											Das löst die allmähliche Entwicklung
der Geschlechtsorgane aus,
											lässt den Bartwuchs sprießen
											und bewirkt den Stimmbruch
											und das Körperwachstum.
											Bei Frauen beginnt sie mit der Absonderung
von Östrogen durch die Eierstöcke.
											Es hilft der Körperentwicklung,
											macht die Hüften breiter
											und die Gebärmutterschleimhaut dicker,
											um den Körper für Menstruation
oder Schwangerschaft vorzubereiten.
									",How do your hormones work?,Emma Bryce,5:00,"TED-Ed,science,human body,physiology"
"
","
","
","
","
","
",How do your hormones work?,Emma Bryce,5:00,"TED-Ed,science,human body,physiology"
"
											An enduring misconception around 
the endocrine system
											is that there are exclusively male 
and female hormones.
											In fact, men and women 
have estrogen and testosterone,
											just in different amounts.
											Both hormones play a role 
in pregnancy, as well,
											alongside more than 10 other hormones
that ensure the growth of the fetus,
											enable birth,
											and help the mother feed her child.
									","
											Um conceito errado
quanto ao sistema endócrino
											é que há hormonas exclusivamente
masculinas ou femininas.
											Com efeito, homens e mulheres
têm estrogénio e testosterona,
											só que em quantidades diferentes.
											As duas hormonas também
desempenham um papel na gravidez,
											juntamente com mais 10 hormonas
que garantem o crescimento do feto,
											possibilitam o nascimento,
											e ajudam a mãe a alimentar o bebé.
									","
											Un concepto erróneo extendido
sobre el sistema endocrino
											es que existen hormonas 
exclusivamente masculinas y femeninas.
											De hecho, tanto hombres como mujeres
tienen estrógeno y testosterona,
											pero en diferentes cantidades.
											Ambas hormonas juegan un papel
en el embarazo también,
											junto con más de otras 10 hormonas
que aseguran el crecimiento del feto,
											posibilitan el parto y ayudan
a la madre a alimentar a su hijo.
									","
											Une conception erronée persistante
sur le système endocrinien
											c'est qu'il y a exclusivement des hormones
masculines et féminines.
											En réalité, les hommes et les femmes
ont des œstrogènes et de la testostérone,
											juste en quantités différentes.
											Les deux hormones jouent un rôle
dans la grossesse
											avec une dizaine d'autres hormones
qui assurent la croissance du fœtus,
											rendent possible la naissance
											et aident la mère à nourrir son enfant.
									","
											Endokrin sistemi hakkında
genel bir yanlış anlama ise
											erkek ve kadın hormonların
ayrı olduğudur.
											Aslında, hem erkeklerin hem kadınların
vücudunda östrojen ve testesteron bulunur
											sadece farklı miktarlarda.
											Bu iki hormon, fetüsün
büyümesini sağlayan,
											doğuma yardımcı olan
ve annenin çocuğunu emzirmesine
											yardımcı olan
											10 hormonun yanısıra
hamilelikte rol oynar.
									","
											Ein fortwährender Irrtum
bezüglich des Hormonsystems ist,
											dass es eigene männliche
und weibliche Hormone gibt.
											Tatsächlich haben Männer und Frauen
Östrogen und Testosteron,
											nur in unterschiedlichen Mengen.
											Beide Hormone spielen auch eine Rolle
in der Schwangerschaft
											neben mehr als 10 anderen Hormonen,
die für das Wachstum des Fetus sorgen,
											die Geburt einleiten
											und der Mutter beim Stillen helfen.
									",How do your hormones work?,Emma Bryce,5:00,"TED-Ed,science,human body,physiology"
"
","
","
","
","
","
",How do your hormones work?,Emma Bryce,5:00,"TED-Ed,science,human body,physiology"
"
											Such periods of hormonal change are also
associated with fluctuations in mood.
											That’s because hormones can influence
											the production of certain chemicals 
in the brain, like serotonin.
											When chemical levels shift,
they may cause changes in mood, as well.
											But that’s not to say that hormones 
have unlimited power over us.
									","
											Estes períodos de alteração hormonal
											também estão associados
a flutuações da disposição.
											Isso acontece porque
as hormonas influenciam
											a produção de determinados químicos
no cérebro, como a serotonina.
											Quando o nível dos químicos aumenta,
											também podem ocorrer
alterações na disposição.
											Isso não quer dizer que as hormonas
têm um poder ilimitado sobre nós.
									","
											Estos períodos de cambio hormonal 
también están asociados
											con fluctuaciones en el estado de ánimo.
											Esto se debe a que las hormonas
pueden influenciar la producción
											de ciertas sustancias 
químicas en el cerebro,
											como la serotonina.
											Cuando los niveles químicos se alteran,
											también pueden causar 
cambios en el estado de ánimo.
											Pero esto no significa que las hormonas
tengan un poder ilimitado sobre nosotros.
									","
											Ces périodes de changement hormonal
											sont associées
à des fluctuations de l'humeur.
											C'est parce que les hormones
peuvent influencer
											la production de certaines substances
dans le cerveau, comme la sérotonine.
											Quand les niveaux de ces substances
changent,
											ils peuvent provoquer aussi
des changements de l'humeur.
											Mais ça ne veut pas dire que les hormones
ont un pouvoir illimité sur nous.
									","
											Bu tip hormonal değişimler ayrıca ruh
hâlindeki dalgalanmalar ile de ilgilidir.
											Çünkü, hormonlar
											serotonin gibi beyindeki
belli kimyasalların üretimini etkiler.
											Kimyasal seviyeleri değiştiğinde, ruh
hâlindeki değişimlere de neden olabilir.
											Fakat bu hormonların üzerimizde
sınırsız gücü olduğu anlamına gelmez.
									","
											Solche Phasen von Hormonveränderungen sind
auch mit Gemütsschwankungen verbunden,
											da Hormone Einfluss haben können
											auf die Produktion bestimmter
Chemikalien im Gehirn, wie Serotonin.
											Veränderungen des Chemikalienhaushalts
können auch Gemütsveränderungen bewirken.
											Aber das heißt nicht, dass Hormone
unbegrenzte Macht über uns haben.
									",How do your hormones work?,Emma Bryce,5:00,"TED-Ed,science,human body,physiology"
"
","
","
","
","
","
",How do your hormones work?,Emma Bryce,5:00,"TED-Ed,science,human body,physiology"
"
											They’re frequently viewed as the main 
drivers of our behavior,
											making us slaves to their effects,
especially during puberty.
											But research shows that our behavior 
is collectively shaped
											by a variety of influences,
											including the brain 
and its neurotransmitters,
											our hormones,
											and various social factors.
											The primary function 
of the endocrine system
											is to regulate our bodily processes, 
not control us.
									","
											Frequentemente são consideradas
como comandando o nosso comportamento,
											tornando-nos escravos dos seus efeitos,
especialmente durante a puberdade.
											Mas a investigação mostra
que o nosso comportamento
											é formado pelo conjunto
de muitas influências,
											incluindo o cérebro e os seus
neurotransmissores,
											as nossas hormonas
											e os diversos fatores sociais.
											A função principal
do sistema endócrino,
											é regular os processos corporais,
não é controlarem-nos a nós.
									","
											Suele considerarse que las hormonas
rigen nuestro comportamiento,
											haciéndonos esclavos de sus efectos,
especialmente durante la pubertad.
											Pero las investigaciones muestran
											que nuestra conducta está influenciada
por una serie de causas,
											como el cerebro y sus neurotransmisores,
											las hormonas
											y distintos factores sociales.
											La función principal del sistema endocrino
											es regular nuestros procesos
fisiológicos, no controlarnos.
									","
											Souvent, elles sont vues
											comme les principaux responsables
de notre comportement,
											comme si on était leur esclave,
spécialement pendant la puberté.
											Mais des recherches montrent que notre
comportement est formé collectivement
											par une série d'influences,
											y compris le cerveau
et les neurotransmetteurs,
											nos hormones
											et plusieurs facteurs sociaux.
											La fonction première
du système endocrinien
											est de réguler nos processus corporels
et pas de nous contrôler.
									","
											Sıklıkla davranışlarımızın
asıl nedenleri olarak görülüyorlar.
											Özellikle ergenlik döneminde etkilerinin
bizi kölelere döünüştürdüğü sanılıyor.
											Fakat araştırmalar davranışlarımızın
birden çok etki sonucu
											ortaklaşa şekillendirildiğini gösteriyor.
											Bunlar beyin,
beynin nörotransmitterleri,
											hormonlarımız
											ve çeşitli sosyal faktörler.
											Endokrin sisteminin ana fonksiyonu
											bizi kontrol etmek değil
bedensel süreçlerimizi düzenlemektir.
									","
											Sie werden häufig als steuernd
für das Verhalten angesehen,
											indem sie uns, vor allem in der Pubertät,
zu Sklaven ihrer Effekte machen.
											Aber Forschungen zeigen,
dass unser Verhalten
											von einer Vielzahl von Einflüssen
gemeinsam geformt wird,
											wie dem Gehirn
und seinen Neurotransmittern,
											unseren Hormonen
											und zahlreichen sozialen Faktoren.
											Die Hauptfunktion des Hormonsystems
											ist die Regulation unserer Körpervorgänge,
nicht die Kontrolle über uns.
									",How do your hormones work?,Emma Bryce,5:00,"TED-Ed,science,human body,physiology"
"
","
","
","
","
","
",How do your hormones work?,Emma Bryce,5:00,"TED-Ed,science,human body,physiology"
"
											Sometimes disease,
											stress,
											and even diet can disrupt 
that regulatory function, however,
											altering the quantity of hormones 
that glands secrete
											or changing the way that cells respond.
									","
											Mas, por vezes, a doença, o ""stress"",
											e mesmo uma dieta pode prejudicar
essa função reguladora,
											alterando a quantidade de hormonas
que as glândulas segregam
											ou alterando a forma
como as células reagem.
									","
											Pero, a veces, la enfermedad,
											el estrés,
											e incluso la dieta pueden interrumpir
esa función reguladora,
											alterando la cantidad de hormonas
que secretan las glándulas
											o cambiando la forma 
en que las células responden.
									","
											Parfois les maladies,
											le stress
											et même un régime peuvent perturber
cette fonction de régulation,
											en modifiant la quantité d'hormones
sécrétées par les glandes
											ou la façon dont les cellules répondent.
									","
											Fakat bazen hastalıklar,
											stres
											ve hatta beslenme tarzımız bu düzenleyici
fonksiyonu bozabilir.
											Salgı bezlerinin salgıladığı
hormonun miktarını
											ya da hücrelerin
cevap verme şeklini değiştirebilirler.
									","
											Manchmal können Krankheit,
											Stress
											und sogar unsere Ernährung
diese Regulierungsfunktion stören
											und die Menge der Hormone,
die die Drüsen ausschütten,
											oder die Art der Zellreaktion verändern.
									",How do your hormones work?,Emma Bryce,5:00,"TED-Ed,science,human body,physiology"
"
","
","
","
","
","
",How do your hormones work?,Emma Bryce,5:00,"TED-Ed,science,human body,physiology"
"
											Diabetes is one of the most 
common hormonal disorders,
											occurring when the pancreas 
secretes too little insulin,
											a hormone that manages blood sugar levels.
											And hypo- and hyperthyroidism
											occur when the thyroid gland makes
too little or too much thyroid hormone.
											When there’s too little thyroid hormone,
that results in a slowed heart rate,
											fatigue,
											and depression,
											and when there’s too much 
thyroid hormone,
											weight loss,
											sleeplessness,
											and irritability.
									","
											Os diabetes são uma das perturbações
hormonais mais vulgares,
											que ocorrem quando o pâncreas
segrega pouca insulina,
											uma hormona que regula
os níveis do açúcar no sangue.
											O hipotiroidismo e o hipertiroidismo
											ocorrem quando a glândula tiroide
produz pouca ou demasiada hormona.
											Quando há hormona tiroide a menos
o resultado é um ritmo cardíaco lento,
											fadiga e depressão.
											Quando há hormona tiroide a mais,
											há perda de peso, falta de sono,
											e irritabilidade.
									","
											La diabetes es uno de los trastornos 
hormonales más comunes
											que ocurre cuando el páncreas
segrega muy poca insulina,
											una hormona que maneja 
los niveles de azúcar en la sangre.
											Y el hipo e hipertiroidismo ocurren
cuando la glándula tiroides
											produce muy poca o demasiada
hormona tiroidea.
											Un bajo nivel de hormona tiroidea
reduce la frecuencia cardíaca,
											y produce fatiga
											y depresión
											Y cuando el nivel de hormona 
tiroidea es muy alto,
											hay pérdida de peso,
											insomnio
											e irritabilidad.
									","
											Le diabète est l'un des désordres
hormonaux les plus communs,
											survenant quand le pancréas
sécrète trop peu d'insuline,
											une hormone qui gère
les niveaux de sucre dans le sang.
											L'hypothyroïdie et l'hyperthyroïdie
											surgissent quand la thyroïde produit
trop ou trop peu d'hormone thyroïdienne.
											Quand il y a trop peu d'hormone
thyroïdienne,
											ça se traduit
par un rythme cardiaque ralenti,
											fatigue
											et dépression,
											et quand il y en a trop,
											perte de poids,
											insomnie
											et irritabilité.
									","
											Diyabet en yaygın
hormonal bozukluklardan biridir.
											Pankreas kan şekeri seviyesini ayarlayan
insülin hormonunu
											çok az salgıladığında ortaya çıkar.
											Ve tiroit bezi çok az ya da çok fazla
											tiroit hormonu salgıladığında
hipo- ve hipertroidi meydana gelir.
											Çok az tiroit hormonu salgılandığında,
yavaşlayan kalp atışı,
											yorgunluk
											ve depresyon
											çok fazla salgılandığında ise,
											kilo kaybı,
											uykusuzluk
											ve huzursuzluk gibi etkiler başlar.
									","
											Diabetes ist eine der am häufigsten
auftretenden Hormonstörungen,
											wenn die Bauchspeicheldrüse 
zu wenig Insulin ausschüttet,
											ein Hormon, das
den Blutzuckerhaushalt steuert.
											Unter- oder Überfunktionen
der Schilddrüse treten auf,
											wenn die Schilddrüse zu wenig oder
zu viel Schilddrüsenhormone produziert.
											Zu wenige Schilddrüsenhormone führen
zu einer verlangsamten Herzfrequenz,
											Müdigkeit
											und Depression,
											und zu viele Schilddrüsenhormone führen zu
											Gewichtsverlust,
											Schlaflosigkeit
											und Gereiztheit.
									",How do your hormones work?,Emma Bryce,5:00,"TED-Ed,science,human body,physiology"
"
","
","
","
","
","
",How do your hormones work?,Emma Bryce,5:00,"TED-Ed,science,human body,physiology"
