en,tr,de,pt,fr,title,speaker,duration,tags
"
","
","
","
","
",How we use astrophysics to study earthbound problems,Federica Bianco,5:17,"astronomy,universe,physics,space,pollution,urban,cities,science,complexity,sustainability,TED Fellows"
"
											These collaborations between
domain experts and astrophysicists
											created transformational solutions
											to help improve people's quality of life.
											But it is a two-way road.
											I bring my astrophysics background
to urban science,
											and I bring what I learn in urban science
back to astrophysics.
									","
											Alan uzmanları ve astrofizikçiler 
arasındaki bu iş birliği
											insanların hayat kalitesini 
iyileştirmesine yardımcı olmak için
											dönüşümsel çözümler yarattı.
											Ancak bu, çift yönlü bir yol.
											Astrofizik geçmişimi 
şehirciliğe uyguluyorum
											ve şehircilikte öğrendiklerimi 
astrofiziğe uyguluyorum.
									","
											Diese Zusammenarbeit von Fachleuten
und Astrophysikern
											hat revolutionäre Lösungen geschaffen,
											um die Lebensqualität zu verbessern.
											Doch das ist keine Einbahnstraße.
											Ich bringe Wissen aus der Astrophysik
in die Stadtentwicklung
											und die Erkenntnisse daraus wieder
zurück in die Astrophysik.
									","
											a compreender os atrasos
nos processos da sua jurisdição.
											Há pessoas em liberdade condicional
ou na cadeia,
											a aguardar julgamento 
às vezes durante anos.
											Eles queriam saber 
que tipo de processos se arrastavam
											e tinham uma enorme base de dados
para explorar e perceber,
											mas não tinham o conhecimento
											nem os instrumentos
nos seus escritórios para o fazer.
											Foi aí que nós entrámos.
											Trabalhei com a minha colega
Angela Hawken,
											professora de política institucional
											e a nossa equipa criou.
pela primeira vez, um painel visual
											para os procuradores analisarem
e compreenderem o processo de acusação.
											Mas também analisámos os dados,
											à procura de descobrir 
se a duração do processo
											seria provocada por discriminação social
na sua jurisdição.
											Analisámos usando métodos
											que eu usaria para classificar 
milhares de explosões estelares,
											aplicado a milhares
de processos de tribunal.
											Ao fazê-lo, construímos um modelo
											que pode ser utilizado 
por outras jurisdições
											que estejam dispostas
a explorar os seus preconceitos.
									","
											Ces collaborations entre experts
et astrophysiciens
											ont créé des solutions de transformation
											pour améliorer la qualité de vie des gens.
											Mais tout est réciproque.
											L'astrophysique m'aide
pour les sciences urbaines
											et les sciences urbaines m'aident
en retour en astrophysique.
									",How we use astrophysics to study earthbound problems,Federica Bianco,5:17,"astronomy,universe,physics,space,pollution,urban,cities,science,complexity,sustainability,TED Fellows"
"
","
","
","
","
",How we use astrophysics to study earthbound problems,Federica Bianco,5:17,"astronomy,universe,physics,space,pollution,urban,cities,science,complexity,sustainability,TED Fellows"
"
											Light echoes:
											the reflections of stellar explosions
onto interstellar dust.
											In our images, these reflections appear
as white, evanescent, moving features,
											just like plumes.
											I am adapting the same models
that detect plumes in city images
											to detect light echoes
in images of the sky.
									","
											Işık ekosu:
											Yıldız patlamalarının yansımalarının
kozmik tozların üzerine yansıması.
											Resimlerimizde bu yansımalar
											beyaz, gözden çabuk kaybolan, 
hareketli şekiller olarak görünür,
											tıpkı bulutlar gibi.
											Şehir resimlerinde bulutları 
belirleyen aynı modelleri
											gökyüzü resimlerinde ışık ekosunu 
belirlemek için uyarlıyorum.
									","
											Licht reflektiert:
											die Reflexionen von Sternexplosionen
auf interstellarem Staub.
											In unseren Bildern sind diese Reflexionen
weiße, bewegliche Objekte
											wie Wolken.
											Ich passe die gleichen Modelle
für Abgaswolken in Städten
											zur Erfassung von Lichtreflexionen
am Nachthimmel an.
									","
											Esta colaboração entre especialistas
de domínio e astrofísicos
											criou soluções transformativas
											para ajudar a melhorar 
a qualidade de vida.
											Mas é uma estrada de dois sentidos.
											Levo o meu conhecimento de astrofísica 
para a ciência urbana.
											e levo o que aprendo na ciência urbana 
para a astrofísica.
									","
											La lumière est réfléchie :
											les reflets des explosions stellaires
sur la poussière interstellaire.
											Sur nos images, ces reflets apparaissent
blancs, évanescents et mobiles,
											tout comme la fumée.
											J'adapte les modèles qui détectent
la fumée sur les images urbaines
											à la détection des reflets lumineux
dans les images du ciel.
									",How we use astrophysics to study earthbound problems,Federica Bianco,5:17,"astronomy,universe,physics,space,pollution,urban,cities,science,complexity,sustainability,TED Fellows"
"
","
","
","
","
",How we use astrophysics to study earthbound problems,Federica Bianco,5:17,"astronomy,universe,physics,space,pollution,urban,cities,science,complexity,sustainability,TED Fellows"
"
											By exploring the things
that interest and excite me,
											reaching outside of my domain,
											I did turn my restlessness into an asset.
											We, you, all have a unique perspective
that can generate new insight
											and lead to new, unexpected,
transformational solutions.
									","
											İlgimi çeken ve beni 
heyecanlandıran şeyleri keşfederek,
											alanımın dışına çıkarak
											tez canlılığımı değerli 
bir niteliğe dönüştürdüm.
											Biz, siz, hepimiz 
yeni bir kavrayış oluşturacak
											ve yeni, beklenmedik 
dönüşümsel çözümlere yol açacak
											benzersiz bir bakış açısına sahibiz.
									","
											Indem ich Dinge erforschte,
die mich faszinierten
											und dabei mein Fachgebiet verlies,
											wurde meine Rastlosigkeit zum Vorteil.
											Wir, Sie, haben eine einzigartige Sicht,
um neue Erkenntnisse zu gewinnen
											und neue, unerwartete und
wegweisende Lösungen zu schaffen.
									","
											Ecos de luz:
											os reflexos das explosões estelares
convertidos em poeiras interestelares.
											Nas nossas imagens,
estes reflexos aparecem
											brancos e evanescentes
com características passageiras
											tal como as névoas.
											Estou a adaptar os mesmos modelos
											que detectam poluição 
nas imagens da cidade
											para detectar reflexos de luz
em imagens do céu.
									","
											En explorant ce qui m'intéresse
et m'enthousiasme,
											en sortant de mon domaine,
											j'ai changé mon impatience
en un véritable atout.
											Chacun a sa propre perspective
et donc le potentiel d'avoir une idée
											afin d'aller vers de nouvelles solutions
de transformation inattendues.
									",How we use astrophysics to study earthbound problems,Federica Bianco,5:17,"astronomy,universe,physics,space,pollution,urban,cities,science,complexity,sustainability,TED Fellows"
"
","
","
","
","
",How we use astrophysics to study earthbound problems,Federica Bianco,5:17,"astronomy,universe,physics,space,pollution,urban,cities,science,complexity,sustainability,TED Fellows"
"
											Thank you.
									","
											Teşekkür ederim.
									","
											Vielen Dank.
									","
											Ao explorar as coisas
que me interessam e entusiasmam,
											para além do meu domínio,
											transformei a minha inquietação 
numa mais valia.
											Nós, vocês, todos temos
uma perspectiva única
											que pode gerar e resultar
									","
											Merci.
									",How we use astrophysics to study earthbound problems,Federica Bianco,5:17,"astronomy,universe,physics,space,pollution,urban,cities,science,complexity,sustainability,TED Fellows"
"
","
","
","
","
",How we use astrophysics to study earthbound problems,Federica Bianco,5:17,"astronomy,universe,physics,space,pollution,urban,cities,science,complexity,sustainability,TED Fellows"
"
											(Applause)
									","
											(Alkış)
									","
											(Applaus)
									","
											em novas e inesperadas
soluções transformadoras.
											Obrigada.
											(Aplausos)
									","
											(Applaudissements)
									",How we use astrophysics to study earthbound problems,Federica Bianco,5:17,"astronomy,universe,physics,space,pollution,urban,cities,science,complexity,sustainability,TED Fellows"
"
","
","
","
","
",How we use astrophysics to study earthbound problems,Federica Bianco,5:17,"astronomy,universe,physics,space,pollution,urban,cities,science,complexity,sustainability,TED Fellows"
