en,pt,de,tr,title,speaker,duration,tags
"
","
","
","
",Buildings that blend nature and city,Jeanne Gang,11:55,"architecture,community,nature,cities,beauty,climate change,environment,design,collaboration,humanity,future,innovation,infrastructure,MacArthur grant,social change,public spaces,society"
"
											In meeting houses,
there's always a central space
											where you can sit around a circle
and see each other.
											So we designed a space just like that
											right in the middle of the Arcus Center,
											and we anchored it
with a fireplace and a kitchen.
											It's pretty hard to get a kitchen
and a fireplace in a building like this
											with the building codes,
											but it was so important
to the concept, we got it done.
											And now the central space
works for big social gatherings
											and a place to meet one-on-one
for the very first time.
											It's almost like
this three-way intersection
											that encourages bumping into people
and starting a conversation.
											Now you can always pass the kitchen
and see something going on.
											You can sit by the fireplace
and share stories.
											You can study together
in big groups or in small ones,
											because the architecture
sets up these opportunities.
									","
											Em casas de encontro,
há sempre um espaço central
											onde podemos sentar-nos em círculo
e vermo-nos entre nós.
											Então projetámos um espaço assim
											mesmo no meio do Centro Arcus,
											e colocámos-lhe
com uma fogueira e uma cozinha.
											É bastante difícil meter uma cozinha
e uma fogueira num edifício assim
											com as regras da construção,
											mas era tão importante
para o conceito, que o fizemos.
											Agora o espaço central
funciona para grandes reuniões sociais
											e como local para encontros individuais
pela primeira vez.
											É quase como se
esta interseção de três vias
											encorajasse colisões entre as pessoas
e o início de conversas.
											Agora é possível passar na cozinha
e ver algo a acontecer.
											Podem-se sentar junto à lareira
e partilhar histórias.
											Pode-se estudar em conjunto
em grandes ou pequenos grupos,
											porque a arquitetura
permite essas oportunidades.
									","
											In Gemeinschaftshäusern
gibt es immer einen zentralen Raum,
											wo man um einen Kreis sitzt
und einander sieht.
											Daher entwarfen wir einen solchen Raum,
											genau im Zentrum des Arcus Center.
											Und wir verbanden ihn mit
einer Feuerstelle und einer Küche.
											Es ist schwer, eine Küche und einen Kamin
in so einem Gebäude unterzukriegen,
											wegen der Baunormen.
											Aber es war so wichtig für das Konzept,
dass wir es hinbekamen.
											Jetzt funktioniert der zentrale Bereich
für große gesellige Treffen
											und als Ort, um sich
erstmals persönlich zu treffen.
											Es ist beinahe wie eine Kreuzung,
											die fördert, dass Leute aufeinandertreffen
und miteinander ins Gespräch kommen.
											Passiert man heute die Küche,
ist dort immer etwas los.
											Man kann am Kamin sitzen
und Geschichten erzählen.
											Man kann gemeinsam in großen
oder kleinen Gruppen lernen,
											denn die Architektur
bietet diese Möglichkeiten.
									","
											Toplantı salonlarında,
daima daire şeklinde oturup
											birbirinizi görebileceğiniz
bir orta alan vardır.
											Biz de Arcus Merkezi'nin tam ortasında
											böyle bir alan tasarladık,
											bir de burayı şömine
ve mutfakla birleştirdik.
											İmar kanunlarıyla böyle bir binaya
mutfak ve şömine inşa etmek
											oldukça zordu,
											ama konsept açısından
çok önemliydi, yaptık.
											Şimdi ise merkezdeki alan
ilk kez büyük toplantılar
											ve birebir görüşmelerde kullanılıyor.
											Tıpkı insanlarla çarpışıp
											konuşma isteği uyandıran
											kavşaklar gibi.
											Şimdi mutfağı geçince daima
bir şeylerin olduğunu görebilirsiniz.
											Şöminenin yanında oturabilir ve 
hikâyeler anlatabilirsiniz.
											Küçük ya da büyük gruplar hâlinde 
birlikte ders çalışabilirsiniz,
											çünkü mimari bu imkânları sunuyor.
									",Buildings that blend nature and city,Jeanne Gang,11:55,"architecture,community,nature,cities,beauty,climate change,environment,design,collaboration,humanity,future,innovation,infrastructure,MacArthur grant,social change,public spaces,society"
"
","
","
","
",Buildings that blend nature and city,Jeanne Gang,11:55,"architecture,community,nature,cities,beauty,climate change,environment,design,collaboration,humanity,future,innovation,infrastructure,MacArthur grant,social change,public spaces,society"
"
											Even the construction
is about building relationships.
											It's made of cordwood masonry,
											which is using logs
the way you would use bricks.
											It's super low-tech and easy to do
and anyone can do it —
											and that's the entire point.
											The act of making is a social activity.
									","
											Até a construção
trata de construir relações.
											É feito de alvenaria de madeira,
											ou seja, usar troncos
como se usariam tijolos.
											É baixa tecnologia, fácil de fazer
e qualquer um pode fazê-lo
											— e esse é o objetivo.
											O ato de fazer é uma atividade social.
									","
											Sogar bei der Konstruktion geht es
um den Aufbau von Beziehungen.
											Sie besteht aus
einer Klafterholz-Bauweise,
											sie verwendet Holzklötze
wie man Ziegel nutzt.
											Sie ist technisch einfach
und sehr leicht zu bauen,
											jeder kann das machen —
und darum geht es ja.
											Die Umsetzung ist eine soziale Aktivität.
									","
											Bina bile ilişki kurmakla ilgili.
											Tuğlaların kullanıldığı şekilde
											kütüklerle duvar örülerek yapılmıştır.
											Oldukça düşük teknolojili 
ve yapması kolay, herkes yapabilir,
											bütün mesele de bu.
											Bir sosyal aktivite olarak; inşa etmek.
									",Buildings that blend nature and city,Jeanne Gang,11:55,"architecture,community,nature,cities,beauty,climate change,environment,design,collaboration,humanity,future,innovation,infrastructure,MacArthur grant,social change,public spaces,society"
"
","
","
","
",Buildings that blend nature and city,Jeanne Gang,11:55,"architecture,community,nature,cities,beauty,climate change,environment,design,collaboration,humanity,future,innovation,infrastructure,MacArthur grant,social change,public spaces,society"
"
											And it's good for the planet, too:
											the trees absorbed carbon
when they were growing up,
											and they gave off oxygen,
											and now that carbon
is trapped inside the walls
											and it's not being released
into the atmosphere.
											So making the walls is equivalent
to taking cars right off the road.
											We chose the building method
											because it connects people
to each other and to the environment.
									","
											E é bom para o planeta, também:
											as árvores absorveram carbono
quando estavam a crescer,
											e libertaram oxigénio,
											e agora esse carbono
está aprisionado nas paredes
											e não está a ser libertado
para a atmosfera.
											Então, fazer as paredes é equivalente
a retirar carros das estradas.
											Nós escolhemos o método de construção
											porque interliga as pessoas
umas às outras e ao ambiente.
									","
											Für den Planeten ist es auch gut;
											die Bäume absorbieren das CO2,
während sie wachsen
											und setzen dafür Sauerstoff frei.
											Jetzt ist das CO2 in den Wänden gefangen
											und es wird nicht
in die Atmosphäre abgegeben.
											Solche Wände zu bauen, ist so,
als ziehe man Autos aus dem Verkehr.
											Wir wählten das Bauverfahren,
											weil es Menschen miteinander
und mit der Umwelt verbindet.
									","
											Ayrıca bu gezegen için de iyi;
											ağaçlar büyürken karbonu absorbe eder
											ve oksijen verirdi
											ve şimdi karbon duvarların 
içine hapsoluyor
											ve atmosfere yayılmıyor.
											Bu yüzden, duvarları yapmak arabaları 
trafikten çekmekle eşdeğer.
											Biz inşa yöntemini seçiyoruz,
											çünkü insanlar birbirleriyle
ve çevreyle buluşuyor.
									",Buildings that blend nature and city,Jeanne Gang,11:55,"architecture,community,nature,cities,beauty,climate change,environment,design,collaboration,humanity,future,innovation,infrastructure,MacArthur grant,social change,public spaces,society"
"
","
","
","
",Buildings that blend nature and city,Jeanne Gang,11:55,"architecture,community,nature,cities,beauty,climate change,environment,design,collaboration,humanity,future,innovation,infrastructure,MacArthur grant,social change,public spaces,society"
"
											But is it working?
											Is it creating relationships
and nurturing them?
											How can we know?
											Well, more and more people
are coming here, for one,
											and as a result of the fireside chats
											and a full calendar of programming,
											people are applying
for the Arcus Fellowships.
											In fact, applications have increased
tenfold for the Arcus Fellowship
											since the building opened.
											It's working. It's bringing
people together.
									","
											Mas está a resultar?
											Está a criar relações
e a cuidar delas?
											Como podemos saber?
											Bem, há cada vez mais pessoas
a vir até aqui, por exemplo,
											e como resultado das conversas à lareira
											e de uma calendarização programada,
											as pessoas estão a inscrever-se
para Bolsas Arcus.
											De facto, as candidaturas
para a Bolsa Arcus aumentaram dez vezes
											desde que o edifício abriu.
											Está a resultar.
Está a congregar as pessoas.
									","
											Aber funktioniert es?
											Schaffen und pflegen wir Beziehungen?
											Wie können wir das wissen?
											Erstens kommen immer mehr Menschen
											und als Ergebnis der Kamingespräche
											und eines vollen Programmkalenders
											werden die Leute Mitglieder bei Arcus.
											Seit der Eröffnung des Gebäudes,
haben sich die Mitgliedschaften bei Arcus
											um das Zehnfache erhöht.
											Es funktioniert.
Es bringt Menschen zusammen.
									","
											Ama bu işe yarıyor mu?
											İlişkiler kurup geliştiriyor mu?
											Nasıl bilebiliriz?
											Bir kere buraya gittikçe daha
fazla insan geliyor,
											ayrıca şömine yanı sohbetleri
											ve programlarla dolu bir takvim sonucu
											insanlar Arcus bursuna başvuruyor.
											Hatta, Arcus bursuna başvurular 
bina açıldığından beri
											on kat arttı.
											İşe yarıyor. İnsanları bir 
araya getiriyor.
									",Buildings that blend nature and city,Jeanne Gang,11:55,"architecture,community,nature,cities,beauty,climate change,environment,design,collaboration,humanity,future,innovation,infrastructure,MacArthur grant,social change,public spaces,society"
"
","
","
","
",Buildings that blend nature and city,Jeanne Gang,11:55,"architecture,community,nature,cities,beauty,climate change,environment,design,collaboration,humanity,future,innovation,infrastructure,MacArthur grant,social change,public spaces,society"
"
											So I've shown how architecture
can connect people
											on this kind of horizontal campus scale.
											But we wondered if social relationships
could be scaled up —
											or rather, upward — in tall buildings.
											Tall buildings don't necessarily lend
themselves to being social buildings.
											They can seem isolating and inward.
											You might only see people
in those awkward elevator rides.
											But in several major cities,
I've been designing tall buildings
											that are based on creating
relationships between people.
									","
											Mostrei como a arquitetura
pode relacionar pessoas
											neste tipo de escala académica horizontal.
											Mas perguntámo-nos se as relações sociais
podiam ser ampliadas
											— ou antes, elevadas — em edifícios altos.
											Edifícios altos não se prestam
necessariamente a ser edifícios sociais.
											Podem parecer isoladores
e virados para dentro.
											Só vemos pessoas
em incómodas viagens de elevador.
											Mas em várias grandes cidades,
planifiquei edifícios altos
											baseados na criação
de relações entre as pessoas.
									","
											Ich habe also gezeigt,
wie Architektur Menschen
											auf der horizontalen Ebene 
in einer Art von Campus verbindet.
											Aber wir fragten uns,
ob soziale Beziehungen vermehrt
											bzw. in die Höhe getrieben werden
könnten — in hohen Gebäuden.
											Hochhäuser bieten sich nicht unbedingt
als soziale Gebäude an.
											Sie können isolierend
und abgewandt erscheinen.
											Man trifft vielleicht nur bei
diesen peinlichen Liftfahrten auf Leute.
											Aber ich habe in einigen Großstädten
Hochhäuser entworfen,
											die darauf basieren, Beziehungen
zwischen Leuten zu schaffen.
									","
											Yani yatay bir yerleşke
ile mimarinin insanları
											nasıl birleştirebileceğini gösterdim.
											Yalnız sosyal ilişkiler, yüksek binalarla
											daha da yükseltilebilir mi diye
merak ettik.
											Yüksek binalar kendilerini tam olarak
sosyal göstermezler.
											İzole ve içe dönük görünebilirler.
											Sadece o tuhaf asansör seanslarında
insan görebilirsiniz.
											Ama birkaç büyük şehirde insanlar arasında
											ilişki kurma amaçlı yüksek 
binalar tasarladım.
									",Buildings that blend nature and city,Jeanne Gang,11:55,"architecture,community,nature,cities,beauty,climate change,environment,design,collaboration,humanity,future,innovation,infrastructure,MacArthur grant,social change,public spaces,society"
"
","
","
","
",Buildings that blend nature and city,Jeanne Gang,11:55,"architecture,community,nature,cities,beauty,climate change,environment,design,collaboration,humanity,future,innovation,infrastructure,MacArthur grant,social change,public spaces,society"
"
											This is Aqua.
											It's a residential high-rise in Chicago
											aimed at young urban professionals
and empty nesters,
											many of them new to the city.
											With over 700 apartments, we wanted to see
if we could use architecture
											to help people get to know
their neighbors,
											even when their homes are organized
in the vertical dimension.
											So we invented a way to use balconies
as the new social connectors.
											The shapes of the floor slabs
vary slightly and they transition
											as you go up the tower.
											The result of this
is that you can actually see people
											from your balcony.
											The balconies are misregistered.
											You can lean over your balcony
and say, ""Hey!""
											just like you would across the backyard.
											To make the balconies more comfortable
											for a longer period of time
during the year,
											we studied the wind
with digital simulations,
											so the effect of the balcony shapes
breaks up the wind
											and confuses the wind
											and makes the balconies
more comfortable and less windy.
									","
											Este é o Aqua.
											É um arranha-céus residencial em Chicago
											destinado a jovens profissionais urbanos,
acabados de sair de casa,
											muitos dos quais novos na cidade.
											Com mais de 700 apartamentos, queríamos
ver se podíamos usar a arquitetura
											para ajudar as pessoas
a conhecer os seus vizinhos,
											mesmo estando as suas casas
organizadas na dimensão vertical.
											Então criámos um modo de usar as varandas
como os novos conetores sociais.
											As formas das lajes do chão
variam ligeiramente
											e variam à medida que se sobe no edifício.
											O resultado disto
é que podemos ver pessoas
											da nossa varanda.
											As varandas estão desencontradas.
											Podemos debruçar-nos numa varanda
e dizer ""Olá!""
											como faríamos num quintal.
											Para tornar as varandas mais confortáveis
											por um maior período de tempo
ao longo do ano,
											estudámos o vento
com simulações digitais,
											para que o efeito da forma das varandas
quebre o vento
											e confunda o vento
											e torne as varandas mais confortáveis
e menos ventosas.
									","
											Das ist Aqua.
											Es ist ein Wohnhochhaus in Chicago,
											ausgerichtet auf junge Berufstätige
und Alleinstehende.
											Viele davon sind neu in der Stadt.
											Bei über 700 Wohnungen wollten wir sehen,
ob wir die Architektur nutzen können,
											um den Leuten zu helfen,
ihre Nachbarn kennenzulernen,
											auch wenn ihr Zuhause
vertikal organisiert ist.
											Daher erfanden wir einen Weg,
Balkone als soziale Verbinder zu nutzen.
											Die Bodenplatten variieren leicht
und sie verändern sich
											je höher man im Hochhaus kommt.
											Als Resultat kann man tatsächlich
											Menschen von seinem Balkon aus sehen.
											Die Balkone sind versetzt.
											Man kann sich über den Balkon lehnen
und ""Hallo"" sagen,
											so wie man das im Hinterhof machen würde.
											Damit die Balkone
											an mehr Tagen im Jahr
behaglich nutzbar sind,
											untersuchten wir den Wind
mittels digitaler Simulationen,
											sodass die Form der Balkone
den Wind bricht
											und den Wind verwirbelt,
											wodurch die Balkone behaglicher
und weniger windig sind.
									","
											Bu Aqua.
											Şikago'da, çoğu şehre yeni gelmiş
genç çalışanlara
											ve çocukları ayrı eve çıkan ailelere
											hitap eden bir rezidans.
											700'ün üstünde daireyle, evleri 
dikey düzende olsa da mimariyi
											insanların komşularıyla tanışmaları için
											kullanabilir miyiz görmek istedik.
											Bu yüzden balkonları sosyal bağlayıcılar
olarak kullanmanın bir yolunu bulduk.
											Balkon tabanları hafifçe dönüyor 
ve yukarıya çıktıkça
											geçişli bir hâl alıyor.
											Bunun sonucundaysa balkonunuzdan
											insanları görebiliyorsunuz.
											Balkonlar üst üste değil.
											Balkonunuzdan eğilip ""Selam!"" 
diyebilirsiniz,
											tıpkı arka bahçenizden yapacağınız gibi.
											Balkonları yılın daha 

											uzun bir bölümünde rahat kılmak için
											dijital simülasyonlarla rüzgârı inceledik.
											Balkon şekillerinin etkisi rüzgârı kırar
											ve yönünü değiştirir
											ve balkonları daha rahat ve 
az rüzgârlı yapar.
									",Buildings that blend nature and city,Jeanne Gang,11:55,"architecture,community,nature,cities,beauty,climate change,environment,design,collaboration,humanity,future,innovation,infrastructure,MacArthur grant,social change,public spaces,society"
"
","
","
","
",Buildings that blend nature and city,Jeanne Gang,11:55,"architecture,community,nature,cities,beauty,climate change,environment,design,collaboration,humanity,future,innovation,infrastructure,MacArthur grant,social change,public spaces,society"
"
											Now, just by being able
to go outside on your balcony
											or on the third floor roof terrace,
											you can be connected to the outdoors,
											even when you're way above
the ground plane.
											So the building acts to create community
											within the building and the city
at the same time.
											It's working.
											And people are starting to meet each other
on the building surface
											and we've heard —
									","
											Só por podermos ir lá fora
à varanda
											ou ao terraço superior
no terceiro andar,
											podemos relacionar-nos com o exterior,
											mesmo quando estamos acima
do nível térreo.
											O edifício atua como criador de comunidade
											dentro do edifício e da cidade
ao mesmo tempo.
											Está a resultar.
											As pessoas estão a começar
a encontrar-se no topo do edifício
											e temos ouvido dizer...
									","
											Einfach indem man
auf seinen Balkon gehen kann
											oder auf die Dachterasse im 3. Stock,
											ist man mit der Natur verbunden,
											auch wenn man sich
weit über dem Gelände befindet.
											Das Gebäude schafft
dadurch eine Gemeinschaft
											innerhalb des Gebäudes
und gleichzeitig in der Stadt.
											Es funktioniert.
											Die Leute beginnen sich
an der Gebäudehülle zu treffen
											und wir haben gehört —
									","
											Şimdi sadece balkonunuza
											ya da üçüncü kat çatı terasına çıkarak
											yeryüzünden çok yüksekte olsanız da
											dışarıda olabilirsiniz.
											Böylece bina aynı zamanda 
bina içinde ve şehirde
											topluluk oluşturmayı sağlıyor.
											İşe yarıyor.
											Ve insanlar bina içerisinde birbirleriyle 
tanışmaya başlıyor
											ve duyduk ki —
									",Buildings that blend nature and city,Jeanne Gang,11:55,"architecture,community,nature,cities,beauty,climate change,environment,design,collaboration,humanity,future,innovation,infrastructure,MacArthur grant,social change,public spaces,society"
"
","
","
","
",Buildings that blend nature and city,Jeanne Gang,11:55,"architecture,community,nature,cities,beauty,climate change,environment,design,collaboration,humanity,future,innovation,infrastructure,MacArthur grant,social change,public spaces,society"
