en,pt,es,tr,de,fr,title,speaker,duration,tags
"
","
","
","
","
","
",Why I risked my life to expose a government massacre,Anjan Sundaram,7:34,"TED Fellows,Africa,journalism,corruption,war"
"
											To see if I could speak to someone,
											I shouted out that I was a friend,
that I would not hurt them.
											A woman in a red shirt
ran out of the forest.
											Others cautiously emerged from the trees
											and asked, ""Est-ce les gens savent?""
											""Do people know?""
									","
											Para ver se podia falar com alguém,
											gritei que vinha em paz
e que não lhes faria mal.
											Uma mulher com uma blusa vermelha
saiu a correr da selva.
											Outros cautelosamente
surgiram do meio das árvores
											e perguntaram: ""Est-ce les gens savent?""
											""As pessoas sabem?""
									","
											Para ver si había alguien,
											tuve que gritar que era un amigo
y que no lastimaría a nadie.
											Una mujer con camiseta roja
salió corriendo del bosque.
											Otros salieron precavidamente 
de los árboles
											y preguntaron: ""Est-ce que 
les gens savent?""
											¿La gente sabe?
									","
											Konuşabilecek birini görebilseydim
											ona arkadaş olduğumu ve 
zarar vermeyeceğimi söyleyecektim.
											Kırmızı tişörtlü bir kadın
ormandan dışarı koşmuştu.
											Diğerleri de ağaçların arsından çıkıyordu
											ve ""Est-ce les gens savent?"" 
diye sordular.
											""İnsanlar biliyor mu?""
									","
											Um Kontakt aufzunehmen
											rief ich, ich sei ein Freund 
und würde ihnen nichts tun.
											Eine Frau im roten Shirt
rannte aus dem Wald.
											Andere traten vorsichtig aus den Bäumen
											und fragten: ""Est-ce que les gens savent?""
											""Wissen es die Menschen?""
									","
											Pour voir si je pouvais
parler à quelqu'un,
											j'ai annoncé que j'étais un ami,
que je ne leur ferais pas de mal.
											Une femme dans une chemise rouge
a couru hors de la forêt.
											Les autres ont prudemment
émergé des arbres
											et ont demandé : (en français)
« Est-ce que les gens savent ? »
											« Est-ce que les gens savent ? »
									",Why I risked my life to expose a government massacre,Anjan Sundaram,7:34,"TED Fellows,Africa,journalism,corruption,war"
"
","
","
","
","
","
",Why I risked my life to expose a government massacre,Anjan Sundaram,7:34,"TED Fellows,Africa,journalism,corruption,war"
"
											The question surprised me.
											Their children were hungry and sick,
											but they didn't ask for food or medicine.
											They asked me,
											""Do people know what is happening to us?""
											I felt helpless
as I wrote down their question.
											And I became determined
											that this moment in their lives
											should not be forgotten.
											In bearing witness to their crisis,
											I felt a small communion
with these people.
											From far away, this war had felt
like a footnote in world news.
											As a witness,
											the war felt like history unfolding.
									","
											A pergunta surpreendeu-me.
											As crianças tinham fome
e estavam doentes,
											mas eles não pediram comida
nem medicamentos.
											Só me perguntaram:
											""As pessoas sabem
o que nos está a acontecer?""
											Senti-me impotente enquanto 
anotava esta pergunta.
											E fiquei determinado
											em que este momento da vida deles
											não fosse esquecido.
											Ao prestar testemunho da sua crise,
											senti uma pequena ligação
com aquelas pessoas.
											De longe, esta guerra parecia uma
nota de rodapé nas notícias mundiais.
											Como testemunha,
											a guerra era como um 
desenrolar da história.
									","
											La pregunta me sorprendió.
											Sus hijos tenían hambre 
y estaban enfermos,
											pero no pidieron 
alimentos ni medicamentos.
											Me preguntaron:
											¿La gente sabe lo que nos ocurre?
											Me sentí impotente 
al anotar su pregunta.
											Y decidí entonces
											que este momento en sus vidas
											debería recordarse.
											Al relatar su desgracia,
											sentí cierta conexión con esta gente.
											Desde lejos, muchas noticias del mundo
no dejaban de hablar de esta guerra.
											Como testigo,
											la guerra era como 
desarrollar una historia.
									","
											Soru beni şaşırtmıştı.
											Çocukları aç ve hastaydı,
											fakat yemek veya ilaç sormuyorlardı.
											Soruları şuydu:
											""İnsanlar bize neler olduğunu
biliyorlar mı?""
											Bu soruyu yazdığımda kendimi
çok aciz hissettim.
											Hayatlarındaki bu anın
											unutulmaması gerektiğinin
											farkına vardım.
											Krizlerine şahit olduğum için
											bu insanların duygularını küçük de olsa
paylaştığımı hissettim.
											Uzaklardan, bu savaş dünya haberlerinde 
bir alt yazıdan ibaretti.
											Bir şahit olarak,
											tarihin gözler önüne
serilmesi gibi hissettirdi.
									","
											Die Frage überraschte mich.
											Ihre Kinder waren hungrig und krank,
											aber sie fragten nicht nach
Essen oder Medikamenten.
											Sie fragten mich:
											""Wissen die Menschen, was uns widerfährt?""
											Ich fühlte mich hilflos,
als ich ihre Frage aufschrieb.
											Und ich beschloss,
											dass dieser Moment ihres Lebens
											nicht vergessen werden sollte.
											Mit meiner Bezeugung ihrer Krise
											fühlte ich mich verbunden
mit diesen Menschen.
											Aus der Ferne war der Krieg
nicht mehr als eine Fußnote
											des Weltgeschehens.
											Als Zeuge,
											fühlte er sich wie ein
geschichtlicher Umbruch an.
									","
											La question m'a surpris.
											Leurs enfants avaient faim
et étaient malades,
											mais ils n'ont pas demandé
de la nourriture ni des médicaments.
											Ils m'ont demandé :
											« Est-ce que les gens savent
ce qu'il nous arrive ? »
											Je me sentais impuissant
lorsque j'ai noté leurs questions.
											Et je suis devenu déterminé
											à ce que ce moment dans leur vie
											ne soit pas oublié.
											En assistant à leur crise,
											j'ai ressenti une petite communion
avec ces gens.
											Loin de là, cette guerre passait
au second plan aux informations.
											En tant que témoin,
											je ressentais la guerre comme
une histoire qui se déroule.
									",Why I risked my life to expose a government massacre,Anjan Sundaram,7:34,"TED Fellows,Africa,journalism,corruption,war"
"
","
","
","
","
","
",Why I risked my life to expose a government massacre,Anjan Sundaram,7:34,"TED Fellows,Africa,journalism,corruption,war"
"
											The government denied
that it was committing any violence,
											but I continually drove through towns
											where people described
government massacres
											from a day or a week before.
									","
											O governo negou estar a cometer
qualquer tipo de violência,
											mas eu continuei a percorrer as vilas
											onde as pessoas descreviam 
massacres governamentais
											um dia ou uma semana antes.
									","
											El gobierno negó haber cometido 
algún acto de violencia.
											No obstante, yo seguido iba a las aldeas
											donde la gente describía
los genocidios del gobierno
											de un día o semana antes.
									","
											Hükumet, şiddet uygulandığını inkar etti
											ancak bir gün ya da bir hafta önceden
											insanların katliamı
anlatabilecekleri yerlere
											sürmeye devam ettim.
									","
											Die Regierung stritt alle Gewalt ab,
											doch fuhr ich immer wieder durch Dörfer,
											wo die Menschen Regierungsmassaker
											vom letzten Tag oder 
der letzten Woche beschrieben.
									","
											Le gouvernement a nié
avoir commis des violences,
											mais je continuais à conduire
à travers les villes
											où les gens ont décrit les
massacres du gouvernement,
											la veille ou une semaine auparavant.
									",Why I risked my life to expose a government massacre,Anjan Sundaram,7:34,"TED Fellows,Africa,journalism,corruption,war"
"
","
","
","
","
","
",Why I risked my life to expose a government massacre,Anjan Sundaram,7:34,"TED Fellows,Africa,journalism,corruption,war"
"
											I felt overwhelmed
											and tried to calm myself.
											As I reported on these massacres,
											I bought and ate
											little sweets,
											seeking the familiar
comfort of their taste.
											Central Africans ate these sweets
											to ease their hunger,
											leaving a trail of thousands
of plastic wrappers as they fled.
									","
											Senti-me esmagado
											e tentei acalmar-me.
											Enquanto descrevia os massacres,
											comprei e comi
											pequenos rebuçados
											à procura do conforto
familiar do seu sabor.
											Os centro-africanos comiam estes rebuçados
											para aliviar a fome
											deixando um rasto de milhares de
papéis de plástico ao fugirem.
									","
											Me sentía agobiado
											e intentaba calmarme.
											Cuando informé de estas matanzas,
											compraba y comía
											golosinas,
											procurando que fueran de su agrado.
											los centroafricanos comían estos dulces
											para mitigar el hambre,
											dejando rastro de las miles de envolturas
de plástico mientras huían.
									","
											Bunaldım ve
											kendimi sakinleştirmeye çalıştım.
											Bu katliamları haber yaparken
											onların damak tadını
çıkarmaya çalışmak için
											küçük şekerlerden
											aldım ve yedim.
											Orta Afrikalılar, açlıklarını yatıştırmak için
											bu şekerlerden yediler
											ve kaçtıkları için binlerce
plastik paketin izini bıraktıklar.
									","
											Ich fühlte mich überwältigt
											und versuchte mich zu beruhigen,
											als ich meine Berichte darüber schrieb.
											Ich kaufte und aß kleine Süßigkeiten,
											auf der Suche nach der
Vertrautheit ihres Geschmacks.
											Zentralafrikaner aßen sie ebenso
											um ihren Hunger zu lindern.
											Und hinterließen eine Spur von
tausenden Plastiktüten auf der Flucht.
									","
											Je me sentais submergé
											et j'ai essayé de me calmer.
											Au moment où je rapportais ces massacres,
											j'ai acheté et mangé
											des petits bonbons,
											cherchant le confort familier
de leur goût.
											Les Centrafricains ont mangé ces bonbons
											pour soulager leur faim,
											laissant une traînée de milliers
d'emballages en plastique.
									",Why I risked my life to expose a government massacre,Anjan Sundaram,7:34,"TED Fellows,Africa,journalism,corruption,war"
"
","
","
","
","
","
",Why I risked my life to expose a government massacre,Anjan Sundaram,7:34,"TED Fellows,Africa,journalism,corruption,war"
"
											On the few radio stations
still operating in the country,
											I mostly heard pop music.
											As the war mounted,
											we received less information
about the massacres.
											It became easier
to feel a sense of normalcy.
											I witnessed the effect
of this missing information.
											Two weeks later, I slowly and anxiously
											drove into an isolated
militia headquarters,
											a town called PK100.
											Here, Christian fighters told me
											that all Muslims were foreigners,
											evil and allied with the government.
											They likened Muslims to animals.
											Without neutral observers or media
											to counter this absurd narrative,
											it became the single narrative
in these camps.
											The militias began to hunt down Muslims,
											and emptied the capital, Bangui,
											of nearly 140,000 Muslims
											in just a few months.
											Most of the killing and fleeing of Muslims
went unrecorded by witnesses.
									","
											Nas poucas estações de rádio
que ainda funcionavam no país,
											ouvia principalmente música pop.
											À medida que a guerra aumentava,
											recebíamos menos informações
sobre os massacres.
											Tornou-se mais fácil sentir
uma sensação de normalidade.
											Eu testemunhei o efeito
desta falta de informações.
											Duas semanas depois, 
lenta e ansiosamente,
											conduzi até a sede de uma milícia isolada,
											uma vila chamada PK100.
											Aí, combatentes cristãos disseram-me
											que todos os muçulmanos eram estrangeiros,
											malvados e aliados com o governo.
											Eles comparavam os muçulmanos a animais.
											Sem observadores ou ""media"" neutros
											para contrariar esta narrativa absurda,
											tornou-se a única narrativa
nesses acampamentos.
											As milícias começaram 
a perseguir muçulmanos,
											e esvaziaram a capital, Bangui,
											de quase 140 000 muçulmanos
											em poucos meses.
											A maioria dos assassínios
e fugas de muçulmanos
											não foram registados por testemunhas.
									","
											En algunas de las estaciones de radio
que seguían operando en el país,
											escuchaba casi siempre música pop.
											A medida que la guerra avanzaba,
											recibíamos menos información
de los asesinatos.
											Fue más fácil 
sentirse normal ante esto.
											Presencié los efectos de 
la falta de información.
											Dos semanas más tarde, ingresé,
											lenta y nerviosamente,
a un cuartel general abandonado,
											a una aldea llamada PK100.
											En este lugar, los luchadores 
cristianos me contaron
											que todos los musulmanes eran extranjeros,
											malvados y que estaban 
aliados con el gobierno.
											Comparaban a los musulmanes
con animales.
											Por no haber observadores neutrales
o medios informativos
											que se opusieran a esta historia absurda,
											esta fue la única correcta en los campos.
											El ejército comenzó 
a capturar a los musulmanes,
											y vació la capital, Bangui,
											con un estimado de 140 000 musulmanes,
											en solo pocos meses.
											Los testigos no registraron la mayoría
de los asesinatos y fugas musulmanes.
									","
											Ülkede halen çalışan bir kaç radyoda,
											genellikle pop müzik dinledim.
											Savaş tırmandıkça,
											katliamlar hakkında daha az
bilgi almaya başladık.
											Normal hissetmek daha kolay
hale gelmişti.
											Bu eksik bilginin etkisine 
şahitlik ediyordum.
											İki hafta sonra, yavaşça ve endişeyle
											PK100 denen soyutlanmış bir
milis karargahının bulunduğu
											kasabaya doğru sürdüm.
											Burada, Hristiyan savaşçılar bana
											tüm Müslümanların dışarıdan geldiğini,
											kötü olduklarını ve hükumetle
çalıştıklarını söylediler.
											Müslümanları hayvanlara benzetiyorlardı.
											Tarafsız gözlemciler veya basın olmadan
											bu tür saçma rivayetler ile karşılaşınca
											kamplardaki tek bilinen bu olmuştu.
											Milisler Müslümanların peşine düşmüşlerdi
											ve bir kaç ay içerisinde
											140.000 Müslümanın yaşadığı
											Bangui şehrini boşaltmışlardı.
											Öldürülen ve kaçan Müslümanların
çoğuna şahitlik edilemedi.
									","
											Die wenigen intakten
Radiosender des Landes
											sendeten hauptsächlich Popmusik.
											Je stärker der Krieg tobte,
											umso weniger erhielten wir
Information über die Massaker.
											Es wurde leichter, eine
gewisse Normalität zu spüren.
											Ich erlebte die Auswirkungen
dieses Informationsmangels.
											Zwei Wochen später fuhr
ich langsam und ängstlich
											zu einer isolierten Milizenbasis,
											genannt PK100.
											Hier erklärten die christlichen Kämpfer, 
dass alle Muslime Ausländer,
											böse und verbündet mit der Regierung sind.
											Sie verglichen Muslime mit Tieren.
											Ohne neutrale Beobachter oder Medien
											um dieser absurden Meinung zu begegnen,
											wurde dies zur herrschenden
Überzeugung in den Camps.
											Die Milizen begannen Muslime zu jagen
											und löschten die Hauptstadt Bangui
											mit circa 140.000 Muslimen
											in wenigen Monaten aus.
											Meist wurde der Mord an Muslimen und ihre
Flucht von keinem Zeugen dokumentiert.
									","
											Sur les quelques stations de radio
encore actives dans le pays,
											j'ai surtout entendu de la musique pop.
											Quand la guerre s'intensifiait,
											nous avons reçu moins d'informations
à propos des massacres.
											Il est devenu plus facile de
ressentir un sentiment de normalité.
											J'ai été témoin de l'effet
de cette information manquante.
											Deux semaines plus tard,
j'ai lentement et anxieusement
											roulé vers un quartier
général isolé de la milice,
											une ville appelée PK100.
											Ici, les combattants chrétiens m'ont dit
											que tous les musulmans
étaient des étrangers,
											méchants et alliés avec le gouvernement.
											Ils ont comparé les musulmans aux animaux.
											Sans observateurs neutres ou médias
											pour contrer ce récit absurde,
											il est devenu le seul récit
dans ces camps.
											Les milices ont commencé
à traquer les musulmans,
											et ont vidé la capitale, Bangui,
											de près de 140 000 musulmans
											en quelques mois.
											La plupart des meurtres n'ont pas
été signalés par des témoins.
									",Why I risked my life to expose a government massacre,Anjan Sundaram,7:34,"TED Fellows,Africa,journalism,corruption,war"
"
","
","
","
","
","
",Why I risked my life to expose a government massacre,Anjan Sundaram,7:34,"TED Fellows,Africa,journalism,corruption,war"
