en,de,fr,tr,es,title,speaker,duration,tags
"
","
","
","
","
",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
"
											The part that's amazing about it
is that the guide RNA,
											only 20 letters of it,
											are what target the system.
											This is really easy to design,
											and it's really cheap to buy.
											So that's the part
that is modular in the system;
											everything else stays the same.
											This makes it a remarkably easy
and powerful system to use.
									","
											Das Erstaunliche daran ist,
daß die guide-RNA,
											nur 20 Buchstaben von ihr,
											das Ziel des Systems definiert.
											Das ist einfach herzustellen
											und günstig zu kaufen.
											Das ist der modulare Teil des Systems.
											Alles andere bleibt gleich.
											Das macht es bemerkenswert einfach
und mächtig im Einsatz.
									","
											Ce qui est extraordinaire
concernant l'ARN guidé
											est que seulement 20 lettres
											dirigent le système.
											Cela est très simple à concevoir
											et très bon marché à acheter.
											C'est la partie modulaire du système ;
											tout le reste reste inchangé.
											Cela en fait un système
incroyablement simple et puissant.
									","
											En büyüleyici yani ise rehber RNA'nın
											sadece 20 harfinin
											sistemi hedeflemiş olmasıdır.
											Bunları dizayn etmek gerçekten çok kolay
											ve fiyatları da çok uygun.
											Yani sistemde modüler olan kısım bu;
											geri kalan her şey aynı.
											Bu, sistemi oldukça kolay kullanılabilir
ve güçlü bir sistem yapıyor.
									","
											Lo que sorprende es que el ARN guía,
											solo 20 letras,
											dirigen el sistema.
											Es muy fácil de diseñar
											y muy barato.
											Esa es la parte modular del sistema;
											todo lo demás queda igual.
											Esto hace que sea un sistema 
muy potente y fácil de usar.
									",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
"
","
","
","
","
",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
"
											The guide RNA and the Cas9
protein complex together
											go bouncing along the genome,
											and when they find a spot
where the guide RNA matches,
											then it inserts between the two strands
of the double helix,
											it rips them apart,
											that triggers the Cas9 protein to cut,
											and all of a sudden,
											you've got a cell that's in total panic
											because now it's got a piece
of DNA that's broken.
									","
											Der gemeinsame Cas9- und
guide-RNA-Proteinkomplex
											wandert solange entlang des Genoms,
											bis er eine Stelle findet,
die zur guide-RNA passt.
											dann zwängt er sich 
zwischen die Doppelstränge
											und trennt die DNA
											mit Hilfe des Cas9-Proteins.
											Sofort haben wir eine Zelle,
											die in totale Panik geraten ist.
											Sie hat jetzt ein gebrochenes Stück DNA.
									","
											L'ARN guidé et la protéine Cas9
forment un complexe,
											se baladent dans le génome
											et, quand ils trouvent un endroit
qui correspond à l'ARN guidé,
											ils s'insèrent entre les deux brins
de la double hélice,
											cela les sépare,
											la protéine Cas9 commence à les découper
											et, tout d'un coup,
											vous avez une cellule en panique totale
											car une partie de son ADN est rompue.
									","
											Rehber RNA ve Cas9 proteini
birbirine karışıyor,
											genom boyunca sıçrayarak gidiyor
											ve rehber RNA'nın eşleşeceği
bir yer bulduğunda,
											ikili sarmalın arasına yerleşip
											sarmalları ayırır.
											Bu durum Cas9'u
DNA'yı kesmesi için tetikler
											ve birden,
											artık DNA'sı ikiye ayrıldığı için
											panik olmuş bir hücreye sahipsiniz.
									","
											El complejo de proteínas 
del ARN guía y el Cas9
											rebotan por el genoma,
											y cuando encuentran un punto
donde coincide el ARN guía,
											se inserta entre las dos cadenas
de la doble hélice,
											las desgarra,
											la proteína Cas9 corta
											y, de repente,
											la célula entra en pánico total
											porque ahora se le ha roto 
una parte del ADN.
									",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
"
","
","
","
","
",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
"
											What does it do?
											It calls its first responders.
											There are two major repair pathways.
											The first just takes the DNA
and shoves the two pieces back together.
											This isn't a very efficient system,
											because what happens is
sometimes a base drops out
											or a base is added.
											It's an OK way to maybe, like,
knock out a gene,
											but it's not the way that we really want
to do genome editing.
									","
											Was macht die Zelle?
											Sie ruft ihren Notdienst.
											Zwei Arten von Reparatur sind möglich.
											Die erste nimmt die beiden Enden
der DNA und fügt sie wieder zusammen.
											Das ist nicht sehr effizient.
											Manchmal fällt eine Base heraus,
											manchmal wird eine Base addiert.
											Das funktioniert, wenn man etwa 
ein Gen deaktivieren will,
											es ist jedoch kein Weg, wie wir
ein Genom editieren wollen.
									","
											Qu'est-ce qu'elle fait ?
											Elle appelle les premiers secours.
											Il y a deux voies principales
de réparation.
											La première prend l'ADN
et rassemble les deux morceaux.
											Ce système n'est pas très efficace
											car, parfois, une base se décroche
											ou bien une base est ajoutée.
											C'est un système qui fonctionne
pour éliminer un gène
											mais ce n'est pas ainsi
que nous voulons modifier le génome.
									","
											Bu ne yapar?
											İlk müdahale ekibine haber verir.
											İki ana onarım mekanizması vardır.
											İlki, sadece DNA parçalarını alıyor
ve bunları yan yana geri ekliyor.
											Bu pek etkili bir sistem değil,
											çünkü bu durumda ya bir baz düşüyor
											veyahut bir başkası ekleniyor.
											Bu yöntem bir geni ""susturmak"" için
yeterli olabilir
											ancak genomu değiştirmek için
tercih edeceğimiz bir yol değil.
									","
											¿Qué hace?
											Llama a sus primeros auxilios.
											Hay dos principales vías de reparación.
											La primera solo requiere el ADN
y une las dos piezas nuevamente.
											No es un sistema muy eficiente,
											porque a veces una base cae
											o se añade una base.
											Está bien quizá para noquear a un gen,
											pero realmente no queremos
editar el genoma de esa forma.
									",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
"
","
","
","
","
",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
"
											The second repair pathway
is a lot more interesting.
											In this repair pathway,
											it takes a homologous piece of DNA.
											And now mind you, in a diploid
organism like people,
											we've got one copy of our genome
from our mom and one from our dad,
											so if one gets damaged,
											it can use the other
chromosome to repair it.
											So that's where this comes from.
											The repair is made,
											and now the genome is safe again.
									","
											Die zweite Art zu reparieren
ist sehr viel interessanter.
											Bei diesem Reparaturmechanismus
											wird ein gleiches Stück DNA genommen.
											Bei uns Menschen mit 2 Chromosomensätzen
											haben wir je einen Satz 
von Mutter und Vater.
											Wenn ein Satz geschädigt wird,
											kann der andere Satz 
zur Reparatur gebraucht werden.
											Da kommt es her.
											Die Reparatur ist gemacht.
											Das Genome ist wieder in Ordnung.
									","
											La second voie de réparation
est beaucoup plus intéressante.
											Dans cette voie de réparation,
											il faut un morceau d'ADN homologue.
											Dans un organisme diploïde
comme l'être humain,
											nous recevons une copie de notre génome
de notre mère et une de notre père,
											si une est endommagée,
											on peut utiliser l'autre chromosome
pour la réparer.
											Voici l'explication.
											La réparation est faite
											et le génome est à nouveau sûr.
									","
											İkinci yol çok daha ilgi çekici.
											Bu onarma sistemi,
											DNA'nın benzer parçalarından
birini alıyor.
											Unutmayın, insan gibi
diploid organizmalarda,
											genomumuzun bir kopyası anneden,
diğer kopyası ise babadan geliyor.
											Yani eğer biri hasar görürse,
											onarım için diğer kromozomu kullanabilir.
											Yani bu sistem buradan geliyor.
											Onarım yapılıyor
											ve genom tekrar güvende.
									","
											La segunda vía de reparación
es mucho más interesante.
											En esta vía de reparación
											se necesita una pieza homóloga de ADN.
											Noten que, en un organismo diploide
como las personas,
											tenemos una copia del genoma
de nuestra madre y una de nuestro padre,
											así que si una se daña,
											se puede usar el otro
cromosoma para repararlo.
											De allí viene esta segunda vía.
											Se repara,
											y ahora el genoma está a salvo de nuevo.
									",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
"
","
","
","
","
",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
"
											The way that we can hijack this
											is we can feed it a false piece of DNA,
											a piece that has homology on both ends
											but is different in the middle.
											So now, you can put
whatever you want in the center
											and the cell gets fooled.
											So you can change a letter,
											you can take letters out,
											but most importantly,
you can stuff new DNA in,
											kind of like a Trojan horse.
									","
											Wir können die Reparatur
nun manipulieren,
											indem wir ein falsches Stück DNA anbieten,
											welches an beiden Enden gleich aussieht,
											aber in der Mitte etwas anderes trägt.
											Wir können in der Mitte
alles Mögliche einfügen.
											Die Zelle wird getäuscht.
											Sie können einen Buchstaben ändern
											oder einen löschen,
											oder, vor allem, neue DNA einfügen.
											Es ist wie ein trojanisches Pferd.
									","
											Nous pouvons détourner cela
											en fournissant un mauvais morceau d'ADN,
											un morceau homologue aux extrémités
											mais différent au milieu.
											Vous pouvez mettre
ce que vous voulez au milieu
											et la cellule se fera duper.
											Vous pouvez changer une lettre,
											enlever des lettres
											et, surtout, y insérer du nouvel ADN,
											comme un cheval de Troie.
									","
											Bunu gasp etmenin yolu,
											bunu iki ucu da türdeş olan
											ama orta kısmı farklı olan
sahte bir DNA parçasıyla
											beslemek olabilir.
											O zaman şimdi, ortaya
ne isterseniz koyarsınız
											ve hücre kandırılmış olur.
											Yani bir harfi değiştirebilirsiniz,
											harfleri çıkartabilirsiniz,
											ama en önemlisi,
içine yeni DNA sıkıştırabilirsiniz,
											bir Truva atı gibi.
									","
											Podemos interferir en esto
											si le ponemos un ADN falso,
											que tiene homología en ambos extremos
											pero es diferente en el medio.
											Así que ahora podemos poner
lo que se quiera en el centro
											y engañamos a la célula.
											Podemos cambiar una letra,
											podemos quitar letras,
											pero, más importante,
podemos añadir nuevo ADN,
											como si fuera un caballo de Troya.
									",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
"
","
","
","
","
",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
"
											CRISPR is going to be amazing,
											in terms of the number of different
scientific advances
											that it's going to catalyze.
											The thing that's special about it
is this modular targeting system.
											I mean, we've been shoving DNA
into organisms for years, right?
											But because of the modular
targeting system,
											we can actually put it
exactly where we want it.
									","
											CRISPR wird immer erstaunlicher
											hinsichtlich der Anzahl 
der wissenschaftlichen Fortschritte,
											das es mit anstößt.
											Das Besondere daran ist 
das modulare Zielsystem.
											Wir haben jahrelang an der DNA
unseres Organismus herummanipuliert.
											Mit diesem modularen Zielsystem
											können wir nun genau das, 
was wir wollen, einfügen.
									","
											CRISPR sera extraordinaire
											en ce qui concerne le nombre
d'avancées scientifiques différentes
											qu'il va catalyser.
											Ce qu'il a de spécial
est la modularité du système cible.
											Nous insérons de l'ADN
dans des organismes depuis des années.
											Du fait de la modularité du système cible,
											il est possible d'insérer l'ADN
à un endroit précis.
									","
											Bilimsel alanda önümüze açacağı
											imkanları düşünecek olursak,
											CRISPR harika bir şey olacak.
											Onu bu kadar özel yapan şey,
bu modüler hedefleme sistemidir.
											Yıllardır DNA'yı organizmaların
içine koyuyoruz, değil mi?
											Fakat mödüler hedefleme sistemi sayesinde
											bunu tam da istediğimiz yere
koyabiliyoruz.
									","
											CRISPR va a ser increíble,
											en términos de la cantidad
de avances científicos
											que va a catalizar.
											Lo especial es el sistema 
de focalización modular.
											Digo, hemos colocado ADN en 
organismos durante años, ¿sí?
											Pero debido al sistema 
de focalización modular,
											en realidad podemos ponerlo
exactamente donde queramos.
									",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
"
","
","
","
","
",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
"
											The thing is that there's
a lot of talk about it being cheap
											and it being easy.
											And I run a community lab.
											I'm starting to get emails from people
that say stuff like,
									","
											Es wird viel davon geredet,
dass es billig sei,
											dass es einfach sei.
											Ich leite ein Gemeinschaftslabor
											Ich bekomme E-Mails von Leuten,
die Dinge sagen, wie:
									","
											Le fait est qu'il y a beaucoup débat
concernant le fait que ce soit peu cher
											et facile.
											Je gère un laboratoire communautaire.
											Je commence à recevoir des mails
de personnes disant :
									","
											Olay şu ki, bunun ucuz ve
kolay olmasıyla ilgili
											çok şey konuşuluyor.
											Ben halka açık bir laboratuvar
yürütüyorum.
											İnsanlar bana e-posta ile
şu gibi şeyler gönderiyorlar:
									","
											Lo que pasa es que se habla mucho
de que es barato
											y que es fácil.
											Y yo dirijo un laboratorio comunitario.
											Estoy empezando a recibir emails
de personas que dicen cosas como:
									",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
"
","
","
","
","
",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
"
											""Hey, can I come to your open night
											and, like, maybe use CRISPR
and engineer my genome?""
									","
											""Kann ich zum Tag der offenen Tür kommen
											und CRISPR nutzen, 
um mein Genom zu bearbeiten?""
									","
											« Hey, je viens aux portes ouvertes,
											peut-être pourrais-je utiliser CRISPR
pour modifier mon génome ? »
									","
											""Selam, halk gününüze gelip,
											CRISPR ile kendi genomumu
değiştirebilir miyim?""
									","
											""Oye, ¿puedo ir a tu noche abierta
											y, no sé, quizá usar CRISPR
para diseñar mi genoma?""
									",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
"
","
","
","
","
",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
"
											(Laugher)
									","
											(Lachen)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Risas)
									",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
"
","
","
","
","
",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
"
											Like, seriously.
									","
											Ernsthaft.
									","
											Sérieusement.
									","
											Ciddiyim.
									","
											En serio.
									",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
"
","
","
","
","
",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
"
											I'm, ""No, you can't.""
									","
											Ich: ""Nein, können Sie nicht.""
									","
											Je leur dis : « Non, vous ne pouvez pas ».
									","
											""Hayır, yapamazsınız."" diyorum.
									","
											Le digo: ""No, no puedes"".
									",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
"
","
","
","
","
",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
"
											(Laughter)
									","
											(Lachen)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Risas)
									",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
