tr,es,pt,fr,de,title,speaker,duration,tags
"
","
","
","
","
",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
											(Alkış)
									","
											(Aplausos)
									","
											(Aplausos)
									","
											(Applaudissements)
									","
											(Applaus)
									",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
","
","
","
","
",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
											...siz de böyle hissetmiyor musunuz?
									","
											... ¿No lo están?
									","
											Não acham?
									","
											... vous ne le sentez pas?
									","
											... finden Sie nicht?
									",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
","
","
","
","
",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
											(Kahkahalar)
									","
											(Risas)
									","
											(Risos)
									","
											(Rires)
									","
											(Gelächter)
									",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
","
","
","
","
",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
											Yani, bütün bu düzen benim size bir konuşma daha yapmam için
											ayarlanmış bir oyun. İşte buyrun.
									","
											Así que todo este evento ha sido un elaborado preludio
											para que yo pudiera hacer otra 
presentación para ustedes, así que aquí está.
									","
											Todo este evento foi construído
de forma elaborada
											para eu poder fazê-lo
mais uma vez. Cá estou então.
									","
											Donc, cette conférence a été un coup monté
											pour que je vous en fasse une autre, alors la voici.
									","
											Dementsprechend war diese gesamte Veranstaltung bislang nur ein aufwändiges Vorspiel
											für einen weiteren Vortrag von mir. Hier ist er also:
									",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
","
","
","
","
",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
											(Kahkahalar)
									","
											(Risas)
									","
											(Risos)
									","
											(Rires)
									","
											(Gelächter)
									",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
","
","
","
","
",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
											Dört yıl önce Al Gore
											TED konferansında konuşmuştu
											ve iklim krizinden bahsetmişti.
											Son konuşmamın sonunda
											onun sözlerine değinmiştim.
											Bıraktığım yerden devam edeyim
											ne yapayım o zaman sadece 18 dakikam vardı.
											Nerede kalmıştık...
									","
											Al Gore habló
											en la Conferencia TED
donde hablé hace 4 años
											y habló sobre la crisis climática.
											Y yo hice referencia a eso
											al final de mi última charla.
											Así que quiero continuar desde ahí
											porque, francamente, sólo tenía 18 minutos.
											Entonces, como les estaba diciendo...
									","
											Al Gore participou na conferência TED
em que falei há quatro anos
											e falou-nos da crise climática.
											Eu fiz referência a isso mesmo
no final da minha última palestra.
											Portanto, quero começar por aí
											porque, francamente, só tive 18 minutos.
											Então, como estava a dizer...
									","
											Al Gore parlait
											à la conférence TED où je parlais il y a quatre ans
											et parlait de la crise du climat.
											Et j'en faisais référence
											à la fin de ma dernière présentation.
											Et je voudrais repartir de là
											parce que franchement je n'avais que 18 minutes.
											Donc, comme je le disais ...
									","
											Al Gore sprach
											auf der gleichen TED-Konferenz vor vier Jahren, auf der auch ich sprach,
											und er redete über die Klimakrise.
											Und ich habe darauf am Ende meines letzten
											Vortrags Bezug genommen.
											Ich will also von dort weitermachen,
											denn ich hatte nämlich nur 18 Minuten.
											Also, wie gesagt...
									",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
","
","
","
","
",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
											(Kahkahalar)
									","
											(Risas)
									","
											(Risos)
									","
											(Rires)
									","
											(Gelächter)
									",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
","
","
","
","
",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
											Haklıydı.
											Ciddi bir iklim krizinin olduğu gün gibi ortada.
											Buna inanmayanların biraz daha sık sokağa çıkmalarını öneririm.
											(Kahkahalar)
											Ama bence bir iklim krizi daha var
											birincisi kadar ağır,
											ve çıkış noktası aynı
											ve bu krize de aynı aciliyetle yaklaşmalıyız.
											Demek istediğim —
											bu arada
											""Bak, zaten başımda bir kriz var
											ikinci bir tanesine ihtiyacım yok"" diyebilirsiniz.
											Ama bu kriz, doğal nedenlerden değil
											inancıma göre
											insan kaynaklı bir kriz.
									","
											Él tiene razón.
											Quiero decir, obviamente, hay una crisis climática.
											Y creo que si la gente no lo cree, deberían salir más.
											(Risas)
											Pero creo que hay una segunda crisis climática,
											que es igual de grave,
											que tiene los mismos orígenes,
											y a la que tenemos que hacer frente con la misma urgencia.
											Y quiero decir con esto,
											—y por cierto, ustedes podrían decir, ""Mira, yo estoy bien.
											Tengo una crisis climática;
											realmente no necesito una segunda""—.
											Pero ésta no es una crisis de recursos naturales,
											—aunque creo que aquella es verdadera—,
											sino que es una crisis de recursos humanos.
									","
											Como veem, ele tem razão.
											Quer dizer, há obviamente
uma crise climática séria.
											Se as pessoas não acreditam,
deviam sair de casa mais vezes.
											(Risos)
											Mas há uma outra crise climática,
											que é igualmente grave,
											que tem as mesmas origens
											e que temos de tratar
com a mesma urgência.
											A propósito, vocês poderão dizer:
											""Para mim chega.
Já tenho uma crise climática,
											""não preciso de mais nenhuma.""
											Mas esta não é uma crise
de recursos naturais,
											— embora eu ache que é verdade —
											mas uma crise de recursos humanos.
									","
											Vous voyez, il a raison.
											Je veux dire, il y a une crise du climat, évidemment.
											Et si les gens ne le croient pas, ils devraient sortir davantage
											(Rires)
											Mais je crois qu'il y a une second crise climatique,
											qui est aussi sévère,
											qui a les mêmes origines
											et qu'il nous faut affronter avec la même urgence.
											Ce que je veux dire par là —
											et vous pouvez dire, d'ailleurs, ""Ecoutez, c'est bon,
											J'ai déjà une crise climatique;
											J'en n'ai vraiment pas besoin d'une deuxième.""
											Mais c'est une crise, non pas de ressources naturelles,
											même si je pense qu'elle existe,
											mais une crise de ressources humaines.
									","
											Wissen Sie, er hat Recht.
											Ich meine, natürlich gibt es eine große Klimakrise.
											Und ich denke, wenn Leute nicht daran glauben, sollten sie öfter mal vor die Tür gehen.
											(Gelächter)
											Aber ich glaube auch, dass es noch eine Klimakrise gibt,
											die ebenso ernst ist,
											welche die gleichen Wurzeln hat,
											und die wir mit der gleichen Dringlichkeit angehen müssen.
											Und damit meine ich —
											und, übrigens, vielleicht wollen Sie sagen: ""Hör zu, ich bin gut.
											Ich habe schon eine Klimakrise;
											ich kann wirklich die zweite nicht auch noch gebrauchen.""
											Aber dies ist eine Krise nicht natürlicher Ressourcen,
											obwohl ich glaube, dass das auch zutrifft -
											sondern eine Krise des 'Rohstoffs Mensch'.
									",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
","
","
","
","
",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
											Bence, temel olarak,
											son günlerde çoğu konuşmacının da dediği gibi
											yeteneklerimizi çok verimsiz
											kullanıyoruz.
											Bir çok insan hayatını
											yeteneklerinin ne olduğunun farkında olmadan geçiriyor,
											veya bir yeteneğin varlığından bile habersiz.
											Bir sürü insanla tanışıyorum
											sanıyorlar ki iyi yaptıkları hiç bir şey yok.
									","
											Fundamentalmente, creo que,
											tal como muchos oradores lo han dicho en los últimos días,
											hacemos un uso muy pobre
											de nuestros talentos.
											Muchas personas pasan toda su vida
											sin ningún sentido de cuáles pueden ser sus talentos,
											o si tienen alguno del cual hablar.
											Me encuentro con todo tipo de personas
											que no creen que son realmente buenos en nada.
									","
											Fundamentalmente, penso que,
											tal como muitos oradores
referiram nos últimos dias,
											que estamos a aplicar mal
os nossos talentos.
											Muitíssimas pessoas passam a vida toda
											sem qualquer ideia de quais são
as suas aptidões inatas
											ou se dispõem de alguma
de que possam falar.
											Encontro todo o tipo de pessoas
											que não sabem se são boas
em qualquer coisa.
									","
											Je crois, fondamentalemnt,
											comme beaucoup de conférenciers l'ont dit ces derniers jours,
											que nous sous-utilisons
											nos talents.
											Beaucoup de gens passent leur vie complète
											sans avoir un véritable sens de leurs talents
											ni même s'ils en ont.
											Je rencontre toutes sortes de gens
											qui ne pensent pas être vraiment bons quelque part.
									","
											Ich bin fest davon überzeugt,
											wie viele andere auch in den vergangen Tagen gesagt haben,
											dass wir unsere Talente äußerst schlecht
											einsetzen.
											Sehr viele Menschen verbringen ihr ganzes Leben
											ohne eine Vorstellung davon, welche Talente sie besitzen,
											oder ob sie überhaupt über irgendwelche nennenswerten Talente verfügen.
											Ich treffe vielerlei Menschen,
											die glauben, es gäbe nichts, was sie besonders gut könnten.
									",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
","
","
","
","
",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
											Ben dünyayı iki gruba bölüyorum.
											Jeremy Bentham, büyük faydacı (utilitaryan) filozof
											bir defasında bir tartışma başlatmıştı.
											Dedi ki, ""Dünyada iki çeşit insan var,
											dünyadaki insanları ikiye bölenler
											ve bölmeyenler.""
											(Kahkahalar)
											Ben bölenlerdenim.
											(Kahkahalar)
									","
											La verdad es que ahora tiendo 
a dividir al mundo en dos grupos.
											Jeremy Bentham, el gran filósofo utilitarista
											una vez planteó este punto.
											Él dijo, ""Hay dos tipos de personas en este mundo,
											los que dividen el mundo en dos clases
											y los que no"".
											(Risas)
											Bien, yo lo divido.
											(Risas)
									","
											De facto, eu como que divide
o mundo em dois grupos.
											Jeremy Bentham,
o grande filósofo do utilitarismo,
											lançou este argumento, um dia:
											""Há dois tipos de pessoas no mundo,
											""os que dividem o mundo em dois tipos
											""e os que não dividem.""
											(Risos)
											Eu divido.
											(Risos)
									","
											En fait, je divise maintenant le monde en deux groupes.
											Jeremy Bentham, le grand philosophe utilitariste,
											a dit de manière humoristique
											""Il y a deux sortes de gens dans ce monde,
											ceux qui divisent le monde en deux classes
											et ceux qui ne le font pas"".
											(Rires)
											Je suis dans la première.
											(Rires)
									","
											Genauer gesagt unterteile ich die Welt jetzt in zwei Gruppen.
											Jeremy Bentham, der große utilitaristische Philosoph,
											hat dieses Argumente einmal pointiert.
											Er sagte: ""Es gibt zwei Arten von Menschen auf der Welt,
											diejenigen, welche die Welt in zwei Arten aufteilen,
											und die, die das nicht tun.""
											(Gelächter)
											Nun, ich tue es.
											(Gelächter)
									",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
","
","
","
","
",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
											Bir sürü insanla tanışıyorum
											yaptıkları işi sevmiyorlar.
											Hayatlarını yuvarlanıp giderek
											öylesine geçiriyorlar.
											Yaptıkları işten zevk duymuyorlar.
											Zevk almak yerine, o işe tahammül ediyorlar
											ve haftasonunu bekliyorlar.
											Ama başka insanlarla da tanışıyorum
											yaptıkları işi seviyorlar
											ve başka bir iş yapmayı düşünemiyorlar bile.
											Onlara ""Artık bu işi yapma"" deseniz, ""Sen ne dediğinin farkında mısın?"" diye sorarlar.
											Çünkü yaptıkları iş değildir bahsettiğiniz, onların benliğidir.
											""Ama bu benim."" derler.
											""En çok kendim gibi hissetmemi sağlayan
											işten vazgeçmem aptallık olur.""
											Malesef bu durum yeterince insan için geçerli değil.
											Aslına bakarsanız, bence tam tersine
											çok az insan için geçerli.
											Bence bunun bir çok
									","
											Me encuentro con todo tipo de personas
											que no disfrutan lo que hacen.
											Simplemente pasan sus vidas
											acostumbrándose.
											No reciben gran placer de lo que hacen.
											Lo sufren en lugar de disfrutarlo,
											y esperan que llegue el fin de semana.
											Pero también me encuentro con personas
											que aman lo que hacen
											y no se imaginan haciendo otra cosa.
											Si le dicen, ""Ya no hagas esto"", 
se preguntarían de qué les están hablando.
											Porque ellos dicen: no es lo que hacen, es lo que ellos son.
											""Yo soy así, ¿me explicó?
											Sería una locura para mí abandonar esto, porque
											es lo que habla de mi ser más auténtico"".
											Y esto no es cierto para la mayoría.
											De hecho, todo lo contrario, yo pienso
											que es una minoría.
											Y creo que hay muchas
									","
											Encontro toda uma variedade de pessoas
											que não gostam do que fazem.
											Basicamente passam
toda a vida a fazê-lo.
											Não tiram prazer daquilo que fazem.
											Suportam em vez de desfrutar
											e esperam pelo fim de semana.
											Mas também encontro pessoas
que adoram o que fazem
											e não conseguiriam imaginar
fazer qualquer outra coisa.
											Se disséssemos:
""Deixe de fazer isso"",
											não perceberiam do que estávamos a falar.
											Não é o que fazem, é quem são.
											Dizem: ""Mas eu sou isto.
											""Seria um disparate deixar de fazer isto,
											""porque tem a ver comigo,
com o meu eu mais autêntico"".
											Mas isto não acontece com muitas pessoas.
											Parece-me que, pelo contrário,
acontece a uma minoria.
											Acho que existem muitas
explicações possíveis para isso.
									","
											Je rencontre toutes sortes de gens
											qui n'apprécient pas ce qu'ils font.
											Ils passent simplement leur vie
											vaquant à leur occupations.
											Ils ne tirent pas grand plaisir de ce qu'ils font.
											Ils la supportent, plutôt qu'ils ne l'apprécient
											et ils attendent le week-end.
											Mais je rencontre aussi des gens
											qui adorent ce qu'ils font
											et n'imaginent même pas faire autre chose.
											Si vous leur disiez, ""Ne faites plus ça"", ils se demanderaient de quoi vous leur parlez.
											Parce que ce n'est pas ce qu'ils font, mais ce qu'ils sont. Ils disent
											""Mais, vous voyez, c'est moi.
											Ce serait idiot de ma part de l'abandonner, parce que
											cela parle à mon moi le plus authentique.""
											Et ce n'est pas vrai de suffisamment de gens.
											En fait, je pense qu'au contraire
											c'est certainement une minorité.
											Et je pense qu'il y a beaucoup
									","
											Ich treffe vielerlei Leute, die
											keine Freude an dem haben, was sie tun.
											Sie 'absolvieren' einfach so ihr Leben,
											leben vor sich hin.
											Sie haben keine Freude an dem, was sie tun.
											Sie halten das Leben vielmehr aus, anstatt es zu genießen,
											und warten aufs Wochenende.
											Aber ich treffe auch Menschen,
											die das, was sie tun, lieben,
											und die sich nicht vorstellen könnten, etwas anderes zu machen.
											Würde man ihnen sagen, ""Hör damit auf!"", dann würden sie sich wundern, wovon man wohl redete.
											Denn es ist nicht, was sie tun, sondern wer sie sind. Sie sagen:
											""Aber, wissen Sie, das bin doch ich.
											Es wäre töricht von mir, diese Tätigkeit aufzugeben,
											spricht sie doch mein authentischstes Selbst an.""
											Und dies trifft nicht auf genügend Menschen zu.
											Ganz im Gegenteil. Ich glaube, dass dies
											nur für eine Minderheit der Menschen zutrifft.
											Und ich glaube, dass es dafür eine Menge
									",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
","
","
","
","
",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
											açıklaması olabilir.
											Bunlardan en üst sırada olanı
											eğitim,
											çünkü eğitim insanları
											doğal yeteneklerinden
											uzaklaştırabilir.
											Insan yetenekleri, doğanın kaynakları gibidir
											genellikle çok derinlerde gömülüdürler.
											Iyice aramak gerekir.
											Ortalıkta, yüzeyde durmazlar.
											Ortaya çıkabilecekleri ortamın hazırlanması gerekir.
											Tahmin edebileceğiniz gibi
											bunun yolu eğitimden geçmelidir.
											Ama sıklıkla geçmez.
											Dünyadaki tüm eğitim sistemleri
											şu anda reform içindeler.
											Ama bu yeterli değil.
											Reform artık yeterli bir çözüm değil
											çünkü reform demek bozuk bir modeli tamir etmek demektir.
											Ihtiyacımız olan —
											gerçi bu laf son zamanlarda çok sık kullanılır oldu ama—
											eğitiminin evrim geçirmesi değildir,
											ihtiyacımız olan bir eğitim devrimidir.
											Artık eğitim olduğu şeyden
											başka bir şeye dönüşmelidir.
									","
											posibles explicaciones para esto.
											Y entre ellas, la principal
											es la educación,
											porque de alguna forma, la educación,
											aleja a muchas personas
											de sus talentos naturales.
											Y los recursos humanos son como los recursos naturales;
											a menudo están enterrados.
											Tienes que ir a buscarlos.
											No están simplemente tirados en la superficie.
											Tienes que crear las circunstancias 
donde ellos surjan por sí mismos.
											Y pueden imaginar
											que la educación sería la forma en que eso suceda.
											Pero muy a menudo, no lo es.
											Cada sistema educativo del mundo
											se está reformando en estos momentos.
											Y esto no es suficiente.
											Las reformas no tienen sentido,
											porque simplemente están mejorando un modelo obsoleto.
											Lo que necesitamos,
											—y la palabra ha sido usada muchas 
veces durante estos días—
											no es una evolución,
											sino una revolución en la educación.
											Tiene que ser transformada
											en algo más.
									","
											E a de maior peso é a educação,
											porque, de certa forma, a educação
											desvia muitíssimas pessoas
das suas aptidões naturais.
											Os recursos humanos são
como os recursos naturais.
											Estão frequentemente
enterrados bem fundo.
											Temos de os procurar.
											Não estão logo à superfície.
											Temos de criar as condições
para que se tornem visíveis.
											Podíamos imaginar que a educação
seria o meio para isso acontecer.
											Mas frequentemente, não é.
											Todos os sistemas de ensino do mundo
estão a sofrer reformas neste momento.
											Mas não é suficiente.
											As reformas já não são eficazes,
											porque estão apenas a melhorar
um modelo que já não funciona.
											O que necessitamos
											— e esta palavra tem sido muito usada
nos últimos dias —
											não é evolução,
											mas sim uma revolução no ensino.
											Este modelo tem de ser transformado
numa outra coisa.
									","
											d'explications possibles.
											Et l'une des premières
											concerne l'éducation,
											parce que l'éducation, en un sens,
											sépare bien des gens
											de leurs talents naturels.
											Et les ressources humaines, comme les resources naturelles,
											sont souvent enterrées profond.
											Il faut prospecter.
											Elles ne sont pas étalées au grand jour.
											Vous devez créer les circonstances où elles se révèlent.
											Et vous pourriez imaginer
											que ce serait là, le résultat de l'éducation.
											Mais trop souvent, ce n'est pas le cas.
											Tous les systèmes éducatifs du monde
											sont en pleine réforme aujourd'hui
											Et ce n'est pas assez.
											Réformer ne sert plus à rien,
											parce que c'est simplement améliorer un modèle inopérant.
											Ce dont nous avons besoin —
											et le mot a beaucoup été utilisé ces derniers jours —
											ce n'est pas une évolution,
											mais une révolution de l'éducation.
											Elle doit être transformée
											en quelque chose d'autre.
									","
											möglicher Erklärungen gibt.
											Ein wichtiger Faktor dabei
											ist Bildung,
											denn auf eine bestimmte Art und Weise
											entfremdet Bildung viele Menschen
											von ihren natürlichen Talenten.
											Und menschliche Ressourcen sind wie Rohstoffe;
											sie sind oftmals tief vergraben.
											Man muss nach ihnen suchen.
											Sie liegen nicht bloß auf der Oberfläche.
											Man muss die Bedingungen schaffen, unter denen sie sich zeigen.
											Und vielleicht glauben Sie,
											die Bildung würde das leisten.
											Doch allzu oft tut sie das nicht.
											Jedes Bildungssystem auf der Welt wird
											derzeit reformiert.
											Und das reicht nicht aus.
											Reformieren ist zwecklos geworden,
											denn das ist der Versuch, ein kaputtes Modell zu verbessern.
											Was wir brauchen —
											und das Wort ist vielfach in die letzten paar Tagen gefallen —
											ist keine Weiterentwicklung des Bildungssystems,
											sondern eine Bildungs-Revolution.
											Das System muss in etwas anderes
											verwandelt werden.
									",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
","
","
","
","
",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
											(Alkış)
									","
											(Aplausos)
									","
											(Aplausos)
									","
											(Applaudissements)
									","
											(Applaus)
									",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
","
","
","
","
",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
											En büyük zorluklardan biri
											eğitimin temelinden
											yenileştirmektir.
											Yenilik zordur
											çünkü insanların alışmakta zorlanacakları
											yeni bir şeyler yapmalarını gerektirir.
											doğru varsaydığımız şeyleri sorgulamayı gerektirir,
											apaçık ortada olduğunu düşündüğümüz şeyleri yeniden gözden geçirmemizi gerektirir.
											Reform
											ya da değişimle ilgili en büyük sorun
											sağduyunun koşulsuz kabulüdür.
											İnsanlar bir şeyi kabul ederler çünkü derler ki
											""Bu iş başka türlü yapılmaz çünkü bu hep böyle yapılmıştır.""
									","
											Uno de los verdaderos desafíos
											es innovar fundamentalmente
											en la educación.
											La innovación es difícil
											porque significa hacer algo
											que las personas batallan en hacer.
											Significa desafiar lo que tomamos por hecho
											cosas que pensamos que son obvias.
											El gran problema para la reforma
											o transformación
											es la tiranía del sentido común,
											las cosas que las personas piensan,
											""Bueno, no puede hacerse de otra 
manera porque así es como debe hacerse"".
									","
											Um dos verdadeiros desafios
é basicamente inovar no ensino.
											Inovar é difícil
											porque significa fazer algo
											que a maior parte das pessoas
não acha nada fácil.
											Significa desafiar
o que tomamos como certo,
											coisas que achamos óbvias.
											O grande problema das reformas
ou transformações
											é a tirania do senso comum,
											coisas que as pessoas pensam,
											""Não se pode fazer de outro modo,
é assim que se faz"".
									","
											L'un des véritables défis
											est de renouveler dans ses fondements
											en éducation.
											Innover est dur
											parce que c'est faire quelque chose
											que les gens ne trouvent pas facile pour la plupart.
											C'est remettre en cause ce que nous tenons pour acquis,
											les choses que nous pensons évidentes.
											Le grand problème pour réformer
											ou transformer
											est la tyrannie du bon sens,
											ce dont les gens pensent,
											""On ne peut pas le faire autrement parce que ça se fait comme ça.""
									","
											Eine der großen Herausforderungen ist,
											Neuerungen bei den Grundsätzen des Bildungssystem
											einzuführen.
											Innovationen sind schwierig,
											denn sie bedeuten, dass man etwas tut,
											was die meisten Menschen nicht gerade leicht finden.
											Man muss dafür Dinge, die wir als selbstverständlich hinnehmen, infrage stellen,
											Dinge, die wir für offensichtlich halten.
											Das große Problem bei der Reform
											oder der Transformation
											ist die Tyrannei des gesunden Menschenverstands,
											Dinge, von denen Menschen denken,
											""Das kann gar nicht anders gemacht werden, denn so wird es ja schließlich gemacht.""
									",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
","
","
","
","
",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
