en,de,tr,es,fr,pt,title,speaker,duration,tags
"
","
","
","
","
","
",How fake news does real harm,Stephanie Busari,6:26,"Africa,communication,community,humanity,global issues,journalism,social change,society,terrorism,trafficking,writing"
"
											I must confess that I have not been
a dispassionate observer
											covering this story.
											I am furious when I think
about the wasted opportunities
											to rescue these girls.
											I am furious when I think about
what the parents have told me,
											that if these were daughters
of the rich and the powerful,
											they would have been found much earlier.
											And I am furious
											that the hoax narrative,
											I firmly believe,
											caused a delay;
											it was part of the reason
for the delay in their return.
									","
											Ich muss zugeben, dass ich kein
objektiver Beobachter war,
											als ich an der Geschichte arbeitete.
											Ich werde wütend, wenn ich an
die vergeudeten Möglichkeiten denke,
											diese Mädchen zu retten.
											Ich werde wütend, wenn ich
an die Eltern denke, die mir sagten:
											Wenn diese Mädchen reiche
und mächtige Eltern hätten,
											wären sie viel früher gefunden worden.
											Und ich werde wütend,
											dass die Falschmeldung,
											wie ich stark annehme,
											eine Verspätung zur Folge hatte;
											es war Teil des Grundes
für ihre verspätete Rettung.
									","
											Bu hikâyeyi ele alırken
tarafsız bir gözlemci olmadığımı
											itiraf etmem gerek.
											Kızları kurtarmak için
kaçırılan o fırsatları düşündüğümde
											öfkeleniyorum.
											Ailelerin söylediklerini,
bu kızlar eğer zengin ve güçlü ailelerin
											kızları olsaydı çok daha
önceden bulunurlardı deyişlerini
											düşündüğümde öfkeleniyorum.
											Sahte anlatının
											kesin olarak bir ertelenmeye
											neden olduğunu düşününce
											öfkeleniyorum;
											çünkü karşılık verilmesini
erteleyen nedenin bir kısmı da bu.
									","
											Debo confesar que no he sido
una observadora distante
											al cubrir esta historia.
											Me pongo furiosa cuando recuerdo
las oportunidades desperdiciadas
											para rescatar a estas chicas.
											Me pongo furiosa cuando pienso 
en lo que me han dicho los padres,
											que si fueran hijas
de los ricos y los poderosos,
											se habrían encontrado mucho antes.
											Y me pone furiosa
											que la teoría del engaño
											- creo firmemente que 
causó grandes retrasos -
											fuera parte de la razón del retraso
del regreso de las chicas.
									","
											Je dois avouer que je n'ai pas était
une observatrice impartiale
											en couvrant cette histoire.
											Ça me rend furieuse de penser
aux opportunités gâchées
											pour secourir ces filles.
											Ça me rend furieuse de penser
à ce que m'ont dit les parents,
											que si c'était de filles 
de familles riches et puissantes,
											on les aurait retrouvées 
beaucoup plus tôt.
											Ça me rend furieuse
											que ce soupçon de canular,
											et j'y crois fermement,
											ait ralenti les choses ;
											ça a en partie retardé leur retour.
									","
											Confesso que não tenho sido
uma observadora imparcial,
											a fazer a cobertura desta história.
											Fico furiosa quando penso
nas oportunidades desperdiçadas
											para salvar aquelas raparigas.
											Fico furiosa quando penso
no que os pais me disseram,
											que, se fossem filhas
dos ricos e poderosos,
											teriam sido encontradas
muito mais depressa.
											E fico furiosa
											que a narrativa da mistificação
											— acredito-o firmemente —
											tenha provocado um grande atraso,
											tenha sido uma das razões
para o atraso no regresso delas.
									",How fake news does real harm,Stephanie Busari,6:26,"Africa,communication,community,humanity,global issues,journalism,social change,society,terrorism,trafficking,writing"
"
","
","
","
","
","
",How fake news does real harm,Stephanie Busari,6:26,"Africa,communication,community,humanity,global issues,journalism,social change,society,terrorism,trafficking,writing"
"
											This illustrates to me
the deadly danger of fake news.
											So what can we do about it?
											There are some very smart people,
											smart engineers at Google and Facebook,
											who are trying to use technology
to stop the spread of fake news.
											But beyond that, I think
everybody here — you and I —
											we have a role to play in that.
											We are the ones who share the content.
											We are the ones who share
the stories online.
											In this day and age, we're all publishers,
											and we have responsibility.
									","
											Dies verdeutlicht
die Gefahr von Falschmeldungen.
											Also was können wir dagegen tun?
											Es gibt sehr clevere Leute,
											clevere Techniker bei Google und Facebook,
											die versuchen Technik einzusetzen,
											um die Verbreitung
von Falschmeldungen einzudämmen.
											Aber darüber hinaus,
ich denke jeder hier — Sie und ich —,
											wir haben einen Beitrag zu leisten.
											Denn wir teilen die Inhalte.
											Wir teilen die Geschichten online.
											Heutzutage sind wir alle Herausgeber,
											und wir haben eine Verantwortung.
									","
											Bu, sahte haberlerin
ölümcül tehlikelerini sergiliyor.
											Peki bunun için ne yapabiliriz?
											Google ve Facebook'ta sahte haberlerin
											yayılmasını engellemek için teknolojiyi
											kullanmayı deneyen bazı
zeki insanlar, zeki mühendisler var.
											Bunun da ötesinde,
buradaki herkesin — sizin ve benim —
											bunda bir rolünün olduğunu düşünüyorum.
											İçeriği paylaşanlar bizleriz.
											İnternet üzerinde
hikâyeleri paylaşan biziz.
											Bugünlerde ve bu çağda hepimiz yayıncıyız
											ve sorumluluğumuz var.
									","
											Esto ilustra el peligro mortal
de las noticias falsas.
											Entonces, ¿qué podemos hacer al respecto?
											Hay gente muy inteligente,
											ingenieros inteligentes
en Google y Facebook,
											que están tratando
											de usar tecnología para detener
la propagación de noticias falsas.
											Pero más allá de eso, creo que
todo el mundo aquí presente... tú y yo...
											tenemos un papel que jugar en esto.
											Somos los que compartimos el contenido.
											Somos los que compartimos
las historias en línea.
											En estos tiempos, todos somos editores,
											y tenemos una responsabilidad.
									","
											Ça illustre pour moi 
le danger mortel des fausses infos.
											Donc que peut-on y faire ?
											Il y a des personnes très intelligentes,
											des ingénieurs chez Google et Facebook,
											qui utilisent la technologie pour empêcher 
que ces fausses infos ne se répandent.
											Mais au-delà de ça, je pense que 
tout le monde ici — vous et moi —
											nous avons un rôle à jouer.
											Nous sommes ceux 
qui partageons les contenus.
											Nous sommes ceux qui partageons
ces histoires en ligne.
											Dans cette ère, nous sommes tous éditeurs,
											et nous avons une responsabilité.
									","
											Para mim, isto é um exemplo
do perigo mortal das notícias falsas.
											O que é que podemos fazer?
											Há pessoas muito inteligentes,
											engenheiros inteligentes
no Google e no Facebook,
											que tentam usar a tecnologia
para impedir a difusão de notícias falsas.
											Mas, para além disso,
acho que todos nós
											temos um papel a desempenhar.
											Somos nós quem espalha os conteúdos.
											Somos nós quem partilha
as notícias online.
											Hoje em dia, todos publicamos
											e temos responsabilidades.
									",How fake news does real harm,Stephanie Busari,6:26,"Africa,communication,community,humanity,global issues,journalism,social change,society,terrorism,trafficking,writing"
"
","
","
","
","
","
",How fake news does real harm,Stephanie Busari,6:26,"Africa,communication,community,humanity,global issues,journalism,social change,society,terrorism,trafficking,writing"
"
											In my job as a journalist,
											I check, I verify.
											I trust my gut, but I ask tough questions.
											Why is this person telling me this story?
											What do they have to gain
by sharing this information?
											Do they have a hidden agenda?
											I really believe that we must all start
to ask tougher questions
											of information that we discover online.
									","
											In meinem Beruf als Journalistin
											überprüfe und verifiziere ich.
											Ich vertraue auf mein Bauchgefühl,
stelle aber schwierige Fragen.
											Warum erzählt mir diese Person
diese Geschichte?
											Was hat sie davon,
mir diese Geschichte zu erzählen?
											Hat sie verborgene Absichten?
											Ich denke, wir müssen alle anfangen,
schwierigere Fragen zu stellen,
											zu den Informationen, die es online gibt.
									","
											Gazeteci olarak ben kontrol ediyor
											ve onaylıyorum.
											Cesaretliyim, fakat
sert sorular soruyorum.
											Bu insan bana bu hikâyeyi neden anlatıyor?
											Bu bilgiyi paylaşarak ne elde edecekler?
											Gizli bir gündemleri mi var?
											İnternette keşfettiğimiz şeylere
daha sert sorular sorarak yaklaşmaya
											başlamamız gerektiğine inanıyorum.
									","
											En mi trabajo como periodista,
											compruebo, verifico.
											Confío en mi instinto,
pero hago preguntas difíciles.
											¿Por qué esta persona
me está contando esta historia?
											¿Qué tiene que ganar
al compartir esta información?
											¿Tiene una agenda oculta?
											Realmente creo que todos debemos
empezar a hacernos preguntas más difíciles
											sobre la información
que descubrimos en línea.
									","
											Dans mon travail en tant que journaliste,
											je checke, je vérifie.
											Je fais confiance à mon instinct,
mais je pose des questions difficiles.
											Pourquoi est-ce que cette personne 
me raconte cette histoire ?
											Qu'ont-ils à gagner en partageant 
cette information ?
											Qu'ont-ils derrière la tête ?
											Je pense que nous devons tous
commencer à remettre en question
											les informations 
que nous trouvons en ligne.
									","
											No meu trabalho, enquanto jornalista,
											confiro, verifico.
											Confio nos meus instintos,
mas faço perguntas incómodas.
											Porque é que esta pessoa
me está a contar esta história?
											O que é que eles ganham
por partilharem estas informações?
											Terão um objetivo oculto?
											Creio que todos temos que começar
a fazer perguntas incómodas
											sobre as informações
que encontramos ""online"".
									",How fake news does real harm,Stephanie Busari,6:26,"Africa,communication,community,humanity,global issues,journalism,social change,society,terrorism,trafficking,writing"
"
","
","
","
","
","
",How fake news does real harm,Stephanie Busari,6:26,"Africa,communication,community,humanity,global issues,journalism,social change,society,terrorism,trafficking,writing"
"
											Research shows that some of us
don't even read beyond headlines
											before we share stories.
											Who here has done that?
											I know I have.
											But what if
											we stopped taking information
that we discover at face value?
											What if we stop to think
about the consequence
											of the information that we pass on
											and its potential to incite
violence or hatred?
											What if we stop to think
about the real-life consequences
											of the information that we share?
									","
											Die Forschung zeigt, dass einige von uns
nicht mal über den Titel hinaus lesen,
											bevor wir die Geschichten teilen.
											Wer hier hat das schon gemacht?
											Ich weiß, dass ich es getan habe.
											Aber was, wenn wir aufhören,
											jede Information
für bare Münze zu halten?
											Was, wenn wir aufhören,
über die Folgen nachzudenken,
											die die Informationen haben,
die wir weitergeben,
											und ihr Potenzial Gewalt
und Hass auszulösen?
											Was, wenn wir aufhören, über die Folgen
im richtigen Leben nachzudenken,
											von den Informationen, die wir teilen?
									","
											Araştırmalar, kimimizin hikâyeyi
paylaşmadan önce başlığın ötesini
											bile okumadığını gösteriyor.
											Bunu yapan var mı?
											Ben yaptım, biliyorum.
											Peki eğer ilk bakışta
											keşfettiğimiz bilgileri
almayı bıraksak ne olur?
											Paylaştığımız bilginin
sonucunu ve onun şiddet
											veya öfke oluşturma
											potansiyelini düşünmeyi bıraksak ne olur?
											Paylaştığımız bilginin
gerçek hayattaki sonuçlarını
											düşünmeyi bırakırsak ne olur?
									","
											La investigación muestra que algunos
ni siquiera leen más allá de los titulares
											antes de compartir historias.
											¿Quién ha hecho eso?
											Sé que yo sí.
											Pero ¿y si...
											dejamos de tomar la información
que descubrimos al pie de la letra?
											¿Qué pasa si nos detenemos
a pensar las consecuencias
											de la información que transmitimos
											y su potencial para incitar
violencia u odio?
											¿Y si nos detenemos a pensar
en las consecuencias en la vida real
											de la información que compartimos?
									","
											Des études montrent
que certains d'entre nous
											vont rarement au-delà du titre
quand nous partageons les histoires.
											Qui ici l'a déjà fait ?
											Moi je l'ai fait.
											Et si nous arrêtions
											de prendre l'info pour argent comptant ?
											Si nous nous arrêtions pour réfléchir
aux conséquences
											de l'information que nous allons propager
											et son potentiel à inciter la violence 
ou la haine ?
											Et si nous nous arrêtions pour réfléchir
aux conséquences réelles
											de l'information que nous partageons ?
									","
											A investigação mostra que há pessoas
que só leem os cabeçalhos
											mas partilham as histórias na mesma.
											Quem aqui já fez isso?
											Eu já fiz.
											E se deixássemos de atribuir valor facial
às informações que encontramos?
											E se parássemos para pensar
nas consequências
											das informações que transmitimos
											e do seu potencial para incitar
à violência ou ao ódio?
											E se parássemos para pensar
nas consequências na vida real
											das informações que partilhamos?
									",How fake news does real harm,Stephanie Busari,6:26,"Africa,communication,community,humanity,global issues,journalism,social change,society,terrorism,trafficking,writing"
"
","
","
","
","
","
",How fake news does real harm,Stephanie Busari,6:26,"Africa,communication,community,humanity,global issues,journalism,social change,society,terrorism,trafficking,writing"
"
											Thank you very much for listening.
									","
											Vielen Dank für Ihre Aufmerksamkeit.
									","
											Dinlediğiniz için teşekkür ederim.
									","
											Muchas gracias por escuchar.
									","
											Merci beaucoup de votre attention.
									","
											Muito obrigada por me terem escutado.
									",How fake news does real harm,Stephanie Busari,6:26,"Africa,communication,community,humanity,global issues,journalism,social change,society,terrorism,trafficking,writing"
"
","
","
","
","
","
",How fake news does real harm,Stephanie Busari,6:26,"Africa,communication,community,humanity,global issues,journalism,social change,society,terrorism,trafficking,writing"
"
											(Applause)
									","
											(Applaus)
									","
											(Alkış)
									","
											(Aplausos)
									","
											(Applaudissements)
									","
											(Aplausos)
									",How fake news does real harm,Stephanie Busari,6:26,"Africa,communication,community,humanity,global issues,journalism,social change,society,terrorism,trafficking,writing"
"
","
","
","
","
","
",How fake news does real harm,Stephanie Busari,6:26,"Africa,communication,community,humanity,global issues,journalism,social change,society,terrorism,trafficking,writing"
