es,fr,pt,title,speaker,duration,tags
"
","
","
",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
											Y él quería echarle queso parmesano a todo.
									","
											Et lui voulait saupoudrer
du parmesan dans tout.
									","
											Ele queria pôr queijo parmesão em tudo.
									",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
","
","
",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
											(Risas)
									","
											(Rires)
									","
											(Risos)
									",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
","
","
",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
											Al final, se ponen de acuerdo:
											hacen el arroz en el wok
											pero a fuego lento.
									","
											À la fin, ils se sont mis d'accord :
											préparer le riz au wok,
											mais à petit feu.
									","
											No final, chegam a um acordo:
											fazem o arroz no ""wok"",
											mas em lume brando.
									",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
","
","
",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
											(Risas)
									","
											(Rires)
									","
											(Risos)
									",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
","
","
",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
											Y le echan un poquito de parmesano
											y un poquito de salsa de soja.
											Y dan vida a un nuevo plato:
											el arroz de mariscos del Perú,
											que tiene un poquito de los unos
											y un poquito de los otros,
											como todos los platos de nuestra cocina,
											que llevan ese sello mágico
de un Perú que durante siglos
											recibió a millones de personas
											que soñaron con hacer realidad
											su vida en nuestro país.
											Sin embargo, no los recibió en guetos,
											no los separó,
											sino que los integró, los unió
											y, al menos en la cocina,
											supo construir puentes fecundos 
de amor y de paz.
											El mensaje desde el Perú es claro:
											nada malo nos ocurre,
solamente pasan cosas buenas
											cuando abrazamos nuestra diversidad.
									","
											Ils y ajoutent un peu de parmesan
											et un peu de sauce soja.
											Un nouveau plat est né :
											le riz aux fruits de mer du Pérou,
											qui vient un peu de chez les uns
											et un peu de chez les autres,
											comme tous les plats de notre cuisine,
											portant le sceau magique 
d'un Pérou qui, pendant des siècles,
											a accueilli des millions de personnes,
											rêvant d'accomplir leur désir
											de vivre dans notre pays.
											Et ils n'ont pas été
reçus dans des ghettos,
											ni séparés entre eux,
											mais intégrés, unis,
											et, du moins dans la cuisine,
											ils ont su construire des liens fructueux
d'amour et de paix.
											Le message du Pérou est limpide :
											rien de mauvais ne se produit,
il n'y a que des bonnes choses
											quand nous acceptons notre diversité.
									","
											Põem-lhe um pouco de parmesão
											e um pouco de molho de soja.
											E dão vida a um novo prato:
											o arroz de marisco do Peru,
											que tem um pouco de uns
											e um pouco de outros,
											como todos os pratos na nossa cozinha,
											que levam esse cunho mágico
de um Peru que, durante séculos,
											recebeu milhões de pessoas
											que sonharam tornar realidade
											a sua vida no nosso país.
											No entanto, não os recebeu em guetos,
											não os isolou,
											mas integrou-os, uniu-os,
											e, pelo menos na cozinha,
											soube construir pontes
fecundas de amor e de paz.
											A mensagem que chega do Peru é clara:
											nada de mal nos acontece,
só coisas boas,
											quando abraçamos a nossa diversidade.
									",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
","
","
",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
											La segunda historia trata de mí,
que soy cocinero.
											Empecé mi formación en París
como estudiante,
											donde además tuve la suerte
de conocer a mi esposa, Astrid,
											a quien convencí de venirnos al Perú
											a hacer realidad nuestro sueño...
un pequeño restaurante,
											un lindo restaurante donde
sacar adelante a nuestra familia.
											Fue así cómo nació
nuestro primer restaurante,
											Astrid y Gastón.
											Eran los años 90,
											y en los años 90, como ocurría
en la mayoría del mundo en la alta cocina,
											nosotros también vivíamos influenciados
por la alta cocina francesa
											en un mundo en donde, además,
											el público local prefería siempre
											lo que venía de fuera
a lo que venía de nuestra tierra.
									","
											La deuxième histoire parle de moi,
en tant que cuisinier.
											J'ai commencé ma formation à Paris, 
comme apprenti,
											où j'ai eu, en plus, la chance de 
rencontrer mon épouse Astrid,
											qui était d'accord pour
venir avec moi au Pérou
											réaliser notre rêve –
tenir un petit restaurant,
											un bel endroit pour
faire vivre notre famille.
											Notre premier restaurant est né :
											Astrid et Gaston.
											C'était les années 90,
											et dans ces années, comme la majorité
des chefs du monde entier,
											nous étions influencés
par la grande cuisine française
											dans un monde où, en plus de ça,
											la clientèle locale préférait toujours
											ce qui venait d'ailleurs 
à ce qui venait de chez nous.
									","
											A segunda história é sobre mim,
que sou cozinheiro.
											Comecei a minha formação
em Paris, enquanto estudante,
											onde tive a sorte de conhecer
a minha esposa, Astrid,
											que convenci a vir para o Peru,
											e realizar o nosso sonho,
um pequeno restaurante,
											um lindo restaurante
para sustentar a nossa família.
											Foi assim que nasceu
o nosso primeiro restaurante,
											""Astrid &amp; Gastón"".
											Estávamos nos anos 90,
											e nos anos 90, como acontecia
em quase todo o mundo na alta gastronomia,
											nós também vivíamos sob a influência
da alta gastronomia francesa
											num mundo onde, para além de tudo,
											o público local preferia sempre
o que vinha de fora
											ao que vinha da nossa terra.
									",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
","
","
",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
											Quizás por eso, cuando llegábamos a casa,
											a pesar de que teníamos
mucho público todos los días,
											había un sinsabor.
											Aparecía una vocecita que nos decía:
											""¿Qué sentido tiene
											hacer un restaurante de imitación francesa
											hecho por una alemana y un peruano
											en una ciudad que no es Francia,
sino es el Perú?""
									","
											Ça explique peut-être pourquoi,
en rentrant à la maison,
											même si on avait beaucoup
de clients tous les jours,
											il nous manquait quelque chose.
											Un jour, une petite voix nous a dit :
											« Quel sens y a-t-il
											à avoir un restaurant à la française,
											dirigé par une Allemande et un Péruvien,
											dans une ville qui n'est pas en France,
mais au Pérou ? »
									","
											Talvez por isso, quando chegávamos a casa,
											apesar de termos muito público
todos os dias,
											havia uma tristeza.
											Aparecia uma voz que nos dizia:
											""Que sentido faz
											""ter um restaurante de imitação francesa
											""feito por uma alemã e um peruano
											""numa cidade que não é em França,
mas sim no Peru?"".
									",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
","
","
",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
											(Risas)
									","
											(Rires)
									","
											(Risos)
									",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
","
","
",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
											La respuesta llegaría años después,
a comienzos de este siglo,
											cuando ocurrieron dos cosas importantes.
											La primera fue que el mundo
se conectaba, gracias a Internet,
											y empezó a valorar
la diversidad de los pueblos
											y entre ellos, el Perú.
											Y la otra fue que la economía
peruana crecía sostenidamente
											luego de haber derrotado 
a Sendero Luminoso.
									","
											Nous avons eu la réponse bien plus tard,
dans les années 2000,
											quand deux choses importantes ont eu lieu.
											La première a été l'interconnexion
du monde, grâce à Internet.
											On s'est mis à valoriser 
la diversité des peuples,
											parmi lesquels, le Pérou.
											La deuxième a été la croissance soutenue
de l'économie péruvienne
											après la victoire
contre le Sentier Lumineux.
									","
											A resposta chegaria anos depois,
no início deste século,
											quando aconteceram
duas coisas importantes:
											a primeira foi o mundo estar conectado,
graças à Internet,
											e começar a valorizar
a diversidade dos povos,
											entre eles o Peru;
											a outra foi que a economia peruana
crescia de forma sustentada,
											logo após ter derrotado
o Sendero Luminoso.
									",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
","
","
",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
											Era el escenario perfecto
											para que una generación de 
cocineros a la cual pertenezco
											empezara a trabajar, juntos,
											acabando con egos, 
vanidades, desconfianzas,
											eliminando la competencia entre nosotros
											para trabajar sobre todo en favor 
de aquellos que no tenían voz:
											los cocineros en las esquinas,
los cocineros en los mercados,
											los pequeños agricultores en la Amazonía,
en los Andes, en la costa,
											los pescadores artesanales
en el Pacífico...
											todos, históricamente olvidados
											o incluso despreciados.
									","
											C'était le scénario parfait
											pour qu'une génération de cuisiniers
à laquelle j'appartenais
											commence à travailler, ensemble,
											mettant fin à la guerre des égos, 
la vanité et la méfiance,
											éliminant la compétition mutuelle
											pour travailler d'abord en faveur de ceux
qui n'avaient pas voix au chapitre :
											les cuisiniers du coin de la rue,
des marchés,
											les petits agriculteurs de l'Amazonie,
des Andes, de la côte Pacifique,
											les pêcheurs traditionnels du Pacifique –
											tous ceux qui avaient été oubliés
par l'histoire,
											parfois même méprisés.
									","
											Era o cenário perfeito
											para que uma geração de cozinheiros
à qual pertenço
											começasse a trabalhar em conjunto,
											acabando com egos,
vaidades, desconfianças,
											eliminando a rivalidade entre nós
											para trabalhar sobretudo em prol 
dos que não tinham voz:
											os cozinheiros nas esquinas,
os cozinheiros nos mercados,
											os pequenos agricultores na Amazónia,
nos Andes, no litoral,
											os pescadores artesanais no Pacífico...
											todos historicamente esquecidos
											ou até desvalorizados.
									",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
","
","
",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
											Fue a través de este movimiento
que empezamos a imaginar esto
											como una oportunidad para construir
un espacio mutuo de confianza,
											un entorno de confianza que nos ayudara
											a trabajar en objetivos colectivos
											muchísimo más importantes y trascendentes.
											Y fue así que, gracias a este movimiento,
empezamos a imaginar
											una cocina peruana que 
llevara un mensaje nuevo
											de un Perú mágico y seductor
											al mundo,
											con restaurantes peruanos
esparcidos por todo el mundo
											convertidos en vibrantes embajadas
que promovieran cada día
											nuestra cultura, nuestros productos
											y que convenciera a los turistas del mundo
de venir a visitar el Perú.
											Al comienzo, como suele ocurrir,
											nos tildaron de locos utópicos.
											""¿El ceviche?
											¿Igual de importante
que un plato francés?""
									","
											À travers ce mouvement,
on a commencé à voir cela
											comme une opportunité de construire
une zone de confiance commune,
											un environnement de confiance
pour nous aider
											à travailler à des objectifs collectifs,
											bien plus importants et décisifs.
											C'est ainsi que, grâce à ce mouvement, 
on a commencé à imaginer
											une cuisine péruvienne qui 
porterait un nouveau message,
											celui d'un Pérou magique et séduisant,
											à l'international,
											avec des restaurants péruviens
présents dans le monde entier,
											ambassades vibrantes du Pérou,
faisant chaque jour la promotion
											de notre culture, de nos produits
											et chargées de convaincre les touristes 
de venir visiter le Pérou.
											Au début, comme c'est souvent le cas,
											on nous a traités de fous utopistes.
											« Le ceviche ?
											aussi important qu'un plat français ? »
									","
											Foi através deste movimento
que começámos a imaginar isso
											como uma oportunidade de construir
um espaço mútuo de confiança,
											um ambiente de confiança


											que nos ajudou a trabalhar
em objectivos colectivos
											muitíssimo mais importantes
e transcendentes.
											Foi assim que, graças a este movimento,
começámos a imaginar
											uma cozinha peruana
que levasse ao mundo 

											uma nova mensagem
de um Peru mágico e sedutor
,
											com restaurantes peruanos
espalhados por todo o mundo
											convertidos em vibrantes embaixadas
que promovessem a cada dia
											a nossa cultura, os nossos produtos,
											e que convencia os turistas do mundo
a vir visitar o Peru.
											No início, como seria de esperar,
											chamaram-nos de utopistas loucos.
											""O ceviche?
											""Tão importante como um prato francês?""
									",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
","
","
",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
											(Risas)
									","
											(Rires)
									","
											(Risos)
									",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
","
","
",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
											""¿La cocina, algo
tan insignificante y cotidiano
											como un arma de promoción
de la imagen de un país en el mundo
											o un factor de unión de un pueblo?""
											""No, eso es imposible"", nos decían.
											Y, sin embargo, ocurrió.
											Hoy la cocina peruana 
está en los corazones del mundo.
											Y gracias a ello, ocurrió 
algo muy importante,
											mucho más importante que el ceviche
											hoy día esté en las cartas
de los restaurantes más famosos de París,
											o que la cocina peruana se codee
de igual a igual sin miedo
											con las grandes cocinas del mundo,
											o que Lima se haya convertido
en un destino turístico
											gracias a los atributos de su gastronomía
											con las oportunidades y el trabajo
que crea para muchas personas.
											Lo más importante
											fue que logramos, gracias a ello,
											construir un sentimiento profundo
de confianza y seguridad
											en nuestra identidad
											y un espacio de unión entre los peruanos
											que nos emocionamos cuando vemos
a nuestra cocina reconocida en el mundo.
									","
											« La cuisine, quelque chose d'aussi 
insignifiant et quotidien,
											un moyen de promotion de l'image
d'un pays dans le monde
											ou un facteur d'union nationale ? »
											« Non, impossible » disaient-ils.
											Et pourtant, ça a fonctionné.
											Aujourd’hui, la cuisine péruvienne
est partout dans les cœurs.
											Grâce à elle, un résultat
très important s'est produit,
											bien plus important que le ceviche,
											qu'on retrouve maintenant à la carte 
des restaurants les plus réputés de Paris,
											ou que la cuisine péruvienne 
qui côtoie d'égal à égal, sans crainte,
											les grandes cuisines du monde,
											ou que Lima, devenue
une destination touristique
											grâce aux atouts de sa gastronomie,
											les opportunités et les créations
d'emplois pour beaucoup de gens.
											Le plus important,
											c'est que nous avons réussi
											à construire un profond sentiment 
de confiance et de sécurité
											dans notre identité
											et une forme d'union entre Péruviens,
											qui nous émeut quand nous voyons notre
cuisine reconnue dans le monde entier.
									","
											""A cozinha, algo tão insignificante
e quotidiano
											""como uma ferramenta de promoção
da imagem de um país no mundo
											""ou um factor de união de um povo?""
											""Não, é impossível"", diziam-nos.
											E, contudo, aconteceu.
											Hoje, a cozinha peruana
está nos corações do mundo.
											Graças a isso, aconteceu algo
muito importante,
											muito mais importante do que o ceviche
											estar hoje nos menus dos restaurantes
mais famosos de Paris,
											ou o facto de a cozinha peruana
ombrear sem medo
											com as grandes cozinhas do mundo,
											ou que Lima se tenha tornado
um destino turístico
											graças aos atributos da sua gastronomia
											com as oportunidades e o trabalho
que cria para muitas pessoas.
											O mais importante
											foi que conseguimos, graças a isso,
											construir um sentimento profundo
de confiança e segurança
											na nossa identidade
											e um espaço de união entre os peruanos
											que nos emocionamos quando vemos
a nossa cozinha reconhecida no mundo.
									",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
","
","
",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
											Es cierto, durante mucho tiempo,
											nos dijeron que teníamos
que negar nuestro origen,
											que para ser reconocidos en la vida,
											debíamos parecer europeos
o norteamericanos.
											Y por eso, llenos de miedo,
escondimos ese amor de nuestros padres
											para que no le hagan daño.
											Hasta que finalmente, hoy día,
celebramos con confianza,
											con tranquilidad y en paz,
											nuestra identidad multicultural.
											El mensaje en esta segunda historia
también insiste en la idea de que
											la cocina puede ser una herramienta
											de bienestar en la medida
en que abrazamos la diversidad.
									","
											Il est vrai que, pendant longtemps,
											on nous a dit
qu'il fallait nier nos origines,
											que, pour être reconnus dans la vie,
											on devait ressembler à 
des Européens ou des Nord-Américains.
											C'est pourquoi, effrayés, 
nous avons caché l'amour de nos pères
											pour ne pas en souffrir.
											Afin de célébrer aujourd'hui,
finalement, avec confiance,
											sérénité et en paix,
											notre identité multiculturelle.
											Le message de cette seconde histoire,
souligne aussi l'idée que
											la cuisine peut être un instrument
											de bien-être dans la mesure où
nous acceptons la diversité.
									","
											É certo que durante muito tempo
											nos disseram que tínhamos
de negar a nossa origem;
											que, para sermos reconhecidos na vida,
											deveríamos parecer europeus
ou norte-americanos.
											Por isso, cheios de medo,
escondemos esse amor dos nossos pais,
											para que não o destruíssem.
											Até que, finalmente, hoje em dia,
celebramos com confiança,
											com tranquilidade e em paz,
											a nossa identidade multicultural.
											A mensagem nesta segunda história
também insiste na ideia
											de que a cozinha pode ser
uma ferramenta de bem-estar,
											na medida em que abraçamos a diversidade.
									",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
","
","
",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
											Y la tercera historia 
no trae tan buenas noticias.
											Porque de la Revolución
Industrial a esta parte,
											se nos ha impuesto un estilo de vida
											basado en el consumo de productos
que en realidad no necesitamos.
											Productos que, además,
											están alejados del uso racional
de los ingredientes y nuestro entorno,
											pero que el marketing
se encargaría de hacernos creer
											que sin ellos no podríamos
ser felices de ninguna manera.
											Al punto de que hoy día, por ejemplo,
											más personas mueren
por obesidad que por hambre.
											En las ciudades desarrolladas,
											más personas mueren
por suicidios que por el crimen.
											Y en el caso del Perú,
											la economía creciente convive
con desnutrición, con anemia,
											en territorios donde se exportan alimentos
											mientras además nuestra Amazonía
y nuestro mar vienen siendo depredados.
									","
											Ma troisième histoire n'apporte
pas de très bonnes nouvelles.
											Parce que, dans ce domaine,
la Révolution Industrielle
											nous a imposés un style de vie,
											basé sur la consommation de produits
dont nous n'avons pas vraiment besoin.
											En plus, ces produits
											sont éloignés de l'usage rationnel 
des ingrédients et de notre environnement.
											Le marketing se charge
de nous faire croire
											que, sans eux, ce serait impossible
d'être heureux d'une autre façon.
											Au point qu'aujourd'hui, par exemple,
											les gens meurent plus
d'obésité que de faim.
											Dans les villes développées,
											les suicides font plus de morts
que le crime.
											Dans le cas du Pérou,
											son économie en croissance coexiste
avec la malnutrition, l'anémie,
											dans des régions exportatrices
de nourriture,
											pendant que l'Amazonie et la mer
sont dévastées.
									","
											A terceira história não traz
tão boas notícias.
											Da revolução industrial até hoje,
											foi-nos imposto um estilo de vida
baseado no consumo de produtos
											de que, na verdade, não necessitamos.
											Produtos que, para além de tudo,
											estão distantes do uso racional
dos ingredientes e do nosso ambiente,
											mas que a publicidade se encarregaria
de nos fazer acreditar
											que sem eles não poderíamos
ser felizes de forma alguma.
											Ao ponto de, hoje em dia, por exemplo,
											morrerem mais pessoas
por obesidade do que por fome.
											Nas cidades desenvolvidas,
											morrerem mais pessoas
por suicídio do que por crimes.
											No caso do Peru,
											a economia crescente convive
com a desnutrição, com a anemia,
											em territórios onde se exportam alimentos
											enquanto a nossa Amazónia e o nosso mar
têm vindo a ser devastados.
									",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
","
","
",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
											Y es aquí donde la cocina
puede volver nuevamente a ayudar,
											no solamente en el Perú,
sino en todo el mundo.
											¿Cómo?
											Volviéndola a poner al centro del hogar,
al centro de todo
											con información y educación.
											Porque con información y educación
podemos decidir correctamente cada día
											qué cocinar y qué comer de manera 
que encontremos un nuevo equilibrio
											en donde todos podamos vivir en armonía;
											un nuevo equilibrio entre salud y placer,
											entre pequeños productores
y la gran industria,
											entre cultura local, medioambiente,
											entre productos locales
y productos universales.
									","
											C'est là que la cuisine 
peut aider, de nouveau,
											pas seulement au Pérou,
mais dans le monde entier.
											Comment ?
											En la remettant au centre du foyer,
au centre de tout,
											en informant et en éduquant.
											En étant informés et éduqués,
nous faisons les bons choix, chaque jour,
											de ce qu'il faut cuisiner et manger
pour retrouver un nouvel équilibre
											où nous pouvons tous vivre en harmonie ;
											un nouvel équilibre entre
la santé et le plaisir,
											entre les petits producteurs
et la grande industrie,
											entre la culture locale, environnementale,
											entre les produits locaux
et les produits importés.
									","
											É aqui que a cozinha
pode ajudar novamente,
											não apenas no Peru,
mas em todo o mundo.
											Como?
											Voltando a colocá-la no centro do lar,
no centro de tudo,
											com informação e educação.
											Porque com informação e educação
podemos decidir correctamente a cada dia
											o que cozinhar e o que comer
de forma a encontrar um novo equilíbrio
											onde todos possamos viver em harmonia,
											um novo equilíbrio entre saúde e prazer
											entre pequenos produtores
e a grande indústria,
											entre cultura, meio-ambiente,
											entre produtos locais
e produtos universais.
									",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
","
","
",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
											Y es precisamente por eso
											que tenemos que volver a poner
a la cocina en el centro del hogar
											porque si llevamos
este mensaje a cada hogar,
											si la cocina vuelve a ser
importante en cada hogar,
											los efectos podrían ser, en el mercado
y en muchas otras actividades,
											masivos y fulminantes.
									","
											Et c'est précisément pourquoi
											il faut remettre la cuisine
au centre du foyer.
											Car, si nous portons ce message
dans chaque foyer,
											si la cuisine redevient
importante dans chaque foyer,
											les effets sur le marché et sur beaucoup
d'autres choses peuvent être
											massifs et fulgurants.
									","
											É precisamente por isso
											que temos de voltar a colocar
a cozinha no centro do lar,
											porque se levarmos
esta mensagem a cada lar,
											se a cozinha voltar a ser
importante em cada lar,
											os efeitos poderiam ser, no mercado
e em muitas outras actividades,
											massivos e fulminantes.
									",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
","
","
",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
