pt,es,en,fr,de,title,speaker,duration,tags
"
											Não é um negócio simples.
											Considerámos estas ideias e dissemos:
											""Vamos descentralizar,

											""dar às pessoas uma empresa
sem o ar de colégio interno:
											""chegas a esta hora, vestes esta farda,
vais a reuniões assim,
											isto podes dizer e isto não podes!"",
e vejamos o que resta.
											Começámos isto há 30 anos,
a lidar precisamente com este assunto.
											Perguntámos:
											""Reparem na reforma,
em como distribuímos a nossa vida.
											""Em vez de escalar montanhas aos 82 anos,
porque não fazê-lo na semana que vem?""
											""E vamos fazê-lo assim:

											""Vendemos-vos as quartas-feiras de volta,
por 10% do vosso salário"".
											Se quisessem ser violinistas,
o que é pouco provável,
											era o que fariam às quartas-feiras.
									","
											Vimos todo esto y dijimos:
											devolvámosle a esta gente una empresa
											sin los aspectos de internado;
											eso de la hora de entrada,
la forma de vestirse,
											cómo ir a las reuniones,
qué decir en las reuniones,
											qué no decir en las reuniones,
											y veamos qué queda.
											Empezamos con esto hace 30 años,
											empezamos con estos temas.
											Y dijimos, mira, la jubilación,
											cómo distribuimos nuestra vida.
											En vez de hacer montañismo
a los 82 años,
											¿por qué no la próxima semana?
											Y lo haremos así,
											te vendemos los miércoles
por el 10 % de tu salario.
											Así, si quieres ser violinista,
algo que quizá no quieras ser,
											te tomas los miércoles para eso.
									","
											We looked at it and we said,
											let's devolve to these people,
let's give these people a company
											where we take away
all the boarding school aspects
											of, this is when you arrive,
this is how you dress,
											this is how you go to meetings,
this is what you say,
											this is what you don't say,
											and let's see what's left.
											So we started this about 30 years ago,
											and we started dealing
with this very issue.
											And so we said, look, the retirement,
											the whole issue of how 
we distribute our graph of life.
											Instead of going mountain climbing
when you're 82,
											why don't you do it next week?
											And we'll do it like this,
											we'll sell you back your Wednesdays
for 10 percent of your salary.
											So now, if you were going to be 
a violinist, which you probably weren't,
											you go and do this on Wednesday.
									","
											Nous y avons jeté un œil
et nous avons dit :
											déléguons à ces gens,
donnons-leur une entreprise
											débarrassée de tous les côtés
« école privée »,
											tel qu'arriver à telle heure,
et s'habiller ainsi,
											aller en réunion comme ça,
dire ceci,
											ne pas dire cela,
											et voyons ce qu'il reste.
											Il y a 30 ans environ, nous avons
											commencé cette démarche
pour gérer ce problème.
											Et nous avons dit :
regardez la retraite,
											tout ce problème de comment
nous répartissons notre vie.
											Au lieu d'escalader des montagnes
à 82 ans,
											pourquoi ne pas le faire
la semaine prochaine ?
											Et voilà comment :
											nous allons vous revendre vos mercredis
pour 10% de votre salaire.
											Donc, si vous vouliez être violoniste,
ce qui n'est probablement pas le cas,
											allez-y, faites ça le mercredi.
									","
											Wir haben überlegt und beschlossen,
											den Leuten Verantwortung zu übertragen.
											Geben wir diesen Leuten eine Firma
											ohne Internats-Aspekte wie: wann sie da
sein müssen, wie sich sich kleiden
											oder zu Sitzungen gehen müssen,
											was sie sagen und nicht sagen dürfen —
											und sehen wir uns an, was übrig bleibt.
											Wir begannen damit vor etwa 30 Jahren
											und trafen auf genau dieses Problem:
											Der Ruhestand, das Problem
der Aufteilung unserer Lebenskurve —
											Statt mit 82 auf den Berg zu steigen,
warum nicht nächste Woche?
											Wir machen das folgendermaßen:
											Für 10 % Ihres Einkommens
verkaufen wir Ihnen Ihren Mittwoch zurück.
											Wenn Sie Geigenspieler werden wollen,
was wahrscheinlich nicht der Fall ist,
											können Sie das am Mittwoch tun.
									",How to run a company with (almost) no rules,Ricardo Semler,21:42,"business,creativity,philosophy,work,leadership"
"
","
","
","
","
",How to run a company with (almost) no rules,Ricardo Semler,21:42,"business,creativity,philosophy,work,leadership"
"
											O que descobrimos foi que,
											embora achássemos que só os
mais velhos estariam interessados,
											a idade média
dos primeiros a aderir foi 29 anos, claro.
											Então, pensámos que tínhamos que
fazer as coisas de outra forma.
											Começámos a perguntar:
											""Para que queremos saber a que horas
chegam ao trabalho e a que horas saem?
											""Não podemos trocar isto por um contrato
para comprar-lhes uma coisa concreta?
											""Porque estamos a construir esta sede?
											""Não será só uma questão de ego,
querermos parecer sólidos,
											""grandes e importantes,
											""mas fazemos-vos andar 2 horas
para cá chegar, por causa disso?""
									","
											Y vimos que...
											pensamos que este programa
											le interesaría a las 
personas de más edad.
											Y la edad promedio de las 
primeras personas que adhirieron
											fue 29 años, claro.
											Empezamos a analizar,
											y dijimos, tenemos que hacer
las cosas de forma diferente.
											Empezamos a decir cosas como
											¿por qué quiero saber
a qué hora vienes a trabajar,
											a qué hora te vas, etc.?
											¿No podemos cambiar esto por un contrato
											en el que te compro cosas,
cierto tipo de trabajo?
											¿Por qué construimos 
estas oficinas centrales?
											¿No es un tema de ego 
eso de parecer sólido,
											grande e importante?
											¿Para esto te arrastramos 
2 horas por la ciudad?
									","
											And what we found —
											we thought, these are the older people
											who are going to be really interested
in this program.
											And the average age
of the first people who adhered
											were 29, of course.
											And so we started looking,
											and we said, we have to do things
in a different way.
											So we started saying things like,
											why do we want to know
what time you came to work,
											what time you left, etc.?
											Can't we exchange this for a contract
											for buying something from you,
some kind of work?
											Why are we building these headquarters?
											Is it not an ego issue
that we want to look solid
											and big and important?
											But we're dragging you two hours
across town because of it?
									","
											Nous avons découvert que —
											nous pensions que ce serait
les personnes plus âgées
											qui seraient vraiment intéressées
par ce programme.
											Mais l'âge moyen des premières
personnes à adhérer
											était 29 ans, bien sûr.
											Alors nous avons réfléchi
											et dit : nous devons faire
les choses différemment.
											Nous avons commencé à nous demander :
											pourquoi voulons-nous savoir
à quelle heure vous êtes
											arrivé, parti du travail ?
											Ne pouvons-nous pas changer cela
en un contrat
											où l'on vous achète quelque chose,
une sorte de travail ?
											Pourquoi construire ce siège social ?
											Vouloir avoir l'air
solide, grand, important,
											n'est-ce pas un problème d'ego ?
											Mais, à cause de cela, vous passez
deux heures à traverser la ville ?
									","
											Wir fanden heraus ...
											Wir dachten, dass vor allem
die älteren Leute
											an diesem Programm
interessiert sein würden.
											Das durchschnittliche Alter derjenigen,
											die sich als erstes anmeldeten,
war — natürlich — 29.
											Wir beschlossen,
die Dinge anders zu machen.
											Wir stellten uns folgende Fragen:
											Warum wollen wir wissen,
wann Sie zur Arbeit kommen,
											bis wann Sie bleiben etc.?
											Können wir das nicht gegen
einen Vertrag austauschen,
											in dem wir eine Art von
Arbeit von Ihnen kaufen?
											Warum bauen wir diese Hauptquartiere?
											Ist das nicht ein Ego-Problem, dass wir
solide, groß und wichtig wirken wollen?
											Sollen Sie deswegen zwei Stunden 
durch die Stadt fahren?
									",How to run a company with (almost) no rules,Ricardo Semler,21:42,"business,creativity,philosophy,work,leadership"
"
","
","
","
","
",How to run a company with (almost) no rules,Ricardo Semler,21:42,"business,creativity,philosophy,work,leadership"
"
											Fazíamos perguntas deste género.
											As perguntas foram estas:
											Primeiro: como encontramos as pessoas?
											Ao recrutá-las, dizíamos:
											""Não vamos fazer-vos
duas ou três entrevistas
											""e depois casam-se
connosco para a vida.
											""Não é isso que fazemos
no resto das nossas vidas.
											""Então, venham às entrevistas,
											""os interessados em entrevistar-vos
vão aparecer
											""e depois veremos o que acontece
a partir da intuição resultante,
											""em vez de vermos apenas
se preenchem os requisitos.
											""Depois, regressem.
											""Passem uma tarde, o dia,
falem com quem quiserem.
											""Certifiquem-se de que somos
a noiva que julgavam
											""e não as tretas
que pomos nos anúncios"".
											(Risos)
									","
											Empezamos a hacernos 
las preguntas una por una.
											Decíamos así:
											Uno, ¿cómo buscamos personal?
											Salimos a buscar personas,
											y cuando vengan a vernos
											no les haremos 2 o 3 entrevistas,
											ni les ofreceremos 
matrimonio de por vida.
											No haremos eso el resto de la vida.
											Así que ven, haz la entrevista.
											Cualquier interesado en 
la entrevista, se presenta.
											Luego veremos qué resulta de 
la intuición que surge de allí,
											en vez de llenar formularios de 
si uno es o no la persona adecuada.
											Y luego, regresa.
											Pasa una tarde, o un día entero,
hablando con quien quieras.
											Asegúrate de que somos
la novia que sueñas
											y no esa mierda que 
pusimos en los anuncios.
											(Risas)
									","
											So we started asking questions one by one.
											We'd say it like this:
											One: How do we find people?
											We'd go out and try
and recruit people and we'd say,
											look, when you come to us,
											we're not going to have
two or three interviews
											and then you're going to be
married to us for life.
											That's not how we do 
the rest of our lives.
											So, come have your interviews.
											Anyone who's interested
in interviewing, you will show up.
											And then we'll see what happens
out of the intuition that rises from that,
											instead of just filling out the little 
items of whether you're the right person.
											And then, come back.
											Spend an afternoon, spend a whole day,
talk to anybody you want.
											Make sure we are the bride 
you thought we were
											and not all the bullshit
we put into our own ads.
											(Laughter)
									","
											Nous avons posé les questions,
une par une.
											Nous le disions comme ça :
											Un : Comment trouver des gens ?
											Nous sortions, essayions de
recruter des gens et leur disions :
											si vous venez chez nous,
											vous n'aurez pas 
deux ou trois entretiens puis
											serez marié à nous
jusqu'à la fin de votre vie.
											Nous passons pas
le reste de notre vie ainsi.
											Donc, venez passer des entretiens.
											Quiconque intéressé 
par un entretien viendra.
											Puis nous verrons ce qu'il ressort
de l'intuition qui s'en dégage,
											plutôt que de remplir les petites cases
disant si vous êtes la bonne personne.
											Puis, revenez.
											Restez un après-midi, même une journée,
parlez à qui vous voulez.
											Assurez-vous que nous soyons bien
la fiancée que vous croyiez
											et pas toutes les conneries
qu'on met dans nos publicités.
											(Rires)
									","
											Wir stellten diese Fragen,
eine nach der anderen.
											Wir fragten:
											Erstens: Wie finden wir Leute?
											Wir versuchten Leute anzuwerben,
indem wir ihnen sagten:
											Wenn Sie zu uns kommen,
											werden Sie nicht nach
2 oder 3 Bewerbungsgesprächen
											für immer an uns gebunden sein.
											Das machen wir im 
restlichen Leben auch nicht.
											Also kommen Sie zu Ihrem Gespräch.
											Diejenigen, die interessiert sind,
werden erscheinen.
											Dann achten wir auf die Intuition, 
die daraus entsteht,
											anstatt nur Fragebögen auszufüllen,
ob Sie die richtige Person sind.
											Dann: Kommen Sie wieder.
											Für einen Nachmittag, für einen Tag,
sprechen Sie, mit wem Sie wollen.
											Stellen Sie sicher, dass wir
die ""Braut"" sind, für die Sie uns halten,
											und nicht der ganze Blödsinn,
der in unseren Broschüren steht.
											(Lachen)
									",How to run a company with (almost) no rules,Ricardo Semler,21:42,"business,creativity,philosophy,work,leadership"
"
","
","
","
","
",How to run a company with (almost) no rules,Ricardo Semler,21:42,"business,creativity,philosophy,work,leadership"
"
											Lentamente, entrámos num processo
de transformação, em que dizíamos:
											""Não queremos que ninguém
seja um líder na empresa
											""se não forem entrevistados
e aprovados pelos futuros subordinados"".
											Todos os seis meses, cada um é avaliado,
de forma anónima, enquanto líder,
											e isto determina se deve continuar
nessa posição de liderança,
											que, muitas vezes, é conjuntural,
como sabem.
											Se não pontuarem 70% a 80%,
											não ficam — é provavelmente por isso
que não sou o CEO há mais de 10 anos.
											Com o passar do tempo,
passámos a fazer outras perguntas.

									","
											Poco a poco pasamos 
a decir cosas como
											no queremos líderes en la empresa
											que no hayan sido 
entrevistados y aprobados
											por sus futuros subordinados.
											Cada 6 meses, todos son evaluados
en forma anónima, como líderes.
											Y eso determina la continuidad
de esa persona como líder,
											que muchas veces es 
circunstancial, como saben.
											Y si no tienen un 70 u 80 % 
de aprobación, no permanecen.
											Quizá sea la razón por la que yo 
no soy el CEO desde hace más de 10 años.
											Y con el tiempo, empezamos 
a preguntar otras cosas.
									","
											Slowly we went to a process 
where we'd say things like,
											we don't want anyone to be
a leader in the company
											if they haven't been 
interviewed and approved
											by their future subordinates.
											Every six months, everyone gets 
evaluated, anonymously, as a leader.
											And this determines whether they should
continue in that leadership position,
											which is many times
situational, as you know.
											And so if they don't have 70, 80 percent 
of a grade, they don't stay,
											which is probably the reason why
I haven't been CEO for more than 10 years.
											And over time, we started asking
other questions.
									","
											Petit à petit, nous avons atteint un stade
où nous disions des choses comme :
											nous ne voulons pas d'un dirigeant
dans l'entreprise
											s'il n'a pas passé d'entretiens
et été approuvé
											par ses futurs subordonnés.
											Tous les six mois, tout le monde est
évalué, anonymement, en tant que chef.
											Et cela détermine si oui ou non ils
doivent continuer à ce poste de chef,
											qui est, comme vous le savez,
souvent situationnel.
											Et s'ils n'ont pas 70-80% de la note,
ils ne restent pas,
											ce qui est probablement pourquoi
je n'ai pas été PDG plus de 10 ans.
											Et, avec le temps, nous avons
posé d'autres questions.
									","
											Langsam durchliefen wir einen Prozess,
in dem wir feststellten:
											Wir wollen keinen Leiter in
unserer Firma, der nicht
											von seinen zukünftigen ihm Unterstehenden 
befragt und akzeptiert wurde.
											Alle sechs Monate werden alle 
in Führungspositionen anonym bewertet.
											So wird festgelegt, ob diejenigen weiter
in der Führungsposition bleiben sollten.
											Das ist — wie Sie wissen —
oft situationsbedingt.
											Wenn jemand also nicht
70 oder 80 % erreicht, bleibt er nicht.
											Das ist wahrscheinlich der Grund, warum
ich seit über 10 Jahren kein CEO mehr bin.
											Mit der Zeit stellten wir andere Fragen.
									",How to run a company with (almost) no rules,Ricardo Semler,21:42,"business,creativity,philosophy,work,leadership"
"
","
","
","
","
",How to run a company with (almost) no rules,Ricardo Semler,21:42,"business,creativity,philosophy,work,leadership"
"
											Perguntávamos:
											""Porque é que as pessoas
não podem definir os seus salários?
											""O que precisam de saber?""
											Só é preciso saber três coisas:
											quanto é que as pessoas ganham
na empresa,
											quanto se ganha
em empresas semelhantes
											e quanto a empresa ganhou,
para saber quanto podemos gastar.
											Vamos dar estas informações às pessoas.
											Passámos a ter,
na cafetaria, um computador
											onde se podia consultar
o que cada um ganhava,
											o que recebia em benefícios,
quanto ganhava a empresa,
											quais eram as margens, etc.
											Isto passou-se há 25 anos.
									","
											Dijimos cosas como
											¿por qué la gente no puede 
fijarse el salario?
											¿Qué tienen que saber?
											Solo hay 3 cosas que saber:
											cuánto gana la gente en la empresa,
											cuánto se gana en otros lados 
de la misma industria
											y cuánto se gana en general
para ver si podemos pagarlo.
											Démosle a la gente estos 3 datos.
											Pusimos en la cafetería
											una computadora en la 
que se podía consultar
											lo que gasta y lo que gana alguien,
											lo que gana en beneficios,
lo que gana la empresa,
											cuáles son los márgenes, etc.
											Esto hace 25 años.
									","
											We said things like,
											why can't people set their own salaries?
											What do they need to know?
											There's only three things 
you need to know:
											how much people make inside the company,
											how much people make somewhere
else in a similar business
											and how much we make in general
to see whether we can afford it.
											So let's give people these three
pieces of information.
											So we started having, in the cafeteria,
											a computer where you could go in 
and you could ask
											what someone spent, 
how much someone makes,
											what they make in benefits, 
what the company makes,
											what the margins are, and so forth.
											And this is 25 years ago.
									","
											Nous disions :
											pourquoi les gens ne peuvent-ils 
pas décider de leurs salaires ?
											Qu'ont-ils besoin de savoir ?
											Il n'y a que trois choses à savoir :
											combien les gens gagnent
dans l'entreprise,
											combien ils gagnent dans
une entreprise similaire,
											et combien d'argent gagne l'entreprise,
pour savoir ce qui est possible.
											Donnons aux gens ces trois informations.
											Nous avons mis, dans la cafétéria,
											un ordinateur sur lequel
vous pouviez voir
											combien chacun dépensait,
combien chacun gagnait,
											leurs avantages,
combien gagnait l'entreprise,
											quelles étaient les marges, etc.
											Et c'était il y a 25 ans.
									","
											Solche in etwa:
											Warum können Leute nicht ihr
eigenes Einkommen festlegen?
											Was müssen sie dafür wissen?
											Sie müssen nur drei Dinge wissen:
											Wie viel verdienen Leute in der Firma?
											Wie viel verdienen Leute
in einem vergleichbaren Beruf?
											Wie viel verdienen wir generell,
um zu sehen, was wir uns leisten können?
											Geben wir den Leuten also
diese drei Informationen.
											In der Kantine bauten wir
einen Computer auf,
											an dem man nachsehen konnte,
											wie viel jemand ausgibt,
											wie viele Zuschüsse jemand bekommt,
was die Firma verdient,
											was die Gewinnspanne ist usw.
											Das war vor 25 Jahren.
									",How to run a company with (almost) no rules,Ricardo Semler,21:42,"business,creativity,philosophy,work,leadership"
"
","
","
","
","
",How to run a company with (almost) no rules,Ricardo Semler,21:42,"business,creativity,philosophy,work,leadership"
