en,de,fr,title,speaker,duration,tags
"
","
","
",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
											This picture was taken when Steve,
on the left, was eight years old.
											I was six, our brother Gary was five
and my brother Bruce was four.
											I will not say what year it was taken.
											It was not this year.
									","
											Dieses Bild entstand, als Steve,
hier links, 8 Jahre alt war.
											Ich war 6, unser Bruder Gary 5
und mein Bruder Bruce 4.
											Ich verrate nicht, 
wann genau es entstand.
											Jedenfalls nicht dieses Jahr.
									","
											Cette photo a été prise
lorsque Steve, à gauche, avait 8 ans.
											J'avais 6 ans, notre frère Gary 
en avait 5 et mon frère Bruce avait 4 ans.
											Je ne dirai pas de quand date cette photo.
											Ce n'était pas cette année.
									",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
","
","
",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
											(Laughter)
									","
											(Gelächter)
									","
											(Rires)
									",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
","
","
",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
											I open my new book, ""The Sibling Effect,""
											on a Saturday morning,
											not long before this picture was taken,
											when the three older brothers decided
that it might be a very good idea
											to lock the younger brother
in a fuse cabinet in our playroom.
									","
											Mein neues Buch ""The Sibling Effect""
beginnt an einem Samstagmorgen,
											kurz bevor dieses Bild entstand,
											als die drei älteren Brüder beschlossen,
es sei eine sehr gute Idee,
											den Jüngsten in den Sicherungskasten
im Kinderzimmer zu sperren.
									","
											Je commence mon dernier livre,
« The Sibling Effect »
											un samedi matin,
											peu de temps avant 
que cette photo soit prise,
											lorsque les trois frères aînés ont décidé
que ce serait une très bonne idée
											d'enfermer le frère cadet dans
le disjoncteur de notre salle de jeux.
									",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
","
","
",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
											(Laughter)
									","
											(Gelächter)
									","
											(Rires)
									",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
","
","
",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
											We were, believe it or not,
trying to keep him safe.
									","
											Glauben Sie es oder nicht:
Wir wollten ihn beschützen.
									","
											Croyez-le ou non, 
on essayait de le protéger.
									",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
","
","
",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
											Our father was a hotheaded man,
											somebody who didn't take kindly
to being disturbed on Saturday mornings.
											I don't know what he thought his life
would be like on Saturday mornings
											when he had four sons,
											ages four years old or younger
when the youngest one was born,
											but they weren't quiet.
											He did not take to that well.
											And he would react to being
disturbed on a Saturday morning
											by stalking into the playroom
											and administering a very freewheeling
form of a corporal punishment,
											lashing out at whoever
was within arms' reach.
											We were by no means battered children
but we did get hit,
											and we found it terrifying.
									","
											Unser Vater war ein jähzorniger Mann,
											der es nicht leiden konnte, 
am Samstagmorgen gestört zu werden.
											Ich weiß nicht, wie er sich sein Leben
am Samstagmorgen vorstellte,
											mit vier Söhnen
im Alter von 4 oder jünger,
											als der jüngste geboren wurde,
jedenfalls machten sie Krach.
											Das nervte ihn.
											Und auf Störungen am Samstagmorgen
reagierte er gewöhnlich,
											indem er ins Kinderzimmer schlich
											und freigiebig Prügel verteilte,
											wobei er auf jeden einschlug,
der sich in Reichweite befand.
											Wir wurden als Kinder nicht misshandelt,
aber wir bekamen Prügel
											und das jagte uns Angst ein.
									","
											Notre père était quelqu'un d'impétueux,
											quelqu'un qui appréciait mal
d'être dérangé un samedi matin.
											Je ne sais pas comment 
il avait imaginé ses samedis matins
											en ayant quatre fils,
											l'aîné ayant 4 ans 
à la naissance du dernier,
											mais ils n'étaient pas silencieux.
											Il ne le prenait pas très bien.
											Quand il était dérangé le samedi matin,

											il déboulait dans la salle de jeux
											et administrait une version 
très libre de punition corporelle,
											en se défoulant sur celui qui
se trouvait à portée de main.
											On était loin d'être des enfants
battus mais on se faisait corriger,
											et ça nous terrifiait.
									",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
","
","
",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
											So we devised a sort of
scatter-and-hide drill.
									","
											Also erfanden wir eine Art 
""Lauf und versteck dich""-Taktik.

									","
											On a donc manigancé 
une technique de sauve-qui-peut.
									",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
","
","
",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
											(Laughter)
									","
											(Gelächter)
									","
											(Rires)
									",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
","
","
",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
											As soon as we saw or heard
the footsteps coming,
											Steve, the oldest, would wriggle
under the couch,
											I would dive into the closet
in the playroom,
											Gary would dive into
a window-seat toy chest,
											but not before we closed
Bruce inside the fuse box.
											We told him it was
Alan Shepard's space capsule,
											and that somehow made it work better.
									","
											Sobald wir ihn sahen 
oder seine Schritte hörten,
											quetschte sich Steve,
der Älteste, unter das Sofa;
											ich verschwand im Kinderzimmerschrank;
											Gary in einer Sitzkiste 
für Spielzeug am Fenster —
											aber zuvor sperrten wir Bruce
in den Sicherungskasten.
											Wir machten ihm weis, das sei
Alan Shephards Weltraumkapsel.
											Das machte die Sache etwas leichter.
									","
											Dès qu'on le voyait
ou l'entendait approcher,
											Steve, l'aîné, se faufilait 
sous le canapé,
											je me jetais dans le placard
de la salle de jeux,
											Gary se précipitait dans la malle 
à jouets sous la fenêtre,
											mais avant tout ça, on enfermait Bruce 
dans le disjoncteur.
											On lui disait que c'était la capsule
spatiale d'Alan Shepard
											et ça le rendait plus enthousiaste.
									",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
","
","
",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
											(Laughter)
									","
											(Gelächter)
									","
											(Rires)
									",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
","
","
",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
											I dare say my father was never
fooled by this ruse.
											And it was only in later
years that I began to think
											perhaps it wasn't a good idea
to squeeze a four-year-old
											up against a panel of old-style,
un-screwable high-voltage fuses.
									","
											Ich nehme an, mein Vater 
ließ sich dadurch nie täuschen.
											Erst später begann ich zu begreifen:
											Vielleicht war es doch keine gute Idee,
einen Vierjährigen an eine Platte
											mit alten, abschraubbaren
Hochspannungs-Sicherungen zu quetschen.
									","
											J'ose dire que mon père ne s'est jamais 
laissé berner par cette ruse.
											Ce n'était qu'après des années
que j'ai commencé à penser
											que ce n'était pas malin de coincer 
un enfant de quatre ans
											contre un vieux panneau de fusibles
haute tension pouvant se dévisser.
									",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
","
","
",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
											(Laughter)
									","
											(Gelächter)
									","
											(Rires)
									",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
","
","
",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
											But my brothers and I,
even through those unhappy times,
											came through them, with something
that was clear and hard and fine:
											a primal appreciation
for the bond we shared.
											We were a unit — a loud, messy
											brawling, loyal, loving,
											lasting unit.
											We felt much stronger that way
than we ever could as individuals.
											And we knew that as our lives went on,
											we could always be able
to call on that strength.
									","
											Aber trotz alledem kamen meine Brüder
und ich durch diese unglücklichen Zeiten,
											dank etwas, das klar, fest und schön war:
											eine grundlegende Wertschätzung
dessen, was uns verband.
											Wir waren eine Einheit —
eine laute, chaotische,
											sich streitende, loyale, liebevolle
											und beständige Einheit.
											So fühlten wir uns viel stärker,
als wir es je einzeln gewesen wären.
											Und wir wussten:
											Später würden wir uns immer
auf diese Stärke verlassen können.
									","
											Mais mes frères et moi, 
même durant ces moments difficiles,
											on a réussi à s'en sortir grâce à 
une chose évidente, solide et belle :
											une reconnaissance primordiale
du lien que nous partagions.
											Nous étions une entité —
une entité bruyante, désordonnée,
											bagarreuse, loyale, aimante,
											et permanente.
											On se sentait plus forts ensemble
qu'on ne l'aurait jamais été seuls.
											On savait qu'au fil des années,
											on pourrait toujours 
compter sur cette force.
									",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
","
","
",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
											We're not alone.
											Until 15 years ago,
											scientists didn't really pay much
attention to the sibling bond.
											And with good reason:
											you have just one mother,
you have just one father
											if you do marriage right,
you have one spouse for life.
											Siblings can claim
none of that uniqueness.
											They're interchangeable, fungible,
a kind of household commodity.
											Parents set up shop and begin stocking
their shelves with inventory,
											the only limitation being sperm,
egg and economics.
									","
											Wir sind nicht allein.
											Bis vor 15 Jahren
											schenkten Wissenschaftler 
Geschwisterbindungen kaum Beachtung.
											Und das mit gutem Grund:
											Man hat nur eine Mutter,
man hat nur einen Vater,
											wenn die Ehe gelingt, bleibt man 
ein Leben lang bei einem Partner.
											Geschwister haben keinen Anspruch,
so einmalig zu sein.
											Sie sind austauschbar, ersetzbar,
eine Art Haushaltsgegenstand.
											Die Eltern gründen eine Existenz
und füllen die Regale mit Inventar,
											eingeschränkt nur durch Sperma, 
Eizelle und Wirtschaftslage.
									","
											Nous ne sommes pas seuls.
											Il y a encore 15 ans,
											les scientifiques ne s'intéressaient
pas vraiment au lien fraternel.
											Et à juste titre :
											on a qu'une mère,
on a qu'un père,
											et si on fait ce qu'il faut,
on a un conjoint pour la vie.
											Les frères et sœurs 
n'ont pas cette unicité.
											Ils sont interchangeables, fongibles,
une sorte de produit de base.
											Les parents ouvrent un magasin
et commencent à remplir leurs rayons,
											les seules limites étant le sperme,
les ovules et les finances.
									",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
","
","
",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
											(Laughter)
									","
											(Gelächter)
									","
											(Rires)
									",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
","
","
",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
											As long as you can keep breathing,
you may as well keep stocking.
											Now, nature is perfectly happy
with that arrangement,
											because our primal directive here
											is to get as many of our genes
as possible into the next generation.
									","
											Bis zum letzten Atemzug
kann man weiter für Nachschub sorgen.
											Die Natur ist mit dieser Regelung
wunschlos glücklich,
											denn es ist unser ursprünglicher Auftrag,
											möglichst viele unserer Gene
an die nächste Generation weiterzugeben.
									","
											Tant qu'on peut respirer,
autant continuer à remplir les étagères.
											La nature s'accommode
parfaitement de cet arrangement,
											parce que l'objectif premier,
											c'est d'introduire le plus de gènes 
possibles dans la nouvelle génération.
									",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
","
","
",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
											Animals wrestle with
these same issues, too,
											but they have a more straightforward way
of dealing with things.
											A crested penguin that has laid two eggs
will take a good look at them
											and boot the smaller one out of the nest,
											the better to focus her attentions
on the presumably heartier chick
											in the bigger shell.
											A black eagle will allow
all of her chicks to hatch
											and then stand back while the bigger ones
fight it out with the little ones,
											typically ripping them to ribbons
											and then settling back
to grow up in peace.
											Piglets, cute as they are,
											are born with a strange
little outward set of pointing teeth,
											that they use to jab at one another
											as they compete
for the choicest nursing spots.
									","
											Auch Tiere schlagen sich
mit diesen Problemen herum,
											doch sie haben eine weniger 
komplizierte Herangehensweise.
											Ein Schopfpinguin, der 2 Eier gelegt hat,
											schaut sie sich gut an und befördert
das kleinere aus dem Nest,
											um seine Aufmerksamkeit 
dem vermutlich kräftigeren Küken
											im größeren Ei zu widmen.
											Ein Malaienadler brütet 
all seine Küken aus
											und lässt es dann zu, dass die größeren
mit den kleineren um den Vorrang kämpfen
											und sie dabei oft in Stücke reißen,
um anschließend in Ruhe aufzuwachsen.
											Ferkel sind wirklich putzig,
											aber sie kommen mit einer Reihe
kleiner, spitzer Zähne zur Welt,
											mit denen sie aufeinander einhacken,
											wenn sie um die besten Zitzen kämpfen.
									","
											Les animaux font face
aux mêmes problèmes,
											mais leur façon de les aborder 
est plus directe.
											Un manchot à aigrettes qui a pondu 
deux œufs les observe attentivement,
											et jette le plus petit hors du nid,
											afin de mieux se concentrer 
sur le poussin supposément plus résistant
											dans la plus grosse coquille.
											Un aigle noir couve 
tous ses aiglons jusqu'à terme
											puis se met en retrait tandis que
les plus gros attaquent les petits,
											les réduisant souvent en lambeaux,
											puis ils se réinstallent
pour grandir en paix.
											Les porcelets, aussi mignons soient-ils,
											naissent avec une étrange petite rangée
de dents pointues sur les côtés
											qu'ils utilisent pour se batailler
											lorsqu'ils rivalisent
pour les meilleures tétines.
									",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
","
","
",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
											The problem for scientists
											was that this whole idea of siblings
as second-class citizens
											never really seemed to hold up.
											After the researchers
had learned all they could
											from the relationships in the family,
mothers and other relationships,
											they still came up with some
temperamental dark matter
											that was pulling at us,
											exerting a gravity all its own.
											And that could only be our siblings.
									","
											Das Problem für Wissenschaftler war,
											dass das Konzept von Geschwistern
als zweitrangige Bürger
											nie wirklich Bestand hatte.
											Nachdem die Forscher alles 
erfahren hatten, was sie konnten,
											über Beziehungen in der Familie, 
Mütter und andere Beziehungen,
											kamen sie noch mit einer
dunklen Veranlagung daher,
											die uns zu schaffen machte
											und dabei eine eigene
Anziehungskraft ausübte.
											Und das konnten nur
unsere Geschwister sein.
									","
											Le problème pour les scientifiques,
											c'est que cette idée de frères et sœurs
comme citoyens de seconde classe
											n'a jamais vraiment tenu la route.
											Une fois que les chercheurs
ont appris tout ce qu'ils pouvaient
											sur les relations familiales,
maternelles et autres,
											ils ont quand même découvert
une sorte de matière noire capricieuse
											qui nous attirait vers elle,
											sous l'effet d'une gravité bien à elle.
											Ça ne pouvait qu'être nos frères et sœurs.
									",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
","
","
",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
											Humans are no different from animals.
											After we are born, we do whatever we can
											to attract the attention of our parents,
											determining what our strongest
selling points are
											and marketing them ferociously.
											Someone's the funny one,
someone's the pretty one,
											someone's the athlete,
someone's the smart one.
											Scientists call this ""deidentification.""
											If my older brother
is a high-school football player —
											which, if you saw my older
brother, you'd know he was not —
											I could become a high-school
football player, too
											and get at most 50 percent of the applause
in my family for doing that.
											Or, I could become student
council president
											or specialize in the arts
											and get 100 percent
of the attention in that area.
									","
											Menschen unterscheiden sich
nicht von Tieren.
											Nach der Geburt tun wir alles,
											um die Eltern auf uns
aufmerksam zu machen,
											indem wir unsere Alleinstellungsmerkmale
festlegen und gnadenlos vermarkten.
											Das eine Kind ist witzig,
das andere hübsch,
											das eine sportlich, das andere gescheit.
											Wissenschaftler nennen das
""De-Identifikation"".
											Wenn mein großer Bruder
im Schul-Footballteam spielt —
											was Sie nicht glauben würden, 
wenn Sie ihn sähen, —
											könnte ich auch im Schulteam mitspielen
											und von meiner Familie dafür 
höchstens 50 % des Beifalls bekommen.
											Oder ich könnte Schülersprecher werden
											oder mich Kunst und Kultur widmen
											und auf diesem Gebiet 
100 % der Aufmerksamkeit bekommen.
									","
											Les humains ne sont pas
différents des animaux.
											Après notre naissance,
nous faisons tout notre possible
											pour attirer l'attention de nos parents,
											exposant nos meilleurs arguments de vente
											et les commercialisant avec férocité.
											L'un est le plus drôle,
l'un est le plus beau,
											l'une est l'athlète,
l'une est la plus intelligente.
											Les scientifiques appellent ça
la « désidentification ».
											Si mon frère aîné
est un joueur de foot au lycée —
											et si vous le voyiez, vous verriez 
que ce n'est pas le cas —
											je pourrais aussi devenir
un joueur de foot
											et avoir tout au plus 50% de ma famille 
qui m’applaudirait pour ça.
											Ou je pourrais devenir 
le président du conseil des élèves
											ou me spécialiser dans les arts
											et avoir droit à 100% 
de l'attention de ma famille
									",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
"
","
","
",The sibling bond,Jeffrey Kluger,20:54,"TEDx,life,psychology,science,compassion,happiness,humanity,family,anthropology,sociology,brain"
